actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
322,PT04M16.00S,2021-11-13T04:02:35.4Z,2,REGULAR,substitution,in,[],201942,,,1610612741,41,38,2021-11-13T04:15:47Z,2641250,,,0,,SUB in: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,
323,PT04M16.00S,2021-11-13T04:02:35.4Z,2,REGULAR,substitution,in,[],1628366,,,1610612741,41,38,2021-11-13T04:15:47Z,2645625,,,0,,SUB in: L. Ball,[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,
324,PT04M16.00S,2021-11-13T04:02:35.4Z,2,REGULAR,substitution,out,[],1630245,,,1610612741,41,38,2021-11-13T04:16:39Z,2647812,,,0,,SUB out: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,
273,PT04M02.00S,2021-11-13T04:02:49.5Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628993,84.70762155059133,53.431372549019606,1610612741,41,38,2021-11-13T04:02:53Z,2650000,17.0,91.0,1,right,MISS A. Johnson 9' floating Shot,[1628993],1610612741.0,CHI,floating,,,Johnson,A. Johnson,,,,,9.28,Missed,,,,,,,,,,,,,,,,,,,
274,PT04M00.00S,2021-11-13T04:02:51.5Z,2,REGULAR,rebound,defensive,[],203110,,,1610612744,41,38,2021-11-13T04:04:27Z,2660000,,,0,,D. Green REBOUND (Off:0 Def:3),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,273.0,3.0,3.0,0.0,,,,,,,,,,,
275,PT03M42.00S,2021-11-13T04:03:09.4Z,2,REGULAR,2pt,Jump Shot,[],203952,9.674770039421814,13.480392156862745,1610612744,41,38,2021-11-13T04:03:12Z,2670000,183.0,38.0,1,left,MISS A. Wiggins 18' step back Shot,[203952],1610612744.0,GSW,step back,,,Wiggins,A. Wiggins,,,,,18.66,Missed,,,,,,,,,,,,,,,,,,,
276,PT03M37.00S,2021-11-13T04:03:14.4Z,2,REGULAR,rebound,defensive,[],203897,,,1610612741,41,38,2021-11-13T04:04:04Z,2680000,,,0,,Z. LaVine REBOUND (Off:0 Def:2),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,275.0,2.0,2.0,0.0,,,,,,,,,,,
277,PT03M30.00S,2021-11-13T04:03:21.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201942,90.22667542706965,44.85294117647059,1610612741,41,38,2021-11-13T04:03:25Z,2690000,-26.0,39.0,1,right,MISS D. DeRozan driving Layup,[201942],1610612741.0,CHI,driving,,,DeRozan,D. DeRozan,,,,,4.7,Missed,,,,,,,,,,,,,,,,,,,
278,PT03M28.00S,2021-11-13T04:03:23.8Z,2,REGULAR,rebound,defensive,[],1626172,,,1610612744,41,38,2021-11-13T04:04:23Z,2700000,,,0,,K. Looney REBOUND (Off:3 Def:5),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,277.0,8.0,5.0,3.0,,,,,,,,,,,
279,PT03M11.00S,2021-11-13T04:03:39.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1626172,7.30946123521682,54.41176470588235,1610612744,41,38,2021-11-13T04:03:42Z,2710000,-22.0,16.0,1,left,MISS K. Looney driving Layup,[1626172],1610612744.0,GSW,driving,,,Looney,K. Looney,,,,,2.74,Missed,,,,,,,,,,,,,,,,,,,
280,PT03M08.00S,2021-11-13T04:03:43.0Z,2,REGULAR,rebound,offensive,[],203110,,,1610612744,41,38,2021-11-13T04:03:43Z,2720000,,,0,,D. Green REBOUND (Off:1 Def:3),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,279.0,4.0,3.0,1.0,,,,,,,,,,,
281,PT03M07.00S,2021-11-13T04:03:44.6Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1629673,7.539421813403408,97.79411764705883,1610612744,41,38,2021-11-13T04:13:36Z,2730000,-239.0,18.0,1,left,MISS J. Poole 3PT,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,23.97,Missed,,,,,,,,,,,,,,,,,,,
282,PT03M04.00S,2021-11-13T04:03:47.6Z,2,REGULAR,rebound,defensive,[],1628993,,,1610612741,41,38,2021-11-13T04:13:36Z,2740000,,,0,,A. Johnson REBOUND (Off:1 Def:2),[1628993],1610612741.0,CHI,,,,Johnson,A. Johnson,,,,,,,,,,,281.0,3.0,2.0,1.0,,,,,,,,,,,
283,PT02M52.00S,2021-11-13T04:03:59.4Z,2,REGULAR,2pt,Jump Shot,[],203897,73.66951379763469,60.049019607843135,1610612741,41,40,2021-11-13T04:04:02Z,2750000,50.0,195.0,1,right,Z. LaVine 20' step back Jump Shot (12 PTS),[203897],1610612741.0,CHI,step back,,,LaVine,Z. LaVine,,,,,20.14,Made,12.0,,,,,,,,,,,,,,,,,,
284,PT02M43.00S,2021-11-13T04:04:14.4Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,41,40,2021-11-13T04:04:14Z,2760000,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,PT02M43.00S,2021-11-13T04:06:31.7Z,2,REGULAR,substitution,in,[],201939,,,1610612744,41,40,2021-11-13T04:07:08Z,2780000,,,0,,SUB in: S. Curry,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
325,PT02M43.00S,2021-11-13T04:06:31.7Z,2,REGULAR,substitution,out,[],1630541,,,1610612744,41,40,2021-11-13T04:17:01Z,2785000,,,0,,SUB out: M. Moody,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,,,,,,,,,,,,,,,,,,,,,
287,PT02M32.00S,2021-11-13T04:07:41.5Z,2,REGULAR,2pt,Jump Shot,[],201939,14.931011826544022,27.696078431372552,1610612744,43,40,2021-11-13T04:07:44Z,2790000,112.0,88.0,1,left,S. Curry 14' driving floating Jump Shot (17 PTS),[201939],1610612744.0,GSW,driving floating,,,Curry,S. Curry,,,,,14.2,Made,17.0,,,,,,,,,,,,,,,,,,
288,PT02M12.00S,2021-11-13T04:08:06.0Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612741,43,40,2021-11-13T04:08:06Z,2800000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,PT02M10.00S,2021-11-13T04:08:17.4Z,2,REGULAR,2pt,Jump Shot,[],203897,87.07293035479631,15.441176470588236,1610612741,43,40,2021-11-13T04:08:19Z,2810000,-173.0,69.0,1,right,MISS Z. LaVine 18' Jump Shot,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,18.61,Missed,,,,,,,,,,,,,,,,,,,
290,PT02M07.00S,2021-11-13T04:08:20.7Z,2,REGULAR,rebound,defensive,[],203110,,,1610612744,43,40,2021-11-13T04:08:20Z,2820000,,,0,,D. Green REBOUND (Off:1 Def:4),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,289.0,5.0,4.0,1.0,,,,,,,,,,,
291,PT01M58.00S,2021-11-13T04:08:29.8Z,2,REGULAR,3pt,Jump Shot,[],1629673,26.62614980289093,91.42156862745098,1610612744,46,40,2021-11-13T04:08:32Z,2830000,-207.0,198.0,1,left,J. Poole 28' 3PT  (6 PTS) (D. Green 4 AST),"[1629673, 203110]",1610612744.0,GSW,,,,Poole,J. Poole,,,,,28.64,Made,6.0,D. Green,203110.0,4.0,,,,,,,,,,,,,,,
293,PT01M37.00S,2021-11-13T04:08:50.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628366,87.33574244415243,64.4607843137255,1610612741,46,40,2021-11-13T04:15:58Z,2850000,72.0,67.0,1,right,MISS L. Ball 9' driving finger roll Layup,[1628366],1610612741.0,CHI,driving finger roll,,,Ball,L. Ball,,,,,9.82,Missed,,,,,,,,,,,,,,,,,,,
294,PT01M35.00S,2021-11-13T04:08:52.1Z,2,REGULAR,rebound,offensive,[],1628993,,,1610612741,46,40,2021-11-13T04:15:58Z,2860000,,,0,,A. Johnson REBOUND (Off:2 Def:2),[1628993],1610612741.0,CHI,,,,Johnson,A. Johnson,,,,,,,,,,,293.0,4.0,2.0,2.0,,,,,,,,,,,
295,PT01M33.00S,2021-11-13T04:08:54.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628993,91.67214191852825,58.08823529411765,1610612741,46,42,2021-11-13T04:08:56Z,2870000,40.0,26.0,1,right,A. Johnson putback Layup (5 PTS),[1628993],1610612741.0,CHI,putback,,,Johnson,A. Johnson,,,,,4.79,Made,5.0,,,,,,,,,,,,,,,,,,
296,PT01M24.00S,2021-11-13T04:09:04.3Z,2,REGULAR,turnover,bad pass,[],201939,,,1610612744,46,42,2021-11-13T04:09:05Z,2880000,,,0,,S. Curry bad pass TURNOVER (2 TO),"[201939, 201942]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,2.0,,,DeRozan,201942.0,,,,,
297,PT01M24.00S,2021-11-13T04:09:04.3Z,2,REGULAR,steal,,[],201942,,,1610612741,46,42,2021-11-13T04:09:07Z,2890000,,,0,,D. DeRozan STEAL (1 STL),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,
298,PT01M20.00S,2021-11-13T04:09:11.6Z,2,REGULAR,foul,personal,['2freethrow'],203110,,,1610612741,46,42,2021-11-13T04:09:18Z,2900000,,,0,,D. Green shooting personal FOUL (2 PF) (DeRozan 2 FT),"[203110, 201942]",1610612744.0,GSW,shooting,,,Green,D. Green,,,,,,,,,,,,,,,202037.0,,,,,,2.0,0.0,DeRozan,201942.0,
300,PT01M20.00S,2021-11-13T04:09:36.4Z,2,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",201942,,,1610612741,46,43,2021-11-13T04:09:36Z,2920000,,,0,,D. DeRozan Free Throw 1 of 2 (7 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,Made,7.0,,,,,,,,,,,,,,,,,,
301,PT01M20.00S,2021-11-13T04:09:37.0Z,2,REGULAR,substitution,out,[],1626172,,,1610612741,46,43,2021-11-13T04:09:47Z,2930000,,,0,,SUB out: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,
302,PT01M20.00S,2021-11-13T04:09:37.0Z,2,REGULAR,substitution,in,[],202357,,,1610612741,46,43,2021-11-13T04:09:47Z,2940000,,,0,,SUB in: N. Bjelica,[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,,,,,,,,,,,,,,,,
303,PT01M20.00S,2021-11-13T04:09:56.6Z,2,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",201942,,,1610612741,46,43,2021-11-13T04:09:56Z,2950000,,,0,,MISS D. DeRozan Free Throw 2 of 2,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,Missed,,,,,,,,,,,,,,,,,,,
304,PT01M18.00S,2021-11-13T04:09:57.6Z,2,REGULAR,rebound,defensive,[],203110,,,1610612744,46,43,2021-11-13T04:09:57Z,2960000,,,0,,D. Green REBOUND (Off:1 Def:5),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,303.0,6.0,5.0,1.0,,,,,,,,,,,
305,PT01M10.00S,2021-11-13T04:10:06.3Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],203110,7.178055190538765,52.20588235294118,1610612744,48,43,2021-11-13T04:17:25Z,2970000,-11.0,15.0,1,left,D. Green running DUNK (4 PTS),[203110],1610612744.0,GSW,running,,,Green,D. Green,,,,,1.86,Made,4.0,,,,,,,,,,,,,,,,,,
306,PT00M55.80S,2021-11-13T04:10:20.8Z,2,REGULAR,3pt,Jump Shot,[],1628366,71.43561103810775,12.990196078431374,1610612741,48,43,2021-11-13T04:10:23Z,2980000,-185.0,216.0,1,right,MISS L. Ball 28' 3PT,[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,28.44,Missed,,,,,,,,,,,,,,,,,,,
307,PT00M52.40S,2021-11-13T04:10:25.8Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612744,48,43,2021-11-13T04:10:25Z,2990000,,,0,,TEAM defensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,,,306.0,,,,,,,,,,,,,,
308,PT00M52.40S,2021-11-13T04:10:27.1Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,48,43,2021-11-13T04:10:27Z,3000000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,PT00M38.10S,2021-11-13T04:10:57.3Z,2,REGULAR,3pt,Jump Shot,[],203110,34.11629434954008,41.911764705882355,1610612744,51,43,2021-11-13T04:11:00Z,3010000,40.0,268.0,1,left,D. Green 27' 3PT  (7 PTS) (A. Wiggins 1 AST),"[203110, 203952]",1610612744.0,GSW,,,,Green,D. Green,,,,,27.12,Made,7.0,A. Wiggins,203952.0,1.0,,,,,,,,,,,,,,,
311,PT00M30.80S,2021-11-13T04:11:09.3Z,2,REGULAR,3pt,Jump Shot,[],1628366,73.27529566360053,16.666666666666664,1610612741,51,43,2021-11-13T04:11:12Z,3030000,-167.0,199.0,1,right,MISS L. Ball 25' 3PT,[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,25.94,Missed,,,,,,,,,,,,,,,,,,,
312,PT00M28.10S,2021-11-13T04:11:12.0Z,2,REGULAR,rebound,defensive,[],1629673,,,1610612744,51,43,2021-11-13T04:12:34Z,3040000,,,0,,J. Poole REBOUND (Off:0 Def:1),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,311.0,1.0,1.0,0.0,,,,,,,,,,,
313,PT00M06.70S,2021-11-13T04:11:34.4Z,2,REGULAR,turnover,bad pass,[],202357,,,1610612744,51,43,2021-11-13T04:12:29Z,3050000,,,0,,N. Bjelica bad pass TURNOVER (2 TO),"[202357, 203897]",1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,,,,,,,2.0,,,LaVine,203897.0,,,,,
314,PT00M06.70S,2021-11-13T04:11:34.4Z,2,REGULAR,steal,,[],203897,,,1610612741,51,43,2021-11-13T04:12:17Z,3060000,,,0,,Z. LaVine STEAL (1 STL),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,,,,,,
315,PT00M02.60S,2021-11-13T04:11:38.1Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628366,91.27792378449409,50.245098039215684,1610612741,51,45,2021-11-13T04:11:43Z,3070000,1.0,29.0,1,right,L. Ball running DUNK (2 PTS) (A. Caruso 4 AST),"[1628366, 1627936]",1610612741.0,CHI,running,,,Ball,L. Ball,,,,,2.95,Made,2.0,A. Caruso,1627936.0,4.0,,,,,,,,,,,,,,,
318,PT00M00.20S,2021-11-13T04:11:46.3Z,2,REGULAR,3pt,Jump Shot,[],202357,27.151773981603156,13.23529411764706,1610612744,51,45,2021-11-13T04:13:10Z,3085000,184.0,203.0,1,left,MISS N. Bjelica 27' 3PT,[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,27.36,Missed,,,,,,,,,,,,,,,,,,,
319,PT00M00.10S,2021-11-13T04:11:46.4Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612744,51,45,2021-11-13T04:17:32Z,3087500,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,,,318.0,,,,,,,,,,,,,,
317,PT00M00.00S,2021-11-13T04:11:54.6Z,2,REGULAR,period,end,[],0,,,1610612744,51,45,2021-11-13T04:11:54Z,3090000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,PT12M00.00S,2021-11-13T04:26:35.9Z,3,REGULAR,substitution,out,['startperiod'],202357,,,1610612744,51,45,2021-11-13T04:27:01Z,3100000,,,0,,SUB out: N. Bjelica,[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,,,,,,,,,,,,,,,,
327,PT12M00.00S,2021-11-13T04:26:35.9Z,3,REGULAR,substitution,out,['startperiod'],1627936,,,1610612744,51,45,2021-11-13T04:27:01Z,3110000,,,0,,SUB out: A. Caruso,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,
328,PT12M00.00S,2021-11-13T04:26:35.9Z,3,REGULAR,substitution,out,['startperiod'],1628993,,,1610612744,51,45,2021-11-13T04:27:01Z,3120000,,,0,,SUB out: A. Johnson,[1628993],1610612741.0,CHI,,,,Johnson,A. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
329,PT12M00.00S,2021-11-13T04:26:35.9Z,3,REGULAR,substitution,in,['startperiod'],1626172,,,1610612744,51,45,2021-11-13T04:27:01Z,3130000,,,0,,SUB in: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,
330,PT12M00.00S,2021-11-13T04:26:35.9Z,3,REGULAR,substitution,in,['startperiod'],1628396,,,1610612744,51,45,2021-11-13T04:27:01Z,3140000,,,0,,SUB in: T. Bradley,[1628396],1610612741.0,CHI,,,,Bradley,T. Bradley,,,,,,,,,,,,,,,,,,,,,,,,,
331,PT12M00.00S,2021-11-13T04:26:35.9Z,3,REGULAR,substitution,in,['startperiod'],1629750,,,1610612744,51,45,2021-11-13T04:27:01Z,3150000,,,0,,SUB in: J. Green,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
332,PT12M00.00S,2021-11-13T04:27:29.9Z,3,REGULAR,period,start,[],0,,,1610612744,51,45,2021-11-13T04:27:29Z,3160000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,PT11M46.00S,2021-11-13T04:27:43.5Z,3,REGULAR,3pt,Jump Shot,[],201939,73.53810775295663,87.74509803921569,1610612744,54,45,2021-11-13T04:27:47Z,3170000,189.0,196.0,1,right,S. Curry 27' 3PT  (20 PTS) (D. Green 5 AST),"[201939, 203110]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,27.22,Made,20.0,D. Green,203110.0,5.0,,,,,,,,,,,,,,,
335,PT11M30.00S,2021-11-13T04:28:00.4Z,3,REGULAR,foul,personal,['2freethrow'],1629673,,,1610612741,54,45,2021-11-13T04:28:36Z,3190000,,,0,,J. Poole shooting personal FOUL (1 PF) (Green 2 FT),"[1629673, 1629750]",1610612744.0,GSW,shooting,,,Poole,J. Poole,,,,,,,,,,,,,,,202007.0,,,,,,1.0,0.0,Green,1629750.0,
337,PT11M30.00S,2021-11-13T04:28:37.1Z,3,REGULAR,freethrow,1 of 2,[],1629750,,,1610612741,54,45,2021-11-13T04:28:37Z,3210000,,,0,,MISS J. Green Free Throw 1 of 2,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,Missed,,,,,,,,,,,,,,,,,,,
338,PT11M30.00S,2021-11-13T04:28:37.1Z,3,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612741,54,45,2021-11-13T04:28:37Z,3220000,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,,,,337.0,,,,,,,,,,,,,,
339,PT11M30.00S,2021-11-13T04:28:54.2Z,3,REGULAR,freethrow,2 of 2,[],1629750,,,1610612741,54,46,2021-11-13T04:28:54Z,3230000,,,0,,J. Green Free Throw 2 of 2 (3 PTS),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
340,PT11M21.00S,2021-11-13T04:29:07.6Z,3,REGULAR,3pt,Jump Shot,[],1629673,65.65374507227332,79.41176470588235,1610612744,54,46,2021-11-13T04:29:11Z,3240000,147.0,270.0,1,right,MISS J. Poole 30' 3PT,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,30.78,Missed,,,,,,,,,,,,,,,,,,,
341,PT11M19.00S,2021-11-13T04:29:09.6Z,3,REGULAR,rebound,defensive,[],1628396,,,1610612741,54,46,2021-11-13T04:30:35Z,3250000,,,0,,T. Bradley REBOUND (Off:0 Def:3),[1628396],1610612741.0,CHI,,,,Bradley,T. Bradley,,,,,,,,,,,340.0,3.0,3.0,0.0,,,,,,,,,,,
342,PT11M11.00S,2021-11-13T04:29:17.7Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201942,14.931011826544022,57.84313725490197,1610612741,54,46,2021-11-13T04:29:22Z,3260000,-39.0,88.0,1,left,MISS D. DeRozan 9' fadeaway Shot,[201942],1610612741.0,CHI,fadeaway,,,DeRozan,D. DeRozan,,,,,9.62,Missed,,,,,,,,,,,,,,,,,,,
343,PT11M09.00S,2021-11-13T04:29:19.7Z,3,REGULAR,rebound,defensive,[],1626172,,,1610612744,54,46,2021-11-13T04:30:10Z,3270000,,,0,,K. Looney REBOUND (Off:3 Def:6),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,342.0,9.0,6.0,3.0,,,,,,,,,,,
344,PT11M01.00S,2021-11-13T04:29:28.8Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201939,87.99277266754271,39.46078431372549,1610612744,56,46,2021-11-13T04:29:32Z,3280000,-53.0,60.0,1,right,S. Curry 8' driving floating bank Jump Shot (22 PTS),[201939],1610612744.0,GSW,driving floating bank,,,Curry,S. Curry,,,,,8.02,Made,22.0,,,,,,,,,,,,,,,,,,
345,PT11M01.00S,2021-11-13T04:29:34.6Z,3,REGULAR,foul,personal,['1freethrow'],1629750,,,1610612744,56,46,2021-11-13T04:29:45Z,3290000,,,0,,J. Green shooting personal FOUL (2 PF) (Curry 1 FT),"[1629750, 201939]",1610612741.0,CHI,shooting,,,Green,J. Green,,,,,,,,,,,,,,,202037.0,,,,,,2.0,0.0,Curry,201939.0,
347,PT11M01.00S,2021-11-13T04:30:06.2Z,3,REGULAR,freethrow,1 of 1,[],201939,,,1610612744,57,46,2021-11-13T04:30:06Z,3310000,,,0,,S. Curry Free Throw 1 of 1 (23 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,Made,23.0,,,,,,,,,,,,,,,,,,
348,PT10M42.00S,2021-11-13T04:30:27.3Z,3,REGULAR,3pt,Jump Shot,[],1629750,27.020367936925098,85.7843137254902,1610612741,57,46,2021-11-13T04:30:29Z,3320000,-179.0,201.0,1,left,MISS J. Green 26' 3PT,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,26.95,Missed,,,,,,,,,,,,,,,,,,,
349,PT10M39.00S,2021-11-13T04:30:30.3Z,3,REGULAR,rebound,defensive,[],201939,,,1610612744,57,46,2021-11-13T04:31:14Z,3330000,,,0,,S. Curry REBOUND (Off:0 Def:2),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,348.0,2.0,2.0,0.0,,,,,,,,,,,
350,PT10M30.00S,2021-11-13T04:30:40.1Z,3,REGULAR,foul,personal,['2freethrow'],201942,,,1610612744,57,46,2021-11-13T04:30:53Z,3340000,,,0,,D. DeRozan shooting personal FOUL (2 PF) (Looney 2 FT),"[201942, 1626172]",1610612741.0,CHI,shooting,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,202007.0,,,,,,2.0,0.0,Looney,1626172.0,
352,PT10M30.00S,2021-11-13T04:31:04.3Z,3,REGULAR,freethrow,1 of 2,[],1626172,,,1610612744,58,46,2021-11-13T04:31:04Z,3360000,,,0,,K. Looney Free Throw 1 of 2 (3 PTS),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
353,PT10M30.00S,2021-11-13T04:31:17.0Z,3,REGULAR,freethrow,2 of 2,[],1626172,,,1610612744,59,46,2021-11-13T04:31:17Z,3370000,,,0,,K. Looney Free Throw 2 of 2 (4 PTS),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
354,PT10M14.00S,2021-11-13T04:31:35.8Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],203897,7.966491458607096,56.61764705882353,1610612741,59,48,2021-11-13T04:31:39Z,3380000,-33.0,22.0,1,left,Z. LaVine driving Layup (14 PTS),[203897],1610612741.0,CHI,driving,,,LaVine,Z. LaVine,,,,,4.0,Made,14.0,,,,,,,,,,,,,,,,,,
355,PT10M00.00S,2021-11-13T04:31:50.0Z,3,REGULAR,2pt,Jump Shot,[],203110,77.61169513797634,49.50980392156863,1610612744,59,48,2021-11-13T04:31:52Z,3390000,-2.0,158.0,1,right,MISS D. Green 15' driving floating Shot,[203110],1610612744.0,GSW,driving floating,,,Green,D. Green,,,,,15.8,Missed,,,,,,,,,,,,,,,,,,,
356,PT09M58.00S,2021-11-13T04:31:52.0Z,3,REGULAR,rebound,defensive,[],1629750,,,1610612741,59,48,2021-11-13T04:32:17Z,3400000,,,0,,J. Green REBOUND (Off:0 Def:4),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,355.0,4.0,4.0,0.0,,,,,,,,,,,
357,PT09M48.00S,2021-11-13T04:32:02.2Z,3,REGULAR,2pt,Jump Shot,[],203897,4.681340341655716,77.20588235294117,1610612741,59,48,2021-11-13T04:32:05Z,3410000,-136.0,-8.0,1,left,MISS Z. LaVine 13' step back Shot,[203897],1610612741.0,CHI,step back,,,LaVine,Z. LaVine,,,,,13.63,Missed,,,,,,,,,,,,,,,,,,,
358,PT09M46.00S,2021-11-13T04:32:04.2Z,3,REGULAR,rebound,offensive,[],1628396,,,1610612741,59,48,2021-11-13T04:32:13Z,3420000,,,0,,T. Bradley REBOUND (Off:1 Def:3),[1628396],1610612741.0,CHI,,,,Bradley,T. Bradley,,,,,,,,,,,357.0,4.0,3.0,1.0,,,,,,,,,,,
359,PT09M43.00S,2021-11-13T04:32:06.7Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],1628366,28.465834428383708,15.196078431372548,1610612741,59,51,2021-11-13T04:32:08Z,3430000,174.0,215.0,1,left,L. Ball 27' 3PT  (5 PTS) (T. Bradley 1 AST),"[1628366, 1628396]",1610612741.0,CHI,,,,Ball,L. Ball,,,,,27.67,Made,5.0,T. Bradley,1628396.0,1.0,,,,,,,,,,,,,,,
361,PT09M28.00S,2021-11-13T04:32:21.7Z,3,REGULAR,3pt,Jump Shot,[],201939,71.04139290407359,80.3921568627451,1610612744,62,51,2021-11-13T04:32:24Z,3450000,152.0,220.0,1,right,S. Curry 26' 3PT pullup (26 PTS),[201939],1610612744.0,GSW,pullup,,,Curry,S. Curry,,,,,26.72,Made,26.0,,,,,,,,,,,,,,,,,,
