actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,pointsTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
350,PT12M00.00S,2023-11-09T02:30:39.3Z,3,REGULAR,substitution,out,['startperiod'],1630256,,,1610612745,66,45,2023-11-09T02:31:27Z,3440000,False,,,0,,SUB out: J. Tate,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,,,,,
351,PT12M00.00S,2023-11-09T02:30:39.3Z,3,REGULAR,substitution,out,['startperiod'],201145,,,1610612745,66,45,2023-11-09T02:31:27Z,3450000,False,,,0,,SUB out: J. Green,[201145],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
352,PT12M00.00S,2023-11-09T02:30:39.3Z,3,REGULAR,substitution,out,['startperiod'],1631108,,,1610612745,66,45,2023-11-09T02:31:27Z,3460000,False,,,0,,SUB out: M. Christie,[1631108],1610612747.0,LAL,,,,Christie,M. Christie,,,,,,,,,,,,,,,,,,,,,,,,,,
353,PT12M00.00S,2023-11-09T02:30:39.3Z,3,REGULAR,substitution,out,['startperiod'],1629629,,,1610612745,66,45,2023-11-09T02:31:27Z,3470000,False,,,0,,SUB out: C. Reddish,[1629629],1610612747.0,LAL,,,,Reddish,C. Reddish,,,,,,,,,,,,,,,,,,,,,,,,,,
354,PT12M00.00S,2023-11-09T02:30:39.3Z,3,REGULAR,substitution,in,['startperiod'],1630578,,,1610612745,66,45,2023-11-09T02:31:27Z,3480000,False,,,0,,SUB in: A. Sengun,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,,,
355,PT12M00.00S,2023-11-09T02:30:39.3Z,3,REGULAR,substitution,in,['startperiod'],1630224,,,1610612745,66,45,2023-11-09T02:31:27Z,3490000,False,,,0,,SUB in: J. Green,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
356,PT12M00.00S,2023-11-09T02:30:39.3Z,3,REGULAR,substitution,in,['startperiod'],1626156,,,1610612745,66,45,2023-11-09T02:31:27Z,3500000,False,,,0,,SUB in: D. Russell,[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,,
357,PT12M00.00S,2023-11-09T02:30:39.3Z,3,REGULAR,substitution,in,['startperiod'],1630559,,,1610612745,66,45,2023-11-09T02:31:27Z,3510000,False,,,0,,SUB in: A. Reaves,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,,,,,,,,,,,,,,
358,PT12M00.00S,2023-11-09T02:31:28.9Z,3,REGULAR,period,start,[],0,,,1610612747,66,45,2023-11-09T02:31:28Z,3520000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,PT11M39.00S,2023-11-09T02:31:48.3Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630559,88.51839684625493,65.19607843137256,1610612747,66,45,2023-11-09T02:31:56Z,3530000,False,76.0,55.0,1,right,MISS A. Reaves 9' driving finger roll Layup,[1630559],1610612747.0,LAL,driving finger roll,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),8-16 Right,9.4,Missed,,,,,,,,,,,,,,,,,,
360,PT11M38.00S,2023-11-09T02:31:49.3Z,3,REGULAR,rebound,defensive,[],1630578,,,1610612745,66,45,2023-11-09T02:31:56Z,3540000,False,,,0,,A. Sengun REBOUND (Off:0 Def:5),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Right,,,,,359.0,,5.0,5.0,0.0,,,,,,,,,,,
361,PT11M32.00S,2023-11-09T02:31:55.2Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630224,11.12023653088042,55.14705882352941,1610612745,66,45,2023-11-09T02:32:02Z,3550000,False,-26.0,52.0,1,left,MISS J. Green driving Layup - blocked,"[1630224, 1626156]",1610612745.0,HOU,driving,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,5.8,Missed,Russell,1626156.0,,,,,,,,,,,,,,,,
362,PT11M32.00S,2023-11-09T02:31:55.2Z,3,REGULAR,block,,[],1626156,,,1610612745,66,45,2023-11-09T02:31:57Z,3560000,False,,,0,,D. Russell BLOCK (3 BLK),[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
363,PT11M32.00S,2023-11-09T02:31:55.2Z,3,REGULAR,rebound,defensive,[],1626156,,,1610612747,66,45,2023-11-09T02:32:02Z,3570000,False,,,0,,D. Russell REBOUND (Off:0 Def:2),[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,In The Paint (Non-RA),0-8 Center,,,,,361.0,,2.0,2.0,0.0,,,,,,,,,,,
364,PT11M24.00S,2023-11-09T02:32:03.4Z,3,REGULAR,3pt,Jump Shot,[],1630559,95.6143232588699,2.941176470588235,1610612747,66,45,2023-11-09T02:32:11Z,3580000,False,-235.0,-11.0,1,right,MISS A. Reaves 3PT,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Left Corner 3,24+ Left,23.56,Missed,,,,,,,,,,,,,,,,,,
365,PT11M23.00S,2023-11-09T02:32:04.4Z,3,REGULAR,rebound,defensive,[],1627832,,,1610612745,66,45,2023-11-09T02:32:11Z,3590000,False,,,0,,F. VanVleet REBOUND (Off:0 Def:2),[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Left Corner 3,24+ Left,,,,,364.0,,2.0,2.0,0.0,,,,,,,,,,,
366,PT11M05.00S,2023-11-09T02:32:23.4Z,3,REGULAR,3pt,Jump Shot,[],1631095,17.95335085413929,4.411764705882353,1610612745,69,45,2023-11-09T02:32:29Z,3600000,False,228.0,116.0,1,left,J. Smith Jr. 25' 3PT  (9 PTS) (D. Brooks 1 AST),"[1631095, 1628415]",1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Right Center,25.59,Made,,,,9.0,,,,D. Brooks,1628415.0,1.0,,,,,,,,
368,PT10M48.00S,2023-11-09T02:32:39.3Z,3,REGULAR,2pt,Jump Shot,[],1626156,92.72339027595268,27.941176470588236,1610612747,69,47,2023-11-09T02:32:46Z,3620000,False,-110.0,16.0,1,right,D. Russell 11' pullup Jump Shot (9 PTS),[1626156],1610612747.0,LAL,pullup,,,Russell,D. Russell,,,,,Mid-Range,8-16 Left,11.14,Made,,,,9.0,,,,,,,,,,,,,,
369,PT10M32.00S,2023-11-09T02:32:55.3Z,3,REGULAR,3pt,Jump Shot,[],1628415,23.078186596583443,12.5,1610612745,69,47,2023-11-09T02:33:01Z,3630000,False,188.0,164.0,1,left,MISS D. Brooks 24' 3PT,[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,24.94,Missed,,,,,,,,,,,,,,,,,,
370,PT10M31.00S,2023-11-09T02:32:56.3Z,3,REGULAR,rebound,offensive,[],1627832,,,1610612745,69,47,2023-11-09T02:33:01Z,3640000,False,,,0,,F. VanVleet REBOUND (Off:1 Def:2),[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Right Center,,,,,369.0,,3.0,2.0,1.0,,,,,,,,,,,
372,PT10M24.00S,2023-11-09T02:33:09.7Z,3,REGULAR,foul,personal,['2freethrow'],1626174,,,1610612745,69,47,2023-11-09T02:33:14Z,3660000,False,,,0,,C. Wood shooting personal FOUL (3 PF) (Sengun 2 FT),"[1626174, 1630578]",1610612747.0,LAL,shooting,,,Wood,C. Wood,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1626300.0,3.0,0.0,Sengun,1630578.0,,,
374,PT10M24.00S,2023-11-09T02:33:37.6Z,3,REGULAR,freethrow,1 of 2,['2ndchance'],1630578,,,1610612745,70,47,2023-11-09T02:33:37Z,3680000,False,,,0,,A. Sengun Free Throw 1 of 2 (14 PTS),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,Made,,,,14.0,,,,,,,,,,,,,,
375,PT10M24.00S,2023-11-09T02:33:57.1Z,3,REGULAR,freethrow,2 of 2,['2ndchance'],1630578,,,1610612745,71,47,2023-11-09T02:33:57Z,3690000,False,,,0,,A. Sengun Free Throw 2 of 2 (15 PTS),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,Made,,,,15.0,,,,,,,,,,,,,,
376,PT10M06.00S,2023-11-09T02:34:17.4Z,3,REGULAR,3pt,Jump Shot,[],1626156,94.1688567674113,96.07843137254902,1610612747,71,50,2023-11-09T02:34:21Z,3700000,False,230.0,2.0,1,right,D. Russell 3PT  (12 PTS) (A. Reaves 3 AST),"[1626156, 1630559]",1610612747.0,LAL,,,,Russell,D. Russell,,,,,Right Corner 3,24+ Right,23.04,Made,,,,12.0,,,,A. Reaves,1630559.0,3.0,,,,,,,,
378,PT09M50.00S,2023-11-09T02:34:33.7Z,3,REGULAR,turnover,bad pass,[],1627832,,,1610612745,71,50,2023-11-09T02:34:37Z,3720000,False,,,0,,F. VanVleet bad pass TURNOVER (1 TO),"[1627832, 1630559]",1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,1.0,Reaves,1630559.0
379,PT09M50.00S,2023-11-09T02:34:33.7Z,3,REGULAR,steal,,[],1630559,,,1610612747,71,50,2023-11-09T02:34:35Z,3730000,False,,,0,,A. Reaves STEAL (1 STL),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
380,PT09M44.00S,2023-11-09T02:34:41.8Z,3,REGULAR,turnover,out-of-bounds,[],2544,,,1610612747,71,50,2023-11-09T02:34:48Z,3740000,False,,,0,,L. James bad pass out-of-bounds TURNOVER (3 TO),[2544],1610612747.0,LAL,bad pass,,,James,L. James,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,1626300.0,,,,,3.0,,
381,PT09M32.00S,2023-11-09T02:35:06.2Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],1627832,30.17411300919842,19.11764705882353,1610612745,71,50,2023-11-09T02:35:17Z,3750000,False,154.0,231.0,1,left,MISS F. VanVleet 27' 3PT,[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Right Center,27.79,Missed,,,,,,,,,,,,,,,,,,
382,PT09M31.00S,2023-11-09T02:35:07.2Z,3,REGULAR,rebound,defensive,[],2544,,,1610612747,71,50,2023-11-09T02:35:17Z,3760000,False,,,0,,L. James REBOUND (Off:1 Def:3),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Right Center,,,,,381.0,,4.0,3.0,1.0,,,,,,,,,,,
383,PT09M25.00S,2023-11-09T02:35:14.6Z,3,REGULAR,foul,personal,[],1627832,,,1610612747,71,50,2023-11-09T02:35:21Z,3770000,False,,,0,,F. VanVleet personal FOUL (1 PF),"[1627832, 1626156]",1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,1626300.0,1.0,0.0,Russell,1626156.0,,,
385,PT09M17.00S,2023-11-09T02:35:34.7Z,3,REGULAR,2pt,Jump Shot,[],1627752,91.01511169513797,24.264705882352942,1610612747,71,50,2023-11-09T02:35:54Z,3790000,False,-129.0,32.0,1,right,MISS T. Prince 13' fadeaway Shot,[1627752],1610612747.0,LAL,fadeaway,,,Prince,T. Prince,,,,,Mid-Range,8-16 Left,13.26,Missed,,,,,,,,,,,,,,,,,,
386,PT09M16.00S,2023-11-09T02:35:35.7Z,3,REGULAR,rebound,defensive,[],1630224,,,1610612745,71,50,2023-11-09T02:35:54Z,3800000,False,,,0,,J. Green REBOUND (Off:0 Def:5),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Mid-Range,8-16 Left,,,,,385.0,,5.0,5.0,0.0,,,,,,,,,,,
387,PT09M10.00S,2023-11-09T02:35:41.4Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1627832,31.488173455978973,72.05882352941177,1610612745,74,50,2023-11-09T02:35:58Z,3810000,False,-110.0,243.0,1,left,F. VanVleet 26' 3PT pullup (7 PTS) (J. Green 2 AST),"[1627832, 1630224]",1610612745.0,HOU,pullup,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,26.73,Made,,,,7.0,,,,J. Green,1630224.0,2.0,,,,,,,,
389,PT08M55.00S,2023-11-09T02:35:55.7Z,3,REGULAR,3pt,Jump Shot,[],1630559,94.69448094612353,95.09803921568627,1610612747,74,50,2023-11-09T02:36:08Z,3830000,False,225.0,-3.0,1,right,MISS A. Reaves 3PT,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Right Corner 3,24+ Right,22.55,Missed,,,,,,,,,,,,,,,,,,
390,PT08M51.00S,2023-11-09T02:35:59.7Z,3,REGULAR,rebound,defensive,[],1631095,,,1610612745,74,50,2023-11-09T02:36:08Z,3840000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:4),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Right Corner 3,24+ Right,,,,,389.0,,4.0,4.0,0.0,,,,,,,,,,,
391,PT08M47.00S,2023-11-09T02:36:03.6Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1627832,32.40801576872536,27.205882352941174,1610612745,74,50,2023-11-09T02:36:17Z,3850000,False,114.0,252.0,1,left,MISS F. VanVleet 27' pullup 3PT,[1627832],1610612745.0,HOU,pullup,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Right Center,27.67,Missed,,,,,,,,,,,,,,,,,,
392,PT08M47.00S,2023-11-09T02:36:03.6Z,3,REGULAR,rebound,defensive,['team'],0,,,1610612747,74,50,2023-11-09T02:36:17Z,3860000,False,,,0,,TEAM defensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,391.0,,,,,,,,,,,,,,,
394,PT08M33.00S,2023-11-09T02:36:29.9Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630559,80.1084099868594,57.107843137254896,1610612747,74,52,2023-11-09T02:36:36Z,3880000,False,36.0,134.0,1,right,A. Reaves 13' pullup Jump Shot (7 PTS),[1630559],1610612747.0,LAL,pullup,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),8-16 Center,13.91,Made,,,,7.0,,,,,,,,,,,,,,
395,PT08M12.00S,2023-11-09T02:36:50.8Z,3,REGULAR,3pt,Jump Shot,[],1631095,26.757555847568987,13.725490196078432,1610612745,74,52,2023-11-09T02:37:23Z,3890000,False,181.0,199.0,1,left,MISS J. Smith Jr. 26' 3PT,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Right Center,26.93,Missed,,,,,,,,,,,,,,,,,,
396,PT08M11.00S,2023-11-09T02:36:51.8Z,3,REGULAR,rebound,defensive,[],1626174,,,1610612747,74,52,2023-11-09T02:37:23Z,3900000,False,,,0,,C. Wood REBOUND (Off:0 Def:4),[1626174],1610612747.0,LAL,,,,Wood,C. Wood,,,,,Above the Break 3,24+ Right Center,,,,,395.0,,4.0,4.0,0.0,,,,,,,,,,,
397,PT08M04.00S,2023-11-09T02:37:02.5Z,3,REGULAR,foul,personal,[],1628415,,,1610612747,74,52,2023-11-09T02:37:12Z,3910000,False,,,0,,D. Brooks personal FOUL (4 PF),"[1628415, 1626174]",1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,1626300.0,4.0,0.0,Wood,1626174.0,,,
399,PT08M04.00S,2023-11-09T02:37:16.8Z,3,REGULAR,substitution,out,[],1628415,,,1610612747,74,52,2023-11-09T02:37:19Z,3930000,False,,,0,,SUB out: D. Brooks,[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,
400,PT08M04.00S,2023-11-09T02:37:16.8Z,3,REGULAR,substitution,in,[],1630256,,,1610612747,74,52,2023-11-09T02:37:19Z,3940000,False,,,0,,SUB in: J. Tate,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,,,,,
401,PT07M53.00S,2023-11-09T02:37:46.6Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],2544,86.02168199737189,44.6078431372549,1610612747,74,54,2023-11-09T02:37:51Z,3950000,False,-27.0,79.0,1,right,L. James 8' turnaround fadeaway Jump Shot (11 PTS),[2544],1610612747.0,LAL,turnaround fadeaway,,,James,L. James,,,,,In The Paint (Non-RA),8-16 Center,8.34,Made,,,,11.0,,,,,,,,,,,,,,
402,PT07M31.00S,2023-11-09T02:38:07.8Z,3,REGULAR,3pt,Jump Shot,[],1630256,13.485545335085414,2.696078431372549,1610612745,77,54,2023-11-09T02:38:12Z,3960000,False,237.0,74.0,1,left,J. Tate 24' 3PT  (9 PTS) (J. Green 3 AST),"[1630256, 1630224]",1610612745.0,HOU,,,,Tate,J. Tate,,,,,Right Corner 3,24+ Right,24.79,Made,,,,9.0,,,,J. Green,1630224.0,3.0,,,,,,,,
404,PT07M19.00S,2023-11-09T02:38:21.5Z,3,REGULAR,3pt,Jump Shot,[],2544,89.43823915900131,95.58823529411765,1610612747,77,54,2023-11-09T02:38:41Z,3980000,False,228.0,47.0,1,right,MISS L. James 3PT,[2544],1610612747.0,LAL,,,,James,L. James,,,,,Right Corner 3,24+ Right,23.27,Missed,,,,,,,,,,,,,,,,,,
405,PT07M18.00S,2023-11-09T02:38:22.5Z,3,REGULAR,rebound,defensive,[],1627832,,,1610612745,77,54,2023-11-09T02:38:41Z,3990000,False,,,0,,F. VanVleet REBOUND (Off:1 Def:3),[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Right Corner 3,24+ Right,,,,,404.0,,4.0,3.0,1.0,,,,,,,,,,,
406,PT07M13.00S,2023-11-09T02:38:29.6Z,3,REGULAR,foul,personal,['2freethrow'],1626174,,,1610612745,77,54,2023-11-09T02:38:36Z,4000000,False,,,0,,C. Wood shooting personal FOUL (4 PF) (VanVleet 2 FT),"[1626174, 1627832]",1610612747.0,LAL,shooting,,,Wood,C. Wood,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1626300.0,4.0,0.0,VanVleet,1627832.0,,,
408,PT07M13.00S,2023-11-09T02:38:55.4Z,3,REGULAR,freethrow,1 of 2,['fastbreak'],1627832,,,1610612745,78,54,2023-11-09T02:38:55Z,4020000,False,,,0,,F. VanVleet Free Throw 1 of 2 (8 PTS),[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,,,,Made,,,,8.0,,,,,,,,,,,,,,
409,PT07M13.00S,2023-11-09T02:39:03.2Z,3,REGULAR,substitution,out,[],1626174,,,1610612745,78,54,2023-11-09T02:39:07Z,4030000,False,,,0,,SUB out: C. Wood,[1626174],1610612747.0,LAL,,,,Wood,C. Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
410,PT07M13.00S,2023-11-09T02:39:03.2Z,3,REGULAR,substitution,in,[],1629060,,,1610612745,78,54,2023-11-09T02:39:07Z,4040000,False,,,0,,SUB in: R. Hachimura,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,,,,,,,
411,PT07M13.00S,2023-11-09T02:39:22.1Z,3,REGULAR,freethrow,2 of 2,['fastbreak'],1627832,,,1610612745,79,54,2023-11-09T02:39:22Z,4050000,False,,,0,,F. VanVleet Free Throw 2 of 2 (9 PTS),[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,,,,Made,,,,9.0,,,,,,,,,,,,,,
412,PT07M05.00S,2023-11-09T02:39:35.7Z,3,REGULAR,foul,personal,[],1627832,,,1610612747,79,54,2023-11-09T02:39:43Z,4060000,False,,,0,,F. VanVleet personal FOUL (2 PF),"[1627832, 1630559]",1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,202027.0,2.0,0.0,Reaves,1630559.0,,,
414,PT06M57.00S,2023-11-09T02:40:00.6Z,3,REGULAR,2pt,DUNK,['pointsinthepaint'],2544,93.9060446780552,53.67647058823529,1610612747,79,56,2023-11-09T02:40:07Z,4080000,False,18.0,5.0,1,right,L. James cutting DUNK (13 PTS) (R. Hachimura 1 AST),"[2544, 1629060]",1610612747.0,LAL,cutting,,,James,L. James,,,,,Restricted Area,0-8 Center,1.9,Made,,,,13.0,,,,R. Hachimura,1629060.0,1.0,,,,,,,,
416,PT06M42.00S,2023-11-09T02:40:15.6Z,3,REGULAR,turnover,bad pass,[],1630224,,,1610612745,79,56,2023-11-09T02:40:21Z,4100000,False,,,0,,J. Green bad pass TURNOVER (1 TO),"[1630224, 1630559]",1610612745.0,HOU,,,,Green,J. Green,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,1.0,Reaves,1630559.0
417,PT06M42.00S,2023-11-09T02:40:15.6Z,3,REGULAR,steal,,[],1630559,,,1610612747,79,56,2023-11-09T02:40:17Z,4110000,False,,,0,,A. Reaves STEAL (2 STL),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
418,PT06M40.00S,2023-11-09T02:40:20.3Z,3,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",2544,93.51182654402102,52.94117647058824,1610612747,79,58,2023-11-09T02:40:31Z,4120000,False,15.0,8.0,1,right,L. James cutting Layup (15 PTS) (A. Reaves 4 AST),"[2544, 1630559]",1610612747.0,LAL,cutting,,,James,L. James,,,,,Restricted Area,0-8 Center,1.7,Made,,,,15.0,,,,A. Reaves,1630559.0,4.0,,,,,,,,
420,PT06M40.00S,2023-11-09T02:40:25.4Z,3,REGULAR,foul,personal,['1freethrow'],1630256,,,1610612747,79,58,2023-11-09T02:40:43Z,4140000,False,,,0,,J. Tate shooting personal FOUL (3 PF) (James 1 FT),"[1630256, 2544]",1610612745.0,HOU,shooting,,,Tate,J. Tate,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1626300.0,3.0,0.0,James,2544.0,,,
422,PT06M40.00S,2023-11-09T02:40:45.6Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,79,58,2023-11-09T02:44:20Z,4160000,False,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,PT06M40.00S,2023-11-09T02:43:36.4Z,3,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",2544,,,1610612747,79,59,2023-11-09T02:43:36Z,4170000,False,,,0,,L. James Free Throw 1 of 1 (16 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,Made,,,,16.0,,,,,,,,,,,,,,
424,PT06M23.00S,2023-11-09T02:43:55.2Z,3,REGULAR,3pt,Jump Shot,[],1631095,30.699737187910642,67.8921568627451,1610612745,82,59,2023-11-09T02:43:59Z,4180000,False,-89.0,236.0,1,left,J. Smith Jr. 25' 3PT  (12 PTS) (F. VanVleet 9 AST),"[1631095, 1627832]",1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,25.25,Made,,,,12.0,,,,F. VanVleet,1627832.0,9.0,,,,,,,,
426,PT06M00.00S,2023-11-09T02:44:18.3Z,3,REGULAR,3pt,Jump Shot,[],1630559,75.1149802890933,84.55882352941177,1610612747,82,59,2023-11-09T02:44:25Z,4200000,False,173.0,181.0,1,right,MISS A. Reaves 25' 3PT,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Right Center,25.05,Missed,,,,,,,,,,,,,,,,,,
427,PT05M59.00S,2023-11-09T02:44:19.3Z,3,REGULAR,rebound,defensive,[],1630578,,,1610612745,82,59,2023-11-09T02:44:25Z,4210000,False,,,0,,A. Sengun REBOUND (Off:0 Def:6),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Right Center,,,,,426.0,,6.0,6.0,0.0,,,,,,,,,,,
428,PT05M43.00S,2023-11-09T02:44:36.8Z,3,REGULAR,foul,personal,[],2544,,,1610612745,82,59,2023-11-09T02:44:50Z,4220000,False,,,0,,L. James personal FOUL (1 PF),"[2544, 1630224]",1610612747.0,LAL,,,,James,L. James,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,2002.0,1.0,0.0,Green,1630224.0,,,
430,PT05M43.00S,2023-11-09T02:44:50.4Z,3,REGULAR,substitution,out,[],1630224,,,1610612745,82,59,2023-11-09T02:44:54Z,4240000,False,,,0,,SUB out: J. Green,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
431,PT05M43.00S,2023-11-09T02:44:50.4Z,3,REGULAR,substitution,in,[],1628988,,,1610612745,82,59,2023-11-09T02:44:54Z,4250000,False,,,0,,SUB in: A. Holiday,[1628988],1610612745.0,HOU,,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
432,PT05M32.00S,2023-11-09T02:45:16.3Z,3,REGULAR,3pt,Jump Shot,[],1630256,12.171484888304862,95.34313725490196,1610612745,82,59,2023-11-09T02:45:22Z,4260000,False,-227.0,62.0,1,left,MISS J. Tate 3PT,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,Left Corner 3,24+ Left,23.5,Missed,,,,,,,,,,,,,,,,,,
433,PT05M31.00S,2023-11-09T02:45:17.3Z,3,REGULAR,rebound,offensive,[],1631095,,,1610612745,82,59,2023-11-09T02:45:22Z,4270000,False,,,0,,J. Smith Jr. REBOUND (Off:1 Def:4),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Left Corner 3,24+ Left,,,,,432.0,,5.0,4.0,1.0,,,,,,,,,,,
434,PT05M26.00S,2023-11-09T02:45:23.4Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],1628988,11.514454664914586,5.147058823529411,1610612745,82,59,2023-11-09T02:45:31Z,4280000,False,224.0,56.0,1,left,MISS A. Holiday 3PT,[1628988],1610612745.0,HOU,,,,Holiday,A. Holiday,,,,,Right Corner 3,24+ Right,23.11,Missed,,,,,,,,,,,,,,,,,,
435,PT05M25.00S,2023-11-09T02:45:24.4Z,3,REGULAR,rebound,defensive,[],2544,,,1610612747,82,59,2023-11-09T02:45:31Z,4290000,False,,,0,,L. James REBOUND (Off:1 Def:4),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Right Corner 3,24+ Right,,,,,434.0,,5.0,4.0,1.0,,,,,,,,,,,
