actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
272,PT03M53.00S,2021-11-24T01:22:32.9Z,2,REGULAR,rebound,defensive,[],202340,,,1610612747,59,37,2021-11-24T01:22:37Z,2600000,,,0,,A. Bradley REBOUND (Off:1 Def:4),[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,271.0,5.0,4.0,1.0,,,,,,,,,,,,,,
273,PT03M40.00S,2021-11-24T01:22:46.8Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],201599,6.652431011826544,50.245098039215684,1610612747,59,39,2021-11-24T01:22:55Z,2610000,-1.0,10.0,1,left,D. Jordan cutting DUNK (6 PTS) (R. Westbrook 4 AST),"[201599, 201566]",1610612747.0,LAL,cutting,,,Jordan,D. Jordan,,,,,1.01,Made,,,,,6.0,,,R. Westbrook,201566.0,4.0,,,,,,,,
275,PT03M28.00S,2021-11-24T01:22:58.7Z,2,REGULAR,turnover,lost ball,[],202689,,,1610612752,59,39,2021-11-24T01:23:43Z,2630000,,,0,,K. Walker lost ball TURNOVER (2 TO),"[202689, 202340]",1610612752.0,NYK,,,,Walker,K. Walker,,,,,,,,,,,,,2.0,,,,Bradley,202340.0,,,,,,
276,PT03M28.00S,2021-11-24T01:22:58.7Z,2,REGULAR,steal,,[],202340,,,1610612747,59,39,2021-11-24T01:23:00Z,2640000,,,0,,A. Bradley STEAL (2 STL),[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,,,,,,,,,,,,,,,
277,PT03M27.00S,2021-11-24T01:23:03.3Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",202689,,,1610612747,59,39,2021-11-24T01:23:08Z,2650000,,,0,,K. Walker shooting personal FOUL (1 PF) (Bradley 2 FT),"[202689, 202340]",1610612752.0,NYK,shooting,,,Walker,K. Walker,,,,,,,,,,,,202007.0,,,,,,,,,1.0,0.0,Bradley,202340.0
280,PT03M27.00S,2021-11-24T01:23:18.5Z,2,REGULAR,substitution,out,[],201961,,,1610612747,59,39,2021-11-24T01:23:43Z,2665000,,,0,,SUB out: W. Ellington,[201961],1610612747.0,LAL,,,,Ellington,W. Ellington,,,,,,,,,,,,,,,,,,,,,,,,
281,PT03M27.00S,2021-11-24T01:23:18.5Z,2,REGULAR,substitution,out,[],201599,,,1610612747,59,39,2021-11-24T01:23:43Z,2667500,,,0,,SUB out: D. Jordan,[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,,,,,,,,
282,PT03M27.00S,2021-11-24T01:23:18.5Z,2,REGULAR,substitution,in,[],1628370,,,1610612747,59,39,2021-11-24T01:23:43Z,2668750,,,0,,SUB in: M. Monk,[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,
283,PT03M27.00S,2021-11-24T01:23:18.5Z,2,REGULAR,substitution,in,[],2546,,,1610612747,59,39,2021-11-24T01:23:43Z,2669375,,,0,,SUB in: C. Anthony,[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,
279,PT03M27.00S,2021-11-24T01:23:33.8Z,2,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",202340,,,1610612747,59,40,2021-11-24T01:23:57Z,2670000,,,0,,A. Bradley Free Throw 1 of 2 (3 PTS),[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
284,PT03M27.00S,2021-11-24T01:23:33.8Z,2,REGULAR,freethrow,2 of 2,"['fromturnover', 'fastbreak']",202340,,,1610612747,59,41,2021-11-24T01:23:57Z,2680000,,,0,,A. Bradley Free Throw 2 of 2 (4 PTS),[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
285,PT03M15.00S,2021-11-24T01:24:11.7Z,2,REGULAR,turnover,out-of-bounds,[],1629628,,,1610612752,59,41,2021-11-24T01:24:17Z,2690000,,,0,,R. Barrett bad pass out-of-bounds TURNOVER (1 TO),[1629628],1610612752.0,NYK,bad pass,,,Barrett,R. Barrett,,,,,,,,,,,,202007.0,1.0,,,,,,,,,,,
286,PT03M06.00S,2021-11-24T01:24:23.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628370,11.251642575558476,52.69607843137255,1610612747,59,41,2021-11-24T01:24:29Z,2700000,-13.0,53.0,1,left,MISS M. Monk driving Layup,[1628370],1610612747.0,LAL,driving,,,Monk,M. Monk,,,,,5.5,Missed,,,,,,,,,,,,,,,,,,
287,PT03M04.00S,2021-11-24T01:24:25.8Z,2,REGULAR,rebound,defensive,[],203944,,,1610612752,59,41,2021-11-24T01:24:29Z,2710000,,,0,,J. Randle REBOUND (Off:0 Def:11),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,286.0,11.0,11.0,0.0,,,,,,,,,,,,,,
288,PT02M54.00S,2021-11-24T01:24:34.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202689,94.56307490144546,46.07843137254902,1610612752,61,41,2021-11-24T01:24:41Z,2720000,-20.0,-1.0,1,right,K. Walker driving Layup (6 PTS) (J. Randle 4 AST),"[202689, 203944]",1610612752.0,NYK,driving,,,Walker,K. Walker,,,,,1.96,Made,,,,,6.0,,,J. Randle,203944.0,4.0,,,,,,,,
290,PT02M46.00S,2021-11-24T01:24:50.2Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203457,,,1610612747,61,41,2021-11-24T01:25:05Z,2740000,,,0,,N. Noel personal FOUL (1 PF) (Davis 2 FT),"[203457, 203076]",1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,,,,,,201639.0,,,,,,,,,1.0,0.0,Davis,203076.0
292,PT02M46.00S,2021-11-24T01:25:07.4Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,61,41,2021-11-24T01:25:07Z,2760000,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,PT02M46.00S,2021-11-24T01:28:21.1Z,2,REGULAR,freethrow,1 of 2,[],203076,,,1610612747,61,42,2021-11-24T01:28:21Z,2770000,,,0,,A. Davis Free Throw 1 of 2 (7 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,Made,,,,,7.0,,,,,,,,,,,,,
294,PT02M46.00S,2021-11-24T01:28:33.9Z,2,REGULAR,freethrow,2 of 2,[],203076,,,1610612747,61,43,2021-11-24T01:28:33Z,2780000,,,0,,A. Davis Free Throw 2 of 2 (8 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,Made,,,,,8.0,,,,,,,,,,,,,
295,PT02M33.00S,2021-11-24T01:28:57.3Z,2,REGULAR,violation,kicked ball,[],203076,,,1610612752,61,43,2021-11-24T01:29:02Z,2790000,,,0,,A. Davis kicked ball VIOLATION,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,1198.0,,,,,,,,,,,,
296,PT02M28.00S,2021-11-24T01:29:09.8Z,2,REGULAR,3pt,Jump Shot,[],203944,74.19513797634691,17.647058823529413,1610612752,61,43,2021-11-24T01:29:16Z,2800000,-162.0,190.0,1,right,MISS J. Randle 24' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,24.96,Missed,,,,,,,,,,,,,,,,,,
297,PT02M26.00S,2021-11-24T01:29:11.8Z,2,REGULAR,rebound,defensive,[],201566,,,1610612747,61,43,2021-11-24T01:29:16Z,2810000,,,0,,R. Westbrook REBOUND (Off:0 Def:6),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,296.0,6.0,6.0,0.0,,,,,,,,,,,,,,
298,PT02M22.00S,2021-11-24T01:29:16.7Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",203076,5.601182654402102,51.225490196078425,1610612747,61,45,2021-11-24T01:29:20Z,2820000,-6.0,0.0,1,left,A. Davis DUNK (10 PTS) (R. Westbrook 5 AST),"[203076, 201566]",1610612747.0,LAL,,,,Davis,A. Davis,,,,,0.61,Made,,,,,10.0,,,R. Westbrook,201566.0,5.0,,,,,,,,
300,PT02M02.00S,2021-11-24T01:29:41.2Z,2,REGULAR,timeout,full,['team'],0,,,1610612752,61,45,2021-11-24T01:29:41Z,2840000,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,PT01M57.00S,2021-11-24T01:31:20.1Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,61,45,2021-11-24T01:31:20Z,2850000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,PT01M53.00S,2021-11-24T01:31:35.9Z,2,REGULAR,turnover,shot clock,['team'],0,,,1610612752,61,45,2021-11-24T01:31:42Z,2860000,,,0,,NYK shot clock Team TURNOVER,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,1198.0,,,,,,,,,,,,
303,PT01M42.00S,2021-11-24T01:31:57.9Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],202340,5.863994743758213,97.05882352941177,1610612747,61,48,2021-11-24T01:32:03Z,2870000,-235.0,3.0,1,left,A. Bradley 3PT  (7 PTS) (M. Monk 3 AST),"[202340, 1628370]",1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,23.53,Made,,,,,7.0,,,M. Monk,1628370.0,3.0,,,,,,,,
305,PT01M22.00S,2021-11-24T01:32:22.1Z,2,REGULAR,foul,personal,[],2546,,,1610612752,61,48,2021-11-24T01:32:31Z,2890000,,,0,,C. Anthony personal FOUL (1 PF),"[2546, 203944]",1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,,,,,,,,201639.0,,,,,,,,,1.0,0.0,Randle,203944.0
307,PT01M09.00S,2021-11-24T01:32:54.1Z,2,REGULAR,foul,offensive,['inpenalty'],203944,,,1610612752,61,48,2021-11-24T01:33:00Z,2910000,,,0,,J. Randle charge offensive FOUL (3 PF),"[203944, 201566]",1610612752.0,NYK,charge,,,Randle,J. Randle,,,,,,,,,,,,1198.0,,,,,,,,,3.0,0.0,Westbrook,201566.0
309,PT01M09.00S,2021-11-24T01:32:54.1Z,2,REGULAR,turnover,offensive foul,[],203944,,,1610612752,61,48,2021-11-24T01:32:54Z,2930000,,,0,,J. Randle offensive foul TURNOVER (2 TO),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,1198.0,2.0,,,,,,,,,,,
310,PT01M09.00S,2021-11-24T01:32:54.2Z,2,REGULAR,substitution,out,[],203944,,,1610612747,61,48,2021-11-24T01:33:22Z,2940000,,,0,,SUB out: J. Randle,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,,,,,
311,PT01M09.00S,2021-11-24T01:32:54.2Z,2,REGULAR,substitution,in,[],202692,,,1610612747,61,48,2021-11-24T01:33:22Z,2950000,,,0,,SUB in: A. Burks,[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,,,,,,
312,PT00M59.40S,2021-11-24T01:33:40.9Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",202340,14.799605781865965,37.745098039215684,1610612747,61,48,2021-11-24T01:34:11Z,2960000,61.0,87.0,1,left,MISS A. Bradley 10' driving Hook,[202340],1610612747.0,LAL,driving,,,Bradley,A. Bradley,,,,,10.61,Missed,,,,,,,,,,,,,,,,,,
313,PT00M58.20S,2021-11-24T01:33:42.1Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612747,61,48,2021-11-24T01:33:48Z,2970000,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,312.0,,,,,,,,,,,,,,,,,
314,PT00M58.20S,2021-11-24T01:33:48.5Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629628,,,1610612747,61,48,2021-11-24T01:33:59Z,2980000,,,0,,R. Barrett loose ball personal FOUL (2 PF) (Westbrook 2 FT),"[1629628, 201566]",1610612752.0,NYK,loose ball,,,Barrett,R. Barrett,,,,,,,,,,,,202007.0,,,,,,,,,2.0,0.0,Westbrook,201566.0
316,PT00M58.20S,2021-11-24T01:34:17.1Z,2,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",201566,,,1610612747,61,49,2021-11-24T01:34:17Z,3000000,,,0,,R. Westbrook Free Throw 1 of 2 (5 PTS),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
317,PT00M58.20S,2021-11-24T01:34:33.5Z,2,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",201566,,,1610612747,61,50,2021-11-24T01:34:33Z,3010000,,,0,,R. Westbrook Free Throw 2 of 2 (6 PTS),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,Made,,,,,6.0,,,,,,,,,,,,,
318,PT00M46.70S,2021-11-24T01:34:51.8Z,2,REGULAR,3pt,Jump Shot,[],202692,66.70499342969777,46.568627450980394,1610612752,61,50,2021-11-24T01:34:58Z,3020000,-17.0,260.0,1,right,MISS A. Burks 26' 3PT,[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,26.11,Missed,,,,,,,,,,,,,,,,,,
319,PT00M44.00S,2021-11-24T01:34:54.5Z,2,REGULAR,rebound,defensive,[],201566,,,1610612747,61,50,2021-11-24T01:34:58Z,3030000,,,0,,R. Westbrook REBOUND (Off:0 Def:7),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,318.0,7.0,7.0,0.0,,,,,,,,,,,,,,
320,PT00M39.40S,2021-11-24T01:34:59.0Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1628370,33.065045992115635,38.48039215686275,1610612747,61,50,2021-11-24T01:35:07Z,3040000,58.0,258.0,1,left,MISS M. Monk 26' 3PT,[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,26.46,Missed,,,,,,,,,,,,,,,,,,
321,PT00M37.90S,2021-11-24T01:35:00.5Z,2,REGULAR,rebound,defensive,[],1629628,,,1610612752,61,50,2021-11-24T01:35:07Z,3050000,,,0,,R. Barrett REBOUND (Off:0 Def:5),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,320.0,5.0,5.0,0.0,,,,,,,,,,,,,,
322,PT00M27.70S,2021-11-24T01:35:10.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629628,86.81011826544021,50.49019607843137,1610612752,61,50,2021-11-24T01:35:51Z,3060000,2.0,71.0,1,right,MISS R. Barrett 7' driving floating Shot,[1629628],1610612752.0,NYK,driving floating,,,Barrett,R. Barrett,,,,,7.15,Missed,,,,,,,,,,,,,,,,,,
323,PT00M25.90S,2021-11-24T01:35:12.5Z,2,REGULAR,rebound,defensive,[],201566,,,1610612747,61,50,2021-11-24T01:35:12Z,3070000,,,0,,R. Westbrook REBOUND (Off:0 Def:8),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,322.0,8.0,8.0,0.0,,,,,,,,,,,,,,
324,PT00M22.90S,2021-11-24T01:35:16.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203076,5.863994743758213,52.69607843137255,1610612747,61,50,2021-11-24T01:36:10Z,3080000,-13.0,3.0,1,left,MISS A. Davis running Layup,[203076],1610612747.0,LAL,running,,,Davis,A. Davis,,,,,1.37,Missed,,,,,,,,,,,,,,,,,,
325,PT00M21.70S,2021-11-24T01:35:17.7Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612747,61,50,2021-11-24T01:35:23Z,3090000,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,324.0,,,,,,,,,,,,,,,,,
326,PT00M21.70S,2021-11-24T01:35:21.9Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612747,61,50,2021-11-24T01:35:21Z,3100000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,PT00M16.00S,2021-11-24T01:35:44.6Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203457,,,1610612747,61,50,2021-11-24T01:35:52Z,3110000,,,0,,N. Noel personal FOUL (2 PF) (Davis 2 FT),"[203457, 203076]",1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,,,,,,202007.0,,,,,,,,,2.0,0.0,Davis,203076.0
329,PT00M16.00S,2021-11-24T01:36:33.3Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],203076,,,1610612747,61,51,2021-11-24T01:36:33Z,3130000,,,0,,A. Davis Free Throw 1 of 2 (11 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,Made,,,,,11.0,,,,,,,,,,,,,
330,PT00M16.00S,2021-11-24T01:36:33.3Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],203076,,,1610612747,61,51,2021-11-24T01:36:54Z,3140000,,,0,,MISS A. Davis Free Throw 2 of 2,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,Missed,,,,,,,,,,,,,,,,,,
331,PT00M14.30S,2021-11-24T01:36:35.0Z,2,REGULAR,rebound,defensive,[],203095,,,1610612752,61,51,2021-11-24T01:36:54Z,3150000,,,0,,E. Fournier REBOUND (Off:0 Def:1),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,330.0,1.0,1.0,0.0,,,,,,,,,,,,,,
332,PT00M03.30S,2021-11-24T01:37:05.0Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",2546,,,1610612752,61,51,2021-11-24T01:37:12Z,3160000,,,0,,C. Anthony personal FOUL (2 PF) (Fournier 2 FT),"[2546, 203095]",1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,,,,,,,,201639.0,,,,,,,,,2.0,0.0,Fournier,203095.0
335,PT00M03.30S,2021-11-24T01:37:18.3Z,2,REGULAR,substitution,out,[],202689,,,1610612752,61,51,2021-11-24T01:37:53Z,3175000,,,0,,SUB out: K. Walker,[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,
336,PT00M03.30S,2021-11-24T01:37:18.3Z,2,REGULAR,substitution,in,[],1629656,,,1610612752,61,51,2021-11-24T01:37:53Z,3177500,,,0,,SUB in: Q. Grimes,[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,,,,,,,,,,,,,,,,,,,,
334,PT00M03.30S,2021-11-24T01:37:31.6Z,2,REGULAR,freethrow,1 of 2,[],203095,,,1610612752,62,51,2021-11-24T01:37:31Z,3180000,,,0,,E. Fournier Free Throw 1 of 2 (15 PTS),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,Made,,,,,15.0,,,,,,,,,,,,,
337,PT00M03.30S,2021-11-24T01:37:58.1Z,2,REGULAR,violation,delay-of-game,['team'],0,,,1610612752,62,51,2021-11-24T01:38:04Z,3190000,,,0,,TEAM delay-of-game VIOLATION,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,201639.0,,,,,,,,,,,,
338,PT00M03.30S,2021-11-24T01:38:07.1Z,2,REGULAR,freethrow,2 of 2,[],203095,,,1610612752,63,51,2021-11-24T01:38:07Z,3200000,,,0,,E. Fournier Free Throw 2 of 2 (16 PTS),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,Made,,,,,16.0,,,,,,,,,,,,,
339,PT00M02.20S,2021-11-24T01:38:16.0Z,2,REGULAR,turnover,out-of-bounds,[],201566,,,1610612747,63,51,2021-11-24T01:38:21Z,3210000,,,0,,R. Westbrook bad pass out-of-bounds TURNOVER (5 TO),[201566],1610612747.0,LAL,bad pass,,,Westbrook,R. Westbrook,,,,,,,,,,,,1198.0,5.0,,,,,,,,,,,
340,PT00M02.20S,2021-11-24T01:38:16.1Z,2,REGULAR,substitution,out,[],1629656,,,1610612752,63,51,2021-11-24T01:38:29Z,3220000,,,0,,SUB out: Q. Grimes,[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,,,,,,,,,,,,,,,,,,,,
341,PT00M02.20S,2021-11-24T01:38:16.1Z,2,REGULAR,substitution,in,[],202689,,,1610612752,63,51,2021-11-24T01:38:29Z,3230000,,,0,,SUB in: K. Walker,[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,
343,PT00M00.10S,2021-11-24T01:38:36.8Z,2,REGULAR,turnover,bad pass,[],1629628,,,1610612752,63,51,2021-11-24T01:39:45Z,3235000,,,0,,R. Barrett bad pass TURNOVER (2 TO),"[1629628, 1628370]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,,2.0,,,,Monk,1628370.0,,,,,,
344,PT00M00.10S,2021-11-24T01:38:36.8Z,2,REGULAR,steal,,[],1628370,,,1610612747,63,51,2021-11-24T01:39:45Z,3237500,,,0,,M. Monk STEAL (2 STL),[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,
342,PT00M00.00S,2021-11-24T01:38:57.6Z,2,REGULAR,period,end,[],0,,,1610612747,63,51,2021-11-24T01:39:45Z,3240000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,PT12M00.00S,2021-11-24T01:55:03.3Z,3,REGULAR,substitution,out,['startperiod'],202692,,,1610612747,63,51,2021-11-24T01:55:40Z,3250000,,,0,,SUB out: A. Burks,[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,,,,,,
346,PT12M00.00S,2021-11-24T01:55:03.3Z,3,REGULAR,substitution,out,['startperiod'],1628370,,,1610612747,63,51,2021-11-24T01:55:40Z,3260000,,,0,,SUB out: M. Monk,[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,
347,PT12M00.00S,2021-11-24T01:55:03.3Z,3,REGULAR,substitution,out,['startperiod'],2546,,,1610612747,63,51,2021-11-24T01:55:40Z,3270000,,,0,,SUB out: C. Anthony,[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,
348,PT12M00.00S,2021-11-24T01:55:03.3Z,3,REGULAR,substitution,in,['startperiod'],203944,,,1610612747,63,51,2021-11-24T01:55:40Z,3280000,,,0,,SUB in: J. Randle,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,,,,,
349,PT12M00.00S,2021-11-24T01:55:03.3Z,3,REGULAR,substitution,in,['startperiod'],1629659,,,1610612747,63,51,2021-11-24T01:55:40Z,3290000,,,0,,SUB in: T. Horton-Tucker,[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,,,,,,,,,
350,PT12M00.00S,2021-11-24T01:55:03.3Z,3,REGULAR,substitution,in,['startperiod'],201599,,,1610612747,63,51,2021-11-24T01:55:40Z,3300000,,,0,,SUB in: D. Jordan,[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,,,,,,,,
351,PT12M00.00S,2021-11-24T01:55:41.0Z,3,REGULAR,period,start,[],0,,,1610612747,63,51,2021-11-24T01:55:41Z,3310000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,PT11M49.00S,2021-11-24T01:55:57.5Z,3,REGULAR,foul,personal,[],203095,,,1610612747,63,51,2021-11-24T01:56:04Z,3320000,,,0,,E. Fournier personal FOUL (2 PF),"[203095, 203076]",1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,,201639.0,,,,,,,,,2.0,0.0,Davis,203076.0
354,PT11M42.00S,2021-11-24T01:56:15.4Z,3,REGULAR,2pt,Jump Shot,[],203076,74.32654402102497,43.872549019607845,1610612747,63,51,2021-11-24T01:56:20Z,3340000,-31.0,189.0,1,right,MISS A. Davis 19' Jump Shot,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,19.13,Missed,,,,,,,,,,,,,,,,,,
355,PT11M40.00S,2021-11-24T01:56:17.4Z,3,REGULAR,rebound,defensive,[],1629628,,,1610612752,63,51,2021-11-24T01:56:20Z,3350000,,,0,,R. Barrett REBOUND (Off:0 Def:6),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,354.0,6.0,6.0,0.0,,,,,,,,,,,,,,
356,PT11M19.00S,2021-11-24T01:56:38.1Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203095,9.017739816031538,59.068627450980394,1610612752,63,51,2021-11-24T01:56:44Z,3360000,-45.0,32.0,1,left,MISS E. Fournier turnaround bank Shot,[203095],1610612752.0,NYK,turnaround bank,,,Fournier,E. Fournier,,,,,5.56,Missed,,,,,,,,,,,,,,,,,,
357,PT11M17.00S,2021-11-24T01:56:40.1Z,3,REGULAR,rebound,defensive,[],202340,,,1610612747,63,51,2021-11-24T01:56:44Z,3370000,,,0,,A. Bradley REBOUND (Off:1 Def:5),[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,356.0,6.0,5.0,1.0,,,,,,,,,,,,,,
358,PT11M12.00S,2021-11-24T01:56:44.6Z,3,REGULAR,2pt,Jump Shot,['fastbreak'],201566,80.76544021024968,17.892156862745097,1610612747,63,51,2021-11-24T01:56:54Z,3380000,-161.0,128.0,1,right,MISS R. Westbrook 20' pullup Shot,[201566],1610612747.0,LAL,pullup,,,Westbrook,R. Westbrook,,,,,20.55,Missed,,,,,,,,,,,,,,,,,,
359,PT11M10.00S,2021-11-24T01:56:46.6Z,3,REGULAR,rebound,defensive,[],202689,,,1610612752,63,51,2021-11-24T01:56:54Z,3390000,,,0,,K. Walker REBOUND (Off:0 Def:4),[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,,,358.0,4.0,4.0,0.0,,,,,,,,,,,,,,
360,PT11M02.00S,2021-11-24T01:56:55.1Z,3,REGULAR,2pt,Jump Shot,[],202689,23.209592641261498,49.50980392156863,1610612752,63,51,2021-11-24T01:57:34Z,3400000,2.0,166.0,1,left,MISS K. Walker 16' pullup Shot,[202689],1610612752.0,NYK,pullup,,,Walker,K. Walker,,,,,16.57,Missed,,,,,,,,,,,,,,,,,,
361,PT11M00.00S,2021-11-24T01:56:57.1Z,3,REGULAR,rebound,defensive,[],1629659,,,1610612747,63,51,2021-11-24T01:57:06Z,3410000,,,0,,T. Horton-Tucker REBOUND (Off:0 Def:1),[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,360.0,1.0,1.0,0.0,,,,,,,,,,,,,,
362,PT10M52.00S,2021-11-24T01:57:05.3Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1629659,94.56307490144546,53.18627450980392,1610612747,63,51,2021-11-24T01:57:14Z,3420000,16.0,-1.0,1,right,MISS T. Horton-Tucker driving Layup,[1629659],1610612747.0,LAL,driving,,,Horton-Tucker,T. Horton-Tucker,,,,,1.6,Missed,,,,,,,,,,,,,,,,,,
