actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
274,PT06M11.00S,2022-02-27T18:59:37.1Z,2,REGULAR,2pt,Jump Shot,[],203954,21.23850197109067,35.294117647058826,1610612755,42,53,2022-02-27T18:59:41Z,2520000,74.0,147.0,1,left,J. Embiid 16' Jump Shot (12 PTS) (J. Harden 9 AST),"[203954, 201935]",1610612755.0,PHI,,,,,,,,,,Embiid,J. Embiid,,,Made,12.0,16.44,,,,,,J. Harden,201935.0,9.0,,,,,
276,PT05M55.00S,2022-02-27T18:59:55.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203944,93.38042049934296,50.49019607843137,1610612752,42,53,2022-02-27T19:00:06Z,2540000,2.0,10.0,1,right,MISS J. Randle driving Layup - blocked,"[203944, 203954]",1610612752.0,NYK,driving,,,,,,,,,Randle,J. Randle,,,Missed,,1.0,,,,,,,,,,,Embiid,203954.0,
277,PT05M55.00S,2022-02-27T18:59:55.2Z,2,REGULAR,block,,[],203954,,,1610612752,42,53,2022-02-27T18:59:57Z,2550000,,,0,,J. Embiid BLOCK (1 BLK),[203954],1610612755.0,PHI,,,,,,,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,
278,PT05M54.00S,2022-02-27T18:59:56.2Z,2,REGULAR,rebound,offensive,[],203944,,,1610612752,42,53,2022-02-27T19:00:06Z,2560000,,,0,,J. Randle REBOUND (Off:1 Def:2),[203944],1610612752.0,NYK,,,,,,,,,,Randle,J. Randle,,,,,,276.0,3.0,2.0,1.0,,,,,,,,,
279,PT05M53.00S,2022-02-27T19:00:00.2Z,2,REGULAR,foul,personal,['2freethrow'],202699,,,1610612752,42,53,2022-02-27T19:00:11Z,2570000,,,0,,T. Harris shooting personal FOUL (2 PF) (Randle 2 FT),"[202699, 203944]",1610612755.0,PHI,shooting,,,,,,201245.0,2.0,0.0,Harris,T. Harris,Randle,203944.0,,,,,,,,,,,,,,,,
282,PT05M53.00S,2022-02-27T19:00:12.0Z,2,REGULAR,substitution,out,[],201935,,,1610612752,42,53,2022-02-27T19:00:31Z,2585000,,,0,,SUB out: J. Harden,[201935],1610612755.0,PHI,,,,,,,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,
283,PT05M53.00S,2022-02-27T19:00:12.0Z,2,REGULAR,substitution,out,[],202699,,,1610612752,42,53,2022-02-27T19:00:31Z,2587500,,,0,,SUB out: T. Harris,[202699],1610612755.0,PHI,,,,,,,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,
284,PT05M53.00S,2022-02-27T19:00:12.0Z,2,REGULAR,substitution,in,[],1627777,,,1610612752,42,53,2022-02-27T19:00:31Z,2588750,,,0,,SUB in: G. Niang,[1627777],1610612755.0,PHI,,,,,,,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,
285,PT05M53.00S,2022-02-27T19:00:12.0Z,2,REGULAR,substitution,in,[],1629680,,,1610612752,42,53,2022-02-27T19:00:31Z,2589375,,,0,,SUB in: M. Thybulle,[1629680],1610612755.0,PHI,,,,,,,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,
281,PT05M53.00S,2022-02-27T19:00:23.8Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],203944,,,1610612752,43,53,2022-02-27T19:00:23Z,2590000,,,0,,J. Randle Free Throw 1 of 2 (8 PTS),[203944],1610612752.0,NYK,,,,,,,,,,Randle,J. Randle,,,Made,8.0,,,,,,,,,,,,,,
286,PT05M53.00S,2022-02-27T19:00:51.3Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],203944,,,1610612752,44,53,2022-02-27T19:00:51Z,2600000,,,0,,J. Randle Free Throw 2 of 2 (9 PTS),[203944],1610612752.0,NYK,,,,,,,,,,Randle,J. Randle,,,Made,9.0,,,,,,,,,,,,,,
287,PT05M29.00S,2022-02-27T19:01:16.1Z,2,REGULAR,3pt,Jump Shot,[],203954,23.99802890932983,87.00980392156863,1610612755,44,53,2022-02-27T19:01:20Z,2610000,-185.0,173.0,1,left,MISS J. Embiid 25' 3PT,[203954],1610612755.0,PHI,,,,,,,,,,Embiid,J. Embiid,,,Missed,,25.34,,,,,,,,,,,,,
288,PT05M27.00S,2022-02-27T19:01:18.1Z,2,REGULAR,rebound,defensive,[],203944,,,1610612752,44,53,2022-02-27T19:01:20Z,2620000,,,0,,J. Randle REBOUND (Off:1 Def:3),[203944],1610612752.0,NYK,,,,,,,,,,Randle,J. Randle,,,,,,287.0,4.0,3.0,1.0,,,,,,,,,
289,PT05M10.00S,2022-02-27T19:01:35.0Z,2,REGULAR,turnover,lost ball,[],1629011,,,1610612752,44,53,2022-02-27T19:01:43Z,2630000,,,0,,M. Robinson lost ball TURNOVER (1 TO),"[1629011, 1630178]",1610612752.0,NYK,,,,,,,,,,Robinson,M. Robinson,,,,,,,,,,1.0,,,,Maxey,1630178.0,,,
290,PT05M10.00S,2022-02-27T19:01:35.0Z,2,REGULAR,steal,,[],1630178,,,1610612755,44,53,2022-02-27T19:01:43Z,2640000,,,0,,T. Maxey STEAL (1 STL),[1630178],1610612755.0,PHI,,,,,,,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,
291,PT05M04.00S,2022-02-27T19:01:40.6Z,2,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630178,7.5722733245729295,51.470588235294116,1610612755,44,53,2022-02-27T19:12:27Z,2650000,-7.0,19.0,1,left,MISS T. Maxey driving floating Shot,[1630178],1610612755.0,PHI,driving floating,,,,,,,,,Maxey,T. Maxey,,,Missed,,2.01,,,,,,,,,,,,,
292,PT05M02.00S,2022-02-27T19:01:42.6Z,2,REGULAR,rebound,defensive,[],1629629,,,1610612752,44,53,2022-02-27T19:01:48Z,2660000,,,0,,C. Reddish REBOUND (Off:0 Def:1),[1629629],1610612752.0,NYK,,,,,,,,,,Reddish,C. Reddish,,,,,,291.0,1.0,1.0,0.0,,,,,,,,,
293,PT04M59.00S,2022-02-27T19:01:46.4Z,2,REGULAR,turnover,bad pass,[],1629629,,,1610612752,44,53,2022-02-27T19:01:50Z,2670000,,,0,,C. Reddish bad pass TURNOVER (2 TO),"[1629629, 1630178]",1610612752.0,NYK,,,,,,,,,,Reddish,C. Reddish,,,,,,,,,,2.0,,,,Maxey,1630178.0,,,
294,PT04M59.00S,2022-02-27T19:01:46.4Z,2,REGULAR,steal,,[],1630178,,,1610612755,44,53,2022-02-27T19:01:48Z,2680000,,,0,,T. Maxey STEAL (2 STL),[1630178],1610612755.0,PHI,,,,,,,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,
295,PT04M53.00S,2022-02-27T19:01:52.2Z,2,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1627777,16.507884362680684,94.36274509803921,1610612755,44,53,2022-02-27T19:02:02Z,2690000,-222.0,103.0,1,left,MISS G. Niang 24' 3PT,[1627777],1610612755.0,PHI,,,,,,,,,,Niang,G. Niang,,,Missed,,24.44,,,,,,,,,,,,,
296,PT04M51.00S,2022-02-27T19:01:54.2Z,2,REGULAR,rebound,defensive,[],202692,,,1610612752,44,53,2022-02-27T19:01:58Z,2700000,,,0,,A. Burks REBOUND (Off:0 Def:3),[202692],1610612752.0,NYK,,,,,,,,,,Burks,A. Burks,,,,,,295.0,3.0,3.0,0.0,,,,,,,,,
297,PT04M43.00S,2022-02-27T19:02:04.0Z,2,REGULAR,foul,personal,[],1629680,,,1610612752,44,53,2022-02-27T19:02:12Z,2710000,,,0,,M. Thybulle personal FOUL (2 PF),"[1629680, 202692]",1610612755.0,PHI,,,,,,,201245.0,2.0,0.0,Thybulle,M. Thybulle,Burks,202692.0,,,,,,,,,,,,,,,,
299,PT04M39.00S,2022-02-27T19:02:30.9Z,2,REGULAR,turnover,out-of-bounds,[],202692,,,1610612752,44,53,2022-02-27T19:02:40Z,2730000,,,0,,A. Burks lost ball out-of-bounds TURNOVER (2 TO),[202692],1610612752.0,NYK,lost ball,,,,,,201245.0,,,Burks,A. Burks,,,,,,,,,,2.0,,,,,,,,
300,PT04M39.00S,2022-02-27T19:02:42.9Z,2,REGULAR,timeout,full,['team'],0,,,1610612755,44,53,2022-02-27T19:02:42Z,2740000,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,PT04M30.00S,2022-02-27T19:06:15.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630178,6.915243101182654,49.01960784313725,1610612755,44,55,2022-02-27T19:06:19Z,2750000,5.0,13.0,1,left,T. Maxey driving Layup (14 PTS) (J. Embiid 2 AST),"[1630178, 203954]",1610612755.0,PHI,driving,,,,,,,,,Maxey,T. Maxey,,,Made,14.0,1.34,,,,,,J. Embiid,203954.0,2.0,,,,,
303,PT04M05.00S,2022-02-27T19:06:41.1Z,2,REGULAR,2pt,Jump Shot,[],1629629,89.96386333771353,16.42156862745098,1610612752,46,55,2022-02-27T19:06:46Z,2770000,-168.0,42.0,1,right,C. Reddish 17' step back Jump Shot (6 PTS) (J. Randle 2 AST),"[1629629, 203944]",1610612752.0,NYK,step back,,,,,,,,,Reddish,C. Reddish,,,Made,6.0,17.3,,,,,,J. Randle,203944.0,2.0,,,,,
305,PT03M46.00S,2022-02-27T19:06:59.3Z,2,REGULAR,3pt,Jump Shot,[],1629003,29.38567674113009,75.24509803921569,1610612755,46,55,2022-02-27T19:07:05Z,2790000,-126.0,224.0,1,left,MISS S. Milton 25' 3PT,[1629003],1610612755.0,PHI,,,,,,,,,,Milton,S. Milton,,,Missed,,25.68,,,,,,,,,,,,,
306,PT03M44.00S,2022-02-27T19:07:01.3Z,2,REGULAR,rebound,defensive,[],202692,,,1610612752,46,55,2022-02-27T19:07:05Z,2800000,,,0,,A. Burks REBOUND (Off:0 Def:4),[202692],1610612752.0,NYK,,,,,,,,,,Burks,A. Burks,,,,,,305.0,4.0,4.0,0.0,,,,,,,,,
307,PT03M26.00S,2022-02-27T19:07:19.4Z,2,REGULAR,3pt,Jump Shot,[],203095,91.01511169513797,3.9215686274509802,1610612752,49,55,2022-02-27T19:07:23Z,2810000,-230.0,32.0,1,right,E. Fournier 3PT  (11 PTS) (M. Robinson 1 AST),"[203095, 1629011]",1610612752.0,NYK,,,,,,,,,,Fournier,E. Fournier,,,Made,11.0,23.26,,,,,,M. Robinson,1629011.0,1.0,,,,,
309,PT03M02.00S,2022-02-27T19:07:50.0Z,2,REGULAR,foul,personal,['2freethrow'],203944,,,1610612755,49,55,2022-02-27T19:07:59Z,2830000,,,0,,J. Randle shooting personal FOUL (2 PF) (Embiid 2 FT),"[203944, 203954]",1610612752.0,NYK,shooting,,,,,,201245.0,2.0,0.0,Randle,J. Randle,Embiid,203954.0,,,,,,,,,,,,,,,,
312,PT03M02.00S,2022-02-27T19:08:03.1Z,2,REGULAR,substitution,out,[],1629629,,,1610612755,49,55,2022-02-27T19:08:29Z,2845000,,,0,,SUB out: C. Reddish,[1629629],1610612752.0,NYK,,,,,,,,,,Reddish,C. Reddish,,,,,,,,,,,,,,,,,,
313,PT03M02.00S,2022-02-27T19:08:03.1Z,2,REGULAR,substitution,out,[],1629003,,,1610612755,49,55,2022-02-27T19:08:29Z,2847500,,,0,,SUB out: S. Milton,[1629003],1610612755.0,PHI,,,,,,,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,
314,PT03M02.00S,2022-02-27T19:08:03.1Z,2,REGULAR,substitution,out,[],1627777,,,1610612755,49,55,2022-02-27T19:08:29Z,2848750,,,0,,SUB out: G. Niang,[1627777],1610612755.0,PHI,,,,,,,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,
315,PT03M02.00S,2022-02-27T19:08:03.1Z,2,REGULAR,substitution,in,[],1629628,,,1610612755,49,55,2022-02-27T19:08:29Z,2849375,,,0,,SUB in: R. Barrett,[1629628],1610612752.0,NYK,,,,,,,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,
316,PT03M02.00S,2022-02-27T19:08:03.1Z,2,REGULAR,substitution,in,[],201935,,,1610612755,49,55,2022-02-27T19:08:29Z,2849687,,,0,,SUB in: J. Harden,[201935],1610612755.0,PHI,,,,,,,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,
317,PT03M02.00S,2022-02-27T19:08:03.1Z,2,REGULAR,substitution,in,[],202699,,,1610612755,49,55,2022-02-27T19:08:29Z,2849843,,,0,,SUB in: T. Harris,[202699],1610612755.0,PHI,,,,,,,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,
311,PT03M02.00S,2022-02-27T19:08:16.2Z,2,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,49,56,2022-02-27T19:08:16Z,2850000,,,0,,J. Embiid Free Throw 1 of 2 (13 PTS),[203954],1610612755.0,PHI,,,,,,,,,,Embiid,J. Embiid,,,Made,13.0,,,,,,,,,,,,,,
318,PT03M02.00S,2022-02-27T19:08:40.3Z,2,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,49,57,2022-02-27T19:08:40Z,2860000,,,0,,J. Embiid Free Throw 2 of 2 (14 PTS),[203954],1610612755.0,PHI,,,,,,,,,,Embiid,J. Embiid,,,Made,14.0,,,,,,,,,,,,,,
319,PT02M51.00S,2022-02-27T19:08:53.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629628,85.23324572930355,43.38235294117647,1610612752,51,57,2022-02-27T19:08:58Z,2870000,-33.0,86.0,1,right,R. Barrett 9' Jump Shot (12 PTS),[1629628],1610612752.0,NYK,,,,,,,,,,Barrett,R. Barrett,,,Made,12.0,9.24,,,,,,,,,,,,,
320,PT02M29.00S,2022-02-27T19:09:18.0Z,2,REGULAR,foul,personal,['2freethrow'],203095,,,1610612755,51,57,2022-02-27T19:09:24Z,2880000,,,0,,E. Fournier shooting personal FOUL (1 PF) (Embiid 2 FT),"[203095, 203954]",1610612752.0,NYK,shooting,,,,,,200834.0,1.0,0.0,Fournier,E. Fournier,Embiid,203954.0,,,,,,,,,,,,,,,,
323,PT02M29.00S,2022-02-27T19:09:32.9Z,2,REGULAR,substitution,out,[],1629011,,,1610612755,51,57,2022-02-27T19:09:53Z,2895000,,,0,,SUB out: M. Robinson,[1629011],1610612752.0,NYK,,,,,,,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,
324,PT02M29.00S,2022-02-27T19:09:32.9Z,2,REGULAR,substitution,in,[],1630579,,,1610612755,51,57,2022-02-27T19:09:53Z,2897500,,,0,,SUB in: J. Sims,[1630579],1610612752.0,NYK,,,,,,,,,,Sims,J. Sims,,,,,,,,,,,,,,,,,,
322,PT02M29.00S,2022-02-27T19:09:47.9Z,2,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,51,58,2022-02-27T19:09:48Z,2900000,,,0,,J. Embiid Free Throw 1 of 2 (15 PTS),[203954],1610612755.0,PHI,,,,,,,,,,Embiid,J. Embiid,,,Made,15.0,,,,,,,,,,,,,,
325,PT02M29.00S,2022-02-27T19:10:07.8Z,2,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,51,59,2022-02-27T19:10:07Z,2910000,,,0,,J. Embiid Free Throw 2 of 2 (16 PTS),[203954],1610612755.0,PHI,,,,,,,,,,Embiid,J. Embiid,,,Made,16.0,,,,,,,,,,,,,,
326,PT02M12.00S,2022-02-27T19:10:29.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629628,90.75229960578186,42.40196078431372,1610612752,51,59,2022-02-27T19:10:35Z,2920000,-38.0,34.0,1,right,MISS R. Barrett driving floating Shot,[1629628],1610612752.0,NYK,driving floating,,,,,,,,,Barrett,R. Barrett,,,Missed,,5.13,,,,,,,,,,,,,
327,PT02M10.00S,2022-02-27T19:10:31.3Z,2,REGULAR,rebound,defensive,[],1629680,,,1610612755,51,59,2022-02-27T19:10:35Z,2930000,,,0,,M. Thybulle REBOUND (Off:0 Def:2),[1629680],1610612755.0,PHI,,,,,,,,,,Thybulle,M. Thybulle,,,,,,326.0,2.0,2.0,0.0,,,,,,,,,
328,PT02M06.00S,2022-02-27T19:10:39.2Z,2,REGULAR,foul,personal,['2freethrow'],1630579,,,1610612755,51,59,2022-02-27T19:10:46Z,2940000,,,0,,J. Sims shooting personal FOUL (3 PF) (Embiid 2 FT),"[1630579, 203954]",1610612752.0,NYK,shooting,,,,,,201245.0,3.0,0.0,Sims,J. Sims,Embiid,203954.0,,,,,,,,,,,,,,,,
331,PT02M06.00S,2022-02-27T19:10:49.5Z,2,REGULAR,substitution,out,[],1630579,,,1610612755,51,59,2022-02-27T19:11:04Z,2955000,,,0,,SUB out: J. Sims,[1630579],1610612752.0,NYK,,,,,,,,,,Sims,J. Sims,,,,,,,,,,,,,,,,,,
332,PT02M06.00S,2022-02-27T19:10:49.5Z,2,REGULAR,substitution,in,[],1629011,,,1610612755,51,59,2022-02-27T19:11:04Z,2957500,,,0,,SUB in: M. Robinson,[1629011],1610612752.0,NYK,,,,,,,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,
330,PT02M06.00S,2022-02-27T19:10:59.8Z,2,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,51,60,2022-02-27T19:10:59Z,2960000,,,0,,J. Embiid Free Throw 1 of 2 (17 PTS),[203954],1610612755.0,PHI,,,,,,,,,,Embiid,J. Embiid,,,Made,17.0,,,,,,,,,,,,,,
333,PT02M06.00S,2022-02-27T19:11:20.8Z,2,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,51,61,2022-02-27T19:11:20Z,2970000,,,0,,J. Embiid Free Throw 2 of 2 (18 PTS),[203954],1610612755.0,PHI,,,,,,,,,,Embiid,J. Embiid,,,Made,18.0,,,,,,,,,,,,,,
334,PT01M50.00S,2022-02-27T19:11:40.3Z,2,REGULAR,3pt,Jump Shot,[],1629628,70.38436268068331,73.0392156862745,1610612752,51,61,2022-02-27T19:11:46Z,2980000,115.0,226.0,1,right,MISS R. Barrett 25' 3PT,[1629628],1610612752.0,NYK,,,,,,,,,,Barrett,R. Barrett,,,Missed,,25.36,,,,,,,,,,,,,
335,PT01M48.00S,2022-02-27T19:11:42.3Z,2,REGULAR,rebound,defensive,[],201935,,,1610612755,51,61,2022-02-27T19:11:46Z,2990000,,,0,,J. Harden REBOUND (Off:0 Def:4),[201935],1610612755.0,PHI,,,,,,,,,,Harden,J. Harden,,,,,,334.0,4.0,4.0,0.0,,,,,,,,,
336,PT01M40.00S,2022-02-27T19:11:51.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203954,5.601182654402102,51.225490196078425,1610612755,51,63,2022-02-27T19:11:55Z,3000000,-6.0,0.0,1,left,J. Embiid cutting Layup (20 PTS) (J. Harden 10 AST),"[203954, 201935]",1610612755.0,PHI,cutting,,,,,,,,,Embiid,J. Embiid,,,Made,20.0,0.61,,,,,,J. Harden,201935.0,10.0,,,,,
338,PT01M40.00S,2022-02-27T19:11:54.4Z,2,REGULAR,foul,personal,['1freethrow'],1629011,,,1610612755,51,63,2022-02-27T19:12:05Z,3020000,,,0,,M. Robinson shooting personal FOUL (3 PF) (Embiid 1 FT),"[1629011, 203954]",1610612752.0,NYK,shooting,,,,,,200834.0,3.0,0.0,Robinson,M. Robinson,Embiid,203954.0,,,,,,,,,,,,,,,,
340,PT01M40.00S,2022-02-27T19:11:54.4Z,2,REGULAR,substitution,out,[],1629011,,,1610612755,51,63,2022-02-27T19:12:10Z,3040000,,,0,,SUB out: M. Robinson,[1629011],1610612752.0,NYK,,,,,,,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,
341,PT01M40.00S,2022-02-27T19:11:54.4Z,2,REGULAR,substitution,in,[],1629629,,,1610612755,51,63,2022-02-27T19:12:10Z,3050000,,,0,,SUB in: C. Reddish,[1629629],1610612752.0,NYK,,,,,,,,,,Reddish,C. Reddish,,,,,,,,,,,,,,,,,,
342,PT01M40.00S,2022-02-27T19:12:26.4Z,2,REGULAR,freethrow,1 of 1,[],203954,,,1610612755,51,63,2022-02-27T19:12:26Z,3060000,,,0,,MISS J. Embiid Free Throw 1 of 1,[203954],1610612755.0,PHI,,,,,,,,,,Embiid,J. Embiid,,,Missed,,,,,,,,,,,,,,,
343,PT01M38.00S,2022-02-27T19:12:28.4Z,2,REGULAR,rebound,defensive,[],1629628,,,1610612752,51,63,2022-02-27T19:12:29Z,3070000,,,0,,R. Barrett REBOUND (Off:1 Def:1),[1629628],1610612752.0,NYK,,,,,,,,,,Barrett,R. Barrett,,,,,,342.0,2.0,1.0,1.0,,,,,,,,,
344,PT01M24.00S,2022-02-27T19:12:42.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202692,92.9862023653088,53.18627450980392,1610612752,51,63,2022-02-27T19:12:47Z,3080000,16.0,13.0,1,right,MISS A. Burks driving Layup,[202692],1610612752.0,NYK,driving,,,,,,,,,Burks,A. Burks,,,Missed,,2.08,,,,,,,,,,,,,
345,PT01M22.00S,2022-02-27T19:12:44.7Z,2,REGULAR,rebound,defensive,[],201935,,,1610612755,51,63,2022-02-27T19:12:47Z,3090000,,,0,,J. Harden REBOUND (Off:0 Def:5),[201935],1610612755.0,PHI,,,,,,,,,,Harden,J. Harden,,,,,,344.0,5.0,5.0,0.0,,,,,,,,,
346,PT01M13.00S,2022-02-27T19:12:53.5Z,2,REGULAR,3pt,Jump Shot,[],1629680,11.383048620236531,4.166666666666666,1610612755,51,63,2022-02-27T19:12:57Z,3100000,229.0,55.0,1,left,MISS M. Thybulle 3PT,[1629680],1610612755.0,PHI,,,,,,,,,,Thybulle,M. Thybulle,,,Missed,,23.56,,,,,,,,,,,,,
347,PT01M11.00S,2022-02-27T19:12:55.5Z,2,REGULAR,rebound,defensive,[],203944,,,1610612752,51,63,2022-02-27T19:12:57Z,3110000,,,0,,J. Randle REBOUND (Off:1 Def:4),[203944],1610612752.0,NYK,,,,,,,,,,Randle,J. Randle,,,,,,346.0,5.0,4.0,1.0,,,,,,,,,
348,PT01M00.00S,2022-02-27T19:13:06.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203944,94.03745072273325,49.754901960784316,1610612752,53,63,2022-02-27T19:13:09Z,3120000,-1.0,4.0,1,right,J. Randle driving Layup (11 PTS),[203944],1610612752.0,NYK,driving,,,,,,,,,Randle,J. Randle,,,Made,11.0,0.37,,,,,,,,,,,,,
349,PT00M47.90S,2022-02-27T19:13:22.6Z,2,REGULAR,2pt,Jump Shot,[],203954,12.697109067017081,29.901960784313726,1610612755,53,63,2022-02-27T19:13:27Z,3130000,100.0,67.0,1,left,MISS J. Embiid 12' turnaround Shot,[203954],1610612755.0,PHI,turnaround,,,,,,,,,Embiid,J. Embiid,,,Missed,,12.07,,,,,,,,,,,,,
350,PT00M45.30S,2022-02-27T19:13:25.2Z,2,REGULAR,rebound,defensive,[],1629629,,,1610612752,53,63,2022-02-27T19:13:27Z,3140000,,,0,,C. Reddish REBOUND (Off:0 Def:2),[1629629],1610612752.0,NYK,,,,,,,,,,Reddish,C. Reddish,,,,,,349.0,2.0,2.0,0.0,,,,,,,,,
351,PT00M42.00S,2022-02-27T19:13:28.4Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],203095,95.6143232588699,95.58823529411765,1610612752,53,63,2022-02-27T19:13:37Z,3150000,228.0,-11.0,1,right,MISS E. Fournier 3PT,[203095],1610612752.0,NYK,,,,,,,,,,Fournier,E. Fournier,,,Missed,,22.82,,,,,,,,,,,,,
352,PT00M40.00S,2022-02-27T19:13:30.4Z,2,REGULAR,rebound,defensive,[],203954,,,1610612755,53,63,2022-02-27T19:13:37Z,3160000,,,0,,J. Embiid REBOUND (Off:0 Def:3),[203954],1610612755.0,PHI,,,,,,,,,,Embiid,J. Embiid,,,,,,351.0,3.0,3.0,0.0,,,,,,,,,
353,PT00M29.90S,2022-02-27T19:13:41.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201935,6.258212877792378,50.245098039215684,1610612755,53,65,2022-02-27T19:13:45Z,3170000,-1.0,6.0,1,left,J. Harden driving Layup (15 PTS),[201935],1610612755.0,PHI,driving,,,,,,,,,Harden,J. Harden,,,Made,15.0,0.64,,,,,,,,,,,,,
354,PT00M09.40S,2022-02-27T19:14:07.1Z,2,REGULAR,3pt,Jump Shot,[],203095,93.38042049934296,95.09803921568627,1610612752,56,65,2022-02-27T19:14:11Z,3180000,225.0,10.0,1,right,E. Fournier 3PT  (14 PTS),[203095],1610612752.0,NYK,,,,,,,,,,Fournier,E. Fournier,,,Made,14.0,22.57,,,,,,,,,,,,,
356,PT00M00.00S,2022-02-27T19:14:25.9Z,2,REGULAR,period,end,[],0,,,1610612755,56,65,2022-02-27T19:14:25Z,3200000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,PT12M00.00S,2022-02-27T19:29:54.0Z,3,REGULAR,substitution,out,['startperiod'],1629629,,,1610612755,56,65,2022-02-27T19:30:45Z,3210000,,,0,,SUB out: C. Reddish,[1629629],1610612752.0,NYK,,,,,,,,,,Reddish,C. Reddish,,,,,,,,,,,,,,,,,,
358,PT12M00.00S,2022-02-27T19:29:54.0Z,3,REGULAR,substitution,in,['startperiod'],1629011,,,1610612755,56,65,2022-02-27T19:30:45Z,3220000,,,0,,SUB in: M. Robinson,[1629011],1610612752.0,NYK,,,,,,,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,
359,PT12M00.00S,2022-02-27T19:30:46.4Z,3,REGULAR,period,start,[],0,,,1610612755,56,65,2022-02-27T19:30:46Z,3230000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,PT11M38.00S,2022-02-27T19:31:08.4Z,3,REGULAR,3pt,Jump Shot,[],202699,82.21090670170827,4.901960784313726,1610612755,56,65,2022-02-27T19:31:13Z,3240000,-225.0,115.0,1,right,MISS T. Harris 25' 3PT,[202699],1610612755.0,PHI,,,,,,,,,,Harris,T. Harris,,,Missed,,25.3,,,,,,,,,,,,,
361,PT11M36.00S,2022-02-27T19:31:10.4Z,3,REGULAR,rebound,defensive,[],202692,,,1610612752,56,65,2022-02-27T19:31:13Z,3250000,,,0,,A. Burks REBOUND (Off:0 Def:5),[202692],1610612752.0,NYK,,,,,,,,,,Burks,A. Burks,,,,,,360.0,5.0,5.0,0.0,,,,,,,,,
362,PT11M30.00S,2022-02-27T19:31:15.1Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1629628,15.588042049934298,4.6568627450980395,1610612752,56,65,2022-02-27T19:31:21Z,3260000,227.0,94.0,1,left,MISS R. Barrett 24' 3PT,[1629628],1610612752.0,NYK,,,,,,,,,,Barrett,R. Barrett,,,Missed,,24.54,,,,,,,,,,,,,
363,PT11M28.00S,2022-02-27T19:31:17.1Z,3,REGULAR,rebound,defensive,[],203954,,,1610612755,56,65,2022-02-27T19:31:21Z,3270000,,,0,,J. Embiid REBOUND (Off:0 Def:4),[203954],1610612755.0,PHI,,,,,,,,,,Embiid,J. Embiid,,,,,,362.0,4.0,4.0,0.0,,,,,,,,,
