actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
258,PT05M09.00S,2024-11-05T01:27:07.0Z,2,REGULAR,turnover,offensive foul,[],203991,,,1610612737,49,58,2024-11-05T01:27:07Z,2570000,False,,,0,,C. Capela offensive foul TURNOVER (1 TO),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Mid-Range,8-16 Right,1204.0,,,,,,,,,,,,1.0,,,,,,,
259,PT05M09.00S,2024-11-05T01:27:15.7Z,2,REGULAR,substitution,out,[],1631223,,,1610612738,49,58,2024-11-05T01:27:25Z,2580000,False,,,0,,SUB out: D. Roddy,[1631223],1610612737.0,ATL,,,,Roddy,D. Roddy,,,,,,,,,,,,,,,,,,,,,,,,,,
260,PT05M09.00S,2024-11-05T01:27:15.7Z,2,REGULAR,substitution,out,[],203991,,,1610612738,49,58,2024-11-05T01:27:25Z,2590000,False,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
261,PT05M09.00S,2024-11-05T01:27:15.7Z,2,REGULAR,substitution,out,[],201950,,,1610612738,49,58,2024-11-05T01:27:25Z,2600000,False,,,0,,SUB out: J. Holiday,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
262,PT05M09.00S,2024-11-05T01:27:15.7Z,2,REGULAR,substitution,in,[],1630168,,,1610612738,49,58,2024-11-05T01:27:25Z,2610000,False,,,0,,SUB in: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
263,PT05M09.00S,2024-11-05T01:27:15.7Z,2,REGULAR,substitution,in,[],1630552,,,1610612738,49,58,2024-11-05T01:27:25Z,2620000,False,,,0,,SUB in: J. Johnson,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
264,PT05M09.00S,2024-11-05T01:27:15.7Z,2,REGULAR,substitution,in,[],201143,,,1610612738,49,58,2024-11-05T01:27:25Z,2630000,False,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
265,PT04M59.00S,2024-11-05T01:27:38.8Z,2,REGULAR,turnover,traveling,[],1628369,,,1610612738,49,58,2024-11-05T01:27:44Z,2640000,False,,,0,,J. Tatum traveling TURNOVER (1 TO),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,200832.0,,,,,,,,,,,,1.0,,,,,,,
266,PT04M48.00S,2024-11-05T01:27:59.3Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1642258,95.48291721419186,95.83333333333334,1610612737,49,58,2024-11-05T01:28:04Z,2650000,False,229.0,-10.0,1,right,MISS Z. Risacher 3PT,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Right Corner 3,24+ Right,,,,,,Missed,,,,,,22.94,,,,,,,,
267,PT04M46.00S,2024-11-05T01:28:01.3Z,2,REGULAR,rebound,defensive,[],1630202,,,1610612738,49,58,2024-11-05T01:28:04Z,2660000,False,,,0,,P. Pritchard REBOUND (Off:0 Def:2),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Right Corner 3,24+ Right,,,,,,,,266.0,2.0,2.0,0.0,,,,,,,,,
268,PT04M43.00S,2024-11-05T01:28:05.6Z,2,REGULAR,turnover,lost ball,[],1630202,,,1610612738,49,58,2024-11-05T01:28:10Z,2670000,False,,,0,,P. Pritchard lost ball TURNOVER (1 TO),"[1630202, 1630700]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,1.0,Daniels,1630700.0,,,,,
269,PT04M43.00S,2024-11-05T01:28:05.6Z,2,REGULAR,steal,,[],1630700,,,1610612737,49,58,2024-11-05T01:28:07Z,2680000,False,,,0,,D. Daniels STEAL (1 STL),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
270,PT04M26.00S,2024-11-05T01:28:22.1Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630552,88.91261498028909,54.166666666666664,1610612737,49,58,2024-11-05T01:28:29Z,2690000,False,21.0,52.0,1,right,MISS J. Johnson driving floating Shot,[1630552],1610612737.0,ATL,driving floating,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,,,,5.57,,,,,,,,
271,PT04M24.00S,2024-11-05T01:28:24.1Z,2,REGULAR,rebound,defensive,[],1629674,,,1610612738,49,58,2024-11-05T01:28:37Z,2700000,False,,,0,,N. Queta REBOUND (Off:0 Def:4),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,270.0,4.0,4.0,0.0,,,,,,,,,
272,PT04M18.00S,2024-11-05T01:28:29.6Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1628401,7.178055190538765,45.83333333333333,1610612738,49,60,2024-11-05T01:28:34Z,2710000,False,21.0,15.0,1,left,D. White running DUNK (8 PTS),[1628401],1610612738.0,BOS,running,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,,,Made,8.0,,,,,2.56,,,,,,,,
274,PT03M56.00S,2024-11-05T01:28:52.7Z,2,REGULAR,turnover,bad pass,[],1630700,,,1610612737,49,60,2024-11-05T01:29:00Z,2730000,False,,,0,,D. Daniels bad pass TURNOVER (1 TO),"[1630700, 1628401]",1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,White,1628401.0,,,,,
275,PT03M56.00S,2024-11-05T01:28:52.7Z,2,REGULAR,steal,,[],1628401,,,1610612738,49,60,2024-11-05T01:28:55Z,2740000,False,,,0,,D. White STEAL (2 STL),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
276,PT03M50.00S,2024-11-05T01:28:58.6Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628369,14.536793692509855,94.85294117647058,1610612738,49,63,2024-11-05T01:29:14Z,2750000,False,-224.0,84.0,1,left,J. Tatum 3PT running (22 PTS) (D. White 5 AST),"[1628369, 1628401]",1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,Left Corner 3,24+ Left,,,,,,Made,22.0,,,,,23.95,,,,D. White,1628401.0,5.0,,
278,PT03M48.00S,2024-11-05T01:29:05.6Z,2,REGULAR,timeout,full,['team'],0,,,1610612737,49,63,2024-11-05T01:29:17Z,2770000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,PT03M48.00S,2024-11-05T01:30:22.2Z,2,REGULAR,substitution,out,[],1642258,,,1610612737,49,63,2024-11-05T01:30:37Z,2780000,False,,,0,,SUB out: Z. Risacher,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,,,,,,,,,,,,,,,,,,,,,,
280,PT03M48.00S,2024-11-05T01:30:22.2Z,2,REGULAR,substitution,in,[],1631223,,,1610612737,49,63,2024-11-05T01:30:37Z,2790000,False,,,0,,SUB in: D. Roddy,[1631223],1610612737.0,ATL,,,,Roddy,D. Roddy,,,,,,,,,,,,,,,,,,,,,,,,,,
281,PT03M31.00S,2024-11-05T01:30:55.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630700,83.13074901445466,52.69607843137255,1610612737,49,63,2024-11-05T01:31:02Z,2800000,False,13.0,106.0,1,right,MISS D. Daniels 10' turnaround Shot,[1630700],1610612737.0,ATL,turnaround,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,,,,,10.7,,,,,,,,
282,PT03M29.00S,2024-11-05T01:30:57.1Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612737,49,63,2024-11-05T01:31:02Z,2810000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,281.0,,,,,,,,,,,,
284,PT03M21.00S,2024-11-05T01:31:16.6Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1629027,94.69448094612353,4.6568627450980395,1610612737,49,63,2024-11-05T01:44:57Z,2830000,False,-227.0,-3.0,1,right,MISS T. Young 3PT,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Left Corner 3,24+ Left,,,,,,Missed,,,,,,22.67,,,,,,,,
285,PT03M20.00S,2024-11-05T01:31:17.6Z,2,REGULAR,rebound,offensive,[],1630168,,,1610612737,49,63,2024-11-05T01:44:57Z,2840000,False,,,0,,O. Okongwu REBOUND (Off:1 Def:2),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Left Corner 3,24+ Left,,,,,,,,284.0,3.0,2.0,1.0,,,,,,,,,
328,PT03M19.00S,2024-11-05T01:31:23.3Z,2,REGULAR,turnover,lost ball,[],1630168,,,1610612737,49,63,2024-11-05T01:44:08Z,2845000,False,,,0,,O. Okongwu lost ball TURNOVER (1 TO),"[1630168, 1629674]",1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1.0,Queta,1629674.0,,,,,
329,PT03M19.00S,2024-11-05T01:31:23.3Z,2,REGULAR,steal,,[],1629674,,,1610612738,49,63,2024-11-05T01:42:41Z,2847500,False,,,0,,N. Queta STEAL (1 STL),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
286,PT03M10.00S,2024-11-05T01:31:30.0Z,2,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1628369,29.911300919842315,69.6078431372549,1610612738,49,63,2024-11-05T01:42:41Z,2850000,False,-98.0,229.0,1,left,MISS J. Tatum 24' running pullup 3PT,[1628369],1610612738.0,BOS,running pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,,24.88,,,,,,,,
287,PT03M07.00S,2024-11-05T01:31:33.0Z,2,REGULAR,rebound,defensive,[],1630700,,,1610612737,49,63,2024-11-05T01:31:35Z,2860000,False,,,0,,D. Daniels REBOUND (Off:0 Def:2),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Left Center,,,,,,,,286.0,2.0,2.0,0.0,,,,,,,,,
288,PT03M01.00S,2024-11-05T01:31:38.6Z,2,REGULAR,turnover,bad pass,[],1629027,,,1610612737,49,63,2024-11-05T01:31:42Z,2870000,False,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 201143]",1610612737.0,ATL,,,,Young,T. Young,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,1.0,Horford,201143.0,,,,,
289,PT03M01.00S,2024-11-05T01:31:38.6Z,2,REGULAR,steal,,[],201143,,,1610612738,49,63,2024-11-05T01:31:40Z,2880000,False,,,0,,A. Horford STEAL (1 STL),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
290,PT02M59.00S,2024-11-05T01:31:45.2Z,2,REGULAR,foul,personal,['1freethrow'],1629027,,,1610612738,49,63,2024-11-05T01:32:07Z,2890000,False,,,0,,T. Young transition take personal FOUL (1 PF) (Tatum 1 FT),"[1629027, 1628369]",1610612737.0,ATL,transition take,,,Young,T. Young,,,,,Mid-Range,16-24 Right Center,1204.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,,,
292,PT02M59.00S,2024-11-05T01:32:11.5Z,2,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1628369,,,1610612738,49,64,2024-11-05T01:32:11Z,2910000,False,,,0,,J. Tatum transition take Free Throw 1 of 1 (23 PTS),[1628369],1610612738.0,BOS,transition take,,,Tatum,J. Tatum,,,,,,,,,,,,Made,23.0,,,,,,,,,,,,,
293,PT02M59.00S,2024-11-05T01:32:17.3Z,2,REGULAR,substitution,out,[],1630202,,,1610612737,49,64,2024-11-05T01:32:21Z,2920000,False,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,,
294,PT02M59.00S,2024-11-05T01:32:17.3Z,2,REGULAR,substitution,in,[],201950,,,1610612737,49,64,2024-11-05T01:32:21Z,2930000,False,,,0,,SUB in: J. Holiday,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
295,PT02M54.00S,2024-11-05T01:32:35.9Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628369,9.806176084099869,56.86274509803921,1610612738,49,66,2024-11-05T01:38:00Z,2940000,False,-34.0,40.0,1,left,J. Tatum turnaround Jump Shot (25 PTS),[1628369],1610612738.0,BOS,turnaround,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,25.0,,,,,5.25,,,,,,,,
296,PT02M54.00S,2024-11-05T01:32:46.7Z,2,REGULAR,foul,personal,['1freethrow'],1630700,,,1610612738,49,66,2024-11-05T01:33:55Z,2950000,False,,,0,,D. Daniels shooting personal FOUL (2 PF) (Tatum 1 FT),"[1630700, 1628369]",1610612737.0,ATL,shooting,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),0-8 Center,200833.0,2.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,,,
298,PT02M54.00S,2024-11-05T01:33:15.9Z,2,REGULAR,freethrow,1 of 1,['fromturnover'],1628369,,,1610612738,49,67,2024-11-05T01:33:15Z,2970000,False,,,0,,J. Tatum Free Throw 1 of 1 (26 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,Made,26.0,,,,,,,,,,,,,
299,PT02M37.00S,2024-11-05T01:33:33.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1631223,87.20433639947439,46.568627450980394,1610612737,51,67,2024-11-05T01:33:38Z,2980000,False,-17.0,68.0,1,right,D. Roddy 6' cutting Layup (4 PTS) (T. Young 4 AST),"[1631223, 1629027]",1610612737.0,ATL,cutting,,,Roddy,D. Roddy,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,4.0,,,,,6.99,,,,T. Young,1629027.0,4.0,,
301,PT02M13.00S,2024-11-05T01:33:57.7Z,2,REGULAR,3pt,Jump Shot,[],1628369,25.706307490144546,80.63725490196079,1610612738,51,67,2024-11-05T01:34:04Z,3000000,False,-153.0,189.0,1,left,MISS J. Tatum 24' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,,24.34,,,,,,,,
302,PT02M12.00S,2024-11-05T01:33:58.7Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612737,51,67,2024-11-05T01:34:04Z,3010000,False,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,301.0,,,,,,,,,,,,
304,PT02M12.00S,2024-11-05T01:34:09.9Z,2,REGULAR,substitution,out,[],1631223,,,1610612737,51,67,2024-11-05T01:34:18Z,3030000,False,,,0,,SUB out: D. Roddy,[1631223],1610612737.0,ATL,,,,Roddy,D. Roddy,,,,,,,,,,,,,,,,,,,,,,,,,,
305,PT02M12.00S,2024-11-05T01:34:09.9Z,2,REGULAR,substitution,in,[],1629726,,,1610612737,51,67,2024-11-05T01:34:18Z,3040000,False,,,0,,SUB in: G. Mathews,[1629726],1610612737.0,ATL,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,,,,,,,,,
306,PT01M48.00S,2024-11-05T01:34:35.2Z,2,REGULAR,3pt,Jump Shot,[],1629027,68.54467805519053,69.36274509803921,1610612737,51,67,2024-11-05T01:34:42Z,3050000,False,97.0,243.0,1,right,MISS T. Young 26' step back 3PT,[1629027],1610612737.0,ATL,step back,,,Young,T. Young,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,,,26.18,,,,,,,,
307,PT01M44.00S,2024-11-05T01:34:39.2Z,2,REGULAR,rebound,defensive,[],1628401,,,1610612738,51,67,2024-11-05T01:34:42Z,3060000,False,,,0,,D. White REBOUND (Off:2 Def:3),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,,,,,,,,306.0,5.0,3.0,2.0,,,,,,,,,
308,PT01M41.00S,2024-11-05T01:34:43.9Z,2,REGULAR,foul,personal,['2freethrow'],1630168,,,1610612738,51,67,2024-11-05T01:35:05Z,3070000,False,,,0,,O. Okongwu shooting personal FOUL (2 PF) (Queta 2 FT),"[1630168, 1629674]",1610612737.0,ATL,shooting,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,200832.0,2.0,0.0,Queta,1629674.0,,,,,,,,,,,,,,,
310,PT01M41.00S,2024-11-05T01:35:10.1Z,2,REGULAR,freethrow,1 of 2,[],1629674,,,1610612738,51,68,2024-11-05T01:35:10Z,3090000,False,,,0,,N. Queta Free Throw 1 of 2 (5 PTS),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,
311,PT01M41.00S,2024-11-05T01:35:11.2Z,2,REGULAR,substitution,out,[],1629027,,,1610612738,51,68,2024-11-05T01:35:13Z,3100000,False,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
312,PT01M41.00S,2024-11-05T01:35:11.2Z,2,REGULAR,substitution,in,[],1630811,,,1610612738,51,68,2024-11-05T01:35:13Z,3110000,False,,,0,,SUB in: K. Wallace,[1630811],1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,
313,PT01M41.00S,2024-11-05T01:35:29.0Z,2,REGULAR,freethrow,2 of 2,[],1629674,,,1610612738,51,69,2024-11-05T01:35:29Z,3120000,False,,,0,,N. Queta Free Throw 2 of 2 (6 PTS),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,,,,,,,,Made,6.0,,,,,,,,,,,,,
314,PT01M26.00S,2024-11-05T01:35:45.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630811,89.43823915900131,47.549019607843135,1610612737,53,69,2024-11-05T01:37:01Z,3130000,False,-12.0,47.0,1,right,K. Wallace driving floating Jump Shot (2 PTS),[1630811],1610612737.0,ATL,driving floating,,,Wallace,K. Wallace,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,2.0,,,,,4.84,,,,,,,,
315,PT01M14.00S,2024-11-05T01:35:56.6Z,2,REGULAR,3pt,Jump Shot,[],1628401,8.229303547963205,95.34313725490196,1610612738,53,69,2024-11-05T01:36:03Z,3140000,False,-227.0,25.0,1,left,MISS D. White 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Left Corner 3,24+ Left,,,,,,Missed,,,,,,22.81,,,,,,,,
316,PT01M10.00S,2024-11-05T01:36:00.6Z,2,REGULAR,rebound,defensive,[],1630811,,,1610612737,53,69,2024-11-05T01:36:03Z,3150000,False,,,0,,K. Wallace REBOUND (Off:0 Def:2),[1630811],1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,Left Corner 3,24+ Left,,,,,,,,315.0,2.0,2.0,0.0,,,,,,,,,
317,PT00M59.60S,2024-11-05T01:36:11.8Z,2,REGULAR,turnover,bad pass,[],1630552,,,1610612737,53,69,2024-11-05T01:36:15Z,3160000,False,,,0,,J. Johnson bad pass TURNOVER (3 TO),"[1630552, 1628369]",1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,3.0,Tatum,1628369.0,,,,,
318,PT00M59.60S,2024-11-05T01:36:11.8Z,2,REGULAR,steal,,[],1628369,,,1610612738,53,69,2024-11-05T01:36:13Z,3170000,False,,,0,,J. Tatum STEAL (2 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
319,PT00M39.40S,2024-11-05T01:36:32.0Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1628401,12.171484888304862,3.6764705882352944,1610612738,53,72,2024-11-05T01:36:37Z,3180000,False,232.0,62.0,1,left,D. White 3PT  (11 PTS) (J. Tatum 3 AST),"[1628401, 1628369]",1610612738.0,BOS,,,,White,D. White,,,,,Right Corner 3,24+ Right,,,,,,Made,11.0,,,,,23.97,,,,J. Tatum,1628369.0,3.0,,
321,PT00M29.50S,2024-11-05T01:36:45.6Z,2,REGULAR,3pt,Jump Shot,[],1630168,92.85479632063075,96.56862745098039,1610612737,53,72,2024-11-05T01:36:51Z,3200000,False,233.0,15.0,1,right,MISS O. Okongwu 3PT,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Right Corner 3,24+ Right,,,,,,Missed,,,,,,23.33,,,,,,,,
322,PT00M26.30S,2024-11-05T01:36:48.9Z,2,REGULAR,rebound,offensive,[],1630168,,,1610612737,53,72,2024-11-05T01:36:48Z,3210000,False,,,0,,O. Okongwu REBOUND (Off:2 Def:2),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Right Corner 3,24+ Right,,,,,,,,321.0,4.0,2.0,2.0,,,,,,,,,
323,PT00M24.80S,2024-11-05T01:36:50.3Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1630700,67.23061760840999,41.17647058823529,1610612737,53,72,2024-11-05T01:36:55Z,3220000,False,-44.0,256.0,1,right,MISS D. Daniels 25' 3PT,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,,,,25.93,,,,,,,,
324,PT00M21.80S,2024-11-05T01:36:53.4Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,53,72,2024-11-05T01:36:53Z,3230000,False,,,0,,J. Tatum REBOUND (Off:0 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,,,,,,,,323.0,4.0,4.0,0.0,,,,,,,,,
325,PT00M02.20S,2024-11-05T01:37:12.9Z,2,REGULAR,3pt,Jump Shot,[],1628401,7.703679369250986,95.09803921568627,1610612738,53,75,2024-11-05T01:37:19Z,3240000,False,-225.0,20.0,1,left,D. White 3PT pullup (14 PTS) (J. Tatum 4 AST),"[1628401, 1628369]",1610612738.0,BOS,pullup,,,White,D. White,,,,,Left Corner 3,24+ Left,,,,,,Made,14.0,,,,,22.64,,,,J. Tatum,1628369.0,4.0,,
327,PT00M00.00S,2024-11-05T01:37:24.3Z,2,REGULAR,period,end,[],0,,,1610612737,53,75,2024-11-05T01:37:24Z,3260000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,PT12M00.00S,2024-11-05T01:51:50.9Z,3,REGULAR,substitution,out,['startperiod'],1630168,,,1610612737,53,75,2024-11-05T01:52:41Z,3270000,False,,,0,,SUB out: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
331,PT12M00.00S,2024-11-05T01:51:50.9Z,3,REGULAR,substitution,out,['startperiod'],1629726,,,1610612737,53,75,2024-11-05T01:52:41Z,3280000,False,,,0,,SUB out: G. Mathews,[1629726],1610612737.0,ATL,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,,,,,,,,,
332,PT12M00.00S,2024-11-05T01:51:50.9Z,3,REGULAR,substitution,out,['startperiod'],1630811,,,1610612737,53,75,2024-11-05T01:52:41Z,3290000,False,,,0,,SUB out: K. Wallace,[1630811],1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,
333,PT12M00.00S,2024-11-05T01:51:50.9Z,3,REGULAR,substitution,in,['startperiod'],203991,,,1610612737,53,75,2024-11-05T01:52:41Z,3300000,False,,,0,,SUB in: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
334,PT12M00.00S,2024-11-05T01:51:50.9Z,3,REGULAR,substitution,in,['startperiod'],1629027,,,1610612737,53,75,2024-11-05T01:52:41Z,3310000,False,,,0,,SUB in: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
335,PT12M00.00S,2024-11-05T01:51:50.9Z,3,REGULAR,substitution,in,['startperiod'],1642258,,,1610612737,53,75,2024-11-05T01:52:41Z,3320000,False,,,0,,SUB in: Z. Risacher,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,,,,,,,,,,,,,,,,,,,,,,
336,PT12M00.00S,2024-11-05T01:52:48.0Z,3,REGULAR,period,start,[],0,,,1610612738,53,75,2024-11-05T01:52:48Z,3330000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,PT11M44.00S,2024-11-05T01:53:03.9Z,3,REGULAR,2pt,Jump Shot,[],1628369,74.72076215505913,55.14705882352941,1610612738,53,75,2024-11-05T01:53:11Z,3340000,False,26.0,185.0,1,right,MISS J. Tatum 18' Jump Shot,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Center,,,,,,Missed,,,,,,18.69,,,,,,,,
338,PT11M40.00S,2024-11-05T01:53:07.9Z,3,REGULAR,rebound,defensive,[],203991,,,1610612737,53,75,2024-11-05T01:53:11Z,3350000,False,,,0,,C. Capela REBOUND (Off:0 Def:3),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Mid-Range,16-24 Center,,,,,,,,337.0,3.0,3.0,0.0,,,,,,,,,
339,PT11M31.00S,2024-11-05T01:53:16.6Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,16.376478318002626,48.529411764705884,1610612737,53,75,2024-11-05T01:53:21Z,3360000,False,7.0,101.0,1,left,MISS T. Young 10' driving floating bank Shot,[1629027],1610612737.0,ATL,driving floating bank,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,,,,,10.17,,,,,,,,
340,PT11M28.00S,2024-11-05T01:53:19.6Z,3,REGULAR,rebound,defensive,[],201143,,,1610612738,53,75,2024-11-05T01:53:21Z,3370000,False,,,0,,A. Horford REBOUND (Off:0 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,339.0,2.0,2.0,0.0,,,,,,,,,
