actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
249,PT04M36.00S,2025-04-13T17:56:16.7Z,2,REGULAR,substitution,out,[],1631170,,,1610612764,46,56,2025-04-13T17:57:06Z,2460000,False,,,0,,SUB out: J. Jaquez Jr.,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
250,PT04M36.00S,2025-04-13T17:56:16.7Z,2,REGULAR,substitution,out,[],1642273,,,1610612764,46,56,2025-04-13T17:57:06Z,2470000,False,,,0,,SUB out: K. George,[1642273],1610612764.0,WAS,,,,George,K. George,,,,,,,,,,,,,,,,,,,,,,,,,,
251,PT04M36.00S,2025-04-13T17:56:16.7Z,2,REGULAR,substitution,in,[],203937,,,1610612764,46,56,2025-04-13T17:57:06Z,2480000,False,,,0,,SUB in: K. Anderson,[203937],1610612748.0,MIA,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
252,PT04M36.00S,2025-04-13T17:56:16.7Z,2,REGULAR,substitution,in,[],1641774,,,1610612764,46,56,2025-04-13T17:57:06Z,2490000,False,,,0,,SUB in: T. Vukcevic,[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,,,,,,,,,,,,,,,,,,,,,,
253,PT04M25.00S,2025-04-13T17:57:44.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1642358,91.01511169513797,65.19607843137256,1610612764,46,56,2025-04-13T18:03:10Z,2500000,False,76.0,32.0,1,right,MISS A. Johnson 8' driving Layup,[1642358],1610612764.0,WAS,driving,,,Johnson,A. Johnson,,,,,In The Paint (Non-RA),8-16 Right,,,,8.25,Missed,,,,,,,,,,,,,,,
254,PT04M24.00S,2025-04-13T17:57:45.4Z,2,REGULAR,rebound,defensive,[],203937,,,1610612748,46,56,2025-04-13T18:03:10Z,2510000,False,,,0,,K. Anderson REBOUND (Off:0 Def:1),[203937],1610612748.0,MIA,,,,Anderson,K. Anderson,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,253.0,,,,,,,,,1.0,1.0,0.0,,
255,PT04M20.00S,2025-04-13T17:57:50.6Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203937,5.338370565045992,52.20588235294118,1610612748,46,56,2025-04-13T17:58:19Z,2520000,False,-11.0,-2.0,1,left,MISS K. Anderson running Layup - blocked,"[203937, 1630551]",1610612748.0,MIA,running,,,Anderson,K. Anderson,,,,,Restricted Area,0-8 Center,,,,1.12,Missed,,,,,,,,,,,,,,Champagnie,1630551.0
319,PT04M20.00S,2025-04-13T17:57:50.6Z,2,REGULAR,block,,[],1630551,,,1610612748,46,56,2025-04-13T18:19:56Z,2525000,False,,,0,,J. Champagnie BLOCK (2 BLK),[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
256,PT04M20.00S,2025-04-13T17:57:50.6Z,2,REGULAR,rebound,defensive,[],1641732,,,1610612764,46,56,2025-04-13T18:19:56Z,2530000,False,,,0,,C. Jones REBOUND (Off:0 Def:3),[1641732],1610612764.0,WAS,,,,Jones,C. Jones,,,,,Restricted Area,0-8 Center,,,,,,,255.0,,,,,,,,,3.0,3.0,0.0,,
257,PT04M15.00S,2025-04-13T17:57:53.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1642358,93.24901445466492,52.94117647058824,1610612764,46,56,2025-04-13T17:58:00Z,2540000,False,15.0,11.0,1,right,MISS A. Johnson running Layup,[1642358],1610612764.0,WAS,running,,,Johnson,A. Johnson,,,,,Restricted Area,0-8 Center,,,,1.84,Missed,,,,,,,,,,,,,,,
259,PT04M15.00S,2025-04-13T17:57:53.7Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612764,46,56,2025-04-13T17:58:00Z,2560000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,257.0,,,,,,,,,,,,,
261,PT04M01.00S,2025-04-13T17:58:23.6Z,2,REGULAR,turnover,bad pass,[],1630551,,,1610612764,46,56,2025-04-13T17:58:27Z,2580000,False,,,0,,J. Champagnie bad pass TURNOVER (1 TO),"[1630551, 1642352]",1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,1.0,Johnson,1642352.0,,,,,,,,,,,,,,,,,
262,PT04M01.00S,2025-04-13T17:58:23.6Z,2,REGULAR,steal,,[],1642352,,,1610612748,46,56,2025-04-13T18:05:32Z,2590000,False,,,0,,K. Johnson STEAL (2 STL),[1642352],1610612748.0,MIA,,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
263,PT03M59.00S,2025-04-13T17:58:26.2Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630528,5.863994743758213,50.98039215686274,1610612748,48,56,2025-04-13T17:58:41Z,2600000,False,-5.0,3.0,1,left,J. Christopher running DUNK (2 PTS) (H. Highsmith 1 AST),"[1630528, 1629312]",1610612748.0,MIA,running,,,Christopher,J. Christopher,,,,,Restricted Area,0-8 Center,,,,0.55,Made,2.0,,,,,,,H. Highsmith,1629312.0,1.0,,,,,
265,PT03M48.00S,2025-04-13T17:58:37.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1641732,92.9862023653088,46.81372549019608,1610612764,48,58,2025-04-13T17:58:43Z,2620000,False,-16.0,13.0,1,right,C. Jones driving finger roll Layup (6 PTS) (T. Vukcevic 2 AST),"[1641732, 1641774]",1610612764.0,WAS,driving finger roll,,,Jones,C. Jones,,,,,Restricted Area,0-8 Center,,,,2.08,Made,6.0,,,,,,,T. Vukcevic,1641774.0,2.0,,,,,
266,PT03M34.00S,2025-04-13T17:58:50.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203937,5.863994743758213,53.431372549019606,1610612748,50,58,2025-04-13T18:05:48Z,2630000,False,-17.0,3.0,1,left,K. Anderson driving Layup (6 PTS) (J. Christopher 1 AST),"[203937, 1630528]",1610612748.0,MIA,driving,,,Anderson,K. Anderson,,,,,Restricted Area,0-8 Center,,,,1.74,Made,6.0,,,,,,,J. Christopher,1630528.0,1.0,,,,,
267,PT03M10.00S,2025-04-13T17:59:16.8Z,2,REGULAR,turnover,out-of-bounds,[],1642358,,,1610612764,50,58,2025-04-13T17:59:21Z,2640000,False,,,0,,A. Johnson bad pass out-of-bounds TURNOVER (2 TO),[1642358],1610612764.0,WAS,bad pass,,,Johnson,A. Johnson,,,,,Restricted Area,0-8 Center,2.0,,,,,,,101283.0,,,,,,,,,,,,
268,PT03M10.00S,2025-04-13T17:59:22.2Z,2,REGULAR,substitution,out,[],1629312,,,1610612748,50,58,2025-04-13T17:59:26Z,2650000,False,,,0,,SUB out: H. Highsmith,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,,,,,,,,,,,,,,,,,,,,,
269,PT03M10.00S,2025-04-13T17:59:22.2Z,2,REGULAR,substitution,in,[],1631170,,,1610612748,50,58,2025-04-13T17:59:26Z,2660000,False,,,0,,SUB in: J. Jaquez Jr.,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
271,PT02M53.00S,2025-04-13T17:59:46.7Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203937,12.171484888304862,41.17647058823529,1610612748,50,58,2025-04-13T18:13:36Z,2670000,False,44.0,62.0,1,left,MISS K. Anderson 7' driving floating bank Shot,[203937],1610612748.0,MIA,driving floating bank,,,Anderson,K. Anderson,,,,,In The Paint (Non-RA),0-8 Center,,,,7.6,Missed,,,,,,,,,,,,,,,
272,PT02M50.00S,2025-04-13T17:59:49.7Z,2,REGULAR,rebound,defensive,[],1642267,,,1610612764,50,58,2025-04-13T18:21:02Z,2680000,False,,,0,,B. Carrington REBOUND (Off:1 Def:3),[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,271.0,,,,,,,,,4.0,3.0,1.0,,
273,PT02M43.00S,2025-04-13T17:59:56.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630551,92.72339027595268,52.20588235294118,1610612764,50,60,2025-04-13T18:00:00Z,2690000,False,11.0,16.0,1,right,J. Champagnie cutting Layup (15 PTS) (C. Jones 2 AST),"[1630551, 1641732]",1610612764.0,WAS,cutting,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,,,,1.93,Made,15.0,,,,,,,C. Jones,1641732.0,2.0,,,,,
275,PT02M28.00S,2025-04-13T18:00:11.0Z,2,REGULAR,3pt,Jump Shot,[],1630528,21.895532194480946,10.784313725490197,1610612748,50,60,2025-04-13T18:00:14Z,2710000,False,196.0,153.0,1,left,MISS J. Christopher 24' 3PT,[1630528],1610612748.0,MIA,,,,Christopher,J. Christopher,,,,,Above the Break 3,24+ Right Center,,,,24.89,Missed,,,,,,,,,,,,,,,
276,PT02M25.00S,2025-04-13T18:00:14.0Z,2,REGULAR,rebound,defensive,[],1642267,,,1610612764,50,60,2025-04-13T18:00:14Z,2720000,False,,,0,,B. Carrington REBOUND (Off:1 Def:4),[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,Above the Break 3,24+ Right Center,,,,,,,275.0,,,,,,,,,5.0,4.0,1.0,,
277,PT02M19.00S,2025-04-13T18:00:21.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630551,92.85479632063075,54.65686274509803,1610612764,50,62,2025-04-13T18:00:35Z,2730000,False,23.0,15.0,1,right,J. Champagnie Layup (17 PTS) (T. Vukcevic 3 AST),"[1630551, 1641774]",1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,,,,2.75,Made,17.0,,,,,,,T. Vukcevic,1641774.0,3.0,,,,,
279,PT02M03.00S,2025-04-13T18:00:35.8Z,2,REGULAR,3pt,Jump Shot,[],1642352,26.888961892247043,20.588235294117645,1610612748,53,62,2025-04-13T18:00:42Z,2750000,False,147.0,200.0,1,left,K. Johnson 24' 3PT  (9 PTS) (J. Christopher 2 AST),"[1642352, 1630528]",1610612748.0,MIA,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Right Center,,,,24.85,Made,9.0,,,,,,,J. Christopher,1630528.0,2.0,,,,,
281,PT01M37.00S,2025-04-13T18:01:01.7Z,2,REGULAR,3pt,Jump Shot,[],1630551,70.38436268068331,23.03921568627451,1610612764,53,62,2025-04-13T18:01:10Z,2770000,False,-135.0,226.0,1,right,MISS J. Champagnie 26' step back 3PT,[1630551],1610612764.0,WAS,step back,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Left Center,,,,26.31,Missed,,,,,,,,,,,,,,,
282,PT01M33.00S,2025-04-13T18:01:05.7Z,2,REGULAR,rebound,offensive,[],1641774,,,1610612764,53,62,2025-04-13T18:01:10Z,2780000,False,,,0,,T. Vukcevic REBOUND (Off:1 Def:5),[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,Above the Break 3,24+ Left Center,,,,,,,281.0,,,,,,,,,6.0,5.0,1.0,,
283,PT01M31.00S,2025-04-13T18:01:07.7Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1642358,69.59592641261499,18.872549019607842,1610612764,53,62,2025-04-13T18:01:12Z,2790000,False,-156.0,233.0,1,right,MISS A. Johnson 28' 3PT,[1642358],1610612764.0,WAS,,,,Johnson,A. Johnson,,,,,Above the Break 3,24+ Left Center,,,,28.04,Missed,,,,,,,,,,,,,,,
284,PT01M31.00S,2025-04-13T18:01:07.7Z,2,REGULAR,rebound,defensive,[],1631170,,,1610612748,53,62,2025-04-13T18:01:12Z,2800000,False,,,0,,J. Jaquez Jr. REBOUND (Off:0 Def:3),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,283.0,,,,,,,,,3.0,3.0,0.0,,
285,PT01M24.00S,2025-04-13T18:01:15.4Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631170,6.783837056504599,52.94117647058824,1610612748,55,62,2025-04-13T18:10:46Z,2810000,False,-15.0,11.0,1,left,J. Jaquez Jr. running reverse Layup (17 PTS),[1631170],1610612748.0,MIA,running reverse,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Restricted Area,0-8 Center,,,,1.85,Made,17.0,,,,,,,,,,,,,,
286,PT01M03.00S,2025-04-13T18:01:35.5Z,2,REGULAR,3pt,Jump Shot,[],1641732,93.64323258869908,96.56862745098039,1610612764,55,62,2025-04-13T18:10:55Z,2820000,False,233.0,7.0,1,right,MISS C. Jones step back 3PT,[1641732],1610612764.0,WAS,step back,,,Jones,C. Jones,,,,,Right Corner 3,24+ Right,,,,23.29,Missed,,,,,,,,,,,,,,,
287,PT00M59.90S,2025-04-13T18:01:38.6Z,2,REGULAR,rebound,defensive,[],203937,,,1610612748,55,62,2025-04-13T18:11:13Z,2830000,False,,,0,,K. Anderson REBOUND (Off:0 Def:2),[203937],1610612748.0,MIA,,,,Anderson,K. Anderson,,,,,Right Corner 3,24+ Right,,,,,,,286.0,,,,,,,,,2.0,2.0,0.0,,
288,PT00M52.10S,2025-04-13T18:01:48.2Z,2,REGULAR,3pt,Jump Shot,[],1642352,16.245072273324574,93.62745098039215,1610612748,58,62,2025-04-13T18:01:53Z,2840000,False,-218.0,100.0,1,left,K. Johnson 24' 3PT  (12 PTS) (T. Rozier 1 AST),"[1642352, 1626179]",1610612748.0,MIA,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Left Center,,,,24.0,Made,12.0,,,,,,,T. Rozier,1626179.0,1.0,,,,,
290,PT00M36.50S,2025-04-13T18:02:09.7Z,2,REGULAR,foul,personal,['2freethrow'],1642352,,,1610612764,58,62,2025-04-13T18:02:22Z,2860000,False,,,0,,K. Johnson shooting personal FOUL (3 PF) (Vukcevic 2 FT),"[1642352, 1641774]",1610612748.0,MIA,shooting,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,,202058.0,3.0,0.0,Vukcevic,1641774.0,,,,,,,,
292,PT00M36.50S,2025-04-13T18:02:30.2Z,2,REGULAR,freethrow,1 of 2,[],1641774,,,1610612764,58,62,2025-04-13T18:02:30Z,2880000,False,,,0,,MISS T. Vukcevic Free Throw 1 of 2,[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
293,PT00M36.50S,2025-04-13T18:02:30.2Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612764,58,62,2025-04-13T18:02:30Z,2890000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,292.0,,,,,,,,,,,,,
294,PT00M36.50S,2025-04-13T18:02:33.0Z,2,REGULAR,substitution,out,[],1642352,,,1610612764,58,62,2025-04-13T18:02:40Z,2900000,False,,,0,,SUB out: K. Johnson,[1642352],1610612748.0,MIA,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
295,PT00M36.50S,2025-04-13T18:02:33.0Z,2,REGULAR,substitution,in,[],1629312,,,1610612764,58,62,2025-04-13T18:02:40Z,2910000,False,,,0,,SUB in: H. Highsmith,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,,,,,,,,,,,,,,,,,,,,,
296,PT00M36.50S,2025-04-13T18:02:50.9Z,2,REGULAR,freethrow,2 of 2,[],1641774,,,1610612764,58,63,2025-04-13T18:02:50Z,2920000,False,,,0,,T. Vukcevic Free Throw 2 of 2 (17 PTS),[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,,,,,,,Made,17.0,,,,,,,,,,,,,,
297,PT00M20.20S,2025-04-13T18:03:11.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1631170,8.360709592641262,46.568627450980394,1610612748,60,63,2025-04-13T18:03:15Z,2930000,False,17.0,26.0,1,left,J. Jaquez Jr. driving Layup (19 PTS),[1631170],1610612748.0,MIA,driving,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Restricted Area,0-8 Center,,,,3.13,Made,19.0,,,,,,,,,,,,,,
298,PT00M02.60S,2025-04-13T18:03:30.6Z,2,REGULAR,3pt,Jump Shot,[],1642267,69.46452036793693,71.07843137254902,1610612764,60,66,2025-04-13T18:03:35Z,2940000,False,105.0,235.0,1,right,B. Carrington 25' 3PT step back (11 PTS),[1642267],1610612764.0,WAS,step back,,,Carrington,B. Carrington,,,,,Above the Break 3,24+ Right Center,,,,25.71,Made,11.0,,,,,,,,,,,,,,
301,PT00M00.00S,2025-04-13T18:03:49.6Z,2,REGULAR,period,end,[],0,,,1610612748,60,66,2025-04-13T18:03:49Z,2970000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,PT12M00.00S,2025-04-13T18:18:32.0Z,3,REGULAR,substitution,out,['startperiod'],1626179,,,1610612748,60,66,2025-04-13T18:18:48Z,2980000,False,,,0,,SUB out: T. Rozier,[1626179],1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,,
303,PT12M00.00S,2025-04-13T18:18:32.0Z,3,REGULAR,substitution,out,['startperiod'],1630528,,,1610612748,60,66,2025-04-13T18:18:48Z,2990000,False,,,0,,SUB out: J. Christopher,[1630528],1610612748.0,MIA,,,,Christopher,J. Christopher,,,,,,,,,,,,,,,,,,,,,,,,,,
304,PT12M00.00S,2025-04-13T18:18:32.0Z,3,REGULAR,substitution,out,['startperiod'],203937,,,1610612748,60,66,2025-04-13T18:18:48Z,3000000,False,,,0,,SUB out: K. Anderson,[203937],1610612748.0,MIA,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
305,PT12M00.00S,2025-04-13T18:18:32.0Z,3,REGULAR,substitution,out,['startperiod'],1642267,,,1610612748,60,66,2025-04-13T18:18:48Z,3010000,False,,,0,,SUB out: B. Carrington,[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,,,,,,,,,,,,,,,,,,,,,,
306,PT12M00.00S,2025-04-13T18:18:32.0Z,3,REGULAR,substitution,out,['startperiod'],1630551,,,1610612748,60,66,2025-04-13T18:18:48Z,3020000,False,,,0,,SUB out: J. Champagnie,[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,,,,,,,,,
307,PT12M00.00S,2025-04-13T18:18:32.0Z,3,REGULAR,substitution,in,['startperiod'],1630558,,,1610612748,60,66,2025-04-13T18:18:48Z,3030000,False,,,0,,SUB in: D. Mitchell,[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
308,PT12M00.00S,2025-04-13T18:18:32.0Z,3,REGULAR,substitution,in,['startperiod'],1629130,,,1610612748,60,66,2025-04-13T18:18:48Z,3040000,False,,,0,,SUB in: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
309,PT12M00.00S,2025-04-13T18:18:32.0Z,3,REGULAR,substitution,in,['startperiod'],1642276,,,1610612748,60,66,2025-04-13T18:18:48Z,3050000,False,,,0,,SUB in: K. Ware,[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,,,,,,,,,,,,,,,,,,,,,,
310,PT12M00.00S,2025-04-13T18:18:32.0Z,3,REGULAR,substitution,in,['startperiod'],1642259,,,1610612748,60,66,2025-04-13T18:18:48Z,3060000,False,,,0,,SUB in: A. Sarr,[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,,,,,,,,,,,,,,,,,,,,,,
311,PT12M00.00S,2025-04-13T18:18:32.0Z,3,REGULAR,substitution,in,['startperiod'],1642273,,,1610612748,60,66,2025-04-13T18:18:48Z,3070000,False,,,0,,SUB in: K. George,[1642273],1610612764.0,WAS,,,,George,K. George,,,,,,,,,,,,,,,,,,,,,,,,,,
312,PT12M00.00S,2025-04-13T18:19:14.5Z,3,REGULAR,period,start,[],0,,,1610612748,60,66,2025-04-13T18:19:14Z,3080000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,PT11M47.00S,2025-04-13T18:19:26.9Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1642276,93.64323258869908,53.18627450980392,1610612748,60,66,2025-04-13T18:20:03Z,3090000,False,16.0,7.0,1,right,MISS K. Ware cutting Layup,[1642276],1610612748.0,MIA,cutting,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,,,,1.75,Missed,,,,,,,,,,,,,,,
314,PT11M45.00S,2025-04-13T18:19:28.9Z,3,REGULAR,rebound,defensive,[],1642259,,,1610612764,60,66,2025-04-13T18:20:19Z,3100000,False,,,0,,A. Sarr REBOUND (Off:1 Def:5),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,,,,,,,313.0,,,,,,,,,6.0,5.0,1.0,,
315,PT11M35.00S,2025-04-13T18:19:38.6Z,3,REGULAR,2pt,Jump Shot,[],1641732,13.091327201051248,67.8921568627451,1610612764,60,68,2025-04-13T18:19:44Z,3110000,False,-89.0,71.0,1,left,C. Jones 11' driving floating Jump Shot (8 PTS) (A. Sarr 4 AST),"[1641732, 1642259]",1610612764.0,WAS,driving floating,,,Jones,C. Jones,,,,,Mid-Range,8-16 Left,,,,11.4,Made,8.0,,,,,,,A. Sarr,1642259.0,4.0,,,,,
317,PT11M19.00S,2025-04-13T18:19:54.1Z,3,REGULAR,3pt,Jump Shot,[],1629312,82.47371879106439,93.87254901960785,1610612748,63,68,2025-04-13T18:20:01Z,3130000,False,219.0,112.0,1,right,H. Highsmith 24' 3PT  (5 PTS) (J. Jaquez Jr. 3 AST),"[1629312, 1631170]",1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Above the Break 3,24+ Right Center,,,,24.64,Made,5.0,,,,,,,J. Jaquez Jr.,1631170.0,3.0,,,,,
320,PT11M01.00S,2025-04-13T18:20:12.2Z,3,REGULAR,3pt,Jump Shot,[],1642259,25.706307490144546,80.88235294117648,1610612764,63,68,2025-04-13T18:20:16Z,3150000,False,-154.0,189.0,1,left,MISS A. Sarr 24' 3PT,[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Above the Break 3,24+ Left Center,,,,24.41,Missed,,,,,,,,,,,,,,,
321,PT10M58.00S,2025-04-13T18:20:15.2Z,3,REGULAR,rebound,defensive,[],1629130,,,1610612748,63,68,2025-04-13T18:20:16Z,3160000,False,,,0,,D. Robinson REBOUND (Off:0 Def:2),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Left Center,,,,,,,320.0,,,,,,,,,2.0,2.0,0.0,,
322,PT10M47.00S,2025-04-13T18:20:26.7Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629312,81.02825229960578,45.83333333333333,1610612748,63,68,2025-04-13T18:20:34Z,3170000,False,-21.0,126.0,1,right,MISS H. Highsmith 12' floating Shot,[1629312],1610612748.0,MIA,floating,,,Highsmith,H. Highsmith,,,,,In The Paint (Non-RA),8-16 Center,,,,12.75,Missed,,,,,,,,,,,,,,,
323,PT10M43.00S,2025-04-13T18:20:30.7Z,3,REGULAR,rebound,defensive,[],1642273,,,1610612764,63,68,2025-04-13T18:31:29Z,3180000,False,,,0,,K. George REBOUND (Off:0 Def:1),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,322.0,,,,,,,,,1.0,1.0,0.0,,
324,PT10M32.00S,2025-04-13T18:20:41.1Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1642358,7.178055190538765,49.754901960784316,1610612764,63,70,2025-04-13T18:21:43Z,3190000,False,1.0,15.0,1,left,A. Johnson driving finger roll Layup (4 PTS),[1642358],1610612764.0,WAS,driving finger roll,,,Johnson,A. Johnson,,,,,Restricted Area,0-8 Center,,,,1.5,Made,4.0,,,,,,,,,,,,,,
326,PT10M20.00S,2025-04-13T18:20:53.4Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629312,85.3646517739816,40.44117647058824,1610612748,65,70,2025-04-13T18:21:07Z,3200000,False,-48.0,85.0,1,right,H. Highsmith 9' floating Jump Shot (7 PTS) (D. Mitchell 6 AST),"[1629312, 1630558]",1610612748.0,MIA,floating,,,Highsmith,H. Highsmith,,,,,In The Paint (Non-RA),8-16 Center,,,,9.76,Made,7.0,,,,,,,D. Mitchell,1630558.0,6.0,,,,,
328,PT09M58.00S,2025-04-13T18:21:16.1Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641732,18.873193166885677,40.68627450980392,1610612764,65,72,2025-04-13T18:22:22Z,3220000,False,47.0,125.0,1,left,C. Jones 13' driving floating Jump Shot (10 PTS),[1641732],1610612764.0,WAS,driving floating,,,Jones,C. Jones,,,,,In The Paint (Non-RA),8-16 Center,,,,13.33,Made,10.0,,,,,,,,,,,,,,
330,PT09M39.00S,2025-04-13T18:21:35.3Z,3,REGULAR,turnover,bad pass,[],1631170,,,1610612748,65,72,2025-04-13T18:21:40Z,3230000,False,,,0,,J. Jaquez Jr. bad pass TURNOVER (2 TO),"[1631170, 1642259]",1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,In The Paint (Non-RA),0-8 Center,2.0,Sarr,1642259.0,,,,,,,,,,,,,,,,,
331,PT09M39.00S,2025-04-13T18:21:35.3Z,3,REGULAR,steal,,[],1642259,,,1610612764,65,72,2025-04-13T18:21:38Z,3240000,False,,,0,,A. Sarr STEAL (1 STL),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
332,PT09M34.00S,2025-04-13T18:21:40.1Z,3,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1641774,30.56833114323259,21.323529411764707,1610612764,65,72,2025-04-13T18:23:35Z,3250000,False,143.0,235.0,1,left,MISS T. Vukcevic 27' running 3PT,[1641774],1610612764.0,WAS,running,,,Vukcevic,T. Vukcevic,,,,,Above the Break 3,24+ Right Center,,,,27.51,Missed,,,,,,,,,,,,,,,
333,PT09M30.00S,2025-04-13T18:21:44.1Z,3,REGULAR,rebound,defensive,[],1629312,,,1610612748,65,72,2025-04-13T18:23:45Z,3260000,False,,,0,,H. Highsmith REBOUND (Off:1 Def:2),[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Above the Break 3,24+ Right Center,,,,,,,332.0,,,,,,,,,3.0,2.0,1.0,,
