actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
273,PT03M28.00S,2022-03-16T23:58:29.7Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203954,,,1610612739,46,59,2022-03-16T23:58:41Z,2620000,,,0,,J. Embiid personal FOUL (1 PF) (Markkanen 2 FT),"[203954, 1628374]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,202058.0,1.0,0.0,Markkanen,1628374.0,,,,,,,,,
275,PT03M28.00S,2022-03-16T23:58:58.1Z,2,REGULAR,freethrow,1 of 2,[],1628374,,,1610612739,47,59,2022-03-16T23:59:46Z,2640000,,,0,,L. Markkanen Free Throw 1 of 2 (3 PTS),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
276,PT03M28.00S,2022-03-16T23:59:11.5Z,2,REGULAR,substitution,out,[],1630596,,,1610612739,47,59,2022-03-16T23:59:16Z,2650000,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,
277,PT03M28.00S,2022-03-16T23:59:11.5Z,2,REGULAR,substitution,in,[],1627747,,,1610612739,47,59,2022-03-16T23:59:16Z,2660000,,,0,,SUB in: C. LeVert,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,
278,PT03M28.00S,2022-03-16T23:58:58.1Z,2,REGULAR,freethrow,2 of 2,[],1628374,,,1610612739,47,59,2022-03-16T23:59:46Z,2670000,,,0,,MISS L. Markkanen Free Throw 2 of 2,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,Missed,,,,,,,,,,,,,,,,,,,
279,PT03M24.00S,2022-03-16T23:59:02.1Z,2,REGULAR,rebound,defensive,[],1627777,,,1610612755,47,59,2022-03-16T23:59:46Z,2680000,,,0,,G. Niang REBOUND (Off:0 Def:1),[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,278.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
280,PT03M10.00S,2022-03-16T23:59:50.8Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],203954,5.206964520367937,50.245098039215684,1610612755,47,61,2022-03-16T23:59:56Z,2690000,-1.0,-4.0,1,left,J. Embiid DUNK (20 PTS) (G. Niang 1 AST),"[203954, 1627777]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,0.38,Made,,,,,20.0,,,,,,,,G. Niang,1627777.0,1.0,,,,
282,PT02M57.00S,2022-03-17T00:00:04.3Z,2,REGULAR,2pt,Jump Shot,[],1629636,82.07950065703022,67.8921568627451,1610612739,49,61,2022-03-17T00:00:10Z,2710000,89.0,116.0,1,right,D. Garland 14' pullup Jump Shot (10 PTS),[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,14.65,Made,,,,,10.0,,,,,,,,,,,,,,
283,PT02M40.00S,2022-03-17T00:00:21.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,15.325229960578188,41.42156862745098,1610612755,49,61,2022-03-17T00:00:27Z,2720000,43.0,92.0,1,left,MISS J. Embiid 10' turnaround fadeaway Shot,[203954],1610612755.0,PHI,turnaround fadeaway,,,Embiid,J. Embiid,,,,,10.11,Missed,,,,,,,,,,,,,,,,,,,
284,PT02M37.00S,2022-03-17T00:00:24.3Z,2,REGULAR,rebound,defensive,[],1629636,,,1610612739,49,61,2022-03-17T00:00:27Z,2730000,,,0,,D. Garland REBOUND (Off:0 Def:1),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,283.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
285,PT02M34.00S,2022-03-17T00:00:29.3Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203954,,,1610612739,49,61,2022-03-17T00:00:39Z,2740000,,,0,,J. Embiid personal FOUL (2 PF) (Garland 2 FT),"[203954, 1629636]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,203593.0,2.0,0.0,Garland,1629636.0,,,,,,,,,
287,PT02M34.00S,2022-03-17T00:00:44.8Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,49,61,2022-03-17T00:01:28Z,2760000,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,PT02M34.00S,2022-03-17T00:03:04.9Z,2,REGULAR,substitution,out,[],1627777,,,1610612739,49,61,2022-03-17T00:03:27Z,2770000,,,0,,SUB out: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,
289,PT02M34.00S,2022-03-17T00:03:04.9Z,2,REGULAR,substitution,in,[],202699,,,1610612739,49,61,2022-03-17T00:03:27Z,2780000,,,0,,SUB in: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
290,PT02M34.00S,2022-03-17T00:03:46.7Z,2,REGULAR,freethrow,1 of 2,[],1629636,,,1610612739,50,61,2022-03-17T00:06:19Z,2790000,,,0,,D. Garland Free Throw 1 of 2 (11 PTS),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,Made,,,,,11.0,,,,,,,,,,,,,,
291,PT02M34.00S,2022-03-17T00:03:46.7Z,2,REGULAR,freethrow,2 of 2,[],1629636,,,1610612739,51,61,2022-03-17T00:06:19Z,2800000,,,0,,D. Garland Free Throw 2 of 2 (12 PTS),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,Made,,,,,12.0,,,,,,,,,,,,,,
292,PT02M13.00S,2022-03-17T00:04:21.4Z,2,REGULAR,turnover,lost ball,[],202699,,,1610612755,51,61,2022-03-17T00:04:28Z,2810000,,,0,,T. Harris lost ball TURNOVER (1 TO),"[202699, 1630205]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,1.0,Stevens,1630205.0,
293,PT02M13.00S,2022-03-17T00:04:21.4Z,2,REGULAR,steal,,[],1630205,,,1610612739,51,61,2022-03-17T00:04:23Z,2820000,,,0,,L. Stevens STEAL (1 STL),[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,,,,,,,,,,,,,,,,,,,,,
294,PT02M01.00S,2022-03-17T00:04:43.0Z,2,REGULAR,foul,technical,"['inpenalty', '1freethrow']",202699,,,1610612739,51,61,2022-03-17T00:05:13Z,2830000,,,0,,T. Harris defensive-3-second technical FOUL (1 Tech),[202699],1610612755.0,PHI,defensive-3-second,,,Harris,T. Harris,,,,,,,,,,,,202058.0,2.0,1.0,,,,,,,,,,,
295,PT02M01.00S,2022-03-17T00:05:03.1Z,2,REGULAR,freethrow,1 of 1,[],1629636,,,1610612739,52,61,2022-03-17T00:05:03Z,2840000,,,0,,D. Garland technical Free Throw 1 of 1 (13 PTS),[1629636],1610612739.0,CLE,technical,,,Garland,D. Garland,,,,,,Made,,,,,13.0,,,,,,,,,,,,,,
296,PT01M57.00S,2022-03-17T00:05:18.9Z,2,REGULAR,turnover,bad pass,[],1627747,,,1610612739,52,61,2022-03-17T00:05:34Z,2850000,,,0,,C. LeVert bad pass TURNOVER (2 TO),"[1627747, 201980]",1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,2.0,Green,201980.0,
297,PT01M57.00S,2022-03-17T00:05:18.9Z,2,REGULAR,steal,,[],201980,,,1610612755,52,61,2022-03-17T00:05:21Z,2860000,,,0,,D. Green STEAL (2 STL),[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
298,PT01M47.00S,2022-03-17T00:05:29.0Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],201980,3.7614980289093296,96.32352941176471,1610612755,52,64,2022-03-17T00:05:37Z,2870000,-232.0,-17.0,1,left,D. Green 3PT  (6 PTS) (J. Embiid 3 AST),"[201980, 203954]",1610612755.0,PHI,,,,Green,D. Green,,,,,23.22,Made,,,,,6.0,,,,,,,,J. Embiid,203954.0,3.0,,,,
300,PT01M27.00S,2022-03-17T00:05:48.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628374,89.70105124835742,50.49019607843137,1610612739,54,64,2022-03-17T00:06:27Z,2890000,2.0,44.0,1,right,L. Markkanen floating Jump Shot (5 PTS) (C. LeVert 2 AST),"[1628374, 1627747]",1610612739.0,CLE,floating,,,Markkanen,L. Markkanen,,,,,4.44,Made,,,,,5.0,,,,,,,,C. LeVert,1627747.0,2.0,,,,
302,PT01M07.00S,2022-03-17T00:06:08.8Z,2,REGULAR,2pt,Jump Shot,[],201935,14.536793692509855,15.931372549019606,1610612755,54,64,2022-03-17T00:07:01Z,2910000,170.0,84.0,1,left,MISS J. Harden 18' step back Shot,[201935],1610612755.0,PHI,step back,,,Harden,J. Harden,,,,,18.99,Missed,,,,,,,,,,,,,,,,,,,
303,PT01M03.00S,2022-03-17T00:06:12.8Z,2,REGULAR,rebound,offensive,[],203954,,,1610612755,54,64,2022-03-17T00:07:01Z,2920000,,,0,,J. Embiid REBOUND (Off:3 Def:8),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,302.0,11.0,8.0,3.0,,,,,,,,,,,,,,,
304,PT01M00.00S,2022-03-17T00:06:15.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202699,5.995400788436268,48.529411764705884,1610612755,54,66,2022-03-17T00:06:35Z,2930000,7.0,4.0,1,left,T. Harris Layup (13 PTS) (J. Embiid 4 AST),"[202699, 203954]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,0.84,Made,,,,,13.0,,,,,,,,J. Embiid,203954.0,4.0,,,,
306,PT00M44.20S,2022-03-17T00:06:34.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629636,91.01511169513797,61.76470588235294,1610612739,54,66,2022-03-17T00:06:43Z,2950000,59.0,32.0,1,right,MISS D. Garland 6' driving floating bank Shot,[1629636],1610612739.0,CLE,driving floating bank,,,Garland,D. Garland,,,,,6.69,Missed,,,,,,,,,,,,,,,,,,,
307,PT00M44.20S,2022-03-17T00:06:34.7Z,2,REGULAR,rebound,offensive,[],1630205,,,1610612739,54,66,2022-03-17T00:06:43Z,2960000,,,0,,L. Stevens REBOUND (Off:1 Def:1),[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,,,306.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
308,PT00M44.20S,2022-03-17T00:06:38.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630205,94.40999984741211,50.0,1610612739,56,66,2022-03-17T00:06:38Z,2970000,0.0,0.0,1,right,L. Stevens tip Layup (8 PTS),[1630205],1610612739.0,CLE,tip,,,Stevens,L. Stevens,,,,,0.0,Made,,,,,8.0,,,,,,,,,,,,,,
309,PT00M36.80S,2022-03-17T00:06:50.2Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612755,56,66,2022-03-17T00:06:50Z,2980000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,PT00M36.80S,2022-03-17T00:06:57.4Z,2,REGULAR,substitution,out,[],203954,,,1610612755,56,66,2022-03-17T00:07:03Z,2990000,,,0,,SUB out: J. Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,
311,PT00M36.80S,2022-03-17T00:06:57.4Z,2,REGULAR,substitution,in,[],1627777,,,1610612755,56,66,2022-03-17T00:07:03Z,3000000,,,0,,SUB in: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,
312,PT00M30.10S,2022-03-17T00:07:22.5Z,2,REGULAR,3pt,Jump Shot,[],201935,31.61957950065703,15.931372549019606,1610612755,56,69,2022-03-17T00:07:30Z,3010000,170.0,245.0,1,left,J. Harden 29' 3PT step back (10 PTS),[201935],1610612755.0,PHI,step back,,,Harden,J. Harden,,,,,29.81,Made,,,,,10.0,,,,,,,,,,,,,,
313,PT00M07.10S,2022-03-17T00:07:50.9Z,2,REGULAR,3pt,Jump Shot,[],1630171,86.28449408672799,95.83333333333334,1610612739,59,69,2022-03-17T00:07:55Z,3020000,229.0,76.0,1,right,I. Okoro 24' 3PT  (12 PTS) (C. LeVert 3 AST),"[1630171, 1627747]",1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,24.16,Made,,,,,12.0,,,,,,,,C. LeVert,1627747.0,3.0,,,,
315,PT00M00.00S,2022-03-17T00:08:00.1Z,2,REGULAR,3pt,Jump Shot,[],202699,14.14257555847569,3.1862745098039214,1610612755,59,72,2022-03-17T00:08:15Z,3040000,234.0,80.0,1,left,T. Harris 24' 3PT  (16 PTS) (J. Harden 5 AST),"[202699, 201935]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,24.75,Made,,,,,16.0,,,,,,,,J. Harden,201935.0,5.0,,,,
317,PT00M00.00S,2022-03-17T00:08:14.1Z,2,REGULAR,instantreplay,request,[],0,,,1610612739,59,72,2022-03-17T00:08:52Z,3060000,,,0,,,[],,,support,,,,,,,,,,,,,,,,202058.0,,,,,,,,,,,,,End Period - Good Basket
318,PT00M00.00S,2022-03-17T00:08:19.8Z,2,REGULAR,period,end,[],0,,,1610612739,59,72,2022-03-17T00:08:19Z,3070000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,PT12M00.00S,2022-03-17T00:22:30.3Z,3,REGULAR,substitution,out,['startperiod'],1627747,,,1610612739,59,72,2022-03-17T00:23:28Z,3080000,,,0,,SUB out: C. LeVert,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,
320,PT12M00.00S,2022-03-17T00:22:30.3Z,3,REGULAR,substitution,out,['startperiod'],201980,,,1610612739,59,72,2022-03-17T00:23:28Z,3090000,,,0,,SUB out: D. Green,[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
321,PT12M00.00S,2022-03-17T00:22:30.3Z,3,REGULAR,substitution,out,['startperiod'],1627777,,,1610612739,59,72,2022-03-17T00:23:28Z,3100000,,,0,,SUB out: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,
322,PT12M00.00S,2022-03-17T00:22:30.3Z,3,REGULAR,substitution,in,['startperiod'],1630596,,,1610612739,59,72,2022-03-17T00:23:28Z,3110000,,,0,,SUB in: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,
323,PT12M00.00S,2022-03-17T00:22:30.3Z,3,REGULAR,substitution,in,['startperiod'],203954,,,1610612739,59,72,2022-03-17T00:23:28Z,3120000,,,0,,SUB in: J. Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,
324,PT12M00.00S,2022-03-17T00:22:30.3Z,3,REGULAR,substitution,in,['startperiod'],1629680,,,1610612739,59,72,2022-03-17T00:23:28Z,3130000,,,0,,SUB in: M. Thybulle,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,
325,PT12M00.00S,2022-03-17T00:23:33.3Z,3,REGULAR,period,start,[],0,,,1610612755,59,72,2022-03-17T00:23:33Z,3140000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,PT11M46.00S,2022-03-17T00:23:46.2Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,92.72339027595268,51.225490196078425,1610612755,59,72,2022-03-17T00:23:53Z,3150000,6.0,16.0,1,right,MISS T. Maxey driving finger roll Layup,[1630178],1610612755.0,PHI,driving finger roll,,,Maxey,T. Maxey,,,,,1.7,Missed,,,,,,,,,,,,,,,,,,,
327,PT11M43.00S,2022-03-17T00:23:49.2Z,3,REGULAR,rebound,defensive,[],1628374,,,1610612739,59,72,2022-03-17T00:23:53Z,3160000,,,0,,L. Markkanen REBOUND (Off:0 Def:3),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,326.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
328,PT11M39.00S,2022-03-17T00:23:53.6Z,3,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630596,5.995400788436268,48.529411764705884,1610612739,61,72,2022-03-17T00:24:06Z,3170000,7.0,4.0,1,left,E. Mobley cutting DUNK (4 PTS) (L. Markkanen 2 AST),"[1630596, 1628374]",1610612739.0,CLE,cutting,,,Mobley,E. Mobley,,,,,0.84,Made,,,,,4.0,,,,,,,,L. Markkanen,1628374.0,2.0,,,,
330,PT11M14.00S,2022-03-17T00:24:18.1Z,3,REGULAR,3pt,Jump Shot,[],1629680,92.19776609724047,3.1862745098039214,1610612755,61,72,2022-03-17T00:24:23Z,3190000,-234.0,21.0,1,right,MISS M. Thybulle 3PT,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,23.5,Missed,,,,,,,,,,,,,,,,,,,
331,PT11M11.00S,2022-03-17T00:24:21.1Z,3,REGULAR,rebound,defensive,[],1629636,,,1610612739,61,72,2022-03-17T00:24:23Z,3200000,,,0,,D. Garland REBOUND (Off:0 Def:2),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,330.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
332,PT11M04.00S,2022-03-17T00:24:28.1Z,3,REGULAR,3pt,Jump Shot,[],1628374,31.09395532194481,65.44117647058823,1610612739,61,72,2022-03-17T00:24:34Z,3210000,-77.0,240.0,1,left,MISS L. Markkanen 25' 3PT,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,25.19,Missed,,,,,,,,,,,,,,,,,,,
333,PT11M01.00S,2022-03-17T00:24:31.1Z,3,REGULAR,rebound,defensive,[],1629680,,,1610612755,61,72,2022-03-17T00:24:34Z,3220000,,,0,,M. Thybulle REBOUND (Off:0 Def:4),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,332.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
334,PT10M50.00S,2022-03-17T00:24:42.1Z,3,REGULAR,3pt,Jump Shot,[],203954,72.09264126149803,79.90196078431373,1610612755,61,72,2022-03-17T00:25:02Z,3230000,150.0,210.0,1,right,MISS J. Embiid 25' 3PT,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,25.76,Missed,,,,,,,,,,,,,,,,,,,
335,PT10M46.00S,2022-03-17T00:24:46.1Z,3,REGULAR,rebound,defensive,[],1630171,,,1610612739,61,72,2022-03-17T00:25:02Z,3240000,,,0,,I. Okoro REBOUND (Off:0 Def:3),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,334.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
336,PT10M41.00S,2022-03-17T00:24:51.7Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630171,7.703679369250986,51.9607843137255,1610612739,61,72,2022-03-17T00:25:20Z,3250000,-10.0,20.0,1,left,MISS I. Okoro running Layup,[1630171],1610612739.0,CLE,running,,,Okoro,I. Okoro,,,,,2.22,Missed,,,,,,,,,,,,,,,,,,,
337,PT10M40.00S,2022-03-17T00:24:52.7Z,3,REGULAR,rebound,defensive,[],203954,,,1610612755,61,72,2022-03-17T00:25:20Z,3260000,,,0,,J. Embiid REBOUND (Off:3 Def:9),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,336.0,12.0,9.0,3.0,,,,,,,,,,,,,,,
338,PT10M40.00S,2022-03-17T00:25:02.1Z,3,REGULAR,foul,personal,['2freethrow'],1630596,,,1610612755,61,72,2022-03-17T00:25:11Z,3270000,,,0,,E. Mobley shooting personal FOUL (3 PF) (Embiid 2 FT),"[1630596, 203954]",1610612739.0,CLE,shooting,,,Mobley,E. Mobley,,,,,,,,,,,,200834.0,3.0,0.0,Embiid,203954.0,,,,,,,,,
340,PT10M40.00S,2022-03-17T00:25:23.7Z,3,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,61,73,2022-03-17T00:25:23Z,3290000,,,0,,J. Embiid Free Throw 1 of 2 (21 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Made,,,,,21.0,,,,,,,,,,,,,,
341,PT10M40.00S,2022-03-17T00:25:39.6Z,3,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,61,74,2022-03-17T00:25:39Z,3300000,,,0,,J. Embiid Free Throw 2 of 2 (22 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Made,,,,,22.0,,,,,,,,,,,,,,
342,PT10M20.00S,2022-03-17T00:26:01.2Z,3,REGULAR,turnover,lost ball,[],1630596,,,1610612739,61,74,2022-03-17T00:26:07Z,3310000,,,0,,E. Mobley lost ball TURNOVER (1 TO),"[1630596, 202699]",1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,1.0,Harris,202699.0,
343,PT10M20.00S,2022-03-17T00:26:01.2Z,3,REGULAR,steal,,[],202699,,,1610612755,61,74,2022-03-17T00:26:03Z,3320000,,,0,,T. Harris STEAL (1 STL),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
344,PT10M07.00S,2022-03-17T00:26:13.6Z,3,REGULAR,turnover,lost ball,[],201935,,,1610612755,61,74,2022-03-17T00:26:17Z,3330000,,,0,,J. Harden lost ball TURNOVER (1 TO),"[201935, 1629636]",1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,1.0,Garland,1629636.0,
345,PT10M07.00S,2022-03-17T00:26:13.6Z,3,REGULAR,steal,,[],1629636,,,1610612739,61,74,2022-03-17T00:26:16Z,3340000,,,0,,D. Garland STEAL (1 STL),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,,,,,,,
346,PT10M01.00S,2022-03-17T00:26:19.2Z,3,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1629636,28.203022339027594,24.019607843137255,1610612739,64,74,2022-03-17T00:27:26Z,3350000,130.0,213.0,1,left,D. Garland 24' 3PT running pullup (16 PTS),[1629636],1610612739.0,CLE,running pullup,,,Garland,D. Garland,,,,,24.91,Made,,,,,16.0,,,,,,,,,,,,,,
347,PT09M37.00S,2022-03-17T00:26:43.5Z,3,REGULAR,3pt,Jump Shot,[],201935,72.88107752956637,85.29411764705883,1610612755,64,74,2022-03-17T00:28:18Z,3360000,176.0,202.0,1,right,MISS J. Harden 26' step back 3PT,[201935],1610612755.0,PHI,step back,,,Harden,J. Harden,,,,,26.85,Missed,,,,,,,,,,,,,,,,,,,
348,PT09M35.00S,2022-03-17T00:26:45.5Z,3,REGULAR,rebound,defensive,[],1630171,,,1610612739,64,74,2022-03-17T00:27:16Z,3370000,,,0,,I. Okoro REBOUND (Off:0 Def:4),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,347.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
349,PT09M12.00S,2022-03-17T00:27:09.8Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630596,16.63929040735874,51.71568627450981,1610612739,66,74,2022-03-17T00:27:21Z,3380000,-9.0,104.0,1,left,E. Mobley 10' floating Jump Shot (6 PTS),[1630596],1610612739.0,CLE,floating,,,Mobley,E. Mobley,,,,,10.43,Made,,,,,6.0,,,,,,,,,,,,,,
350,PT08M55.00S,2022-03-17T00:27:26.6Z,3,REGULAR,turnover,bad pass,[],1630178,,,1610612755,66,74,2022-03-17T00:27:32Z,3390000,,,0,,T. Maxey bad pass TURNOVER (1 TO),"[1630178, 1628374]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,1.0,Markkanen,1628374.0,
351,PT08M55.00S,2022-03-17T00:27:26.6Z,3,REGULAR,steal,,[],1628374,,,1610612739,66,74,2022-03-17T00:27:29Z,3400000,,,0,,L. Markkanen STEAL (1 STL),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,,
352,PT08M54.00S,2022-03-17T00:27:32.9Z,3,REGULAR,foul,personal,[],1630178,,,1610612739,66,74,2022-03-17T00:27:47Z,3410000,,,0,,T. Maxey take personal FOUL (2 PF),"[1630178, 1629636]",1610612755.0,PHI,take,,,Maxey,T. Maxey,,,,,,,,,,,,203593.0,2.0,0.0,Garland,1629636.0,,,,,,,,,
354,PT08M36.00S,2022-03-17T00:28:10.6Z,3,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1628374,6.258212877792378,50.49019607843137,1610612739,68,74,2022-03-17T00:28:18Z,3430000,-2.0,6.0,1,left,L. Markkanen driving DUNK (7 PTS) (D. Garland 5 AST),"[1628374, 1629636]",1610612739.0,CLE,driving,,,Markkanen,L. Markkanen,,,,,0.68,Made,,,,,7.0,,,,,,,,D. Garland,1629636.0,5.0,,,,
356,PT08M35.00S,2022-03-17T00:28:16.6Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,68,74,2022-03-17T00:28:16Z,3450000,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,PT08M16.00S,2022-03-17T00:31:27.9Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,92.59198423127464,50.49019607843137,1610612755,68,74,2022-03-17T00:33:15Z,3460000,2.0,17.0,1,right,MISS T. Maxey reverse Layup,[1630178],1610612755.0,PHI,reverse,,,Maxey,T. Maxey,,,,,1.73,Missed,,,,,,,,,,,,,,,,,,,
358,PT08M15.00S,2022-03-17T00:31:28.9Z,3,REGULAR,rebound,offensive,[],203954,,,1610612755,68,74,2022-03-17T00:33:01Z,3470000,,,0,,J. Embiid REBOUND (Off:4 Def:9),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,357.0,13.0,9.0,4.0,,,,,,,,,,,,,,,
359,PT08M15.00S,2022-03-17T00:31:31.4Z,3,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203954,94.40999984741211,50.0,1610612755,68,74,2022-03-17T00:32:00Z,3480000,0.0,0.0,1,right,MISS J. Embiid tip Layup,[203954],1610612755.0,PHI,tip,,,Embiid,J. Embiid,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
360,PT08M15.00S,2022-03-17T00:31:31.4Z,3,REGULAR,rebound,offensive,[],203954,,,1610612755,68,74,2022-03-17T00:32:00Z,3490000,,,0,,J. Embiid REBOUND (Off:5 Def:9),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,359.0,14.0,9.0,5.0,,,,,,,,,,,,,,,
