actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
256,PT07M24.00S,2026-01-16T02:21:02.8Z,2,REGULAR,substitution,in,[],1628997,,,1610612762,46,36,2026-01-16T02:24:04Z,2560000,False,,,0,,SUB in: C. Martin,[1628997],1610612742.0,DAL,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
257,PT07M24.00S,2026-01-16T02:24:14.5Z,2,REGULAR,freethrow,2 of 2,[],1641718,,,1610612762,46,37,2026-01-16T02:24:14Z,2570000,False,,,0,,K. George Free Throw 2 of 2 (10 PTS),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,,,,,,Made,10.0,,,,,,,,,,,,,,
258,PT07M09.00S,2026-01-16T02:24:33.9Z,2,REGULAR,foul,personal,['2freethrow'],1642271,,,1610612742,46,37,2026-01-16T02:24:42Z,2580000,False,,,0,,K. Filipowski shooting personal FOUL (3 PF) (Williams 2 FT),"[1642271, 1630314]",1610612762.0,UTA,shooting,,,Filipowski,K. Filipowski,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1830.0,3.0,0.0,Williams,1630314.0
260,PT07M09.00S,2026-01-16T02:25:04.2Z,2,REGULAR,freethrow,1 of 2,[],1630314,,,1610612742,46,37,2026-01-16T02:25:04Z,2600000,False,,,0,,MISS B. Williams Free Throw 1 of 2,[1630314],1610612742.0,DAL,,,,Williams,B. Williams,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
261,PT07M09.00S,2026-01-16T02:25:04.2Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612742,46,37,2026-01-16T02:25:04Z,2610000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,260.0,,,,,,,,,,
262,PT07M09.00S,2026-01-16T02:25:23.8Z,2,REGULAR,freethrow,2 of 2,[],1630314,,,1610612742,47,37,2026-01-16T02:25:23Z,2620000,False,,,0,,B. Williams Free Throw 2 of 2 (6 PTS),[1630314],1610612742.0,DAL,,,,Williams,B. Williams,,,,,,,,,,,Made,6.0,,,,,,,,,,,,,,
263,PT06M54.00S,2026-01-16T02:25:40.0Z,2,REGULAR,3pt,Jump Shot,[],1642268,67.49342969776609,26.47058823529412,1610612762,47,37,2026-01-16T02:26:12Z,2630000,False,-118.0,253.0,1,right,MISS I. Collier 27' pullup 3PT,[1642268],1610612762.0,UTA,pullup,,,Collier,I. Collier,,,,,Above the Break 3,24+ Left Center,,,,27.91,Missed,,,,,,,,,,,,,,,
264,PT06M52.00S,2026-01-16T02:25:42.0Z,2,REGULAR,rebound,defensive,[],203939,,,1610612742,47,37,2026-01-16T02:25:44Z,2640000,False,,,0,,D. Powell REBOUND (Off:0 Def:3),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,263.0,,,3.0,3.0,0.0,,,,,
265,PT06M42.00S,2026-01-16T02:25:53.2Z,2,REGULAR,2pt,Jump Shot,[],1630702,11.300919842312746,31.46829044117647,1610612742,49,37,2026-01-16T02:26:30Z,2650000,False,93.0,54.0,1,left,J. Hardy 10' driving floating bank Jump Shot (2 PTS),[1630702],1610612742.0,DAL,driving floating bank,,,Hardy,J. Hardy,,,,,Mid-Range,8-16 Right,,,,10.71,Made,2.0,,,,,,,,,,,,,,
266,PT06M27.00S,2026-01-16T02:26:07.7Z,2,REGULAR,turnover,lost ball,[],1642271,,,1610612762,49,37,2026-01-16T02:26:18Z,2660000,False,,,0,,K. Filipowski lost ball TURNOVER (1 TO),"[1642271, 203939]",1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Mid-Range,16-24 Center,1.0,Powell,203939.0,,,,,,,,,,,,,,,,,
267,PT06M27.00S,2026-01-16T02:26:07.7Z,2,REGULAR,steal,,[],203939,,,1610612742,49,37,2026-01-16T02:26:09Z,2670000,False,,,0,,D. Powell STEAL (1 STL),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
268,PT06M23.00S,2026-01-16T02:26:11.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203939,5.338370565045992,50.49019607843137,1610612742,51,37,2026-01-16T02:26:24Z,2680000,False,-2.0,-2.0,1,left,D. Powell running reverse Layup (6 PTS),[203939],1610612742.0,DAL,running reverse,,,Powell,D. Powell,,,,,Restricted Area,0-8 Center,,,,0.34,Made,6.0,,,,,,,,,,,,,,
269,PT06M04.00S,2026-01-16T02:26:30.3Z,2,REGULAR,2pt,Jump Shot,[],1641718,81.02825229960578,69.85294117647058,1610612762,51,37,2026-01-16T02:26:41Z,2690000,False,99.0,126.0,1,right,MISS K. George 16' pullup Shot,[1641718],1610612762.0,UTA,pullup,,,George,K. George,,,,,Mid-Range,16-24 Right Center,,,,16.03,Missed,,,,,,,,,,,,,,,
270,PT06M01.00S,2026-01-16T02:26:33.3Z,2,REGULAR,rebound,offensive,[],1642846,,,1610612762,51,37,2026-01-16T02:26:36Z,2700000,False,,,0,,A. Bailey REBOUND (Off:1 Def:2),[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,269.0,,,3.0,2.0,1.0,,,,,
271,PT06M01.00S,2026-01-16T02:26:34.0Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1642846,94.40999984741211,50.0,1610612762,51,39,2026-01-16T02:26:37Z,2710000,False,0.0,0.0,1,right,A. Bailey tip Layup (8 PTS),[1642846],1610612762.0,UTA,tip,,,Bailey,A. Bailey,,,,,Restricted Area,0-8 Center,,,,0.0,Made,8.0,,,,,,,,,,,,,,
272,PT05M46.00S,2026-01-16T02:26:47.6Z,2,REGULAR,3pt,Jump Shot,[],1630230,6.389618922470433,4.901960784313726,1610612742,54,39,2026-01-16T02:26:51Z,2720000,False,225.0,8.0,1,left,N. Marshall 3PT  (9 PTS) (J. Hardy 2 AST),"[1630230, 1630702]",1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,Right Corner 3,24+ Right,,,,22.56,Made,9.0,J. Hardy,1630702.0,2.0,,,,,,,,,,,
274,PT05M31.00S,2026-01-16T02:27:08.1Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630702,,,1610612762,54,39,2026-01-16T02:27:15Z,2740000,False,,,0,,J. Hardy personal FOUL (3 PF) (Clayton Jr. 2 FT),"[1630702, 1642383]",1610612742.0,DAL,,,,Hardy,J. Hardy,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,1151.0,3.0,0.0,Clayton Jr.,1642383.0
278,PT05M31.00S,2026-01-16T02:27:52.7Z,2,REGULAR,freethrow,1 of 2,[],1642383,,,1610612762,54,40,2026-01-16T02:27:52Z,2780000,False,,,0,,W. Clayton Jr. Free Throw 1 of 2 (1 PTS),[1642383],1610612762.0,UTA,,,,Clayton Jr.,W. Clayton Jr.,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
279,PT05M31.00S,2026-01-16T02:27:53.4Z,2,REGULAR,substitution,out,[],1630702,,,1610612762,54,40,2026-01-16T02:28:03Z,2790000,False,,,0,,SUB out: J. Hardy,[1630702],1610612742.0,DAL,,,,Hardy,J. Hardy,,,,,,,,,,,,,,,,,,,,,,,,,,
280,PT05M31.00S,2026-01-16T02:27:53.4Z,2,REGULAR,substitution,out,[],1642846,,,1610612762,54,40,2026-01-16T02:28:03Z,2800000,False,,,0,,SUB out: A. Bailey,[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,,,,,,,,,,,,,,,,,,,,,,
281,PT05M31.00S,2026-01-16T02:27:53.4Z,2,REGULAR,substitution,in,[],202691,,,1610612762,54,40,2026-01-16T02:28:03Z,2810000,False,,,0,,SUB in: K. Thompson,[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
282,PT05M31.00S,2026-01-16T02:27:53.4Z,2,REGULAR,substitution,in,[],1642262,,,1610612762,54,40,2026-01-16T02:28:03Z,2820000,False,,,0,,SUB in: C. Williams,[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
283,PT05M31.00S,2026-01-16T02:28:11.7Z,2,REGULAR,freethrow,2 of 2,[],1642383,,,1610612762,54,41,2026-01-16T02:28:11Z,2830000,False,,,0,,W. Clayton Jr. Free Throw 2 of 2 (2 PTS),[1642383],1610612762.0,UTA,,,,Clayton Jr.,W. Clayton Jr.,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
284,PT05M22.00S,2026-01-16T02:28:22.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202691,4.944152431011826,47.549019607843135,1610612742,56,41,2026-01-16T02:28:26Z,2840000,False,12.0,-6.0,1,left,K. Thompson cutting Layup (12 PTS) (B. Williams 2 AST),"[202691, 1630314]",1610612742.0,DAL,cutting,,,Thompson,K. Thompson,,,,,Restricted Area,0-8 Center,,,,1.37,Made,12.0,B. Williams,1630314.0,2.0,,,,,,,,,,,
286,PT05M07.00S,2026-01-16T02:28:36.7Z,2,REGULAR,3pt,Jump Shot,[],1642271,92.59198423127464,3.9215686274509802,1610612762,56,41,2026-01-16T02:28:41Z,2860000,False,-230.0,17.0,1,right,MISS K. Filipowski 3PT,[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Left Corner 3,24+ Left,,,,23.1,Missed,,,,,,,,,,,,,,,
287,PT05M04.00S,2026-01-16T02:28:39.7Z,2,REGULAR,rebound,defensive,[],1630230,,,1610612742,56,41,2026-01-16T02:28:41Z,2870000,False,,,0,,N. Marshall REBOUND (Off:0 Def:4),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,Left Corner 3,24+ Left,,,,,,,,,,286.0,,,4.0,4.0,0.0,,,,,
288,PT04M58.00S,2026-01-16T02:28:46.7Z,2,REGULAR,3pt,Jump Shot,[],202691,19.398817345597898,7.598039215686274,1610612742,59,41,2026-01-16T02:28:50Z,2880000,False,212.0,130.0,1,left,K. Thompson 24' 3PT  (15 PTS) (N. Marshall 3 AST),"[202691, 1630230]",1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,,,,24.86,Made,15.0,N. Marshall,1630230.0,3.0,,,,,,,,,,,
290,PT04M38.00S,2026-01-16T02:29:05.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641718,88.78120893561103,58.08823529411765,1610612762,59,41,2026-01-16T02:29:08Z,2900000,False,40.0,53.0,1,right,MISS K. George 6' driving floating Shot - blocked,"[1641718, 203939]",1610612762.0,UTA,driving floating,,,George,K. George,,,,,In The Paint (Non-RA),0-8 Center,,,,6.66,Missed,,,,,,Powell,203939.0,,,,,,,,
291,PT04M38.00S,2026-01-16T02:29:05.8Z,2,REGULAR,block,,[],203939,,,1610612762,59,41,2026-01-16T02:29:08Z,2910000,False,,,0,,D. Powell BLOCK (2 BLK),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
292,PT04M36.00S,2026-01-16T02:29:07.8Z,2,REGULAR,rebound,defensive,[],202691,,,1610612742,59,41,2026-01-16T02:29:08Z,2920000,False,,,0,,K. Thompson REBOUND (Off:0 Def:1),[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,290.0,,,1.0,1.0,0.0,,,,,
293,PT04M30.00S,2026-01-16T02:29:14.1Z,2,REGULAR,2pt,Jump Shot,[],1630230,10.512483574244415,67.1798406862745,1610612742,61,41,2026-01-16T02:29:43Z,2930000,False,-86.0,46.0,1,left,N. Marshall 9' driving floating bank Jump Shot (11 PTS),[1630230],1610612742.0,DAL,driving floating bank,,,Marshall,N. Marshall,,,,,Mid-Range,8-16 Left,,,,9.76,Made,11.0,,,,,,,,,,,,,,
294,PT04M09.00S,2026-01-16T02:29:34.8Z,2,REGULAR,3pt,Jump Shot,[],1642271,94.43166885676742,3.431372549019608,1610612762,61,44,2026-01-16T02:29:41Z,2940000,False,-233.0,0.0,1,right,K. Filipowski 3PT  (8 PTS) (I. Collier 7 AST),"[1642271, 1642268]",1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Left Corner 3,24+ Left,,,,23.28,Made,8.0,I. Collier,1642268.0,7.0,,,,,,,,,,,
296,PT03M55.00S,2026-01-16T02:29:51.9Z,2,REGULAR,turnover,out-of-bounds,[],203939,,,1610612742,61,44,2026-01-16T02:30:00Z,2960000,False,,,0,,D. Powell step out-of-bounds TURNOVER (1 TO),[203939],1610612742.0,DAL,step,,,Powell,D. Powell,,,,,In The Paint (Non-RA),0-8 Center,1.0,,,,,,,,,,,,,,,1151.0,,,,
297,PT03M46.00S,2026-01-16T02:30:16.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1642268,94.03745072273325,55.14705882352941,1610612762,61,46,2026-01-16T02:30:20Z,2970000,False,26.0,4.0,1,right,I. Collier driving Layup (2 PTS),[1642268],1610612762.0,UTA,driving,,,Collier,I. Collier,,,,,Restricted Area,0-8 Center,,,,2.59,Made,2.0,,,,,,,,,,,,,,
298,PT03M28.00S,2026-01-16T02:30:34.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630230,9.017739816031538,65.44117647058823,1610612742,61,46,2026-01-16T02:30:38Z,2980000,False,-77.0,32.0,1,left,MISS N. Marshall 8' turnaround Shot,[1630230],1610612742.0,DAL,turnaround,,,Marshall,N. Marshall,,,,,In The Paint (Non-RA),8-16 Left,,,,8.37,Missed,,,,,,,,,,,,,,,
299,PT03M26.00S,2026-01-16T02:30:36.5Z,2,REGULAR,rebound,defensive,[],1641718,,,1610612762,61,46,2026-01-16T02:30:38Z,2990000,False,,,0,,K. George REBOUND (Off:1 Def:1),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,298.0,,,2.0,1.0,1.0,,,,,
336,PT03M21.00S,2026-01-16T02:30:44.2Z,2,REGULAR,turnover,lost ball,[],1642271,,,1610612762,61,46,2026-01-16T02:37:13Z,3010000,False,,,0,,K. Filipowski lost ball TURNOVER (2 TO),"[1642271, 1630230]",1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,In The Paint (Non-RA),0-8 Center,2.0,Marshall,1630230.0,,,,,,,,,,,,,,,,,
337,PT03M21.00S,2026-01-16T02:30:44.2Z,2,REGULAR,steal,,[],1630230,,,1610612742,61,46,2026-01-16T02:36:52Z,3020000,False,,,0,,N. Marshall STEAL (1 STL),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
303,PT03M09.00S,2026-01-16T02:30:53.9Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],202691,8.623521681997373,2.941176470588235,1610612742,61,46,2026-01-16T02:36:52Z,3030000,False,235.0,29.0,1,left,MISS K. Thompson 3PT,[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Right Corner 3,24+ Right,,,,23.7,Missed,,,,,,,,,,,,,,,
304,PT03M05.00S,2026-01-16T02:30:57.9Z,2,REGULAR,rebound,defensive,[],1642271,,,1610612762,61,46,2026-01-16T02:30:57Z,3040000,False,,,0,,K. Filipowski REBOUND (Off:0 Def:4),[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Right Corner 3,24+ Right,,,,,,,,,,303.0,,,4.0,4.0,0.0,,,,,
305,PT03M00.00S,2026-01-16T02:31:02.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1642262,93.51182654402102,52.94117647058824,1610612762,61,48,2026-01-16T02:31:07Z,3050000,False,15.0,8.0,1,right,C. Williams running Layup (11 PTS) (W. Clayton Jr. 3 AST),"[1642262, 1642383]",1610612762.0,UTA,running,,,Williams,C. Williams,,,,,Restricted Area,0-8 Center,,,,1.7,Made,11.0,W. Clayton Jr.,1642383.0,3.0,,,,,,,,,,,
307,PT02M42.00S,2026-01-16T02:31:20.3Z,2,REGULAR,turnover,lost ball,[],202691,,,1610612742,61,48,2026-01-16T02:31:25Z,3070000,False,,,0,,K. Thompson lost ball TURNOVER (1 TO),"[202691, 1641718]",1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Mid-Range,8-16 Center,1.0,George,1641718.0,,,,,,,,,,,,,,,,,
308,PT02M42.00S,2026-01-16T02:31:20.3Z,2,REGULAR,steal,,[],1641718,,,1610612762,61,48,2026-01-16T02:31:22Z,3080000,False,,,0,,K. George STEAL (1 STL),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
309,PT02M37.00S,2026-01-16T02:31:25.6Z,2,REGULAR,turnover,lost ball,[],1641718,,,1610612762,61,48,2026-01-16T02:31:28Z,3090000,False,,,0,,K. George lost ball TURNOVER (1 TO),"[1641718, 1628997]",1610612762.0,UTA,,,,George,K. George,,,,,Mid-Range,16-24 Center,1.0,Martin,1628997.0,,,,,,,,,,,,,,,,,
310,PT02M37.00S,2026-01-16T02:31:25.6Z,2,REGULAR,steal,,[],1628997,,,1610612742,61,48,2026-01-16T02:31:27Z,3100000,False,,,0,,C. Martin STEAL (1 STL),[1628997],1610612742.0,DAL,,,,Martin,C. Martin,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
311,PT02M30.00S,2026-01-16T02:31:32.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630230,5.601182654402102,48.28431372549019,1610612742,63,48,2026-01-16T02:31:36Z,3110000,False,9.0,0.0,1,left,N. Marshall running Layup (13 PTS) (K. Thompson 5 AST),"[1630230, 202691]",1610612742.0,DAL,running,,,Marshall,N. Marshall,,,,,Restricted Area,0-8 Center,,,,0.86,Made,13.0,K. Thompson,202691.0,5.0,,,,,,,,,,,
313,PT02M02.00S,2026-01-16T02:32:02.4Z,2,REGULAR,turnover,traveling,[],1641718,,,1610612762,63,48,2026-01-16T02:32:07Z,3130000,False,,,0,,K. George traveling TURNOVER (2 TO),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Mid-Range,16-24 Right Center,2.0,,,,,,,,,,,,,,,1627526.0,,,,
314,PT02M02.00S,2026-01-16T02:32:13.1Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,63,48,2026-01-16T02:32:13Z,3140000,False,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,PT02M02.00S,2026-01-16T02:32:14.6Z,2,REGULAR,substitution,out,[],203939,,,1610612742,63,48,2026-01-16T02:35:10Z,3150000,False,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
316,PT02M02.00S,2026-01-16T02:32:14.6Z,2,REGULAR,substitution,out,[],1630314,,,1610612742,63,48,2026-01-16T02:35:10Z,3160000,False,,,0,,SUB out: B. Williams,[1630314],1610612742.0,DAL,,,,Williams,B. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
317,PT02M02.00S,2026-01-16T02:32:14.6Z,2,REGULAR,substitution,out,[],1642383,,,1610612742,63,48,2026-01-16T02:35:10Z,3170000,False,,,0,,SUB out: W. Clayton Jr.,[1642383],1610612762.0,UTA,,,,Clayton Jr.,W. Clayton Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
318,PT02M02.00S,2026-01-16T02:32:14.6Z,2,REGULAR,substitution,in,[],1642948,,,1610612742,63,48,2026-01-16T02:35:10Z,3180000,False,,,0,,SUB in: R. Nembhard,[1642948],1610612742.0,DAL,,,,Nembhard,R. Nembhard,,,,,,,,,,,,,,,,,,,,,,,,,,
319,PT02M02.00S,2026-01-16T02:32:14.6Z,2,REGULAR,substitution,in,[],1630619,,,1610612742,63,48,2026-01-16T02:35:10Z,3190000,False,,,0,,SUB in: M. Cisse,[1630619],1610612742.0,DAL,,,,Cisse,M. Cisse,,,,,,,,,,,,,,,,,,,,,,,,,,
320,PT02M02.00S,2026-01-16T02:32:14.6Z,2,REGULAR,substitution,in,[],1642846,,,1610612742,63,48,2026-01-16T02:35:10Z,3200000,False,,,0,,SUB in: A. Bailey,[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,,,,,,,,,,,,,,,,,,,,,,
321,PT01M47.00S,2026-01-16T02:35:28.0Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630230,17.821944809461236,5.88235294117647,1610612742,66,48,2026-01-16T02:35:31Z,3210000,False,221.0,115.0,1,left,N. Marshall 24' 3PT  (16 PTS) (C. Martin 1 AST),"[1630230, 1628997]",1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,Above the Break 3,24+ Right Center,,,,24.88,Made,16.0,C. Martin,1628997.0,1.0,,,,,,,,,,,
323,PT01M29.00S,2026-01-16T02:35:46.8Z,2,REGULAR,turnover,lost ball,[],1642271,,,1610612762,66,48,2026-01-16T02:35:50Z,3230000,False,,,0,,K. Filipowski lost ball TURNOVER (3 TO),"[1642271, 202691]",1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Mid-Range,16-24 Center,3.0,Thompson,202691.0,,,,,,,,,,,,,,,,,
324,PT01M29.00S,2026-01-16T02:35:46.8Z,2,REGULAR,steal,,[],202691,,,1610612742,66,48,2026-01-16T02:36:18Z,3240000,False,,,0,,K. Thompson STEAL (1 STL),[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
325,PT01M16.00S,2026-01-16T02:36:03.4Z,2,REGULAR,violation,kicked ball,[],1642271,,,1610612742,66,48,2026-01-16T02:36:09Z,3250000,False,,,0,,K. Filipowski kicked ball VIOLATION,[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,,,,,,,,,,,,,,,,,,1627526.0,,,,
326,PT01M08.00S,2026-01-16T02:36:23.0Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630230,4.812746386333772,95.58823529411765,1610612742,66,48,2026-01-16T02:36:28Z,3260000,False,-228.0,-7.0,1,left,MISS N. Marshall 3PT,[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,Left Corner 3,24+ Left,,,,22.8,Missed,,,,,,,,,,,,,,,
327,PT01M05.00S,2026-01-16T02:36:26.0Z,2,REGULAR,rebound,offensive,[],1630619,,,1610612742,66,48,2026-01-16T02:36:28Z,3270000,False,,,0,,M. Cisse REBOUND (Off:5 Def:3),[1630619],1610612742.0,DAL,,,,Cisse,M. Cisse,,,,,Left Corner 3,24+ Left,,,,,,,,,,326.0,,,8.0,3.0,5.0,,,,,
328,PT01M03.00S,2026-01-16T02:36:28.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630230,6.389618922470433,48.03921568627451,1610612742,68,48,2026-01-16T02:36:34Z,3280000,False,10.0,8.0,1,left,N. Marshall reverse Layup (18 PTS) (M. Cisse 2 AST),"[1630230, 1630619]",1610612742.0,DAL,reverse,,,Marshall,N. Marshall,,,,,Restricted Area,0-8 Center,,,,1.24,Made,18.0,M. Cisse,1630619.0,2.0,,,,,,,,,,,
330,PT00M54.00S,2026-01-16T02:36:36.6Z,2,REGULAR,3pt,Jump Shot,[],1642846,90.09526938239159,95.09803921568627,1610612762,68,48,2026-01-16T02:36:41Z,3300000,False,225.0,41.0,1,right,MISS A. Bailey 3PT,[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,Right Corner 3,24+ Right,,,,22.91,Missed,,,,,,,,,,,,,,,
331,PT00M52.00S,2026-01-16T02:36:38.6Z,2,REGULAR,rebound,defensive,[],1628997,,,1610612742,68,48,2026-01-16T02:36:41Z,3310000,False,,,0,,C. Martin REBOUND (Off:0 Def:3),[1628997],1610612742.0,DAL,,,,Martin,C. Martin,,,,,Right Corner 3,24+ Right,,,,,,,,,,330.0,,,3.0,3.0,0.0,,,,,
332,PT00M45.10S,2026-01-16T02:36:46.4Z,2,REGULAR,turnover,bad pass,[],1628997,,,1610612742,68,48,2026-01-16T02:36:49Z,3320000,False,,,0,,C. Martin bad pass TURNOVER (1 TO),"[1628997, 1642262]",1610612742.0,DAL,,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,1.0,Williams,1642262.0,,,,,,,,,,,,,,,,,
333,PT00M45.10S,2026-01-16T02:36:46.4Z,2,REGULAR,steal,,[],1642262,,,1610612762,68,48,2026-01-16T02:36:48Z,3330000,False,,,0,,C. Williams STEAL (1 STL),[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
334,PT00M40.80S,2026-01-16T02:36:50.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642262,90.75229960578186,49.01960784313725,1610612762,68,48,2026-01-16T02:36:55Z,3340000,False,-5.0,34.0,1,right,MISS C. Williams running Layup,[1642262],1610612762.0,UTA,running,,,Williams,C. Williams,,,,,Restricted Area,0-8 Center,,,,3.47,Missed,,,,,,,,,,,,,,,
335,PT00M39.60S,2026-01-16T02:36:51.9Z,2,REGULAR,rebound,offensive,[],1642268,,,1610612762,68,48,2026-01-16T02:36:51Z,3350000,False,,,0,,I. Collier REBOUND (Off:2 Def:0),[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,Restricted Area,0-8 Center,,,,,,,,,,334.0,,,2.0,0.0,2.0,,,,,
338,PT00M36.80S,2026-01-16T02:36:55.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1641718,91.93495400788436,48.03921568627451,1610612762,68,50,2026-01-16T02:37:01Z,3360000,False,-10.0,23.0,1,right,K. George cutting Layup (12 PTS) (I. Collier 8 AST),"[1641718, 1642268]",1610612762.0,UTA,cutting,,,George,K. George,,,,,Restricted Area,0-8 Center,,,,2.53,Made,12.0,I. Collier,1642268.0,8.0,,,,,,,,,,,
340,PT00M31.80S,2026-01-16T02:37:01.5Z,2,REGULAR,2pt,Jump Shot,[],1642948,25.57490144546649,58.08823529411765,1610612742,70,50,2026-01-16T02:37:06Z,3380000,False,-40.0,188.0,1,left,R. Nembhard 19' pullup Jump Shot (6 PTS),[1642948],1610612742.0,DAL,pullup,,,Nembhard,R. Nembhard,,,,,Mid-Range,16-24 Center,,,,19.22,Made,6.0,,,,,,,,,,,,,,
