actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
78,PT05M39.00S,2022-10-20T00:25:07.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629026,67.88764783180025,49.754901960784316,1610612760,13,9,2022-10-20T00:25:12Z,780000,-1.0,249.0,1,right,K. Williams 24' 3PT  (3 PTS) (S. Gilgeous-Alexander 1 AST),"[1629026, 1628983]",1610612760.0,OKC,,,,Williams,K. Williams,,,,,Above the Break 3,24+ Center,24.94,Made,,,,,,,3.0,,,,S. Gilgeous-Alexander,1628983.0,1.0,,,,,
80,PT05M21.00S,2022-10-20T00:25:24.8Z,1,REGULAR,3pt,Jump Shot,[],1630162,32.40801576872536,60.78431372549019,1610612750,13,9,2022-10-20T00:25:31Z,800000,-54.0,252.0,1,left,MISS A. Edwards 25' pullup 3PT,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,25.78,Missed,,,,,,,,,,,,,,,,,,
81,PT05M19.00S,2022-10-20T00:25:26.8Z,1,REGULAR,rebound,offensive,[],1630183,,,1610612750,13,9,2022-10-20T00:25:31Z,810000,,,0,,J. McDaniels REBOUND (Off:1 Def:0),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Center,,,,,80.0,1.0,0.0,1.0,,,,,,,,,,,,
82,PT05M19.00S,2022-10-20T00:25:30.7Z,1,REGULAR,foul,personal,['2freethrow'],1629026,,,1610612750,13,9,2022-10-20T00:25:37Z,820000,,,0,,K. Williams shooting personal FOUL (1 PF) (McDaniels 2 FT),"[1629026, 1630183]",1610612760.0,OKC,shooting,,,Williams,K. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,203591.0,1.0,0.0,McDaniels,1630183.0
84,PT05M19.00S,2022-10-20T00:25:53.5Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630183,,,1610612750,14,9,2022-10-20T00:25:53Z,840000,,,0,,J. McDaniels Free Throw 1 of 2 (1 PTS),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
85,PT05M19.00S,2022-10-20T00:25:54.2Z,1,REGULAR,substitution,out,[],203497,,,1610612750,14,9,2022-10-20T00:26:02Z,850000,,,0,,SUB out: R. Gobert,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M19.00S,2022-10-20T00:25:54.2Z,1,REGULAR,substitution,out,[],1630197,,,1610612750,14,9,2022-10-20T00:26:02Z,860000,,,0,,SUB out: A. Pokusevski,[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M19.00S,2022-10-20T00:25:54.2Z,1,REGULAR,substitution,in,[],203937,,,1610612750,14,9,2022-10-20T00:26:02Z,870000,,,0,,SUB in: K. Anderson,[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M19.00S,2022-10-20T00:25:54.2Z,1,REGULAR,substitution,in,[],1630544,,,1610612750,14,9,2022-10-20T00:26:02Z,880000,,,0,,SUB in: T. Mann,[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M19.00S,2022-10-20T00:26:16.9Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630183,,,1610612750,15,9,2022-10-20T00:26:16Z,890000,,,0,,J. McDaniels Free Throw 2 of 2 (2 PTS),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
90,PT05M06.00S,2022-10-20T00:26:30.6Z,1,REGULAR,2pt,Jump Shot,[],1630581,93.51182654402102,21.07843137254902,1610612760,15,11,2022-10-20T00:26:37Z,900000,-145.0,8.0,1,right,J. Giddey 14' Jump Shot (4 PTS) (L. Dort 1 AST),"[1630581, 1629652]",1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Mid-Range,8-16 Left,14.48,Made,,,,,,,4.0,,,,L. Dort,1629652.0,1.0,,,,,
92,PT05M04.00S,2022-10-20T00:26:50.7Z,1,REGULAR,turnover,inbound,[],203937,,,1610612750,15,11,2022-10-20T00:27:06Z,920000,,,0,,K. Anderson inbound TURNOVER (1 TO),[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,Mid-Range,8-16 Right,,,,,,,,,,1.0,,,,,,,,,,
93,PT04M48.00S,2022-10-20T00:27:10.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628983,72.88107752956637,77.20588235294117,1610612760,15,11,2022-10-20T00:27:20Z,930000,136.0,202.0,1,right,MISS S. Gilgeous-Alexander 24' step back 3PT,[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Right Center,24.38,Missed,,,,,,,,,,,,,,,,,,
94,PT04M45.00S,2022-10-20T00:27:13.2Z,1,REGULAR,rebound,defensive,[],1626156,,,1610612750,15,11,2022-10-20T00:27:20Z,940000,,,0,,D. Russell REBOUND (Off:0 Def:1),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Right Center,,,,,93.0,1.0,1.0,0.0,,,,,,,,,,,,
95,PT04M41.00S,2022-10-20T00:27:19.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626156,7.966491458607096,53.67647058823529,1610612750,17,11,2022-10-20T00:27:25Z,950000,-18.0,22.0,1,left,D. Russell driving Layup (4 PTS),[1626156],1610612750.0,MIN,driving,,,Russell,D. Russell,,,,,Restricted Area,0-8 Center,2.9,Made,,,,,,,4.0,,,,,,,,,,,
96,PT04M41.00S,2022-10-20T00:27:22.0Z,1,REGULAR,foul,personal,['1freethrow'],1630544,,,1610612750,17,11,2022-10-20T00:27:32Z,960000,,,0,,T. Mann shooting personal FOUL (1 PF) (Russell 1 FT),"[1630544, 1626156]",1610612760.0,OKC,shooting,,,Mann,T. Mann,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1830.0,1.0,0.0,Russell,1626156.0
98,PT04M41.00S,2022-10-20T00:27:38.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,17,11,2022-10-20T00:31:52Z,980000,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT04M41.00S,2022-10-20T00:30:35.9Z,1,REGULAR,freethrow,1 of 1,[],1626156,,,1610612750,18,11,2022-10-20T00:30:35Z,990000,,,0,,D. Russell Free Throw 1 of 1 (5 PTS),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,Made,,,,,,,5.0,,,,,,,,,,,
100,PT04M36.00S,2022-10-20T00:30:43.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628983,93.9060446780552,48.03921568627451,1610612760,18,13,2022-10-20T00:31:52Z,1000000,-10.0,5.0,1,right,S. Gilgeous-Alexander running Layup (4 PTS),[1628983],1610612760.0,OKC,running,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,1.09,Made,,,,,,,4.0,,,,,,,,,,,
101,PT04M36.00S,2022-10-20T00:30:46.1Z,1,REGULAR,foul,personal,['1freethrow'],1626156,,,1610612760,18,13,2022-10-20T00:30:51Z,1010000,,,0,,D. Russell shooting personal FOUL (1 PF) (Gilgeous-Alexander 1 FT),"[1626156, 1628983]",1610612750.0,MIN,shooting,,,Russell,D. Russell,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1830.0,1.0,0.0,Gilgeous-Alexander,1628983.0
103,PT04M36.00S,2022-10-20T00:30:52.1Z,1,REGULAR,substitution,out,[],1626156,,,1610612760,18,13,2022-10-20T00:31:52Z,1030000,,,0,,SUB out: D. Russell,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT04M36.00S,2022-10-20T00:30:52.1Z,1,REGULAR,substitution,out,[],1630581,,,1610612760,18,13,2022-10-20T00:31:52Z,1040000,,,0,,SUB out: J. Giddey,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT04M36.00S,2022-10-20T00:30:52.1Z,1,REGULAR,substitution,in,[],1629162,,,1610612760,18,13,2022-10-20T00:31:52Z,1050000,,,0,,SUB in: J. McLaughlin,[1629162],1610612750.0,MIN,,,,McLaughlin,J. McLaughlin,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT04M36.00S,2022-10-20T00:30:52.1Z,1,REGULAR,substitution,in,[],1630526,,,1610612760,18,13,2022-10-20T00:31:52Z,1060000,,,0,,SUB in: J. Robinson-Earl,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT04M36.00S,2022-10-20T00:31:05.4Z,1,REGULAR,substitution,out,[],1629026,,,1610612760,18,13,2022-10-20T00:31:52Z,1070000,,,0,,SUB out: K. Williams,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT04M36.00S,2022-10-20T00:31:05.4Z,1,REGULAR,substitution,in,[],1631114,,,1610612760,18,13,2022-10-20T00:31:52Z,1080000,,,0,,SUB in: J. Williams,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT04M36.00S,2022-10-20T00:31:20.9Z,1,REGULAR,freethrow,1 of 1,[],1628983,,,1610612760,18,14,2022-10-20T00:31:20Z,1090000,,,0,,S. Gilgeous-Alexander Free Throw 1 of 1 (5 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,,,,,,,5.0,,,,,,,,,,,
110,PT04M17.00S,2022-10-20T00:31:40.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630183,6.521024967148489,50.49019607843137,1610612750,20,14,2022-10-20T00:31:47Z,1100000,-2.0,9.0,1,left,J. McDaniels cutting DUNK (4 PTS) (K. Towns 4 AST),"[1630183, 1626157]",1610612750.0,MIN,cutting,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,0.91,Made,,,,,,,4.0,,,,K. Towns,1626157.0,4.0,,,,,
112,PT04M04.00S,2022-10-20T00:31:53.2Z,1,REGULAR,3pt,Jump Shot,[],1630526,73.40670170827858,78.18627450980392,1610612760,20,14,2022-10-20T00:32:08Z,1120000,141.0,197.0,1,right,MISS J. Robinson-Earl 24' 3PT,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,Above the Break 3,24+ Right Center,24.26,Missed,,,,,,,,,,,,,,,,,,
113,PT04M00.00S,2022-10-20T00:31:57.2Z,1,REGULAR,rebound,offensive,[],1630526,,,1610612760,20,14,2022-10-20T00:36:01Z,1130000,,,0,,J. Robinson-Earl REBOUND (Off:1 Def:0),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,Above the Break 3,24+ Right Center,,,,,112.0,1.0,0.0,1.0,,,,,,,,,,,,
114,PT04M00.00S,2022-10-20T00:32:01.7Z,1,REGULAR,violation,kicked ball,[],1630162,,,1610612760,20,14,2022-10-20T00:32:17Z,1140000,,,0,,A. Edwards kicked ball VIOLATION,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,1830.0,,,,
115,PT03M46.00S,2022-10-20T00:32:31.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630544,68.32703679369251,50.02297794117647,1610612760,20,17,2022-10-20T00:32:46Z,1150000,0.0,245.0,1,right,T. Mann 24' 3PT bank (3 PTS) (S. Gilgeous-Alexander 2 AST),"[1630544, 1628983]",1610612760.0,OKC,bank,,,Mann,T. Mann,,,,,Above the Break 3,24+ Center,24.52,Made,,,,,,,3.0,,,,S. Gilgeous-Alexander,1628983.0,2.0,,,,,
117,PT03M25.00S,2022-10-20T00:32:51.9Z,1,REGULAR,3pt,Jump Shot,[],1629162,7.440867279894875,4.411764705882353,1610612750,20,17,2022-10-20T00:32:56Z,1170000,228.0,17.0,1,left,MISS J. McLaughlin 3PT,[1629162],1610612750.0,MIN,,,,McLaughlin,J. McLaughlin,,,,,Right Corner 3,24+ Right,22.86,Missed,,,,,,,,,,,,,,,,,,
118,PT03M22.00S,2022-10-20T00:32:54.9Z,1,REGULAR,rebound,offensive,[],1630183,,,1610612750,20,17,2022-10-20T00:32:56Z,1180000,,,0,,J. McDaniels REBOUND (Off:2 Def:0),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Right Corner 3,24+ Right,,,,,117.0,2.0,0.0,2.0,,,,,,,,,,,,
119,PT03M22.00S,2022-10-20T00:32:55.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630183,6.389618922470433,49.50980392156863,1610612750,22,17,2022-10-20T00:33:00Z,1190000,2.0,8.0,1,left,J. McDaniels putback Layup (6 PTS),[1630183],1610612750.0,MIN,putback,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,0.8,Made,,,,,,,6.0,,,,,,,,,,,
120,PT02M59.00S,2022-10-20T00:33:18.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,88.04204993429697,41.900275735294116,1610612760,22,17,2022-10-20T00:33:26Z,1200000,-40.0,60.0,1,right,MISS S. Gilgeous-Alexander 7' turnaround fadeaway Shot,[1628983],1610612760.0,OKC,turnaround fadeaway,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,7.23,Missed,,,,,,,,,,,,,,,,,,
121,PT02M57.00S,2022-10-20T00:33:20.0Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,22,17,2022-10-20T00:33:26Z,1210000,,,0,,K. Towns REBOUND (Off:0 Def:3),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,,,,,120.0,3.0,3.0,0.0,,,,,,,,,,,,
122,PT02M50.00S,2022-10-20T00:33:29.6Z,1,REGULAR,foul,personal,['2freethrow'],1629652,,,1610612750,22,17,2022-10-20T00:33:41Z,1220000,,,0,,L. Dort shooting personal FOUL (1 PF) (Towns 2 FT),"[1629652, 1626157]",1610612760.0,OKC,shooting,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1830.0,1.0,0.0,Towns,1626157.0
124,PT02M50.00S,2022-10-20T00:34:11.8Z,1,REGULAR,freethrow,1 of 2,[],1626157,,,1610612750,23,17,2022-10-20T00:34:11Z,1240000,,,0,,K. Towns Free Throw 1 of 2 (4 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,Made,,,,,,,4.0,,,,,,,,,,,
125,PT02M50.00S,2022-10-20T00:34:12.6Z,1,REGULAR,substitution,out,[],1630183,,,1610612750,23,17,2022-10-20T00:34:28Z,1250000,,,0,,SUB out: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M50.00S,2022-10-20T00:34:12.6Z,1,REGULAR,substitution,out,[],1629652,,,1610612750,23,17,2022-10-20T00:34:28Z,1260000,,,0,,SUB out: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M50.00S,2022-10-20T00:34:12.6Z,1,REGULAR,substitution,in,[],1629669,,,1610612750,23,17,2022-10-20T00:34:28Z,1270000,,,0,,SUB in: J. Nowell,[1629669],1610612750.0,MIN,,,,Nowell,J. Nowell,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M50.00S,2022-10-20T00:34:12.6Z,1,REGULAR,substitution,in,[],1629647,,,1610612750,23,17,2022-10-20T00:34:28Z,1280000,,,0,,SUB in: D. Bazley,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M50.00S,2022-10-20T00:34:42.4Z,1,REGULAR,freethrow,2 of 2,[],1626157,,,1610612750,24,17,2022-10-20T00:34:42Z,1290000,,,0,,K. Towns Free Throw 2 of 2 (5 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,Made,,,,,,,5.0,,,,,,,,,,,
130,PT02M38.00S,2022-10-20T00:34:55.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629647,92.59198423127464,56.127450980392155,1610612760,24,17,2022-10-20T00:34:59Z,1300000,31.0,17.0,1,right,MISS D. Bazley cutting Layup - blocked,"[1629647, 203937]",1610612760.0,OKC,cutting,,,Bazley,D. Bazley,,,,,Restricted Area,0-8 Center,3.51,Missed,Anderson,203937.0,,,,,,,,,,,,,,,,
131,PT02M38.00S,2022-10-20T00:34:55.0Z,1,REGULAR,block,,[],203937,,,1610612760,24,17,2022-10-20T00:34:57Z,1310000,,,0,,K. Anderson BLOCK (1 BLK),[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
132,PT02M36.00S,2022-10-20T00:34:57.0Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,24,17,2022-10-20T00:34:59Z,1320000,,,0,,A. Edwards REBOUND (Off:0 Def:2),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,,,,,130.0,2.0,2.0,0.0,,,,,,,,,,,,
133,PT02M32.00S,2022-10-20T00:35:01.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629669,7.966491458607096,49.50980392156863,1610612750,26,17,2022-10-20T00:37:40Z,1330000,2.0,22.0,1,left,J. Nowell running Layup (2 PTS) (A. Edwards 2 AST),"[1629669, 1630162]",1610612750.0,MIN,running,,,Nowell,J. Nowell,,,,,Restricted Area,0-8 Center,2.25,Made,,,,,,,2.0,,,,A. Edwards,1630162.0,2.0,,,,,
135,PT02M10.00S,2022-10-20T00:35:23.5Z,1,REGULAR,2pt,Jump Shot,[],1631114,90.75229960578186,27.941176470588236,1610612760,26,19,2022-10-20T00:35:33Z,1350000,-110.0,34.0,1,right,J. Williams 11' driving floating Jump Shot (2 PTS) (D. Bazley 1 AST),"[1631114, 1629647]",1610612760.0,OKC,driving floating,,,Williams,J. Williams,,,,,Mid-Range,8-16 Left,11.55,Made,,,,,,,2.0,,,,D. Bazley,1629647.0,1.0,,,,,
137,PT01M54.00S,2022-10-20T00:35:39.7Z,1,REGULAR,3pt,Jump Shot,[],1630162,32.276609724047304,41.17647058823529,1610612750,29,19,2022-10-20T00:35:45Z,1370000,44.0,251.0,1,left,A. Edwards 25' 3PT  (5 PTS) (K. Towns 5 AST),"[1630162, 1626157]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,25.47,Made,,,,,,,5.0,,,,K. Towns,1626157.0,5.0,,,,,
139,PT01M40.00S,2022-10-20T00:35:56.2Z,1,REGULAR,foul,personal,['2freethrow'],1630162,,,1610612760,29,19,2022-10-20T00:36:21Z,1390000,,,0,,A. Edwards shooting personal FOUL (2 PF) (Bazley 2 FT),"[1630162, 1629647]",1610612750.0,MIN,shooting,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1830.0,2.0,0.0,Bazley,1629647.0
141,PT01M40.00S,2022-10-20T00:36:24.1Z,1,REGULAR,freethrow,1 of 2,[],1629647,,,1610612760,29,19,2022-10-20T00:36:24Z,1410000,,,0,,MISS D. Bazley Free Throw 1 of 2,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
142,PT01M40.00S,2022-10-20T00:36:24.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612760,29,19,2022-10-20T00:36:24Z,1420000,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,,,,141.0,,,,,,,,,,,,,,,
144,PT01M40.00S,2022-10-20T00:36:24.7Z,1,REGULAR,substitution,out,[],1626157,,,1610612760,29,19,2022-10-20T00:36:34Z,1430000,,,0,,SUB out: K. Towns,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT01M40.00S,2022-10-20T00:36:24.7Z,1,REGULAR,substitution,out,[],1628983,,,1610612760,29,19,2022-10-20T00:36:34Z,1440000,,,0,,SUB out: S. Gilgeous-Alexander,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT01M40.00S,2022-10-20T00:36:24.7Z,1,REGULAR,substitution,in,[],203497,,,1610612760,29,19,2022-10-20T00:36:34Z,1450000,,,0,,SUB in: R. Gobert,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT01M40.00S,2022-10-20T00:36:24.7Z,1,REGULAR,substitution,in,[],1631172,,,1610612760,29,19,2022-10-20T00:36:34Z,1460000,,,0,,SUB in: O. Dieng,[1631172],1610612760.0,OKC,,,,Dieng,O. Dieng,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT01M40.00S,2022-10-20T00:36:42.5Z,1,REGULAR,freethrow,2 of 2,[],1629647,,,1610612760,29,20,2022-10-20T00:36:42Z,1470000,,,0,,D. Bazley Free Throw 2 of 2 (1 PTS),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
149,PT01M22.00S,2022-10-20T00:37:02.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,6.915243101182654,51.470588235294116,1610612750,29,20,2022-10-20T00:37:08Z,1480000,-7.0,13.0,1,left,MISS A. Edwards driving Layup,[1630162],1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,1.45,Missed,,,,,,,,,,,,,,,,,,
150,PT01M20.00S,2022-10-20T00:37:04.4Z,1,REGULAR,rebound,defensive,[],1630526,,,1610612760,29,20,2022-10-20T00:37:08Z,1490000,,,0,,J. Robinson-Earl REBOUND (Off:1 Def:1),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,Restricted Area,0-8 Center,,,,,149.0,2.0,1.0,1.0,,,,,,,,,,,,
151,PT01M06.00S,2022-10-20T00:37:18.9Z,1,REGULAR,3pt,Jump Shot,[],1630544,68.15045992115637,59.068627450980394,1610612760,29,20,2022-10-20T00:37:24Z,1500000,45.0,247.0,1,right,MISS T. Mann 25' step back 3PT,[1630544],1610612760.0,OKC,step back,,,Mann,T. Mann,,,,,Above the Break 3,24+ Center,25.1,Missed,,,,,,,,,,,,,,,,,,
152,PT01M02.00S,2022-10-20T00:37:22.9Z,1,REGULAR,rebound,defensive,[],1629162,,,1610612750,29,20,2022-10-20T00:37:24Z,1510000,,,0,,J. McLaughlin REBOUND (Off:0 Def:1),[1629162],1610612750.0,MIN,,,,McLaughlin,J. McLaughlin,,,,,Above the Break 3,24+ Center,,,,,151.0,1.0,1.0,0.0,,,,,,,,,,,,
153,PT00M55.90S,2022-10-20T00:37:28.8Z,1,REGULAR,3pt,Jump Shot,[],1629162,25.969119579500656,82.59803921568627,1610612750,29,20,2022-10-20T00:37:34Z,1520000,-163.0,192.0,1,left,MISS J. McLaughlin 25' 3PT,[1629162],1610612750.0,MIN,,,,McLaughlin,J. McLaughlin,,,,,Above the Break 3,24+ Left Center,25.16,Missed,,,,,,,,,,,,,,,,,,
154,PT00M52.50S,2022-10-20T00:37:32.2Z,1,REGULAR,rebound,defensive,[],1630526,,,1610612760,29,20,2022-10-20T00:37:34Z,1530000,,,0,,J. Robinson-Earl REBOUND (Off:1 Def:2),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,Above the Break 3,24+ Left Center,,,,,153.0,3.0,2.0,1.0,,,,,,,,,,,,
155,PT00M49.40S,2022-10-20T00:37:36.5Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1629647,93.38042049934296,49.50980392156863,1610612760,29,22,2022-10-20T00:40:28Z,1540000,-2.0,10.0,1,right,D. Bazley running alley-oop DUNK (3 PTS) (J. Williams 1 AST),"[1629647, 1631114]",1610612760.0,OKC,running alley-oop,,,Bazley,D. Bazley,,,,,Restricted Area,0-8 Center,1.0,Made,,,,,,,3.0,,,,J. Williams,1631114.0,1.0,,,,,
157,PT00M38.60S,2022-10-20T00:37:52.0Z,1,REGULAR,3pt,Jump Shot,[],1629669,27.94021024967148,76.9607843137255,1610612750,32,22,2022-10-20T00:37:56Z,1560000,-135.0,210.0,1,left,J. Nowell 24' 3PT  (5 PTS) (A. Edwards 3 AST),"[1629669, 1630162]",1610612750.0,MIN,,,,Nowell,J. Nowell,,,,,Above the Break 3,24+ Left Center,24.96,Made,,,,,,,5.0,,,,A. Edwards,1630162.0,3.0,,,,,
159,PT00M38.60S,2022-10-20T00:37:55.0Z,1,REGULAR,foul,personal,['1freethrow'],1631114,,,1610612750,32,22,2022-10-20T00:38:08Z,1580000,,,0,,J. Williams shooting personal FOUL (1 PF) (Nowell 1 FT),"[1631114, 1629669]",1610612760.0,OKC,shooting,,,Williams,J. Williams,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,2002.0,1.0,0.0,Nowell,1629669.0
161,PT00M38.60S,2022-10-20T00:38:09.4Z,1,REGULAR,substitution,out,[],1630162,,,1610612750,32,22,2022-10-20T00:38:42Z,1600000,,,0,,SUB out: A. Edwards,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT00M38.60S,2022-10-20T00:38:09.4Z,1,REGULAR,substitution,in,[],1627752,,,1610612750,32,22,2022-10-20T00:38:42Z,1610000,,,0,,SUB in: T. Prince,[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT00M38.60S,2022-10-20T00:38:28.8Z,1,REGULAR,freethrow,1 of 1,[],1629669,,,1610612750,33,22,2022-10-20T00:38:28Z,1620000,,,0,,J. Nowell Free Throw 1 of 1 (6 PTS),[1629669],1610612750.0,MIN,,,,Nowell,J. Nowell,,,,,,,,Made,,,,,,,6.0,,,,,,,,,,,
164,PT00M30.00S,2022-10-20T00:38:39.4Z,1,REGULAR,3pt,Jump Shot,[],1631172,93.77463863337714,94.85294117647058,1610612760,33,22,2022-10-20T00:38:43Z,1630000,224.0,6.0,1,right,MISS O. Dieng 3PT,[1631172],1610612760.0,OKC,,,,Dieng,O. Dieng,,,,,Right Corner 3,24+ Right,22.44,Missed,,,,,,,,,,,,,,,,,,
