actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
72,PT05M32.00S,2022-03-19T23:23:54.1Z,1,REGULAR,substitution,out,[],203486,,,1610612766,22,12,2022-03-19T23:24:40Z,720000,,,0,,SUB out: M. Plumlee,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M32.00S,2022-03-19T23:23:54.1Z,1,REGULAR,substitution,in,[],1628998,,,1610612766,22,12,2022-03-19T23:24:40Z,740000,,,0,,SUB in: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M32.00S,2022-03-19T23:23:54.1Z,1,REGULAR,substitution,in,[],1626149,,,1610612766,22,12,2022-03-19T23:24:40Z,750000,,,0,,SUB in: M. Harrell,[1626149],1610612766.0,CHA,,,,Harrell,M. Harrell,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M32.00S,2022-03-19T23:23:54.1Z,1,REGULAR,substitution,in,[],1626162,,,1610612766,22,12,2022-03-19T23:24:40Z,760000,,,0,,SUB in: K. Oubre Jr.,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M32.00S,2022-03-19T23:23:54.1Z,1,REGULAR,substitution,in,[],203504,,,1610612766,22,12,2022-03-19T23:24:40Z,770000,,,0,,SUB in: T. Burke,[203504],1610612742.0,DAL,,,,Burke,T. Burke,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M32.00S,2022-03-19T23:23:54.1Z,1,REGULAR,substitution,out,[],1628973,,,1610612766,22,12,2022-03-19T23:25:07Z,780000,,,0,,SUB out: J. Brunson,[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M13.00S,2022-03-19T23:25:08.5Z,1,REGULAR,turnover,lost ball,[],1628998,,,1610612766,22,12,2022-03-19T23:25:13Z,790000,,,0,,C. Martin lost ball TURNOVER (1 TO),"[1628998, 1627827]",1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,1.0,Finney-Smith,1627827.0,,,,,,,
80,PT05M13.00S,2022-03-19T23:25:08.5Z,1,REGULAR,steal,,[],1627827,,,1610612742,22,12,2022-03-19T23:25:10Z,800000,,,0,,D. Finney-Smith STEAL (1 STL),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M08.00S,2022-03-19T23:25:21.4Z,1,REGULAR,foul,personal,[],1626162,,,1610612742,22,12,2022-03-19T23:25:37Z,810000,,,0,,K. Oubre Jr. personal FOUL (1 PF),"[1626162, 203939]",1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,202026.0,1.0,0.0,Powell,203939.0,,,,,,,,,,
83,PT05M08.00S,2022-03-19T23:25:30.7Z,1,REGULAR,substitution,out,[],203939,,,1610612742,22,12,2022-03-19T23:25:35Z,830000,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
