actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
271,PT02M50.00S,2022-02-09T01:23:52.4Z,2,REGULAR,freethrow,3 of 3,[],1627759,,,1610612738,37,62,2022-02-09T01:33:55Z,2690000,,,0,,J. Brown Free Throw 3 of 3 (18 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,,,,,,,18.0,,,,,,,,,,,
269,PT02M50.00S,2022-02-09T01:24:05.8Z,2,REGULAR,substitution,out,[],1627761,,,1610612751,37,62,2022-02-09T01:34:04Z,2695000,,,0,,SUB out: D. Bembry,[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,,,,,,,,,,,,,,,,,,
270,PT02M50.00S,2022-02-09T01:24:05.8Z,2,REGULAR,substitution,in,[],1630560,,,1610612751,37,62,2022-02-09T01:34:04Z,2697500,,,0,,SUB in: C. Thomas,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,,,,,,,,
272,PT02M32.00S,2022-02-09T01:24:42.9Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1628971,11.645860709592641,50.0,1610612751,37,62,2022-02-09T01:24:47Z,2700000,0.0,57.0,1,left,MISS B. Brown driving Hook,[1628971],1610612751.0,BKN,driving,,,Brown,B. Brown,,,,,5.7,Missed,,,,,,,,,,,,,,,,,,
273,PT02M28.00S,2022-02-09T01:24:46.9Z,2,REGULAR,rebound,defensive,[],1627759,,,1610612738,37,62,2022-02-09T01:24:47Z,2710000,,,0,,J. Brown REBOUND (Off:0 Def:5),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,272.0,5.0,5.0,0.0,,,,,,,,,,,,,,
274,PT02M25.00S,2022-02-09T01:24:57.4Z,2,REGULAR,turnover,out-of-bounds,[],201143,,,1610612738,37,62,2022-02-09T01:29:31Z,2720000,,,0,,A. Horford bad pass out-of-bounds TURNOVER (2 TO),[201143],1610612738.0,BOS,bad pass,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,2.0,,
275,PT02M13.00S,2022-02-09T01:25:10.1Z,2,REGULAR,turnover,bad pass,[],1630549,,,1610612751,37,62,2022-02-09T01:32:54Z,2730000,,,0,,D. Sharpe bad pass TURNOVER (1 TO),"[1630549, 1626196]",1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,,,,,,,,,,,,,,,,1.0,Richardson,1626196.0
276,PT02M13.00S,2022-02-09T01:25:10.1Z,2,REGULAR,steal,,[],1626196,,,1610612738,37,62,2022-02-09T01:25:12Z,2740000,,,0,,J. Richardson STEAL (1 STL),[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,
277,PT02M09.00S,2022-02-09T01:25:14.9Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629057,92.46057818659659,46.81372549019608,1610612738,37,64,2022-02-09T01:25:25Z,2750000,-16.0,18.0,1,right,R. Williams III cutting DUNK (10 PTS) (J. Richardson 1 AST),"[1629057, 1626196]",1610612738.0,BOS,cutting,,,Williams III,R. Williams III,,,,,2.43,Made,,,,,,,10.0,,,,,,J. Richardson,1626196.0,1.0,,,
279,PT01M53.00S,2022-02-09T01:25:34.1Z,2,REGULAR,foul,personal,[],203935,,,1610612751,37,64,2022-02-09T01:25:54Z,2770000,,,0,,M. Smart personal FOUL (2 PF),"[203935, 201988]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,1155.0,2.0,0.0,Mills,201988.0,,,,,,
281,PT01M53.00S,2022-02-09T01:25:50.3Z,2,REGULAR,substitution,out,[],201143,,,1610612751,37,64,2022-02-09T01:25:53Z,2790000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,
282,PT01M53.00S,2022-02-09T01:25:50.3Z,2,REGULAR,substitution,in,[],203471,,,1610612751,37,64,2022-02-09T01:25:53Z,2800000,,,0,,SUB in: D. Schroder,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,
283,PT01M48.00S,2022-02-09T01:26:08.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201988,5.863994743758213,54.41176470588235,1610612751,39,64,2022-02-09T01:26:13Z,2810000,-22.0,3.0,1,left,P. Mills cutting Layup (2 PTS) (D. Sharpe 2 AST),"[201988, 1630549]",1610612751.0,BKN,cutting,,,Mills,P. Mills,,,,,2.23,Made,,,,,,,2.0,,,,,,D. Sharpe,1630549.0,2.0,,,
285,PT01M29.00S,2022-02-09T01:26:26.2Z,2,REGULAR,3pt,Jump Shot,[],203935,66.44218134034165,47.549019607843135,1610612738,39,64,2022-02-09T01:26:38Z,2830000,-12.0,263.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,26.32,Missed,,,,,,,,,,,,,,,,,,
286,PT01M24.00S,2022-02-09T01:26:31.2Z,2,REGULAR,rebound,offensive,[],1629057,,,1610612738,39,64,2022-02-09T01:26:38Z,2840000,,,0,,R. Williams III REBOUND (Off:4 Def:3),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,285.0,7.0,3.0,4.0,,,,,,,,,,,,,,
287,PT01M18.00S,2022-02-09T01:26:37.2Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],203935,94.95729303547962,3.1862745098039214,1610612738,39,67,2022-02-09T01:26:46Z,2850000,-234.0,-5.0,1,right,M. Smart 3PT  (11 PTS) (D. Schroder 1 AST),"[203935, 203471]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,23.42,Made,,,,,,,11.0,,,,,,D. Schroder,203471.0,1.0,,,
289,PT01M09.00S,2022-02-09T01:26:47.2Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],201949,7.178055190538765,51.225490196078425,1610612751,41,67,2022-02-09T01:26:59Z,2870000,-6.0,15.0,1,left,J. Johnson driving DUNK (10 PTS),[201949],1610612751.0,BKN,driving,,,Johnson,J. Johnson,,,,,1.62,Made,,,,,,,10.0,,,,,,,,,,,
290,PT00M51.70S,2022-02-09T01:27:04.9Z,2,REGULAR,3pt,Jump Shot,[],203935,74.58935611038108,16.42156862745098,1610612738,41,67,2022-02-09T01:27:10Z,2880000,-168.0,186.0,1,right,MISS M. Smart 25' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,25.09,Missed,,,,,,,,,,,,,,,,,,
291,PT00M48.40S,2022-02-09T01:27:08.2Z,2,REGULAR,rebound,defensive,[],1630560,,,1610612751,41,67,2022-02-09T01:27:10Z,2890000,,,0,,C. Thomas REBOUND (Off:1 Def:1),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,290.0,2.0,1.0,1.0,,,,,,,,,,,,,,
292,PT00M44.50S,2022-02-09T01:27:14.7Z,2,REGULAR,turnover,out-of-bounds,[],1630560,,,1610612751,41,67,2022-02-09T01:27:24Z,2900000,,,0,,C. Thomas lost ball out-of-bounds TURNOVER (2 TO),[1630560],1610612751.0,BKN,lost ball,,,Thomas,C. Thomas,,,,,,,,,,,,,,1627534.0,,,,,,,,2.0,,
293,PT00M32.40S,2022-02-09T01:27:37.6Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],203471,77.87450722733246,26.715686274509803,1610612738,41,69,2022-02-09T01:27:42Z,2910000,-116.0,155.0,1,right,D. Schroder 19' pullup Jump Shot (6 PTS),[203471],1610612738.0,BOS,pullup,,,Schroder,D. Schroder,,,,,19.42,Made,,,,,,,6.0,,,,,,,,,,,
294,PT00M18.90S,2022-02-09T01:27:53.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630560,16.507884362680684,41.911764705882355,1610612751,43,69,2022-02-09T01:27:58Z,2920000,40.0,103.0,1,left,C. Thomas 11' floating Jump Shot (4 PTS) (J. Johnson 2 AST),"[1630560, 201949]",1610612751.0,BKN,floating,,,Thomas,C. Thomas,,,,,11.04,Made,,,,,,,4.0,,,,,,J. Johnson,201949.0,2.0,,,
295,PT00M04.60S,2022-02-09T01:28:15.1Z,2,REGULAR,foul,personal,[],201988,,,1610612738,43,69,2022-02-09T01:46:35Z,2930000,,,0,,P. Mills take personal FOUL (1 PF),"[201988, 203935]",1610612751.0,BKN,take,,,Mills,P. Mills,,,,,,,,,,,,,,1627534.0,1.0,0.0,Smart,203935.0,,,,,,
297,PT00M04.60S,2022-02-09T01:28:28.2Z,2,REGULAR,substitution,out,[],201988,,,1610612738,43,69,2022-02-09T01:28:32Z,2950000,,,0,,SUB out: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,
298,PT00M04.60S,2022-02-09T01:28:28.2Z,2,REGULAR,substitution,in,[],1627761,,,1610612738,43,69,2022-02-09T01:28:32Z,2960000,,,0,,SUB in: D. Bembry,[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,,,,,,,,,,,,,,,,,,
299,PT00M00.00S,2022-02-09T01:28:46.6Z,2,REGULAR,2pt,Jump Shot,[],203935,83.78777923784494,86.76470588235294,1610612738,43,69,2022-02-09T01:28:50Z,2970000,184.0,100.0,1,right,MISS M. Smart 20' pullup Shot,[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,20.92,Missed,,,,,,,,,,,,,,,,,,
300,PT00M00.00S,2022-02-09T01:28:49.0Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,43,69,2022-02-09T01:28:49Z,2980000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,299.0,,,,,,,,,,,,,,,,,
301,PT00M00.00S,2022-02-09T01:28:49.8Z,2,REGULAR,period,end,[],0,,,1610612738,43,69,2022-02-09T01:28:49Z,2990000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,PT12M00.00S,2022-02-09T01:44:27.0Z,3,REGULAR,substitution,out,['startperiod'],201949,,,1610612738,43,69,2022-02-09T01:45:01Z,3000000,,,0,,SUB out: J. Johnson,[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,
303,PT12M00.00S,2022-02-09T01:44:27.0Z,3,REGULAR,substitution,out,['startperiod'],1630549,,,1610612738,43,69,2022-02-09T01:45:01Z,3010000,,,0,,SUB out: D. Sharpe,[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,
304,PT12M00.00S,2022-02-09T01:44:27.0Z,3,REGULAR,substitution,out,['startperiod'],1630560,,,1610612738,43,69,2022-02-09T01:45:01Z,3020000,,,0,,SUB out: C. Thomas,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,,,,,,,,
305,PT12M00.00S,2022-02-09T01:44:27.0Z,3,REGULAR,substitution,out,['startperiod'],1626196,,,1610612738,43,69,2022-02-09T01:45:01Z,3030000,,,0,,SUB out: J. Richardson,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,
306,PT12M00.00S,2022-02-09T01:44:27.0Z,3,REGULAR,substitution,out,['startperiod'],203471,,,1610612738,43,69,2022-02-09T01:45:01Z,3040000,,,0,,SUB out: D. Schroder,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,
307,PT12M00.00S,2022-02-09T01:44:27.0Z,3,REGULAR,substitution,in,['startperiod'],201933,,,1610612738,43,69,2022-02-09T01:45:01Z,3050000,,,0,,SUB in: B. Griffin,[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,,,,,,
308,PT12M00.00S,2022-02-09T01:44:27.0Z,3,REGULAR,substitution,in,['startperiod'],1630556,,,1610612738,43,69,2022-02-09T01:45:01Z,3060000,,,0,,SUB in: K. Edwards,[1630556],1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,,,,,,,,,,,,,,,,,,,,
309,PT12M00.00S,2022-02-09T01:44:27.0Z,3,REGULAR,substitution,in,['startperiod'],201988,,,1610612738,43,69,2022-02-09T01:45:01Z,3070000,,,0,,SUB in: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,
310,PT12M00.00S,2022-02-09T01:44:27.0Z,3,REGULAR,substitution,in,['startperiod'],1628369,,,1610612738,43,69,2022-02-09T01:45:01Z,3080000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
311,PT12M00.00S,2022-02-09T01:44:27.0Z,3,REGULAR,substitution,in,['startperiod'],201143,,,1610612738,43,69,2022-02-09T01:45:01Z,3090000,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,
312,PT12M00.00S,2022-02-09T01:45:21.7Z,3,REGULAR,period,start,[],0,,,1610612751,43,69,2022-02-09T01:45:21Z,3100000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,PT11M47.00S,2022-02-09T01:45:34.4Z,3,REGULAR,3pt,Jump Shot,[],201988,67.36202365308804,37.00980392156863,1610612751,46,69,2022-02-09T01:45:44Z,3110000,-65.0,254.0,1,right,P. Mills 26' 3PT pullup (5 PTS) (B. Griffin 2 AST),"[201988, 201933]",1610612751.0,BKN,pullup,,,Mills,P. Mills,,,,,26.25,Made,,,,,,,5.0,,,,,,B. Griffin,201933.0,2.0,,,
315,PT11M26.00S,2022-02-09T01:45:54.3Z,3,REGULAR,3pt,Jump Shot,[],203935,8.754927726675426,3.6764705882352944,1610612738,46,69,2022-02-09T01:45:58Z,3130000,232.0,30.0,1,left,MISS M. Smart 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,23.35,Missed,,,,,,,,,,,,,,,,,,
316,PT11M23.00S,2022-02-09T01:45:57.3Z,3,REGULAR,rebound,offensive,[],201143,,,1610612738,46,69,2022-02-09T01:45:58Z,3140000,,,0,,A. Horford REBOUND (Off:1 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,315.0,2.0,1.0,1.0,,,,,,,,,,,,,,
317,PT11M20.00S,2022-02-09T01:46:00.7Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],1628369,31.488173455978973,56.127450980392155,1610612738,46,69,2022-02-09T01:46:11Z,3150000,-31.0,243.0,1,left,MISS J. Tatum 24' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,24.54,Missed,,,,,,,,,,,,,,,,,,
318,PT11M20.00S,2022-02-09T01:46:00.7Z,3,REGULAR,rebound,defensive,['team'],0,,,1610612751,46,69,2022-02-09T01:46:11Z,3160000,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,317.0,,,,,,,,,,,,,,,,,
319,PT11M20.00S,2022-02-09T01:46:04.7Z,3,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,46,69,2022-02-09T01:46:04Z,3170000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,PT11M06.00S,2022-02-09T01:46:23.0Z,3,REGULAR,3pt,Jump Shot,[],1627761,88.78120893561103,96.32352941176471,1610612751,46,69,2022-02-09T01:46:28Z,3180000,232.0,53.0,1,right,MISS D. Bembry step back 3PT,[1627761],1610612751.0,BKN,step back,,,Bembry,D. Bembry,,,,,23.76,Missed,,,,,,,,,,,,,,,,,,
321,PT11M02.00S,2022-02-09T01:46:27.0Z,3,REGULAR,rebound,defensive,[],201143,,,1610612738,46,69,2022-02-09T01:46:28Z,3190000,,,0,,A. Horford REBOUND (Off:1 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,320.0,3.0,2.0,1.0,,,,,,,,,,,,,,
323,PT10M55.00S,2022-02-09T01:46:35.8Z,3,REGULAR,foul,personal,[],1627761,,,1610612738,46,69,2022-02-09T01:46:42Z,3200000,,,0,,D. Bembry personal FOUL (3 PF),"[1627761, 203935]",1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,,,,,,,,1155.0,3.0,0.0,Smart,203935.0,,,,,,
325,PT10M51.00S,2022-02-09T01:46:54.0Z,3,REGULAR,3pt,Jump Shot,[],1627759,25.969119579500656,18.872549019607842,1610612738,46,69,2022-02-09T01:46:59Z,3220000,156.0,192.0,1,left,MISS J. Brown 24' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,24.68,Missed,,,,,,,,,,,,,,,,,,
326,PT10M48.00S,2022-02-09T01:46:57.0Z,3,REGULAR,rebound,defensive,[],201933,,,1610612751,46,69,2022-02-09T01:46:59Z,3230000,,,0,,B. Griffin REBOUND (Off:3 Def:3),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,325.0,6.0,3.0,3.0,,,,,,,,,,,,,,
327,PT10M43.00S,2022-02-09T01:47:01.8Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],201988,67.7562417871222,62.254901960784316,1610612751,46,69,2022-02-09T01:47:12Z,3240000,61.0,251.0,1,right,MISS P. Mills 25' 3PT,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,25.8,Missed,,,,,,,,,,,,,,,,,,
328,PT10M39.00S,2022-02-09T01:47:05.8Z,3,REGULAR,rebound,defensive,[],1627759,,,1610612738,46,69,2022-02-09T01:47:12Z,3250000,,,0,,J. Brown REBOUND (Off:0 Def:6),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,327.0,6.0,6.0,0.0,,,,,,,,,,,,,,
329,PT10M25.00S,2022-02-09T01:47:19.8Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,9.149145860709593,39.21568627450981,1610612738,46,71,2022-02-09T01:47:31Z,3260000,54.0,34.0,1,left,J. Tatum 6' turnaround bank Jump Shot (14 PTS) (J. Brown 6 AST),"[1628369, 1627759]",1610612738.0,BOS,turnaround bank,,,Tatum,J. Tatum,,,,,6.35,Made,,,,,,,14.0,,,,,,J. Brown,1627759.0,6.0,,,
331,PT09M58.00S,2022-02-09T01:47:46.1Z,3,REGULAR,2pt,Jump Shot,[],1628971,74.72076215505913,24.264705882352942,1610612751,46,71,2022-02-09T01:47:50Z,3280000,-129.0,185.0,1,right,MISS B. Brown 22' Jump Shot,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,22.54,Missed,,,,,,,,,,,,,,,,,,
332,PT09M56.00S,2022-02-09T01:47:48.9Z,3,REGULAR,rebound,defensive,[],1628369,,,1610612738,46,71,2022-02-09T01:47:48Z,3290000,,,0,,J. Tatum REBOUND (Off:0 Def:5),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,331.0,5.0,5.0,0.0,,,,,,,,,,,,,,
333,PT09M52.00S,2022-02-09T01:47:53.1Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203935,9.280551905387648,50.98039215686274,1610612738,46,73,2022-02-09T01:48:15Z,3300000,-5.0,35.0,1,left,M. Smart running Layup (13 PTS) (J. Tatum 4 AST),"[203935, 1628369]",1610612738.0,BOS,running,,,Smart,M. Smart,,,,,3.5,Made,,,,,,,13.0,,,,,,J. Tatum,1628369.0,4.0,,,
334,PT09M34.00S,2022-02-09T01:48:13.3Z,3,REGULAR,turnover,out-of-bounds,[],1628971,,,1610612751,46,73,2022-02-09T01:48:21Z,3310000,,,0,,B. Brown lost ball out-of-bounds TURNOVER (3 TO),[1628971],1610612751.0,BKN,lost ball,,,Brown,B. Brown,,,,,,,,,,,,,,1155.0,,,,,,,,3.0,,
336,PT09M22.00S,2022-02-09T01:48:28.8Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],1628369,11.645860709592641,3.431372549019608,1610612738,46,73,2022-02-09T01:48:34Z,3320000,233.0,57.0,1,left,MISS J. Tatum 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,23.97,Missed,,,,,,,,,,,,,,,,,,
337,PT09M19.00S,2022-02-09T01:48:31.8Z,3,REGULAR,rebound,defensive,[],201988,,,1610612751,46,73,2022-02-09T01:48:34Z,3330000,,,0,,P. Mills REBOUND (Off:0 Def:1),[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,336.0,1.0,1.0,0.0,,,,,,,,,,,,,,
338,PT09M15.00S,2022-02-09T01:48:36.3Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628971,93.64323258869908,48.03921568627451,1610612751,46,73,2022-02-09T01:48:51Z,3340000,-10.0,7.0,1,right,MISS B. Brown running Layup - blocked,"[1628971, 201143]",1610612751.0,BKN,running,,,Brown,B. Brown,,,,,1.22,Missed,,,,,Horford,201143.0,,,,,,,,,,,,
339,PT09M15.00S,2022-02-09T01:48:36.3Z,3,REGULAR,block,,[],201143,,,1610612751,46,73,2022-02-09T01:48:38Z,3350000,,,0,,A. Horford BLOCK (2 BLK),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,
340,PT09M12.00S,2022-02-09T01:48:39.3Z,3,REGULAR,rebound,defensive,[],1629057,,,1610612738,46,73,2022-02-09T01:48:51Z,3360000,,,0,,R. Williams III REBOUND (Off:4 Def:4),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,338.0,8.0,4.0,4.0,,,,,,,,,,,,,,
341,PT09M04.00S,2022-02-09T01:48:46.0Z,3,REGULAR,3pt,Jump Shot,[],203935,28.86005256241787,27.450980392156865,1610612738,46,73,2022-02-09T01:48:54Z,3370000,113.0,219.0,1,left,MISS M. Smart 24' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,24.61,Missed,,,,,,,,,,,,,,,,,,
342,PT09M00.00S,2022-02-09T01:48:49.9Z,3,REGULAR,rebound,offensive,[],1629057,,,1610612738,46,73,2022-02-09T01:48:49Z,3380000,,,0,,R. Williams III REBOUND (Off:5 Def:4),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,341.0,9.0,4.0,5.0,,,,,,,,,,,,,,
343,PT09M00.00S,2022-02-09T01:48:50.6Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629057,6.389618922470433,48.529411764705884,1610612738,46,73,2022-02-09T01:51:30Z,3390000,7.0,8.0,1,left,MISS R. Williams III putback Layup,[1629057],1610612738.0,BOS,putback,,,Williams III,R. Williams III,,,,,1.06,Missed,,,,,,,,,,,,,,,,,,
344,PT08M57.00S,2022-02-09T01:48:53.6Z,3,REGULAR,rebound,offensive,[],1629057,,,1610612738,46,73,2022-02-09T01:51:30Z,3400000,,,0,,R. Williams III REBOUND (Off:6 Def:4),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,343.0,10.0,4.0,6.0,,,,,,,,,,,,,,
345,PT08M57.00S,2022-02-09T01:48:53.2Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629057,5.590000152587891,50.0,1610612738,46,73,2022-02-09T01:48:53Z,3410000,0.0,0.0,1,left,MISS R. Williams III tip Layup,[1629057],1610612738.0,BOS,tip,,,Williams III,R. Williams III,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,
346,PT08M56.00S,2022-02-09T01:48:53.8Z,3,REGULAR,rebound,defensive,[],201988,,,1610612751,46,73,2022-02-09T01:48:53Z,3420000,,,0,,P. Mills REBOUND (Off:0 Def:2),[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,345.0,2.0,2.0,0.0,,,,,,,,,,,,,,
347,PT08M55.00S,2022-02-09T01:48:55.5Z,3,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1627761,95.22010512483574,49.754901960784316,1610612751,48,73,2022-02-09T01:51:34Z,3430000,-1.0,-8.0,1,right,D. Bembry running Layup (2 PTS) (P. Mills 2 AST),"[1627761, 201988]",1610612751.0,BKN,running,,,Bembry,D. Bembry,,,,,0.77,Made,,,,,,,2.0,,,,,,P. Mills,201988.0,2.0,,,
348,PT08M42.00S,2022-02-09T01:49:09.3Z,3,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,6.1268068331143235,49.754901960784316,1610612738,48,75,2022-02-09T01:49:22Z,3440000,1.0,5.0,1,left,R. Williams III alley-oop DUNK (12 PTS) (A. Horford 6 AST),"[1629057, 201143]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,0.52,Made,,,,,,,12.0,,,,,,A. Horford,201143.0,6.0,,,
351,PT08M28.00S,2022-02-09T01:49:21.8Z,3,REGULAR,3pt,Jump Shot,[],201933,90.3580814717477,96.56862745098039,1610612751,48,75,2022-02-09T01:49:36Z,3460000,233.0,38.0,1,right,MISS B. Griffin 3PT,[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,23.59,Missed,,,,,,,,,,,,,,,,,,
352,PT08M25.00S,2022-02-09T01:49:24.8Z,3,REGULAR,rebound,defensive,[],1629057,,,1610612738,48,75,2022-02-09T01:49:36Z,3470000,,,0,,R. Williams III REBOUND (Off:6 Def:5),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,351.0,11.0,5.0,6.0,,,,,,,,,,,,,,
353,PT08M10.00S,2022-02-09T01:49:40.2Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,18.084756898817346,39.705882352941174,1610612738,48,77,2022-02-09T01:49:45Z,3480000,51.0,117.0,1,left,J. Brown 12' turnaround fadeaway Jump Shot (20 PTS) (M. Smart 3 AST),"[1627759, 203935]",1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,12.83,Made,,,,,,,20.0,,,,,,M. Smart,203935.0,3.0,,,
354,PT08M00.00S,2022-02-09T01:49:50.8Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1627761,93.24901445466492,44.11764705882353,1610612751,50,77,2022-02-09T01:50:03Z,3490000,-29.0,11.0,1,right,D. Bembry driving reverse Layup (4 PTS) (P. Mills 3 AST),"[1627761, 201988]",1610612751.0,BKN,driving reverse,,,Bembry,D. Bembry,,,,,3.14,Made,,,,,,,4.0,,,,,,P. Mills,201988.0,3.0,,,
355,PT07M45.00S,2022-02-09T01:50:04.8Z,3,REGULAR,3pt,Jump Shot,[],203935,6.1268068331143235,95.58823529411765,1610612738,50,80,2022-02-09T01:50:13Z,3500000,-228.0,5.0,1,left,M. Smart 3PT  (16 PTS) (J. Brown 7 AST),"[203935, 1627759]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,22.8,Made,,,,,,,16.0,,,,,,J. Brown,1627759.0,7.0,,,
