actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
256,PT03M08.00S,2021-11-21T03:54:59.8Z,2,REGULAR,substitution,out,[],202355,,,1610612762,41,48,2021-11-21T03:55:14Z,2540000,,,0,,SUB out: H. Whiteside,[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,,,,,,,,,,,
257,PT03M08.00S,2021-11-21T03:54:59.8Z,2,REGULAR,substitution,in,[],201144,,,1610612762,41,48,2021-11-21T03:55:14Z,2550000,,,0,,SUB in: M. Conley,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,
258,PT03M08.00S,2021-11-21T03:54:59.8Z,2,REGULAR,substitution,in,[],203497,,,1610612762,41,48,2021-11-21T03:55:14Z,2560000,,,0,,SUB in: R. Gobert,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,
259,PT03M08.00S,2021-11-21T03:55:16.8Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1626220,,,1610612762,41,49,2021-11-21T03:55:16Z,2570000,,,0,,R. O'Neale Free Throw 2 of 2 (4 PTS),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,Made,,,,,,,4.0,,,,,,,,,,,,
260,PT02M48.00S,2021-11-21T03:55:38.0Z,2,REGULAR,3pt,Jump Shot,[],1630169,75.77201051248358,13.725490196078432,1610612758,44,49,2021-11-21T03:55:45Z,2580000,-181.0,175.0,1,right,T. Haliburton 25' 3PT  (7 PTS) (H. Barnes 3 AST),"[1630169, 203084]",1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,25.22,Made,,,,,,,7.0,H. Barnes,203084.0,3.0,,,,,,,,,
262,PT02M33.00S,2021-11-21T03:55:55.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,16.90210249671485,51.225490196078425,1610612762,44,49,2021-11-21T04:04:39Z,2600000,-6.0,106.0,1,left,MISS D. Mitchell 10' pullup Shot - blocked,"[1628378, 1628368]",1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,10.66,Missed,,Fox,1628368.0,,,,,,,,,,,,,,,,
263,PT02M33.00S,2021-11-21T03:55:55.0Z,2,REGULAR,block,,[],1628368,,,1610612762,44,49,2021-11-21T03:55:57Z,2610000,,,0,,D. Fox BLOCK (1 BLK),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,
264,PT02M31.00S,2021-11-21T03:55:57.0Z,2,REGULAR,rebound,offensive,[],203497,,,1610612762,44,49,2021-11-21T04:04:39Z,2620000,,,0,,R. Gobert REBOUND (Off:2 Def:4),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,262.0,,,6.0,4.0,2.0,,,,,,,,,,,,,
265,PT02M28.00S,2021-11-21T03:56:01.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626220,9.543363994743759,36.51960784313725,1610612762,44,49,2021-11-21T04:05:10Z,2630000,67.0,37.0,1,left,MISS R. O'Neale 7' driving Layup,[1626220],1610612762.0,UTA,driving,,,O'Neale,R. O'Neale,,,,,7.7,Missed,,,,,,,,,,,,,,,,,,,
266,PT02M27.00S,2021-11-21T03:56:02.6Z,2,REGULAR,rebound,offensive,[],203497,,,1610612762,44,49,2021-11-21T04:05:10Z,2640000,,,0,,R. Gobert REBOUND (Off:3 Def:4),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,265.0,,,7.0,4.0,3.0,,,,,,,,,,,,,
267,PT02M27.00S,2021-11-21T03:56:06.4Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203497,5.590000152587891,50.0,1610612762,44,51,2021-11-21T04:05:20Z,2650000,0.0,0.0,1,left,R. Gobert tip Layup (6 PTS),[203497],1610612762.0,UTA,tip,,,Gobert,R. Gobert,,,,,0.0,Made,,,,,,,6.0,,,,,,,,,,,,
268,PT02M01.00S,2021-11-21T03:56:24.4Z,2,REGULAR,3pt,Jump Shot,[],1628368,90.3580814717477,4.166666666666666,1610612758,44,51,2021-11-21T03:56:33Z,2660000,-229.0,38.0,1,right,MISS D. Fox 3PT,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,23.23,Missed,,,,,,,,,,,,,,,,,,,
269,PT01M58.00S,2021-11-21T03:56:27.4Z,2,REGULAR,rebound,offensive,[],1626158,,,1610612758,44,51,2021-11-21T03:56:33Z,2670000,,,0,,R. Holmes REBOUND (Off:2 Def:1),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,268.0,,,3.0,1.0,2.0,,,,,,,,,,,,,
270,PT01M58.00S,2021-11-21T03:56:30.1Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1626158,92.46057818659659,44.6078431372549,1610612758,46,51,2021-11-21T04:05:53Z,2680000,-27.0,18.0,1,right,R. Holmes DUNK (9 PTS),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,3.27,Made,,,,,,,9.0,,,,,,,,,,,,
271,PT01M58.00S,2021-11-21T03:56:35.1Z,2,REGULAR,foul,personal,"['inpenalty', '1freethrow']",203497,,,1610612758,46,51,2021-11-21T03:56:58Z,2690000,,,0,,R. Gobert shooting personal FOUL (2 PF) (Holmes 1 FT),"[203497, 1626158]",1610612762.0,UTA,shooting,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,1628159.0,2.0,0.0,Holmes,1626158.0,,,,
273,PT01M58.00S,2021-11-21T03:57:08.2Z,2,REGULAR,freethrow,1 of 1,['2ndchance'],1626158,,,1610612758,47,51,2021-11-21T03:57:08Z,2710000,,,0,,R. Holmes Free Throw 1 of 1 (10 PTS),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,Made,,,,,,,10.0,,,,,,,,,,,,
274,PT01M38.00S,2021-11-21T03:57:30.3Z,2,REGULAR,3pt,Jump Shot,[],202711,10.5946123521682,2.941176470588235,1610612762,47,51,2021-11-21T03:57:36Z,2720000,235.0,47.0,1,left,MISS B. Bogdanovic 24' 3PT,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,24.0,Missed,,,,,,,,,,,,,,,,,,,
275,PT01M33.00S,2021-11-21T03:57:35.3Z,2,REGULAR,rebound,defensive,[],1627741,,,1610612758,47,51,2021-11-21T03:57:36Z,2730000,,,0,,B. Hield REBOUND (Off:0 Def:1),[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,274.0,,,1.0,1.0,0.0,,,,,,,,,,,,,
276,PT01M25.00S,2021-11-21T03:57:43.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,88.12417871222075,38.72549019607843,1610612758,47,51,2021-11-21T03:57:49Z,2740000,-56.0,59.0,1,right,MISS D. Fox 8' pullup Shot,[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,8.17,Missed,,,,,,,,,,,,,,,,,,,
277,PT01M22.00S,2021-11-21T03:57:46.4Z,2,REGULAR,rebound,defensive,[],203497,,,1610612762,47,51,2021-11-21T03:57:49Z,2750000,,,0,,R. Gobert REBOUND (Off:3 Def:5),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,276.0,,,8.0,5.0,3.0,,,,,,,,,,,,,
278,PT01M19.00S,2021-11-21T03:57:51.1Z,2,REGULAR,turnover,out-of-bounds,[],1628378,,,1610612762,47,51,2021-11-21T03:58:01Z,2760000,,,0,,D. Mitchell bad pass out-of-bounds TURNOVER (2 TO),[1628378],1610612762.0,UTA,bad pass,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,1628159.0,,,,,2.0,,,
279,PT01M17.00S,2021-11-21T03:57:56.4Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612758,47,51,2021-11-21T03:57:56Z,2770000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,PT01M06.00S,2021-11-21T03:58:06.9Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630169,66.83639947437582,56.127450980392155,1610612758,47,51,2021-11-21T03:58:13Z,2780000,31.0,259.0,1,right,MISS T. Haliburton 26' step back 3PT,[1630169],1610612758.0,SAC,step back,,,Haliburton,T. Haliburton,,,,,26.1,Missed,,,,,,,,,,,,,,,,,,,
281,PT01M03.00S,2021-11-21T03:58:09.9Z,2,REGULAR,rebound,defensive,[],202711,,,1610612762,47,51,2021-11-21T03:58:13Z,2790000,,,0,,B. Bogdanovic REBOUND (Off:0 Def:3),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,280.0,,,3.0,3.0,0.0,,,,,,,,,,,,,
282,PT00M57.50S,2021-11-21T03:58:17.3Z,2,REGULAR,foul,personal,['2freethrow'],1626158,,,1610612762,47,51,2021-11-21T03:58:32Z,2800000,,,0,,R. Holmes shooting personal FOUL (1 PF) (Gobert 2 FT),"[1626158, 203497]",1610612758.0,SAC,shooting,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,1628159.0,1.0,0.0,Gobert,203497.0,,,,
284,PT00M57.50S,2021-11-21T03:58:53.6Z,2,REGULAR,freethrow,1 of 2,[],203497,,,1610612762,47,52,2021-11-21T03:58:53Z,2820000,,,0,,R. Gobert Free Throw 1 of 2 (7 PTS),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,Made,,,,,,,7.0,,,,,,,,,,,,
285,PT00M57.50S,2021-11-21T03:58:55.4Z,2,REGULAR,substitution,out,[],1630169,,,1610612762,47,52,2021-11-21T03:59:02Z,2830000,,,0,,SUB out: T. Haliburton,[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,
286,PT00M57.50S,2021-11-21T03:58:55.4Z,2,REGULAR,substitution,in,[],1630558,,,1610612762,47,52,2021-11-21T03:59:02Z,2840000,,,0,,SUB in: D. Mitchell,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,
287,PT00M57.50S,2021-11-21T03:59:20.6Z,2,REGULAR,freethrow,2 of 2,[],203497,,,1610612762,47,52,2021-11-21T03:59:20Z,2850000,,,0,,MISS R. Gobert Free Throw 2 of 2,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,Missed,,,,,,,,,,,,,,,,,,,
288,PT00M55.30S,2021-11-21T03:59:22.1Z,2,REGULAR,rebound,defensive,[],203084,,,1610612758,47,52,2021-11-21T03:59:22Z,2860000,,,0,,H. Barnes REBOUND (Off:0 Def:5),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,287.0,,,5.0,5.0,0.0,,,,,,,,,,,,,
289,PT00M35.00S,2021-11-21T03:59:42.5Z,2,REGULAR,turnover,bad pass,[],203084,,,1610612758,47,52,2021-11-21T04:09:33Z,2870000,,,0,,H. Barnes bad pass TURNOVER (2 TO),"[203084, 203497]",1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,,,,,2.0,Gobert,203497.0,
290,PT00M35.00S,2021-11-21T03:59:42.5Z,2,REGULAR,steal,,[],203497,,,1610612762,47,52,2021-11-21T03:59:45Z,2880000,,,0,,R. Gobert STEAL (1 STL),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,
291,PT00M27.10S,2021-11-21T03:59:50.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626220,6.652431011826544,45.83333333333333,1610612762,47,52,2021-11-21T04:10:50Z,2890000,21.0,10.0,1,left,MISS R. O'Neale driving finger roll Layup,[1626220],1610612762.0,UTA,driving finger roll,,,O'Neale,R. O'Neale,,,,,2.31,Missed,,,,,,,,,,,,,,,,,,,
292,PT00M26.00S,2021-11-21T03:59:51.4Z,2,REGULAR,rebound,offensive,[],203497,,,1610612762,47,52,2021-11-21T04:10:50Z,2900000,,,0,,R. Gobert REBOUND (Off:4 Def:5),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,291.0,,,9.0,5.0,4.0,,,,,,,,,,,,,
293,PT00M26.00S,2021-11-21T03:59:53.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",203497,6.783837056504599,52.69607843137255,1610612762,47,54,2021-11-21T04:11:13Z,2910000,-13.0,11.0,1,left,R. Gobert putback Layup (9 PTS),[203497],1610612762.0,UTA,putback,,,Gobert,R. Gobert,,,,,1.76,Made,,,,,,,9.0,,,,,,,,,,,,
294,PT00M03.20S,2021-11-21T04:00:19.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,82.47371879106439,47.30392156862745,1610612758,47,54,2021-11-21T04:11:35Z,2920000,-13.0,112.0,1,right,MISS D. Fox 11' turnaround fadeaway Shot,[1628368],1610612758.0,SAC,turnaround fadeaway,,,Fox,D. Fox,,,,,11.3,Missed,,,,,,,,,,,,,,,,,,,
295,PT00M01.60S,2021-11-21T04:00:21.0Z,2,REGULAR,rebound,offensive,[],1626158,,,1610612758,47,54,2021-11-21T04:00:28Z,2930000,,,0,,R. Holmes REBOUND (Off:3 Def:1),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,294.0,,,4.0,1.0,3.0,,,,,,,,,,,,,
296,PT00M01.60S,2021-11-21T04:00:25.9Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628378,,,1610612758,47,54,2021-11-21T04:00:50Z,2940000,,,0,,D. Mitchell shooting personal FOUL (1 PF) (Holmes 2 FT),"[1628378, 1626158]",1610612762.0,UTA,shooting,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,203177.0,1.0,0.0,Holmes,1626158.0,,,,
298,PT00M01.60S,2021-11-21T04:00:52.4Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1626158,,,1610612758,48,54,2021-11-21T04:00:52Z,2960000,,,0,,R. Holmes Free Throw 1 of 2 (11 PTS),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,Made,,,,,,,11.0,,,,,,,,,,,,
300,PT00M01.60S,2021-11-21T04:01:16.0Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1626158,,,1610612758,49,54,2021-11-21T04:01:16Z,2970000,,,0,,R. Holmes Free Throw 2 of 2 (12 PTS),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,Made,,,,,,,12.0,,,,,,,,,,,,
301,PT00M00.00S,2021-11-21T04:01:24.5Z,2,REGULAR,3pt,Jump Shot,[],1628378,65.78515111695138,84.80392156862744,1610612762,49,54,2021-11-21T04:07:45Z,2980000,-174.0,566.0,1,left,MISS D. Mitchell 59' 3PT,[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,59.2,Missed,,,,,,,,,,,,,,,,,,,
302,PT00M00.00S,2021-11-21T04:01:24.5Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612762,49,54,2021-11-21T04:07:45Z,2990000,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,301.0,,,,,,,,,,,,,,,,,,
303,PT00M00.00S,2021-11-21T04:01:29.0Z,2,REGULAR,period,end,[],0,,,1610612762,49,54,2021-11-21T04:01:29Z,3000000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,PT12M00.00S,2021-11-21T04:16:29.8Z,3,REGULAR,substitution,out,['startperiod'],1627741,,,1610612762,49,54,2021-11-21T04:16:51Z,3010000,,,0,,SUB out: B. Hield,[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,
305,PT12M00.00S,2021-11-21T04:16:29.8Z,3,REGULAR,substitution,out,['startperiod'],1630558,,,1610612762,49,54,2021-11-21T04:16:51Z,3020000,,,0,,SUB out: D. Mitchell,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,
306,PT12M00.00S,2021-11-21T04:16:29.8Z,3,REGULAR,substitution,in,['startperiod'],1630169,,,1610612762,49,54,2021-11-21T04:16:51Z,3030000,,,0,,SUB in: T. Haliburton,[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,
307,PT12M00.00S,2021-11-21T04:16:29.8Z,3,REGULAR,substitution,in,['startperiod'],1629002,,,1610612762,49,54,2021-11-21T04:16:51Z,3040000,,,0,,SUB in: C. Metu,[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,,,,,,,,,,,,,,,,,,
308,PT12M00.00S,2021-11-21T04:16:52.8Z,3,REGULAR,period,start,[],0,,,1610612762,49,54,2021-11-21T04:16:52Z,3050000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,PT11M48.00S,2021-11-21T04:17:08.1Z,3,REGULAR,foul,personal,[],1630169,,,1610612762,49,54,2021-11-21T04:18:20Z,3060000,,,0,,T. Haliburton personal FOUL (3 PF),"[1630169, 203497]",1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,1628159.0,3.0,0.0,Gobert,203497.0,,,,
311,PT11M33.00S,2021-11-21T04:17:35.1Z,3,REGULAR,3pt,Jump Shot,[],1628378,83.13074901445466,95.34313725490196,1610612762,49,57,2021-11-21T04:19:59Z,3080000,227.0,106.0,1,right,D. Mitchell 25' 3PT step back (10 PTS),[1628378],1610612762.0,UTA,step back,,,Mitchell,D. Mitchell,,,,,25.03,Made,,,,,,,10.0,,,,,,,,,,,,
312,PT11M13.00S,2021-11-21T04:17:54.9Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],203084,6.1268068331143235,52.450980392156865,1610612758,51,57,2021-11-21T04:21:15Z,3090000,-12.0,5.0,1,left,H. Barnes driving reverse Layup (11 PTS) (C. Metu 2 AST),"[203084, 1629002]",1610612758.0,SAC,driving reverse,,,Barnes,H. Barnes,,,,,1.33,Made,,,,,,,11.0,C. Metu,1629002.0,2.0,,,,,,,,,
313,PT11M01.00S,2021-11-21T04:18:11.1Z,3,REGULAR,foul,personal,['2freethrow'],1626158,,,1610612762,51,57,2021-11-21T04:18:29Z,3100000,,,0,,R. Holmes shooting personal FOUL (2 PF) (Gobert 2 FT),"[1626158, 203497]",1610612758.0,SAC,shooting,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,203177.0,2.0,0.0,Gobert,203497.0,,,,
315,PT11M01.00S,2021-11-21T04:18:34.3Z,3,REGULAR,freethrow,1 of 2,[],203497,,,1610612762,51,58,2021-11-21T04:18:34Z,3120000,,,0,,R. Gobert Free Throw 1 of 2 (10 PTS),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,Made,,,,,,,10.0,,,,,,,,,,,,
316,PT11M01.00S,2021-11-21T04:18:53.3Z,3,REGULAR,freethrow,2 of 2,[],203497,,,1610612762,51,59,2021-11-21T04:18:53Z,3130000,,,0,,R. Gobert Free Throw 2 of 2 (11 PTS),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,Made,,,,,,,11.0,,,,,,,,,,,,
317,PT10M44.00S,2021-11-21T04:19:11.8Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],203084,5.863994743758213,58.82352941176471,1610612758,51,59,2021-11-21T04:19:47Z,3140000,-44.0,3.0,1,left,MISS H. Barnes Layup - blocked,"[203084, 203497]",1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,4.42,Missed,,Gobert,203497.0,,,,,,,,,,,,,,,,
344,PT10M44.00S,2021-11-21T04:19:11.8Z,3,REGULAR,block,,[],203497,,,1610612758,51,59,2021-11-21T04:24:10Z,3145000,,,0,,R. Gobert BLOCK (1 BLK),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,
318,PT10M44.00S,2021-11-21T04:19:11.8Z,3,REGULAR,rebound,offensive,['team'],0,,,1610612758,51,59,2021-11-21T04:24:10Z,3150000,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,317.0,,,,,,,,,,,,,,,,,,
346,PT10M44.00S,2021-11-21T04:19:25.3Z,3,REGULAR,stoppage,out-of-bounds,[],0,,,1610612758,51,59,2021-11-21T04:24:54Z,3155000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,PT10M35.00S,2021-11-21T04:19:38.8Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak', '2ndchance']",1626158,9.937582128777924,42.64705882352941,1610612758,53,59,2021-11-21T04:25:31Z,3160000,37.0,41.0,1,left,R. Holmes driving Layup (14 PTS),[1626158],1610612758.0,SAC,driving,,,Holmes,R. Holmes,,,,,5.5,Made,,,,,,,14.0,,,,,,,,,,,,
320,PT10M27.00S,2021-11-21T04:19:46.1Z,3,REGULAR,3pt,Jump Shot,[],202711,89.83245729303549,95.83333333333334,1610612762,53,62,2021-11-21T04:27:47Z,3170000,229.0,43.0,1,right,B. Bogdanovic 3PT running (10 PTS) (D. Mitchell 2 AST),"[202711, 1628378]",1610612762.0,UTA,running,,,Bogdanovic,B. Bogdanovic,,,,,23.32,Made,,,,,,,10.0,D. Mitchell,1628378.0,2.0,,,,,,,,,
322,PT10M12.00S,2021-11-21T04:20:01.5Z,3,REGULAR,2pt,Hook,['pointsinthepaint'],1629002,15.456636005256241,36.029411764705884,1610612758,53,62,2021-11-21T04:20:10Z,3190000,70.0,93.0,1,left,MISS C. Metu 11' Hook,[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,11.62,Missed,,,,,,,,,,,,,,,,,,,
323,PT10M09.00S,2021-11-21T04:20:04.5Z,3,REGULAR,rebound,defensive,[],202711,,,1610612762,53,62,2021-11-21T04:20:10Z,3200000,,,0,,B. Bogdanovic REBOUND (Off:0 Def:4),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,322.0,,,4.0,4.0,0.0,,,,,,,,,,,,,
324,PT10M04.00S,2021-11-21T04:20:10.2Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],202711,92.46057818659659,54.90196078431373,1610612762,53,62,2021-11-21T04:20:17Z,3210000,25.0,18.0,1,right,MISS B. Bogdanovic driving Layup,[202711],1610612762.0,UTA,driving,,,Bogdanovic,B. Bogdanovic,,,,,3.06,Missed,,,,,,,,,,,,,,,,,,,
325,PT10M01.00S,2021-11-21T04:20:13.2Z,3,REGULAR,rebound,defensive,[],1626158,,,1610612758,53,62,2021-11-21T04:20:17Z,3220000,,,0,,R. Holmes REBOUND (Off:3 Def:2),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,324.0,,,5.0,2.0,3.0,,,,,,,,,,,,,
326,PT09M55.00S,2021-11-21T04:20:19.5Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,11.645860709592641,51.470588235294116,1610612758,55,62,2021-11-21T04:20:27Z,3230000,-7.0,57.0,1,left,D. Fox pullup Jump Shot (7 PTS),[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,5.75,Made,,,,,,,7.0,,,,,,,,,,,,
327,PT09M44.00S,2021-11-21T04:20:38.4Z,3,REGULAR,foul,personal,[],1629002,,,1610612762,55,62,2021-11-21T04:20:50Z,3240000,,,0,,C. Metu personal FOUL (2 PF),"[1629002, 203497]",1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,,,,,,,,,,202027.0,2.0,0.0,Gobert,203497.0,,,,
329,PT09M37.00S,2021-11-21T04:20:59.9Z,3,REGULAR,3pt,Jump Shot,[],201144,70.77858081471747,24.019607843137255,1610612762,55,62,2021-11-21T04:21:08Z,3260000,-130.0,222.0,1,right,MISS M. Conley 25' pullup 3PT,[201144],1610612762.0,UTA,pullup,,,Conley,M. Conley,,,,,25.74,Missed,,,,,,,,,,,,,,,,,,,
330,PT09M31.00S,2021-11-21T04:21:05.9Z,3,REGULAR,rebound,defensive,[],1626158,,,1610612758,55,62,2021-11-21T04:21:08Z,3270000,,,0,,R. Holmes REBOUND (Off:3 Def:3),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,329.0,,,6.0,3.0,3.0,,,,,,,,,,,,,
331,PT09M25.00S,2021-11-21T04:21:11.8Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630169,11.251642575558476,55.392156862745104,1610612758,57,62,2021-11-21T04:29:21Z,3280000,-27.0,53.0,1,left,T. Haliburton driving floating Jump Shot (9 PTS),[1630169],1610612758.0,SAC,driving floating,,,Haliburton,T. Haliburton,,,,,5.97,Made,,,,,,,9.0,,,,,,,,,,,,
332,PT09M00.00S,2021-11-21T04:21:35.6Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,83.13074901445466,56.127450980392155,1610612762,57,64,2021-11-21T04:21:46Z,3290000,31.0,106.0,1,right,D. Mitchell 11' turnaround Jump Shot (12 PTS),[1628378],1610612762.0,UTA,turnaround,,,Mitchell,D. Mitchell,,,,,11.04,Made,,,,,,,12.0,,,,,,,,,,,,
334,PT08M49.00S,2021-11-21T04:21:48.2Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,16.770696452036795,44.85294117647059,1610612758,57,64,2021-11-21T04:30:04Z,3300000,26.0,105.0,1,left,MISS D. Fox 10' fadeaway Shot,[1628368],1610612758.0,SAC,fadeaway,,,Fox,D. Fox,,,,,10.82,Missed,,,,,,,,,,,,,,,,,,,
335,PT08M45.00S,2021-11-21T04:21:52.2Z,3,REGULAR,rebound,defensive,[],1628378,,,1610612762,57,64,2021-11-21T04:21:56Z,3310000,,,0,,D. Mitchell REBOUND (Off:0 Def:2),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,334.0,,,2.0,2.0,0.0,,,,,,,,,,,,,
336,PT08M39.00S,2021-11-21T04:21:57.6Z,3,REGULAR,turnover,bad pass,[],1628378,,,1610612762,57,64,2021-11-21T04:22:09Z,3320000,,,0,,D. Mitchell bad pass TURNOVER (3 TO),"[1628378, 203084]",1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,3.0,Barnes,203084.0,
337,PT08M39.00S,2021-11-21T04:21:57.6Z,3,REGULAR,steal,,[],203084,,,1610612758,57,64,2021-11-21T04:21:59Z,3330000,,,0,,H. Barnes STEAL (1 STL),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,
338,PT08M35.00S,2021-11-21T04:22:01.3Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203084,6.521024967148489,45.83333333333333,1610612758,59,64,2021-11-21T04:22:17Z,3340000,21.0,9.0,1,left,H. Barnes running Layup (13 PTS),[203084],1610612758.0,SAC,running,,,Barnes,H. Barnes,,,,,2.26,Made,,,,,,,13.0,,,,,,,,,,,,
