actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
266,PT04M50.00S,2022-10-23T01:32:27.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629029,6.652431011826544,47.30392156862745,1610612742,51,30,2022-10-23T01:32:35Z,2610000,13.0,10.0,1,left,MISS L. Doncic running Layup,[1629029],1610612742.0,DAL,running,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,,,1.68,Missed,,,,,,,,,,,,,,,,
267,PT04M50.00S,2022-10-23T01:32:27.8Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612763,51,30,2022-10-23T01:32:35Z,2620000,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,266.0,,,,,,,,,,,
268,PT04M50.00S,2022-10-23T01:32:32.0Z,2,REGULAR,foul,personal,[],1629029,,,1610612763,51,30,2022-10-23T01:32:46Z,2630000,,,0,,L. Doncic loose ball personal FOUL (1 PF),"[1629029, 1629723]",1610612742.0,DAL,loose ball,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,1179.0,,,,,,,,,,,,1.0,0.0,Konchar,1629723.0,,,,
270,PT04M35.00S,2022-10-23T01:33:05.3Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201580,,,1610612763,51,30,2022-10-23T01:33:11Z,2650000,,,0,,J. McGee personal FOUL (3 PF) (Morant 2 FT),"[201580, 1629630]",1610612742.0,DAL,,,,McGee,J. McGee,,,,,Mid-Range,8-16 Left,1626301.0,,,,,,,,,,,,3.0,0.0,Morant,1629630.0,,,,
272,PT04M35.00S,2022-10-23T01:33:49.3Z,2,REGULAR,freethrow,1 of 2,[],1629630,,,1610612763,51,31,2022-10-23T01:33:49Z,2670000,,,0,,J. Morant Free Throw 1 of 2 (9 PTS),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,Made,9.0,,,,,,,,,,,,,,,
273,PT04M35.00S,2022-10-23T01:33:50.1Z,2,REGULAR,substitution,out,[],201580,,,1610612763,51,31,2022-10-23T01:33:56Z,2680000,,,0,,SUB out: J. McGee,[201580],1610612742.0,DAL,,,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,,,,,,,,
274,PT04M35.00S,2022-10-23T01:33:50.1Z,2,REGULAR,substitution,in,[],1628467,,,1610612763,51,31,2022-10-23T01:33:56Z,2690000,,,0,,SUB in: M. Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,,
275,PT04M35.00S,2022-10-23T01:34:10.6Z,2,REGULAR,freethrow,2 of 2,[],1629630,,,1610612763,51,32,2022-10-23T01:34:10Z,2700000,,,0,,J. Morant Free Throw 2 of 2 (10 PTS),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,Made,10.0,,,,,,,,,,,,,,,
276,PT04M23.00S,2022-10-23T01:34:23.4Z,2,REGULAR,3pt,Jump Shot,[],1629029,32.670827858081466,27.696078431372552,1610612742,54,32,2022-10-23T01:38:58Z,2710000,112.0,255.0,1,left,L. Doncic 27' 3PT pullup (24 PTS),[1629029],1610612742.0,DAL,pullup,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Right Center,,,27.79,Made,24.0,,,,,,,,,,,,,,,
279,PT03M56.00S,2022-10-23T01:35:28.8Z,2,REGULAR,turnover,out-of-bounds,[],1631223,,,1610612763,54,32,2022-10-23T01:35:34Z,2740000,,,0,,D. Roddy lost ball out-of-bounds TURNOVER (1 TO),[1631223],1610612763.0,MEM,lost ball,,,Roddy,D. Roddy,,,,,Left Corner 3,24+ Left,1193.0,1.0,,,,,,,,,,,,,,,,,,
280,PT03M33.00S,2022-10-23T01:35:55.8Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],203915,11.383048620236531,94.36274509803921,1610612742,57,32,2022-10-23T01:36:02Z,2750000,-222.0,55.0,1,left,S. Dinwiddie 3PT step back (7 PTS),[203915],1610612742.0,DAL,step back,,,Dinwiddie,S. Dinwiddie,,,,,Left Corner 3,24+ Left,,,22.84,Made,7.0,,,,,,,,,,,,,,,
281,PT03M21.00S,2022-10-23T01:36:10.6Z,2,REGULAR,foul,offensive,[],1629723,,,1610612763,57,32,2022-10-23T01:37:57Z,2760000,,,0,,J. Konchar offensive FOUL (2 PF),"[1629723, 1629029]",1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,Above the Break 3,24+ Left Center,1193.0,,,,,,,,,,,,2.0,0.0,Doncic,1629029.0,,,,
283,PT03M21.00S,2022-10-23T01:36:10.6Z,2,REGULAR,turnover,offensive foul,[],1629723,,,1610612763,57,32,2022-10-23T01:37:57Z,2780000,,,0,,J. Konchar offensive foul TURNOVER (1 TO),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,Above the Break 3,24+ Left Center,1193.0,1.0,,,,,,,,,,,,,,,,,,
284,PT03M21.00S,2022-10-23T01:36:18.0Z,2,REGULAR,substitution,out,[],1630583,,,1610612742,57,32,2022-10-23T01:36:36Z,2790000,,,0,,SUB out: S. Aldama,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,,,,,,,,,,
285,PT03M21.00S,2022-10-23T01:36:18.0Z,2,REGULAR,substitution,out,[],1631223,,,1610612742,57,32,2022-10-23T01:36:36Z,2800000,,,0,,SUB out: D. Roddy,[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,,,,,,,,,,,,,,,,,,,,,,
286,PT03M21.00S,2022-10-23T01:36:18.0Z,2,REGULAR,substitution,out,[],1629723,,,1610612742,57,32,2022-10-23T01:36:36Z,2810000,,,0,,SUB out: J. Konchar,[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,,,,,,,,,,,,,,,,,,,,
287,PT03M21.00S,2022-10-23T01:36:18.0Z,2,REGULAR,substitution,in,[],1631222,,,1610612742,57,32,2022-10-23T01:36:36Z,2820000,,,0,,SUB in: J. LaRavia,[1631222],1610612763.0,MEM,,,,LaRavia,J. LaRavia,,,,,,,,,,,,,,,,,,,,,,,,,,
288,PT03M21.00S,2022-10-23T01:36:18.0Z,2,REGULAR,substitution,in,[],1630217,,,1610612742,57,32,2022-10-23T01:36:36Z,2830000,,,0,,SUB in: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,,
289,PT03M21.00S,2022-10-23T01:36:18.0Z,2,REGULAR,substitution,in,[],1626145,,,1610612742,57,32,2022-10-23T01:36:36Z,2840000,,,0,,SUB in: T. Jones,[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
290,PT03M01.00S,2022-10-23T01:36:55.7Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629029,13.091327201051248,44.36274509803921,1610612742,57,32,2022-10-23T01:39:08Z,2850000,28.0,71.0,1,left,MISS L. Doncic 7' driving floating Shot,[1629029],1610612742.0,DAL,driving floating,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),0-8 Center,,,7.6,Missed,,,,,,,,,,,,,,,,
291,PT02M59.00S,2022-10-23T01:36:58.7Z,2,REGULAR,rebound,defensive,[],1629630,,,1610612763,57,32,2022-10-23T01:36:58Z,2860000,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,290.0,1.0,1.0,0.0,,,,,,,,
292,PT02M56.00S,2022-10-23T01:37:04.7Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203493,,,1610612763,57,32,2022-10-23T01:37:18Z,2870000,,,0,,R. Bullock personal FOUL (1 PF) (Morant 2 FT),"[203493, 1629630]",1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,In The Paint (Non-RA),8-16 Center,1626301.0,,,,,,,,,,,,1.0,0.0,Morant,1629630.0,,,,
294,PT02M56.00S,2022-10-23T01:37:17.7Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,57,32,2022-10-23T01:37:17Z,2890000,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,PT02M56.00S,2022-10-23T01:40:16.0Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],1629630,,,1610612763,57,33,2022-10-23T01:40:16Z,2900000,,,0,,J. Morant Free Throw 1 of 2 (11 PTS),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,Made,11.0,,,,,,,,,,,,,,,
296,PT02M56.00S,2022-10-23T01:40:28.7Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],1629630,,,1610612763,57,34,2022-10-23T01:40:28Z,2910000,,,0,,J. Morant Free Throw 2 of 2 (12 PTS),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,Made,12.0,,,,,,,,,,,,,,,
297,PT02M43.00S,2022-10-23T01:40:42.8Z,2,REGULAR,3pt,Jump Shot,[],203493,30.305519053876477,67.8921568627451,1610612742,60,34,2022-10-23T01:40:48Z,2920000,-89.0,232.0,1,left,R. Bullock 24' 3PT  (5 PTS) (L. Doncic 5 AST),"[203493, 1629029]",1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Above the Break 3,24+ Left Center,,,24.9,Made,5.0,L. Doncic,1629029.0,5.0,,,,,,,,,,,,
299,PT02M19.00S,2022-10-23T01:41:06.0Z,2,REGULAR,3pt,Jump Shot,[],1626145,70.90998685939553,74.26470588235294,1610612763,60,34,2022-10-23T01:48:13Z,2940000,121.0,221.0,1,right,MISS T. Jones 25' pullup 3PT,[1626145],1610612763.0,MEM,pullup,,,Jones,T. Jones,,,,,Above the Break 3,24+ Right Center,,,25.2,Missed,,,,,,,,,,,,,,,,
300,PT02M16.00S,2022-10-23T01:41:09.0Z,2,REGULAR,rebound,defensive,[],1628467,,,1610612742,60,34,2022-10-23T01:41:11Z,2950000,,,0,,M. Kleber REBOUND (Off:2 Def:3),[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,Above the Break 3,24+ Right Center,,,,,,,,,299.0,5.0,3.0,2.0,,,,,,,,
301,PT02M02.00S,2022-10-23T01:41:24.2Z,2,REGULAR,turnover,bad pass,[],1629029,,,1610612742,60,34,2022-10-23T01:41:28Z,2960000,,,0,,L. Doncic bad pass TURNOVER (1 TO),"[1629029, 1626145]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),0-8 Center,,1.0,,,,,,,,,,,,,,,,,Jones,1626145.0
302,PT02M02.00S,2022-10-23T01:41:24.2Z,2,REGULAR,steal,,[],1626145,,,1610612763,60,34,2022-10-23T01:41:25Z,2970000,,,0,,T. Jones STEAL (1 STL),[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
303,PT01M57.00S,2022-10-23T01:41:29.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630217,94.03745072273325,47.549019607843135,1610612763,60,34,2022-10-23T01:41:36Z,2980000,-12.0,4.0,1,right,MISS D. Bane running reverse Layup,[1630217],1610612763.0,MEM,running reverse,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,,,1.28,Missed,,,,,,,,,,,,,,,,
304,PT01M54.00S,2022-10-23T01:41:32.4Z,2,REGULAR,rebound,defensive,[],203493,,,1610612742,60,34,2022-10-23T01:41:36Z,2990000,,,0,,R. Bullock REBOUND (Off:0 Def:3),[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Restricted Area,0-8 Center,,,,,,,,,303.0,3.0,3.0,0.0,,,,,,,,
305,PT01M41.00S,2022-10-23T01:41:44.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203915,13.87976346911958,46.07843137254902,1610612742,62,34,2022-10-23T01:48:23Z,3000000,20.0,78.0,1,left,S. Dinwiddie 8' driving floating Jump Shot (9 PTS),[203915],1610612742.0,DAL,driving floating,,,Dinwiddie,S. Dinwiddie,,,,,In The Paint (Non-RA),8-16 Center,,,8.04,Made,9.0,,,,,,,,,,,,,,,
306,PT01M14.00S,2022-10-23T01:42:13.9Z,2,REGULAR,turnover,shot clock,['team'],0,,,1610612763,62,34,2022-10-23T01:42:25Z,3010000,,,0,,MEM shot clock Team TURNOVER,[],1610612763.0,MEM,,,,,,,,,,In The Paint (Non-RA),8-16 Center,1179.0,,,,,,,,,,,,,,,,,,,
307,PT01M14.00S,2022-10-23T01:42:19.2Z,2,REGULAR,substitution,out,[],203915,,,1610612742,62,34,2022-10-23T01:42:32Z,3020000,,,0,,SUB out: S. Dinwiddie,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,,
308,PT01M14.00S,2022-10-23T01:42:19.2Z,2,REGULAR,substitution,in,[],1626174,,,1610612742,62,34,2022-10-23T01:42:32Z,3030000,,,0,,SUB in: C. Wood,[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
309,PT00M57.00S,2022-10-23T01:42:54.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628467,6.783837056504599,51.9607843137255,1610612742,62,34,2022-10-23T01:43:27Z,3040000,-10.0,11.0,1,left,MISS M. Kleber Layup - blocked,"[1628467, 1626145]",1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,Restricted Area,0-8 Center,,,1.5,Missed,,,,,,,,,,,,,Jones,1626145.0,,
310,PT00M57.00S,2022-10-23T01:42:54.5Z,2,REGULAR,block,,[],1626145,,,1610612742,62,34,2022-10-23T01:42:56Z,3050000,,,0,,T. Jones BLOCK (1 BLK),[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
311,PT00M57.00S,2022-10-23T01:42:54.5Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612763,62,34,2022-10-23T01:43:27Z,3060000,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,309.0,,,,,,,,,,,
313,PT00M37.40S,2022-10-23T01:43:24.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,92.59198423127464,53.92156862745098,1610612763,62,34,2022-10-23T01:43:32Z,3080000,20.0,17.0,1,right,MISS J. Morant Layup - blocked,"[1629630, 1629029]",1610612763.0,MEM,,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,,,2.6,Missed,,,,,,,,,,,,,Doncic,1629029.0,,
314,PT00M37.40S,2022-10-23T01:43:24.9Z,2,REGULAR,block,,[],1629029,,,1610612763,62,34,2022-10-23T01:43:26Z,3090000,,,0,,L. Doncic BLOCK (1 BLK),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
315,PT00M37.40S,2022-10-23T01:43:24.9Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612763,62,34,2022-10-23T01:43:32Z,3100000,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,313.0,,,,,,,,,,,
317,PT00M36.10S,2022-10-23T01:43:46.3Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203493,,,1610612763,62,34,2022-10-23T01:43:54Z,3120000,,,0,,R. Bullock personal FOUL (2 PF) (Bane 2 FT),"[203493, 1630217]",1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Mid-Range,16-24 Right,1193.0,,,,,,,,,,,,2.0,0.0,Bane,1630217.0,,,,
319,PT00M36.10S,2022-10-23T01:44:10.6Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1630217,,,1610612763,62,35,2022-10-23T01:44:10Z,3140000,,,0,,D. Bane Free Throw 1 of 2 (6 PTS),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,Made,6.0,,,,,,,,,,,,,,,
320,PT00M36.10S,2022-10-23T01:44:29.1Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1630217,,,1610612763,62,36,2022-10-23T01:44:29Z,3150000,,,0,,D. Bane Free Throw 2 of 2 (7 PTS),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,Made,7.0,,,,,,,,,,,,,,,
321,PT00M23.80S,2022-10-23T01:44:45.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1626174,6.258212877792378,47.30392156862745,1610612742,64,36,2022-10-23T01:44:52Z,3160000,13.0,6.0,1,left,C. Wood Layup (12 PTS) (L. Doncic 6 AST),"[1626174, 1629029]",1610612742.0,DAL,,,,Wood,C. Wood,,,,,Restricted Area,0-8 Center,,,1.49,Made,12.0,L. Doncic,1629029.0,6.0,,,,,,,,,,,,
323,PT00M00.00S,2022-10-23T01:45:16.3Z,2,REGULAR,period,end,[],0,,,1610612763,64,36,2022-10-23T01:45:16Z,3180000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,PT12M00.00S,2022-10-23T01:59:54.4Z,3,REGULAR,substitution,out,['startperiod'],1628467,,,1610612763,64,36,2022-10-23T02:00:10Z,3190000,,,0,,SUB out: M. Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,,
325,PT12M00.00S,2022-10-23T01:59:54.4Z,3,REGULAR,substitution,out,['startperiod'],1626174,,,1610612763,64,36,2022-10-23T02:00:10Z,3200000,,,0,,SUB out: C. Wood,[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
326,PT12M00.00S,2022-10-23T01:59:54.4Z,3,REGULAR,substitution,out,['startperiod'],1631222,,,1610612763,64,36,2022-10-23T02:00:10Z,3210000,,,0,,SUB out: J. LaRavia,[1631222],1610612763.0,MEM,,,,LaRavia,J. LaRavia,,,,,,,,,,,,,,,,,,,,,,,,,,
327,PT12M00.00S,2022-10-23T01:59:54.4Z,3,REGULAR,substitution,out,['startperiod'],1626145,,,1610612763,64,36,2022-10-23T02:00:10Z,3220000,,,0,,SUB out: T. Jones,[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
328,PT12M00.00S,2022-10-23T01:59:54.4Z,3,REGULAR,substitution,in,['startperiod'],203915,,,1610612763,64,36,2022-10-23T02:00:10Z,3230000,,,0,,SUB in: S. Dinwiddie,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,,
329,PT12M00.00S,2022-10-23T01:59:54.4Z,3,REGULAR,substitution,in,['startperiod'],201580,,,1610612763,64,36,2022-10-23T02:00:10Z,3240000,,,0,,SUB in: J. McGee,[201580],1610612742.0,DAL,,,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,,,,,,,,
330,PT12M00.00S,2022-10-23T01:59:54.4Z,3,REGULAR,substitution,in,['startperiod'],1630583,,,1610612763,64,36,2022-10-23T02:00:10Z,3250000,,,0,,SUB in: S. Aldama,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,,,,,,,,,,
331,PT12M00.00S,2022-10-23T01:59:54.4Z,3,REGULAR,substitution,in,['startperiod'],1629723,,,1610612763,64,36,2022-10-23T02:00:10Z,3260000,,,0,,SUB in: J. Konchar,[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,,,,,,,,,,,,,,,,,,,,
332,PT12M00.00S,2022-10-23T02:00:26.8Z,3,REGULAR,period,start,[],0,,,1610612742,64,36,2022-10-23T02:00:26Z,3270000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,PT11M40.00S,2022-10-23T02:00:49.5Z,3,REGULAR,turnover,bad pass,[],1629029,,,1610612742,64,36,2022-10-23T02:03:57Z,3295000,,,0,,L. Doncic bad pass TURNOVER (2 TO),"[1629029, 203500]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),8-16 Center,,2.0,,,,,,,,,,,,,,,,,Adams,203500.0
358,PT11M40.00S,2022-10-23T02:00:49.5Z,3,REGULAR,steal,,[],203500,,,1610612763,64,36,2022-10-23T02:03:57Z,3297500,,,0,,S. Adams STEAL (1 STL),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
335,PT11M32.00S,2022-10-23T02:00:53.3Z,3,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629630,13.748357424441524,50.73529411764706,1610612763,64,36,2022-10-23T02:16:28Z,3300000,-4.0,77.0,1,left,MISS J. Morant 7' driving floating Shot,[1629630],1610612763.0,MEM,driving floating,,,Morant,J. Morant,,,,,In The Paint (Non-RA),0-8 Center,,,7.68,Missed,,,,,,,,,,,,,,,,
336,PT11M27.00S,2022-10-23T02:00:58.3Z,3,REGULAR,rebound,defensive,[],1629029,,,1610612742,64,36,2022-10-23T02:01:03Z,3310000,,,0,,L. Doncic REBOUND (Off:1 Def:4),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,335.0,5.0,4.0,1.0,,,,,,,,
337,PT11M22.00S,2022-10-23T02:01:03.8Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,88.12417871222075,45.09803921568628,1610612742,66,36,2022-10-23T02:06:04Z,3320000,-25.0,59.0,1,right,L. Doncic 6' turnaround fadeaway Jump Shot (26 PTS),[1629029],1610612742.0,DAL,turnaround fadeaway,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),0-8 Center,,,6.4,Made,26.0,,,,,,,,,,,,,,,
338,PT11M10.00S,2022-10-23T02:01:16.5Z,3,REGULAR,foul,personal,['3freethrow'],1629029,,,1610612763,66,36,2022-10-23T02:01:28Z,3330000,,,0,,L. Doncic shooting personal FOUL (2 PF) (Aldama 3 FT),"[1629029, 1630583]",1610612742.0,DAL,shooting,,,Doncic,L. Doncic,,,,,Right Corner 3,24+ Right,1179.0,,,,,,,,,,,,2.0,0.0,Aldama,1630583.0,,,,
340,PT11M10.00S,2022-10-23T02:01:45.7Z,3,REGULAR,freethrow,1 of 3,[],1630583,,,1610612763,66,37,2022-10-23T02:01:45Z,3350000,,,0,,S. Aldama Free Throw 1 of 3 (4 PTS),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,,
341,PT11M10.00S,2022-10-23T02:01:58.7Z,3,REGULAR,freethrow,2 of 3,[],1630583,,,1610612763,66,38,2022-10-23T02:01:58Z,3360000,,,0,,S. Aldama Free Throw 2 of 3 (5 PTS),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,,
342,PT11M10.00S,2022-10-23T02:02:10.7Z,3,REGULAR,freethrow,3 of 3,[],1630583,,,1610612763,66,39,2022-10-23T02:02:10Z,3370000,,,0,,S. Aldama Free Throw 3 of 3 (6 PTS),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,,Made,6.0,,,,,,,,,,,,,,,
343,PT10M59.00S,2022-10-23T02:02:22.7Z,3,REGULAR,3pt,Jump Shot,[],203493,92.59198423127464,97.05882352941177,1610612742,66,39,2022-10-23T02:02:27Z,3380000,235.0,17.0,1,right,MISS R. Bullock 3PT,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Right Corner 3,24+ Right,,,23.59,Missed,,,,,,,,,,,,,,,,
344,PT10M55.00S,2022-10-23T02:02:26.7Z,3,REGULAR,rebound,defensive,[],1630217,,,1610612763,66,39,2022-10-23T02:02:27Z,3390000,,,0,,D. Bane REBOUND (Off:0 Def:3),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Right Corner 3,24+ Right,,,,,,,,,343.0,3.0,3.0,0.0,,,,,,,,
345,PT10M53.00S,2022-10-23T02:02:28.5Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1630217,28.728646517739815,72.05882352941177,1610612763,66,42,2022-10-23T02:02:34Z,3400000,-110.0,218.0,1,left,D. Bane 24' 3PT pullup (10 PTS),[1630217],1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,Above the Break 3,24+ Left Center,,,24.39,Made,10.0,,,,,,,,,,,,,,,
346,PT10M30.00S,2022-10-23T02:02:51.0Z,3,REGULAR,3pt,Jump Shot,[],203915,68.80749014454665,32.84313725490196,1610612742,66,42,2022-10-23T02:02:59Z,3410000,-86.0,241.0,1,right,MISS S. Dinwiddie 25' pullup 3PT,[203915],1610612742.0,DAL,pullup,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Left Center,,,25.55,Missed,,,,,,,,,,,,,,,,
347,PT10M25.00S,2022-10-23T02:02:56.0Z,3,REGULAR,rebound,offensive,[],1629029,,,1610612742,66,42,2022-10-23T02:02:59Z,3420000,,,0,,L. Doncic REBOUND (Off:2 Def:4),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Left Center,,,,,,,,,346.0,6.0,4.0,2.0,,,,,,,,
348,PT10M25.00S,2022-10-23T02:02:55.9Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629029,94.40999984741211,50.0,1610612742,66,42,2022-10-23T02:02:55Z,3430000,0.0,0.0,1,right,MISS L. Doncic tip Layup,[1629029],1610612742.0,DAL,tip,,,Doncic,L. Doncic,,,,,Mid-Range,8-16 Left,,,0.0,Missed,,,,,,,,,,,,,,,,
349,PT10M23.00S,2022-10-23T02:02:58.4Z,3,REGULAR,rebound,offensive,[],201580,,,1610612742,66,42,2022-10-23T02:02:58Z,3440000,,,0,,J. McGee REBOUND (Off:2 Def:4),[201580],1610612742.0,DAL,,,,McGee,J. McGee,,,,,Mid-Range,8-16 Left,,,,,,,,,348.0,6.0,4.0,2.0,,,,,,,,
350,PT10M23.00S,2022-10-23T02:02:58.4Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201580,94.40999984741211,50.0,1610612742,68,42,2022-10-23T02:02:58Z,3450000,0.0,0.0,1,right,J. McGee tip Layup (6 PTS),[201580],1610612742.0,DAL,tip,,,McGee,J. McGee,,,,,Mid-Range,8-16 Left,,,0.0,Made,6.0,,,,,,,,,,,,,,,
