actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
279,PT04M54.00S,2022-02-12T01:23:31.9Z,2,REGULAR,rebound,offensive,[],1628381,,,1610612737,45,57,2022-02-12T01:23:31Z,2710000,,,0,,J. Collins REBOUND (Off:2 Def:0),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,278.0,2.0,0.0,2.0,,,,,,,,,,,,
280,PT04M52.00S,2022-02-12T01:23:34.1Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628381,81.68528252299606,58.57843137254902,1610612737,45,57,2022-02-12T01:23:39Z,2720000,43.0,120.0,1,right,MISS J. Collins 12' turnaround Shot,[1628381],1610612737.0,ATL,turnaround,,,Collins,J. Collins,,,,,12.72,Missed,,,,,,,,,,,,,,,,,,
281,PT04M47.00S,2022-02-12T01:23:39.1Z,2,REGULAR,rebound,defensive,[],1627749,,,1610612759,45,57,2022-02-12T01:23:39Z,2730000,,,0,,D. Murray REBOUND (Off:0 Def:4),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,280.0,4.0,4.0,0.0,,,,,,,,,,,,
282,PT04M37.00S,2022-02-12T01:23:48.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630170,6.389618922470433,55.63725490196079,1610612759,45,57,2022-02-12T01:23:55Z,2740000,-28.0,8.0,1,left,MISS D. Vassell driving floating Shot - blocked,"[1630170, 1628989]",1610612759.0,SAS,driving floating,,,Vassell,D. Vassell,,,,,2.92,Missed,Huerter,1628989.0,,,,,,,,,,,,,,,,
283,PT04M37.00S,2022-02-12T01:23:48.1Z,2,REGULAR,block,,[],1628989,,,1610612759,45,57,2022-02-12T01:42:46Z,2750000,,,0,,K. Huerter BLOCK (2 BLK),[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,
284,PT04M33.00S,2022-02-12T01:23:52.1Z,2,REGULAR,rebound,defensive,[],203991,,,1610612737,45,57,2022-02-12T01:23:55Z,2760000,,,0,,C. Capela REBOUND (Off:3 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,282.0,5.0,2.0,3.0,,,,,,,,,,,,
285,PT04M28.00S,2022-02-12T01:23:57.5Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629027,92.9862023653088,50.73529411764706,1610612737,45,57,2022-02-12T01:27:21Z,2770000,4.0,13.0,1,right,MISS T. Young driving Layup - blocked,"[1629027, 1630563]",1610612737.0,ATL,driving,,,Young,T. Young,,,,,1.39,Missed,Primo,1630563.0,,,,,,,,,,,,,,,,
286,PT04M28.00S,2022-02-12T01:23:57.5Z,2,REGULAR,block,,[],1630563,,,1610612737,45,57,2022-02-12T01:24:00Z,2780000,,,0,,J. Primo BLOCK (1 BLK),[1630563],1610612759.0,SAS,,,,Primo,J. Primo,,,,,,,,,,,,,,,,,,,,,,,,
287,PT04M25.00S,2022-02-12T01:24:00.5Z,2,REGULAR,rebound,defensive,[],1628380,,,1610612759,45,57,2022-02-12T01:24:02Z,2790000,,,0,,Z. Collins REBOUND (Off:0 Def:2),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,285.0,2.0,2.0,0.0,,,,,,,,,,,,
288,PT04M21.00S,2022-02-12T01:24:04.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628966,9.149145860709593,46.07843137254902,1610612759,45,57,2022-02-12T01:24:13Z,2800000,20.0,34.0,1,left,MISS K. Bates-Diop driving floating Shot,[1628966],1610612759.0,SAS,driving floating,,,Bates-Diop,K. Bates-Diop,,,,,3.88,Missed,,,,,,,,,,,,,,,,,,
289,PT04M19.00S,2022-02-12T01:24:10.0Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612759,45,57,2022-02-12T01:24:10Z,2810000,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,288.0,,,,,,,,,,,,,,,
290,PT04M19.00S,2022-02-12T01:24:11.8Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612759,45,57,2022-02-12T01:24:11Z,2820000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,PT04M17.00S,2022-02-12T01:24:38.5Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],1630170,6.1268068331143235,21.813725490196077,1610612759,45,59,2022-02-12T01:24:43Z,2830000,141.0,5.0,1,left,D. Vassell 14' Jump Shot (11 PTS) (D. Murray 9 AST),"[1630170, 1627749]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,14.1,Made,,,,,,,11.0,,,,D. Murray,1627749.0,9.0,,,,,
293,PT03M55.00S,2022-02-12T01:25:03.6Z,2,REGULAR,turnover,3-second-violation,[],203991,,,1610612737,45,59,2022-02-12T01:25:13Z,2850000,,,0,,C. Capela 3-second-violation TURNOVER (3 TO),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,3.0,,,,,,1628951.0,,,,
294,PT03M30.00S,2022-02-12T01:25:41.8Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1630563,24.392247043363994,58.333333333333336,1610612759,45,59,2022-02-12T01:25:46Z,2860000,-42.0,177.0,1,left,MISS J. Primo 18' pullup Shot,[1630563],1610612759.0,SAS,pullup,,,Primo,J. Primo,,,,,18.17,Missed,,,,,,,,,,,,,,,,,,
295,PT03M27.00S,2022-02-12T01:25:44.7Z,2,REGULAR,rebound,defensive,[],203991,,,1610612737,45,59,2022-02-12T01:25:44Z,2870000,,,0,,C. Capela REBOUND (Off:3 Def:3),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,294.0,6.0,3.0,3.0,,,,,,,,,,,,
296,PT03M22.00S,2022-02-12T01:25:55.5Z,2,REGULAR,foul,offensive,[],1628381,,,1610612737,45,59,2022-02-12T01:26:01Z,2880000,,,0,,J. Collins offensive FOUL (2 PF),"[1628381, 1628966]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,1628951.0,2.0,0.0,Bates-Diop,1628966.0
298,PT03M22.00S,2022-02-12T01:25:55.5Z,2,REGULAR,turnover,offensive foul,[],1628381,,,1610612737,45,59,2022-02-12T01:25:55Z,2900000,,,0,,J. Collins offensive foul TURNOVER (2 TO),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,2.0,,,,,,1628951.0,,,,
299,PT03M22.00S,2022-02-12T01:26:02.2Z,2,REGULAR,substitution,out,[],1628966,,,1610612759,45,59,2022-02-12T01:26:09Z,2910000,,,0,,SUB out: K. Bates-Diop,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,
300,PT03M22.00S,2022-02-12T01:26:02.2Z,2,REGULAR,substitution,in,[],1629640,,,1610612759,45,59,2022-02-12T01:26:09Z,2920000,,,0,,SUB in: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,
301,PT03M09.00S,2022-02-12T01:26:29.1Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1628380,14.4053876478318,95.58823529411765,1610612759,45,62,2022-02-12T01:26:34Z,2930000,-228.0,83.0,1,left,Z. Collins 24' 3PT  (5 PTS) (D. Vassell 2 AST),"[1628380, 1630170]",1610612759.0,SAS,,,,Collins,Z. Collins,,,,,24.25,Made,,,,,,,5.0,,,,D. Vassell,1630170.0,2.0,,,,,
303,PT02M48.00S,2022-02-12T01:26:51.2Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],203991,93.51182654402102,50.49019607843137,1610612737,47,62,2022-02-12T01:26:55Z,2950000,2.0,8.0,1,right,C. Capela DUNK (11 PTS) (K. Huerter 4 AST),"[203991, 1628989]",1610612737.0,ATL,,,,Capela,C. Capela,,,,,0.89,Made,,,,,,,11.0,,,,K. Huerter,1628989.0,4.0,,,,,
305,PT02M31.00S,2022-02-12T01:27:07.7Z,2,REGULAR,2pt,Jump Shot,[],1627749,17.0335085413929,71.07843137254902,1610612759,47,64,2022-02-12T01:27:12Z,2970000,-105.0,108.0,1,left,D. Murray 15' pullup Jump Shot (15 PTS),[1627749],1610612759.0,SAS,pullup,,,Murray,D. Murray,,,,,15.06,Made,,,,,,,15.0,,,,,,,,,,,
306,PT02M18.00S,2022-02-12T01:27:20.6Z,2,REGULAR,3pt,Jump Shot,[],1629631,95.74572930354796,4.6568627450980395,1610612737,47,64,2022-02-12T01:27:25Z,2980000,-227.0,-13.0,1,right,MISS D. Hunter 3PT,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,22.7,Missed,,,,,,,,,,,,,,,,,,
307,PT02M16.00S,2022-02-12T01:27:22.6Z,2,REGULAR,rebound,defensive,[],1628380,,,1610612759,47,64,2022-02-12T01:27:25Z,2990000,,,0,,Z. Collins REBOUND (Off:0 Def:3),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,306.0,3.0,3.0,0.0,,,,,,,,,,,,
308,PT02M01.00S,2022-02-12T01:27:37.9Z,2,REGULAR,2pt,Jump Shot,[],1627749,17.69053876478318,68.87254901960785,1610612759,47,64,2022-02-12T01:27:42Z,3000000,-94.0,114.0,1,left,MISS D. Murray 14' step back Shot,[1627749],1610612759.0,SAS,step back,,,Murray,D. Murray,,,,,14.79,Missed,,,,,,,,,,,,,,,,,,
309,PT01M58.00S,2022-02-12T01:27:40.9Z,2,REGULAR,rebound,defensive,[],1628381,,,1610612737,47,64,2022-02-12T01:27:42Z,3010000,,,0,,J. Collins REBOUND (Off:2 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,308.0,3.0,1.0,2.0,,,,,,,,,,,,
310,PT01M52.00S,2022-02-12T01:27:46.8Z,2,REGULAR,3pt,Jump Shot,[],1628989,86.67871222076215,96.07843137254902,1610612737,47,64,2022-02-12T01:27:51Z,3020000,230.0,73.0,1,right,MISS K. Huerter 24' 3PT,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,24.16,Missed,,,,,,,,,,,,,,,,,,
311,PT01M48.00S,2022-02-12T01:27:50.8Z,2,REGULAR,rebound,defensive,[],1628380,,,1610612759,47,64,2022-02-12T01:27:51Z,3030000,,,0,,Z. Collins REBOUND (Off:0 Def:4),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,310.0,4.0,4.0,0.0,,,,,,,,,,,,
312,PT01M39.00S,2022-02-12T01:27:59.3Z,2,REGULAR,turnover,bad pass,[],1630563,,,1610612759,47,64,2022-02-12T01:28:06Z,3040000,,,0,,J. Primo bad pass TURNOVER (1 TO),"[1630563, 1629027]",1610612759.0,SAS,,,,Primo,J. Primo,,,,,,,,,,,,,,1.0,Young,1629027.0,,,,,,,,
313,PT01M39.00S,2022-02-12T01:27:59.3Z,2,REGULAR,steal,,[],1629027,,,1610612737,47,64,2022-02-12T01:28:01Z,3050000,,,0,,T. Young STEAL (1 STL),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,
314,PT01M36.00S,2022-02-12T01:28:03.2Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629631,93.24901445466492,50.49019607843137,1610612737,49,64,2022-02-12T01:28:11Z,3060000,2.0,11.0,1,right,D. Hunter running DUNK (8 PTS) (T. Young 4 AST),"[1629631, 1629027]",1610612737.0,ATL,running,,,Hunter,D. Hunter,,,,,1.13,Made,,,,,,,8.0,,,,T. Young,1629027.0,4.0,,,,,
316,PT01M34.00S,2022-02-12T01:28:16.0Z,2,REGULAR,timeout,full,['team'],0,,,1610612759,49,64,2022-02-12T01:28:23Z,3080000,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,PT01M34.00S,2022-02-12T01:29:16.2Z,2,REGULAR,substitution,out,[],1628380,,,1610612759,49,64,2022-02-12T01:29:29Z,3090000,,,0,,SUB out: Z. Collins,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,,,,,
318,PT01M34.00S,2022-02-12T01:29:16.2Z,2,REGULAR,substitution,out,[],1630170,,,1610612759,49,64,2022-02-12T01:29:29Z,3100000,,,0,,SUB out: D. Vassell,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,,,,,
319,PT01M34.00S,2022-02-12T01:29:16.2Z,2,REGULAR,substitution,in,[],203926,,,1610612759,49,64,2022-02-12T01:29:29Z,3110000,,,0,,SUB in: D. McDermott,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,,,,,,
320,PT01M34.00S,2022-02-12T01:29:16.2Z,2,REGULAR,substitution,in,[],1627751,,,1610612759,49,64,2022-02-12T01:29:29Z,3120000,,,0,,SUB in: J. Poeltl,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,
321,PT01M21.00S,2022-02-12T01:29:52.3Z,2,REGULAR,3pt,Jump Shot,[],1630563,21.632720105124836,11.519607843137255,1610612759,49,67,2022-02-12T01:29:56Z,3130000,192.0,151.0,1,left,J. Primo 24' 3PT  (5 PTS) (D. Murray 10 AST),"[1630563, 1627749]",1610612759.0,SAS,,,,Primo,J. Primo,,,,,24.45,Made,,,,,,,5.0,,,,D. Murray,1627749.0,10.0,,,,,
323,PT01M05.00S,2022-02-12T01:30:08.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628381,92.85479632063075,50.49019607843137,1610612737,51,67,2022-02-12T01:30:13Z,3150000,2.0,15.0,1,right,J. Collins cutting Layup (4 PTS) (T. Young 5 AST),"[1628381, 1629027]",1610612737.0,ATL,cutting,,,Collins,J. Collins,,,,,1.49,Made,,,,,,,4.0,,,,T. Young,1629027.0,5.0,,,,,
325,PT00M44.40S,2022-02-12T01:30:30.4Z,2,REGULAR,2pt,Jump Shot,[],1627751,5.601182654402102,21.568627450980394,1610612759,51,67,2022-02-12T01:30:36Z,3170000,142.0,0.0,1,left,MISS J. Poeltl 14' floating Shot,[1627751],1610612759.0,SAS,floating,,,Poeltl,J. Poeltl,,,,,14.22,Missed,,,,,,,,,,,,,,,,,,
326,PT00M39.30S,2022-02-12T01:30:35.5Z,2,REGULAR,rebound,offensive,[],1627749,,,1610612759,51,67,2022-02-12T01:30:36Z,3180000,,,0,,D. Murray REBOUND (Off:1 Def:4),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,325.0,5.0,4.0,1.0,,,,,,,,,,,,
327,PT00M37.90S,2022-02-12T01:30:37.6Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1630563,30.831143232588698,66.17647058823529,1610612759,51,67,2022-02-12T01:30:43Z,3190000,-81.0,237.0,1,left,MISS J. Primo 25' 3PT,[1630563],1610612759.0,SAS,,,,Primo,J. Primo,,,,,25.07,Missed,,,,,,,,,,,,,,,,,,
328,PT00M33.70S,2022-02-12T01:30:41.8Z,2,REGULAR,rebound,defensive,[],203991,,,1610612737,51,67,2022-02-12T01:30:43Z,3200000,,,0,,C. Capela REBOUND (Off:3 Def:4),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,327.0,7.0,4.0,3.0,,,,,,,,,,,,
329,PT00M28.70S,2022-02-12T01:30:46.7Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1628989,96.40275952693824,4.901960784313726,1610612737,54,67,2022-02-12T01:35:02Z,3210000,-225.0,-19.0,1,right,K. Huerter 3PT  (5 PTS) (T. Young 6 AST),"[1628989, 1629027]",1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,22.63,Made,,,,,,,5.0,,,,T. Young,1629027.0,6.0,,,,,
331,PT00M12.70S,2022-02-12T01:31:05.4Z,2,REGULAR,3pt,Jump Shot,[],1629640,5.075558475689881,94.6078431372549,1610612759,54,70,2022-02-12T01:31:10Z,3230000,-223.0,-5.0,1,left,K. Johnson 3PT  (11 PTS) (J. Poeltl 2 AST),"[1629640, 1627751]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,22.31,Made,,,,,,,11.0,,,,J. Poeltl,1627751.0,2.0,,,,,
333,PT00M02.50S,2022-02-12T01:31:19.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,92.59198423127464,47.794117647058826,1610612737,56,70,2022-02-12T01:35:38Z,3250000,-11.0,17.0,1,right,T. Young driving finger roll Layup (6 PTS),[1629027],1610612737.0,ATL,driving finger roll,,,Young,T. Young,,,,,2.03,Made,,,,,,,6.0,,,,,,,,,,,
334,PT00M00.70S,2022-02-12T01:31:28.4Z,2,REGULAR,3pt,Jump Shot,[],1627751,54.61563731931669,10.53921568627451,1610612759,56,73,2022-02-12T01:32:34Z,3260000,197.0,461.0,1,left,J. Poeltl 50' 3PT pullup (9 PTS) (K. Johnson 4 AST),"[1627751, 1629640]",1610612759.0,SAS,pullup,,,Poeltl,J. Poeltl,,,,,50.14,Made,,,,,,,9.0,,,,K. Johnson,1629640.0,4.0,,,,,
336,PT00M00.00S,2022-02-12T01:31:47.7Z,2,REGULAR,period,end,[],0,,,1610612737,56,73,2022-02-12T01:31:47Z,3280000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,PT12M00.00S,2022-02-12T01:50:12.7Z,3,REGULAR,substitution,out,['startperiod'],1630563,,,1610612737,56,73,2022-02-12T01:50:39Z,3290000,,,0,,SUB out: J. Primo,[1630563],1610612759.0,SAS,,,,Primo,J. Primo,,,,,,,,,,,,,,,,,,,,,,,,
340,PT12M00.00S,2022-02-12T01:50:12.7Z,3,REGULAR,substitution,in,['startperiod'],1630170,,,1610612737,56,73,2022-02-12T01:50:39Z,3300000,,,0,,SUB in: D. Vassell,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,,,,,
341,PT12M00.00S,2022-02-12T01:51:05.4Z,3,REGULAR,period,start,[],0,,,1610612737,56,73,2022-02-12T01:51:05Z,3310000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,PT11M41.00S,2022-02-12T01:51:23.7Z,3,REGULAR,3pt,Jump Shot,[],1628381,8.360709592641262,95.58823529411765,1610612737,56,73,2022-02-12T02:23:04Z,3320000,-228.0,26.0,1,left,MISS J. Collins 3PT,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,22.94,Missed,,,,,,,,,,,,,,,,,,
343,PT11M38.00S,2022-02-12T01:51:26.7Z,3,REGULAR,rebound,defensive,[],1629640,,,1610612759,56,73,2022-02-12T02:23:04Z,3330000,,,0,,K. Johnson REBOUND (Off:1 Def:4),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,342.0,5.0,4.0,1.0,,,,,,,,,,,,
344,PT11M33.00S,2022-02-12T01:51:32.3Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1630170,92.9862023653088,4.6568627450980395,1610612759,56,76,2022-02-12T01:52:01Z,3340000,-227.0,13.0,1,right,D. Vassell 3PT running (14 PTS) (D. Murray 11 AST),"[1630170, 1627749]",1610612759.0,SAS,running,,,Vassell,D. Vassell,,,,,22.71,Made,,,,,,,14.0,,,,D. Murray,1627749.0,11.0,,,,,
346,PT11M17.00S,2022-02-12T01:51:47.1Z,3,REGULAR,2pt,Jump Shot,[],1629631,12.434296977660972,69.85294117647058,1610612737,56,76,2022-02-12T01:53:08Z,3360000,-99.0,64.0,1,left,MISS D. Hunter 11' step back Shot,[1629631],1610612737.0,ATL,step back,,,Hunter,D. Hunter,,,,,11.84,Missed,,,,,,,,,,,,,,,,,,
347,PT11M17.00S,2022-02-12T01:51:47.1Z,3,REGULAR,rebound,defensive,[],1630170,,,1610612759,56,76,2022-02-12T01:52:05Z,3370000,,,0,,D. Vassell REBOUND (Off:1 Def:1),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,346.0,2.0,1.0,1.0,,,,,,,,,,,,
348,PT11M11.00S,2022-02-12T01:51:56.0Z,3,REGULAR,foul,personal,['2freethrow'],1628381,,,1610612759,56,76,2022-02-12T01:52:19Z,3380000,,,0,,J. Collins shooting personal FOUL (3 PF) (Johnson 2 FT),"[1628381, 1629640]",1610612737.0,ATL,shooting,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,200832.0,3.0,0.0,Johnson,1629640.0
350,PT11M11.00S,2022-02-12T01:52:20.9Z,3,REGULAR,freethrow,1 of 2,['fastbreak'],1629640,,,1610612759,56,77,2022-02-12T01:52:20Z,3400000,,,0,,K. Johnson Free Throw 1 of 2 (12 PTS),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,Made,,,,,,,12.0,,,,,,,,,,,
351,PT11M11.00S,2022-02-12T01:52:32.9Z,3,REGULAR,freethrow,2 of 2,['fastbreak'],1629640,,,1610612759,56,78,2022-02-12T01:52:33Z,3410000,,,0,,K. Johnson Free Throw 2 of 2 (13 PTS),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,Made,,,,,,,13.0,,,,,,,,,,,
352,PT10M58.00S,2022-02-12T01:52:48.1Z,3,REGULAR,2pt,DUNK,['pointsinthepaint'],203991,5.732588699080158,50.49019607843137,1610612737,58,78,2022-02-12T01:52:53Z,3420000,-2.0,1.0,1,left,C. Capela alley-oop DUNK (13 PTS) (T. Young 7 AST),"[203991, 1629027]",1610612737.0,ATL,alley-oop,,,Capela,C. Capela,,,,,0.29,Made,,,,,,,13.0,,,,T. Young,1629027.0,7.0,,,,,
354,PT10M46.00S,2022-02-12T01:52:58.7Z,3,REGULAR,3pt,Jump Shot,[],1629640,95.87713534822602,95.83333333333334,1610612759,58,78,2022-02-12T01:54:48Z,3440000,229.0,-14.0,1,right,MISS K. Johnson 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,22.96,Missed,,,,,,,,,,,,,,,,,,
355,PT10M43.00S,2022-02-12T01:53:01.7Z,3,REGULAR,rebound,defensive,[],203991,,,1610612737,58,78,2022-02-12T01:53:06Z,3450000,,,0,,C. Capela REBOUND (Off:3 Def:5),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,354.0,8.0,5.0,3.0,,,,,,,,,,,,
356,PT10M31.00S,2022-02-12T01:53:13.7Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1628989,5.206964520367937,50.98039215686274,1610612737,58,78,2022-02-12T01:53:22Z,3460000,-5.0,-4.0,1,left,MISS K. Huerter driving Layup,[1628989],1610612737.0,ATL,driving,,,Huerter,K. Huerter,,,,,0.61,Missed,,,,,,,,,,,,,,,,,,
357,PT10M29.00S,2022-02-12T01:53:15.7Z,3,REGULAR,rebound,defensive,[],203926,,,1610612759,58,78,2022-02-12T01:55:27Z,3470000,,,0,,D. McDermott REBOUND (Off:0 Def:1),[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,356.0,1.0,1.0,0.0,,,,,,,,,,,,
358,PT10M27.00S,2022-02-12T01:53:24.6Z,3,REGULAR,foul,personal,[],1629027,,,1610612759,58,78,2022-02-12T01:54:18Z,3480000,,,0,,T. Young take personal FOUL (2 PF),"[1629027, 1627749]",1610612737.0,ATL,take,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,101283.0,2.0,0.0,Murray,1627749.0
360,PT10M22.00S,2022-02-12T01:53:48.7Z,3,REGULAR,foul,personal,['2freethrow'],1629631,,,1610612759,58,78,2022-02-12T01:54:10Z,3500000,,,0,,D. Hunter shooting personal FOUL (3 PF) (Murray 2 FT),"[1629631, 1627749]",1610612737.0,ATL,shooting,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,1628951.0,3.0,0.0,Murray,1627749.0
362,PT10M22.00S,2022-02-12T01:54:12.1Z,3,REGULAR,freethrow,1 of 2,[],1627749,,,1610612759,58,79,2022-02-12T01:54:12Z,3520000,,,0,,D. Murray Free Throw 1 of 2 (16 PTS),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,Made,,,,,,,16.0,,,,,,,,,,,
363,PT10M22.00S,2022-02-12T01:54:20.6Z,3,REGULAR,freethrow,2 of 2,[],1627749,,,1610612759,58,80,2022-02-12T01:54:20Z,3530000,,,0,,D. Murray Free Throw 2 of 2 (17 PTS),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,Made,,,,,,,17.0,,,,,,,,,,,
364,PT10M11.00S,2022-02-12T01:54:31.7Z,3,REGULAR,turnover,bad pass,[],1629027,,,1610612737,58,80,2022-02-12T01:54:47Z,3540000,,,0,,T. Young bad pass TURNOVER (4 TO),"[1629027, 1627749]",1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,4.0,Murray,1627749.0,,,,,,,,
365,PT10M11.00S,2022-02-12T01:54:31.7Z,3,REGULAR,steal,,[],1627749,,,1610612759,58,80,2022-02-12T01:54:34Z,3550000,,,0,,D. Murray STEAL (3 STL),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,
366,PT10M07.00S,2022-02-12T01:54:35.5Z,3,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630170,93.38042049934296,49.26470588235294,1610612759,58,82,2022-02-12T01:58:39Z,3560000,-4.0,10.0,1,right,D. Vassell running alley-oop DUNK (16 PTS) (K. Johnson 5 AST),"[1630170, 1629640]",1610612759.0,SAS,running alley-oop,,,Vassell,D. Vassell,,,,,1.04,Made,,,,,,,16.0,,,,K. Johnson,1629640.0,5.0,,,,,
368,PT10M07.00S,2022-02-12T01:54:40.7Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,58,82,2022-02-12T01:54:40Z,3580000,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,PT09M47.00S,2022-02-12T01:57:49.6Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,8.360709592641262,39.21568627450981,1610612737,58,82,2022-02-12T01:59:47Z,3590000,54.0,26.0,1,left,MISS T. Young driving floating Shot,[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,5.99,Missed,,,,,,,,,,,,,,,,,,
370,PT09M44.00S,2022-02-12T01:57:52.6Z,3,REGULAR,rebound,offensive,[],1629027,,,1610612737,58,82,2022-02-12T01:57:56Z,3600000,,,0,,T. Young REBOUND (Off:1 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,369.0,2.0,1.0,1.0,,,,,,,,,,,,
