actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
578,PT00M01.90S,2025-01-30T05:10:35.3Z,3,REGULAR,2pt,Jump Shot,[],1628983,5.995400788436268,18.627450980392158,1610612760,84,84,2025-01-30T05:11:20Z,5510000,False,157.0,4.0,1,left,MISS S. Gilgeous-Alexander 15' step back Shot,[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Right,,,,,,15.69,Missed,,,,,,,,,,,,,
579,PT00M00.10S,2025-01-30T05:10:37.1Z,3,REGULAR,rebound,offensive,['team'],0,,,1610612760,84,84,2025-01-30T05:11:20Z,5520000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,,,,578.0,,,,,,,,,,
580,PT00M00.00S,2025-01-30T05:10:40.5Z,3,REGULAR,period,end,[],0,,,1610612760,84,84,2025-01-30T05:10:40Z,5530000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,PT12M00.00S,2025-01-30T05:12:32.5Z,4,REGULAR,substitution,out,['startperiod'],203937,,,1610612760,84,84,2025-01-30T05:14:12Z,5540000,False,,,0,,SUB out: K. Anderson,[203937],1610612744.0,GSW,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
582,PT12M00.00S,2025-01-30T05:12:32.5Z,4,REGULAR,substitution,out,['startperiod'],203471,,,1610612760,84,84,2025-01-30T05:14:12Z,5550000,False,,,0,,SUB out: D. Schröder,[203471],1610612744.0,GSW,,,,Schröder,D. Schröder,,,,,,,,,,,,,,,,,,,,,,,,,,
583,PT12M00.00S,2025-01-30T05:12:32.5Z,4,REGULAR,substitution,out,['startperiod'],203952,,,1610612760,84,84,2025-01-30T05:14:12Z,5560000,False,,,0,,SUB out: A. Wiggins,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
584,PT12M00.00S,2025-01-30T05:12:32.5Z,4,REGULAR,substitution,out,['startperiod'],1628983,,,1610612760,84,84,2025-01-30T05:14:12Z,5570000,False,,,0,,SUB out: S. Gilgeous-Alexander,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,,,
585,PT12M00.00S,2025-01-30T05:12:32.5Z,4,REGULAR,substitution,out,['startperiod'],1629652,,,1610612760,84,84,2025-01-30T05:14:12Z,5580000,False,,,0,,SUB out: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,,
586,PT12M00.00S,2025-01-30T05:12:32.5Z,4,REGULAR,substitution,out,['startperiod'],1629026,,,1610612760,84,84,2025-01-30T05:14:12Z,5590000,False,,,0,,SUB out: K. Williams,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
587,PT12M00.00S,2025-01-30T05:12:32.5Z,4,REGULAR,substitution,in,['startperiod'],1626172,,,1610612760,84,84,2025-01-30T05:14:12Z,5600000,False,,,0,,SUB in: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,,
588,PT12M00.00S,2025-01-30T05:12:32.5Z,4,REGULAR,substitution,in,['startperiod'],1627780,,,1610612760,84,84,2025-01-30T05:14:12Z,5610000,False,,,0,,SUB in: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,,
589,PT12M00.00S,2025-01-30T05:12:32.5Z,4,REGULAR,substitution,in,['startperiod'],201939,,,1610612760,84,84,2025-01-30T05:14:12Z,5620000,False,,,0,,SUB in: S. Curry,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,,
590,PT12M00.00S,2025-01-30T05:12:32.5Z,4,REGULAR,substitution,in,['startperiod'],1631114,,,1610612760,84,84,2025-01-30T05:14:12Z,5630000,False,,,0,,SUB in: J. Williams,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
591,PT12M00.00S,2025-01-30T05:12:32.5Z,4,REGULAR,substitution,in,['startperiod'],1630198,,,1610612760,84,84,2025-01-30T05:14:12Z,5640000,False,,,0,,SUB in: I. Joe,[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,,,,,,,,,
592,PT12M00.00S,2025-01-30T05:12:32.5Z,4,REGULAR,substitution,in,['startperiod'],1628392,,,1610612760,84,84,2025-01-30T05:14:12Z,5650000,False,,,0,,SUB in: I. Hartenstein,[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,,,,,,,,,
593,PT12M00.00S,2025-01-30T05:14:16.4Z,4,REGULAR,period,start,[],0,,,1610612760,84,84,2025-01-30T05:14:16Z,5660000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,PT11M44.00S,2025-01-30T05:14:31.4Z,4,REGULAR,3pt,Jump Shot,[],1631114,25.18068331143233,8.823529411764707,1610612760,84,84,2025-01-30T05:14:35Z,5670000,False,206.0,184.0,1,left,MISS J. Williams 27' 3PT,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,27.63,Missed,,,,,,,,,,,,,
595,PT11M40.00S,2025-01-30T05:14:35.4Z,4,REGULAR,rebound,offensive,[],1641717,,,1610612760,84,84,2025-01-30T05:20:36Z,5680000,False,,,0,,C. Wallace REBOUND (Off:1 Def:1),[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,594.0,2.0,1.0,1.0,,,,,,,
596,PT11M39.00S,2025-01-30T05:14:36.3Z,4,REGULAR,3pt,Jump Shot,['2ndchance'],1630598,33.459264126149804,46.81372549019608,1610612760,84,84,2025-01-30T05:14:39Z,5690000,False,16.0,262.0,1,left,MISS A. Wiggins 26' 3PT,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Center,,,,,,26.25,Missed,,,,,,,,,,,,,
597,PT11M37.00S,2025-01-30T05:14:38.3Z,4,REGULAR,rebound,defensive,[],1641764,,,1610612744,84,84,2025-01-30T05:14:39Z,5700000,False,,,0,,B. Podziemski REBOUND (Off:1 Def:1),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Above the Break 3,24+ Center,,,,,,,,,,596.0,2.0,1.0,1.0,,,,,,,
598,PT11M29.00S,2025-01-30T05:14:46.5Z,4,REGULAR,3pt,Jump Shot,[],1630541,68.15045992115637,70.58823529411765,1610612744,84,84,2025-01-30T05:14:55Z,5710000,False,103.0,247.0,1,right,MISS M. Moody 26' pullup 3PT,[1630541],1610612744.0,GSW,pullup,,,Moody,M. Moody,,,,,Above the Break 3,24+ Right Center,,,,,,26.75,Missed,,,,,,,,,,,,,
599,PT11M27.00S,2025-01-30T05:14:48.5Z,4,REGULAR,rebound,offensive,['team'],0,,,1610612744,84,84,2025-01-30T05:14:55Z,5720000,False,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,598.0,,,,,,,,,,
601,PT11M13.00S,2025-01-30T05:15:14.2Z,4,REGULAR,2pt,Jump Shot,['2ndchance'],1626172,83.26215505913272,22.794117647058822,1610612744,84,84,2025-01-30T05:15:20Z,5740000,False,-136.0,105.0,1,right,MISS K. Looney 17' turnaround fadeaway Shot,[1626172],1610612744.0,GSW,turnaround fadeaway,,,Looney,K. Looney,,,,,Mid-Range,16-24 Left Center,,,,,,17.17,Missed,,,,,,,,,,,,,
602,PT11M10.00S,2025-01-30T05:15:17.2Z,4,REGULAR,rebound,offensive,[],1630541,,,1610612744,84,84,2025-01-30T05:15:20Z,5750000,False,,,0,,M. Moody REBOUND (Off:1 Def:0),[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,601.0,1.0,0.0,1.0,,,,,,,
603,PT11M04.00S,2025-01-30T05:15:23.1Z,4,REGULAR,3pt,Jump Shot,['2ndchance'],201939,62.71353482260184,28.209252450980394,1610612744,87,84,2025-01-30T05:15:29Z,5760000,False,-109.0,298.0,1,right,S. Curry 31' 3PT  (15 PTS) (K. Looney 2 AST),"[201939, 1626172]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,,,,,,31.73,Made,,,,,,,15.0,,,,K. Looney,1626172.0,2.0
605,PT10M44.00S,2025-01-30T05:15:42.7Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1628392,6.915243101182654,43.38235294117647,1610612760,87,86,2025-01-30T05:15:46Z,5780000,False,33.0,13.0,1,left,I. Hartenstein alley-oop Layup (4 PTS) (C. Wallace 2 AST),"[1628392, 1641717]",1610612760.0,OKC,alley-oop,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,,,,,,3.54,Made,,,,,,,4.0,,,,C. Wallace,1641717.0,2.0
607,PT10M37.00S,2025-01-30T05:15:50.1Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1627780,92.72339027595268,45.588235294117645,1610612744,89,86,2025-01-30T05:15:53Z,5800000,False,-22.0,16.0,1,right,G. Payton II cutting Layup (11 PTS) (B. Podziemski 3 AST),"[1627780, 1641764]",1610612744.0,GSW,cutting,,,Payton II,G. Payton II,,,,,Restricted Area,0-8 Center,,,,,,2.72,Made,,,,,,,11.0,,,,B. Podziemski,1641764.0,3.0
609,PT10M23.00S,2025-01-30T05:16:03.7Z,4,REGULAR,3pt,Jump Shot,[],1630198,28.728646517739815,21.323529411764707,1610612760,89,86,2025-01-30T05:17:36Z,5820000,False,143.0,218.0,1,left,MISS I. Joe 26' pullup 3PT,[1630198],1610612760.0,OKC,pullup,,,Joe,I. Joe,,,,,Above the Break 3,24+ Right Center,,,,,,26.05,Missed,,,,,,,,,,,,,
610,PT10M20.00S,2025-01-30T05:16:06.7Z,4,REGULAR,rebound,offensive,[],1628392,,,1610612760,89,86,2025-01-30T05:16:10Z,5830000,False,,,0,,I. Hartenstein REBOUND (Off:5 Def:11),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,609.0,16.0,11.0,5.0,,,,,,,
611,PT10M18.00S,2025-01-30T05:16:08.7Z,4,REGULAR,3pt,Jump Shot,['2ndchance'],1630598,24.26084099868594,87.5,1610612760,89,86,2025-01-30T05:16:15Z,5840000,False,-188.0,176.0,1,left,MISS A. Wiggins 25' 3PT,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Left Center,,,,,,25.69,Missed,,,,,,,,,,,,,
612,PT10M15.00S,2025-01-30T05:16:11.7Z,4,REGULAR,rebound,offensive,[],1628392,,,1610612760,89,86,2025-01-30T05:16:15Z,5850000,False,,,0,,I. Hartenstein REBOUND (Off:6 Def:11),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,611.0,17.0,11.0,6.0,,,,,,,
613,PT10M12.00S,2025-01-30T05:16:14.2Z,4,REGULAR,3pt,Jump Shot,['2ndchance'],1630198,32.802233902759525,25.245098039215684,1610612760,89,89,2025-01-30T05:16:18Z,5860000,False,124.0,256.0,1,left,I. Joe 28' 3PT  (17 PTS) (I. Hartenstein 6 AST),"[1630198, 1628392]",1610612760.0,OKC,,,,Joe,I. Joe,,,,,Above the Break 3,24+ Right Center,,,,,,28.42,Made,,,,,,,17.0,,,,I. Hartenstein,1628392.0,6.0
615,PT09M55.00S,2025-01-30T05:16:35.7Z,4,REGULAR,foul,offensive,[],1627780,,,1610612744,89,89,2025-01-30T05:16:42Z,5880000,False,,,0,,G. Payton II charge offensive FOUL (3 PF),"[1627780, 1630198]",1610612744.0,GSW,charge,,,Payton II,G. Payton II,,,,,In The Paint (Non-RA),0-8 Center,101284.0,3.0,0.0,Joe,1630198.0,,,,,,,,,,,,,,,
617,PT09M55.00S,2025-01-30T05:16:35.7Z,4,REGULAR,turnover,offensive foul,[],1627780,,,1610612744,89,89,2025-01-30T05:16:35Z,5900000,False,,,0,,G. Payton II offensive foul TURNOVER (3 TO),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,In The Paint (Non-RA),0-8 Center,101284.0,,,,,,,,,,,,,,3.0,,,,,
618,PT09M55.00S,2025-01-30T05:16:42.1Z,4,REGULAR,substitution,out,[],1630598,,,1610612760,89,89,2025-01-30T05:16:45Z,5910000,False,,,0,,SUB out: A. Wiggins,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
619,PT09M55.00S,2025-01-30T05:16:42.1Z,4,REGULAR,substitution,in,[],1628983,,,1610612760,89,89,2025-01-30T05:16:45Z,5920000,False,,,0,,SUB in: S. Gilgeous-Alexander,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,,,
620,PT09M38.00S,2025-01-30T05:17:10.1Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631114,7.046649145860711,43.13725490196079,1610612760,89,91,2025-01-30T05:17:12Z,5930000,False,34.0,14.0,1,left,J. Williams driving Layup (17 PTS),[1631114],1610612760.0,OKC,driving,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,,,,,,3.69,Made,,,,,,,17.0,,,,,,
621,PT09M37.00S,2025-01-30T05:17:14.6Z,4,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,89,91,2025-01-30T05:17:14Z,5940000,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,PT09M23.00S,2025-01-30T05:21:03.4Z,4,REGULAR,3pt,Jump Shot,[],201939,63.39931011826544,16.934742647058822,1610612744,92,91,2025-01-30T05:21:18Z,5950000,False,-165.0,292.0,1,right,S. Curry 33' 3PT  (18 PTS) (G. Payton II 2 AST),"[201939, 1627780]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,,,,,,33.51,Made,,,,,,,18.0,,,,G. Payton II,1627780.0,2.0
624,PT09M00.00S,2025-01-30T05:21:26.2Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631114,18.610381077529567,39.950980392156865,1610612760,92,93,2025-01-30T05:22:34Z,5970000,False,50.0,122.0,1,left,J. Williams 13' pullup Jump Shot (19 PTS),[1631114],1610612760.0,OKC,pullup,,,Williams,J. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,,,,13.23,Made,,,,,,,19.0,,,,,,
625,PT08M44.00S,2025-01-30T05:21:41.7Z,4,REGULAR,3pt,Jump Shot,[],201939,68.15045992115637,19.607843137254903,1610612744,92,93,2025-01-30T05:21:50Z,5980000,False,-152.0,247.0,1,right,MISS S. Curry 28' step back 3PT,[201939],1610612744.0,GSW,step back,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,,,,,,28.99,Missed,,,,,,,,,,,,,
626,PT08M41.00S,2025-01-30T05:21:44.7Z,4,REGULAR,rebound,offensive,[],1630541,,,1610612744,92,93,2025-01-30T05:21:50Z,5990000,False,,,0,,M. Moody REBOUND (Off:2 Def:0),[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,625.0,2.0,0.0,2.0,,,,,,,
627,PT08M37.00S,2025-01-30T05:21:49.4Z,4,REGULAR,turnover,lost ball,[],1630541,,,1610612744,92,93,2025-01-30T05:22:06Z,6000000,False,,,0,,M. Moody lost ball TURNOVER (1 TO),"[1630541, 1628983]",1610612744.0,GSW,,,,Moody,M. Moody,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,1.0,Gilgeous-Alexander,1628983.0,,,
628,PT08M37.00S,2025-01-30T05:21:49.4Z,4,REGULAR,steal,,[],1628983,,,1610612760,92,93,2025-01-30T05:21:52Z,6010000,False,,,0,,S. Gilgeous-Alexander STEAL (1 STL),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
629,PT08M29.00S,2025-01-30T05:22:02.4Z,4,REGULAR,turnover,out-of-bounds,[],1630198,,,1610612760,92,93,2025-01-30T05:22:11Z,6020000,False,,,0,,I. Joe lost ball out-of-bounds TURNOVER (1 TO),[1630198],1610612760.0,OKC,lost ball,,,Joe,I. Joe,,,,,Mid-Range,16-24 Left Center,101284.0,,,,,,,,,,,,,,1.0,,,,,
630,PT08M18.00S,2025-01-30T05:22:23.0Z,4,REGULAR,foul,personal,['2freethrow'],1641717,,,1610612744,92,93,2025-01-30T05:22:31Z,6030000,False,,,0,,C. Wallace shooting personal FOUL (2 PF) (Looney 2 FT),"[1641717, 1626172]",1610612760.0,OKC,shooting,,,Wallace,C. Wallace,,,,,Restricted Area,0-8 Center,101284.0,2.0,0.0,Looney,1626172.0,,,,,,,,,,,,,,,
632,PT08M18.00S,2025-01-30T05:22:52.4Z,4,REGULAR,freethrow,1 of 2,['fromturnover'],1626172,,,1610612744,93,93,2025-01-30T05:22:52Z,6050000,False,,,0,,K. Looney Free Throw 1 of 2 (15 PTS),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,Made,,,,,,,15.0,,,,,,
633,PT08M18.00S,2025-01-30T05:22:53.0Z,4,REGULAR,substitution,out,[],1630541,,,1610612744,93,93,2025-01-30T05:23:17Z,6060000,False,,,0,,SUB out: M. Moody,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,,,,,,,,,,,,,,,,,,,,,,
634,PT08M18.00S,2025-01-30T05:22:53.0Z,4,REGULAR,substitution,out,[],201939,,,1610612744,93,93,2025-01-30T05:23:17Z,6070000,False,,,0,,SUB out: S. Curry,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,,
635,PT08M18.00S,2025-01-30T05:22:53.0Z,4,REGULAR,substitution,out,[],1641717,,,1610612744,93,93,2025-01-30T05:23:17Z,6080000,False,,,0,,SUB out: C. Wallace,[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,
636,PT08M18.00S,2025-01-30T05:22:53.0Z,4,REGULAR,substitution,in,[],203952,,,1610612744,93,93,2025-01-30T05:23:17Z,6090000,False,,,0,,SUB in: A. Wiggins,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
637,PT08M18.00S,2025-01-30T05:22:53.0Z,4,REGULAR,substitution,in,[],203471,,,1610612744,93,93,2025-01-30T05:23:17Z,6100000,False,,,0,,SUB in: D. Schröder,[203471],1610612744.0,GSW,,,,Schröder,D. Schröder,,,,,,,,,,,,,,,,,,,,,,,,,,
638,PT08M18.00S,2025-01-30T05:22:53.0Z,4,REGULAR,substitution,in,[],1629652,,,1610612744,93,93,2025-01-30T05:23:17Z,6110000,False,,,0,,SUB in: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,,
639,PT08M18.00S,2025-01-30T05:23:22.5Z,4,REGULAR,substitution,out,[],1628392,,,1610612744,93,93,2025-01-30T05:23:25Z,6120000,False,,,0,,SUB out: I. Hartenstein,[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,,,,,,,,,
640,PT08M18.00S,2025-01-30T05:23:22.5Z,4,REGULAR,substitution,in,[],1631119,,,1610612744,93,93,2025-01-30T05:23:25Z,6130000,False,,,0,,SUB in: J. Williams,[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
641,PT08M18.00S,2025-01-30T05:23:41.9Z,4,REGULAR,freethrow,2 of 2,['fromturnover'],1626172,,,1610612744,94,93,2025-01-30T05:23:41Z,6140000,False,,,0,,K. Looney Free Throw 2 of 2 (16 PTS),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,Made,,,,,,,16.0,,,,,,
642,PT08M00.00S,2025-01-30T05:24:00.6Z,4,REGULAR,3pt,Jump Shot,[],1631119,9.017739816031538,3.431372549019608,1610612760,94,93,2025-01-30T05:24:11Z,6150000,False,233.0,32.0,1,left,MISS J. Williams 3PT,[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Right Corner 3,24+ Right,,,,,,23.5,Missed,,,,,,,,,,,,,
643,PT07M56.00S,2025-01-30T05:24:04.6Z,4,REGULAR,rebound,offensive,[],1631119,,,1610612760,94,93,2025-01-30T05:24:11Z,6160000,False,,,0,,J. Williams REBOUND (Off:1 Def:4),[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Right Corner 3,24+ Right,,,,,,,,,,642.0,5.0,4.0,1.0,,,,,,,
644,PT07M55.00S,2025-01-30T05:24:05.7Z,4,REGULAR,2pt,Jump Shot,['2ndchance'],1631114,22.552562417871222,62.00980392156863,1610612760,94,93,2025-01-30T05:24:13Z,6170000,False,-60.0,159.0,1,left,MISS J. Williams 17' pullup Shot,[1631114],1610612760.0,OKC,pullup,,,Williams,J. Williams,,,,,Mid-Range,16-24 Left Center,,,,,,17.04,Missed,,,,,,,,,,,,,
645,PT07M50.00S,2025-01-30T05:24:10.7Z,4,REGULAR,rebound,defensive,[],1641764,,,1610612744,94,93,2025-01-30T05:24:13Z,6180000,False,,,0,,B. Podziemski REBOUND (Off:1 Def:2),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,644.0,3.0,2.0,1.0,,,,,,,
646,PT07M40.00S,2025-01-30T05:24:20.2Z,4,REGULAR,3pt,Jump Shot,[],203471,73.53810775295663,82.59803921568627,1610612744,94,93,2025-01-30T05:24:25Z,6190000,False,163.0,196.0,1,right,MISS D. Schröder 25' 3PT,[203471],1610612744.0,GSW,,,,Schröder,D. Schröder,,,,,Above the Break 3,24+ Right Center,,,,,,25.51,Missed,,,,,,,,,,,,,
647,PT07M36.00S,2025-01-30T05:24:24.2Z,4,REGULAR,rebound,defensive,[],1631119,,,1610612760,94,93,2025-01-30T05:24:25Z,6200000,False,,,0,,J. Williams REBOUND (Off:1 Def:5),[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,646.0,6.0,5.0,1.0,,,,,,,
648,PT07M32.00S,2025-01-30T05:24:27.8Z,4,REGULAR,3pt,Jump Shot,['fastbreak'],1630198,11.12023653088042,97.54901960784314,1610612760,94,93,2025-01-30T05:24:33Z,6210000,False,-238.0,52.0,1,left,MISS I. Joe 24' running 3PT,[1630198],1610612760.0,OKC,running,,,Joe,I. Joe,,,,,Left Corner 3,24+ Left,,,,,,24.33,Missed,,,,,,,,,,,,,
649,PT07M29.00S,2025-01-30T05:24:30.8Z,4,REGULAR,rebound,defensive,[],1641764,,,1610612744,94,93,2025-01-30T05:24:33Z,6220000,False,,,0,,B. Podziemski REBOUND (Off:1 Def:3),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Left Corner 3,24+ Left,,,,,,,,,,648.0,4.0,3.0,1.0,,,,,,,
650,PT07M08.00S,2025-01-30T05:24:52.0Z,4,REGULAR,turnover,lost ball,[],203952,,,1610612744,94,93,2025-01-30T05:24:54Z,6230000,False,,,0,,A. Wiggins lost ball TURNOVER (2 TO),"[203952, 1631114]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,2.0,Williams,1631114.0,,,
651,PT07M08.00S,2025-01-30T05:24:52.0Z,4,REGULAR,steal,,[],1631114,,,1610612760,94,93,2025-01-30T05:24:53Z,6240000,False,,,0,,J. Williams STEAL (2 STL),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
652,PT06M54.00S,2025-01-30T05:25:06.3Z,4,REGULAR,3pt,Jump Shot,['fromturnover'],1629652,27.151773981603156,12.5,1610612760,94,93,2025-01-30T05:25:13Z,6250000,False,188.0,203.0,1,left,MISS L. Dort 27' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Right Center,,,,,,27.61,Missed,,,,,,,,,,,,,
653,PT06M50.00S,2025-01-30T05:25:10.3Z,4,REGULAR,rebound,offensive,[],1631114,,,1610612760,94,93,2025-01-30T05:25:13Z,6260000,False,,,0,,J. Williams REBOUND (Off:2 Def:5),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,652.0,7.0,5.0,2.0,,,,,,,
654,PT06M49.00S,2025-01-30T05:25:11.3Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1631114,9.017739816031538,40.931372549019606,1610612760,94,93,2025-01-30T05:25:15Z,6270000,False,45.0,32.0,1,left,MISS J. Williams putback Layup,[1631114],1610612760.0,OKC,putback,,,Williams,J. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,5.56,Missed,,,,,,,,,,,,,
655,PT06M49.00S,2025-01-30T05:25:11.3Z,4,REGULAR,rebound,defensive,[],1626172,,,1610612744,94,93,2025-01-30T05:25:15Z,6280000,False,,,0,,K. Looney REBOUND (Off:0 Def:3),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,654.0,3.0,3.0,0.0,,,,,,,
656,PT06M44.00S,2025-01-30T05:25:16.6Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1641764,93.38042049934296,45.34313725490196,1610612744,96,93,2025-01-30T05:25:19Z,6290000,False,-23.0,10.0,1,right,B. Podziemski running Layup (9 PTS) (G. Payton II 3 AST),"[1641764, 1627780]",1610612744.0,GSW,running,,,Podziemski,B. Podziemski,,,,,Restricted Area,0-8 Center,,,,,,2.52,Made,,,,,,,9.0,,,,G. Payton II,1627780.0,3.0
658,PT06M28.00S,2025-01-30T05:25:31.8Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,12.302890932982917,47.794117647058826,1610612760,96,93,2025-01-30T05:26:09Z,6310000,False,11.0,63.0,1,left,MISS S. Gilgeous-Alexander 6' driving Layup - blocked,"[1628983, 1626172]",1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.41,Missed,Looney,1626172.0,,,,,,,,,,,
