actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
347,PT10M07.00S,2024-12-14T01:26:24.8Z,3,REGULAR,2pt,Hook,['pointsinthepaint'],1630169,8.459264126149804,50.245098039215684,1610612754,53,67,2024-12-14T01:26:28Z,3430000,False,-1.0,27.0,1,left,T. Haliburton driving Hook (21 PTS),[1630169],1610612754.0,IND,driving,,,,,,Restricted Area,0-8 Center,2.7,Made,21.0,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,
348,PT09M55.00S,2024-12-14T01:26:36.4Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,95.71287779237845,55.3921568627451,1610612755,55,67,2024-12-14T01:26:41Z,3440000,False,27.0,-12.0,1,right,T. Maxey driving Layup (17 PTS),[1630178],1610612755.0,PHI,driving,,,,,,Restricted Area,0-8 Center,2.96,Made,17.0,Maxey,T. Maxey,,,,,,,,,,,,,,,,,
349,PT09M44.00S,2024-12-14T01:26:50.4Z,3,REGULAR,foul,personal,[],1642272,,,1610612754,55,67,2024-12-14T01:26:57Z,3450000,False,,,0,,J. McCain personal FOUL (2 PF),"[1642272, 1626167]",1610612755.0,PHI,,,,,,,In The Paint (Non-RA),0-8 Center,,,,McCain,J. McCain,,,,,,,,203591.0,,2.0,0.0,Turner,1626167.0,,,,
351,PT09M41.00S,2024-12-14T01:27:14.6Z,3,REGULAR,3pt,Jump Shot,[],1629614,7.013797634691201,4.166666666666657,1610612754,55,67,2024-12-14T01:27:19Z,3470000,False,229.0,13.0,1,left,MISS A. Nembhard 3PT,[1629614],1610612754.0,IND,,,,,,,Right Corner 3,24+ Right,22.96,Missed,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,,
352,PT09M37.00S,2024-12-14T01:27:18.6Z,3,REGULAR,rebound,defensive,[],202331,,,1610612755,55,67,2024-12-14T01:27:19Z,3480000,False,,,0,,P. George REBOUND (Off:0 Def:4),[202331],1610612755.0,PHI,,,,,,,Right Corner 3,24+ Right,,,,George,P. George,,,,351.0,4.0,4.0,0.0,,,,,,,,,,
353,PT09M27.00S,2024-12-14T01:27:30.1Z,3,REGULAR,foul,personal,['2freethrow'],1626167,,,1610612755,55,67,2024-12-14T01:27:38Z,3490000,False,,,0,,M. Turner shooting personal FOUL (4 PF) (Yabusele 2 FT),"[1626167, 1627824]",1610612754.0,IND,shooting,,,,,,Restricted Area,0-8 Center,,,,Turner,M. Turner,,,,,,,,1627539.0,,4.0,0.0,Yabusele,1627824.0,,,,
355,PT09M27.00S,2024-12-14T01:28:01.2Z,3,REGULAR,freethrow,1 of 2,[],1627824,,,1610612755,56,67,2024-12-14T01:28:01Z,3510000,False,,,0,,G. Yabusele Free Throw 1 of 2 (3 PTS),[1627824],1610612755.0,PHI,,,,,,,,,,Made,3.0,Yabusele,G. Yabusele,,,,,,,,,,,,,,,,,
356,PT09M27.00S,2024-12-14T01:28:02.3Z,3,REGULAR,substitution,out,[],1626167,,,1610612755,56,67,2024-12-14T01:28:06Z,3520000,False,,,0,,SUB out: M. Turner,[1626167],1610612754.0,IND,,,,,,,,,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,
357,PT09M27.00S,2024-12-14T01:28:02.3Z,3,REGULAR,substitution,in,[],1630167,,,1610612755,56,67,2024-12-14T01:28:06Z,3530000,False,,,0,,SUB in: O. Toppin,[1630167],1610612754.0,IND,,,,,,,,,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,
358,PT09M27.00S,2024-12-14T01:28:26.1Z,3,REGULAR,freethrow,2 of 2,[],1627824,,,1610612755,57,67,2024-12-14T01:28:26Z,3540000,False,,,0,,G. Yabusele Free Throw 2 of 2 (4 PTS),[1627824],1610612755.0,PHI,,,,,,,,,,Made,4.0,Yabusele,G. Yabusele,,,,,,,,,,,,,,,,,
359,PT09M12.00S,2024-12-14T01:28:44.5Z,3,REGULAR,foul,personal,['2freethrow'],1642272,,,1610612754,57,67,2024-12-14T01:28:56Z,3550000,False,,,0,,J. McCain shooting personal FOUL (3 PF) (Mathurin 2 FT),"[1642272, 1631097]",1610612755.0,PHI,shooting,,,,,,Restricted Area,0-8 Center,,,,McCain,J. McCain,,,,,,,,1627534.0,,3.0,0.0,Mathurin,1631097.0,,,,
361,PT09M12.00S,2024-12-14T01:29:09.0Z,3,REGULAR,freethrow,1 of 2,[],1631097,,,1610612754,57,68,2024-12-14T01:29:09Z,3570000,False,,,0,,B. Mathurin Free Throw 1 of 2 (8 PTS),[1631097],1610612754.0,IND,,,,,,,,,,Made,8.0,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,
362,PT09M12.00S,2024-12-14T01:29:28.7Z,3,REGULAR,freethrow,2 of 2,[],1631097,,,1610612754,57,69,2024-12-14T01:29:28Z,3580000,False,,,0,,B. Mathurin Free Throw 2 of 2 (9 PTS),[1631097],1610612754.0,IND,,,,,,,,,,Made,9.0,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,
363,PT08M54.00S,2024-12-14T01:29:48.8Z,3,REGULAR,3pt,Jump Shot,[],1626162,66.67214191852825,41.17647058823529,1610612755,57,69,2024-12-14T01:29:53Z,3590000,False,-44.0,261.0,1,right,MISS K. Oubre Jr. 26' 3PT,[1626162],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Center,26.45,Missed,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,
364,PT08M51.00S,2024-12-14T01:29:51.8Z,3,REGULAR,rebound,defensive,[],1629614,,,1610612754,57,69,2024-12-14T01:29:53Z,3600000,False,,,0,,A. Nembhard REBOUND (Off:0 Def:1),[1629614],1610612754.0,IND,,,,,,,Above the Break 3,24+ Center,,,,Nembhard,A. Nembhard,,,,363.0,1.0,1.0,0.0,,,,,,,,,,
365,PT08M46.00S,2024-12-14T01:29:55.9Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630167,7.670827858081481,52.69607843137255,1610612754,57,69,2024-12-14T01:30:02Z,3610000,False,-13.0,20.0,1,left,MISS O. Toppin running Layup,[1630167],1610612754.0,IND,running,,,,,,Restricted Area,0-8 Center,2.38,Missed,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,
366,PT08M45.00S,2024-12-14T01:29:56.9Z,3,REGULAR,rebound,defensive,[],1627824,,,1610612755,57,69,2024-12-14T01:30:02Z,3620000,False,,,0,,G. Yabusele REBOUND (Off:0 Def:1),[1627824],1610612755.0,PHI,,,,,,,Restricted Area,0-8 Center,,,,Yabusele,G. Yabusele,,,,365.0,1.0,1.0,0.0,,,,,,,,,,
367,PT08M37.00S,2024-12-14T01:30:04.7Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,94.13600525624179,58.33333333333333,1610612755,57,69,2024-12-14T01:31:02Z,3630000,False,42.0,3.0,1,right,MISS T. Maxey driving Layup,[1630178],1610612755.0,PHI,driving,,,,,,Restricted Area,0-8 Center,4.18,Missed,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,
368,PT08M35.00S,2024-12-14T01:30:06.7Z,3,REGULAR,rebound,offensive,[],1626162,,,1610612755,57,69,2024-12-14T01:33:33Z,3640000,False,,,0,,K. Oubre Jr. REBOUND (Off:2 Def:6),[1626162],1610612755.0,PHI,,,,,,,Restricted Area,0-8 Center,,,,Oubre Jr.,K. Oubre Jr.,,,,367.0,8.0,6.0,2.0,,,,,,,,,,
369,PT08M35.00S,2024-12-14T01:30:09.2Z,3,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1626162,94.40999984741211,50.0,1610612755,59,69,2024-12-14T01:33:38Z,3650000,False,0.0,0.0,1,right,K. Oubre Jr. tip DUNK (6 PTS),[1626162],1610612755.0,PHI,tip,,,,,,Restricted Area,0-8 Center,0.0,Made,6.0,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,
370,PT08M22.00S,2024-12-14T01:30:21.5Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1631097,6.619579500657039,50.49019607843137,1610612754,59,71,2024-12-14T01:30:28Z,3660000,False,-2.0,10.0,1,left,B. Mathurin cutting Layup (11 PTS) (P. Siakam 3 AST),"[1631097, 1627783]",1610612754.0,IND,cutting,,,,,,Restricted Area,0-8 Center,1.0,Made,11.0,Mathurin,B. Mathurin,P. Siakam,1627783.0,3.0,,,,,,,,,,,,,,
372,PT08M06.00S,2024-12-14T01:30:35.9Z,3,REGULAR,3pt,Jump Shot,[],1630178,78.89290407358739,8.57843137254902,1610612755,62,71,2024-12-14T01:30:40Z,3680000,False,-207.0,146.0,1,right,T. Maxey 25' 3PT  (20 PTS) (K. Oubre Jr. 1 AST),"[1630178, 1626162]",1610612755.0,PHI,,,,,,,Above the Break 3,24+ Left Center,25.33,Made,20.0,Maxey,T. Maxey,K. Oubre Jr.,1626162.0,1.0,,,,,,,,,,,,,,
374,PT07M55.00S,2024-12-14T01:30:47.3Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630167,7.933639947437584,49.26470588235294,1610612754,62,73,2024-12-14T01:30:52Z,3700000,False,4.0,22.0,1,left,O. Toppin driving finger roll Layup (13 PTS) (T. Haliburton 9 AST),"[1630167, 1630169]",1610612754.0,IND,driving finger roll,,,,,,Restricted Area,0-8 Center,2.24,Made,13.0,Toppin,O. Toppin,T. Haliburton,1630169.0,9.0,,,,,,,,,,,,,,
376,PT07M38.00S,2024-12-14T01:31:05.5Z,3,REGULAR,turnover,bad pass,[],202331,,,1610612755,62,73,2024-12-14T01:31:10Z,3720000,False,,,0,,P. George bad pass TURNOVER (2 TO),"[202331, 1630167]",1610612755.0,PHI,,,,,,,Mid-Range,8-16 Right,,,,George,P. George,,,,,,,,,2.0,,,,,Toppin,1630167.0,,
377,PT07M38.00S,2024-12-14T01:31:05.5Z,3,REGULAR,steal,,[],1630167,,,1610612754,62,73,2024-12-14T01:31:07Z,3730000,False,,,0,,O. Toppin STEAL (3 STL),[1630167],1610612754.0,IND,,,,,,,Mid-Range,8-16 Right,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,
378,PT07M32.00S,2024-12-14T01:31:10.0Z,3,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1631097,6.750985545335084,49.754901960784316,1610612754,62,73,2024-12-14T01:32:58Z,3740000,False,1.0,11.0,1,left,MISS B. Mathurin running reverse Layup,[1631097],1610612754.0,IND,running reverse,,,,,,Restricted Area,0-8 Center,1.11,Missed,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,
379,PT07M28.00S,2024-12-14T01:31:14.0Z,3,REGULAR,rebound,offensive,[],1627783,,,1610612754,62,73,2024-12-14T01:31:18Z,3750000,False,,,0,,P. Siakam REBOUND (Off:1 Def:5),[1627783],1610612754.0,IND,,,,,,,Restricted Area,0-8 Center,,,,Siakam,P. Siakam,,,,378.0,6.0,5.0,1.0,,,,,,,,,,
380,PT07M28.00S,2024-12-14T01:31:13.6Z,3,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint', 'fromturnover']",1627783,5.590000152587891,50.0,1610612754,62,75,2024-12-14T01:31:22Z,3760000,False,0.0,0.0,1,left,P. Siakam tip Layup (15 PTS),[1627783],1610612754.0,IND,tip,,,,,,Restricted Area,0-8 Center,0.0,Made,15.0,Siakam,P. Siakam,,,,,,,,,,,,,,,,,
381,PT07M28.00S,2024-12-14T01:31:25.5Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,62,75,2024-12-14T01:31:26Z,3770000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,PT07M28.00S,2024-12-14T01:33:52.5Z,3,REGULAR,substitution,out,[],1627824,,,1610612755,62,75,2024-12-14T01:34:03Z,3780000,False,,,0,,SUB out: G. Yabusele,[1627824],1610612755.0,PHI,,,,,,,,,,,,Yabusele,G. Yabusele,,,,,,,,,,,,,,,,,
383,PT07M28.00S,2024-12-14T01:33:52.5Z,3,REGULAR,substitution,in,[],203083,,,1610612755,62,75,2024-12-14T01:34:03Z,3790000,False,,,0,,SUB in: A. Drummond,[203083],1610612755.0,PHI,,,,,,,,,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,
384,PT07M12.00S,2024-12-14T01:34:27.7Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203083,86.90867279894876,53.92156862745098,1610612755,62,75,2024-12-14T01:34:34Z,3800000,False,20.0,71.0,1,right,MISS A. Drummond 7' floating Shot - blocked,"[203083, 1630169]",1610612755.0,PHI,floating,,,,,,In The Paint (Non-RA),0-8 Center,7.33,Missed,,Drummond,A. Drummond,,,,,,,,,,,,,,,,Haliburton,1630169.0
385,PT07M12.00S,2024-12-14T01:34:27.7Z,3,REGULAR,block,,[],1630169,,,1610612755,62,75,2024-12-14T01:34:30Z,3810000,False,,,0,,T. Haliburton BLOCK (1 BLK),[1630169],1610612754.0,IND,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,
386,PT07M09.00S,2024-12-14T01:34:30.7Z,3,REGULAR,rebound,defensive,[],1630169,,,1610612754,62,75,2024-12-14T01:34:34Z,3820000,False,,,0,,T. Haliburton REBOUND (Off:1 Def:2),[1630169],1610612754.0,IND,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Haliburton,T. Haliburton,,,,384.0,3.0,2.0,1.0,,,,,,,,,,
387,PT07M06.00S,2024-12-14T01:34:33.3Z,3,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631097,5.831143232588701,48.774509803921575,1610612754,62,75,2024-12-14T01:34:51Z,3830000,False,6.0,2.0,1,left,MISS B. Mathurin running reverse Layup,[1631097],1610612754.0,IND,running reverse,,,,,,Restricted Area,0-8 Center,0.65,Missed,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,
388,PT07M03.00S,2024-12-14T01:34:36.3Z,3,REGULAR,rebound,defensive,[],1626162,,,1610612755,62,75,2024-12-14T01:34:51Z,3840000,False,,,0,,K. Oubre Jr. REBOUND (Off:2 Def:7),[1626162],1610612755.0,PHI,,,,,,,Restricted Area,0-8 Center,,,,Oubre Jr.,K. Oubre Jr.,,,,387.0,9.0,7.0,2.0,,,,,,,,,,
389,PT06M56.00S,2024-12-14T01:34:43.4Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630178,93.2161629434954,52.205882352941174,1610612755,62,75,2024-12-14T01:34:49Z,3850000,False,11.0,11.0,1,right,MISS T. Maxey running Layup,[1630178],1610612755.0,PHI,running,,,,,,Restricted Area,0-8 Center,1.58,Missed,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,
390,PT06M52.00S,2024-12-14T01:34:46.8Z,3,REGULAR,rebound,offensive,[],203083,,,1610612755,62,75,2024-12-14T01:34:46Z,3860000,False,,,0,,A. Drummond REBOUND (Off:2 Def:0),[203083],1610612755.0,PHI,,,,,,,Restricted Area,0-8 Center,,,,Drummond,A. Drummond,,,,389.0,2.0,0.0,2.0,,,,,,,,,,
391,PT06M52.00S,2024-12-14T01:34:46.8Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203083,94.40999984741211,50.0,1610612755,62,75,2024-12-14T01:34:46Z,3870000,False,0.0,0.0,1,right,MISS A. Drummond tip Layup,[203083],1610612755.0,PHI,tip,,,,,,Mid-Range,8-16 Left,0.0,Missed,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,
392,PT06M51.00S,2024-12-14T01:34:47.5Z,3,REGULAR,rebound,defensive,[],1627783,,,1610612754,62,75,2024-12-14T01:34:47Z,3880000,False,,,0,,P. Siakam REBOUND (Off:1 Def:6),[1627783],1610612754.0,IND,,,,,,,Mid-Range,8-16 Left,,,,Siakam,P. Siakam,,,,391.0,7.0,6.0,1.0,,,,,,,,,,
393,PT06M50.00S,2024-12-14T01:34:49.9Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1630169,4.12286465177398,4.656862745098039,1610612754,62,78,2024-12-14T01:34:59Z,3890000,False,227.0,-14.0,1,left,T. Haliburton 3PT running (24 PTS) (B. Mathurin 3 AST),"[1630169, 1631097]",1610612754.0,IND,running,,,,,,Right Corner 3,24+ Right,22.71,Made,24.0,Haliburton,T. Haliburton,B. Mathurin,1631097.0,3.0,,,,,,,,,,,,,,
395,PT06M28.00S,2024-12-14T01:35:11.2Z,3,REGULAR,3pt,Jump Shot,[],1626162,92.29632063074901,4.411764705882348,1610612755,62,78,2024-12-14T01:35:16Z,3910000,False,-228.0,20.0,1,right,MISS K. Oubre Jr. 3PT,[1626162],1610612755.0,PHI,,,,,,,Left Corner 3,24+ Left,22.88,Missed,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,
396,PT06M24.00S,2024-12-14T01:35:15.2Z,3,REGULAR,rebound,defensive,[],1630167,,,1610612754,62,78,2024-12-14T01:35:16Z,3920000,False,,,0,,O. Toppin REBOUND (Off:0 Def:4),[1630167],1610612754.0,IND,,,,,,,Left Corner 3,24+ Left,,,,Toppin,O. Toppin,,,,395.0,4.0,4.0,0.0,,,,,,,,,,
397,PT06M11.00S,2024-12-14T01:35:28.1Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,8.196452036793687,50.0,1610612754,62,80,2024-12-14T01:35:34Z,3930000,False,0.0,25.0,1,left,P. Siakam finger roll Layup (17 PTS) (T. Haliburton 10 AST),"[1627783, 1630169]",1610612754.0,IND,finger roll,,,,,,Restricted Area,0-8 Center,2.45,Made,17.0,Siakam,P. Siakam,T. Haliburton,1630169.0,10.0,,,,,,,,,,,,,,
400,PT05M56.00S,2024-12-14T01:35:42.7Z,3,REGULAR,3pt,Jump Shot,[],202331,91.37647831800263,98.2843137254902,1610612755,65,80,2024-12-14T01:35:51Z,3960000,False,241.0,29.0,1,right,P. George 24' 3PT  (6 PTS) (K. Oubre Jr. 2 AST),"[202331, 1626162]",1610612755.0,PHI,,,,,,,Right Corner 3,24+ Right,24.31,Made,6.0,George,P. George,K. Oubre Jr.,1626162.0,2.0,,,,,,,,,,,,,,
402,PT05M42.00S,2024-12-14T01:35:58.9Z,3,REGULAR,turnover,lost ball,[],1627783,,,1610612754,65,80,2024-12-14T01:36:41Z,3980000,False,,,0,,P. Siakam lost ball TURNOVER (2 TO),[1627783],1610612754.0,IND,,,,,,,Mid-Range,8-16 Center,,,,Siakam,P. Siakam,,,,,,,,,2.0,,,,,,,,
403,PT05M42.00S,2024-12-14T01:36:10.0Z,3,REGULAR,foul,personal,[],1627783,,,1610612755,65,80,2024-12-14T01:36:18Z,3990000,False,,,0,,P. Siakam loose ball personal FOUL (2 PF),"[1627783, 1626162]",1610612754.0,IND,loose ball,,,,,,Above the Break 3,24+ Center,,,,Siakam,P. Siakam,,,,,,,,203591.0,,2.0,0.0,Oubre Jr.,1626162.0,,,,
405,PT05M42.00S,2024-12-14T01:36:23.9Z,3,REGULAR,substitution,out,[],1627783,,,1610612755,65,80,2024-12-14T01:36:27Z,4010000,False,,,0,,SUB out: P. Siakam,[1627783],1610612754.0,IND,,,,,,,,,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,
406,PT05M42.00S,2024-12-14T01:36:23.9Z,3,REGULAR,substitution,in,[],1641716,,,1610612755,65,80,2024-12-14T01:36:27Z,4020000,False,,,0,,SUB in: J. Walker,[1641716],1610612754.0,IND,,,,,,,,,,,,Walker,J. Walker,,,,,,,,,,,,,,,,,
407,PT05M24.00S,2024-12-14T01:36:50.3Z,3,REGULAR,foul,personal,['2freethrow'],1629614,,,1610612755,65,80,2024-12-14T01:37:12Z,4030000,False,,,0,,A. Nembhard shooting personal FOUL (1 PF) (McCain 2 FT),"[1629614, 1642272]",1610612754.0,IND,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,,Nembhard,A. Nembhard,,,,,,,,1627534.0,,1.0,0.0,McCain,1642272.0,,,,
409,PT05M24.00S,2024-12-14T01:37:56.7Z,3,REGULAR,substitution,out,[],1642272,,,1610612755,65,80,2024-12-14T01:37:59Z,4050000,False,,,0,,SUB out: J. McCain,[1642272],1610612755.0,PHI,,,,,,,,,,,,McCain,J. McCain,,,,,,,,,,,,,,,,,
410,PT05M24.00S,2024-12-14T01:37:56.7Z,3,REGULAR,substitution,in,[],1641741,,,1610612755,65,80,2024-12-14T01:37:59Z,4060000,False,,,0,,SUB in: R. Council IV,[1641741],1610612755.0,PHI,,,,,,,,,,,,Council IV,R. Council IV,,,,,,,,,,,,,,,,,
411,PT05M24.00S,2024-12-14T01:38:23.7Z,3,REGULAR,freethrow,1 of 2,['fromturnover'],1630178,,,1610612755,65,80,2024-12-14T01:38:23Z,4070000,False,,,0,,MISS T. Maxey Free Throw 1 of 2,[1630178],1610612755.0,PHI,,,,,,,,,,Missed,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,
412,PT05M24.00S,2024-12-14T01:38:23.7Z,3,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612755,65,80,2024-12-14T01:38:23Z,4080000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,411.0,,,,,,,,,,,,,
413,PT05M24.00S,2024-12-14T01:38:44.4Z,3,REGULAR,freethrow,2 of 2,['fromturnover'],1630178,,,1610612755,66,80,2024-12-14T01:38:44Z,4090000,False,,,0,,T. Maxey Free Throw 2 of 2 (21 PTS),[1630178],1610612755.0,PHI,,,,,,,,,,Made,21.0,Maxey,T. Maxey,,,,,,,,,,,,,,,,,
414,PT05M12.00S,2024-12-14T01:38:57.8Z,3,REGULAR,turnover,lost ball,[],1630169,,,1610612754,66,80,2024-12-14T01:39:02Z,4100000,False,,,0,,T. Haliburton lost ball TURNOVER (1 TO),"[1630169, 203083]",1610612754.0,IND,,,,,,,Mid-Range,8-16 Left,,,,Haliburton,T. Haliburton,,,,,,,,,1.0,,,,,Drummond,203083.0,,
415,PT05M12.00S,2024-12-14T01:38:57.8Z,3,REGULAR,steal,,[],203083,,,1610612755,66,80,2024-12-14T01:39:00Z,4110000,False,,,0,,A. Drummond STEAL (1 STL),[203083],1610612755.0,PHI,,,,,,,Mid-Range,8-16 Left,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,
416,PT05M08.00S,2024-12-14T01:39:06.3Z,3,REGULAR,foul,personal,[],1630167,,,1610612755,66,80,2024-12-14T01:39:15Z,4120000,False,,,0,,O. Toppin personal FOUL (2 PF),"[1630167, 203083]",1610612754.0,IND,,,,,,,Mid-Range,8-16 Right,,,,Toppin,O. Toppin,,,,,,,,203591.0,,2.0,0.0,Drummond,203083.0,,,,
418,PT05M08.00S,2024-12-14T01:39:38.5Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,66,80,2024-12-14T01:39:38Z,4140000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,PT05M08.00S,2024-12-14T01:41:34.5Z,3,REGULAR,substitution,out,[],1641716,,,1610612755,66,80,2024-12-14T01:41:38Z,4150000,False,,,0,,SUB out: J. Walker,[1641716],1610612754.0,IND,,,,,,,,,,,,Walker,J. Walker,,,,,,,,,,,,,,,,,
420,PT05M08.00S,2024-12-14T01:41:34.5Z,3,REGULAR,substitution,in,[],204456,,,1610612755,66,80,2024-12-14T01:41:38Z,4160000,False,,,0,,SUB in: T. McConnell,[204456],1610612754.0,IND,,,,,,,,,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,
421,PT04M58.00S,2024-12-14T01:42:23.0Z,3,REGULAR,2pt,Jump Shot,['fromturnover'],202331,84.01773981603154,79.16666666666666,1610612755,66,80,2024-12-14T01:42:35Z,4170000,False,146.0,98.0,1,right,MISS P. George 17' turnaround fadeaway Shot,[202331],1610612755.0,PHI,turnaround fadeaway,,,,,,Mid-Range,16-24 Right,17.55,Missed,,George,P. George,,,,,,,,,,,,,,,,,
422,PT04M51.00S,2024-12-14T01:42:30.0Z,3,REGULAR,rebound,offensive,[],203083,,,1610612755,66,80,2024-12-14T01:42:35Z,4180000,False,,,0,,A. Drummond REBOUND (Off:3 Def:0),[203083],1610612755.0,PHI,,,,,,,Mid-Range,16-24 Right,,,,Drummond,A. Drummond,,,,421.0,3.0,0.0,3.0,,,,,,,,,,
423,PT04M51.00S,2024-12-14T01:42:30.0Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",203083,94.40999984741211,50.0,1610612755,66,80,2024-12-14T01:42:30Z,4190000,False,0.0,0.0,1,right,MISS A. Drummond tip Layup,[203083],1610612755.0,PHI,tip,,,,,,Mid-Range,8-16 Left,0.0,Missed,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,
424,PT04M50.00S,2024-12-14T01:42:31.0Z,3,REGULAR,rebound,defensive,[],1631097,,,1610612754,66,80,2024-12-14T01:42:31Z,4200000,False,,,0,,B. Mathurin REBOUND (Off:1 Def:5),[1631097],1610612754.0,IND,,,,,,,Mid-Range,8-16 Left,,,,Mathurin,B. Mathurin,,,,423.0,6.0,5.0,1.0,,,,,,,,,,
425,PT04M44.00S,2024-12-14T01:42:37.0Z,3,REGULAR,3pt,Jump Shot,[],1630169,25.410643889618925,87.99019607843137,1610612754,66,83,2024-12-14T01:42:41Z,4210000,False,-190.0,186.0,1,left,T. Haliburton 26' 3PT  (27 PTS) (B. Mathurin 4 AST),"[1630169, 1631097]",1610612754.0,IND,,,,,,,Above the Break 3,24+ Left Center,26.62,Made,27.0,Haliburton,T. Haliburton,B. Mathurin,1631097.0,4.0,,,,,,,,,,,,,,
431,PT04M26.00S,2024-12-14T01:43:21.0Z,3,REGULAR,timeout,challenge,['team'],0,,,1610612755,66,83,2024-12-14T01:57:09Z,4270000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,PT04M26.00S,2024-12-14T01:46:05.4Z,3,REGULAR,foul,offensive,[],1641741,,,1610612755,66,83,2024-12-14T01:46:45Z,4290000,False,,,0,,R. Council IV charge offensive FOUL (1 PF),"[1641741, 1629614]",1610612755.0,PHI,charge,,,,,,In The Paint (Non-RA),8-16 Center,,,,Council IV,R. Council IV,,,,,,,,203591.0,,1.0,0.0,Nembhard,1629614.0,,,,
435,PT04M26.00S,2024-12-14T01:46:05.4Z,3,REGULAR,turnover,offensive foul,[],1641741,,,1610612755,66,83,2024-12-14T01:46:45Z,4310000,False,,,0,,R. Council IV offensive foul TURNOVER (1 TO),[1641741],1610612755.0,PHI,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Council IV,R. Council IV,,,,,,,,203591.0,1.0,,,,,,,,
436,PT04M26.00S,2024-12-14T01:46:14.4Z,3,REGULAR,substitution,out,[],202331,,,1610612754,66,83,2024-12-14T01:46:17Z,4320000,False,,,0,,SUB out: P. George,[202331],1610612755.0,PHI,,,,,,,,,,,,George,P. George,,,,,,,,,,,,,,,,,
