actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
570,PT07M13.00S,2022-11-20T01:04:44.0Z,4,REGULAR,foul,personal,[],1627832,,,1610612737,91,99,2022-11-20T01:04:51Z,5580000,False,,,0,,F. VanVleet personal FOUL (2 PF),"[1627832, 1630168]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,203177.0,2.0,1.0,Okongwu,1630168.0
572,PT07M01.00S,2022-11-20T01:05:14.5Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,5.995400788436268,46.81372549019608,1610612737,93,99,2022-11-20T01:05:19Z,5600000,False,16.0,4.0,1,left,T. Young driving Layup (22 PTS),[1629027],1610612737.0,ATL,driving,,,Young,T. Young,,,,,Restricted Area,0-8 Center,1.64,Made,,,,,,,22.0,,,,,,,,,,,
573,PT06M41.00S,2022-11-20T01:05:39.4Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1628384,91.93495400788436,49.50980392156863,1610612761,93,101,2022-11-20T01:05:46Z,5610000,False,-2.0,23.0,1,right,O. Anunoby driving Layup (17 PTS),[1628384],1610612761.0,TOR,driving,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,2.34,Made,,,,,,,17.0,,,,,,,,,,,
574,PT06M41.00S,2022-11-20T01:05:45.8Z,4,REGULAR,foul,personal,['1freethrow'],1628381,,,1610612761,93,101,2022-11-20T01:05:56Z,5620000,False,,,0,,J. Collins shooting personal FOUL (5 PF) (Anunoby 1 FT),"[1628381, 1628384]",1610612737.0,ATL,shooting,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,203177.0,5.0,0.0,Anunoby,1628384.0
576,PT06M41.00S,2022-11-20T01:05:54.3Z,4,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,93,101,2022-11-20T01:05:54Z,5640000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,PT06M41.00S,2022-11-20T01:08:07.6Z,4,REGULAR,substitution,out,[],1630168,,,1610612761,93,101,2022-11-20T01:08:28Z,5650000,False,,,0,,SUB out: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
581,PT06M41.00S,2022-11-20T01:08:07.6Z,4,REGULAR,substitution,in,[],203991,,,1610612761,93,101,2022-11-20T01:08:28Z,5660000,False,,,0,,SUB in: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
582,PT06M41.00S,2022-11-20T01:08:46.9Z,4,REGULAR,freethrow,1 of 1,[],1628384,,,1610612761,93,102,2022-11-20T01:08:46Z,5670000,False,,,0,,O. Anunoby Free Throw 1 of 1 (18 PTS),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,Made,,,,,,,18.0,,,,,,,,,,,
583,PT06M30.00S,2022-11-20T01:09:04.7Z,4,REGULAR,turnover,backcourt,[],1629631,,,1610612737,93,102,2022-11-20T01:09:13Z,5680000,False,,,0,,D. Hunter backcourt TURNOVER (3 TO),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,3.0,,,1151.0,,,,
584,PT06M23.00S,2022-11-20T01:09:28.1Z,4,REGULAR,3pt,Jump Shot,['fromturnover'],1630201,87.99277266754271,95.83333333333334,1610612761,93,102,2022-11-20T01:09:33Z,5690000,False,229.0,60.0,1,right,MISS M. Flynn 3PT,[1630201],1610612761.0,TOR,,,,Flynn,M. Flynn,,,,,Right Corner 3,24+ Right,23.7,Missed,,,,,,,,,,,,,,,,,,
585,PT06M19.00S,2022-11-20T01:09:32.1Z,4,REGULAR,rebound,defensive,[],1627749,,,1610612737,93,102,2022-11-20T01:09:33Z,5700000,False,,,0,,D. Murray REBOUND (Off:0 Def:7),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Right Corner 3,24+ Right,,,584.0,,,7.0,7.0,0.0,,,,,,,,,,,,
586,PT06M12.00S,2022-11-20T01:09:37.7Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,17.69053876478318,43.13725490196079,1610612737,95,102,2022-11-20T01:09:42Z,5710000,False,34.0,114.0,1,left,D. Murray 11' driving floating Jump Shot (17 PTS),[1627749],1610612737.0,ATL,driving floating,,,Murray,D. Murray,,,,,In The Paint (Non-RA),8-16 Center,11.89,Made,,,,,,,17.0,,,,,,,,,,,
587,PT05M54.00S,2022-11-20T01:09:56.6Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1630201,92.32917214191852,44.85294117647059,1610612761,95,104,2022-11-20T01:10:03Z,5720000,False,-26.0,20.0,1,right,M. Flynn driving Layup (17 PTS),[1630201],1610612761.0,TOR,driving,,,Flynn,M. Flynn,,,,,Restricted Area,0-8 Center,3.23,Made,,,,,,,17.0,,,,,,,,,,,
589,PT05M41.00S,2022-11-20T01:10:09.2Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,12.828515111695138,46.568627450980394,1610612737,95,104,2022-11-20T01:10:14Z,5740000,False,17.0,68.0,1,left,MISS T. Young 7' driving floating Shot,[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,7.02,Missed,,,,,,,,,,,,,,,,,,
590,PT05M39.00S,2022-11-20T01:10:12.2Z,4,REGULAR,rebound,offensive,[],1629027,,,1610612737,95,104,2022-11-20T01:10:12Z,5750000,False,,,0,,T. Young REBOUND (Off:1 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,,,589.0,,,2.0,1.0,1.0,,,,,,,,,,,,
591,PT05M35.00S,2022-11-20T01:10:18.5Z,4,REGULAR,foul,personal,['2freethrow'],1631132,,,1610612737,95,104,2022-11-20T01:10:40Z,5760000,False,,,0,,C. Koloko shooting personal FOUL (3 PF) (Hunter 2 FT),"[1631132, 1629631]",1610612761.0,TOR,shooting,,,Koloko,C. Koloko,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,203177.0,3.0,0.0,Hunter,1629631.0
593,PT05M35.00S,2022-11-20T01:10:42.8Z,4,REGULAR,freethrow,1 of 2,['2ndchance'],1629631,,,1610612737,96,104,2022-11-20T01:10:42Z,5780000,False,,,0,,D. Hunter Free Throw 1 of 2 (13 PTS),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,Made,,,,,,,13.0,,,,,,,,,,,
594,PT05M35.00S,2022-11-20T01:10:58.7Z,4,REGULAR,freethrow,2 of 2,['2ndchance'],1629631,,,1610612737,97,104,2022-11-20T01:10:58Z,5790000,False,,,0,,D. Hunter Free Throw 2 of 2 (14 PTS),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,Made,,,,,,,14.0,,,,,,,,,,,
595,PT05M20.00S,2022-11-20T01:11:14.7Z,4,REGULAR,3pt,Jump Shot,[],1628384,76.03482260183968,90.68627450980392,1610612761,97,104,2022-11-20T01:11:19Z,5800000,False,203.0,173.0,1,right,MISS O. Anunoby 26' 3PT,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Right Center,26.69,Missed,,,,,,,,,,,,,,,,,,
596,PT05M17.00S,2022-11-20T01:11:17.7Z,4,REGULAR,rebound,defensive,[],203991,,,1610612737,97,104,2022-11-20T01:11:19Z,5810000,False,,,0,,C. Capela REBOUND (Off:5 Def:6),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Above the Break 3,24+ Right Center,,,595.0,,,11.0,6.0,5.0,,,,,,,,,,,,
597,PT05M12.00S,2022-11-20T01:11:24.6Z,4,REGULAR,foul,personal,[],1630201,,,1610612737,97,104,2022-11-20T01:11:31Z,5820000,False,,,0,,M. Flynn personal FOUL (4 PF),"[1630201, 1629027]",1610612761.0,TOR,,,,Flynn,M. Flynn,,,,,Above the Break 3,16-24 Right Center,,,,,,,,,,,,,,,,1151.0,4.0,0.0,Young,1629027.0
599,PT05M02.00S,2022-11-20T01:11:58.1Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1629631,8.623521681997373,42.40196078431372,1610612737,97,104,2022-11-20T01:12:03Z,5840000,False,38.0,29.0,1,left,MISS D. Hunter driving Layup - blocked,"[1629631, 1631132]",1610612737.0,ATL,driving,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),0-8 Center,4.76,Missed,,Koloko,1631132.0,,,,,,,,,,,,,,,
600,PT05M02.00S,2022-11-20T01:11:58.1Z,4,REGULAR,block,,[],1631132,,,1610612737,97,104,2022-11-20T01:12:01Z,5850000,False,,,0,,C. Koloko BLOCK (3 BLK),[1631132],1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
601,PT05M01.00S,2022-11-20T01:11:59.1Z,4,REGULAR,rebound,offensive,[],1629631,,,1610612737,97,104,2022-11-20T01:12:03Z,5860000,False,,,0,,D. Hunter REBOUND (Off:1 Def:2),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),0-8 Center,,,599.0,,,3.0,2.0,1.0,,,,,,,,,,,,
602,PT05M01.00S,2022-11-20T01:12:08.9Z,4,REGULAR,foul,personal,[],1627832,,,1610612737,97,104,2022-11-20T01:12:14Z,5870000,False,,,0,,F. VanVleet personal FOUL (3 PF),"[1627832, 1629631]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,203177.0,3.0,1.0,Hunter,1629631.0
604,PT04M50.00S,2022-11-20T01:12:29.8Z,4,REGULAR,2pt,Jump Shot,['2ndchance'],1627749,17.0335085413929,66.91176470588235,1610612737,97,104,2022-11-20T01:12:36Z,5890000,False,-85.0,108.0,1,left,MISS D. Murray 13' pullup Shot,[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,Mid-Range,8-16 Left,13.69,Missed,,,,,,,,,,,,,,,,,,
605,PT04M46.00S,2022-11-20T01:12:33.8Z,4,REGULAR,rebound,offensive,[],203991,,,1610612737,97,104,2022-11-20T01:12:36Z,5900000,False,,,0,,C. Capela REBOUND (Off:6 Def:6),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Mid-Range,8-16 Left,,,604.0,,,12.0,6.0,6.0,,,,,,,,,,,,
606,PT04M46.00S,2022-11-20T01:12:33.9Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203991,5.590000152587891,50.0,1610612737,97,104,2022-11-20T01:12:33Z,5910000,False,0.0,0.0,1,left,MISS C. Capela tip Layup,[203991],1610612737.0,ATL,tip,,,Capela,C. Capela,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
607,PT04M45.00S,2022-11-20T01:12:34.7Z,4,REGULAR,rebound,defensive,[],1631132,,,1610612761,97,104,2022-11-20T01:12:34Z,5920000,False,,,0,,C. Koloko REBOUND (Off:4 Def:3),[1631132],1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,Mid-Range,8-16 Left,,,606.0,,,7.0,3.0,4.0,,,,,,,,,,,,
608,PT04M40.00S,2022-11-20T01:12:42.2Z,4,REGULAR,foul,personal,['2freethrow'],1628381,,,1610612761,97,104,2022-11-20T01:13:14Z,5930000,False,,,0,,J. Collins shooting personal FOUL (6 PF) (Koloko 2 FT),"[1628381, 1631132]",1610612737.0,ATL,shooting,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1151.0,6.0,0.0,Koloko,1631132.0
610,PT04M40.00S,2022-11-20T01:13:17.4Z,4,REGULAR,freethrow,1 of 2,[],1631132,,,1610612761,97,104,2022-11-20T01:16:31Z,5950000,False,,,0,,MISS C. Koloko Free Throw 1 of 2,[1631132],1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
611,PT04M40.00S,2022-11-20T01:13:17.4Z,4,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612761,97,104,2022-11-20T01:16:31Z,5960000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,610.0,,,,,,,,,,,,,,,,,
612,PT04M40.00S,2022-11-20T01:13:18.2Z,4,REGULAR,substitution,out,[],1628381,,,1610612761,97,104,2022-11-20T01:13:23Z,5970000,False,,,0,,SUB out: J. Collins,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
613,PT04M40.00S,2022-11-20T01:13:18.2Z,4,REGULAR,substitution,in,[],1631100,,,1610612761,97,104,2022-11-20T01:13:23Z,5980000,False,,,0,,SUB in: A. Griffin,[1631100],1610612737.0,ATL,,,,Griffin,A. Griffin,,,,,,,,,,,,,,,,,,,,,,,,,,
614,PT04M40.00S,2022-11-20T01:13:27.4Z,4,REGULAR,timeout,full,['team'],0,,,1610612761,97,104,2022-11-20T01:13:27Z,5990000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,PT04M40.00S,2022-11-20T01:13:17.4Z,4,REGULAR,freethrow,2 of 2,[],1631132,,,1610612761,97,104,2022-11-20T01:16:31Z,6000000,False,,,0,,MISS C. Koloko Free Throw 2 of 2,[1631132],1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
616,PT04M38.00S,2022-11-20T01:13:19.4Z,4,REGULAR,rebound,defensive,[],203991,,,1610612737,97,104,2022-11-20T01:16:31Z,6010000,False,,,0,,C. Capela REBOUND (Off:6 Def:7),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,615.0,,,13.0,7.0,6.0,,,,,,,,,,,,
619,PT04M21.00S,2022-11-20T01:17:19.6Z,4,REGULAR,substitution,out,[],1630567,,,1610612737,97,104,2022-11-20T01:17:23Z,6040000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
620,PT04M21.00S,2022-11-20T01:17:19.6Z,4,REGULAR,substitution,in,[],201152,,,1610612737,97,104,2022-11-20T01:17:23Z,6050000,False,,,0,,SUB in: T. Young,[201152],1610612761.0,TOR,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
621,PT04M18.00S,2022-11-20T01:17:39.9Z,4,REGULAR,2pt,Jump Shot,[],1629027,7.046649145860711,33.82352941176471,1610612737,99,104,2022-11-20T01:17:44Z,6060000,False,81.0,14.0,1,left,T. Young 8' driving floating Jump Shot (24 PTS) (D. Murray 4 AST),"[1629027, 1627749]",1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,Mid-Range,8-16 Right,8.21,Made,,,,,,,24.0,D. Murray,1627749.0,4.0,,,,,,,,
623,PT03M55.00S,2022-11-20T01:18:05.3Z,4,REGULAR,turnover,out-of-bounds,[],1628384,,,1610612761,99,104,2022-11-20T01:18:13Z,6080000,False,,,0,,O. Anunoby step out-of-bounds TURNOVER (5 TO),[1628384],1610612761.0,TOR,step,,,Anunoby,O. Anunoby,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,5.0,,,203177.0,,,,
624,PT03M47.00S,2022-11-20T01:18:28.7Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631100,7.703679369250986,46.32352941176471,1610612737,99,104,2022-11-20T01:18:32Z,6090000,False,18.0,20.0,1,left,MISS A. Griffin Layup - blocked,"[1631100, 1631132]",1610612737.0,ATL,,,,Griffin,A. Griffin,,,,,Restricted Area,0-8 Center,2.71,Missed,,Koloko,1631132.0,,,,,,,,,,,,,,,
625,PT03M47.00S,2022-11-20T01:18:28.7Z,4,REGULAR,block,,[],1631132,,,1610612737,99,104,2022-11-20T01:18:31Z,6100000,False,,,0,,C. Koloko BLOCK (4 BLK),[1631132],1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
626,PT03M43.00S,2022-11-20T01:18:32.7Z,4,REGULAR,rebound,defensive,[],201152,,,1610612761,99,104,2022-11-20T01:18:32Z,6110000,False,,,0,,T. Young REBOUND (Off:2 Def:5),[201152],1610612761.0,TOR,,,,Young,T. Young,,,,,Restricted Area,0-8 Center,,,624.0,,,7.0,5.0,2.0,,,,,,,,,,,,
627,PT03M29.00S,2022-11-20T01:18:45.9Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1627832,92.85479632063075,49.26470588235294,1610612761,99,104,2022-11-20T01:18:54Z,6120000,False,-4.0,15.0,1,right,MISS F. VanVleet driving Layup,[1627832],1610612761.0,TOR,driving,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,1.52,Missed,,,,,,,,,,,,,,,,,,
628,PT03M26.00S,2022-11-20T01:18:48.9Z,4,REGULAR,rebound,defensive,[],1629631,,,1610612737,99,104,2022-11-20T01:18:54Z,6130000,False,,,0,,D. Hunter REBOUND (Off:1 Def:3),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Restricted Area,0-8 Center,,,627.0,,,4.0,3.0,1.0,,,,,,,,,,,,
631,PT03M21.00S,2022-11-20T01:18:57.5Z,4,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629631,5.590000152587891,50.0,1610612737,101,104,2022-11-20T01:19:18Z,6160000,False,0.0,0.0,1,left,D. Hunter running Layup (16 PTS),[1629631],1610612737.0,ATL,running,,,Hunter,D. Hunter,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,16.0,,,,,,,,,,,
632,PT03M21.00S,2022-11-20T01:19:25.0Z,4,REGULAR,timeout,full,['team'],0,,,1610612761,101,104,2022-11-20T01:19:25Z,6170000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,PT03M05.00S,2022-11-20T01:20:49.5Z,4,REGULAR,3pt,Jump Shot,[],1627832,70.12155059132719,25.98039215686275,1610612761,101,104,2022-11-20T01:20:58Z,6180000,False,-120.0,228.0,1,right,MISS F. VanVleet 25' pullup 3PT - blocked,"[1627832, 203991]",1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,25.81,Missed,,Capela,203991.0,,,,,,,,,,,,,,,
634,PT03M05.00S,2022-11-20T01:20:49.5Z,4,REGULAR,block,,[],203991,,,1610612761,101,104,2022-11-20T01:20:52Z,6190000,False,,,0,,C. Capela BLOCK (3 BLK),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
635,PT03M01.00S,2022-11-20T01:20:53.5Z,4,REGULAR,rebound,offensive,[],1631132,,,1610612761,101,104,2022-11-20T01:20:53Z,6200000,False,,,0,,C. Koloko REBOUND (Off:5 Def:3),[1631132],1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,Above the Break 3,24+ Left Center,,,633.0,,,8.0,3.0,5.0,,,,,,,,,,,,
636,PT03M00.00S,2022-11-20T01:20:54.8Z,4,REGULAR,3pt,Jump Shot,['2ndchance'],1628384,71.43561103810775,78.43137254901961,1610612761,101,104,2022-11-20T01:21:00Z,6210000,False,142.0,216.0,1,right,MISS O. Anunoby 25' 3PT,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Right Center,25.86,Missed,,,,,,,,,,,,,,,,,,
637,PT02M57.00S,2022-11-20T01:20:57.8Z,4,REGULAR,rebound,offensive,[],1631132,,,1610612761,101,104,2022-11-20T01:21:00Z,6220000,False,,,0,,C. Koloko REBOUND (Off:6 Def:3),[1631132],1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,Above the Break 3,24+ Right Center,,,636.0,,,9.0,3.0,6.0,,,,,,,,,,,,
638,PT02M57.00S,2022-11-20T01:20:58.4Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631132,92.46057818659659,49.01960784313725,1610612761,101,106,2022-11-20T01:21:03Z,6230000,False,-5.0,18.0,1,right,C. Koloko putback Layup (6 PTS),[1631132],1610612761.0,TOR,putback,,,Koloko,C. Koloko,,,,,Restricted Area,0-8 Center,1.9,Made,,,,,,,6.0,,,,,,,,,,,
639,PT02M41.00S,2022-11-20T01:21:13.1Z,4,REGULAR,3pt,Jump Shot,[],1631100,14.011169513797633,4.901960784313726,1610612737,101,106,2022-11-20T01:21:17Z,6240000,False,225.0,79.0,1,left,MISS A. Griffin 3PT,[1631100],1610612737.0,ATL,,,,Griffin,A. Griffin,,,,,Right Corner 3,24+ Right,23.9,Missed,,,,,,,,,,,,,,,,,,
640,PT02M38.00S,2022-11-20T01:21:16.1Z,4,REGULAR,rebound,defensive,[],1630201,,,1610612761,101,106,2022-11-20T01:21:17Z,6250000,False,,,0,,M. Flynn REBOUND (Off:0 Def:4),[1630201],1610612761.0,TOR,,,,Flynn,M. Flynn,,,,,Right Corner 3,24+ Right,,,639.0,,,4.0,4.0,0.0,,,,,,,,,,,,
641,PT02M36.00S,2022-11-20T01:21:20.3Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628384,93.38042049934296,49.754901960784316,1610612761,101,108,2022-11-20T01:21:26Z,6260000,False,-1.0,10.0,1,right,O. Anunoby running Layup (20 PTS) (M. Flynn 3 AST),"[1628384, 1630201]",1610612761.0,TOR,running,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,0.98,Made,,,,,,,20.0,M. Flynn,1630201.0,3.0,,,,,,,,
643,PT02M36.00S,2022-11-20T01:21:29.2Z,4,REGULAR,foul,personal,['1freethrow'],1629027,,,1610612761,101,108,2022-11-20T01:21:44Z,6280000,False,,,0,,T. Young shooting personal FOUL (3 PF) (Anunoby 1 FT),"[1629027, 1628384]",1610612737.0,ATL,shooting,,,Young,T. Young,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1151.0,3.0,0.0,Anunoby,1628384.0
645,PT02M36.00S,2022-11-20T01:21:47.1Z,4,REGULAR,freethrow,1 of 1,['fastbreak'],1628384,,,1610612761,101,109,2022-11-20T01:21:47Z,6300000,False,,,0,,O. Anunoby Free Throw 1 of 1 (21 PTS),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,Made,,,,,,,21.0,,,,,,,,,,,
646,PT02M29.00S,2022-11-20T01:21:59.0Z,4,REGULAR,3pt,Jump Shot,[],1629631,13.091327201051248,94.85294117647058,1610612737,104,109,2022-11-20T01:22:05Z,6310000,False,-224.0,71.0,1,left,D. Hunter 3PT  (19 PTS) (T. Young 10 AST),"[1629631, 1629027]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Left Corner 3,24+ Left,23.51,Made,,,,,,,19.0,T. Young,1629027.0,10.0,,,,,,,,
648,PT02M14.00S,2022-11-20T01:22:17.2Z,4,REGULAR,foul,offensive,[],1630201,,,1610612761,104,109,2022-11-20T01:22:26Z,6330000,False,,,0,,M. Flynn off-the-ball offensive FOUL (5 PF),"[1630201, 1631100]",1610612761.0,TOR,off-the-ball,,,Flynn,M. Flynn,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,1151.0,5.0,0.0,Griffin,1631100.0
650,PT02M14.00S,2022-11-20T01:22:17.2Z,4,REGULAR,turnover,offensive foul,[],1630201,,,1610612761,104,109,2022-11-20T01:22:17Z,6350000,False,,,0,,M. Flynn offensive foul TURNOVER (1 TO),[1630201],1610612761.0,TOR,,,,Flynn,M. Flynn,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,1.0,,,1151.0,,,,
651,PT02M14.00S,2022-11-20T01:22:26.7Z,4,REGULAR,substitution,out,[],201152,,,1610612737,104,109,2022-11-20T01:22:32Z,6360000,False,,,0,,SUB out: T. Young,[201152],1610612761.0,TOR,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
652,PT02M14.00S,2022-11-20T01:22:26.7Z,4,REGULAR,substitution,in,[],1630567,,,1610612737,104,109,2022-11-20T01:22:32Z,6370000,False,,,0,,SUB in: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
653,PT02M08.00S,2022-11-20T01:22:44.1Z,4,REGULAR,3pt,Jump Shot,['fromturnover'],1629027,32.276609724047304,45.34313725490196,1610612737,107,109,2022-11-20T01:22:48Z,6380000,False,23.0,251.0,1,left,T. Young 25' 3PT pullup (27 PTS),[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Center,25.2,Made,,,,,,,27.0,,,,,,,,,,,
654,PT01M40.00S,2022-11-20T01:23:11.8Z,4,REGULAR,2pt,Jump Shot,[],1628384,89.17542706964521,74.01960784313727,1610612761,107,109,2022-11-20T01:23:16Z,6390000,False,120.0,49.0,1,right,MISS O. Anunoby 12' turnaround fadeaway Shot,[1628384],1610612761.0,TOR,turnaround fadeaway,,,Anunoby,O. Anunoby,,,,,Mid-Range,8-16 Right,12.98,Missed,,,,,,,,,,,,,,,,,,
655,PT01M38.00S,2022-11-20T01:23:13.8Z,4,REGULAR,rebound,offensive,[],1630201,,,1610612761,107,109,2022-11-20T01:23:16Z,6400000,False,,,0,,M. Flynn REBOUND (Off:1 Def:4),[1630201],1610612761.0,TOR,,,,Flynn,M. Flynn,,,,,Mid-Range,8-16 Right,,,654.0,,,5.0,4.0,1.0,,,,,,,,,,,,
656,PT01M28.00S,2022-11-20T01:23:24.4Z,4,REGULAR,2pt,Jump Shot,['2ndchance'],1630567,86.28449408672799,74.01960784313727,1610612761,107,109,2022-11-20T01:23:32Z,6410000,False,120.0,76.0,1,right,MISS S. Barnes 14' pullup Shot,[1630567],1610612761.0,TOR,pullup,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Right,14.23,Missed,,,,,,,,,,,,,,,,,,
657,PT01M27.00S,2022-11-20T01:23:25.4Z,4,REGULAR,rebound,defensive,['team'],0,,,1610612737,107,109,2022-11-20T01:23:33Z,6420000,False,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Mid-Range,8-16 Right,,,656.0,,,,,,,,,,,,,,,,,
658,PT01M27.00S,2022-11-20T01:23:34.3Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1631132,,,1610612737,107,109,2022-11-20T01:23:50Z,6430000,False,,,0,,C. Koloko loose ball personal FOUL (4 PF) (Hunter 2 FT),"[1631132, 1629631]",1610612761.0,TOR,loose ball,,,Koloko,C. Koloko,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1151.0,4.0,0.0,Hunter,1629631.0
