actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
566,PT01M48.00S,2023-02-16T02:57:49.9Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628983,91.93495400788436,51.470588235294116,1610612760,107,73,2023-02-16T03:06:16Z,5630000,False,7.0,23.0,1,right,S. Gilgeous-Alexander driving Layup (20 PTS),[1628983],1610612760.0,OKC,driving,,,,,,Restricted Area,0-8 Center,2.44,Made,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,20.0,,,,,,,,,,,,,
567,PT01M33.00S,2023-02-16T02:58:05.2Z,3,REGULAR,3pt,Jump Shot,[],1631095,30.042706964520367,22.30392156862745,1610612745,107,73,2023-02-16T03:06:42Z,5640000,False,138.0,230.0,1,left,MISS J. Smith Jr. 26' pullup 3PT,[1631095],1610612745.0,HOU,pullup,,,,,,Above the Break 3,24+ Right Center,26.84,Missed,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,
568,PT01M31.00S,2023-02-16T02:58:07.2Z,3,REGULAR,rebound,offensive,[],1631106,,,1610612745,107,73,2023-02-16T02:58:09Z,5650000,False,,,0,,T. Eason REBOUND (Off:1 Def:1),[1631106],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,,,Eason,T. Eason,567.0,2.0,1.0,1.0,,,,,,,,,,,,,,
569,PT01M31.00S,2023-02-16T02:58:09.5Z,3,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1631114,,,1610612745,107,73,2023-02-16T02:58:25Z,5660000,False,,,0,,J. Williams shooting personal FOUL (4 PF) (Eason 2 FT),"[1631114, 1631106]",1610612760.0,OKC,shooting,,,,,,Restricted Area,0-8 Center,,,Williams,J. Williams,,,,,,,,1627962.0,4.0,0.0,Eason,1631106.0,,,,,,
571,PT01M31.00S,2023-02-16T02:58:31.7Z,3,REGULAR,freethrow,1 of 2,['2ndchance'],1631106,,,1610612745,107,73,2023-02-16T02:58:31Z,5680000,False,,,0,,MISS T. Eason Free Throw 1 of 2,[1631106],1610612745.0,HOU,,,,,,,,,,Missed,Eason,T. Eason,,,,,,,,,,,,,,,,,,
572,PT01M31.00S,2023-02-16T02:58:31.7Z,3,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612745,107,73,2023-02-16T02:58:31Z,5690000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,571.0,,,,,,,,,,,,,,,,,
573,PT01M31.00S,2023-02-16T02:58:32.2Z,3,REGULAR,substitution,out,[],1631095,,,1610612745,107,73,2023-02-16T02:58:38Z,5700000,False,,,0,,SUB out: J. Smith Jr.,[1631095],1610612745.0,HOU,,,,,,,,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,
574,PT01M31.00S,2023-02-16T02:58:32.2Z,3,REGULAR,substitution,in,[],1631309,,,1610612745,107,73,2023-02-16T02:58:38Z,5710000,False,,,0,,SUB in: T. Hudgins,[1631309],1610612745.0,HOU,,,,,,,,,,,Hudgins,T. Hudgins,,,,,,,,,,,,,,,,,,
575,PT01M31.00S,2023-02-16T02:58:47.7Z,3,REGULAR,freethrow,2 of 2,['2ndchance'],1631106,,,1610612745,107,74,2023-02-16T02:58:47Z,5720000,False,,,0,,T. Eason Free Throw 2 of 2 (8 PTS),[1631106],1610612745.0,HOU,,,,,,,,,,Made,Eason,T. Eason,,,,,8.0,,,,,,,,,,,,,
576,PT01M24.00S,2023-02-16T02:58:58.1Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,91.27792378449409,56.61764705882353,1610612760,109,74,2023-02-16T02:59:04Z,5730000,False,33.0,29.0,1,right,S. Gilgeous-Alexander driving Layup (22 PTS),[1628983],1610612760.0,OKC,driving,,,,,,In The Paint (Non-RA),0-8 Center,4.43,Made,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,22.0,,,,,,,,,,,,,
577,PT01M24.00S,2023-02-16T02:59:03.1Z,3,REGULAR,foul,personal,['1freethrow'],1631106,,,1610612760,109,74,2023-02-16T02:59:08Z,5740000,False,,,0,,T. Eason shooting personal FOUL (3 PF) (Gilgeous-Alexander 1 FT),"[1631106, 1628983]",1610612745.0,HOU,shooting,,,,,,Restricted Area,0-8 Center,,,Eason,T. Eason,,,,,,,,203591.0,3.0,0.0,Gilgeous-Alexander,1628983.0,,,,,,
579,PT01M24.00S,2023-02-16T02:59:21.7Z,3,REGULAR,freethrow,1 of 1,[],1628983,,,1610612760,110,74,2023-02-16T02:59:21Z,5760000,False,,,0,,S. Gilgeous-Alexander Free Throw 1 of 1 (23 PTS),[1628983],1610612760.0,OKC,,,,,,,,,,Made,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,23.0,,,,,,,,,,,,,
580,PT01M12.00S,2023-02-16T02:59:35.7Z,3,REGULAR,3pt,Jump Shot,[],1630620,23.47240473061761,87.5,1610612745,110,74,2023-02-16T02:59:40Z,5770000,False,-188.0,168.0,1,left,MISS D. Days 25' 3PT,[1630620],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Left Center,25.18,Missed,Days,D. Days,,,,,,,,,,,,,,,,,,
581,PT01M09.00S,2023-02-16T02:59:38.7Z,3,REGULAR,rebound,defensive,[],1630198,,,1610612760,110,74,2023-02-16T02:59:40Z,5780000,False,,,0,,I. Joe REBOUND (Off:0 Def:1),[1630198],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Left Center,,,Joe,I. Joe,580.0,1.0,1.0,0.0,,,,,,,,,,,,,,
582,PT01M02.00S,2023-02-16T02:59:46.3Z,3,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1631106,,,1610612760,110,74,2023-02-16T02:59:56Z,5790000,False,,,0,,T. Eason shooting personal FOUL (4 PF) (Gilgeous-Alexander 2 FT),"[1631106, 1628983]",1610612745.0,HOU,shooting,,,,,,Mid-Range,16-24 Center,,,Eason,T. Eason,,,,,,,,1627962.0,4.0,0.0,Gilgeous-Alexander,1628983.0,,,,,,
584,PT01M02.00S,2023-02-16T03:00:17.2Z,3,REGULAR,freethrow,1 of 2,[],1628983,,,1610612760,111,74,2023-02-16T03:00:17Z,5810000,False,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (24 PTS),[1628983],1610612760.0,OKC,,,,,,,,,,Made,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,24.0,,,,,,,,,,,,,
585,PT01M02.00S,2023-02-16T03:00:29.9Z,3,REGULAR,freethrow,2 of 2,[],1628983,,,1610612760,112,74,2023-02-16T03:00:29Z,5820000,False,,,0,,S. Gilgeous-Alexander Free Throw 2 of 2 (25 PTS),[1628983],1610612760.0,OKC,,,,,,,,,,Made,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,25.0,,,,,,,,,,,,,
586,PT00M44.90S,2023-02-16T03:00:48.8Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1631106,5.075558475689881,47.549019607843135,1610612745,112,76,2023-02-16T03:00:52Z,5830000,False,12.0,-5.0,1,left,T. Eason driving Layup (10 PTS) (J. Christopher 2 AST),"[1631106, 1630528]",1610612745.0,HOU,driving,,,,,,Restricted Area,0-8 Center,1.32,Made,Eason,T. Eason,,,,,10.0,,,,,,,,J. Christopher,1630528.0,2.0,,,
588,PT00M32.30S,2023-02-16T03:01:09.1Z,3,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1631106,,,1610612760,112,76,2023-02-16T03:01:19Z,5850000,False,,,0,,T. Eason shooting personal FOUL (5 PF) (Gilgeous-Alexander 2 FT),"[1631106, 1628983]",1610612745.0,HOU,shooting,,,,,,In The Paint (Non-RA),8-16 Center,,,Eason,T. Eason,,,,,,,,202056.0,5.0,0.0,Gilgeous-Alexander,1628983.0,,,,,,
590,PT00M32.30S,2023-02-16T03:01:24.6Z,3,REGULAR,freethrow,1 of 2,[],1628983,,,1610612760,113,76,2023-02-16T03:01:24Z,5870000,False,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (26 PTS),[1628983],1610612760.0,OKC,,,,,,,,,,Made,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,26.0,,,,,,,,,,,,,
591,PT00M32.30S,2023-02-16T03:01:37.7Z,3,REGULAR,freethrow,2 of 2,[],1628983,,,1610612760,114,76,2023-02-16T03:01:37Z,5880000,False,,,0,,S. Gilgeous-Alexander Free Throw 2 of 2 (27 PTS),[1628983],1610612760.0,OKC,,,,,,,,,,Made,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,27.0,,,,,,,,,,,,,
592,PT00M13.40S,2023-02-16T03:01:57.9Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630528,8.09789750328515,44.11764705882353,1610612745,114,76,2023-02-16T03:09:12Z,5890000,False,29.0,24.0,1,left,MISS J. Christopher driving finger roll Layup,[1630528],1610612745.0,HOU,driving finger roll,,,,,,Restricted Area,0-8 Center,3.77,Missed,Christopher,J. Christopher,,,,,,,,,,,,,,,,,,
593,PT00M11.60S,2023-02-16T03:01:59.7Z,3,REGULAR,rebound,defensive,[],1630526,,,1610612760,114,76,2023-02-16T03:01:59Z,5900000,False,,,0,,J. Robinson-Earl REBOUND (Off:1 Def:1),[1630526],1610612760.0,OKC,,,,,,,Restricted Area,0-8 Center,,,Robinson-Earl,J. Robinson-Earl,592.0,2.0,1.0,1.0,,,,,,,,,,,,,,
594,PT00M08.80S,2023-02-16T03:02:03.2Z,3,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1628983,94.03745072273325,47.30392156862745,1610612760,116,76,2023-02-16T03:09:43Z,5910000,False,-13.0,4.0,1,right,S. Gilgeous-Alexander running DUNK (29 PTS) (K. Williams 2 AST),"[1628983, 1629026]",1610612760.0,OKC,running,,,,,,Restricted Area,0-8 Center,1.39,Made,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,29.0,,,,,,,,K. Williams,1629026.0,2.0,,,
596,PT00M02.00S,2023-02-16T03:02:11.7Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630620,8.09789750328515,50.73529411764706,1610612745,116,78,2023-02-16T03:02:15Z,5930000,False,-4.0,24.0,1,left,D. Days cutting Layup (5 PTS) (F. Kaminsky 4 AST),"[1630620, 1626163]",1610612745.0,HOU,cutting,,,,,,Restricted Area,0-8 Center,2.39,Made,Days,D. Days,,,,,5.0,,,,,,,,F. Kaminsky,1626163.0,4.0,,,
598,PT00M00.10S,2023-02-16T03:02:14.6Z,3,REGULAR,3pt,Jump Shot,[],1628983,45.68002628120894,75.0,1610612760,116,78,2023-02-16T03:10:17Z,5950000,False,125.0,458.0,1,right,MISS S. Gilgeous-Alexander 47' pullup 3PT,[1628983],1610612760.0,OKC,pullup,,,,,,Above the Break 3,24+ Left Center,47.48,Missed,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,
599,PT00M00.10S,2023-02-16T03:02:14.6Z,3,REGULAR,rebound,offensive,['team'],0,,,1610612760,116,78,2023-02-16T03:02:21Z,5960000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Left Center,,,,,598.0,,,,,,,,,,,,,,,,,
600,PT00M00.00S,2023-02-16T03:02:32.0Z,3,REGULAR,period,end,[],0,,,1610612760,116,78,2023-02-16T03:02:32Z,5970000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,PT12M00.00S,2023-02-16T03:02:39.5Z,4,REGULAR,substitution,out,['startperiod'],1628983,,,1610612760,116,78,2023-02-16T03:04:49Z,5980000,False,,,0,,SUB out: S. Gilgeous-Alexander,[1628983],1610612760.0,OKC,,,,,,,,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,
602,PT12M00.00S,2023-02-16T03:02:39.5Z,4,REGULAR,substitution,out,['startperiod'],1631114,,,1610612760,116,78,2023-02-16T03:04:49Z,5990000,False,,,0,,SUB out: J. Williams,[1631114],1610612760.0,OKC,,,,,,,,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,
603,PT12M00.00S,2023-02-16T03:02:39.5Z,4,REGULAR,substitution,in,['startperiod'],1630322,,,1610612760,116,78,2023-02-16T03:04:49Z,6000000,False,,,0,,SUB in: L. Waters III,[1630322],1610612760.0,OKC,,,,,,,,,,,Waters III,L. Waters III,,,,,,,,,,,,,,,,,,
604,PT12M00.00S,2023-02-16T03:02:39.5Z,4,REGULAR,substitution,in,['startperiod'],203967,,,1610612760,116,78,2023-02-16T03:04:49Z,6010000,False,,,0,,SUB in: D. Saric,[203967],1610612760.0,OKC,,,,,,,,,,,Saric,D. Saric,,,,,,,,,,,,,,,,,,
605,PT12M00.00S,2023-02-16T03:05:00.9Z,4,REGULAR,period,start,[],0,,,1610612745,116,78,2023-02-16T03:05:00Z,6020000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,PT11M46.00S,2023-02-16T03:05:14.2Z,4,REGULAR,3pt,Jump Shot,[],1631309,33.722076215505915,18.627450980392158,1610612745,116,81,2023-02-16T03:05:18Z,6030000,False,157.0,264.0,1,left,T. Hudgins 30' 3PT  (3 PTS) (J. Christopher 3 AST),"[1631309, 1630528]",1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,30.75,Made,Hudgins,T. Hudgins,,,,,3.0,,,,,,,,J. Christopher,1630528.0,3.0,,,
609,PT11M21.00S,2023-02-16T03:05:53.5Z,4,REGULAR,2pt,Hook,['pointsinthepaint'],203967,88.38699080157687,47.30392156862745,1610612760,118,81,2023-02-16T03:11:23Z,6060000,False,-13.0,57.0,1,right,D. Saric turnaround Hook (10 PTS),[203967],1610612760.0,OKC,turnaround,,,,,,In The Paint (Non-RA),0-8 Center,5.83,Made,Saric,D. Saric,,,,,10.0,,,,,,,,,,,,,
610,PT11M00.00S,2023-02-16T03:06:14.2Z,4,REGULAR,3pt,Jump Shot,[],1630620,14.011169513797633,4.166666666666666,1610612745,118,81,2023-02-16T03:06:20Z,6070000,False,229.0,79.0,1,left,MISS D. Days 24' 3PT,[1630620],1610612745.0,HOU,,,,,,,Right Corner 3,24+ Right,24.25,Missed,Days,D. Days,,,,,,,,,,,,,,,,,,
611,PT10M56.00S,2023-02-16T03:06:18.2Z,4,REGULAR,rebound,defensive,[],1630198,,,1610612760,118,81,2023-02-16T03:06:20Z,6080000,False,,,0,,I. Joe REBOUND (Off:0 Def:2),[1630198],1610612760.0,OKC,,,,,,,Right Corner 3,24+ Right,,,Joe,I. Joe,610.0,2.0,2.0,0.0,,,,,,,,,,,,,,
612,PT10M51.00S,2023-02-16T03:06:23.2Z,4,REGULAR,3pt,Jump Shot,[],1630198,66.5735873850197,47.549019607843135,1610612760,118,81,2023-02-16T03:06:35Z,6090000,False,-12.0,262.0,1,right,MISS I. Joe 26' 3PT,[1630198],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Center,26.2,Missed,Joe,I. Joe,,,,,,,,,,,,,,,,,,
613,PT10M49.00S,2023-02-16T03:06:25.2Z,4,REGULAR,rebound,defensive,['team'],0,,,1610612745,118,81,2023-02-16T03:06:35Z,6100000,False,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Center,,,,,612.0,,,,,,,,,,,,,,,,,
615,PT10M34.00S,2023-02-16T03:06:48.6Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1631309,9.017739816031538,55.14705882352941,1610612745,118,81,2023-02-16T03:12:25Z,6120000,False,-26.0,32.0,1,left,MISS T. Hudgins driving Layup,[1631309],1610612745.0,HOU,driving,,,,,,Restricted Area,0-8 Center,4.13,Missed,Hudgins,T. Hudgins,,,,,,,,,,,,,,,,,,
616,PT10M32.00S,2023-02-16T03:06:50.6Z,4,REGULAR,rebound,defensive,[],1630198,,,1610612760,118,81,2023-02-16T03:06:52Z,6130000,False,,,0,,I. Joe REBOUND (Off:0 Def:3),[1630198],1610612760.0,OKC,,,,,,,Restricted Area,0-8 Center,,,Joe,I. Joe,615.0,3.0,3.0,0.0,,,,,,,,,,,,,,
617,PT10M28.00S,2023-02-16T03:06:53.7Z,4,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630526,94.30026281208936,50.245098039215684,1610612760,120,81,2023-02-16T03:12:59Z,6140000,False,1.0,1.0,1,right,J. Robinson-Earl running reverse Layup (9 PTS) (I. Joe 1 AST),"[1630526, 1630198]",1610612760.0,OKC,running reverse,,,,,,Restricted Area,0-8 Center,0.16,Made,Robinson-Earl,J. Robinson-Earl,,,,,9.0,,,,,,,,I. Joe,1630198.0,1.0,,,
619,PT10M13.00S,2023-02-16T03:07:10.8Z,4,REGULAR,foul,personal,['2freethrow'],203967,,,1610612745,120,81,2023-02-16T03:07:15Z,6160000,False,,,0,,D. Saric shooting personal FOUL (3 PF) (Kaminsky 2 FT),"[203967, 1626163]",1610612760.0,OKC,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,Saric,D. Saric,,,,,,,,1627962.0,3.0,0.0,Kaminsky,1626163.0,,,,,,
621,PT10M13.00S,2023-02-16T03:07:37.6Z,4,REGULAR,freethrow,1 of 2,[],1626163,,,1610612745,120,82,2023-02-16T03:07:37Z,6180000,False,,,0,,F. Kaminsky Free Throw 1 of 2 (3 PTS),[1626163],1610612745.0,HOU,,,,,,,,,,Made,Kaminsky,F. Kaminsky,,,,,3.0,,,,,,,,,,,,,
622,PT10M13.00S,2023-02-16T03:07:38.3Z,4,REGULAR,substitution,out,[],1629026,,,1610612745,120,82,2023-02-16T03:07:42Z,6190000,False,,,0,,SUB out: K. Williams,[1629026],1610612760.0,OKC,,,,,,,,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,
623,PT10M13.00S,2023-02-16T03:07:38.3Z,4,REGULAR,substitution,in,[],1630544,,,1610612745,120,82,2023-02-16T03:07:42Z,6200000,False,,,0,,SUB in: T. Mann,[1630544],1610612760.0,OKC,,,,,,,,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,
624,PT10M13.00S,2023-02-16T03:07:59.8Z,4,REGULAR,freethrow,2 of 2,[],1626163,,,1610612745,120,83,2023-02-16T03:07:59Z,6210000,False,,,0,,F. Kaminsky Free Throw 2 of 2 (4 PTS),[1626163],1610612745.0,HOU,,,,,,,,,,Made,Kaminsky,F. Kaminsky,,,,,4.0,,,,,,,,,,,,,
625,PT09M58.00S,2023-02-16T03:08:19.5Z,4,REGULAR,foul,personal,['2freethrow'],1626163,,,1610612760,120,83,2023-02-16T03:08:30Z,6220000,False,,,0,,F. Kaminsky shooting personal FOUL (1 PF) (Saric 2 FT),"[1626163, 203967]",1610612745.0,HOU,shooting,,,,,,Restricted Area,0-8 Center,,,Kaminsky,F. Kaminsky,,,,,,,,203591.0,1.0,0.0,Saric,203967.0,,,,,,
627,PT09M58.00S,2023-02-16T03:08:48.0Z,4,REGULAR,freethrow,1 of 2,[],203967,,,1610612760,121,83,2023-02-16T03:08:48Z,6240000,False,,,0,,D. Saric Free Throw 1 of 2 (11 PTS),[203967],1610612760.0,OKC,,,,,,,,,,Made,Saric,D. Saric,,,,,11.0,,,,,,,,,,,,,
628,PT09M58.00S,2023-02-16T03:09:07.7Z,4,REGULAR,freethrow,2 of 2,[],203967,,,1610612760,122,83,2023-02-16T03:09:07Z,6250000,False,,,0,,D. Saric Free Throw 2 of 2 (12 PTS),[203967],1610612760.0,OKC,,,,,,,,,,Made,Saric,D. Saric,,,,,12.0,,,,,,,,,,,,,
629,PT09M41.00S,2023-02-16T03:09:26.7Z,4,REGULAR,3pt,Jump Shot,[],1631309,26.363337713534822,17.647058823529413,1610612745,122,83,2023-02-16T03:09:31Z,6260000,False,162.0,195.0,1,left,MISS T. Hudgins 25' step back 3PT,[1631309],1610612745.0,HOU,step back,,,,,,Above the Break 3,24+ Right Center,25.36,Missed,Hudgins,T. Hudgins,,,,,,,,,,,,,,,,,,
630,PT09M38.00S,2023-02-16T03:09:29.7Z,4,REGULAR,rebound,defensive,[],203967,,,1610612760,122,83,2023-02-16T03:09:31Z,6270000,False,,,0,,D. Saric REBOUND (Off:1 Def:4),[203967],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Right Center,,,Saric,D. Saric,629.0,5.0,4.0,1.0,,,,,,,,,,,,,,
631,PT09M33.00S,2023-02-16T03:09:35.2Z,4,REGULAR,3pt,Jump Shot,['fastbreak'],1630322,70.12155059132719,12.5,1610612760,122,83,2023-02-16T03:14:01Z,6280000,False,-188.0,228.0,1,right,MISS L. Waters III 29' running 3PT,[1630322],1610612760.0,OKC,running,,,,,,Above the Break 3,24+ Left Center,29.55,Missed,Waters III,L. Waters III,,,,,,,,,,,,,,,,,,
632,PT09M29.00S,2023-02-16T03:09:39.2Z,4,REGULAR,rebound,defensive,[],1631106,,,1610612745,122,83,2023-02-16T03:09:41Z,6290000,False,,,0,,T. Eason REBOUND (Off:1 Def:2),[1631106],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Left Center,,,Eason,T. Eason,631.0,3.0,2.0,1.0,,,,,,,,,,,,,,
633,PT09M20.00S,2023-02-16T03:09:47.2Z,4,REGULAR,3pt,Jump Shot,[],1626163,32.013797634691194,30.637254901960787,1610612745,122,83,2023-02-16T03:09:51Z,6300000,False,97.0,248.0,1,left,MISS F. Kaminsky 26' 3PT,[1626163],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,26.66,Missed,Kaminsky,F. Kaminsky,,,,,,,,,,,,,,,,,,
634,PT09M17.00S,2023-02-16T03:09:50.2Z,4,REGULAR,rebound,defensive,[],1630526,,,1610612760,122,83,2023-02-16T03:09:51Z,6310000,False,,,0,,J. Robinson-Earl REBOUND (Off:1 Def:2),[1630526],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Right Center,,,Robinson-Earl,J. Robinson-Earl,633.0,3.0,2.0,1.0,,,,,,,,,,,,,,
635,PT08M58.00S,2023-02-16T03:10:08.8Z,4,REGULAR,3pt,Jump Shot,[],1630322,73.01248357424441,81.86274509803921,1610612760,122,83,2023-02-16T03:10:13Z,6320000,False,159.0,201.0,1,right,MISS L. Waters III 25' 3PT,[1630322],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Right Center,25.66,Missed,Waters III,L. Waters III,,,,,,,,,,,,,,,,,,
636,PT08M58.00S,2023-02-16T03:10:08.8Z,4,REGULAR,rebound,offensive,['team'],0,,,1610612760,122,83,2023-02-16T03:10:13Z,6330000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Right Center,,,,,635.0,,,,,,,,,,,,,,,,,
637,PT08M58.00S,2023-02-16T03:10:12.6Z,4,REGULAR,foul,personal,[],1631309,,,1610612760,122,83,2023-02-16T03:10:18Z,6340000,False,,,0,,T. Hudgins loose ball personal FOUL (1 PF),"[1631309, 1630526]",1610612745.0,HOU,loose ball,,,,,,Restricted Area,0-8 Center,,,Hudgins,T. Hudgins,,,,,,,,202056.0,1.0,0.0,Robinson-Earl,1630526.0,,,,,,
639,PT08M58.00S,2023-02-16T03:10:17.9Z,4,REGULAR,substitution,out,[],1630526,,,1610612760,122,83,2023-02-16T03:10:22Z,6360000,False,,,0,,SUB out: J. Robinson-Earl,[1630526],1610612760.0,OKC,,,,,,,,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,
640,PT08M58.00S,2023-02-16T03:10:17.9Z,4,REGULAR,substitution,in,[],1630647,,,1610612760,122,83,2023-02-16T03:10:22Z,6370000,False,,,0,,SUB in: E. Omoruyi,[1630647],1610612760.0,OKC,,,,,,,,,,,Omoruyi,E. Omoruyi,,,,,,,,,,,,,,,,,,
641,PT08M58.00S,2023-02-16T03:10:29.3Z,4,REGULAR,substitution,out,[],1631106,,,1610612760,122,83,2023-02-16T03:10:39Z,6380000,False,,,0,,SUB out: T. Eason,[1631106],1610612745.0,HOU,,,,,,,,,,,Eason,T. Eason,,,,,,,,,,,,,,,,,,
642,PT08M58.00S,2023-02-16T03:10:29.3Z,4,REGULAR,substitution,in,[],1630586,,,1610612760,122,83,2023-02-16T03:10:39Z,6390000,False,,,0,,SUB in: U. Garuba,[1630586],1610612745.0,HOU,,,,,,,,,,,Garuba,U. Garuba,,,,,,,,,,,,,,,,,,
643,PT08M52.00S,2023-02-16T03:10:53.0Z,4,REGULAR,3pt,Jump Shot,['2ndchance'],1630544,68.54467805519053,66.91176470588235,1610612760,122,83,2023-02-16T03:15:29Z,6400000,False,85.0,243.0,1,right,MISS T. Mann 25' step back 3PT,[1630544],1610612760.0,OKC,step back,,,,,,Above the Break 3,24+ Right Center,25.75,Missed,Mann,T. Mann,,,,,,,,,,,,,,,,,,
644,PT08M49.00S,2023-02-16T03:10:56.0Z,4,REGULAR,rebound,defensive,[],1630620,,,1610612745,122,83,2023-02-16T03:10:58Z,6410000,False,,,0,,D. Days REBOUND (Off:0 Def:1),[1630620],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,,,Days,D. Days,643.0,1.0,1.0,0.0,,,,,,,,,,,,,,
645,PT08M37.00S,2023-02-16T03:11:08.7Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630528,18.084756898817346,64.4607843137255,1610612745,122,85,2023-02-16T03:11:12Z,6420000,False,-72.0,117.0,1,left,J. Christopher 13' pullup Jump Shot (3 PTS) (F. Kaminsky 5 AST),"[1630528, 1626163]",1610612745.0,HOU,pullup,,,,,,In The Paint (Non-RA),8-16 Left,13.8,Made,Christopher,J. Christopher,,,,,3.0,,,,,,,,F. Kaminsky,1626163.0,5.0,,,
647,PT08M17.00S,2023-02-16T03:11:29.7Z,4,REGULAR,turnover,out-of-bounds,[],203967,,,1610612760,122,85,2023-02-16T03:11:35Z,6440000,False,,,0,,D. Saric bad pass out-of-bounds TURNOVER (1 TO),[203967],1610612760.0,OKC,bad pass,,,,,,In The Paint (Non-RA),8-16 Left,,,Saric,D. Saric,,,,,,,,,,,,,,,,1.0,,
648,PT08M07.00S,2023-02-16T03:11:51.9Z,4,REGULAR,3pt,Jump Shot,['fromturnover'],1626163,27.151773981603156,80.14705882352942,1610612745,122,85,2023-02-16T03:11:59Z,6450000,False,-151.0,203.0,1,left,MISS F. Kaminsky 25' 3PT,[1626163],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Left Center,25.26,Missed,Kaminsky,F. Kaminsky,,,,,,,,,,,,,,,,,,
649,PT08M04.00S,2023-02-16T03:11:54.9Z,4,REGULAR,rebound,defensive,['team'],0,,,1610612760,122,85,2023-02-16T03:11:59Z,6460000,False,,,0,,TEAM defensive REBOUND,[],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Left Center,,,,,648.0,,,,,,,,,,,,,,,,,
