actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
258,PT04M58.00S,2025-03-31T01:54:11.9Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612756,38,55,2025-03-31T01:58:53Z,2540000,False,,,0,,TEAM defensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,,,257.0,,,,,,,,,,,
344,PT04M48.00S,2025-03-31T01:54:28.1Z,2,REGULAR,foul,personal,[],1628415,,,1610612756,38,55,2025-03-31T02:19:41Z,2562500,False,,,0,,D. Brooks personal FOUL (1 PF),"[1628415, 201142]",1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Mid-Range,16-24 Left Center,,,,203593.0,1.0,0.0,Durant,201142.0,,,,,,,,,,,,
303,PT04M48.00S,2025-03-31T01:54:40.3Z,2,REGULAR,foul,technical,['inpenalty'],201142,,,1610612756,38,55,2025-03-31T02:20:32Z,2575000,False,,,0,,K. Durant double technical FOUL (1 Tech),[201142],1610612756.0,PHX,double,,,Durant,K. Durant,,,,,,,,,,203593.0,1.0,1.0,,,,,,,,,,,,,,
304,PT04M48.00S,2025-03-31T01:54:40.3Z,2,REGULAR,foul,technical,[],1628415,,,1610612756,38,55,2025-03-31T02:20:38Z,2577500,False,,,0,,D. Brooks double technical FOUL (1 Tech),[1628415],1610612745.0,HOU,double,,,Brooks,D. Brooks,,,,,,,,,,203593.0,1.0,1.0,,,,,,,,,,,,,,
327,PT04M48.00S,2025-03-31T01:54:44.1Z,2,REGULAR,foul,technical,['inpenalty'],1630208,,,1610612756,38,55,2025-03-31T02:06:18Z,2578750,False,,,0,,N. Richards technical FOUL (1 Tech),[1630208],1610612756.0,PHX,,,,Richards,N. Richards,,,,,,,,,,1662.0,1.0,1.0,,,,,,,,,,,,,,
263,PT04M48.00S,2025-03-31T01:54:47.9Z,2,REGULAR,foul,technical,[],1628415,,,1610612756,38,55,2025-03-31T02:00:24Z,2580000,False,,,0,,D. Brooks technical FOUL (2 Tech),[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,,,,,,203593.0,1.0,2.0,,,,,,,,,,,,,,
264,PT04M48.00S,2025-03-31T01:55:12.6Z,2,REGULAR,ejection,other,[],1628415,,,1610612756,38,55,2025-03-31T01:58:00Z,2590000,False,,,0,,Ejection D. Brooks,[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,,,,,,1662.0,,,,,,,,,,,,,,,,
269,PT04M48.00S,2025-03-31T01:57:53.6Z,2,REGULAR,substitution,out,[],1628415,,,1610612756,38,55,2025-03-31T01:59:42Z,2605000,False,,,0,,SUB out: D. Brooks,[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,
270,PT04M48.00S,2025-03-31T01:57:53.6Z,2,REGULAR,substitution,in,[],1627832,,,1610612756,38,55,2025-03-31T01:59:42Z,2607500,False,,,0,,SUB in: F. VanVleet,[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,,
267,PT04M40.00S,2025-03-31T01:59:26.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630208,5.206964520367937,46.81372549019608,1610612756,40,55,2025-03-31T02:01:00Z,2610000,False,16.0,-4.0,1,left,N. Richards cutting Layup (2 PTS) (D. Booker 1 AST),"[1630208, 1626164]",1610612756.0,PHX,cutting,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,1.63,Made,2.0,,,,,,,,,,,,D. Booker,1626164.0,1.0,,,
271,PT04M17.00S,2025-03-31T01:59:45.9Z,2,REGULAR,2pt,Jump Shot,[],1630224,82.47371879106439,25.735294117647058,1610612745,40,55,2025-03-31T02:07:34Z,2630000,False,-121.0,112.0,1,right,MISS J. Green 16' pullup Shot,[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Mid-Range,16-24 Left Center,16.52,Missed,,,,,,,,,,,,,,,,,,
272,PT04M13.00S,2025-03-31T01:59:49.9Z,2,REGULAR,rebound,offensive,[],1641708,,,1610612745,40,55,2025-03-31T01:59:56Z,2640000,False,,,0,,A. Thompson REBOUND (Off:5 Def:1),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Mid-Range,16-24 Left Center,,,,,,,,,271.0,6.0,1.0,5.0,,,,,,,,
273,PT04M12.00S,2025-03-31T01:59:51.4Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1627832,67.09921156373193,37.5,1610612745,40,58,2025-03-31T01:59:54Z,2650000,False,-62.0,257.0,1,right,F. VanVleet 26' 3PT  (8 PTS) (A. Thompson 5 AST),"[1627832, 1641708]",1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Center,26.43,Made,8.0,,,,,,,,,,,,A. Thompson,1641708.0,5.0,,,
275,PT04M00.00S,2025-03-31T02:00:03.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628960,6.258212877792378,47.05882352941176,1610612756,40,58,2025-03-31T02:07:58Z,2670000,False,15.0,6.0,1,left,MISS G. Allen driving Layup,[1628960],1610612756.0,PHX,driving,,,Allen,G. Allen,,,,,Restricted Area,0-8 Center,1.6,Missed,,,,,,,,,,,,,,,,,,
276,PT03M59.00S,2025-03-31T02:00:04.9Z,2,REGULAR,rebound,defensive,[],1627832,,,1610612745,40,58,2025-03-31T02:00:04Z,2680000,False,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,,,,,,,,,275.0,1.0,1.0,0.0,,,,,,,,
277,PT03M55.00S,2025-03-31T02:00:08.7Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1627832,68.80749014454665,17.15686274509804,1610612745,40,58,2025-03-31T02:08:51Z,2690000,False,-164.0,241.0,1,right,MISS F. VanVleet 29' running pullup 3PT,[1627832],1610612745.0,HOU,running pullup,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,29.14,Missed,,,,,,,,,,,,,,,,,,
278,PT03M52.00S,2025-03-31T02:00:11.7Z,2,REGULAR,rebound,defensive,[],1631221,,,1610612756,40,58,2025-03-31T02:24:12Z,2700000,False,,,0,,C. Gillespie REBOUND (Off:0 Def:2),[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,Above the Break 3,24+ Left Center,,,,,,,,,277.0,2.0,2.0,0.0,,,,,,,,
346,PT03M52.00S,2025-03-31T02:00:11.5Z,2,REGULAR,turnover,lost ball,[],1631221,,,1610612756,40,58,2025-03-31T02:24:30Z,2705000,False,,,0,,C. Gillespie lost ball TURNOVER (1 TO),"[1631221, 1631095]",1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,1.0,Smith Jr.,1631095.0
347,PT03M52.00S,2025-03-31T02:00:11.5Z,2,REGULAR,steal,,[],1631095,,,1610612745,40,58,2025-03-31T02:24:30Z,2707500,False,,,0,,J. Smith Jr. STEAL (1 STL),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
279,PT03M49.00S,2025-03-31T02:00:14.3Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1631095,92.59198423127464,50.73529411764706,1610612745,40,58,2025-03-31T02:24:30Z,2710000,False,4.0,17.0,1,right,MISS J. Smith Jr. DUNK - blocked,"[1631095, 1631221]",1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,1.75,Missed,,,,,,,,,,,Gillespie,1631221.0,,,,,,
280,PT03M49.00S,2025-03-31T02:00:14.3Z,2,REGULAR,block,,[],1631221,,,1610612745,40,58,2025-03-31T02:00:16Z,2720000,False,,,0,,C. Gillespie BLOCK (1 BLK),[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
281,PT03M47.00S,2025-03-31T02:00:16.3Z,2,REGULAR,rebound,offensive,[],1631095,,,1610612745,40,58,2025-03-31T02:00:24Z,2730000,False,,,0,,J. Smith Jr. REBOUND (Off:1 Def:2),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,279.0,3.0,2.0,1.0,,,,,,,,
282,PT03M46.00S,2025-03-31T02:00:17.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance', 'fromturnover']",1631095,95.0886990801577,49.26470588235294,1610612745,40,60,2025-03-31T02:24:30Z,2740000,False,-4.0,-6.0,1,right,J. Smith Jr. putback Layup (6 PTS),[1631095],1610612745.0,HOU,putback,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,0.73,Made,6.0,,,,,,,,,,,,,,,,,
283,PT03M35.00S,2025-03-31T02:00:28.2Z,2,REGULAR,2pt,Jump Shot,[],1626164,22.421156373193167,48.529411764705884,1610612756,42,60,2025-03-31T02:00:34Z,2750000,False,7.0,158.0,1,left,D. Booker 15' pullup Jump Shot (18 PTS),[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Mid-Range,8-16 Center,15.85,Made,18.0,,,,,,,,,,,,,,,,,
284,PT03M22.00S,2025-03-31T02:00:41.0Z,2,REGULAR,turnover,bad pass,[],1630224,,,1610612745,42,60,2025-03-31T02:01:05Z,2760000,False,,,0,,J. Green bad pass TURNOVER (1 TO),"[1630224, 1631221]",1610612745.0,HOU,,,,Green,J. Green,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,1.0,Gillespie,1631221.0
285,PT03M22.00S,2025-03-31T02:00:41.0Z,2,REGULAR,steal,,[],1631221,,,1610612756,42,60,2025-03-31T02:00:45Z,2770000,False,,,0,,C. Gillespie STEAL (1 STL),[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
286,PT03M16.00S,2025-03-31T02:00:47.1Z,2,REGULAR,turnover,bad pass,[],1631221,,,1610612756,42,60,2025-03-31T02:01:09Z,2780000,False,,,0,,C. Gillespie bad pass TURNOVER (2 TO),"[1631221, 1627832]",1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,2.0,VanVleet,1627832.0
287,PT03M16.00S,2025-03-31T02:00:47.1Z,2,REGULAR,steal,,[],1627832,,,1610612745,42,60,2025-03-31T02:23:47Z,2790000,False,,,0,,F. VanVleet STEAL (1 STL),[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
288,PT03M09.00S,2025-03-31T02:00:54.5Z,2,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630224,93.24901445466492,48.77450980392157,1610612745,42,62,2025-03-31T02:24:43Z,2800000,False,-6.0,11.0,1,right,J. Green running DUNK (7 PTS) (A. Thompson 6 AST),"[1630224, 1641708]",1610612745.0,HOU,running,,,Green,J. Green,,,,,Restricted Area,0-8 Center,1.26,Made,7.0,,,,,,,,,,,,A. Thompson,1641708.0,6.0,,,
289,PT03M03.00S,2025-03-31T02:01:00.4Z,2,REGULAR,turnover,lost ball,[],1626164,,,1610612756,42,62,2025-03-31T02:01:44Z,2810000,False,,,0,,D. Booker lost ball TURNOVER (3 TO),"[1626164, 1630224]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,3.0,Green,1630224.0
290,PT03M03.00S,2025-03-31T02:01:00.4Z,2,REGULAR,steal,,[],1630224,,,1610612745,42,62,2025-03-31T02:01:01Z,2820000,False,,,0,,J. Green STEAL (1 STL),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
291,PT03M00.00S,2025-03-31T02:01:03.8Z,2,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1630224,72.22404730617609,83.57843137254902,1610612745,42,65,2025-03-31T02:12:24Z,2830000,False,168.0,209.0,1,right,J. Green 26' 3PT running pullup (10 PTS) (J. Smith Jr. 2 AST),"[1630224, 1631095]",1610612745.0,HOU,running pullup,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,26.78,Made,10.0,,,,,,,,,,,,J. Smith Jr.,1631095.0,2.0,,,
293,PT02M58.00S,2025-03-31T02:01:10.6Z,2,REGULAR,timeout,full,['team'],0,,,1610612756,42,65,2025-03-31T02:01:10Z,2850000,False,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,PT02M58.00S,2025-03-31T02:02:31.1Z,2,REGULAR,substitution,out,[],1630208,,,1610612756,42,65,2025-03-31T02:02:46Z,2860000,False,,,0,,SUB out: N. Richards,[1630208],1610612756.0,PHX,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,,
295,PT02M58.00S,2025-03-31T02:02:31.1Z,2,REGULAR,substitution,out,[],203500,,,1610612756,42,65,2025-03-31T02:02:46Z,2870000,False,,,0,,SUB out: S. Adams,[203500],1610612745.0,HOU,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,,,,,,,
296,PT02M58.00S,2025-03-31T02:02:31.1Z,2,REGULAR,substitution,in,[],1642345,,,1610612756,42,65,2025-03-31T02:02:46Z,2880000,False,,,0,,SUB in: O. Ighodaro,[1642345],1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,,,,,,,,,,,,,,,,,,,,,,
297,PT02M58.00S,2025-03-31T02:02:31.1Z,2,REGULAR,substitution,in,[],1630578,,,1610612756,42,65,2025-03-31T02:02:46Z,2890000,False,,,0,,SUB in: A. Sengun,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,,,
337,PT02M43.00S,2025-03-31T02:03:20.8Z,2,REGULAR,turnover,out-of-bounds,[],1642345,,,1610612756,42,65,2025-03-31T02:08:04Z,2915000,False,,,0,,O. Ighodaro lost ball out-of-bounds TURNOVER (1 TO),[1642345],1610612756.0,PHX,lost ball,,,Ighodaro,O. Ighodaro,,,,,Restricted Area,0-8 Center,,,,203593.0,,,,,,,,,,,,,,1.0,,
301,PT02M35.00S,2025-03-31T02:03:29.4Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1642345,,,1610612745,42,65,2025-03-31T02:03:57Z,2930000,False,,,0,,O. Ighodaro personal FOUL (2 PF) (Green 2 FT),"[1642345, 1630224]",1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,Restricted Area,0-8 Center,,,,1662.0,2.0,0.0,Green,1630224.0,,,,,,,,,,,,
305,PT02M35.00S,2025-03-31T02:04:06.3Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],1630224,,,1610612745,42,66,2025-03-31T02:08:04Z,2950000,False,,,0,,J. Green Free Throw 1 of 2 (11 PTS),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,Made,11.0,,,,,,,,,,,,,,,,,
306,PT02M35.00S,2025-03-31T02:04:23.7Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],1630224,,,1610612745,42,67,2025-03-31T02:08:04Z,2960000,False,,,0,,J. Green Free Throw 2 of 2 (12 PTS),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,Made,12.0,,,,,,,,,,,,,,,,,
307,PT02M27.00S,2025-03-31T02:04:35.4Z,2,REGULAR,3pt,Jump Shot,[],201142,31.488173455978973,21.07843137254902,1610612756,42,67,2025-03-31T02:04:40Z,2970000,False,145.0,243.0,1,left,MISS K. Durant 28' pullup 3PT,[201142],1610612756.0,PHX,pullup,,,Durant,K. Durant,,,,,Above the Break 3,24+ Right Center,28.32,Missed,,,,,,,,,,,,,,,,,,
308,PT02M24.00S,2025-03-31T02:04:38.4Z,2,REGULAR,rebound,defensive,[],1631095,,,1610612745,42,67,2025-03-31T02:04:40Z,2980000,False,,,0,,J. Smith Jr. REBOUND (Off:1 Def:3),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,,307.0,4.0,3.0,1.0,,,,,,,,
309,PT02M18.00S,2025-03-31T02:04:43.8Z,2,REGULAR,turnover,lost ball,[],1630578,,,1610612745,42,67,2025-03-31T02:04:47Z,2990000,False,,,0,,A. Sengun lost ball TURNOVER (1 TO),"[1630578, 1628960]",1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,1.0,Allen,1628960.0
310,PT02M18.00S,2025-03-31T02:04:43.8Z,2,REGULAR,steal,,[],1628960,,,1610612756,42,67,2025-03-31T02:04:45Z,3000000,False,,,0,,G. Allen STEAL (1 STL),[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
311,PT02M13.00S,2025-03-31T02:04:48.9Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",201142,19.66162943495401,2.2058823529411766,1610612756,45,67,2025-03-31T02:15:04Z,3010000,False,239.0,132.0,1,left,K. Durant 27' 3PT running (9 PTS) (D. Booker 2 AST),"[201142, 1626164]",1610612756.0,PHX,running,,,Durant,K. Durant,,,,,Above the Break 3,24+ Right Center,27.32,Made,9.0,,,,,,,,,,,,D. Booker,1626164.0,2.0,,,
450,PT01M54.00S,2025-03-31T02:05:03.8Z,2,REGULAR,turnover,lost ball,[],1630224,,,1610612745,45,67,2025-03-31T02:40:47Z,3035000,False,,,0,,J. Green lost ball TURNOVER (2 TO),"[1630224, 201142]",1610612745.0,HOU,,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,2.0,Durant,201142.0
451,PT01M54.00S,2025-03-31T02:05:03.8Z,2,REGULAR,steal,,[],201142,,,1610612756,45,67,2025-03-31T02:40:47Z,3042500,False,,,0,,K. Durant STEAL (1 STL),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
315,PT01M44.00S,2025-03-31T02:05:18.8Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1626164,1.7904073587385019,94.85294117647058,1610612756,45,67,2025-03-31T02:40:47Z,3050000,False,-224.0,-36.0,1,left,MISS D. Booker 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Left Corner 3,24+ Left,22.71,Missed,,,,,,,,,,,,,,,,,,
316,PT01M40.00S,2025-03-31T02:05:22.8Z,2,REGULAR,rebound,defensive,[],1641708,,,1610612745,45,67,2025-03-31T02:05:28Z,3060000,False,,,0,,A. Thompson REBOUND (Off:5 Def:2),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Left Corner 3,24+ Left,,,,,,,,,315.0,7.0,2.0,5.0,,,,,,,,
317,PT01M39.00S,2025-03-31T02:05:24.0Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630224,93.64323258869908,51.71568627450981,1610612745,45,69,2025-03-31T02:05:37Z,3070000,False,9.0,7.0,1,right,J. Green running DUNK (14 PTS) (A. Thompson 7 AST),"[1630224, 1641708]",1610612745.0,HOU,running,,,Green,J. Green,,,,,Restricted Area,0-8 Center,1.13,Made,14.0,,,,,,,,,,,,A. Thompson,1641708.0,7.0,,,
319,PT01M16.00S,2025-03-31T02:05:46.1Z,2,REGULAR,2pt,Jump Shot,[],201142,5.601182654402102,70.09803921568627,1610612756,45,69,2025-03-31T02:05:51Z,3090000,False,-100.0,0.0,1,left,MISS K. Durant 10' step back Shot,[201142],1610612756.0,PHX,step back,,,Durant,K. Durant,,,,,Mid-Range,8-16 Left,10.05,Missed,,,,,,,,,,,,,,,,,,
320,PT01M13.00S,2025-03-31T02:05:49.1Z,2,REGULAR,rebound,defensive,[],1631095,,,1610612745,45,69,2025-03-31T02:05:51Z,3100000,False,,,0,,J. Smith Jr. REBOUND (Off:1 Def:4),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,8-16 Left,,,,,,,,,319.0,5.0,4.0,1.0,,,,,,,,
321,PT01M04.00S,2025-03-31T02:05:58.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641708,92.59198423127464,48.28431372549019,1610612745,45,71,2025-03-31T02:06:05Z,3110000,False,-9.0,17.0,1,right,A. Thompson Jump Shot (10 PTS) (A. Sengun 3 AST),"[1641708, 1630578]",1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,1.91,Made,10.0,,,,,,,,,,,,A. Sengun,1630578.0,3.0,,,
323,PT00M54.80S,2025-03-31T02:06:08.9Z,2,REGULAR,turnover,bad pass,[],201142,,,1610612756,45,71,2025-03-31T02:06:14Z,3130000,False,,,0,,K. Durant bad pass TURNOVER (1 TO),"[201142, 1627832]",1610612756.0,PHX,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,1.0,VanVleet,1627832.0
324,PT00M54.80S,2025-03-31T02:06:08.9Z,2,REGULAR,steal,,[],1627832,,,1610612745,45,71,2025-03-31T02:06:10Z,3140000,False,,,0,,F. VanVleet STEAL (2 STL),[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
325,PT00M50.50S,2025-03-31T02:06:13.2Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1627832,76.03482260183968,8.088235294117647,1610612745,45,74,2025-03-31T02:16:23Z,3150000,False,-210.0,173.0,1,right,F. VanVleet 27' 3PT running (11 PTS) (A. Thompson 8 AST),"[1627832, 1641708]",1610612745.0,HOU,running,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,27.16,Made,11.0,,,,,,,,,,,,A. Thompson,1641708.0,8.0,,,
328,PT00M33.90S,2025-03-31T02:06:36.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1626164,5.338370565045992,47.549019607843135,1610612756,47,74,2025-03-31T02:06:40Z,3170000,False,12.0,-2.0,1,left,D. Booker driving Layup (20 PTS),[1626164],1610612756.0,PHX,driving,,,Booker,D. Booker,,,,,Restricted Area,0-8 Center,1.25,Made,20.0,,,,,,,,,,,,,,,,,
329,PT00M28.40S,2025-03-31T02:06:46.3Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1626164,,,1610612745,47,74,2025-03-31T02:07:08Z,3180000,False,,,0,,D. Booker personal FOUL (2 PF) (Green 2 FT),"[1626164, 1630224]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Right Center,,,,1628954.0,2.0,0.0,Green,1630224.0,,,,,,,,,,,,
331,PT00M28.40S,2025-03-31T02:07:13.5Z,2,REGULAR,freethrow,1 of 2,[],1630224,,,1610612745,47,75,2025-03-31T02:07:13Z,3200000,False,,,0,,J. Green Free Throw 1 of 2 (15 PTS),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,Made,15.0,,,,,,,,,,,,,,,,,
332,PT00M28.40S,2025-03-31T02:07:14.5Z,2,REGULAR,substitution,out,[],1630578,,,1610612745,47,75,2025-03-31T02:07:19Z,3210000,False,,,0,,SUB out: A. Sengun,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,,,
333,PT00M28.40S,2025-03-31T02:07:14.5Z,2,REGULAR,substitution,in,[],1628988,,,1610612745,47,75,2025-03-31T02:07:19Z,3220000,False,,,0,,SUB in: A. Holiday,[1628988],1610612745.0,HOU,,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
334,PT00M28.40S,2025-03-31T02:07:35.5Z,2,REGULAR,freethrow,2 of 2,[],1630224,,,1610612745,47,76,2025-03-31T02:07:35Z,3230000,False,,,0,,J. Green Free Throw 2 of 2 (16 PTS),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,Made,16.0,,,,,,,,,,,,,,,,,
335,PT00M10.80S,2025-03-31T02:07:56.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,11.645860709592641,37.00980392156863,1610612756,49,76,2025-03-31T02:17:13Z,3240000,False,65.0,57.0,1,left,K. Durant 8' turnaround Jump Shot (11 PTS),[201142],1610612756.0,PHX,turnaround,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Right,8.65,Made,11.0,,,,,,,,,,,,,,,,,
338,PT00M03.50S,2025-03-31T02:08:06.4Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1641708,94.95729303547962,46.81372549019608,1610612745,49,78,2025-03-31T02:08:27Z,3260000,False,-16.0,-5.0,1,right,A. Thompson alley-oop DUNK (12 PTS) (F. VanVleet 4 AST),"[1641708, 1627832]",1610612745.0,HOU,alley-oop,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,1.67,Made,12.0,,,,,,,,,,,,F. VanVleet,1627832.0,4.0,,,
340,PT00M00.00S,2025-03-31T02:08:19.9Z,2,REGULAR,3pt,Jump Shot,[],1631221,55.00985545335085,12.5,1610612756,49,78,2025-03-31T02:17:39Z,3280000,False,188.0,465.0,1,left,MISS C. Gillespie 50' pullup 3PT,[1631221],1610612756.0,PHX,pullup,,,Gillespie,C. Gillespie,,,,,Above the Break 3,24+ Left Center,50.1,Missed,,,,,,,,,,,,,,,,,,
341,PT00M00.00S,2025-03-31T02:08:19.9Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612756,49,78,2025-03-31T02:08:30Z,3290000,False,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,340.0,,,,,,,,,,,
342,PT00M00.00S,2025-03-31T02:08:22.7Z,2,REGULAR,period,end,[],0,,,1610612756,49,78,2025-03-31T02:08:22Z,3300000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,PT12M00.00S,2025-03-31T02:23:54.1Z,3,REGULAR,substitution,out,['startperiod'],1642345,,,1610612756,49,78,2025-03-31T02:24:30Z,3310000,False,,,0,,SUB out: O. Ighodaro,[1642345],1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,,,,,,,,,,,,,,,,,,,,,,
349,PT12M00.00S,2025-03-31T02:23:54.1Z,3,REGULAR,substitution,out,['startperiod'],1628960,,,1610612756,49,78,2025-03-31T02:24:30Z,3320000,False,,,0,,SUB out: G. Allen,[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
