actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
266,PT06M10.00S,2024-11-19T03:50:33.6Z,2,REGULAR,substitution,out,[],1629162,,,1610612758,51,42,2024-11-19T03:50:52Z,2600000,False,,,0,,SUB out: J. McLaughlin,[1629162],1610612758.0,SAC,,,,McLaughlin,J. McLaughlin,,,,,,,,,,,,,,,,,,,,,,,,,,
267,PT06M10.00S,2024-11-19T03:50:33.6Z,2,REGULAR,substitution,out,[],1631165,,,1610612758,51,42,2024-11-19T03:50:52Z,2610000,False,,,0,,SUB out: K. Ellis,[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,,,,,,,,,,,,,,,,,,,,,,
268,PT06M10.00S,2024-11-19T03:50:33.6Z,2,REGULAR,substitution,out,[],1642403,,,1610612758,51,42,2024-11-19T03:50:52Z,2620000,False,,,0,,SUB out: I. Jones,[1642403],1610612758.0,SAC,,,,Jones,I. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
269,PT06M10.00S,2024-11-19T03:50:33.6Z,2,REGULAR,substitution,out,[],1631223,,,1610612758,51,42,2024-11-19T03:50:52Z,2630000,False,,,0,,SUB out: D. Roddy,[1631223],1610612737.0,ATL,,,,Roddy,D. Roddy,,,,,,,,,,,,,,,,,,,,,,,,,,
270,PT06M10.00S,2024-11-19T03:50:33.6Z,2,REGULAR,substitution,out,[],1642258,,,1610612758,51,42,2024-11-19T03:50:52Z,2640000,False,,,0,,SUB out: Z. Risacher,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,,,,,,,,,,,,,,,,,,,,,,
271,PT06M10.00S,2024-11-19T03:50:33.6Z,2,REGULAR,substitution,out,[],1630168,,,1610612758,51,42,2024-11-19T03:50:52Z,2650000,False,,,0,,SUB out: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
272,PT06M10.00S,2024-11-19T03:50:33.6Z,2,REGULAR,substitution,in,[],1628368,,,1610612758,51,42,2024-11-19T03:50:52Z,2660000,False,,,0,,SUB in: D. Fox,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,
273,PT06M10.00S,2024-11-19T03:50:33.6Z,2,REGULAR,substitution,in,[],1626168,,,1610612758,51,42,2024-11-19T03:50:52Z,2670000,False,,,0,,SUB in: T. Lyles,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,,,,,,,,,,,
274,PT06M10.00S,2024-11-19T03:50:33.6Z,2,REGULAR,substitution,in,[],1631115,,,1610612758,51,42,2024-11-19T03:50:52Z,2680000,False,,,0,,SUB in: O. Robinson,[1631115],1610612758.0,SAC,,,,Robinson,O. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
275,PT06M10.00S,2024-11-19T03:50:33.6Z,2,REGULAR,substitution,in,[],1630700,,,1610612758,51,42,2024-11-19T03:50:52Z,2690000,False,,,0,,SUB in: D. Daniels,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
276,PT06M10.00S,2024-11-19T03:50:33.6Z,2,REGULAR,substitution,in,[],1629631,,,1610612758,51,42,2024-11-19T03:50:52Z,2700000,False,,,0,,SUB in: D. Hunter,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,
277,PT06M10.00S,2024-11-19T03:50:33.6Z,2,REGULAR,substitution,in,[],203991,,,1610612758,51,42,2024-11-19T03:50:52Z,2710000,False,,,0,,SUB in: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
278,PT06M02.00S,2024-11-19T03:50:54.5Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628989,11.12023653088042,34.31372549019608,1610612758,53,42,2024-11-19T03:55:01Z,2720000,False,78.0,52.0,1,left,K. Huerter 9' driving floating bank Jump Shot (7 PTS) (O. Robinson 1 AST),"[1628989, 1631115]",1610612758.0,SAC,driving floating bank,,,Huerter,K. Huerter,,,,,In The Paint (Non-RA),8-16 Right,,,,,9.41,Made,,,,,7.0,O. Robinson,1631115.0,1.0,,,,,,
280,PT05M48.00S,2024-11-19T03:51:08.5Z,2,REGULAR,3pt,Jump Shot,[],1629726,74.32654402102497,16.42156862745098,1610612737,53,45,2024-11-19T03:51:16Z,2740000,False,-168.0,189.0,1,right,G. Mathews 25' 3PT  (3 PTS) (D. Hunter 1 AST),"[1629726, 1629631]",1610612737.0,ATL,,,,Mathews,G. Mathews,,,,,Above the Break 3,24+ Left Center,,,,,25.27,Made,,,,,3.0,D. Hunter,1629631.0,1.0,,,,,,
282,PT05M29.00S,2024-11-19T03:51:29.5Z,2,REGULAR,foul,personal,['2freethrow'],203991,,,1610612758,53,45,2024-11-19T03:51:38Z,2760000,False,,,0,,C. Capela shooting personal FOUL (1 PF) (Robinson 2 FT),"[203991, 1631115]",1610612737.0,ATL,shooting,,,Capela,C. Capela,,,,,In The Paint (Non-RA),0-8 Center,2003.0,,,,,,,,,,,,,,1.0,0.0,Robinson,1631115.0,,
284,PT05M29.00S,2024-11-19T03:51:54.7Z,2,REGULAR,freethrow,1 of 2,[],1631115,,,1610612758,53,45,2024-11-19T03:51:54Z,2780000,False,,,0,,MISS O. Robinson Free Throw 1 of 2,[1631115],1610612758.0,SAC,,,,Robinson,O. Robinson,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
285,PT05M29.00S,2024-11-19T03:51:54.7Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612758,53,45,2024-11-19T03:51:54Z,2790000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,284.0,,,,,,,,,,,,,
286,PT05M29.00S,2024-11-19T03:52:07.3Z,2,REGULAR,freethrow,2 of 2,[],1631115,,,1610612758,54,45,2024-11-19T03:52:07Z,2800000,False,,,0,,O. Robinson Free Throw 2 of 2 (1 PTS),[1631115],1610612758.0,SAC,,,,Robinson,O. Robinson,,,,,,,,,,,,Made,,,,,1.0,,,,,,,,,
287,PT05M19.00S,2024-11-19T03:52:18.6Z,2,REGULAR,3pt,Jump Shot,[],1629027,69.07030223390277,29.166666666666668,1610612737,54,45,2024-11-19T03:56:03Z,2810000,False,-104.0,238.0,1,right,MISS T. Young 26' pullup 3PT,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Left Center,,,,,26.0,Missed,,,,,,,,,,,,,,
288,PT05M17.00S,2024-11-19T03:52:20.6Z,2,REGULAR,rebound,defensive,[],1628368,,,1610612758,54,45,2024-11-19T03:56:03Z,2820000,False,,,0,,D. Fox REBOUND (Off:0 Def:2),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Left Center,,,,,,,287.0,2.0,2.0,0.0,,,,,,,,,,
289,PT05M09.00S,2024-11-19T03:52:28.1Z,2,REGULAR,turnover,lost ball,[],1631099,,,1610612758,54,45,2024-11-19T03:52:33Z,2830000,False,,,0,,K. Murray lost ball TURNOVER (4 TO),"[1631099, 1629726]",1610612758.0,SAC,,,,Murray,K. Murray,,,,,In The Paint (Non-RA),0-8 Center,,4.0,Mathews,1629726.0,,,,,,,,,,,,,,,,
290,PT05M09.00S,2024-11-19T03:52:28.1Z,2,REGULAR,steal,,[],1629726,,,1610612737,54,45,2024-11-19T03:52:30Z,2840000,False,,,0,,G. Mathews STEAL (2 STL),[1629726],1610612737.0,ATL,,,,Mathews,G. Mathews,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
291,PT04M59.00S,2024-11-19T03:52:39.9Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629631,94.03745072273325,3.9215686274509802,1610612737,54,45,2024-11-19T03:57:07Z,2850000,False,-230.0,4.0,1,right,MISS D. Hunter 3PT,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Left Corner 3,24+ Left,,,,,23.04,Missed,,,,,,,,,,,,,,
292,PT04M57.00S,2024-11-19T03:52:41.9Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612737,54,45,2024-11-19T03:57:07Z,2860000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Left Corner 3,24+ Left,,,,,,,291.0,,,,,,,,,,,,,
294,PT04M51.00S,2024-11-19T03:53:11.3Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629631,89.96386333771353,53.431372549019606,1610612737,54,47,2024-11-19T03:57:33Z,2880000,False,17.0,42.0,1,right,D. Hunter driving floating Jump Shot (7 PTS) (T. Young 8 AST),"[1629631, 1629027]",1610612737.0,ATL,driving floating,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),0-8 Center,,,,,4.52,Made,,,,,7.0,T. Young,1629027.0,8.0,,,,,,
296,PT04M32.00S,2024-11-19T03:53:31.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,10.988830486202366,51.225490196078425,1610612758,54,47,2024-11-19T03:58:21Z,2900000,False,-6.0,51.0,1,left,MISS D. Fox driving floating Shot - blocked,"[1628368, 1630700]",1610612758.0,SAC,driving floating,,,Fox,D. Fox,,,,,In The Paint (Non-RA),0-8 Center,,,,,5.12,Missed,,,,,,,,,,,,,Daniels,1630700.0
297,PT04M32.00S,2024-11-19T03:53:31.1Z,2,REGULAR,block,,[],1630700,,,1610612758,54,47,2024-11-19T03:53:33Z,2910000,False,,,0,,D. Daniels BLOCK (1 BLK),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
298,PT04M31.00S,2024-11-19T03:53:32.1Z,2,REGULAR,rebound,defensive,[],1630700,,,1610612737,54,47,2024-11-19T03:58:21Z,2920000,False,,,0,,D. Daniels REBOUND (Off:0 Def:2),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,296.0,2.0,2.0,0.0,,,,,,,,,,
299,PT04M27.00S,2024-11-19T03:53:36.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629027,92.32917214191852,51.9607843137255,1610612737,54,49,2024-11-19T03:53:46Z,2930000,False,10.0,20.0,1,right,T. Young running Layup (4 PTS) (D. Daniels 1 AST),"[1629027, 1630700]",1610612737.0,ATL,running,,,Young,T. Young,,,,,Restricted Area,0-8 Center,,,,,2.19,Made,,,,,4.0,D. Daniels,1630700.0,1.0,,,,,,
301,PT04M16.00S,2024-11-19T03:53:48.9Z,2,REGULAR,turnover,out-of-bounds,[],1628989,,,1610612758,54,49,2024-11-19T03:54:03Z,2950000,False,,,0,,K. Huerter bad pass out-of-bounds TURNOVER (1 TO),[1628989],1610612758.0,SAC,bad pass,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Right Center,1626302.0,1.0,,,,,,,,,,,,,,,,,,
302,PT04M05.00S,2024-11-19T03:54:06.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629631,92.72339027595268,52.94117647058824,1610612737,54,51,2024-11-19T03:59:06Z,2960000,False,15.0,16.0,1,right,D. Hunter cutting Layup (9 PTS) (C. Capela 1 AST),"[1629631, 203991]",1610612737.0,ATL,cutting,,,Hunter,D. Hunter,,,,,Restricted Area,0-8 Center,,,,,2.17,Made,,,,,9.0,C. Capela,203991.0,1.0,,,,,,
304,PT04M05.00S,2024-11-19T03:54:10.9Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,54,51,2024-11-19T03:54:10Z,2980000,False,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,PT04M05.00S,2024-11-19T03:55:47.1Z,2,REGULAR,substitution,out,[],1631115,,,1610612758,54,51,2024-11-19T03:57:07Z,2990000,False,,,0,,SUB out: O. Robinson,[1631115],1610612758.0,SAC,,,,Robinson,O. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
306,PT04M05.00S,2024-11-19T03:55:47.1Z,2,REGULAR,substitution,in,[],1631165,,,1610612758,54,51,2024-11-19T03:57:07Z,3000000,False,,,0,,SUB in: K. Ellis,[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,,,,,,,,,,,,,,,,,,,,,,
307,PT03M50.00S,2024-11-19T03:57:32.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1626168,6.652431011826544,47.30392156862745,1610612758,54,51,2024-11-19T03:59:49Z,3010000,False,13.0,10.0,1,left,MISS T. Lyles driving Layup,[1626168],1610612758.0,SAC,driving,,,Lyles,T. Lyles,,,,,Restricted Area,0-8 Center,,,,,1.68,Missed,,,,,,,,,,,,,,
308,PT03M48.00S,2024-11-19T03:57:34.2Z,2,REGULAR,rebound,defensive,[],1630700,,,1610612737,54,51,2024-11-19T03:59:49Z,3020000,False,,,0,,D. Daniels REBOUND (Off:0 Def:3),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,,,,307.0,3.0,3.0,0.0,,,,,,,,,,
309,PT03M36.00S,2024-11-19T03:57:44.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630700,83.39356110381078,41.42156862745098,1610612737,54,53,2024-11-19T03:57:50Z,3030000,False,-43.0,104.0,1,right,D. Daniels 11' floating Jump Shot (7 PTS) (T. Young 9 AST),"[1630700, 1629027]",1610612737.0,ATL,floating,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),8-16 Center,,,,,11.21,Made,,,,,7.0,T. Young,1629027.0,9.0,,,,,,
311,PT03M23.00S,2024-11-19T03:57:57.2Z,2,REGULAR,3pt,Jump Shot,[],1626168,28.203022339027594,74.50980392156863,1610612758,57,53,2024-11-19T03:58:03Z,3050000,False,-123.0,213.0,1,left,T. Lyles 24' 3PT  (6 PTS) (K. Huerter 1 AST),"[1626168, 1628989]",1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,Above the Break 3,24+ Left Center,,,,,24.54,Made,,,,,6.0,K. Huerter,1628989.0,1.0,,,,,,
313,PT03M15.00S,2024-11-19T03:58:07.8Z,2,REGULAR,3pt,Jump Shot,[],1629726,72.7496714848883,18.137254901960784,1610612737,57,56,2024-11-19T04:00:27Z,3070000,False,-159.0,204.0,1,right,G. Mathews 25' 3PT  (6 PTS) (T. Young 10 AST),"[1629726, 1629027]",1610612737.0,ATL,,,,Mathews,G. Mathews,,,,,Above the Break 3,24+ Left Center,,,,,25.86,Made,,,,,6.0,T. Young,1629027.0,10.0,,,,,,
315,PT02M59.00S,2024-11-19T03:58:21.7Z,2,REGULAR,3pt,Jump Shot,[],1631165,31.35676741130092,37.00980392156863,1610612758,57,56,2024-11-19T03:58:37Z,3090000,False,65.0,242.0,1,left,MISS K. Ellis 25' 3PT,[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,Above the Break 3,24+ Center,,,,,25.09,Missed,,,,,,,,,,,,,,
316,PT02M56.00S,2024-11-19T03:58:24.7Z,2,REGULAR,rebound,defensive,[],203991,,,1610612737,57,56,2024-11-19T03:58:37Z,3100000,False,,,0,,C. Capela REBOUND (Off:1 Def:6),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Above the Break 3,24+ Center,,,,,,,315.0,7.0,6.0,1.0,,,,,,,,,,
317,PT02M47.00S,2024-11-19T03:58:33.4Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],203991,92.46057818659659,50.73529411764706,1610612737,57,58,2024-11-19T03:58:44Z,3110000,False,4.0,18.0,1,right,C. Capela DUNK (5 PTS) (T. Young 11 AST),"[203991, 1629027]",1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,1.88,Made,,,,,5.0,T. Young,1629027.0,11.0,,,,,,
319,PT02M29.00S,2024-11-19T03:58:52.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,6.915243101182654,51.9607843137255,1610612758,59,58,2024-11-19T04:01:12Z,3130000,False,-10.0,13.0,1,left,D. Fox driving Layup (14 PTS),[1628368],1610612758.0,SAC,driving,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,,,,,1.59,Made,,,,,14.0,,,,,,,,,
320,PT02M14.00S,2024-11-19T03:59:08.2Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1631099,,,1610612737,59,58,2024-11-19T03:59:25Z,3140000,False,,,0,,K. Murray shooting personal FOUL (3 PF) (Hunter 2 FT),"[1631099, 1629631]",1610612758.0,SAC,shooting,,,Murray,K. Murray,,,,,In The Paint (Non-RA),8-16 Center,2003.0,,,,,,,,,,,,,,3.0,0.0,Hunter,1629631.0,,
322,PT02M14.00S,2024-11-19T03:59:49.8Z,2,REGULAR,freethrow,1 of 2,[],1629631,,,1610612737,59,59,2024-11-19T03:59:49Z,3160000,False,,,0,,D. Hunter Free Throw 1 of 2 (10 PTS),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,Made,,,,,10.0,,,,,,,,,
323,PT02M14.00S,2024-11-19T03:59:56.3Z,2,REGULAR,substitution,out,[],1631099,,,1610612737,59,59,2024-11-19T04:00:01Z,3170000,False,,,0,,SUB out: K. Murray,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
324,PT02M14.00S,2024-11-19T03:59:56.3Z,2,REGULAR,substitution,in,[],203926,,,1610612737,59,59,2024-11-19T04:00:01Z,3180000,False,,,0,,SUB in: D. McDermott,[203926],1610612758.0,SAC,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,,,,,,,,
325,PT02M14.00S,2024-11-19T04:00:20.3Z,2,REGULAR,freethrow,2 of 2,[],1629631,,,1610612737,59,60,2024-11-19T04:00:20Z,3190000,False,,,0,,D. Hunter Free Throw 2 of 2 (11 PTS),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,Made,,,,,11.0,,,,,,,,,
326,PT02M00.00S,2024-11-19T04:00:35.1Z,2,REGULAR,3pt,Jump Shot,[],203926,5.206964520367937,96.81372549019608,1610612758,62,60,2024-11-19T04:00:40Z,3200000,False,-234.0,-4.0,1,left,D. McDermott 3PT  (6 PTS) (K. Ellis 1 AST),"[203926, 1631165]",1610612758.0,SAC,,,,McDermott,D. McDermott,,,,,Left Corner 3,24+ Left,,,,,23.41,Made,,,,,6.0,K. Ellis,1631165.0,1.0,,,,,,
328,PT01M49.00S,2024-11-19T04:00:45.7Z,2,REGULAR,3pt,Jump Shot,[],1629027,68.9388961892247,16.911764705882355,1610612737,62,60,2024-11-19T04:02:21Z,3220000,False,-165.0,239.0,1,right,MISS T. Young 29' pullup 3PT,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Left Center,,,,,29.11,Missed,,,,,,,,,,,,,,
329,PT01M48.00S,2024-11-19T04:00:46.7Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612758,62,60,2024-11-19T04:00:51Z,3230000,False,,,0,,TEAM defensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,328.0,,,,,,,,,,,,,
330,PT01M31.00S,2024-11-19T04:01:13.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628989,6.783837056504599,52.450980392156865,1610612758,64,60,2024-11-19T04:01:20Z,3240000,False,-12.0,11.0,1,left,K. Huerter driving reverse Layup (9 PTS) (T. Lyles 4 AST),"[1628989, 1626168]",1610612758.0,SAC,driving reverse,,,Huerter,K. Huerter,,,,,Restricted Area,0-8 Center,,,,,1.67,Made,,,,,9.0,T. Lyles,1626168.0,4.0,,,,,,
331,PT01M12.00S,2024-11-19T04:01:32.2Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],203991,88.25558475689881,50.0,1610612737,64,62,2024-11-19T04:03:04Z,3250000,False,0.0,58.0,1,right,C. Capela driving Hook (7 PTS) (G. Mathews 2 AST),"[203991, 1629726]",1610612737.0,ATL,driving,,,Capela,C. Capela,,,,,In The Paint (Non-RA),0-8 Center,,,,,5.79,Made,,,,,7.0,G. Mathews,1629726.0,2.0,,,,,,
345,PT00M57.80S,2024-11-19T04:01:40.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1626168,6.57030223390276,51.98376225490197,1610612758,64,62,2024-11-19T04:06:43Z,3265000,False,-10.0,9.0,1,left,MISS T. Lyles alley-oop Layup,[1626168],1610612758.0,SAC,alley-oop,,,Lyles,T. Lyles,,,,,Restricted Area,0-8 Center,,,,,1.36,Missed,,,,,,,,,,,,,,
346,PT00M56.80S,2024-11-19T04:01:41.9Z,2,REGULAR,rebound,offensive,[],1626168,,,1610612758,64,62,2024-11-19T04:06:43Z,3267500,False,,,0,,T. Lyles REBOUND (Off:2 Def:2),[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,Restricted Area,0-8 Center,,,,,,,345.0,4.0,2.0,2.0,,,,,,,,,,
334,PT00M55.80S,2024-11-19T04:01:49.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626168,5.206964520367937,51.9607843137255,1610612758,66,62,2024-11-19T04:06:46Z,3270000,False,-10.0,-4.0,1,left,T. Lyles putback Layup (8 PTS),[1626168],1610612758.0,SAC,putback,,,Lyles,T. Lyles,,,,,Restricted Area,0-8 Center,,,,,1.04,Made,,,,,8.0,,,,,,,,,
335,PT00M32.80S,2024-11-19T04:02:16.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629631,85.30305519053877,54.43474264705882,1610612737,66,62,2024-11-19T04:07:37Z,3280000,False,22.0,86.0,1,right,MISS D. Hunter 8' driving floating Shot,[1629631],1610612737.0,ATL,driving floating,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),8-16 Center,,,,,8.85,Missed,,,,,,,,,,,,,,
336,PT00M30.10S,2024-11-19T04:02:19.6Z,2,REGULAR,rebound,defensive,[],1626168,,,1610612758,66,62,2024-11-19T04:07:37Z,3290000,False,,,0,,T. Lyles REBOUND (Off:2 Def:3),[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,335.0,5.0,3.0,2.0,,,,,,,,,,
338,PT00M08.80S,2024-11-19T04:02:41.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,10.726018396846255,41.911764705882355,1610612758,66,62,2024-11-19T04:05:47Z,3300000,False,40.0,48.0,1,left,MISS D. Fox 6' driving floating Shot,[1628368],1610612758.0,SAC,driving floating,,,Fox,D. Fox,,,,,In The Paint (Non-RA),0-8 Center,,,,,6.3,Missed,,,,,,,,,,,,,,
339,PT00M06.90S,2024-11-19T04:02:43.8Z,2,REGULAR,rebound,defensive,[],203991,,,1610612737,66,62,2024-11-19T04:05:47Z,3310000,False,,,0,,C. Capela REBOUND (Off:1 Def:7),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,338.0,8.0,7.0,1.0,,,,,,,,,,
340,PT00M01.80S,2024-11-19T04:02:46.8Z,2,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1629631,93.24901445466492,51.225490196078425,1610612737,66,64,2024-11-19T04:03:47Z,3320000,False,6.0,11.0,1,right,D. Hunter running DUNK (13 PTS) (D. Daniels 2 AST),"[1629631, 1630700]",1610612737.0,ATL,running,,,Hunter,D. Hunter,,,,,Restricted Area,0-8 Center,,,,,1.26,Made,,,,,13.0,D. Daniels,1630700.0,2.0,,,,,,
342,PT00M00.20S,2024-11-19T04:03:01.4Z,2,REGULAR,3pt,Jump Shot,[],1628989,56.718134034165566,22.54901960784314,1610612758,66,64,2024-11-19T04:06:29Z,3340000,False,137.0,481.0,1,left,MISS K. Huerter 49' pullup 3PT,[1628989],1610612758.0,SAC,pullup,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Left Center,,,,,49.99,Missed,,,,,,,,,,,,,,
343,PT00M00.10S,2024-11-19T04:03:01.5Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612758,66,64,2024-11-19T04:06:29Z,3350000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,342.0,,,,,,,,,,,,,
344,PT00M00.00S,2024-11-19T04:04:02.3Z,2,REGULAR,period,end,[],0,,,1610612758,66,64,2024-11-19T04:04:02Z,3360000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,PT12M00.00S,2024-11-19T04:17:52.0Z,3,REGULAR,substitution,out,['startperiod'],1631165,,,1610612758,66,64,2024-11-19T04:18:21Z,3370000,False,,,0,,SUB out: K. Ellis,[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,,,,,,,,,,,,,,,,,,,,,,
348,PT12M00.00S,2024-11-19T04:17:52.0Z,3,REGULAR,substitution,out,['startperiod'],1629631,,,1610612758,66,64,2024-11-19T04:18:21Z,3380000,False,,,0,,SUB out: D. Hunter,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,
349,PT12M00.00S,2024-11-19T04:17:52.0Z,3,REGULAR,substitution,in,['startperiod'],1631099,,,1610612758,66,64,2024-11-19T04:18:21Z,3390000,False,,,0,,SUB in: K. Murray,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
350,PT12M00.00S,2024-11-19T04:17:52.0Z,3,REGULAR,substitution,in,['startperiod'],1642258,,,1610612758,66,64,2024-11-19T04:18:21Z,3400000,False,,,0,,SUB in: Z. Risacher,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,,,,,,,,,,,,,,,,,,,,,,
357,PT12M00.00S,2024-11-19T04:17:52.0Z,3,REGULAR,substitution,out,['startperiod'],203926,,,1610612758,66,64,2024-11-19T04:19:21Z,3405000,False,,,0,,SUB out: D. McDermott,[203926],1610612758.0,SAC,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,,,,,,,,
358,PT12M00.00S,2024-11-19T04:17:52.0Z,3,REGULAR,substitution,in,['startperiod'],203458,,,1610612758,66,64,2024-11-19T04:19:21Z,3407500,False,,,0,,SUB in: A. Len,[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,,,,,,,,,,,,,,,,,,,,
351,PT12M00.00S,2024-11-19T04:18:14.7Z,3,REGULAR,period,start,[],0,,,1610612737,66,64,2024-11-19T04:18:22Z,3410000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
