actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
267,PT06M44.00S,2024-10-26T23:56:10.0Z,2,REGULAR,substitution,out,[],202710,,,1610612748,31,37,2024-10-26T23:59:06Z,2620000,False,,,0,,SUB out: J. Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,,
268,PT06M44.00S,2024-10-26T23:56:10.0Z,2,REGULAR,substitution,in,[],203552,,,1610612748,31,37,2024-10-26T23:59:06Z,2630000,False,,,0,,SUB in: S. Curry,[203552],1610612766.0,CHA,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,,
269,PT06M44.00S,2024-10-26T23:56:10.0Z,2,REGULAR,substitution,in,[],1631107,,,1610612748,31,37,2024-10-26T23:59:06Z,2640000,False,,,0,,SUB in: N. Jović,[1631107],1610612748.0,MIA,,,,Jović,N. Jović,,,,,,,,,,,,,,,,,,,,,,,,,,
270,PT06M44.00S,2024-10-26T23:56:10.0Z,2,REGULAR,substitution,in,[],1626179,,,1610612748,31,37,2024-10-26T23:59:06Z,2650000,False,,,0,,SUB in: T. Rozier,[1626179],1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,,
271,PT06M17.00S,2024-10-26T23:59:34.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,14.536793692509855,49.01960784313725,1610612748,31,37,2024-10-26T23:59:38Z,2660000,False,5.0,84.0,1,left,MISS B. Adebayo 8' turnaround fadeaway Shot,[1628389],1610612748.0,MIA,turnaround fadeaway,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,8.42,Missed,,,,,,,,,,,,,,,,,,
272,PT06M14.00S,2024-10-26T23:59:36.9Z,2,REGULAR,rebound,defensive,[],1630208,,,1610612766,31,37,2024-10-26T23:59:36Z,2670000,False,,,0,,N. Richards REBOUND (Off:2 Def:3),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),8-16 Center,,,271.0,5.0,3.0,2.0,,,,,,,,,,,,,,
273,PT06M00.00S,2024-10-26T23:59:51.5Z,2,REGULAR,3pt,Jump Shot,[],203552,91.67214191852825,95.09803921568627,1610612766,34,37,2024-10-27T00:03:23Z,2680000,False,225.0,26.0,1,right,S. Curry 3PT  (13 PTS) (M. Bridges 2 AST),"[203552, 1628970]",1610612766.0,CHA,,,,Curry,S. Curry,,,,,Right Corner 3,24+ Right,22.7,Made,,,,,,,,,,,,,13.0,M. Bridges,1628970.0,2.0,,
275,PT05M46.00S,2024-10-27T00:00:05.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629639,7.046649145860711,54.41176470588235,1610612748,34,37,2024-10-27T00:00:09Z,2700000,False,-22.0,14.0,1,left,MISS T. Herro driving Layup,[1629639],1610612748.0,MIA,driving,,,Herro,T. Herro,,,,,Restricted Area,0-8 Center,2.6,Missed,,,,,,,,,,,,,,,,,,
276,PT05M42.00S,2024-10-27T00:00:09.2Z,2,REGULAR,rebound,offensive,[],1628389,,,1610612748,34,37,2024-10-27T00:00:09Z,2710000,False,,,0,,B. Adebayo REBOUND (Off:2 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,275.0,4.0,2.0,2.0,,,,,,,,,,,,,,
277,PT05M42.00S,2024-10-27T00:00:09.2Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628389,5.590000152587891,50.0,1610612748,34,37,2024-10-27T00:00:11Z,2720000,False,0.0,0.0,1,left,MISS B. Adebayo tip Layup,[1628389],1610612748.0,MIA,tip,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
278,PT05M42.00S,2024-10-27T00:00:09.2Z,2,REGULAR,rebound,defensive,[],1630544,,,1610612766,34,37,2024-10-27T00:00:11Z,2730000,False,,,0,,T. Mann REBOUND (Off:0 Def:3),[1630544],1610612766.0,CHA,,,,Mann,T. Mann,,,,,Restricted Area,0-8 Center,,,277.0,3.0,3.0,0.0,,,,,,,,,,,,,,
279,PT05M42.00S,2024-10-27T00:00:14.4Z,2,REGULAR,foul,personal,[],1631107,,,1610612766,34,37,2024-10-27T00:00:28Z,2740000,False,,,0,,N. Jović personal FOUL (1 PF),"[1631107, 1630208]",1610612748.0,MIA,,,,Jović,N. Jović,,,,,Restricted Area,0-8 Center,,,,,,,,1626300.0,1.0,0.0,Richards,1630208.0,,,,,,,,
281,PT05M28.00S,2024-10-27T00:00:50.8Z,2,REGULAR,3pt,Jump Shot,[],203995,70.38436268068331,77.45098039215686,1610612766,34,37,2024-10-27T00:04:35Z,2760000,False,137.0,226.0,1,right,MISS V. Micić 26' pullup 3PT,[203995],1610612766.0,CHA,pullup,,,Micić,V. Micić,,,,,Above the Break 3,24+ Right Center,26.44,Missed,,,,,,,,,,,,,,,,,,
282,PT05M24.00S,2024-10-27T00:00:54.8Z,2,REGULAR,rebound,offensive,[],1630208,,,1610612766,34,37,2024-10-27T00:00:56Z,2770000,False,,,0,,N. Richards REBOUND (Off:3 Def:3),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Above the Break 3,24+ Right Center,,,281.0,6.0,3.0,3.0,,,,,,,,,,,,,,
283,PT05M22.00S,2024-10-27T00:00:56.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630208,88.91261498028909,46.568627450980394,1610612766,34,37,2024-10-27T00:01:12Z,2780000,False,-17.0,52.0,1,right,MISS N. Richards Layup,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),0-8 Center,5.45,Missed,,,,,,,,,,,,,,,,,,
284,PT05M20.00S,2024-10-27T00:00:58.6Z,2,REGULAR,rebound,defensive,[],1628389,,,1610612748,34,37,2024-10-27T00:07:01Z,2790000,False,,,0,,B. Adebayo REBOUND (Off:2 Def:3),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,283.0,5.0,3.0,2.0,,,,,,,,,,,,,,
285,PT05M08.00S,2024-10-27T00:01:10.2Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1628389,11.251642575558476,40.44117647058824,1610612748,34,39,2024-10-27T00:01:14Z,2800000,False,48.0,53.0,1,left,B. Adebayo 7' Hook (2 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,7.16,Made,,,,,,,,,,,,,2.0,,,,,
286,PT04M53.00S,2024-10-27T00:01:25.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630544,92.32917214191852,53.67647058823529,1610612766,36,39,2024-10-27T00:01:29Z,2810000,False,18.0,20.0,1,right,T. Mann driving Layup (2 PTS),[1630544],1610612766.0,CHA,driving,,,Mann,T. Mann,,,,,Restricted Area,0-8 Center,2.69,Made,,,,,,,,,,,,,2.0,,,,,
287,PT04M45.00S,2024-10-27T00:01:37.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,11.251642575558476,43.38235294117647,1610612748,36,41,2024-10-27T00:01:42Z,2820000,False,33.0,53.0,1,left,B. Adebayo 6' fadeaway Jump Shot (4 PTS),[1628389],1610612748.0,MIA,fadeaway,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,6.27,Made,,,,,,,,,,,,,4.0,,,,,
288,PT04M45.00S,2024-10-27T00:01:40.3Z,2,REGULAR,foul,personal,['1freethrow'],1630208,,,1610612748,36,41,2024-10-27T00:01:48Z,2830000,False,,,0,,N. Richards shooting personal FOUL (1 PF) (Adebayo 1 FT),"[1630208, 1628389]",1610612766.0,CHA,shooting,,,Richards,N. Richards,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1626300.0,1.0,0.0,Adebayo,1628389.0,,,,,,,,
290,PT04M45.00S,2024-10-27T00:01:50.6Z,2,REGULAR,substitution,out,[],1628970,,,1610612748,36,41,2024-10-27T00:02:12Z,2850000,False,,,0,,SUB out: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,
291,PT04M45.00S,2024-10-27T00:01:50.6Z,2,REGULAR,substitution,out,[],203995,,,1610612748,36,41,2024-10-27T00:02:12Z,2860000,False,,,0,,SUB out: V. Micić,[203995],1610612766.0,CHA,,,,Micić,V. Micić,,,,,,,,,,,,,,,,,,,,,,,,,,
292,PT04M45.00S,2024-10-27T00:01:50.6Z,2,REGULAR,substitution,in,[],1629684,,,1610612748,36,41,2024-10-27T00:02:12Z,2870000,False,,,0,,SUB in: G. Williams,[1629684],1610612766.0,CHA,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
293,PT04M45.00S,2024-10-27T00:01:50.6Z,2,REGULAR,substitution,in,[],1630163,,,1610612748,36,41,2024-10-27T00:02:12Z,2880000,False,,,0,,SUB in: L. Ball,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,,
294,PT04M45.00S,2024-10-27T00:02:11.0Z,2,REGULAR,freethrow,1 of 1,[],1628389,,,1610612748,36,41,2024-10-27T00:02:13Z,2890000,False,,,0,,MISS B. Adebayo Free Throw 1 of 1,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
295,PT04M41.00S,2024-10-27T00:02:15.0Z,2,REGULAR,rebound,defensive,[],1630544,,,1610612766,36,41,2024-10-27T00:02:13Z,2900000,False,,,0,,T. Mann REBOUND (Off:0 Def:4),[1630544],1610612766.0,CHA,,,,Mann,T. Mann,,,,,,,,,294.0,4.0,4.0,0.0,,,,,,,,,,,,,,
296,PT04M28.00S,2024-10-27T00:02:25.7Z,2,REGULAR,3pt,Jump Shot,[],203552,89.30683311432325,3.431372549019608,1610612766,36,41,2024-10-27T00:02:32Z,2910000,False,-233.0,48.0,1,right,MISS S. Curry 3PT,[203552],1610612766.0,CHA,,,,Curry,S. Curry,,,,,Left Corner 3,24+ Left,23.77,Missed,,,,,,,,,,,,,,,,,,
297,PT04M23.00S,2024-10-27T00:02:31.0Z,2,REGULAR,rebound,defensive,[],202692,,,1610612748,36,41,2024-10-27T00:02:31Z,2920000,False,,,0,,A. Burks REBOUND (Off:0 Def:1),[202692],1610612748.0,MIA,,,,Burks,A. Burks,,,,,Left Corner 3,24+ Left,,,296.0,1.0,1.0,0.0,,,,,,,,,,,,,,
298,PT04M20.00S,2024-10-27T00:02:33.6Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1629639,5.995400788436268,1.4705882352941175,1610612748,36,44,2024-10-27T00:02:41Z,2930000,False,243.0,4.0,1,left,T. Herro 24' 3PT running (8 PTS) (N. Jović 3 AST),"[1629639, 1631107]",1610612748.0,MIA,running,,,Herro,T. Herro,,,,,Right Corner 3,24+ Right,24.26,Made,,,,,,,,,,,,,8.0,N. Jović,1631107.0,3.0,,
300,PT04M00.00S,2024-10-27T00:02:53.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203552,92.72339027595268,52.94117647058824,1610612766,36,44,2024-10-27T00:03:02Z,2950000,False,15.0,16.0,1,right,MISS S. Curry driving finger roll Layup,[203552],1610612766.0,CHA,driving finger roll,,,Curry,S. Curry,,,,,Restricted Area,0-8 Center,2.17,Missed,,,,,,,,,,,,,,,,,,
301,PT03M59.00S,2024-10-27T00:02:55.3Z,2,REGULAR,rebound,offensive,[],203552,,,1610612766,36,44,2024-10-27T00:02:55Z,2960000,False,,,0,,S. Curry REBOUND (Off:2 Def:0),[203552],1610612766.0,CHA,,,,Curry,S. Curry,,,,,Restricted Area,0-8 Center,,,300.0,2.0,0.0,2.0,,,,,,,,,,,,,,
302,PT03M56.00S,2024-10-27T00:02:58.1Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1629684,89.83245729303549,4.411764705882353,1610612766,39,44,2024-10-27T00:03:05Z,2970000,False,-228.0,43.0,1,right,G. Williams 3PT  (4 PTS) (S. Curry 2 AST),"[1629684, 203552]",1610612766.0,CHA,,,,Williams,G. Williams,,,,,Left Corner 3,24+ Left,23.19,Made,,,,,,,,,,,,,4.0,S. Curry,203552.0,2.0,,
304,PT03M39.00S,2024-10-27T00:03:14.7Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1628389,13.222733245729303,45.83333333333333,1610612748,39,44,2024-10-27T00:03:21Z,2990000,False,21.0,72.0,1,left,MISS B. Adebayo 7' Hook,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,7.48,Missed,,,,,,,,,,,,,,,,,,
305,PT03M34.00S,2024-10-27T00:03:19.2Z,2,REGULAR,rebound,defensive,[],1630208,,,1610612766,39,44,2024-10-27T00:03:19Z,3000000,False,,,0,,N. Richards REBOUND (Off:3 Def:4),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),0-8 Center,,,304.0,7.0,4.0,3.0,,,,,,,,,,,,,,
306,PT03M29.00S,2024-10-27T00:03:24.9Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1630163,65.78515111695138,18.38235294117647,1610612766,39,44,2024-10-27T00:03:50Z,3010000,False,-158.0,269.0,1,right,MISS L. Ball 31' running pullup 3PT,[1630163],1610612766.0,CHA,running pullup,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,31.21,Missed,,,,,,,,,,,,,,,,,,
307,PT03M25.00S,2024-10-27T00:03:28.9Z,2,REGULAR,rebound,defensive,[],1628389,,,1610612748,39,44,2024-10-27T00:03:32Z,3020000,False,,,0,,B. Adebayo REBOUND (Off:2 Def:4),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Left Center,,,306.0,6.0,4.0,2.0,,,,,,,,,,,,,,
308,PT03M20.00S,2024-10-27T00:03:36.8Z,2,REGULAR,foul,personal,['2freethrow'],203552,,,1610612748,39,44,2024-10-27T00:04:15Z,3030000,False,,,0,,S. Curry shooting personal FOUL (1 PF) (Jović 2 FT),"[203552, 1631107]",1610612766.0,CHA,shooting,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1629178.0,1.0,0.0,Jović,1631107.0,,,,,,,,
310,PT03M20.00S,2024-10-27T00:04:24.6Z,2,REGULAR,freethrow,1 of 2,[],1631107,,,1610612748,39,45,2024-10-27T00:11:38Z,3050000,False,,,0,,N. Jović Free Throw 1 of 2 (6 PTS),[1631107],1610612748.0,MIA,,,,Jović,N. Jović,,,,,,,,Made,,,,,,,,,,,,,6.0,,,,,
311,PT03M20.00S,2024-10-27T00:04:26.9Z,2,REGULAR,substitution,out,[],1630208,,,1610612748,39,45,2024-10-27T00:04:32Z,3060000,False,,,0,,SUB out: N. Richards,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,,
312,PT03M20.00S,2024-10-27T00:04:26.9Z,2,REGULAR,substitution,in,[],1631217,,,1610612748,39,45,2024-10-27T00:04:32Z,3070000,False,,,0,,SUB in: M. Diabaté,[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,,,,,,,,,,,,,,,,,,,,,,
313,PT03M20.00S,2024-10-27T00:04:24.6Z,2,REGULAR,freethrow,2 of 2,[],1631107,,,1610612748,39,46,2024-10-27T00:11:38Z,3080000,False,,,0,,N. Jović Free Throw 2 of 2 (7 PTS),[1631107],1610612748.0,MIA,,,,Jović,N. Jović,,,,,,,,Made,,,,,,,,,,,,,7.0,,,,,
314,PT03M05.00S,2024-10-27T00:05:04.9Z,2,REGULAR,3pt,Jump Shot,[],1629684,90.09526938239159,3.6764705882352944,1610612766,39,46,2024-10-27T00:05:09Z,3090000,False,-232.0,41.0,1,right,MISS G. Williams 3PT,[1629684],1610612766.0,CHA,,,,Williams,G. Williams,,,,,Left Corner 3,24+ Left,23.51,Missed,,,,,,,,,,,,,,,,,,
315,PT03M02.00S,2024-10-27T00:05:07.9Z,2,REGULAR,rebound,offensive,[],1630163,,,1610612766,39,46,2024-10-27T00:15:36Z,3100000,False,,,0,,L. Ball REBOUND (Off:1 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Left Corner 3,24+ Left,,,314.0,2.0,1.0,1.0,,,,,,,,,,,,,,
316,PT02M55.00S,2024-10-27T00:05:14.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630163,92.19776609724047,45.588235294117645,1610612766,39,46,2024-10-27T00:05:20Z,3110000,False,-22.0,21.0,1,right,MISS L. Ball driving Layup,[1630163],1610612766.0,CHA,driving,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,3.03,Missed,,,,,,,,,,,,,,,,,,
317,PT02M53.00S,2024-10-27T00:05:16.3Z,2,REGULAR,rebound,defensive,[],1628389,,,1610612748,39,46,2024-10-27T00:05:20Z,3120000,False,,,0,,B. Adebayo REBOUND (Off:2 Def:5),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,316.0,7.0,5.0,2.0,,,,,,,,,,,,,,
318,PT02M51.00S,2024-10-27T00:05:19.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626179,4.812746386333772,50.245098039215684,1610612748,39,48,2024-10-27T00:05:29Z,3130000,False,-1.0,-7.0,1,left,T. Rozier running reverse Layup (6 PTS) (B. Adebayo 2 AST),"[1626179, 1628389]",1610612748.0,MIA,running reverse,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,0.74,Made,,,,,,,,,,,,,6.0,B. Adebayo,1628389.0,2.0,,
320,PT02M51.00S,2024-10-27T00:05:31.0Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,39,48,2024-10-27T00:05:31Z,3150000,False,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,PT02M51.00S,2024-10-27T00:05:33.2Z,2,REGULAR,substitution,out,[],202692,,,1610612766,39,48,2024-10-27T00:08:21Z,3160000,False,,,0,,SUB out: A. Burks,[202692],1610612748.0,MIA,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,,,,,,,,
322,PT02M51.00S,2024-10-27T00:05:33.2Z,2,REGULAR,substitution,in,[],202710,,,1610612766,39,48,2024-10-27T00:08:21Z,3170000,False,,,0,,SUB in: J. Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,,
323,PT02M39.00S,2024-10-27T00:08:40.5Z,2,REGULAR,3pt,Jump Shot,[],203552,68.9388961892247,22.54901960784314,1610612766,39,48,2024-10-27T00:08:48Z,3180000,False,-137.0,239.0,1,right,MISS S. Curry 27' 3PT,[203552],1610612766.0,CHA,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,27.61,Missed,,,,,,,,,,,,,,,,,,
324,PT02M35.00S,2024-10-27T00:08:44.2Z,2,REGULAR,rebound,offensive,[],1630163,,,1610612766,39,48,2024-10-27T00:08:44Z,3190000,False,,,0,,L. Ball REBOUND (Off:2 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,,,323.0,3.0,1.0,2.0,,,,,,,,,,,,,,
325,PT02M32.00S,2024-10-27T00:08:46.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630163,92.59198423127464,46.32352941176471,1610612766,41,48,2024-10-27T00:08:50Z,3200000,False,-18.0,17.0,1,right,L. Ball driving Layup (5 PTS),[1630163],1610612766.0,CHA,driving,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,2.51,Made,,,,,,,,,,,,,5.0,,,,,
326,PT02M20.00S,2024-10-27T00:08:59.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,16.376478318002626,36.51960784313725,1610612748,41,48,2024-10-27T00:15:08Z,3210000,False,67.0,101.0,1,left,MISS B. Adebayo 12' Jump Shot,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Right,12.18,Missed,,,,,,,,,,,,,,,,,,
327,PT02M17.00S,2024-10-27T00:09:02.4Z,2,REGULAR,rebound,defensive,[],1630163,,,1610612766,41,48,2024-10-27T00:09:02Z,3220000,False,,,0,,L. Ball REBOUND (Off:2 Def:2),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,In The Paint (Non-RA),8-16 Right,,,326.0,4.0,2.0,2.0,,,,,,,,,,,,,,
328,PT02M12.00S,2024-10-27T00:09:06.8Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1630163,65.65374507227332,20.098039215686274,1610612766,41,48,2024-10-27T00:09:12Z,3230000,False,-150.0,270.0,1,right,MISS L. Ball 30' running pullup 3PT,[1630163],1610612766.0,CHA,running pullup,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,30.9,Missed,,,,,,,,,,,,,,,,,,
329,PT02M09.00S,2024-10-27T00:09:09.8Z,2,REGULAR,rebound,defensive,[],1629639,,,1610612748,41,48,2024-10-27T00:09:12Z,3240000,False,,,0,,T. Herro REBOUND (Off:0 Def:2),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Left Center,,,328.0,2.0,2.0,0.0,,,,,,,,,,,,,,
330,PT01M56.00S,2024-10-27T00:09:23.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629639,6.521024967148489,52.450980392156865,1610612748,41,50,2024-10-27T00:09:26Z,3250000,False,-12.0,9.0,1,left,T. Herro driving Layup (10 PTS),[1629639],1610612748.0,MIA,driving,,,Herro,T. Herro,,,,,Restricted Area,0-8 Center,1.51,Made,,,,,,,,,,,,,10.0,,,,,
331,PT01M45.00S,2024-10-27T00:09:36.7Z,2,REGULAR,foul,personal,['2freethrow'],1629639,,,1610612766,41,50,2024-10-27T00:09:45Z,3260000,False,,,0,,T. Herro shooting personal FOUL (1 PF) (Mann 2 FT),"[1629639, 1630544]",1610612748.0,MIA,shooting,,,Herro,T. Herro,,,,,Mid-Range,8-16 Right,,,,,,,,1629178.0,1.0,0.0,Mann,1630544.0,,,,,,,,
333,PT01M45.00S,2024-10-27T00:10:05.0Z,2,REGULAR,freethrow,1 of 2,[],1630544,,,1610612766,42,50,2024-10-27T00:10:05Z,3280000,False,,,0,,T. Mann Free Throw 1 of 2 (3 PTS),[1630544],1610612766.0,CHA,,,,Mann,T. Mann,,,,,,,,Made,,,,,,,,,,,,,3.0,,,,,
334,PT01M45.00S,2024-10-27T00:10:19.6Z,2,REGULAR,freethrow,2 of 2,[],1630544,,,1610612766,43,50,2024-10-27T00:10:19Z,3290000,False,,,0,,T. Mann Free Throw 2 of 2 (4 PTS),[1630544],1610612766.0,CHA,,,,Mann,T. Mann,,,,,,,,Made,,,,,,,,,,,,,4.0,,,,,
335,PT01M33.00S,2024-10-27T00:10:37.7Z,2,REGULAR,2pt,Jump Shot,[],1626179,21.23850197109067,40.44117647058824,1610612748,43,50,2024-10-27T00:10:42Z,3300000,False,48.0,147.0,1,left,MISS T. Rozier 15' pullup Shot,[1626179],1610612748.0,MIA,pullup,,,Rozier,T. Rozier,,,,,Mid-Range,8-16 Center,15.47,Missed,,,,,,,,,,,,,,,,,,
336,PT01M33.00S,2024-10-27T00:10:37.7Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612766,43,50,2024-10-27T00:10:42Z,3310000,False,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Mid-Range,8-16 Center,,,335.0,,,,,,,,,,,,,,,,,
338,PT01M17.00S,2024-10-27T00:11:01.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630163,89.30683311432325,45.34313725490196,1610612766,45,50,2024-10-27T00:11:05Z,3330000,False,-23.0,48.0,1,right,L. Ball driving Layup (7 PTS),[1630163],1610612766.0,CHA,driving,,,Ball,L. Ball,,,,,In The Paint (Non-RA),0-8 Center,5.34,Made,,,,,,,,,,,,,7.0,,,,,
339,PT01M09.00S,2024-10-27T00:11:13.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629639,6.1268068331143235,44.11764705882353,1610612748,45,52,2024-10-27T00:11:17Z,3340000,False,29.0,5.0,1,left,T. Herro driving Layup (12 PTS) (T. Rozier 1 AST),"[1629639, 1626179]",1610612748.0,MIA,driving,,,Herro,T. Herro,,,,,Restricted Area,0-8 Center,2.98,Made,,,,,,,,,,,,,12.0,T. Rozier,1626179.0,1.0,,
341,PT01M09.00S,2024-10-27T00:11:16.2Z,2,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1630544,,,1610612748,45,52,2024-10-27T00:11:29Z,3360000,False,,,0,,T. Mann shooting personal FOUL (1 PF) (Herro 1 FT),"[1630544, 1629639]",1610612766.0,CHA,shooting,,,Mann,T. Mann,,,,,Restricted Area,0-8 Center,,,,,,,,1629178.0,1.0,0.0,Herro,1629639.0,,,,,,,,
343,PT01M09.00S,2024-10-27T00:11:30.5Z,2,REGULAR,substitution,out,[],1631217,,,1610612748,45,52,2024-10-27T00:11:33Z,3380000,False,,,0,,SUB out: M. Diabaté,[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,,,,,,,,,,,,,,,,,,,,,,
344,PT01M09.00S,2024-10-27T00:11:30.5Z,2,REGULAR,substitution,in,[],1630208,,,1610612748,45,52,2024-10-27T00:11:33Z,3390000,False,,,0,,SUB in: N. Richards,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,,
345,PT01M09.00S,2024-10-27T00:11:46.7Z,2,REGULAR,freethrow,1 of 1,[],1629639,,,1610612748,45,53,2024-10-27T00:11:46Z,3400000,False,,,0,,T. Herro Free Throw 1 of 1 (13 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,Made,,,,,,,,,,,,,13.0,,,,,
346,PT00M47.10S,2024-10-27T00:12:11.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630163,87.20433639947439,44.11764705882353,1610612766,47,53,2024-10-27T00:12:17Z,3410000,False,-29.0,68.0,1,right,L. Ball 7' driving floating Jump Shot (9 PTS) (T. Mann 2 AST),"[1630163, 1630544]",1610612766.0,CHA,driving floating,,,Ball,L. Ball,,,,,In The Paint (Non-RA),0-8 Center,7.39,Made,,,,,,,,,,,,,9.0,T. Mann,1630544.0,2.0,,
