actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
250,PT06M56.00S,2025-12-23T03:24:22.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642907,88.12417871222075,50.73529411764706,1610612763,47,39,2025-12-23T03:37:29Z,2470000,False,4.0,59.0,1,right,MISS C. Coward driving floating Shot,[1642907],1610612763.0,MEM,driving floating,,,Coward,C. Coward,,,,,In The Paint (Non-RA),0-8 Center,5.92,Missed,,,,,,,,,,,,,,,,,,
251,PT06M53.00S,2025-12-23T03:24:25.4Z,2,REGULAR,rebound,defensive,[],1630198,,,1610612760,47,39,2025-12-23T03:43:47Z,2480000,False,,,0,,I. Joe REBOUND (Off:0 Def:2),[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,In The Paint (Non-RA),0-8 Center,,,250.0,2.0,2.0,0.0,,,,,,,,,,,,,,
252,PT06M47.00S,2025-12-23T03:24:32.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642349,6.652431011826544,60.29411764705882,1610612760,47,39,2025-12-23T03:24:37Z,2490000,False,-51.0,10.0,1,left,MISS A. Mitchell driving bank Shot,[1642349],1610612760.0,OKC,driving bank,,,Mitchell,A. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,5.25,Missed,,,,,,,,,,,,,,,,,,
253,PT06M43.00S,2025-12-23T03:24:35.0Z,2,REGULAR,rebound,offensive,[],1631114,,,1610612760,47,39,2025-12-23T03:24:35Z,2500000,False,,,0,,J. Williams REBOUND (Off:2 Def:2),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,252.0,4.0,2.0,2.0,,,,,,,,,,,,,,
254,PT06M43.00S,2025-12-23T03:24:36.1Z,2,REGULAR,turnover,lost ball,[],1631114,,,1610612760,47,39,2025-12-23T03:24:40Z,2510000,False,,,0,,J. Williams lost ball TURNOVER (2 TO),"[1631114, 1628991]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,Mid-Range,8-16 Right,,,,,,,,,,,2.0,,,,,,,,Jackson Jr.,1628991.0
255,PT06M43.00S,2025-12-23T03:24:36.1Z,2,REGULAR,steal,,[],1628991,,,1610612763,47,39,2025-12-23T03:24:37Z,2520000,False,,,0,,J. Jackson Jr. STEAL (1 STL),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
256,PT06M38.00S,2025-12-23T03:24:42.3Z,2,REGULAR,foul,personal,[],1630198,,,1610612763,47,39,2025-12-23T03:24:49Z,2530000,False,,,0,,I. Joe personal FOUL (2 PF),"[1630198, 1642285]",1610612760.0,OKC,,,,Joe,I. Joe,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,204058.0,2.0,0.0,Spencer,1642285.0,,
258,PT06M38.00S,2025-12-23T03:24:48.6Z,2,REGULAR,substitution,out,[],1631114,,,1610612763,47,39,2025-12-23T03:25:07Z,2550000,False,,,0,,SUB out: J. Williams,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
259,PT06M38.00S,2025-12-23T03:24:48.6Z,2,REGULAR,substitution,out,[],1642382,,,1610612763,47,39,2025-12-23T03:25:07Z,2560000,False,,,0,,SUB out: B. Carlson,[1642382],1610612760.0,OKC,,,,Carlson,B. Carlson,,,,,,,,,,,,,,,,,,,,,,,,,,
260,PT06M38.00S,2025-12-23T03:24:48.6Z,2,REGULAR,substitution,out,[],1641717,,,1610612763,47,39,2025-12-23T03:25:07Z,2570000,False,,,0,,SUB out: C. Wallace,[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,
261,PT06M38.00S,2025-12-23T03:24:48.6Z,2,REGULAR,substitution,out,[],1628991,,,1610612763,47,39,2025-12-23T03:25:07Z,2580000,False,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
262,PT06M38.00S,2025-12-23T03:24:48.6Z,2,REGULAR,substitution,out,[],1642907,,,1610612763,47,39,2025-12-23T03:25:07Z,2590000,False,,,0,,SUB out: C. Coward,[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,,,,,,,,,,,,,,,,,,,,,,
263,PT06M38.00S,2025-12-23T03:24:48.6Z,2,REGULAR,substitution,in,[],1629652,,,1610612763,47,39,2025-12-23T03:25:07Z,2600000,False,,,0,,SUB in: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,,
264,PT06M38.00S,2025-12-23T03:24:48.6Z,2,REGULAR,substitution,in,[],1629026,,,1610612763,47,39,2025-12-23T03:25:07Z,2610000,False,,,0,,SUB in: K. Williams,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
265,PT06M38.00S,2025-12-23T03:24:48.6Z,2,REGULAR,substitution,in,[],1642964,,,1610612763,47,39,2025-12-23T03:25:07Z,2620000,False,,,0,,SUB in: B. Barnhizer,[1642964],1610612760.0,OKC,,,,Barnhizer,B. Barnhizer,,,,,,,,,,,,,,,,,,,,,,,,,,
266,PT06M38.00S,2025-12-23T03:24:48.6Z,2,REGULAR,substitution,in,[],1630583,,,1610612763,47,39,2025-12-23T03:25:07Z,2630000,False,,,0,,SUB in: S. Aldama,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,,,,,,,,,,
267,PT06M38.00S,2025-12-23T03:24:48.6Z,2,REGULAR,substitution,in,[],203484,,,1610612763,47,39,2025-12-23T03:25:07Z,2640000,False,,,0,,SUB in: K. Caldwell-Pope,[203484],1610612763.0,MEM,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,,
268,PT06M35.00S,2025-12-23T03:25:24.8Z,2,REGULAR,foul,personal,[],1642349,,,1610612763,47,39,2025-12-23T03:25:31Z,2650000,False,,,0,,A. Mitchell personal FOUL (2 PF),"[1642349, 1630583]",1610612760.0,OKC,,,,Mitchell,A. Mitchell,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,204058.0,2.0,0.0,Aldama,1630583.0,,
270,PT06M23.00S,2025-12-23T03:25:55.1Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],203484,94.43166885676742,96.07843137254902,1610612763,47,42,2025-12-23T03:26:01Z,2670000,False,230.0,0.0,1,right,K. Caldwell-Pope 3PT  (7 PTS) (J. Landale 3 AST),"[203484, 1629111]",1610612763.0,MEM,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Right Corner 3,24+ Right,23.04,Made,,,,,7.0,J. Landale,1629111.0,3.0,,,,,,,,,,
272,PT06M07.00S,2025-12-23T03:26:12.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629026,4.28712220762155,52.94117647058824,1610612760,49,42,2025-12-23T03:26:18Z,2690000,False,-15.0,-12.0,1,left,K. Williams driving Layup (9 PTS),[1629026],1610612760.0,OKC,driving,,,Williams,K. Williams,,,,,Restricted Area,0-8 Center,1.91,Made,,,,,9.0,,,,,,,,,,,,,
273,PT05M55.00S,2025-12-23T03:26:22.6Z,2,REGULAR,turnover,bad pass,[],1630583,,,1610612763,49,42,2025-12-23T03:26:36Z,2700000,False,,,0,,S. Aldama bad pass TURNOVER (1 TO),"[1630583, 1629026]",1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Mid-Range,8-16 Left,,,,,,,,,,,1.0,,,,,,,,Williams,1629026.0
274,PT05M55.00S,2025-12-23T03:26:22.6Z,2,REGULAR,steal,,[],1629026,,,1610612760,49,42,2025-12-23T03:26:24Z,2710000,False,,,0,,K. Williams STEAL (2 STL),[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
275,PT05M51.00S,2025-12-23T03:26:30.1Z,2,REGULAR,turnover,out-of-bounds,[],1630198,,,1610612760,49,42,2025-12-23T03:40:38Z,2720000,False,,,0,,I. Joe lost ball out-of-bounds TURNOVER (1 TO),[1630198],1610612760.0,OKC,lost ball,,,Joe,I. Joe,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,,,204058.0,,,,,,
277,PT05M51.00S,2025-12-23T03:26:33.4Z,2,REGULAR,substitution,out,[],1641713,,,1610612763,49,42,2025-12-23T03:26:36Z,2730000,False,,,0,,SUB out: G. Jackson,[1641713],1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
278,PT05M51.00S,2025-12-23T03:26:33.4Z,2,REGULAR,substitution,in,[],1642377,,,1610612763,49,42,2025-12-23T03:26:36Z,2740000,False,,,0,,SUB in: J. Wells,[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,,,,,,,,,,,,,,,,,,,,,,
279,PT05M37.00S,2025-12-23T03:26:56.4Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629111,96.7969776609724,96.81372549019608,1610612763,49,42,2025-12-23T03:27:02Z,2750000,False,234.0,-22.0,1,right,MISS J. Landale 3PT,[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,Right Corner 3,24+ Right,23.52,Missed,,,,,,,,,,,,,,,,,,
280,PT05M31.00S,2025-12-23T03:27:02.4Z,2,REGULAR,rebound,offensive,[],203484,,,1610612763,49,42,2025-12-23T03:27:02Z,2760000,False,,,0,,K. Caldwell-Pope REBOUND (Off:1 Def:0),[203484],1610612763.0,MEM,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Right Corner 3,24+ Right,,,279.0,1.0,0.0,1.0,,,,,,,,,,,,,,
281,PT05M31.00S,2025-12-23T03:27:02.0Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1642285,65.39093298291722,37.745098039215684,1610612763,49,45,2025-12-23T03:27:06Z,2770000,False,-61.0,273.0,1,right,C. Spencer 27' 3PT  (6 PTS) (K. Caldwell-Pope 1 AST),"[1642285, 203484]",1610612763.0,MEM,,,,Spencer,C. Spencer,,,,,Above the Break 3,24+ Center,27.96,Made,,,,,6.0,K. Caldwell-Pope,203484.0,1.0,,,,,,,,,,
283,PT05M15.00S,2025-12-23T03:27:20.0Z,2,REGULAR,foul,personal,[],1629111,,,1610612760,49,45,2025-12-23T03:27:25Z,2790000,False,,,0,,J. Landale personal FOUL (2 PF),"[1629111, 1642349]",1610612763.0,MEM,,,,Landale,J. Landale,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,101284.0,2.0,0.0,Mitchell,1642349.0,,
285,PT05M15.00S,2025-12-23T03:27:25.8Z,2,REGULAR,substitution,out,[],1642349,,,1610612760,49,45,2025-12-23T03:27:37Z,2810000,False,,,0,,SUB out: A. Mitchell,[1642349],1610612760.0,OKC,,,,Mitchell,A. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
286,PT05M15.00S,2025-12-23T03:27:25.8Z,2,REGULAR,substitution,out,[],1642285,,,1610612760,49,45,2025-12-23T03:27:37Z,2820000,False,,,0,,SUB out: C. Spencer,[1642285],1610612763.0,MEM,,,,Spencer,C. Spencer,,,,,,,,,,,,,,,,,,,,,,,,,,
287,PT05M15.00S,2025-12-23T03:27:25.8Z,2,REGULAR,substitution,out,[],1629111,,,1610612760,49,45,2025-12-23T03:27:37Z,2830000,False,,,0,,SUB out: J. Landale,[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,,,,,,,,,,,,,,,,,,,,,,
288,PT05M15.00S,2025-12-23T03:27:25.8Z,2,REGULAR,substitution,in,[],1628983,,,1610612760,49,45,2025-12-23T03:27:37Z,2840000,False,,,0,,SUB in: S. Gilgeous-Alexander,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,,,
289,PT05M15.00S,2025-12-23T03:27:25.8Z,2,REGULAR,substitution,in,[],1641765,,,1610612760,49,45,2025-12-23T03:27:37Z,2850000,False,,,0,,SUB in: O. Prosper,[1641765],1610612763.0,MEM,,,,Prosper,O. Prosper,,,,,,,,,,,,,,,,,,,,,,,,,,
290,PT05M15.00S,2025-12-23T03:27:25.8Z,2,REGULAR,substitution,in,[],1642942,,,1610612760,49,45,2025-12-23T03:27:37Z,2860000,False,,,0,,SUB in: J. Mashack,[1642942],1610612763.0,MEM,,,,Mashack,J. Mashack,,,,,,,,,,,,,,,,,,,,,,,,,,
291,PT05M09.00S,2025-12-23T03:27:45.2Z,2,REGULAR,3pt,Jump Shot,[],1628983,32.013797634691194,43.872549019607845,1610612760,52,45,2025-12-23T03:27:49Z,2870000,False,31.0,248.0,1,left,S. Gilgeous-Alexander 25' 3PT pullup (11 PTS),[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Center,25.03,Made,,,,,11.0,,,,,,,,,,,,,
292,PT04M50.00S,2025-12-23T03:28:04.8Z,2,REGULAR,2pt,Jump Shot,[],1630583,92.85479632063075,72.79411764705883,1610612763,52,47,2025-12-23T03:28:10Z,2880000,False,114.0,15.0,1,right,S. Aldama 11' pullup Jump Shot (4 PTS) (J. Mashack 2 AST),"[1630583, 1642942]",1610612763.0,MEM,pullup,,,Aldama,S. Aldama,,,,,Mid-Range,8-16 Right,11.49,Made,,,,,4.0,J. Mashack,1642942.0,2.0,,,,,,,,,,
294,PT04M37.00S,2025-12-23T03:28:19.4Z,2,REGULAR,foul,personal,['2freethrow'],1642377,,,1610612760,52,47,2025-12-23T03:28:29Z,2900000,False,,,0,,J. Wells shooting personal FOUL (2 PF) (Gilgeous-Alexander 2 FT),"[1642377, 1628983]",1610612763.0,MEM,shooting,,,Wells,J. Wells,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,204058.0,2.0,0.0,Gilgeous-Alexander,1628983.0,,
296,PT04M37.00S,2025-12-23T03:28:46.8Z,2,REGULAR,freethrow,1 of 2,[],1628983,,,1610612760,53,47,2025-12-23T03:28:46Z,2920000,False,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (12 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,,,,,12.0,,,,,,,,,,,,,
297,PT04M37.00S,2025-12-23T03:28:54.6Z,2,REGULAR,substitution,out,[],1630198,,,1610612760,53,47,2025-12-23T03:28:58Z,2930000,False,,,0,,SUB out: I. Joe,[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,,,,,,,,,
298,PT04M37.00S,2025-12-23T03:28:54.6Z,2,REGULAR,substitution,in,[],1631114,,,1610612760,53,47,2025-12-23T03:28:58Z,2940000,False,,,0,,SUB in: J. Williams,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
299,PT04M37.00S,2025-12-23T03:29:14.8Z,2,REGULAR,freethrow,2 of 2,[],1628983,,,1610612760,54,47,2025-12-23T03:29:14Z,2950000,False,,,0,,S. Gilgeous-Alexander Free Throw 2 of 2 (13 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,,,,,13.0,,,,,,,,,,,,,
301,PT04M29.00S,2025-12-23T03:29:26.8Z,2,REGULAR,turnover,out-of-bounds,[],1642377,,,1610612763,54,47,2025-12-23T03:29:33Z,2960000,False,,,0,,J. Wells lost ball out-of-bounds TURNOVER (2 TO),[1642377],1610612763.0,MEM,lost ball,,,Wells,J. Wells,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,2.0,,,204058.0,,,,,,
302,PT04M09.00S,2025-12-23T03:29:50.1Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629026,24.129434954007884,84.55882352941177,1610612760,54,47,2025-12-23T03:29:54Z,2970000,False,-173.0,174.0,1,left,MISS K. Williams 24' 3PT,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,Above the Break 3,24+ Left Center,24.54,Missed,,,,,,,,,,,,,,,,,,
303,PT04M07.00S,2025-12-23T03:29:52.1Z,2,REGULAR,rebound,defensive,[],1641765,,,1610612763,54,47,2025-12-23T03:29:54Z,2980000,False,,,0,,O. Prosper REBOUND (Off:0 Def:1),[1641765],1610612763.0,MEM,,,,Prosper,O. Prosper,,,,,Above the Break 3,24+ Left Center,,,302.0,1.0,1.0,0.0,,,,,,,,,,,,,,
304,PT03M45.00S,2025-12-23T03:30:14.9Z,2,REGULAR,2pt,Jump Shot,[],1630583,95.6143232588699,29.166666666666668,1610612763,54,47,2025-12-23T03:47:29Z,2990000,False,-104.0,-11.0,1,right,MISS S. Aldama 10' driving floating Shot,[1630583],1610612763.0,MEM,driving floating,,,Aldama,S. Aldama,,,,,Mid-Range,8-16 Left,10.48,Missed,,,,,,,,,,,,,,,,,,
305,PT03M41.00S,2025-12-23T03:30:18.9Z,2,REGULAR,rebound,defensive,[],1629026,,,1610612760,54,47,2025-12-23T03:47:29Z,3000000,False,,,0,,K. Williams REBOUND (Off:0 Def:1),[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,Mid-Range,8-16 Left,,,304.0,1.0,1.0,0.0,,,,,,,,,,,,,,
306,PT03M29.00S,2025-12-23T03:30:30.7Z,2,REGULAR,3pt,Jump Shot,[],1629652,23.209592641261498,87.99019607843137,1610612760,57,47,2025-12-23T03:30:35Z,3010000,False,-190.0,166.0,1,left,L. Dort 25' 3PT  (5 PTS) (K. Williams 2 AST),"[1629652, 1629026]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,25.21,Made,,,,,5.0,K. Williams,1629026.0,2.0,,,,,,,,,,
309,PT03M15.00S,2025-12-23T03:31:07.4Z,2,REGULAR,turnover,bad pass,[],203484,,,1610612763,57,47,2025-12-23T03:31:13Z,3040000,False,,,0,,K. Caldwell-Pope bad pass TURNOVER (1 TO),"[203484, 1629026]",1610612763.0,MEM,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Right Corner 3,24+ Right,,,,,,,,,,,1.0,,,,,,,,Williams,1629026.0
310,PT03M15.00S,2025-12-23T03:31:07.4Z,2,REGULAR,steal,,[],1629026,,,1610612760,57,47,2025-12-23T03:31:09Z,3050000,False,,,0,,K. Williams STEAL (3 STL),[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,,,,,,
311,PT03M12.00S,2025-12-23T03:31:10.5Z,2,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1631114,6.1268068331143235,49.50980392156863,1610612760,59,47,2025-12-23T03:31:19Z,3060000,False,2.0,5.0,1,left,J. Williams running DUNK (11 PTS) (K. Williams 3 AST),"[1631114, 1629026]",1610612760.0,OKC,running,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,0.57,Made,,,,,11.0,K. Williams,1629026.0,3.0,,,,,,,,,,
313,PT03M12.00S,2025-12-23T03:31:22.0Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,59,47,2025-12-23T03:31:22Z,3080000,False,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,PT03M12.00S,2025-12-23T03:34:05.1Z,2,REGULAR,substitution,out,[],1642942,,,1610612763,59,47,2025-12-23T03:34:18Z,3090000,False,,,0,,SUB out: J. Mashack,[1642942],1610612763.0,MEM,,,,Mashack,J. Mashack,,,,,,,,,,,,,,,,,,,,,,,,,,
315,PT03M12.00S,2025-12-23T03:34:05.1Z,2,REGULAR,substitution,out,[],1641765,,,1610612763,59,47,2025-12-23T03:34:18Z,3100000,False,,,0,,SUB out: O. Prosper,[1641765],1610612763.0,MEM,,,,Prosper,O. Prosper,,,,,,,,,,,,,,,,,,,,,,,,,,
316,PT03M12.00S,2025-12-23T03:34:05.1Z,2,REGULAR,substitution,in,[],1628991,,,1610612763,59,47,2025-12-23T03:34:18Z,3110000,False,,,0,,SUB in: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
317,PT03M12.00S,2025-12-23T03:34:05.1Z,2,REGULAR,substitution,in,[],1642285,,,1610612763,59,47,2025-12-23T03:34:18Z,3120000,False,,,0,,SUB in: C. Spencer,[1642285],1610612763.0,MEM,,,,Spencer,C. Spencer,,,,,,,,,,,,,,,,,,,,,,,,,,
318,PT02M54.00S,2025-12-23T03:34:58.0Z,2,REGULAR,turnover,bad pass,[],203484,,,1610612763,59,47,2025-12-23T03:35:06Z,3130000,False,,,0,,K. Caldwell-Pope bad pass TURNOVER (2 TO),"[203484, 1628983]",1610612763.0,MEM,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,16-24 Right,,,,,,,,,,,2.0,,,,,,,,Gilgeous-Alexander,1628983.0
319,PT02M54.00S,2025-12-23T03:34:58.0Z,2,REGULAR,steal,,[],1628983,,,1610612760,59,47,2025-12-23T03:34:59Z,3140000,False,,,0,,S. Gilgeous-Alexander STEAL (1 STL),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
320,PT02M45.00S,2025-12-23T03:35:07.0Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629652,34.11629434954008,32.59803921568628,1610612760,62,47,2025-12-23T03:35:11Z,3150000,False,87.0,268.0,1,left,L. Dort 28' 3PT  (8 PTS) (S. Gilgeous-Alexander 5 AST),"[1629652, 1628983]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Center,28.2,Made,,,,,8.0,S. Gilgeous-Alexander,1628983.0,5.0,,,,,,,,,,
322,PT02M33.00S,2025-12-23T03:35:23.3Z,2,REGULAR,foul,personal,[],1628983,,,1610612763,62,47,2025-12-23T03:35:29Z,3170000,False,,,0,,S. Gilgeous-Alexander personal FOUL (1 PF),"[1628983, 1628991]",1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,1628484.0,1.0,0.0,Jackson Jr.,1628991.0,,
324,PT02M22.00S,2025-12-23T03:35:56.8Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1642377,93.24901445466492,48.28431372549019,1610612763,62,47,2025-12-23T03:36:00Z,3190000,False,-9.0,11.0,1,right,MISS J. Wells driving DUNK,[1642377],1610612763.0,MEM,driving,,,Wells,J. Wells,,,,,Restricted Area,0-8 Center,1.4,Missed,,,,,,,,,,,,,,,,,,
325,PT02M20.00S,2025-12-23T03:35:58.8Z,2,REGULAR,rebound,defensive,[],1629652,,,1610612760,62,47,2025-12-23T03:36:00Z,3200000,False,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,,,324.0,1.0,1.0,0.0,,,,,,,,,,,,,,
326,PT02M11.00S,2025-12-23T03:36:07.5Z,2,REGULAR,3pt,Jump Shot,[],1631114,31.882391590013142,64.95098039215686,1610612760,62,47,2025-12-23T03:36:16Z,3210000,False,-75.0,247.0,1,left,MISS J. Williams 25' step back 3PT,[1631114],1610612760.0,OKC,step back,,,Williams,J. Williams,,,,,Above the Break 3,24+ Center,25.83,Missed,,,,,,,,,,,,,,,,,,
327,PT02M09.00S,2025-12-23T03:36:09.5Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612763,62,47,2025-12-23T03:36:16Z,3220000,False,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Above the Break 3,24+ Center,,,326.0,,,,,,,,,,,,,,,,,
329,PT01M49.00S,2025-12-23T03:36:36.9Z,2,REGULAR,turnover,bad pass,[],203484,,,1610612763,62,47,2025-12-23T03:36:43Z,3240000,False,,,0,,K. Caldwell-Pope bad pass TURNOVER (3 TO),"[203484, 1629026]",1610612763.0,MEM,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Left Corner 3,24+ Left,,,,,,,,,,,3.0,,,,,,,,Williams,1629026.0
330,PT01M49.00S,2025-12-23T03:36:36.9Z,2,REGULAR,steal,,[],1629026,,,1610612760,62,47,2025-12-23T03:36:38Z,3250000,False,,,0,,K. Williams STEAL (4 STL),[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,,,,,,
331,PT01M42.00S,2025-12-23T03:36:43.0Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628983,4.5499342969776615,55.88235294117647,1610612760,64,47,2025-12-23T03:36:53Z,3260000,False,-29.0,-10.0,1,left,S. Gilgeous-Alexander running reverse Layup (15 PTS),[1628983],1610612760.0,OKC,running reverse,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,3.1,Made,,,,,15.0,,,,,,,,,,,,,
332,PT01M34.00S,2025-12-23T03:36:51.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1642377,91.93495400788436,49.26470588235294,1610612763,64,49,2025-12-23T03:36:55Z,3270000,False,-4.0,23.0,1,right,J. Wells cutting Layup (6 PTS),[1642377],1610612763.0,MEM,cutting,,,Wells,J. Wells,,,,,Restricted Area,0-8 Center,2.36,Made,,,,,6.0,,,,,,,,,,,,,
334,PT01M24.00S,2025-12-23T03:37:03.9Z,2,REGULAR,foul,personal,['2freethrow'],1630583,,,1610612760,64,49,2025-12-23T03:37:19Z,3290000,False,,,0,,S. Aldama shooting personal FOUL (1 PF) (Williams 2 FT),"[1630583, 1631114]",1610612763.0,MEM,shooting,,,Aldama,S. Aldama,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,204058.0,1.0,0.0,Williams,1631114.0,,
336,PT01M24.00S,2025-12-23T03:37:30.3Z,2,REGULAR,freethrow,1 of 2,[],1631114,,,1610612760,65,49,2025-12-23T03:37:53Z,3310000,False,,,0,,J. Williams Free Throw 1 of 2 (12 PTS),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,Made,,,,,12.0,,,,,,,,,,,,,
337,PT01M24.00S,2025-12-23T03:37:31.2Z,2,REGULAR,substitution,out,[],1629026,,,1610612760,65,49,2025-12-23T03:37:38Z,3320000,False,,,0,,SUB out: K. Williams,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
338,PT01M24.00S,2025-12-23T03:37:31.2Z,2,REGULAR,substitution,out,[],203484,,,1610612760,65,49,2025-12-23T03:37:38Z,3330000,False,,,0,,SUB out: K. Caldwell-Pope,[203484],1610612763.0,MEM,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,,
