actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,playerName,playerNameI,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
269,PT05M09.00S,2025-12-23T00:59:33.5Z,2,REGULAR,turnover,bad pass,[],1641706,,,1610612766,51,52,2025-12-23T00:59:38Z,2650000,False,,,0,,B. Miller bad pass TURNOVER (3 TO),"[1641706, 1642281]",1610612766.0,CHA,,,,,,,Mid-Range,8-16 Left,,3.0,Miller,B. Miller,,,,,,,,,,,,,,,Tyson,1642281.0,,,
270,PT05M09.00S,2025-12-23T00:59:33.5Z,2,REGULAR,steal,,[],1642281,,,1610612739,51,52,2025-12-23T00:59:36Z,2660000,False,,,0,,J. Tyson STEAL (2 STL),[1642281],1610612739.0,CLE,,,,,,,Mid-Range,8-16 Left,,,Tyson,J. Tyson,,,,,,,,,,,,,,,,,,,
271,PT05M05.00S,2025-12-23T00:59:37.0Z,2,REGULAR,turnover,bad pass,[],1642281,,,1610612739,51,52,2025-12-23T00:59:41Z,2670000,False,,,0,,J. Tyson bad pass TURNOVER (2 TO),"[1642281, 1630182]",1610612739.0,CLE,,,,,,,Mid-Range,16-24 Right Center,,2.0,Tyson,J. Tyson,,,,,,,,,,,,,,,Green,1630182.0,,,
272,PT05M05.00S,2025-12-23T00:59:37.0Z,2,REGULAR,steal,,[],1630182,,,1610612766,51,52,2025-12-23T01:07:00Z,2680000,False,,,0,,J. Green STEAL (1 STL),[1630182],1610612766.0,CHA,,,,,,,Mid-Range,16-24 Right Center,,,Green,J. Green,,,,,,,,,,,,,,,,,,,
273,PT05M00.00S,2025-12-23T00:59:44.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628970,93.51182654402102,48.77450980392157,1610612766,51,52,2025-12-23T01:08:14Z,2690000,False,-6.0,8.0,1,right,MISS M. Bridges driving finger roll Layup,[1628970],1610612766.0,CHA,driving finger roll,,,,,,Restricted Area,0-8 Center,,,Bridges,M. Bridges,1.05,Missed,,,,,,,,,,,,,,,,,
274,PT04M58.00S,2025-12-23T00:59:46.2Z,2,REGULAR,rebound,offensive,[],1630182,,,1610612766,51,52,2025-12-23T01:14:47Z,2700000,False,,,0,,J. Green REBOUND (Off:1 Def:0),[1630182],1610612766.0,CHA,,,,,,,Restricted Area,0-8 Center,,,Green,J. Green,,,273.0,1.0,0.0,1.0,,,,,,,,,,,,,
275,PT04M51.00S,2025-12-23T00:59:51.4Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1628970,79.45137976346912,5.392156862745098,1610612766,51,52,2025-12-23T01:09:26Z,2710000,False,-223.0,141.0,1,right,MISS M. Bridges 26' pullup 3PT,[1628970],1610612766.0,CHA,pullup,,,,,,Above the Break 3,24+ Left Center,,,Bridges,M. Bridges,26.37,Missed,,,,,,,,,,,,,,,,,
276,PT04M48.00S,2025-12-23T00:59:54.4Z,2,REGULAR,rebound,defensive,[],1628386,,,1610612739,51,52,2025-12-23T00:59:55Z,2720000,False,,,0,,J. Allen REBOUND (Off:1 Def:4),[1628386],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Left Center,,,Allen,J. Allen,,,275.0,5.0,4.0,1.0,,,,,,,,,,,,,
277,PT04M40.00S,2025-12-23T01:00:03.1Z,2,REGULAR,2pt,Jump Shot,[],1628386,6.307490144546649,79.1436887254902,1610612739,53,52,2025-12-23T01:10:01Z,2730000,False,-146.0,7.0,1,left,J. Allen 14' floating Jump Shot (8 PTS) (S. Merrill 2 AST),"[1628386, 1630241]",1610612739.0,CLE,floating,,,,,,Mid-Range,8-16 Left,,,Allen,J. Allen,14.59,Made,,,,,,,,,8.0,S. Merrill,1630241.0,2.0,,,,,
279,PT04M23.00S,2025-12-23T01:00:21.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1642883,90.22667542706965,55.63725490196079,1610612766,53,52,2025-12-23T01:00:27Z,2750000,False,28.0,39.0,1,right,MISS S. James driving Layup,[1642883],1610612766.0,CHA,driving,,,,,,In The Paint (Non-RA),0-8 Center,,,James,S. James,4.85,Missed,,,,,,,,,,,,,,,,,
281,PT04M23.00S,2025-12-23T01:00:21.8Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612766,53,52,2025-12-23T01:00:27Z,2770000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,279.0,,,,,,,,,,,,,,,,
283,PT04M23.00S,2025-12-23T01:00:29.4Z,2,REGULAR,substitution,out,[],1641706,,,1610612766,53,52,2025-12-23T01:00:35Z,2790000,False,,,0,,SUB out: B. Miller,[1641706],1610612766.0,CHA,,,,,,,,,,,Miller,B. Miller,,,,,,,,,,,,,,,,,,,
284,PT04M23.00S,2025-12-23T01:00:29.4Z,2,REGULAR,substitution,in,[],1642851,,,1610612766,53,52,2025-12-23T01:00:35Z,2800000,False,,,0,,SUB in: K. Knueppel,[1642851],1610612766.0,CHA,,,,,,,,,,,Knueppel,K. Knueppel,,,,,,,,,,,,,,,,,,,
285,PT04M23.00S,2025-12-23T01:00:37.9Z,2,REGULAR,substitution,out,[],1630182,,,1610612766,53,52,2025-12-23T01:00:46Z,2810000,False,,,0,,SUB out: J. Green,[1630182],1610612766.0,CHA,,,,,,,,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,
286,PT04M23.00S,2025-12-23T01:00:37.9Z,2,REGULAR,substitution,in,[],1630544,,,1610612766,53,52,2025-12-23T01:00:46Z,2820000,False,,,0,,SUB in: T. Mann,[1630544],1610612766.0,CHA,,,,,,,,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,
287,PT04M16.00S,2025-12-23T01:01:01.3Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1642883,92.85479632063075,2.941176470588235,1610612766,53,52,2025-12-23T01:01:05Z,2830000,False,-235.0,15.0,1,right,MISS S. James 3PT,[1642883],1610612766.0,CHA,,,,,,,Left Corner 3,24+ Left,,,James,S. James,23.58,Missed,,,,,,,,,,,,,,,,,
288,PT04M13.00S,2025-12-23T01:01:04.3Z,2,REGULAR,rebound,offensive,[],1631217,,,1610612766,53,52,2025-12-23T01:01:05Z,2840000,False,,,0,,M. Diabaté REBOUND (Off:3 Def:4),[1631217],1610612766.0,CHA,,,,,,,Left Corner 3,24+ Left,,,Diabaté,M. Diabaté,,,287.0,7.0,4.0,3.0,,,,,,,,,,,,,
289,PT04M08.00S,2025-12-23T01:01:09.6Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1642883,90.22667542706965,3.431372549019608,1610612766,53,52,2025-12-23T01:01:13Z,2850000,False,-233.0,39.0,1,right,MISS S. James 3PT,[1642883],1610612766.0,CHA,,,,,,,Left Corner 3,24+ Left,,,James,S. James,23.61,Missed,,,,,,,,,,,,,,,,,
290,PT04M04.00S,2025-12-23T01:01:13.6Z,2,REGULAR,rebound,defensive,[],1629731,,,1610612739,53,52,2025-12-23T01:01:13Z,2860000,False,,,0,,D. Wade REBOUND (Off:0 Def:3),[1629731],1610612739.0,CLE,,,,,,,Left Corner 3,24+ Left,,,Wade,D. Wade,,,289.0,3.0,3.0,0.0,,,,,,,,,,,,,
291,PT03M57.00S,2025-12-23T01:01:20.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629636,18.610381077529567,37.745098039215684,1610612739,55,52,2025-12-23T01:11:54Z,2870000,False,61.0,122.0,1,left,D. Garland 13' pullup Jump Shot (10 PTS),[1629636],1610612739.0,CLE,pullup,,,,,,In The Paint (Non-RA),8-16 Center,,,Garland,D. Garland,13.69,Made,,,,,,,,,10.0,,,,,,,,
292,PT03M48.00S,2025-12-23T01:01:31.6Z,2,REGULAR,turnover,out-of-bounds,[],1642851,,,1610612766,55,52,2025-12-23T01:01:37Z,2880000,False,,,0,,K. Knueppel step out-of-bounds TURNOVER (2 TO),[1642851],1610612766.0,CHA,step,,,,,,In The Paint (Non-RA),0-8 Center,1627541.0,2.0,Knueppel,K. Knueppel,,,,,,,,,,,,,,,,,,,
293,PT03M40.00S,2025-12-23T01:01:59.0Z,2,REGULAR,turnover,bad pass,[],1629636,,,1610612739,55,52,2025-12-23T01:04:52Z,2890000,False,,,0,,D. Garland bad pass TURNOVER (1 TO),"[1629636, 1631217]",1610612739.0,CLE,,,,,,,In The Paint (Non-RA),8-16 Right,,1.0,Garland,D. Garland,,,,,,,,,,,,,,,Diabaté,1631217.0,,,
294,PT03M40.00S,2025-12-23T01:01:59.0Z,2,REGULAR,steal,,[],1631217,,,1610612766,55,52,2025-12-23T01:04:52Z,2900000,False,,,0,,M. Diabaté STEAL (2 STL),[1631217],1610612766.0,CHA,,,,,,,In The Paint (Non-RA),8-16 Right,,,Diabaté,M. Diabaté,,,,,,,,,,,,,,,,,,,
295,PT03M33.00S,2025-12-23T01:02:04.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628970,94.1688567674113,50.98039215686274,1610612766,55,52,2025-12-23T01:02:09Z,2910000,False,5.0,2.0,1,right,MISS M. Bridges running Layup,[1628970],1610612766.0,CHA,running,,,,,,Restricted Area,0-8 Center,,,Bridges,M. Bridges,0.54,Missed,,,,,,,,,,,,,,,,,
296,PT03M30.00S,2025-12-23T01:02:07.5Z,2,REGULAR,rebound,offensive,[],1631217,,,1610612766,55,52,2025-12-23T01:02:09Z,2920000,False,,,0,,M. Diabaté REBOUND (Off:4 Def:4),[1631217],1610612766.0,CHA,,,,,,,Restricted Area,0-8 Center,,,Diabaté,M. Diabaté,,,295.0,8.0,4.0,4.0,,,,,,,,,,,,,
297,PT03M30.00S,2025-12-23T01:02:07.5Z,2,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint', 'fromturnover']",1631217,94.40999984741211,50.0,1610612766,55,52,2025-12-23T01:13:12Z,2930000,False,0.0,0.0,1,right,MISS M. Diabaté tip Layup,[1631217],1610612766.0,CHA,tip,,,,,,Restricted Area,0-8 Center,,,Diabaté,M. Diabaté,0.0,Missed,,,,,,,,,,,,,,,,,
298,PT03M29.00S,2025-12-23T01:02:08.5Z,2,REGULAR,rebound,offensive,[],1631217,,,1610612766,55,52,2025-12-23T01:13:12Z,2940000,False,,,0,,M. Diabaté REBOUND (Off:5 Def:4),[1631217],1610612766.0,CHA,,,,,,,Restricted Area,0-8 Center,,,Diabaté,M. Diabaté,,,297.0,9.0,4.0,5.0,,,,,,,,,,,,,
299,PT03M29.00S,2025-12-23T01:02:11.3Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630544,70.25295663600527,21.07843137254902,1610612766,55,55,2025-12-23T01:02:16Z,2950000,False,-145.0,227.0,1,right,T. Mann 26' 3PT  (6 PTS) (M. Diabaté 1 AST),"[1630544, 1631217]",1610612766.0,CHA,,,,,,,Above the Break 3,24+ Left Center,,,Mann,T. Mann,26.92,Made,,,,,,,,,6.0,M. Diabaté,1631217.0,1.0,,,,,
301,PT03M29.00S,2025-12-23T01:02:14.9Z,2,REGULAR,foul,personal,['1freethrow'],1628386,,,1610612766,55,55,2025-12-23T01:06:27Z,2970000,False,,,0,,J. Allen loose ball personal FOUL (3 PF) (Diabaté 1 FT),"[1628386, 1631217]",1610612739.0,CLE,loose ball,,,,,,In The Paint (Non-RA),0-8 Center,1627541.0,,Allen,J. Allen,,,,,,,3.0,0.0,Diabaté,1631217.0,,,,,,,,,
311,PT03M29.00S,2025-12-23T01:02:29.2Z,2,REGULAR,freethrow,1 of 1,"['fromturnover', '2ndchance']",1631217,,,1610612766,55,56,2025-12-23T01:06:27Z,2995000,False,,,0,,M. Diabaté Free Throw 1 of 1 (1 PTS),[1631217],1610612766.0,CHA,,,,,,,,,,,Diabaté,M. Diabaté,,Made,,,,,,,,,1.0,,,,,,,,
304,PT03M29.00S,2025-12-23T01:02:43.6Z,2,REGULAR,substitution,out,[],1642281,,,1610612739,55,56,2025-12-23T01:03:50Z,3000000,False,,,0,,SUB out: J. Tyson,[1642281],1610612739.0,CLE,,,,,,,,,,,Tyson,J. Tyson,,,,,,,,,,,,,,,,,,,
305,PT03M29.00S,2025-12-23T01:02:43.6Z,2,REGULAR,substitution,out,[],1629731,,,1610612739,55,56,2025-12-23T01:03:50Z,3010000,False,,,0,,SUB out: D. Wade,[1629731],1610612739.0,CLE,,,,,,,,,,,Wade,D. Wade,,,,,,,,,,,,,,,,,,,
306,PT03M29.00S,2025-12-23T01:02:43.6Z,2,REGULAR,substitution,in,[],1629631,,,1610612739,55,56,2025-12-23T01:03:50Z,3020000,False,,,0,,SUB in: D. Hunter,[1629631],1610612739.0,CLE,,,,,,,,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,
307,PT03M29.00S,2025-12-23T01:02:43.6Z,2,REGULAR,substitution,in,[],1628378,,,1610612739,55,56,2025-12-23T01:03:50Z,3030000,False,,,0,,SUB in: D. Mitchell,[1628378],1610612739.0,CLE,,,,,,,,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,
308,PT03M15.00S,2025-12-23T01:03:12.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,5.601182654402102,49.50980392156863,1610612739,57,56,2025-12-23T01:15:47Z,3040000,False,2.0,0.0,1,left,D. Garland driving finger roll Layup (12 PTS),[1629636],1610612739.0,CLE,driving finger roll,,,,,,Restricted Area,0-8 Center,,,Garland,D. Garland,0.25,Made,,,,,,,,,12.0,,,,,,,,
309,PT03M15.00S,2025-12-23T01:03:19.4Z,2,REGULAR,foul,technical,['1freethrow'],1629636,,,1610612766,57,56,2025-12-23T01:03:28Z,3050000,False,,,0,,D. Garland technical FOUL (1 Tech),[1629636],1610612739.0,CLE,,,,,,,,,1627541.0,,Garland,D. Garland,,,,,,,0.0,1.0,,,,,,,,,,,
310,PT03M15.00S,2025-12-23T01:03:41.8Z,2,REGULAR,freethrow,1 of 1,[],1642851,,,1610612766,57,57,2025-12-23T01:03:41Z,3060000,False,,,0,,K. Knueppel technical Free Throw 1 of 1 (12 PTS),[1642851],1610612766.0,CHA,technical,,,,,,,,,,Knueppel,K. Knueppel,,Made,,,,,,,,,12.0,,,,,,,,
312,PT03M15.00S,2025-12-23T01:03:43.5Z,2,REGULAR,substitution,out,[],1628386,,,1610612766,57,57,2025-12-23T01:04:00Z,3070000,False,,,0,,SUB out: J. Allen,[1628386],1610612739.0,CLE,,,,,,,,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,
313,PT03M15.00S,2025-12-23T01:03:43.5Z,2,REGULAR,substitution,in,[],1629731,,,1610612766,57,57,2025-12-23T01:04:00Z,3080000,False,,,0,,SUB in: D. Wade,[1629731],1610612739.0,CLE,,,,,,,,,,,Wade,D. Wade,,,,,,,,,,,,,,,,,,,
314,PT02M59.00S,2025-12-23T01:04:21.0Z,2,REGULAR,foul,offensive,[],1642851,,,1610612766,57,57,2025-12-23T01:17:22Z,3090000,False,,,0,,K. Knueppel charge offensive FOUL (1 PF),"[1642851, 1630241]",1610612766.0,CHA,charge,,,,,,Mid-Range,8-16 Left,1627541.0,,Knueppel,K. Knueppel,,,,,,,1.0,0.0,Merrill,1630241.0,,,,,,,,,
316,PT02M59.00S,2025-12-23T01:04:21.0Z,2,REGULAR,turnover,offensive foul,[],1642851,,,1610612766,57,57,2025-12-23T01:04:21Z,3110000,False,,,0,,K. Knueppel offensive foul TURNOVER (3 TO),[1642851],1610612766.0,CHA,,,,,,,Mid-Range,8-16 Left,1627541.0,3.0,Knueppel,K. Knueppel,,,,,,,,,,,,,,,,,,,
317,PT02M59.00S,2025-12-23T01:04:34.6Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,57,57,2025-12-23T01:04:34Z,3120000,False,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,PT02M59.00S,2025-12-23T01:05:22.3Z,2,REGULAR,substitution,out,[],1642883,,,1610612739,57,57,2025-12-23T01:07:34Z,3130000,False,,,0,,SUB out: S. James,[1642883],1610612766.0,CHA,,,,,,,,,,,James,S. James,,,,,,,,,,,,,,,,,,,
319,PT02M59.00S,2025-12-23T01:05:22.3Z,2,REGULAR,substitution,in,[],1630163,,,1610612739,57,57,2025-12-23T01:07:34Z,3140000,False,,,0,,SUB in: L. Ball,[1630163],1610612766.0,CHA,,,,,,,,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,
320,PT02M41.00S,2025-12-23T01:08:16.9Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629731,22.28975032851511,87.99019607843137,1610612739,60,57,2025-12-23T01:08:20Z,3150000,False,-190.0,157.0,1,left,D. Wade 24' 3PT  (3 PTS) (D. Mitchell 4 AST),"[1629731, 1628378]",1610612739.0,CLE,,,,,,,Above the Break 3,24+ Left Center,,,Wade,D. Wade,24.65,Made,,,,,,,,,3.0,D. Mitchell,1628378.0,4.0,,,,,
322,PT02M24.00S,2025-12-23T01:08:33.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630163,83.78777923784494,35.78431372549019,1610612766,60,57,2025-12-23T01:08:37Z,3170000,False,-71.0,100.0,1,right,MISS L. Ball 12' driving floating Shot,[1630163],1610612766.0,CHA,driving floating,,,,,,In The Paint (Non-RA),8-16 Left,,,Ball,L. Ball,12.26,Missed,,,,,,,,,,,,,,,,,
323,PT02M21.00S,2025-12-23T01:08:36.2Z,2,REGULAR,rebound,defensive,[],1629631,,,1610612739,60,57,2025-12-23T01:08:36Z,3180000,False,,,0,,D. Hunter REBOUND (Off:0 Def:2),[1629631],1610612739.0,CLE,,,,,,,In The Paint (Non-RA),8-16 Left,,,Hunter,D. Hunter,,,322.0,2.0,2.0,0.0,,,,,,,,,,,,,
324,PT02M11.00S,2025-12-23T01:08:45.7Z,2,REGULAR,3pt,Jump Shot,[],1630241,26.62614980289093,78.43137254901961,1610612739,60,57,2025-12-23T01:18:26Z,3190000,False,-142.0,198.0,1,left,MISS S. Merrill 24' pullup 3PT,[1630241],1610612739.0,CLE,pullup,,,,,,Above the Break 3,24+ Left Center,,,Merrill,S. Merrill,24.36,Missed,,,,,,,,,,,,,,,,,
325,PT02M09.00S,2025-12-23T01:08:48.8Z,2,REGULAR,rebound,offensive,[],1628378,,,1610612739,60,57,2025-12-23T01:08:48Z,3200000,False,,,0,,D. Mitchell REBOUND (Off:1 Def:2),[1628378],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Left Center,,,Mitchell,D. Mitchell,,,324.0,3.0,2.0,1.0,,,,,,,,,,,,,
326,PT02M07.00S,2025-12-23T01:08:50.4Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1629636,25.04927726675427,12.990196078431374,1610612739,63,57,2025-12-23T01:08:53Z,3210000,False,185.0,183.0,1,left,D. Garland 26' 3PT  (15 PTS) (D. Mitchell 5 AST),"[1629636, 1628378]",1610612739.0,CLE,,,,,,,Above the Break 3,24+ Right Center,,,Garland,D. Garland,26.02,Made,,,,,,,,,15.0,D. Mitchell,1628378.0,5.0,,,,,
328,PT01M51.00S,2025-12-23T01:09:06.0Z,2,REGULAR,3pt,Jump Shot,[],1642851,78.26872536136662,92.8921568627451,1610612766,63,57,2025-12-23T01:09:10Z,3230000,False,214.0,152.0,1,right,MISS K. Knueppel 26' step back 3PT,[1642851],1610612766.0,CHA,step back,,,,,,Above the Break 3,24+ Right Center,,,Knueppel,K. Knueppel,26.28,Missed,,,,,,,,,,,,,,,,,
329,PT01M48.00S,2025-12-23T01:09:09.0Z,2,REGULAR,rebound,defensive,[],1629636,,,1610612739,63,57,2025-12-23T01:09:10Z,3240000,False,,,0,,D. Garland REBOUND (Off:0 Def:1),[1629636],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Right Center,,,Garland,D. Garland,,,328.0,1.0,1.0,0.0,,,,,,,,,,,,,
330,PT01M41.00S,2025-12-23T01:09:16.8Z,2,REGULAR,3pt,Jump Shot,[],1628378,31.488173455978973,32.59803921568628,1610612739,63,57,2025-12-23T01:09:21Z,3250000,False,87.0,243.0,1,left,MISS D. Mitchell 25' 3PT,[1628378],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Right Center,,,Mitchell,D. Mitchell,25.86,Missed,,,,,,,,,,,,,,,,,
331,PT01M39.00S,2025-12-23T01:09:18.8Z,2,REGULAR,rebound,defensive,[],1631217,,,1610612766,63,57,2025-12-23T01:09:21Z,3260000,False,,,0,,M. Diabaté REBOUND (Off:5 Def:5),[1631217],1610612766.0,CHA,,,,,,,Above the Break 3,24+ Right Center,,,Diabaté,M. Diabaté,,,330.0,10.0,5.0,5.0,,,,,,,,,,,,,
332,PT01M23.00S,2025-12-23T01:09:35.1Z,2,REGULAR,3pt,Jump Shot,[],1642851,95.0886990801577,3.1862745098039214,1610612766,63,60,2025-12-23T01:09:39Z,3270000,False,-234.0,-6.0,1,right,K. Knueppel 3PT  (15 PTS) (M. Bridges 2 AST),"[1642851, 1628970]",1610612766.0,CHA,,,,,,,Left Corner 3,24+ Left,,,Knueppel,K. Knueppel,23.42,Made,,,,,,,,,15.0,M. Bridges,1628970.0,2.0,,,,,
335,PT01M06.00S,2025-12-23T01:09:54.9Z,2,REGULAR,substitution,out,[],1630544,,,1610612739,63,60,2025-12-23T01:10:03Z,3300000,False,,,0,,SUB out: T. Mann,[1630544],1610612766.0,CHA,,,,,,,,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,
336,PT01M06.00S,2025-12-23T01:09:54.9Z,2,REGULAR,substitution,in,[],1641706,,,1610612739,63,60,2025-12-23T01:10:03Z,3310000,False,,,0,,SUB in: B. Miller,[1641706],1610612766.0,CHA,,,,,,,,,,,Miller,B. Miller,,,,,,,,,,,,,,,,,,,
337,PT00M56.60S,2025-12-23T01:10:31.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,17.821944809461236,35.049019607843135,1610612739,65,60,2025-12-23T01:10:36Z,3320000,False,75.0,115.0,1,left,D. Mitchell 13' driving floating Jump Shot (15 PTS),[1628378],1610612739.0,CLE,driving floating,,,,,,In The Paint (Non-RA),8-16 Right,,,Mitchell,D. Mitchell,13.72,Made,,,,,,,,,15.0,,,,,,,,
338,PT00M35.80S,2025-12-23T01:10:53.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628970,92.19776609724047,57.84313725490197,1610612766,65,60,2025-12-23T01:20:19Z,3330000,False,39.0,21.0,1,right,MISS M. Bridges driving floating Shot,[1628970],1610612766.0,CHA,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,,,Bridges,M. Bridges,4.44,Missed,,,,,,,,,,,,,,,,,
339,PT00M33.30S,2025-12-23T01:10:56.3Z,2,REGULAR,rebound,defensive,[],1629636,,,1610612739,65,60,2025-12-23T01:11:06Z,3340000,False,,,0,,D. Garland REBOUND (Off:0 Def:2),[1629636],1610612739.0,CLE,,,,,,,In The Paint (Non-RA),0-8 Center,,,Garland,D. Garland,,,338.0,2.0,2.0,0.0,,,,,,,,,,,,,
340,PT00M28.80S,2025-12-23T01:11:00.9Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628378,8.360709592641262,51.470588235294116,1610612739,65,60,2025-12-23T01:20:41Z,3350000,False,-7.0,26.0,1,left,MISS D. Mitchell running finger roll Layup,[1628378],1610612739.0,CLE,running finger roll,,,,,,Restricted Area,0-8 Center,,,Mitchell,D. Mitchell,2.71,Missed,,,,,,,,,,,,,,,,,
341,PT00M27.70S,2025-12-23T01:11:02.0Z,2,REGULAR,rebound,offensive,[],1629636,,,1610612739,65,60,2025-12-23T01:20:41Z,3360000,False,,,0,,D. Garland REBOUND (Off:1 Def:2),[1629636],1610612739.0,CLE,,,,,,,Restricted Area,0-8 Center,,,Garland,D. Garland,,,340.0,3.0,2.0,1.0,,,,,,,,,,,,,
342,PT00M27.70S,2025-12-23T01:11:05.4Z,2,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint']",1629636,5.590000152587891,50.0,1610612739,67,60,2025-12-23T01:21:08Z,3370000,False,0.0,0.0,1,left,D. Garland tip Layup (17 PTS),[1629636],1610612739.0,CLE,tip,,,,,,Restricted Area,0-8 Center,,,Garland,D. Garland,0.0,Made,,,,,,,,,17.0,,,,,,,,
343,PT00M07.50S,2025-12-23T01:11:27.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630163,85.10183968462549,37.00980392156863,1610612766,67,62,2025-12-23T01:11:34Z,3380000,False,-65.0,88.0,1,right,L. Ball 10' driving floating Jump Shot (14 PTS),[1630163],1610612766.0,CHA,driving floating,,,,,,In The Paint (Non-RA),8-16 Left,,,Ball,L. Ball,10.9,Made,,,,,,,,,14.0,,,,,,,,
345,PT00M07.50S,2025-12-23T01:11:31.8Z,2,REGULAR,foul,personal,['1freethrow'],1629636,,,1610612766,67,62,2025-12-23T01:11:42Z,3400000,False,,,0,,D. Garland shooting personal FOUL (1 PF) (Ball 1 FT),"[1629636, 1630163]",1610612739.0,CLE,shooting,,,,,,In The Paint (Non-RA),8-16 Left,1627541.0,,Garland,D. Garland,,,,,,,1.0,1.0,Ball,1630163.0,,,,,,,,,
347,PT00M07.50S,2025-12-23T01:11:43.8Z,2,REGULAR,substitution,out,[],1631217,,,1610612766,67,62,2025-12-23T01:11:53Z,3420000,False,,,0,,SUB out: M. Diabaté,[1631217],1610612766.0,CHA,,,,,,,,,,,Diabaté,M. Diabaté,,,,,,,,,,,,,,,,,,,
348,PT00M07.50S,2025-12-23T01:11:43.8Z,2,REGULAR,substitution,out,[],1641706,,,1610612766,67,62,2025-12-23T01:11:53Z,3430000,False,,,0,,SUB out: B. Miller,[1641706],1610612766.0,CHA,,,,,,,,,,,Miller,B. Miller,,,,,,,,,,,,,,,,,,,
349,PT00M07.50S,2025-12-23T01:11:43.8Z,2,REGULAR,substitution,in,[],1642883,,,1610612766,67,62,2025-12-23T01:11:53Z,3440000,False,,,0,,SUB in: S. James,[1642883],1610612766.0,CHA,,,,,,,,,,,James,S. James,,,,,,,,,,,,,,,,,,,
350,PT00M07.50S,2025-12-23T01:11:43.8Z,2,REGULAR,substitution,in,[],1642275,,,1610612766,67,62,2025-12-23T01:11:53Z,3450000,False,,,0,,SUB in: T. Salaün,[1642275],1610612766.0,CHA,,,,,,,,,,,Salaün,T. Salaün,,,,,,,,,,,,,,,,,,,
351,PT00M07.50S,2025-12-23T01:12:13.5Z,2,REGULAR,freethrow,1 of 1,[],1630163,,,1610612766,67,63,2025-12-23T01:12:13Z,3460000,False,,,0,,L. Ball Free Throw 1 of 1 (15 PTS),[1630163],1610612766.0,CHA,,,,,,,,,,,Ball,L. Ball,,Made,,,,,,,,,15.0,,,,,,,,
352,PT00M04.70S,2025-12-23T01:12:22.8Z,2,REGULAR,foul,personal,[],1642883,,,1610612739,67,63,2025-12-23T01:12:28Z,3470000,False,,,0,,S. James personal FOUL (1 PF),"[1642883, 1628378]",1610612766.0,CHA,,,,,,,Mid-Range,16-24 Left Center,202058.0,,James,S. James,,,,,,,1.0,0.0,Mitchell,1628378.0,,,,,,,,,
