actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
257,PT03M49.00S,2024-01-23T02:54:52.8Z,2,REGULAR,steal,,[],1630245,,,1610612741,40,53,2024-01-23T02:54:54Z,2550000,False,,,0,,A. Dosunmu STEAL (1 STL),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
258,PT03M42.00S,2024-01-23T02:54:59.9Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630245,89.43823915900131,55.63725490196079,1610612741,40,53,2024-01-23T02:56:06Z,2560000,False,28.0,47.0,1,right,MISS A. Dosunmu floating Shot,[1630245],1610612741.0,CHI,floating,,,Dosunmu,A. Dosunmu,,,,,In The Paint (Non-RA),0-8 Center,5.46,Missed,,,,,,,,,,,,,,,,,,
259,PT03M40.00S,2024-01-23T02:55:01.3Z,2,REGULAR,rebound,defensive,[],1629006,,,1610612756,40,53,2024-01-23T02:55:01Z,2570000,False,,,0,,J. Okogie REBOUND (Off:0 Def:2),[1629006],1610612756.0,PHX,,,,Okogie,J. Okogie,,,,,In The Paint (Non-RA),0-8 Center,,,258.0,,,,,2.0,2.0,0.0,,,,,,,,,,
260,PT03M37.00S,2024-01-23T02:55:04.3Z,2,REGULAR,turnover,lost ball,[],1626164,,,1610612756,40,53,2024-01-23T02:55:21Z,2580000,False,,,0,,D. Booker lost ball TURNOVER (1 TO),"[1626164, 1630245]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,1.0,,,,,Dosunmu,1630245.0,,
261,PT03M37.00S,2024-01-23T02:55:04.3Z,2,REGULAR,steal,,[],1630245,,,1610612741,40,53,2024-01-23T02:55:07Z,2590000,False,,,0,,A. Dosunmu STEAL (2 STL),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
262,PT03M34.00S,2024-01-23T02:55:08.4Z,2,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630245,95.0886990801577,49.754901960784316,1610612741,40,55,2024-01-23T02:56:33Z,2600000,False,-1.0,-6.0,1,right,A. Dosunmu running DUNK (8 PTS),[1630245],1610612741.0,CHI,running,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,0.64,Made,,8.0,,,,,,,,,,,,,,,,
263,PT03M34.00S,2024-01-23T02:55:19.2Z,2,REGULAR,timeout,full,['team'],0,,,1610612756,40,55,2024-01-23T02:55:19Z,2610000,False,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,PT03M22.00S,2024-01-23T02:56:59.2Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629632,,,1610612756,40,55,2024-01-23T02:57:15Z,2620000,False,,,0,,C. White personal FOUL (2 PF) (Okogie 2 FT),"[1629632, 1629006]",1610612741.0,CHI,,,,White,C. White,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1830.0,,2.0,0.0,Okogie,1629006.0,,,,
266,PT03M22.00S,2024-01-23T02:57:31.4Z,2,REGULAR,freethrow,1 of 2,[],1629006,,,1610612756,40,55,2024-01-23T02:57:31Z,2640000,False,,,0,,MISS J. Okogie Free Throw 1 of 2,[1629006],1610612756.0,PHX,,,,Okogie,J. Okogie,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
267,PT03M22.00S,2024-01-23T02:57:31.4Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612756,40,55,2024-01-23T02:57:31Z,2650000,False,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,,,266.0,,,,,,,,,,,,,,,,,
268,PT03M22.00S,2024-01-23T02:57:32.5Z,2,REGULAR,substitution,out,[],1628960,,,1610612756,40,55,2024-01-23T02:57:42Z,2660000,False,,,0,,SUB out: G. Allen,[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
269,PT03M22.00S,2024-01-23T02:57:32.5Z,2,REGULAR,substitution,out,[],1628966,,,1610612756,40,55,2024-01-23T02:57:42Z,2670000,False,,,0,,SUB out: K. Bates-Diop,[1628966],1610612756.0,PHX,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,,,
270,PT03M22.00S,2024-01-23T02:57:32.5Z,2,REGULAR,substitution,in,[],201142,,,1610612756,40,55,2024-01-23T02:57:42Z,2680000,False,,,0,,SUB in: K. Durant,[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,,,
271,PT03M22.00S,2024-01-23T02:57:32.5Z,2,REGULAR,substitution,in,[],203078,,,1610612756,40,55,2024-01-23T02:57:42Z,2690000,False,,,0,,SUB in: B. Beal,[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,,,,,,,,,,,,,,,,,,,,,,
272,PT03M22.00S,2024-01-23T02:57:57.6Z,2,REGULAR,freethrow,2 of 2,[],1629006,,,1610612756,41,55,2024-01-23T02:57:57Z,2700000,False,,,0,,J. Okogie Free Throw 2 of 2 (3 PTS),[1629006],1610612756.0,PHX,,,,Okogie,J. Okogie,,,,,,,,Made,,3.0,,,,,,,,,,,,,,,,
273,PT03M04.00S,2024-01-23T02:58:16.9Z,2,REGULAR,3pt,Jump Shot,[],1627936,72.61826544021025,16.176470588235293,1610612741,41,55,2024-01-23T02:58:22Z,2710000,False,-169.0,205.0,1,right,MISS A. Caruso 26' 3PT,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Above the Break 3,24+ Left Center,26.57,Missed,,,,,,,,,,,,,,,,,,
274,PT03M01.00S,2024-01-23T02:58:19.9Z,2,REGULAR,rebound,defensive,[],1626164,,,1610612756,41,55,2024-01-23T02:58:22Z,2720000,False,,,0,,D. Booker REBOUND (Off:0 Def:2),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,,,273.0,,,,,2.0,2.0,0.0,,,,,,,,,,
275,PT02M53.00S,2024-01-23T02:58:28.5Z,2,REGULAR,3pt,Jump Shot,[],201142,29.122864651773984,77.20588235294117,1610612756,41,55,2024-01-23T02:58:34Z,2730000,False,-136.0,221.0,1,left,MISS K. Durant 25' 3PT,[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Left Center,25.97,Missed,,,,,,,,,,,,,,,,,,
276,PT02M50.00S,2024-01-23T02:58:31.5Z,2,REGULAR,rebound,defensive,[],201942,,,1610612741,41,55,2024-01-23T02:58:34Z,2740000,False,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Left Center,,,275.0,,,,,1.0,1.0,0.0,,,,,,,,,,
277,PT02M46.00S,2024-01-23T02:58:34.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630245,91.93495400788436,49.50980392156863,1610612741,41,57,2024-01-23T02:58:40Z,2750000,False,-2.0,23.0,1,right,A. Dosunmu running Layup (10 PTS) (D. DeRozan 2 AST),"[1630245, 201942]",1610612741.0,CHI,running,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,2.34,Made,,10.0,D. DeRozan,201942.0,2.0,,,,,,,,,,,,,
279,PT02M25.00S,2024-01-23T02:58:58.8Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630245,,,1610612756,41,57,2024-01-23T02:59:33Z,2770000,False,,,0,,A. Dosunmu shooting personal FOUL (2 PF) (Beal 2 FT),"[1630245, 203078]",1610612741.0,CHI,shooting,,,Dosunmu,A. Dosunmu,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1628159.0,,2.0,0.0,Beal,203078.0,,,,
281,PT02M25.00S,2024-01-23T02:59:34.2Z,2,REGULAR,freethrow,1 of 2,[],203078,,,1610612756,42,57,2024-01-23T02:59:34Z,2790000,False,,,0,,B. Beal Free Throw 1 of 2 (7 PTS),[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,,,,Made,,7.0,,,,,,,,,,,,,,,,
282,PT02M25.00S,2024-01-23T02:59:35.1Z,2,REGULAR,substitution,out,[],1629006,,,1610612756,42,57,2024-01-23T02:59:37Z,2800000,False,,,0,,SUB out: J. Okogie,[1629006],1610612756.0,PHX,,,,Okogie,J. Okogie,,,,,,,,,,,,,,,,,,,,,,,,,,
283,PT02M25.00S,2024-01-23T02:59:35.1Z,2,REGULAR,substitution,in,[],1628960,,,1610612756,42,57,2024-01-23T02:59:37Z,2810000,False,,,0,,SUB in: G. Allen,[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
284,PT02M25.00S,2024-01-23T02:59:49.2Z,2,REGULAR,freethrow,2 of 2,[],203078,,,1610612756,43,57,2024-01-23T02:59:49Z,2820000,False,,,0,,B. Beal Free Throw 2 of 2 (8 PTS),[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,,,,Made,,8.0,,,,,,,,,,,,,,,,
285,PT02M12.00S,2024-01-23T03:00:03.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202696,93.11760840998686,50.49019607843137,1610612741,43,59,2024-01-23T03:00:15Z,2830000,False,2.0,12.0,1,right,N. Vucevic driving Layup (8 PTS),[202696],1610612741.0,CHI,driving,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,1.25,Made,,8.0,,,,,,,,,,,,,,,,
286,PT01M50.00S,2024-01-23T03:00:25.0Z,2,REGULAR,3pt,Jump Shot,[],1626164,11.645860709592641,96.81372549019608,1610612756,46,59,2024-01-23T03:00:28Z,2840000,False,-234.0,57.0,1,left,D. Booker 24' 3PT  (12 PTS) (B. Beal 2 AST),"[1626164, 203078]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,Left Corner 3,24+ Left,24.09,Made,,12.0,B. Beal,203078.0,2.0,,,,,,,,,,,,,
288,PT01M28.00S,2024-01-23T03:00:47.6Z,2,REGULAR,2pt,Jump Shot,[],202696,93.64323258869908,20.588235294117645,1610612741,46,61,2024-01-23T03:00:50Z,2860000,False,-147.0,7.0,1,right,N. Vucevic 14' Jump Shot (10 PTS) (A. Caruso 2 AST),"[202696, 1627936]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,8-16 Left,14.73,Made,,10.0,A. Caruso,1627936.0,2.0,,,,,,,,,,,,,
290,PT01M11.00S,2024-01-23T03:01:04.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,12.302890932982917,49.50980392156863,1610612756,46,61,2024-01-23T03:01:32Z,2880000,False,2.0,63.0,1,left,MISS K. Durant 6' fadeaway Shot - blocked,"[201142, 1627936]",1610612756.0,PHX,fadeaway,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,6.31,Missed,,,,,,,,,,,,,,,,,Caruso,1627936.0
291,PT01M11.00S,2024-01-23T03:01:04.5Z,2,REGULAR,block,,[],1627936,,,1610612756,46,61,2024-01-23T03:01:06Z,2890000,False,,,0,,A. Caruso BLOCK (2 BLK),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
292,PT01M09.00S,2024-01-23T03:01:06.5Z,2,REGULAR,rebound,defensive,[],1627936,,,1610612741,46,61,2024-01-23T03:01:10Z,2900000,False,,,0,,A. Caruso REBOUND (Off:0 Def:1),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,In The Paint (Non-RA),0-8 Center,,,290.0,,,,,1.0,1.0,0.0,,,,,,,,,,
293,PT01M05.00S,2024-01-23T03:01:11.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627936,93.11760840998686,53.92156862745098,1610612741,46,61,2024-01-23T03:01:19Z,2910000,False,20.0,12.0,1,right,MISS A. Caruso running Layup - blocked,"[1627936, 203994]",1610612741.0,CHI,running,,,Caruso,A. Caruso,,,,,Restricted Area,0-8 Center,2.31,Missed,,,,,,,,,,,,,,,,,Nurkic,203994.0
294,PT01M05.00S,2024-01-23T03:01:11.0Z,2,REGULAR,block,,[],203994,,,1610612741,46,61,2024-01-23T03:01:12Z,2920000,False,,,0,,J. Nurkic BLOCK (2 BLK),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
295,PT01M03.00S,2024-01-23T03:01:13.0Z,2,REGULAR,rebound,defensive,[],203078,,,1610612756,46,61,2024-01-23T03:01:19Z,2930000,False,,,0,,B. Beal REBOUND (Off:0 Def:1),[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,Restricted Area,0-8 Center,,,293.0,,,,,1.0,1.0,0.0,,,,,,,,,,
296,PT01M00.00S,2024-01-23T03:01:16.2Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1626164,6.652431011826544,47.30392156862745,1610612756,48,61,2024-01-23T03:02:11Z,2940000,False,13.0,10.0,1,left,D. Booker running reverse Layup (14 PTS) (K. Durant 5 AST),"[1626164, 201142]",1610612756.0,PHX,running reverse,,,Booker,D. Booker,,,,,Restricted Area,0-8 Center,1.68,Made,,14.0,K. Durant,201142.0,5.0,,,,,,,,,,,,,
298,PT00M45.90S,2024-01-23T03:01:35.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201942,94.03745072273325,51.71568627450981,1610612741,48,63,2024-01-23T03:02:45Z,2960000,False,9.0,4.0,1,right,D. DeRozan driving reverse Layup (8 PTS),[201942],1610612741.0,CHI,driving reverse,,,DeRozan,D. DeRozan,,,,,Restricted Area,0-8 Center,0.93,Made,,8.0,,,,,,,,,,,,,,,,
299,PT00M38.50S,2024-01-23T03:01:46.4Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627936,,,1610612756,48,63,2024-01-23T03:02:18Z,2970000,False,,,0,,A. Caruso personal FOUL (2 PF) (Durant 2 FT),"[1627936, 201142]",1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Above the Break 3,24+ Center,,,,,,,,,,,202026.0,,2.0,0.0,Durant,201142.0,,,,
301,PT00M38.50S,2024-01-23T03:02:19.2Z,2,REGULAR,freethrow,1 of 2,[],201142,,,1610612756,48,63,2024-01-23T03:02:19Z,2990000,False,,,0,,MISS K. Durant Free Throw 1 of 2,[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
302,PT00M38.50S,2024-01-23T03:02:19.2Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612756,48,63,2024-01-23T03:02:19Z,3000000,False,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,,,301.0,,,,,,,,,,,,,,,,,
303,PT00M38.50S,2024-01-23T03:02:35.7Z,2,REGULAR,freethrow,2 of 2,[],201142,,,1610612756,49,63,2024-01-23T03:02:35Z,3010000,False,,,0,,K. Durant Free Throw 2 of 2 (13 PTS),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,,,,Made,,13.0,,,,,,,,,,,,,,,,
304,PT00M27.70S,2024-01-23T03:02:53.9Z,2,REGULAR,3pt,Jump Shot,[],1627936,94.03745072273325,2.941176470588235,1610612741,49,66,2024-01-23T03:02:58Z,3020000,False,-235.0,4.0,1,right,A. Caruso 3PT  (12 PTS) (N. Vucevic 6 AST),"[1627936, 202696]",1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Left Corner 3,24+ Left,23.53,Made,,12.0,N. Vucevic,202696.0,6.0,,,,,,,,,,,,,
306,PT00M06.70S,2024-01-23T03:03:19.5Z,2,REGULAR,foul,offensive,[],203994,,,1610612756,49,66,2024-01-23T03:03:52Z,3040000,False,,,0,,J. Nurkic offensive FOUL (1 PF),"[203994, 1629632]",1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Mid-Range,8-16 Center,,,,,,,,,,,1628159.0,,1.0,0.0,White,1629632.0,,,,
308,PT00M06.70S,2024-01-23T03:03:19.5Z,2,REGULAR,turnover,offensive foul,[],203994,,,1610612756,49,66,2024-01-23T03:03:19Z,3060000,False,,,0,,J. Nurkic offensive foul TURNOVER (1 TO),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Mid-Range,8-16 Center,,,,,,,,,,,1628159.0,1.0,,,,,,,,
309,PT00M00.00S,2024-01-23T03:03:42.7Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1630245,82.7365308804205,19.362745098039216,1610612741,49,66,2024-01-23T03:14:32Z,3070000,False,-153.0,110.0,1,right,MISS A. Dosunmu 18' pullup bank Shot,[1630245],1610612741.0,CHI,pullup bank,,,Dosunmu,A. Dosunmu,,,,,Mid-Range,16-24 Left,18.85,Missed,,,,,,,,,,,,,,,,,,
310,PT00M00.00S,2024-01-23T03:03:42.7Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612741,49,66,2024-01-23T03:03:49Z,3080000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,Mid-Range,16-24 Left,,,309.0,,,,,,,,,,,,,,,,,
311,PT00M00.00S,2024-01-23T03:03:48.8Z,2,REGULAR,period,end,[],0,,,1610612741,49,66,2024-01-23T03:03:48Z,3090000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,PT12M00.00S,2024-01-23T03:17:33.3Z,3,REGULAR,substitution,out,['startperiod'],1630245,,,1610612741,49,66,2024-01-23T03:19:51Z,3100000,False,,,0,,SUB out: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,,
313,PT12M00.00S,2024-01-23T03:17:33.3Z,3,REGULAR,substitution,in,['startperiod'],1630172,,,1610612741,49,66,2024-01-23T03:19:51Z,3110000,False,,,0,,SUB in: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
314,PT12M00.00S,2024-01-23T03:19:51.5Z,3,REGULAR,period,start,[],0,,,1610612741,49,66,2024-01-23T03:19:52Z,3120000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,PT11M42.00S,2024-01-23T03:20:08.3Z,3,REGULAR,2pt,DUNK,['pointsinthepaint'],1630172,5.995400788436268,49.754901960784316,1610612741,49,68,2024-01-23T03:20:13Z,3130000,False,1.0,4.0,1,left,P. Williams cutting DUNK (10 PTS) (A. Caruso 3 AST),"[1630172, 1627936]",1610612741.0,CHI,cutting,,,Williams,P. Williams,,,,,Restricted Area,0-8 Center,0.41,Made,,10.0,A. Caruso,1627936.0,3.0,,,,,,,,,,,,,
317,PT11M25.00S,2024-01-23T03:20:25.1Z,3,REGULAR,2pt,Jump Shot,[],201142,77.87450722733246,45.588235294117645,1610612756,49,68,2024-01-23T03:20:29Z,3150000,False,-22.0,155.0,1,right,MISS K. Durant 15' Jump Shot,[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Mid-Range,8-16 Center,15.71,Missed,,,,,,,,,,,,,,,,,,
318,PT11M23.00S,2024-01-23T03:20:27.1Z,3,REGULAR,rebound,defensive,[],1629632,,,1610612741,49,68,2024-01-23T03:20:29Z,3160000,False,,,0,,C. White REBOUND (Off:1 Def:4),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Mid-Range,8-16 Center,,,317.0,,,,,5.0,4.0,1.0,,,,,,,,,,
319,PT11M10.00S,2024-01-23T03:20:40.6Z,3,REGULAR,2pt,Jump Shot,[],201942,25.312089356110377,50.49019607843137,1610612741,49,68,2024-01-23T03:20:44Z,3170000,False,-2.0,185.0,1,left,MISS D. DeRozan 18' pullup Shot,[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Center,18.54,Missed,,,,,,,,,,,,,,,,,,
320,PT11M08.00S,2024-01-23T03:20:42.6Z,3,REGULAR,rebound,defensive,[],203994,,,1610612756,49,68,2024-01-23T03:20:44Z,3180000,False,,,0,,J. Nurkic REBOUND (Off:0 Def:3),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Mid-Range,16-24 Center,,,319.0,,,,,3.0,3.0,0.0,,,,,,,,,,
321,PT10M56.00S,2024-01-23T03:20:54.1Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],203994,92.19776609724047,54.166666666666664,1610612756,49,68,2024-01-23T03:20:58Z,3190000,False,21.0,21.0,1,right,MISS J. Nurkic cutting Layup - blocked,"[203994, 1627936]",1610612756.0,PHX,cutting,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,2.94,Missed,,,,,,,,,,,,,,,,,Caruso,1627936.0
322,PT10M56.00S,2024-01-23T03:20:54.1Z,3,REGULAR,block,,[],1627936,,,1610612756,49,68,2024-01-23T03:20:55Z,3200000,False,,,0,,A. Caruso BLOCK (3 BLK),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
323,PT10M54.00S,2024-01-23T03:20:56.1Z,3,REGULAR,rebound,defensive,[],1629632,,,1610612741,49,68,2024-01-23T03:20:58Z,3210000,False,,,0,,C. White REBOUND (Off:1 Def:5),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Restricted Area,0-8 Center,,,321.0,,,,,6.0,5.0,1.0,,,,,,,,,,
324,PT10M49.00S,2024-01-23T03:21:01.2Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629632,4.418528252299605,48.529411764705884,1610612741,49,70,2024-01-23T03:21:08Z,3220000,False,7.0,-11.0,1,left,C. White running Layup (15 PTS),[1629632],1610612741.0,CHI,running,,,White,C. White,,,,,Restricted Area,0-8 Center,1.33,Made,,15.0,,,,,,,,,,,,,,,,
325,PT10M36.00S,2024-01-23T03:21:14.6Z,3,REGULAR,3pt,Jump Shot,[],203078,84.1819973718791,93.62745098039215,1610612756,52,70,2024-01-23T03:21:17Z,3230000,False,218.0,96.0,1,right,B. Beal 3PT  (11 PTS) (D. Booker 1 AST),"[203078, 1626164]",1610612756.0,PHX,,,,Beal,B. Beal,,,,,Above the Break 3,24+ Right Center,23.84,Made,,11.0,D. Booker,1626164.0,1.0,,,,,,,,,,,,,
327,PT10M23.00S,2024-01-23T03:21:26.8Z,3,REGULAR,3pt,Jump Shot,[],202696,32.276609724047304,35.294117647058826,1610612741,52,73,2024-01-23T03:21:34Z,3250000,False,74.0,251.0,1,left,N. Vucevic 26' 3PT  (13 PTS) (D. DeRozan 3 AST),"[202696, 201942]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Center,26.14,Made,,13.0,D. DeRozan,201942.0,3.0,,,,,,,,,,,,,
329,PT10M07.00S,2024-01-23T03:21:42.8Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],203994,90.48948751642575,50.245098039215684,1610612756,54,73,2024-01-23T03:21:47Z,3270000,False,1.0,37.0,1,right,J. Nurkic cutting Layup (4 PTS) (K. Durant 6 AST),"[203994, 201142]",1610612756.0,PHX,cutting,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,3.69,Made,,4.0,K. Durant,201142.0,6.0,,,,,,,,,,,,,
331,PT09M53.00S,2024-01-23T03:21:57.2Z,3,REGULAR,3pt,Jump Shot,[],1627936,7.046649145860711,97.30392156862744,1610612741,54,73,2024-01-23T03:22:03Z,3290000,False,-237.0,14.0,1,left,MISS A. Caruso 3PT,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Left Corner 3,24+ Left,23.69,Missed,,,,,,,,,,,,,,,,,,
332,PT09M48.00S,2024-01-23T03:22:02.2Z,3,REGULAR,rebound,defensive,[],201142,,,1610612756,54,73,2024-01-23T03:22:03Z,3300000,False,,,0,,K. Durant REBOUND (Off:1 Def:2),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Left Corner 3,24+ Left,,,331.0,,,,,3.0,2.0,1.0,,,,,,,,,,
333,PT09M42.00S,2024-01-23T03:22:08.2Z,3,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1626164,92.9862023653088,51.9607843137255,1610612756,56,73,2024-01-23T03:24:55Z,3310000,False,10.0,13.0,1,right,D. Booker running pullup Jump Shot (16 PTS),[1626164],1610612756.0,PHX,running pullup,,,Booker,D. Booker,,,,,Restricted Area,0-8 Center,1.66,Made,,16.0,,,,,,,,,,,,,,,,
334,PT09M29.00S,2024-01-23T03:22:21.3Z,3,REGULAR,2pt,Jump Shot,[],1629632,7.440867279894875,24.509803921568626,1610612741,56,73,2024-01-23T03:22:25Z,3320000,False,127.0,17.0,1,left,MISS C. White 12' pullup Shot,[1629632],1610612741.0,CHI,pullup,,,White,C. White,,,,,Mid-Range,8-16 Right,12.87,Missed,,,,,,,,,,,,,,,,,,
335,PT09M28.00S,2024-01-23T03:22:22.3Z,3,REGULAR,rebound,defensive,[],203078,,,1610612756,56,73,2024-01-23T03:22:25Z,3330000,False,,,0,,B. Beal REBOUND (Off:0 Def:2),[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,Mid-Range,8-16 Right,,,334.0,,,,,2.0,2.0,0.0,,,,,,,,,,
336,PT09M22.00S,2024-01-23T03:22:28.6Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1626164,70.90998685939553,80.14705882352942,1610612756,56,73,2024-01-23T03:25:42Z,3340000,False,151.0,221.0,1,right,MISS D. Booker 26' running pullup 3PT,[1626164],1610612756.0,PHX,running pullup,,,Booker,D. Booker,,,,,Above the Break 3,24+ Right Center,26.74,Missed,,,,,,,,,,,,,,,,,,
337,PT09M20.00S,2024-01-23T03:22:30.6Z,3,REGULAR,rebound,defensive,[],202696,,,1610612741,56,73,2024-01-23T03:22:32Z,3350000,False,,,0,,N. Vucevic REBOUND (Off:2 Def:8),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Right Center,,,336.0,,,,,10.0,8.0,2.0,,,,,,,,,,
338,PT09M05.00S,2024-01-23T03:22:46.2Z,3,REGULAR,2pt,Jump Shot,[],202696,5.206964520367937,22.30392156862745,1610612741,56,73,2024-01-23T03:22:51Z,3360000,False,138.0,-4.0,1,left,MISS N. Vucevic 13' Jump Shot,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,8-16 Right,13.85,Missed,,,,,,,,,,,,,,,,,,
