actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,jumpBallRecoverdPersonId
250,PT06M10.00S,2023-02-25T01:29:35.2Z,2,REGULAR,rebound,defensive,[],1629216,,,1610612748,58,42,2023-02-25T01:29:35Z,2480000,False,,,0,,G. Vincent REBOUND (Off:0 Def:1),[1629216],1610612748.0,MIA,,,,,,,Restricted Area,0-8 Center,,,,Vincent,G. Vincent,,,,,249.0,1.0,1.0,0.0,,,,,,,,,,
251,PT06M10.00S,2023-02-25T01:29:39.5Z,2,REGULAR,foul,personal,['2freethrow'],203086,,,1610612748,58,42,2023-02-25T01:29:49Z,2490000,False,,,0,,M. Leonard shooting personal FOUL (1 PF) (Adebayo 2 FT),"[203086, 1628389]",1610612749.0,MIL,shooting,,,,,,In The Paint (Non-RA),0-8 Center,2005.0,1.0,0.0,Leonard,M. Leonard,Adebayo,1628389.0,,,,,,,,,,,,,,,,
253,PT06M10.00S,2023-02-25T01:30:12.0Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],1628389,,,1610612748,58,42,2023-02-25T01:30:12Z,2510000,False,,,0,,MISS B. Adebayo Free Throw 1 of 2,[1628389],1610612748.0,MIA,,,,,,,,,,,,Adebayo,B. Adebayo,,,Missed,,,,,,,,,,,,,,,
254,PT06M10.00S,2023-02-25T01:30:12.0Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612748,58,42,2023-02-25T01:30:12Z,2520000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,253.0,,,,,,,,,,,,,
255,PT06M10.00S,2023-02-25T01:30:13.1Z,2,REGULAR,substitution,out,[],1626171,,,1610612748,58,42,2023-02-25T01:30:23Z,2530000,False,,,0,,SUB out: B. Portis,[1626171],1610612749.0,MIL,,,,,,,,,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,
256,PT06M10.00S,2023-02-25T01:30:13.1Z,2,REGULAR,substitution,out,[],1629622,,,1610612748,58,42,2023-02-25T01:30:23Z,2540000,False,,,0,,SUB out: M. Strus,[1629622],1610612748.0,MIA,,,,,,,,,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,
257,PT06M10.00S,2023-02-25T01:30:13.1Z,2,REGULAR,substitution,in,[],203114,,,1610612748,58,42,2023-02-25T01:30:23Z,2550000,False,,,0,,SUB in: K. Middleton,[203114],1610612749.0,MIL,,,,,,,,,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,
258,PT06M10.00S,2023-02-25T01:30:13.1Z,2,REGULAR,substitution,in,[],202710,,,1610612748,58,42,2023-02-25T01:30:23Z,2560000,False,,,0,,SUB in: J. Butler,[202710],1610612748.0,MIA,,,,,,,,,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,
259,PT06M10.00S,2023-02-25T01:30:38.0Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],1628389,,,1610612748,58,43,2023-02-25T01:30:38Z,2570000,False,,,0,,B. Adebayo Free Throw 2 of 2 (14 PTS),[1628389],1610612748.0,MIA,,,,,,,,,,,,Adebayo,B. Adebayo,,,Made,14.0,,,,,,,,,,,,,,
260,PT05M56.00S,2023-02-25T01:30:53.8Z,2,REGULAR,2pt,Jump Shot,[],204060,27.463863337713533,69.63082107843137,1610612749,60,43,2023-02-25T01:31:03Z,2580000,False,-98.0,206.0,1,left,J. Ingles 22' pullup Jump Shot (2 PTS),[204060],1610612749.0,MIL,pullup,,,,,,Mid-Range,16-24 Left Center,,,,Ingles,J. Ingles,,,Made,2.0,,,,,22.79,,,,,,,,,
261,PT05M45.00S,2023-02-25T01:31:05.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,94.1688567674113,65.44117647058823,1610612748,60,43,2023-02-25T01:34:00Z,2590000,False,77.0,2.0,1,right,MISS B. Adebayo 7' bank Shot,[1628389],1610612748.0,MIA,bank,,,,,,In The Paint (Non-RA),0-8 Center,,,,Adebayo,B. Adebayo,,,Missed,,,,,,7.72,,,,,,,,,
262,PT05M42.00S,2023-02-25T01:31:08.7Z,2,REGULAR,rebound,defensive,[],204060,,,1610612749,60,43,2023-02-25T01:31:13Z,2600000,False,,,0,,J. Ingles REBOUND (Off:0 Def:2),[204060],1610612749.0,MIL,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Ingles,J. Ingles,,,,,261.0,2.0,2.0,0.0,,,,,,,,,,
263,PT05M35.00S,2023-02-25T01:31:18.2Z,2,REGULAR,turnover,out-of-bounds,[],204060,,,1610612749,60,43,2023-02-25T01:32:28Z,2610000,False,,,0,,J. Ingles lost ball out-of-bounds TURNOVER (1 TO),[204060],1610612749.0,MIL,lost ball,,,,,,Mid-Range,8-16 Left,2004.0,,,Ingles,J. Ingles,,,,,,,,,,,,,,,1.0,,,
264,PT05M35.00S,2023-02-25T01:31:24.0Z,2,REGULAR,substitution,out,[],1628389,,,1610612748,60,43,2023-02-25T01:31:29Z,2620000,False,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,,,,,,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,
265,PT05M35.00S,2023-02-25T01:31:24.0Z,2,REGULAR,substitution,in,[],203469,,,1610612748,60,43,2023-02-25T01:31:29Z,2630000,False,,,0,,SUB in: C. Zeller,[203469],1610612748.0,MIA,,,,,,,,,,,,Zeller,C. Zeller,,,,,,,,,,,,,,,,,,
266,PT05M20.00S,2023-02-25T01:31:44.6Z,2,REGULAR,foul,personal,['2freethrow'],201950,,,1610612748,60,43,2023-02-25T01:32:14Z,2640000,False,,,0,,J. Holiday shooting personal FOUL (2 PF) (Butler 2 FT),"[201950, 202710]",1610612749.0,MIL,shooting,,,,,,In The Paint (Non-RA),0-8 Center,2004.0,2.0,0.0,Holiday,J. Holiday,Butler,202710.0,,,,,,,,,,,,,,,,
268,PT05M20.00S,2023-02-25T01:32:15.9Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],202710,,,1610612748,60,44,2023-02-25T01:32:15Z,2660000,False,,,0,,J. Butler Free Throw 1 of 2 (10 PTS),[202710],1610612748.0,MIA,,,,,,,,,,,,Butler,J. Butler,,,Made,10.0,,,,,,,,,,,,,,
269,PT05M20.00S,2023-02-25T01:32:31.4Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],202710,,,1610612748,60,45,2023-02-25T01:32:31Z,2670000,False,,,0,,J. Butler Free Throw 2 of 2 (11 PTS),[202710],1610612748.0,MIA,,,,,,,,,,,,Butler,J. Butler,,,Made,11.0,,,,,,,,,,,,,,
270,PT05M05.00S,2023-02-25T01:32:47.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],204060,7.046649145860711,50.0,1610612749,62,45,2023-02-25T01:32:52Z,2680000,False,0.0,14.0,1,left,J. Ingles driving Layup (4 PTS),[204060],1610612749.0,MIL,driving,,,,,,Restricted Area,0-8 Center,,,,Ingles,J. Ingles,,,Made,4.0,,,,,1.37,,,,,,,,,
271,PT04M58.00S,2023-02-25T01:32:54.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629639,92.46057818659659,54.90196078431373,1610612748,62,45,2023-02-25T01:33:05Z,2690000,False,25.0,18.0,1,right,MISS T. Herro driving Layup,[1629639],1610612748.0,MIA,driving,,,,,,Restricted Area,0-8 Center,,,,Herro,T. Herro,,,Missed,,,,,,3.06,,,,,,,,,
272,PT04M56.00S,2023-02-25T01:32:56.5Z,2,REGULAR,rebound,defensive,[],204060,,,1610612749,62,45,2023-02-25T01:33:05Z,2700000,False,,,0,,J. Ingles REBOUND (Off:0 Def:3),[204060],1610612749.0,MIL,,,,,,,Restricted Area,0-8 Center,,,,Ingles,J. Ingles,,,,,271.0,3.0,3.0,0.0,,,,,,,,,,
273,PT04M50.00S,2023-02-25T01:33:03.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201950,6.258212877792378,52.94117647058824,1610612749,64,45,2023-02-25T01:33:12Z,2710000,False,-15.0,6.0,1,left,J. Holiday Layup (10 PTS) (G. Allen 1 AST),"[201950, 1628960]",1610612749.0,MIL,,,,,,,Restricted Area,0-8 Center,,,,Holiday,J. Holiday,,,Made,10.0,,,,,1.6,G. Allen,1628960.0,1.0,,,,,,
275,PT04M50.00S,2023-02-25T01:33:10.7Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,64,45,2023-02-25T01:33:10Z,2730000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,PT04M50.00S,2023-02-25T01:35:42.6Z,2,REGULAR,substitution,out,[],1628960,,,1610612748,64,45,2023-02-25T01:36:31Z,2740000,False,,,0,,SUB out: G. Allen,[1628960],1610612749.0,MIL,,,,,,,,,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,
277,PT04M50.00S,2023-02-25T01:35:42.6Z,2,REGULAR,substitution,out,[],1628997,,,1610612748,64,45,2023-02-25T01:36:31Z,2750000,False,,,0,,SUB out: C. Martin,[1628997],1610612748.0,MIA,,,,,,,,,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,
278,PT04M50.00S,2023-02-25T01:35:42.6Z,2,REGULAR,substitution,in,[],1628975,,,1610612748,64,45,2023-02-25T01:36:31Z,2760000,False,,,0,,SUB in: J. Carter,[1628975],1610612749.0,MIL,,,,,,,,,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,
279,PT04M50.00S,2023-02-25T01:35:42.6Z,2,REGULAR,substitution,in,[],201567,,,1610612748,64,45,2023-02-25T01:36:31Z,2770000,False,,,0,,SUB in: K. Love,[201567],1610612748.0,MIA,,,,,,,,,,,,Love,K. Love,,,,,,,,,,,,,,,,,,
280,PT04M33.00S,2023-02-25T01:36:53.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,82.47371879106439,58.57843137254902,1610612748,64,47,2023-02-25T01:36:57Z,2780000,False,43.0,112.0,1,right,J. Butler 12' pullup Jump Shot (13 PTS),[202710],1610612748.0,MIA,pullup,,,,,,In The Paint (Non-RA),8-16 Center,,,,Butler,J. Butler,,,Made,13.0,,,,,12.01,,,,,,,,,
281,PT04M20.00S,2023-02-25T01:37:06.1Z,2,REGULAR,3pt,Jump Shot,[],203114,9.280551905387648,96.56862745098039,1610612749,67,47,2023-02-25T01:37:12Z,2790000,False,-233.0,35.0,1,left,K. Middleton 3PT  (8 PTS) (J. Holiday 3 AST),"[203114, 201950]",1610612749.0,MIL,,,,,,,Left Corner 3,24+ Left,,,,Middleton,K. Middleton,,,Made,8.0,,,,,23.54,J. Holiday,201950.0,3.0,,,,,,
283,PT04M09.00S,2023-02-25T01:37:17.7Z,2,REGULAR,3pt,Jump Shot,[],1629639,96.27135348226018,3.1862745098039214,1610612748,67,50,2023-02-25T01:37:22Z,2810000,False,-234.0,-17.0,1,right,T. Herro 3PT  (11 PTS) (G. Vincent 1 AST),"[1629639, 1629216]",1610612748.0,MIA,,,,,,,Left Corner 3,24+ Left,,,,Herro,T. Herro,,,Made,11.0,,,,,23.48,G. Vincent,1629216.0,1.0,,,,,,
285,PT03M55.00S,2023-02-25T01:37:31.6Z,2,REGULAR,2pt,Jump Shot,[],201950,5.995400788436268,71.56862745098039,1610612749,69,50,2023-02-25T01:37:36Z,2830000,False,-108.0,4.0,1,left,J. Holiday 10' turnaround fadeaway Jump Shot (12 PTS),[201950],1610612749.0,MIL,turnaround fadeaway,,,,,,Mid-Range,8-16 Left,,,,Holiday,J. Holiday,,,Made,12.0,,,,,10.79,,,,,,,,,
286,PT03M38.00S,2023-02-25T01:37:48.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202710,93.64323258869908,51.9607843137255,1610612748,69,52,2023-02-25T01:38:49Z,2840000,False,10.0,7.0,1,right,J. Butler Layup (15 PTS),[202710],1610612748.0,MIA,,,,,,,Restricted Area,0-8 Center,,,,Butler,J. Butler,,,Made,15.0,,,,,1.22,,,,,,,,,
287,PT03M28.00S,2023-02-25T01:38:02.0Z,2,REGULAR,foul,personal,['2freethrow'],1629639,,,1610612749,69,52,2023-02-25T01:38:28Z,2850000,False,,,0,,T. Herro shooting personal FOUL (1 PF) (Middleton 2 FT),"[1629639, 203114]",1610612748.0,MIA,shooting,,,,,,Mid-Range,8-16 Left,201246.0,1.0,0.0,Herro,T. Herro,Middleton,203114.0,,,,,,,,,,,,,,,,
289,PT03M28.00S,2023-02-25T01:38:29.2Z,2,REGULAR,freethrow,1 of 2,[],203114,,,1610612749,70,52,2023-02-25T01:38:29Z,2870000,False,,,0,,K. Middleton Free Throw 1 of 2 (9 PTS),[203114],1610612749.0,MIL,,,,,,,,,,,,Middleton,K. Middleton,,,Made,9.0,,,,,,,,,,,,,,
290,PT03M28.00S,2023-02-25T01:38:30.1Z,2,REGULAR,substitution,out,[],203086,,,1610612749,70,52,2023-02-25T01:38:40Z,2880000,False,,,0,,SUB out: M. Leonard,[203086],1610612749.0,MIL,,,,,,,,,,,,Leonard,M. Leonard,,,,,,,,,,,,,,,,,,
291,PT03M28.00S,2023-02-25T01:38:30.1Z,2,REGULAR,substitution,out,[],1628975,,,1610612749,70,52,2023-02-25T01:38:40Z,2890000,False,,,0,,SUB out: J. Carter,[1628975],1610612749.0,MIL,,,,,,,,,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,
292,PT03M28.00S,2023-02-25T01:38:30.1Z,2,REGULAR,substitution,in,[],201572,,,1610612749,70,52,2023-02-25T01:38:40Z,2900000,False,,,0,,SUB in: B. Lopez,[201572],1610612749.0,MIL,,,,,,,,,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,
293,PT03M28.00S,2023-02-25T01:38:30.1Z,2,REGULAR,substitution,in,[],203109,,,1610612749,70,52,2023-02-25T01:38:40Z,2910000,False,,,0,,SUB in: J. Crowder,[203109],1610612749.0,MIL,,,,,,,,,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,
294,PT03M28.00S,2023-02-25T01:38:44.3Z,2,REGULAR,freethrow,2 of 2,[],203114,,,1610612749,71,52,2023-02-25T01:38:44Z,2920000,False,,,0,,K. Middleton Free Throw 2 of 2 (10 PTS),[203114],1610612749.0,MIL,,,,,,,,,,,,Middleton,K. Middleton,,,Made,10.0,,,,,,,,,,,,,,
295,PT03M15.00S,2023-02-25T01:39:03.4Z,2,REGULAR,foul,personal,['2freethrow'],203114,,,1610612748,71,52,2023-02-25T01:39:12Z,2930000,False,,,0,,K. Middleton shooting personal FOUL (1 PF) (Butler 2 FT),"[203114, 202710]",1610612749.0,MIL,shooting,,,,,,In The Paint (Non-RA),8-16 Left,201246.0,1.0,0.0,Middleton,K. Middleton,Butler,202710.0,,,,,,,,,,,,,,,,
297,PT03M15.00S,2023-02-25T01:39:29.0Z,2,REGULAR,freethrow,1 of 2,[],202710,,,1610612748,71,52,2023-02-25T01:39:50Z,2950000,False,,,0,,MISS J. Butler Free Throw 1 of 2,[202710],1610612748.0,MIA,,,,,,,,,,,,Butler,J. Butler,,,Missed,,,,,,,,,,,,,,,
298,PT03M15.00S,2023-02-25T01:39:29.0Z,2,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612748,71,52,2023-02-25T01:39:50Z,2960000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,297.0,,,,,,,,,,,,,
299,PT03M15.00S,2023-02-25T01:39:35.2Z,2,REGULAR,substitution,out,[],201950,,,1610612748,71,52,2023-02-25T01:39:42Z,2970000,False,,,0,,SUB out: J. Holiday,[201950],1610612749.0,MIL,,,,,,,,,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,
300,PT03M15.00S,2023-02-25T01:39:35.2Z,2,REGULAR,substitution,out,[],203469,,,1610612748,71,52,2023-02-25T01:39:42Z,2980000,False,,,0,,SUB out: C. Zeller,[203469],1610612748.0,MIA,,,,,,,,,,,,Zeller,C. Zeller,,,,,,,,,,,,,,,,,,
301,PT03M15.00S,2023-02-25T01:39:35.2Z,2,REGULAR,substitution,in,[],1628975,,,1610612748,71,52,2023-02-25T01:39:42Z,2990000,False,,,0,,SUB in: J. Carter,[1628975],1610612749.0,MIL,,,,,,,,,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,
302,PT03M15.00S,2023-02-25T01:39:35.2Z,2,REGULAR,substitution,in,[],1628389,,,1610612748,71,52,2023-02-25T01:39:42Z,3000000,False,,,0,,SUB in: B. Adebayo,[1628389],1610612748.0,MIA,,,,,,,,,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,
303,PT03M15.00S,2023-02-25T01:39:29.0Z,2,REGULAR,freethrow,2 of 2,[],202710,,,1610612748,71,52,2023-02-25T01:39:50Z,3010000,False,,,0,,MISS J. Butler Free Throw 2 of 2,[202710],1610612748.0,MIA,,,,,,,,,,,,Butler,J. Butler,,,Missed,,,,,,,,,,,,,,,
304,PT03M13.00S,2023-02-25T01:39:31.0Z,2,REGULAR,rebound,defensive,[],203109,,,1610612749,71,52,2023-02-25T01:39:50Z,3020000,False,,,0,,J. Crowder REBOUND (Off:0 Def:2),[203109],1610612749.0,MIL,,,,,,,,,,,,Crowder,J. Crowder,,,,,303.0,2.0,2.0,0.0,,,,,,,,,,
305,PT02M49.00S,2023-02-25T01:40:11.9Z,2,REGULAR,2pt,Jump Shot,[],203114,10.463206307490145,68.62745098039215,1610612749,71,52,2023-02-25T01:40:25Z,3030000,False,-93.0,46.0,1,left,MISS K. Middleton 10' Jump Shot,[203114],1610612749.0,MIL,,,,,,,Mid-Range,8-16 Left,,,,Middleton,K. Middleton,,,Missed,,,,,,10.38,,,,,,,,,
306,PT02M49.00S,2023-02-25T01:40:11.9Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612749,71,52,2023-02-25T01:40:25Z,3040000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,Mid-Range,8-16 Left,,,,,,,,,,305.0,,,,,,,,,,,,,
307,PT02M49.00S,2023-02-25T01:40:20.3Z,2,REGULAR,turnover,shot clock,['team'],0,,,1610612749,71,52,2023-02-25T01:49:47Z,3050000,False,,,0,,MIL shot clock Team TURNOVER,[],1610612749.0,MIL,,,,,,,Mid-Range,8-16 Right,2004.0,,,,,,,,,,,,,,,,,,,,,,
308,PT02M35.00S,2023-02-25T01:40:39.7Z,2,REGULAR,turnover,bad pass,[],202710,,,1610612748,71,52,2023-02-25T01:40:45Z,3060000,False,,,0,,J. Butler bad pass TURNOVER (1 TO),"[202710, 204060]",1610612748.0,MIA,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Butler,J. Butler,,,,,,,,,,,,,,,1.0,Ingles,204060.0,
309,PT02M35.00S,2023-02-25T01:40:39.7Z,2,REGULAR,steal,,[],204060,,,1610612749,71,52,2023-02-25T01:40:42Z,3070000,False,,,0,,J. Ingles STEAL (1 STL),[204060],1610612749.0,MIL,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,,
310,PT02M24.00S,2023-02-25T01:40:50.1Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",201572,15.193823915900131,58.08823529411765,1610612749,71,52,2023-02-25T01:40:56Z,3080000,False,-40.0,90.0,1,left,MISS B. Lopez 9' floating Shot,[201572],1610612749.0,MIL,floating,,,,,,In The Paint (Non-RA),8-16 Center,,,,Lopez,B. Lopez,,,Missed,,,,,,9.89,,,,,,,,,
311,PT02M21.00S,2023-02-25T01:40:53.0Z,2,REGULAR,rebound,defensive,[],1628389,,,1610612748,71,52,2023-02-25T01:40:53Z,3090000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:4),[1628389],1610612748.0,MIA,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Adebayo,B. Adebayo,,,,,310.0,5.0,4.0,1.0,,,,,,,,,,
312,PT02M11.00S,2023-02-25T01:41:07.0Z,2,REGULAR,foul,personal,['2freethrow'],201572,,,1610612748,71,52,2023-02-25T01:41:15Z,3100000,False,,,0,,B. Lopez shooting personal FOUL (2 PF) (Butler 2 FT),"[201572, 202710]",1610612749.0,MIL,shooting,,,,,,In The Paint (Non-RA),8-16 Right,2004.0,2.0,0.0,Lopez,B. Lopez,Butler,202710.0,,,,,,,,,,,,,,,,
314,PT02M11.00S,2023-02-25T01:41:28.4Z,2,REGULAR,freethrow,1 of 2,[],202710,,,1610612748,71,53,2023-02-25T01:41:28Z,3120000,False,,,0,,J. Butler Free Throw 1 of 2 (16 PTS),[202710],1610612748.0,MIA,,,,,,,,,,,,Butler,J. Butler,,,Made,16.0,,,,,,,,,,,,,,
315,PT02M11.00S,2023-02-25T01:41:30.1Z,2,REGULAR,substitution,out,[],204060,,,1610612748,71,53,2023-02-25T01:41:35Z,3130000,False,,,0,,SUB out: J. Ingles,[204060],1610612749.0,MIL,,,,,,,,,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,,
316,PT02M11.00S,2023-02-25T01:41:30.1Z,2,REGULAR,substitution,in,[],201950,,,1610612748,71,53,2023-02-25T01:41:35Z,3140000,False,,,0,,SUB in: J. Holiday,[201950],1610612749.0,MIL,,,,,,,,,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,
317,PT02M11.00S,2023-02-25T01:41:44.1Z,2,REGULAR,freethrow,2 of 2,[],202710,,,1610612748,71,54,2023-02-25T01:41:44Z,3150000,False,,,0,,J. Butler Free Throw 2 of 2 (17 PTS),[202710],1610612748.0,MIA,,,,,,,,,,,,Butler,J. Butler,,,Made,17.0,,,,,,,,,,,,,,
318,PT02M00.00S,2023-02-25T01:41:57.3Z,2,REGULAR,turnover,lost ball,[],203114,,,1610612749,71,54,2023-02-25T01:42:06Z,3160000,False,,,0,,K. Middleton lost ball TURNOVER (2 TO),"[203114, 201567]",1610612749.0,MIL,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,2.0,Love,201567.0,
319,PT02M00.00S,2023-02-25T01:41:57.3Z,2,REGULAR,steal,,[],201567,,,1610612748,71,54,2023-02-25T01:42:00Z,3170000,False,,,0,,K. Love STEAL (1 STL),[201567],1610612748.0,MIA,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Love,K. Love,,,,,,,,,,,,,,,,,,
320,PT01M48.00S,2023-02-25T01:42:41.2Z,2,REGULAR,jumpball,recovered,[],201950,,,1610612748,71,54,2023-02-25T01:42:41Z,3180000,False,,,0,,Jump Ball B. Lopez vs. B. Adebayo: Tip to J. Holiday,"[201950, 201572, 1628389]",1610612749.0,MIL,heldball,J. Holiday,Lopez,201572.0,Adebayo,1628389.0,,,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,201950.0
323,PT01M48.00S,2023-02-25T01:42:41.2Z,2,REGULAR,turnover,bad pass,[],202710,,,1610612748,71,54,2023-02-25T01:45:42Z,3210000,False,,,0,,J. Butler bad pass TURNOVER (2 TO),[202710],1610612748.0,MIA,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Butler,J. Butler,,,,,,,,,,,,,,,2.0,,,
325,PT01M34.00S,2023-02-25T01:42:55.6Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1628975,12.434296977660972,95.58823529411765,1610612749,71,54,2023-02-25T01:46:14Z,3230000,False,-228.0,64.0,1,left,MISS J. Carter pullup 3PT,[1628975],1610612749.0,MIL,pullup,,,,,,Left Corner 3,24+ Left,,,,Carter,J. Carter,,,Missed,,,,,,23.68,,,,,,,,,
326,PT01M29.00S,2023-02-25T01:42:59.6Z,2,REGULAR,rebound,defensive,[],1629639,,,1610612748,71,54,2023-02-25T01:42:59Z,3240000,False,,,0,,T. Herro REBOUND (Off:0 Def:2),[1629639],1610612748.0,MIA,,,,,,,Left Corner 3,24+ Left,,,,Herro,T. Herro,,,,,325.0,2.0,2.0,0.0,,,,,,,,,,
327,PT01M23.00S,2023-02-25T01:43:06.5Z,2,REGULAR,3pt,Jump Shot,[],201567,65.1281208935611,40.68627450980392,1610612748,71,54,2023-02-25T01:43:19Z,3250000,False,-47.0,275.0,1,right,MISS K. Love 27' 3PT,[201567],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Center,,,,Love,K. Love,,,Missed,,,,,,27.92,,,,,,,,,
328,PT01M20.00S,2023-02-25T01:43:09.5Z,2,REGULAR,rebound,defensive,[],201950,,,1610612749,71,54,2023-02-25T01:43:19Z,3260000,False,,,0,,J. Holiday REBOUND (Off:0 Def:3),[201950],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Center,,,,Holiday,J. Holiday,,,,,327.0,3.0,3.0,0.0,,,,,,,,,,
329,PT01M13.00S,2023-02-25T01:43:16.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203109,11.12023653088042,53.18627450980392,1610612749,71,54,2023-02-25T01:43:24Z,3270000,False,-16.0,52.0,1,left,MISS J. Crowder floating Shot,[203109],1610612749.0,MIL,floating,,,,,,In The Paint (Non-RA),0-8 Center,,,,Crowder,J. Crowder,,,Missed,,,,,,5.44,,,,,,,,,
330,PT01M08.00S,2023-02-25T01:43:21.6Z,2,REGULAR,rebound,defensive,[],1628389,,,1610612748,71,54,2023-02-25T01:43:24Z,3280000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:5),[1628389],1610612748.0,MIA,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Adebayo,B. Adebayo,,,,,329.0,6.0,5.0,1.0,,,,,,,,,,
331,PT01M04.00S,2023-02-25T01:43:25.0Z,2,REGULAR,3pt,Jump Shot,[],1629639,65.1281208935611,44.85294117647059,1610612748,71,54,2023-02-25T01:43:33Z,3290000,False,-26.0,275.0,1,right,MISS T. Herro 27' 3PT,[1629639],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Center,,,,Herro,T. Herro,,,Missed,,,,,,27.65,,,,,,,,,
332,PT00M59.00S,2023-02-25T01:43:30.2Z,2,REGULAR,rebound,offensive,[],201567,,,1610612748,71,54,2023-02-25T01:43:30Z,3300000,False,,,0,,K. Love REBOUND (Off:1 Def:4),[201567],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Center,,,,Love,K. Love,,,,,331.0,5.0,4.0,1.0,,,,,,,,,,
333,PT00M56.20S,2023-02-25T01:43:34.9Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",202710,93.24901445466492,56.61764705882353,1610612748,71,56,2023-02-25T01:53:51Z,3310000,False,33.0,11.0,1,right,J. Butler driving floating bank Jump Shot (19 PTS),[202710],1610612748.0,MIA,driving floating bank,,,,,,Restricted Area,0-8 Center,,,,Butler,J. Butler,,,Made,19.0,,,,,3.49,,,,,,,,,
