actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
347,PT00M42.70S,2022-10-23T01:10:15.3Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630224,,,1610612749,64,48,2022-10-23T01:10:29Z,3320000,,,0,,J. Green personal FOUL (2 PF) (Antetokounmpo 2 FT),"[1630224, 203507]",1610612745.0,HOU,,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1155.0,,,,2.0,0.0,Antetokounmpo,203507.0,,
349,PT00M42.70S,2022-10-23T01:11:08.1Z,2,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,64,48,2022-10-23T01:11:37Z,3340000,,,0,,MISS G. Antetokounmpo Free Throw 1 of 2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
350,PT00M42.70S,2022-10-23T01:11:08.1Z,2,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612749,64,48,2022-10-23T01:11:37Z,3350000,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,349.0,,,,,,,,,,,,,,,,,
351,PT00M42.70S,2022-10-23T01:11:08.1Z,2,REGULAR,freethrow,2 of 2,[],203507,,,1610612749,64,48,2022-10-23T01:11:37Z,3360000,,,0,,MISS G. Antetokounmpo Free Throw 2 of 2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
352,PT00M40.20S,2022-10-23T01:11:10.6Z,2,REGULAR,rebound,defensive,[],1630231,,,1610612745,64,48,2022-10-23T01:11:37Z,3370000,,,0,,K. Martin Jr. REBOUND (Off:2 Def:2),[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,,,,351.0,4.0,2.0,2.0,,,,,,,,,,,,,,
353,PT00M28.90S,2022-10-23T01:11:46.7Z,2,REGULAR,3pt,Jump Shot,[],1630224,65.65374507227332,48.28431372549019,1610612745,64,48,2022-10-23T01:11:52Z,3380000,-9.0,270.0,1,right,MISS J. Green 27' 3PT,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Center,27.05,Missed,,,,,,,,,,,,,,,,,,
354,PT00M25.70S,2022-10-23T01:11:49.9Z,2,REGULAR,rebound,defensive,[],203507,,,1610612749,64,48,2022-10-23T01:11:52Z,3390000,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:6),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Center,,,353.0,7.0,6.0,1.0,,,,,,,,,,,,,,
355,PT00M07.70S,2022-10-23T01:12:10.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203507,5.863994743758213,49.01960784313725,1610612749,66,48,2022-10-23T01:12:16Z,3400000,5.0,3.0,1,left,G. Antetokounmpo driving finger roll Layup (19 PTS),[203507],1610612749.0,MIL,driving finger roll,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,0.55,Made,,,,,,,,19.0,,,,,,,,,,
356,PT00M07.70S,2022-10-23T01:12:13.8Z,2,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1631095,,,1610612749,66,48,2022-10-23T01:12:24Z,3410000,,,0,,J. Smith Jr. shooting personal FOUL (3 PF) (Antetokounmpo 1 FT),"[1631095, 203507]",1610612745.0,HOU,shooting,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,202041.0,,,,3.0,0.0,Antetokounmpo,203507.0,,
358,PT00M07.70S,2022-10-23T01:12:57.0Z,2,REGULAR,freethrow,1 of 1,[],203507,,,1610612749,67,48,2022-10-23T01:12:57Z,3430000,,,0,,G. Antetokounmpo Free Throw 1 of 1 (20 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,,,,,,,,20.0,,,,,,,,,,
359,PT00M00.00S,2022-10-23T01:13:18.5Z,2,REGULAR,2pt,Jump Shot,[],1631095,82.21090670170827,16.911764705882355,1610612745,67,48,2022-10-23T01:20:03Z,3440000,-165.0,115.0,1,right,MISS J. Smith Jr. 20' step back Shot,[1631095],1610612745.0,HOU,step back,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,16-24 Left,20.13,Missed,,,,,,,,,,,,,,,,,,
360,PT00M00.00S,2022-10-23T01:13:18.5Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612745,67,48,2022-10-23T01:14:01Z,3450000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,Mid-Range,16-24 Left,,,359.0,,,,,,,,,,,,,,,,,
361,PT00M00.00S,2022-10-23T01:13:29.2Z,2,REGULAR,period,end,[],0,,,1610612745,67,48,2022-10-23T01:13:29Z,3460000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,PT12M00.00S,2022-10-23T01:27:30.9Z,3,REGULAR,substitution,out,['startperiod'],201588,,,1610612745,67,48,2022-10-23T01:28:40Z,3470000,,,0,,SUB out: G. Hill,[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,,,,,,,,,,,,,,,
364,PT12M00.00S,2022-10-23T01:27:30.9Z,3,REGULAR,substitution,out,['startperiod'],1629670,,,1610612745,67,48,2022-10-23T01:28:40Z,3480000,,,0,,SUB out: J. Nwora,[1629670],1610612749.0,MIL,,,,Nwora,J. Nwora,,,,,,,,,,,,,,,,,,,,,,,,,,
365,PT12M00.00S,2022-10-23T01:27:30.9Z,3,REGULAR,substitution,out,['startperiod'],202083,,,1610612745,67,48,2022-10-23T01:28:40Z,3490000,,,0,,SUB out: W. Matthews,[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,,,,,,,,,,,,,,,,,,,
366,PT12M00.00S,2022-10-23T01:27:30.9Z,3,REGULAR,substitution,out,['startperiod'],1626171,,,1610612745,67,48,2022-10-23T01:28:40Z,3500000,,,0,,SUB out: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,,
367,PT12M00.00S,2022-10-23T01:27:30.9Z,3,REGULAR,substitution,out,['startperiod'],1630578,,,1610612745,67,48,2022-10-23T01:28:40Z,3510000,,,0,,SUB out: A. Sengun,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,,,
368,PT12M00.00S,2022-10-23T01:27:30.9Z,3,REGULAR,substitution,in,['startperiod'],1628975,,,1610612745,67,48,2022-10-23T01:28:40Z,3520000,,,0,,SUB in: J. Carter,[1628975],1610612749.0,MIL,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,,,
369,PT12M00.00S,2022-10-23T01:27:30.9Z,3,REGULAR,substitution,in,['startperiod'],201572,,,1610612745,67,48,2022-10-23T01:28:40Z,3530000,,,0,,SUB in: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,
370,PT12M00.00S,2022-10-23T01:27:30.9Z,3,REGULAR,substitution,in,['startperiod'],1628960,,,1610612745,67,48,2022-10-23T01:28:40Z,3540000,,,0,,SUB in: G. Allen,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
371,PT12M00.00S,2022-10-23T01:27:30.9Z,3,REGULAR,substitution,in,['startperiod'],201950,,,1610612745,67,48,2022-10-23T01:28:40Z,3550000,,,0,,SUB in: J. Holiday,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
372,PT12M00.00S,2022-10-23T01:27:30.9Z,3,REGULAR,substitution,in,['startperiod'],1630586,,,1610612745,67,48,2022-10-23T01:28:40Z,3560000,,,0,,SUB in: U. Garuba,[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,,,,,,,,,,,,,,,,,,,,,,
373,PT12M00.00S,2022-10-23T01:28:48.9Z,3,REGULAR,period,start,[],0,,,1610612745,67,48,2022-10-23T01:28:48Z,3570000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,PT11M41.00S,2022-10-23T01:29:07.0Z,3,REGULAR,2pt,Jump Shot,[],1630224,21.895532194480946,30.392156862745097,1610612745,67,48,2022-10-23T01:29:13Z,3580000,98.0,153.0,1,left,MISS J. Green 18' pullup Shot,[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Mid-Range,16-24 Right Center,18.19,Missed,,,,,,,,,,,,,,,,,,
375,PT11M38.00S,2022-10-23T01:29:10.0Z,3,REGULAR,rebound,defensive,[],201950,,,1610612749,67,48,2022-10-23T01:29:13Z,3590000,,,0,,J. Holiday REBOUND (Off:0 Def:2),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,Mid-Range,16-24 Right Center,,,374.0,2.0,2.0,0.0,,,,,,,,,,,,,,
376,PT11M33.00S,2022-10-23T01:29:15.3Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1628960,74.32654402102497,13.480392156862745,1610612749,67,48,2022-10-23T01:29:22Z,3600000,-183.0,189.0,1,right,MISS G. Allen 26' running 3PT,[1628960],1610612749.0,MIL,running,,,Allen,G. Allen,,,,,Above the Break 3,24+ Left Center,26.27,Missed,,,,,,,,,,,,,,,,,,
377,PT11M29.00S,2022-10-23T01:29:18.4Z,3,REGULAR,rebound,defensive,[],1631095,,,1610612745,67,48,2022-10-23T01:29:18Z,3610000,,,0,,J. Smith Jr. REBOUND (Off:1 Def:6),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,,,376.0,7.0,6.0,1.0,,,,,,,,,,,,,,
378,PT11M25.00S,2022-10-23T01:29:22.3Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1631095,33.590670170827856,74.01960784313727,1610612745,67,48,2022-10-23T01:29:35Z,3620000,-120.0,263.0,1,left,MISS J. Smith Jr. 28' running pullup 3PT,[1631095],1610612745.0,HOU,running pullup,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,28.94,Missed,,,,,,,,,,,,,,,,,,
379,PT11M21.00S,2022-10-23T01:29:26.5Z,3,REGULAR,rebound,offensive,[],1629645,,,1610612745,67,48,2022-10-23T01:29:26Z,3630000,,,0,,K. Porter Jr. REBOUND (Off:2 Def:1),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,378.0,3.0,1.0,2.0,,,,,,,,,,,,,,
380,PT11M21.00S,2022-10-23T01:29:29.0Z,3,REGULAR,foul,personal,['2freethrow'],1628975,,,1610612745,67,48,2022-10-23T01:29:45Z,3640000,,,0,,J. Carter shooting personal FOUL (2 PF) (Garuba 2 FT),"[1628975, 1630586]",1610612749.0,MIL,shooting,,,Carter,J. Carter,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1628954.0,,,,2.0,0.0,Garuba,1630586.0,,
382,PT11M21.00S,2022-10-23T01:29:55.5Z,3,REGULAR,freethrow,1 of 2,['2ndchance'],1630586,,,1610612745,67,48,2022-10-23T01:29:55Z,3660000,,,0,,MISS U. Garuba Free Throw 1 of 2,[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
383,PT11M21.00S,2022-10-23T01:29:55.5Z,3,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612745,67,48,2022-10-23T01:29:55Z,3670000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,382.0,,,,,,,,,,,,,,,,,
384,PT11M21.00S,2022-10-23T01:30:09.7Z,3,REGULAR,freethrow,2 of 2,['2ndchance'],1630586,,,1610612745,67,49,2022-10-23T01:30:09Z,3680000,,,0,,U. Garuba Free Throw 2 of 2 (1 PTS),[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,,,,Made,,,,,,,,1.0,,,,,,,,,,
385,PT11M07.00S,2022-10-23T01:30:30.3Z,3,REGULAR,foul,personal,[],1630586,,,1610612749,67,49,2022-10-23T01:30:40Z,3690000,,,0,,U. Garuba personal FOUL (1 PF),"[1630586, 203507]",1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1628954.0,,,,1.0,0.0,Antetokounmpo,203507.0,,
387,PT10M58.00S,2022-10-23T01:30:59.5Z,3,REGULAR,2pt,Hook,['pointsinthepaint'],201572,84.44480946123521,40.931372549019606,1610612749,67,49,2022-10-23T01:31:04Z,3710000,-45.0,94.0,1,right,MISS B. Lopez 10' Hook,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),8-16 Center,10.41,Missed,,,,,,,,,,,,,,,,,,
388,PT10M55.00S,2022-10-23T01:31:02.5Z,3,REGULAR,rebound,defensive,[],1629645,,,1610612745,67,49,2022-10-23T01:31:04Z,3720000,,,0,,K. Porter Jr. REBOUND (Off:2 Def:2),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,387.0,4.0,2.0,2.0,,,,,,,,,,,,,,
389,PT10M50.00S,2022-10-23T01:31:08.1Z,3,REGULAR,3pt,Jump Shot,[],1630586,34.773324572930356,48.77450980392157,1610612745,67,52,2022-10-23T01:31:17Z,3730000,6.0,274.0,1,left,U. Garuba 27' 3PT  (4 PTS) (K. Porter Jr. 4 AST),"[1630586, 1629645]",1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,Above the Break 3,24+ Center,27.45,Made,,,,,,,,4.0,,K. Porter Jr.,1629645.0,4.0,,,,,,
391,PT10M37.00S,2022-10-23T01:31:24.5Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203507,89.83245729303549,45.09803921568628,1610612749,69,52,2022-10-23T01:31:36Z,3750000,-25.0,43.0,1,right,G. Antetokounmpo driving floating bank Jump Shot (22 PTS) (J. Carter 1 AST),"[203507, 1628975]",1610612749.0,MIL,driving floating bank,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,4.96,Made,,,,,,,,22.0,,J. Carter,1628975.0,1.0,,,,,,
393,PT10M37.00S,2022-10-23T01:31:28.9Z,3,REGULAR,foul,personal,['1freethrow'],1630586,,,1610612749,69,52,2022-10-23T01:31:40Z,3770000,,,0,,U. Garuba shooting personal FOUL (2 PF) (Antetokounmpo 1 FT),"[1630586, 203507]",1610612745.0,HOU,shooting,,,Garuba,U. Garuba,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1155.0,,,,2.0,0.0,Antetokounmpo,203507.0,,
395,PT10M37.00S,2022-10-23T01:32:07.0Z,3,REGULAR,freethrow,1 of 1,[],203507,,,1610612749,70,52,2022-10-23T01:32:07Z,3790000,,,0,,G. Antetokounmpo Free Throw 1 of 1 (23 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,,,,,,,,23.0,,,,,,,,,,
396,PT10M30.00S,2022-10-23T01:32:14.6Z,3,REGULAR,3pt,Jump Shot,[],1629645,35.29894875164258,48.77450980392157,1610612745,70,55,2022-10-23T01:32:20Z,3800000,6.0,279.0,1,left,K. Porter Jr. 27' 3PT step back (12 PTS),[1629645],1610612745.0,HOU,step back,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Center,27.94,Made,,,,,,,,12.0,,,,,,,,,,
397,PT10M18.00S,2022-10-23T01:32:26.2Z,3,REGULAR,3pt,Jump Shot,[],203507,64.73390275952694,37.5,1610612749,73,55,2022-10-23T01:32:32Z,3810000,-62.0,279.0,1,right,G. Antetokounmpo 28' 3PT pullup (26 PTS),[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Center,28.59,Made,,,,,,,,26.0,,,,,,,,,,
398,PT10M04.00S,2022-10-23T01:32:40.0Z,3,REGULAR,3pt,Jump Shot,[],1631095,19.398817345597898,94.36274509803921,1610612745,73,55,2022-10-23T01:32:47Z,3820000,-222.0,130.0,1,left,MISS J. Smith Jr. 25' 3PT,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,25.7,Missed,,,,,,,,,,,,,,,,,,
399,PT10M02.00S,2022-10-23T01:32:42.0Z,3,REGULAR,rebound,defensive,[],1628960,,,1610612749,73,55,2022-10-23T01:36:54Z,3830000,,,0,,G. Allen REBOUND (Off:0 Def:3),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Left Center,,,398.0,3.0,3.0,0.0,,,,,,,,,,,,,,
400,PT09M59.00S,2022-10-23T01:32:48.7Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],201572,68.67608409986859,77.45098039215686,1610612749,73,55,2022-10-23T01:36:30Z,3840000,137.0,242.0,1,right,MISS B. Lopez 27' running 3PT,[201572],1610612749.0,MIL,running,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Right Center,27.81,Missed,,,,,,,,,,,,,,,,,,
401,PT09M57.00S,2022-10-23T01:32:50.7Z,3,REGULAR,rebound,offensive,[],203507,,,1610612749,73,55,2022-10-23T01:36:30Z,3850000,,,0,,G. Antetokounmpo REBOUND (Off:2 Def:6),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Right Center,,,400.0,8.0,6.0,2.0,,,,,,,,,,,,,,
402,PT09M49.00S,2022-10-23T01:32:55.9Z,3,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203507,93.9060446780552,51.9607843137255,1610612749,75,55,2022-10-23T01:33:04Z,3860000,10.0,5.0,1,right,G. Antetokounmpo cutting DUNK (28 PTS) (J. Holiday 6 AST),"[203507, 201950]",1610612749.0,MIL,cutting,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,1.09,Made,,,,,,,,28.0,,J. Holiday,201950.0,6.0,,,,,,
404,PT09M26.00S,2022-10-23T01:33:17.5Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1629645,9.674770039421814,41.17647058823529,1610612745,75,55,2022-10-23T01:33:25Z,3880000,44.0,38.0,1,left,MISS K. Porter Jr. driving Layup - blocked,"[1629645, 201950]",1610612745.0,HOU,driving,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,5.85,Missed,,,,,,,,,,,,,,,,,Holiday,201950.0
405,PT09M26.00S,2022-10-23T01:33:17.5Z,3,REGULAR,block,,[],201950,,,1610612745,75,55,2022-10-23T01:33:23Z,3890000,,,0,,J. Holiday BLOCK (3 BLK),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
406,PT09M25.00S,2022-10-23T01:33:18.5Z,3,REGULAR,rebound,offensive,[],1630586,,,1610612745,75,55,2022-10-23T01:37:44Z,3900000,,,0,,U. Garuba REBOUND (Off:3 Def:4),[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,In The Paint (Non-RA),0-8 Center,,,404.0,7.0,4.0,3.0,,,,,,,,,,,,,,
407,PT09M25.00S,2022-10-23T01:33:28.4Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630231,8.229303547963205,50.49019607843137,1610612745,75,57,2022-10-23T01:38:16Z,3910000,-2.0,25.0,1,left,K. Martin Jr. driving Layup (7 PTS) (U. Garuba 1 AST),"[1630231, 1630586]",1610612745.0,HOU,driving,,,Martin Jr.,K. Martin Jr.,,,,,Restricted Area,0-8 Center,2.5,Made,,,,,,,,7.0,,U. Garuba,1630586.0,1.0,,,,,,
409,PT09M25.00S,2022-10-23T01:33:34.7Z,3,REGULAR,foul,personal,['1freethrow'],203507,,,1610612745,75,57,2022-10-23T01:33:54Z,3930000,,,0,,G. Antetokounmpo shooting personal FOUL (1 PF) (Martin Jr. 1 FT),"[203507, 1630231]",1610612749.0,MIL,shooting,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1155.0,,,,1.0,0.0,Martin Jr.,1630231.0,,
411,PT09M25.00S,2022-10-23T01:34:00.5Z,3,REGULAR,freethrow,1 of 1,['2ndchance'],1630231,,,1610612745,75,57,2022-10-23T01:34:05Z,3950000,,,0,,MISS K. Martin Jr. Free Throw 1 of 1,[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
412,PT09M21.00S,2022-10-23T01:34:04.5Z,3,REGULAR,rebound,defensive,[],201572,,,1610612749,75,57,2022-10-23T01:34:05Z,3960000,,,0,,B. Lopez REBOUND (Off:0 Def:3),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,411.0,3.0,3.0,0.0,,,,,,,,,,,,,,
413,PT09M20.00S,2022-10-23T01:34:05.1Z,3,REGULAR,turnover,bad pass,[],201572,,,1610612749,75,57,2022-10-23T01:34:10Z,3970000,,,0,,B. Lopez bad pass TURNOVER (1 TO),"[201572, 1630586]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1.0,Garuba,1630586.0,,,,,,,,,,,
414,PT09M20.00S,2022-10-23T01:34:05.1Z,3,REGULAR,steal,,[],1630586,,,1610612745,75,57,2022-10-23T01:34:08Z,3980000,,,0,,U. Garuba STEAL (3 STL),[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
415,PT09M15.00S,2022-10-23T01:34:10.1Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],1629645,26.757555847568987,9.068627450980392,1610612745,75,60,2022-10-23T01:34:17Z,3990000,205.0,199.0,1,left,K. Porter Jr. 28' 3PT  (15 PTS) (U. Garuba 2 AST),"[1629645, 1630586]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Right Center,28.55,Made,,,,,,,,15.0,,U. Garuba,1630586.0,2.0,,,,,,
417,PT08M59.00S,2022-10-23T01:34:25.3Z,3,REGULAR,2pt,Jump Shot,[],201950,75.3777923784494,68.38235294117648,1610612749,75,60,2022-10-23T01:41:10Z,4010000,92.0,179.0,1,right,MISS J. Holiday 20' step back Shot,[201950],1610612749.0,MIL,step back,,,Holiday,J. Holiday,,,,,Mid-Range,16-24 Right Center,20.11,Missed,,,,,,,,,,,,,,,,,,
418,PT08M56.00S,2022-10-23T01:34:27.8Z,3,REGULAR,rebound,defensive,[],1631095,,,1610612745,75,60,2022-10-23T01:34:27Z,4020000,,,0,,J. Smith Jr. REBOUND (Off:1 Def:7),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,16-24 Right Center,,,417.0,8.0,7.0,1.0,,,,,,,,,,,,,,
419,PT08M52.00S,2022-10-23T01:34:32.3Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1631095,26.10052562417871,13.725490196078432,1610612745,75,63,2022-10-23T01:34:40Z,4030000,181.0,193.0,1,left,J. Smith Jr. 26' 3PT running pullup (10 PTS),[1631095],1610612745.0,HOU,running pullup,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Right Center,26.47,Made,,,,,,,,10.0,,,,,,,,,,
420,PT08M52.00S,2022-10-23T01:34:39.1Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,75,63,2022-10-23T01:34:39Z,4040000,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,PT08M39.00S,2022-10-23T01:37:40.3Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],201950,92.85479632063075,41.66666666666667,1610612749,77,63,2022-10-23T01:37:45Z,4050000,-42.0,15.0,1,right,J. Holiday driving Layup (17 PTS) (B. Lopez 1 AST),"[201950, 201572]",1610612749.0,MIL,driving,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),0-8 Center,4.42,Made,,,,,,,,17.0,,B. Lopez,201572.0,1.0,,,,,,
423,PT08M27.00S,2022-10-23T01:37:53.8Z,3,REGULAR,2pt,Jump Shot,[],1631095,23.209592641261498,66.66666666666666,1610612745,77,63,2022-10-23T01:37:59Z,4070000,-83.0,166.0,1,left,MISS J. Smith Jr. 18' step back Shot,[1631095],1610612745.0,HOU,step back,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,16-24 Left Center,18.55,Missed,,,,,,,,,,,,,,,,,,
424,PT08M24.00S,2022-10-23T01:37:56.8Z,3,REGULAR,rebound,defensive,[],201572,,,1610612749,77,63,2022-10-23T01:37:59Z,4080000,,,0,,B. Lopez REBOUND (Off:0 Def:4),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Mid-Range,16-24 Left Center,,,423.0,4.0,4.0,0.0,,,,,,,,,,,,,,
425,PT08M13.00S,2022-10-23T01:38:06.9Z,3,REGULAR,turnover,bad pass,[],1628975,,,1610612749,77,63,2022-10-23T01:38:18Z,4090000,,,0,,J. Carter bad pass TURNOVER (2 TO),"[1628975, 1629645]",1610612749.0,MIL,,,,Carter,J. Carter,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,2.0,Porter Jr.,1629645.0,,,,,,,,,,,
426,PT08M13.00S,2022-10-23T01:38:06.9Z,3,REGULAR,steal,,[],1629645,,,1610612745,77,63,2022-10-23T01:38:11Z,4100000,,,0,,K. Porter Jr. STEAL (2 STL),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
427,PT07M55.00S,2022-10-23T01:38:25.0Z,3,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629645,15.193823915900131,46.07843137254902,1610612745,77,63,2022-10-23T01:38:31Z,4110000,20.0,90.0,1,left,MISS K. Porter Jr. 9' driving floating Shot,[1629645],1610612745.0,HOU,driving floating,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,9.24,Missed,,,,,,,,,,,,,,,,,,
428,PT07M49.00S,2022-10-23T01:38:31.0Z,3,REGULAR,rebound,offensive,[],1630586,,,1610612745,77,63,2022-10-23T01:38:31Z,4120000,,,0,,U. Garuba REBOUND (Off:4 Def:4),[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,In The Paint (Non-RA),8-16 Center,,,427.0,8.0,4.0,4.0,,,,,,,,,,,,,,
