actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
256,PT05M26.00S,2025-04-12T01:54:37.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630553,92.9862023653088,45.588235294117645,1610612751,47,39,2025-04-12T01:54:46Z,2540000,False,-22.0,13.0,1,right,K. Johnson driving Layup (7 PTS) (T. Martin 1 AST),"[1630553, 1631213]",1610612751.0,BKN,driving,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,2.58,Made,,,,,,,,,,,,7.0,T. Martin,1631213.0,1.0,,,
258,PT05M13.00S,2025-04-12T01:54:49.5Z,2,REGULAR,3pt,Jump Shot,[],203944,29.328186596583443,30.426623774509803,1610612750,47,39,2025-04-12T01:54:56Z,2560000,False,98.0,223.0,1,left,MISS J. Randle 24' pullup 3PT,[203944],1610612750.0,MIN,pullup,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,24.37,Missed,,,,,,,,,,,,,,,,,,
259,PT05M11.00S,2025-04-12T01:54:51.5Z,2,REGULAR,rebound,defensive,[],1630553,,,1610612751,47,39,2025-04-12T01:54:56Z,2570000,False,,,0,,K. Johnson REBOUND (Off:1 Def:2),[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Right Center,,,,,258.0,,,,,,3.0,2.0,1.0,,,,,,,
260,PT04M51.00S,2025-04-12T01:55:11.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1631166,92.46057818659659,43.872549019607845,1610612751,47,39,2025-04-12T02:07:40Z,2580000,False,-31.0,18.0,1,right,MISS D. Timme driving Layup,[1631166],1610612751.0,BKN,driving,,,Timme,D. Timme,,,,,Restricted Area,0-8 Center,3.57,Missed,,,,,,,,,,,,,,,,,,
261,PT04M50.00S,2025-04-12T01:55:12.8Z,2,REGULAR,rebound,offensive,[],1630592,,,1610612751,47,39,2025-04-12T02:01:48Z,2590000,False,,,0,,J. Wilson REBOUND (Off:1 Def:3),[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,Restricted Area,0-8 Center,,,,,260.0,,,,,,4.0,3.0,1.0,,,,,,,
262,PT04M50.00S,2025-04-12T01:55:14.5Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630592,94.40999984741211,50.0,1610612751,47,41,2025-04-12T02:02:20Z,2600000,False,0.0,0.0,1,right,J. Wilson tip Layup (11 PTS),[1630592],1610612751.0,BKN,tip,,,Wilson,J. Wilson,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,,,,,,11.0,,,,,,
263,PT04M30.00S,2025-04-12T01:55:32.9Z,2,REGULAR,3pt,Jump Shot,[],203944,10.068988173455978,4.6568627450980395,1610612750,50,41,2025-04-12T01:55:42Z,2610000,False,227.0,42.0,1,left,J. Randle 3PT step back (9 PTS) (D. DiVincenzo 2 AST),"[203944, 1628978]",1610612750.0,MIN,step back,,,Randle,J. Randle,,,,,Right Corner 3,24+ Right,23.06,Made,,,,,,,,,,,,9.0,D. DiVincenzo,1628978.0,2.0,,,
265,PT04M17.00S,2025-04-12T01:55:49.8Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203944,,,1610612751,50,41,2025-04-12T01:55:57Z,2630000,False,,,0,,J. Randle shooting personal FOUL (1 PF) (Evbuomwan 2 FT),"[203944, 1641787]",1610612750.0,MIN,shooting,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,,,,,,1626300.0,1.0,0.0,Evbuomwan,1641787.0,,,,,,,,,,
267,PT04M17.00S,2025-04-12T01:56:18.2Z,2,REGULAR,freethrow,1 of 2,[],1641787,,,1610612751,50,42,2025-04-12T01:56:49Z,2650000,False,,,0,,T. Evbuomwan Free Throw 1 of 2 (3 PTS),[1641787],1610612751.0,BKN,,,,Evbuomwan,T. Evbuomwan,,,,,,,,Made,,,,,,,,,,,,3.0,,,,,,
268,PT04M17.00S,2025-04-12T01:56:19.2Z,2,REGULAR,substitution,out,[],1629675,,,1610612751,50,42,2025-04-12T01:56:26Z,2660000,False,,,0,,SUB out: N. Reid,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,,,,,,,,,,,,,,,,,,,
269,PT04M17.00S,2025-04-12T01:56:19.2Z,2,REGULAR,substitution,out,[],1630592,,,1610612751,50,42,2025-04-12T01:56:26Z,2670000,False,,,0,,SUB out: J. Wilson,[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,
270,PT04M17.00S,2025-04-12T01:56:19.2Z,2,REGULAR,substitution,in,[],203497,,,1610612751,50,42,2025-04-12T01:56:26Z,2680000,False,,,0,,SUB in: R. Gobert,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,,
271,PT04M17.00S,2025-04-12T01:56:19.2Z,2,REGULAR,substitution,in,[],1630623,,,1610612751,50,42,2025-04-12T01:56:26Z,2690000,False,,,0,,SUB in: T. Etienne,[1630623],1610612751.0,BKN,,,,Etienne,T. Etienne,,,,,,,,,,,,,,,,,,,,,,,,,,
272,PT04M17.00S,2025-04-12T01:56:18.2Z,2,REGULAR,freethrow,2 of 2,[],1641787,,,1610612751,50,42,2025-04-12T01:56:49Z,2700000,False,,,0,,MISS T. Evbuomwan Free Throw 2 of 2,[1641787],1610612751.0,BKN,,,,Evbuomwan,T. Evbuomwan,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
273,PT04M15.00S,2025-04-12T01:56:20.2Z,2,REGULAR,rebound,defensive,[],203497,,,1610612750,50,42,2025-04-12T01:56:49Z,2710000,False,,,0,,R. Gobert REBOUND (Off:1 Def:3),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,272.0,,,,,,4.0,3.0,1.0,,,,,,,
274,PT04M01.00S,2025-04-12T01:56:56.4Z,2,REGULAR,3pt,Jump Shot,[],203944,27.414586070959263,21.323529411764707,1610612750,53,42,2025-04-12T01:57:03Z,2720000,False,143.0,205.0,1,left,J. Randle 25' 3PT  (12 PTS) (J. McDaniels 2 AST),"[203944, 1630183]",1610612750.0,MIN,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,25.03,Made,,,,,,,,,,,,12.0,J. McDaniels,1630183.0,2.0,,,
276,PT03M44.00S,2025-04-12T01:57:18.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1631166,91.67214191852825,42.64705882352941,1610612751,53,44,2025-04-12T02:04:51Z,2740000,False,-37.0,26.0,1,right,D. Timme cutting Layup (8 PTS) (K. Johnson 6 AST),"[1631166, 1630553]",1610612751.0,BKN,cutting,,,Timme,D. Timme,,,,,In The Paint (Non-RA),0-8 Center,4.49,Made,,,,,,,,,,,,8.0,K. Johnson,1630553.0,6.0,,,
278,PT03M44.00S,2025-04-12T01:57:21.4Z,2,REGULAR,foul,personal,"['inpenalty', '1freethrow']",203944,,,1610612751,53,44,2025-04-12T01:57:25Z,2760000,False,,,0,,J. Randle shooting personal FOUL (2 PF) (Timme 1 FT),"[203944, 1631166]",1610612750.0,MIN,shooting,,,Randle,J. Randle,,,,,In The Paint (Non-RA),0-8 Center,,,,,,1662.0,2.0,0.0,Timme,1631166.0,,,,,,,,,,
280,PT03M44.00S,2025-04-12T01:57:30.4Z,2,REGULAR,substitution,out,[],1630553,,,1610612751,53,44,2025-04-12T01:57:38Z,2780000,False,,,0,,SUB out: K. Johnson,[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
281,PT03M44.00S,2025-04-12T01:57:30.4Z,2,REGULAR,substitution,in,[],1630570,,,1610612751,53,44,2025-04-12T01:57:38Z,2790000,False,,,0,,SUB in: T. Watford,[1630570],1610612751.0,BKN,,,,Watford,T. Watford,,,,,,,,,,,,,,,,,,,,,,,,,,
282,PT03M44.00S,2025-04-12T01:57:54.8Z,2,REGULAR,freethrow,1 of 1,[],1631166,,,1610612751,53,44,2025-04-12T01:57:56Z,2800000,False,,,0,,MISS D. Timme Free Throw 1 of 1,[1631166],1610612751.0,BKN,,,,Timme,D. Timme,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
283,PT03M42.00S,2025-04-12T01:57:56.8Z,2,REGULAR,rebound,defensive,[],203497,,,1610612750,53,44,2025-04-12T01:57:56Z,2810000,False,,,0,,R. Gobert REBOUND (Off:1 Def:4),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,282.0,,,,,,5.0,4.0,1.0,,,,,,,
284,PT03M38.00S,2025-04-12T01:58:00.3Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1628978,14.536793692509855,95.34313725490196,1610612750,56,44,2025-04-12T02:05:37Z,2820000,False,-227.0,84.0,1,left,D. DiVincenzo 24' 3PT running (8 PTS) (J. Randle 1 AST),"[1628978, 203944]",1610612750.0,MIN,running,,,DiVincenzo,D. DiVincenzo,,,,,Left Corner 3,24+ Left,24.18,Made,,,,,,,,,,,,8.0,J. Randle,203944.0,1.0,,,
286,PT03M17.00S,2025-04-12T01:58:23.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1641787,91.5407358738502,48.03921568627451,1610612751,56,44,2025-04-12T02:09:19Z,2840000,False,-10.0,27.0,1,right,MISS T. Evbuomwan cutting Layup - blocked,"[1641787, 1630183]",1610612751.0,BKN,cutting,,,Evbuomwan,T. Evbuomwan,,,,,Restricted Area,0-8 Center,2.87,Missed,McDaniels,1630183.0,,,,,,,,,,,,,,,,
287,PT03M17.00S,2025-04-12T01:58:23.2Z,2,REGULAR,block,,[],1630183,,,1610612751,56,44,2025-04-12T01:58:25Z,2850000,False,,,0,,J. McDaniels BLOCK (1 BLK),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
288,PT03M16.00S,2025-04-12T01:58:24.2Z,2,REGULAR,rebound,offensive,[],1641787,,,1610612751,56,44,2025-04-12T02:09:19Z,2860000,False,,,0,,T. Evbuomwan REBOUND (Off:1 Def:1),[1641787],1610612751.0,BKN,,,,Evbuomwan,T. Evbuomwan,,,,,Restricted Area,0-8 Center,,,,,286.0,,,,,,2.0,1.0,1.0,,,,,,,
289,PT03M15.00S,2025-04-12T01:58:26.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641787,90.48948751642575,48.529411764705884,1610612751,56,44,2025-04-12T02:09:45Z,2870000,False,-7.0,37.0,1,right,MISS T. Evbuomwan putback Layup,[1641787],1610612751.0,BKN,putback,,,Evbuomwan,T. Evbuomwan,,,,,Restricted Area,0-8 Center,3.76,Missed,,,,,,,,,,,,,,,,,,
290,PT03M13.00S,2025-04-12T01:58:28.3Z,2,REGULAR,rebound,offensive,[],1641787,,,1610612751,56,44,2025-04-12T02:09:45Z,2880000,False,,,0,,T. Evbuomwan REBOUND (Off:2 Def:1),[1641787],1610612751.0,BKN,,,,Evbuomwan,T. Evbuomwan,,,,,Restricted Area,0-8 Center,,,,,289.0,,,,,,3.0,1.0,2.0,,,,,,,
291,PT03M08.00S,2025-04-12T01:58:29.6Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1630623,93.64323258869908,95.34313725490196,1610612751,56,44,2025-04-12T01:58:34Z,2890000,False,227.0,7.0,1,right,MISS T. Etienne 3PT,[1630623],1610612751.0,BKN,,,,Etienne,T. Etienne,,,,,Right Corner 3,24+ Right,22.68,Missed,,,,,,,,,,,,,,,,,,
292,PT03M08.00S,2025-04-12T01:58:29.6Z,2,REGULAR,rebound,offensive,[],1631166,,,1610612751,56,44,2025-04-12T01:58:34Z,2900000,False,,,0,,D. Timme REBOUND (Off:2 Def:2),[1631166],1610612751.0,BKN,,,,Timme,D. Timme,,,,,Right Corner 3,24+ Right,,,,,291.0,,,,,,4.0,2.0,2.0,,,,,,,
293,PT03M02.00S,2025-04-12T01:58:36.3Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1631213,71.69842312746385,75.49019607843137,1610612751,56,44,2025-04-12T02:10:29Z,2910000,False,127.0,214.0,1,right,MISS T. Martin 24' pullup 3PT,[1631213],1610612751.0,BKN,pullup,,,Martin,T. Martin,,,,,Above the Break 3,24+ Right Center,24.87,Missed,,,,,,,,,,,,,,,,,,
294,PT03M00.00S,2025-04-12T01:58:38.3Z,2,REGULAR,rebound,offensive,[],1630570,,,1610612751,56,44,2025-04-12T02:10:29Z,2920000,False,,,0,,T. Watford REBOUND (Off:1 Def:3),[1630570],1610612751.0,BKN,,,,Watford,T. Watford,,,,,Above the Break 3,24+ Right Center,,,,,293.0,,,,,,4.0,3.0,1.0,,,,,,,
295,PT02M50.00S,2025-04-12T01:58:48.0Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1631213,69.85873850197109,71.32352941176471,1610612751,56,44,2025-04-12T02:11:04Z,2930000,False,107.0,231.0,1,right,MISS T. Martin 25' pullup 3PT,[1631213],1610612751.0,BKN,pullup,,,Martin,T. Martin,,,,,Above the Break 3,24+ Right Center,25.42,Missed,,,,,,,,,,,,,,,,,,
296,PT02M48.00S,2025-04-12T01:58:50.0Z,2,REGULAR,rebound,defensive,[],1630162,,,1610612750,56,44,2025-04-12T02:01:54Z,2940000,False,,,0,,A. Edwards REBOUND (Off:0 Def:2),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Right Center,,,,,295.0,,,,,,2.0,2.0,0.0,,,,,,,
297,PT02M48.00S,2025-04-12T01:58:55.2Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,56,44,2025-04-12T01:58:55Z,2950000,False,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,PT02M48.00S,2025-04-12T02:01:15.7Z,2,REGULAR,substitution,out,[],1631213,,,1610612750,56,44,2025-04-12T02:01:47Z,2960000,False,,,0,,SUB out: T. Martin,[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
299,PT02M48.00S,2025-04-12T02:01:15.7Z,2,REGULAR,substitution,out,[],1631166,,,1610612750,56,44,2025-04-12T02:01:47Z,2970000,False,,,0,,SUB out: D. Timme,[1631166],1610612751.0,BKN,,,,Timme,D. Timme,,,,,,,,,,,,,,,,,,,,,,,,,,
300,PT02M48.00S,2025-04-12T02:01:15.7Z,2,REGULAR,substitution,in,[],1641736,,,1610612750,56,44,2025-04-12T02:01:47Z,2980000,False,,,0,,SUB in: R. Beekman,[1641736],1610612751.0,BKN,,,,Beekman,R. Beekman,,,,,,,,,,,,,,,,,,,,,,,,,,
301,PT02M48.00S,2025-04-12T02:01:15.7Z,2,REGULAR,substitution,in,[],1630592,,,1610612750,56,44,2025-04-12T02:01:47Z,2990000,False,,,0,,SUB in: J. Wilson,[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,
302,PT02M30.00S,2025-04-12T02:02:14.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,6.521024967148489,47.30392156862745,1610612750,58,44,2025-04-12T02:02:20Z,3000000,False,13.0,9.0,1,left,A. Edwards driving finger roll Layup (6 PTS) (D. DiVincenzo 3 AST),"[1630162, 1628978]",1610612750.0,MIN,driving finger roll,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,1.61,Made,,,,,,,,,,,,6.0,D. DiVincenzo,1628978.0,3.0,,,
304,PT02M04.00S,2025-04-12T02:02:40.5Z,2,REGULAR,3pt,Jump Shot,[],1641787,78.26872536136662,90.68627450980392,1610612751,58,44,2025-04-12T02:02:44Z,3020000,False,203.0,152.0,1,right,MISS T. Evbuomwan 25' 3PT - blocked,"[1641787, 203497]",1610612751.0,BKN,,,,Evbuomwan,T. Evbuomwan,,,,,Above the Break 3,24+ Right Center,25.38,Missed,Gobert,203497.0,,,,,,,,,,,,,,,,
305,PT02M04.00S,2025-04-12T02:02:40.5Z,2,REGULAR,block,,[],203497,,,1610612751,58,44,2025-04-12T02:02:43Z,3030000,False,,,0,,R. Gobert BLOCK (1 BLK),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
306,PT02M00.00S,2025-04-12T02:02:44.5Z,2,REGULAR,rebound,defensive,[],1630162,,,1610612750,58,44,2025-04-12T02:02:44Z,3040000,False,,,0,,A. Edwards REBOUND (Off:0 Def:3),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Right Center,,,,,304.0,,,,,,3.0,3.0,0.0,,,,,,,
307,PT01M49.00S,2025-04-12T02:02:54.1Z,2,REGULAR,3pt,Jump Shot,[],1630162,24.129434954007884,85.04901960784314,1610612750,61,44,2025-04-12T02:02:58Z,3050000,False,-175.0,174.0,1,left,A. Edwards 24' 3PT  (9 PTS) (J. Randle 2 AST),"[1630162, 203944]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,24.71,Made,,,,,,,,,,,,9.0,J. Randle,203944.0,2.0,,,
309,PT01M32.00S,2025-04-12T02:03:12.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630570,87.20433639947439,46.568627450980394,1610612751,61,44,2025-04-12T02:12:18Z,3070000,False,-17.0,68.0,1,right,MISS T. Watford 6' floating Shot,[1630570],1610612751.0,BKN,floating,,,Watford,T. Watford,,,,,In The Paint (Non-RA),0-8 Center,6.99,Missed,,,,,,,,,,,,,,,,,,
310,PT01M29.00S,2025-04-12T02:03:15.0Z,2,REGULAR,rebound,defensive,[],1628978,,,1610612750,61,44,2025-04-12T02:03:17Z,3080000,False,,,0,,D. DiVincenzo REBOUND (Off:0 Def:4),[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,In The Paint (Non-RA),0-8 Center,,,,,309.0,,,,,,4.0,4.0,0.0,,,,,,,
311,PT01M09.00S,2025-04-12T02:03:35.0Z,2,REGULAR,3pt,Jump Shot,[],1628978,23.209592641261498,85.5392156862745,1610612750,61,44,2025-04-12T02:04:16Z,3090000,False,-178.0,166.0,1,left,MISS D. DiVincenzo 24' step back 3PT,[1628978],1610612750.0,MIN,step back,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Left Center,24.3,Missed,,,,,,,,,,,,,,,,,,
312,PT01M07.00S,2025-04-12T02:03:37.0Z,2,REGULAR,rebound,defensive,[],1630570,,,1610612751,61,44,2025-04-12T02:04:16Z,3100000,False,,,0,,T. Watford REBOUND (Off:1 Def:4),[1630570],1610612751.0,BKN,,,,Watford,T. Watford,,,,,Above the Break 3,24+ Left Center,,,,,311.0,,,,,,5.0,4.0,1.0,,,,,,,
313,PT01M00.00S,2025-04-12T02:03:42.8Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1630623,92.85479632063075,3.9215686274509802,1610612751,61,47,2025-04-12T02:13:03Z,3110000,False,-230.0,15.0,1,right,T. Etienne 3PT running (3 PTS) (T. Watford 2 AST),"[1630623, 1630570]",1610612751.0,BKN,running,,,Etienne,T. Etienne,,,,,Left Corner 3,24+ Left,23.09,Made,,,,,,,,,,,,3.0,T. Watford,1630570.0,2.0,,,
315,PT00M49.90S,2025-04-12T02:03:59.2Z,2,REGULAR,foul,personal,[],1641736,,,1610612750,61,47,2025-04-12T02:04:11Z,3130000,False,,,0,,R. Beekman personal FOUL (2 PF),"[1641736, 203497]",1610612751.0,BKN,,,,Beekman,R. Beekman,,,,,Restricted Area,0-8 Center,,,,,,1628159.0,2.0,0.0,Gobert,203497.0,,,,,,,,,,
317,PT00M49.90S,2025-04-12T02:04:17.4Z,2,REGULAR,substitution,out,[],1630623,,,1610612750,61,47,2025-04-12T02:04:25Z,3150000,False,,,0,,SUB out: T. Etienne,[1630623],1610612751.0,BKN,,,,Etienne,T. Etienne,,,,,,,,,,,,,,,,,,,,,,,,,,
318,PT00M49.90S,2025-04-12T02:04:17.4Z,2,REGULAR,substitution,out,[],1641787,,,1610612750,61,47,2025-04-12T02:04:25Z,3160000,False,,,0,,SUB out: T. Evbuomwan,[1641787],1610612751.0,BKN,,,,Evbuomwan,T. Evbuomwan,,,,,,,,,,,,,,,,,,,,,,,,,,
319,PT00M49.90S,2025-04-12T02:04:17.4Z,2,REGULAR,substitution,in,[],1630553,,,1610612750,61,47,2025-04-12T02:04:25Z,3170000,False,,,0,,SUB in: K. Johnson,[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
320,PT00M49.90S,2025-04-12T02:04:17.4Z,2,REGULAR,substitution,in,[],1631166,,,1610612750,61,47,2025-04-12T02:04:25Z,3180000,False,,,0,,SUB in: D. Timme,[1631166],1610612751.0,BKN,,,,Timme,D. Timme,,,,,,,,,,,,,,,,,,,,,,,,,,
321,PT00M44.60S,2025-04-12T02:04:32.2Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630592,,,1610612750,61,47,2025-04-12T02:04:42Z,3190000,False,,,0,,J. Wilson shooting personal FOUL (3 PF) (Gobert 2 FT),"[1630592, 203497]",1610612751.0,BKN,shooting,,,Wilson,J. Wilson,,,,,Restricted Area,0-8 Center,,,,,,1626300.0,3.0,0.0,Gobert,203497.0,,,,,,,,,,
323,PT00M44.60S,2025-04-12T02:05:04.0Z,2,REGULAR,freethrow,1 of 2,[],203497,,,1610612750,61,47,2025-04-12T02:05:04Z,3210000,False,,,0,,MISS R. Gobert Free Throw 1 of 2,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
324,PT00M44.60S,2025-04-12T02:05:04.0Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612750,61,47,2025-04-12T02:05:04Z,3220000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,,323.0,,,,,,,,,,,,,,,
325,PT00M44.60S,2025-04-12T02:05:05.8Z,2,REGULAR,substitution,out,[],1630592,,,1610612750,61,47,2025-04-12T02:05:08Z,3230000,False,,,0,,SUB out: J. Wilson,[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,
326,PT00M44.60S,2025-04-12T02:05:05.8Z,2,REGULAR,substitution,in,[],1631213,,,1610612750,61,47,2025-04-12T02:05:08Z,3240000,False,,,0,,SUB in: T. Martin,[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
327,PT00M44.60S,2025-04-12T02:05:27.5Z,2,REGULAR,freethrow,2 of 2,[],203497,,,1610612750,61,47,2025-04-12T02:05:27Z,3250000,False,,,0,,MISS R. Gobert Free Throw 2 of 2,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
328,PT00M43.60S,2025-04-12T02:05:35.8Z,2,REGULAR,rebound,offensive,[],203497,,,1610612750,61,47,2025-04-12T02:05:35Z,3260000,False,,,0,,R. Gobert REBOUND (Off:2 Def:4),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,327.0,,,,,,6.0,4.0,2.0,,,,,,,
329,PT00M43.60S,2025-04-12T02:05:36.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203497,7.835085413929041,53.92156862745098,1610612750,63,47,2025-04-12T02:06:16Z,3270000,False,-20.0,21.0,1,left,R. Gobert putback Layup (15 PTS),[203497],1610612750.0,MIN,putback,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,2.88,Made,,,,,,,,,,,,15.0,,,,,,
330,PT00M43.60S,2025-04-12T02:05:38.8Z,2,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1641736,,,1610612750,63,47,2025-04-12T02:05:43Z,3280000,False,,,0,,R. Beekman shooting personal FOUL (3 PF) (Gobert 1 FT),"[1641736, 203497]",1610612751.0,BKN,shooting,,,Beekman,R. Beekman,,,,,Restricted Area,0-8 Center,,,,,,1626300.0,3.0,0.0,Gobert,203497.0,,,,,,,,,,
332,PT00M43.60S,2025-04-12T02:06:06.0Z,2,REGULAR,freethrow,1 of 1,['2ndchance'],203497,,,1610612750,64,47,2025-04-12T02:06:06Z,3300000,False,,,0,,R. Gobert Free Throw 1 of 1 (16 PTS),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,Made,,,,,,,,,,,,16.0,,,,,,
333,PT00M32.40S,2025-04-12T02:06:20.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641736,92.85479632063075,55.392156862745104,1610612751,64,47,2025-04-12T02:14:33Z,3310000,False,27.0,15.0,1,right,MISS R. Beekman driving floating Shot - blocked,"[1641736, 1630162]",1610612751.0,BKN,driving floating,,,Beekman,R. Beekman,,,,,Restricted Area,0-8 Center,3.07,Missed,Edwards,1630162.0,,,,,,,,,,,,,,,,
334,PT00M32.40S,2025-04-12T02:06:20.3Z,2,REGULAR,block,,[],1630162,,,1610612751,64,47,2025-04-12T02:06:22Z,3320000,False,,,0,,A. Edwards BLOCK (2 BLK),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
335,PT00M32.40S,2025-04-12T02:06:20.3Z,2,REGULAR,rebound,offensive,[],1641736,,,1610612751,64,47,2025-04-12T02:06:26Z,3330000,False,,,0,,R. Beekman REBOUND (Off:1 Def:1),[1641736],1610612751.0,BKN,,,,Beekman,R. Beekman,,,,,Restricted Area,0-8 Center,,,,,333.0,,,,,,2.0,1.0,1.0,,,,,,,
336,PT00M32.40S,2025-04-12T02:06:23.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641736,91.40932982917214,52.69607843137255,1610612751,64,49,2025-04-12T02:14:47Z,3340000,False,13.0,28.0,1,right,R. Beekman putback Layup (8 PTS),[1641736],1610612751.0,BKN,putback,,,Beekman,R. Beekman,,,,,Restricted Area,0-8 Center,3.14,Made,,,,,,,,,,,,8.0,,,,,,
337,PT00M32.40S,2025-04-12T02:06:28.2Z,2,REGULAR,violation,delay-of-game,['team'],0,,,1610612750,64,49,2025-04-12T02:06:35Z,3350000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,1626300.0,,,,,,,,,,,,,,
338,PT00M13.80S,2025-04-12T02:06:48.5Z,2,REGULAR,turnover,lost ball,[],1628978,,,1610612750,64,49,2025-04-12T02:06:52Z,3360000,False,,,0,,D. DiVincenzo lost ball TURNOVER (2 TO),"[1628978, 1630553]",1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,2.0,Johnson,1630553.0
