actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
262,PT01M26.00S,2021-11-07T01:30:33.8Z,2,REGULAR,rebound,offensive,[],1627827,,,1610612742,54,38,2021-11-07T01:30:52Z,2610000,,,0,,D. Finney-Smith REBOUND (Off:2 Def:2),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,261.0,4.0,2.0,2.0,,,,,,,,,
263,PT01M25.00S,2021-11-07T01:30:38.3Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1627827,5.590000152587891,50.0,1610612742,54,38,2021-11-07T01:31:35Z,2620000,0.0,0.0,1,left,MISS D. Finney-Smith tip Layup,[1627827],1610612742.0,DAL,tip,,,Finney-Smith,D. Finney-Smith,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
264,PT01M23.00S,2021-11-07T01:30:40.3Z,2,REGULAR,rebound,defensive,[],203471,,,1610612738,54,38,2021-11-07T01:31:35Z,2630000,,,0,,D. Schroder REBOUND (Off:1 Def:1),[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,263.0,2.0,1.0,1.0,,,,,,,,,
265,PT01M08.00S,2021-11-07T01:30:51.9Z,2,REGULAR,3pt,Jump Shot,[],1630174,89.04402102496715,95.58823529411765,1610612738,54,38,2021-11-07T01:30:56Z,2640000,228.0,50.0,1,right,MISS A. Nesmith 3PT,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,23.34,Missed,,,,,,,,,,,,,,,,,,,
266,PT01M05.00S,2021-11-07T01:30:54.9Z,2,REGULAR,rebound,defensive,[],1628973,,,1610612742,54,38,2021-11-07T01:30:56Z,2650000,,,0,,J. Brunson REBOUND (Off:0 Def:3),[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,265.0,3.0,3.0,0.0,,,,,,,,,
267,PT00M46.70S,2021-11-07T01:31:14.3Z,2,REGULAR,3pt,Jump Shot,[],1628973,32.14520367936925,35.53921568627451,1610612742,57,38,2021-11-07T01:31:22Z,2660000,72.0,250.0,1,left,J. Brunson 26' 3PT  (13 PTS),[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,26.0,Made,13.0,,,,,,,,,,,,,,,,,,
268,PT00M46.40S,2021-11-07T01:31:20.3Z,2,REGULAR,timeout,full,['team'],0,,,1610612738,57,38,2021-11-07T01:31:20Z,2670000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,PT00M46.40S,2021-11-07T01:32:40.7Z,2,REGULAR,substitution,out,[],203939,,,1610612738,57,38,2021-11-07T01:32:53Z,2680000,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
270,PT00M46.40S,2021-11-07T01:32:40.7Z,2,REGULAR,substitution,in,[],204001,,,1610612738,57,38,2021-11-07T01:32:53Z,2690000,,,0,,SUB in: K. Porzingis,[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,
271,PT00M38.10S,2021-11-07T01:33:03.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1626196,93.38042049934296,47.30392156862745,1610612738,57,40,2021-11-07T01:33:10Z,2700000,-13.0,10.0,1,right,J. Richardson cutting Layup (6 PTS) (D. Schroder 2 AST),"[1626196, 203471]",1610612738.0,BOS,cutting,,,Richardson,J. Richardson,,,,,1.66,Made,6.0,,,,,,,,,,D. Schroder,203471.0,2.0,,,,,,
273,PT00M34.20S,2021-11-07T01:33:13.7Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1628973,32.40801576872536,32.35294117647059,1610612742,57,40,2021-11-07T01:33:20Z,2720000,88.0,252.0,1,left,MISS J. Brunson 26' pullup 3PT,[1628973],1610612742.0,DAL,pullup,,,Brunson,J. Brunson,,,,,26.71,Missed,,,,,,,,,,,,,,,,,,,
274,PT00M31.60S,2021-11-07T01:33:16.3Z,2,REGULAR,rebound,defensive,[],203935,,,1610612738,57,40,2021-11-07T01:33:20Z,2730000,,,0,,M. Smart REBOUND (Off:0 Def:2),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,273.0,2.0,2.0,0.0,,,,,,,,,
275,PT00M17.40S,2021-11-07T01:33:33.1Z,2,REGULAR,foul,personal,['2freethrow'],204001,,,1610612738,57,40,2021-11-07T01:33:42Z,2740000,,,0,,K. Porzingis shooting personal FOUL (1 PF) (Smart 2 FT),"[204001, 203935]",1610612742.0,DAL,shooting,,,Porzingis,K. Porzingis,,,,,,,,202027.0,1.0,0.0,Smart,203935.0,,,,,,,,,,,,,
277,PT00M17.40S,2021-11-07T01:33:53.5Z,2,REGULAR,freethrow,1 of 2,[],203935,,,1610612738,57,40,2021-11-07T01:33:53Z,2760000,,,0,,MISS M. Smart Free Throw 1 of 2,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,Missed,,,,,,,,,,,,,,,,,,,
278,PT00M17.40S,2021-11-07T01:33:53.5Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,57,40,2021-11-07T01:33:53Z,2770000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,277.0,,,,,,,,,,,,
279,PT00M17.40S,2021-11-07T01:33:53.5Z,2,REGULAR,freethrow,2 of 2,[],203935,,,1610612738,57,40,2021-11-07T01:34:10Z,2780000,,,0,,MISS M. Smart Free Throw 2 of 2,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,Missed,,,,,,,,,,,,,,,,,,,
280,PT00M15.90S,2021-11-07T01:33:55.0Z,2,REGULAR,rebound,defensive,[],203501,,,1610612742,57,40,2021-11-07T01:34:10Z,2790000,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:2),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,279.0,2.0,2.0,0.0,,,,,,,,,
281,PT00M02.80S,2021-11-07T01:34:23.7Z,2,REGULAR,foul,offensive,[],1629029,,,1610612742,57,40,2021-11-07T01:34:31Z,2800000,,,0,,L. Doncic charge offensive FOUL (2 PF),"[1629029, 1630174]",1610612742.0,DAL,charge,,,Doncic,L. Doncic,,,,,,,,202027.0,2.0,0.0,Nesmith,1630174.0,,,,,,,,,,,,,
283,PT00M02.80S,2021-11-07T01:34:23.7Z,2,REGULAR,turnover,offensive foul,[],1629029,,,1610612742,57,40,2021-11-07T01:34:23Z,2820000,,,0,,L. Doncic offensive foul TURNOVER (3 TO),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,202027.0,,,,,,,,,,,,,,3.0,,,
284,PT00M00.00S,2021-11-07T01:34:42.4Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],203471,68.9388961892247,23.774509803921568,1610612738,57,40,2021-11-07T01:34:47Z,2830000,-131.0,239.0,1,right,MISS D. Schroder 27' pullup 3PT,[203471],1610612738.0,BOS,pullup,,,Schroder,D. Schroder,,,,,27.3,Missed,,,,,,,,,,,,,,,,,,,
285,PT00M00.00S,2021-11-07T01:34:45.1Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,57,40,2021-11-07T01:34:45Z,2840000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,284.0,,,,,,,,,,,,
286,PT00M00.00S,2021-11-07T01:34:49.2Z,2,REGULAR,period,end,[],0,,,1610612738,57,40,2021-11-07T01:34:49Z,2850000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,PT12M00.00S,2021-11-07T01:48:52.2Z,3,REGULAR,substitution,out,['startperiod'],1628973,,,1610612738,57,40,2021-11-07T01:49:49Z,2860000,,,0,,SUB out: J. Brunson,[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,,
288,PT12M00.00S,2021-11-07T01:48:52.2Z,3,REGULAR,substitution,out,['startperiod'],1626196,,,1610612738,57,40,2021-11-07T01:49:49Z,2870000,,,0,,SUB out: J. Richardson,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
289,PT12M00.00S,2021-11-07T01:48:52.2Z,3,REGULAR,substitution,out,['startperiod'],1630174,,,1610612738,57,40,2021-11-07T01:49:49Z,2880000,,,0,,SUB out: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
290,PT12M00.00S,2021-11-07T01:48:52.2Z,3,REGULAR,substitution,in,['startperiod'],203939,,,1610612738,57,40,2021-11-07T01:49:49Z,2890000,,,0,,SUB in: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
291,PT12M00.00S,2021-11-07T01:48:52.2Z,3,REGULAR,substitution,in,['startperiod'],1629057,,,1610612738,57,40,2021-11-07T01:49:49Z,2900000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
292,PT12M00.00S,2021-11-07T01:48:52.2Z,3,REGULAR,substitution,in,['startperiod'],1628369,,,1610612738,57,40,2021-11-07T01:49:49Z,2910000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
293,PT12M00.00S,2021-11-07T01:50:03.6Z,3,REGULAR,period,start,[],0,,,1610612738,57,40,2021-11-07T01:50:03Z,2920000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,PT11M42.00S,2021-11-07T01:50:21.1Z,3,REGULAR,turnover,bad pass,[],1628369,,,1610612738,57,40,2021-11-07T01:50:26Z,2930000,,,0,,J. Tatum bad pass TURNOVER (2 TO),"[1628369, 204001]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,2.0,Porzingis,204001.0,
295,PT11M42.00S,2021-11-07T01:50:21.1Z,3,REGULAR,steal,,[],204001,,,1610612742,57,40,2021-11-07T01:57:12Z,2940000,,,0,,K. Porzingis STEAL (1 STL),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,
296,PT11M20.00S,2021-11-07T01:50:42.6Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],203501,67.36202365308804,54.65686274509803,1610612742,57,40,2021-11-07T01:50:48Z,2950000,23.0,254.0,1,right,MISS T. Hardaway Jr. 25' 3PT,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,25.54,Missed,,,,,,,,,,,,,,,,,,,
297,PT11M17.00S,2021-11-07T01:50:45.6Z,3,REGULAR,rebound,defensive,[],201143,,,1610612738,57,40,2021-11-07T01:50:48Z,2960000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,296.0,1.0,1.0,0.0,,,,,,,,,
298,PT11M04.00S,2021-11-07T01:50:58.3Z,3,REGULAR,2pt,Hook,['pointsinthepaint'],201143,12.565703022339028,53.18627450980392,1610612738,57,42,2021-11-07T01:51:03Z,2970000,-16.0,66.0,1,left,A. Horford 6' Hook (8 PTS) (M. Smart 2 AST),"[201143, 203935]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,6.75,Made,8.0,,,,,,,,,,M. Smart,203935.0,2.0,,,,,,
300,PT10M39.00S,2021-11-07T01:51:23.1Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],203939,91.27792378449409,52.20588235294118,1610612742,59,42,2021-11-07T01:51:29Z,2990000,11.0,29.0,1,right,D. Powell cutting Layup (4 PTS) (K. Porzingis 1 AST),"[203939, 204001]",1610612742.0,DAL,cutting,,,Powell,D. Powell,,,,,3.15,Made,4.0,,,,,,,,,,K. Porzingis,204001.0,1.0,,,,,,
302,PT10M30.00S,2021-11-07T01:51:32.4Z,3,REGULAR,3pt,Jump Shot,[],201143,31.882391590013142,39.21568627450981,1610612738,59,42,2021-11-07T01:51:37Z,3010000,54.0,247.0,1,left,MISS A. Horford 25' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,25.3,Missed,,,,,,,,,,,,,,,,,,,
303,PT10M27.00S,2021-11-07T01:51:35.4Z,3,REGULAR,rebound,defensive,[],203939,,,1610612742,59,42,2021-11-07T01:51:37Z,3020000,,,0,,D. Powell REBOUND (Off:0 Def:4),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,302.0,4.0,4.0,0.0,,,,,,,,,
304,PT10M23.00S,2021-11-07T01:51:46.6Z,3,REGULAR,foul,personal,[],201143,,,1610612742,59,42,2021-11-07T01:52:42Z,3030000,,,0,,A. Horford personal FOUL (2 PF),"[201143, 204001]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,202027.0,2.0,0.0,Porzingis,204001.0,,,,,,,,,,,,,
306,PT10M12.00S,2021-11-07T01:52:12.6Z,3,REGULAR,3pt,Jump Shot,[],1629029,71.96123521681997,16.176470588235293,1610612742,59,42,2021-11-07T01:52:30Z,3050000,-169.0,211.0,1,right,MISS L. Doncic 27' 3PT,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,27.05,Missed,,,,,,,,,,,,,,,,,,,
307,PT10M08.00S,2021-11-07T01:52:16.7Z,3,REGULAR,rebound,defensive,[],203471,,,1610612738,59,42,2021-11-07T01:52:16Z,3060000,,,0,,D. Schroder REBOUND (Off:1 Def:2),[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,306.0,3.0,2.0,1.0,,,,,,,,,
308,PT10M00.00S,2021-11-07T01:52:24.4Z,3,REGULAR,3pt,Jump Shot,[],203471,27.677398160315374,74.26470588235294,1610612738,59,42,2021-11-07T01:52:33Z,3070000,-121.0,208.0,1,left,MISS D. Schroder 24' 3PT,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,24.05,Missed,,,,,,,,,,,,,,,,,,,
309,PT09M57.00S,2021-11-07T01:52:27.4Z,3,REGULAR,rebound,defensive,[],203939,,,1610612742,59,42,2021-11-07T01:52:33Z,3080000,,,0,,D. Powell REBOUND (Off:0 Def:5),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,308.0,5.0,5.0,0.0,,,,,,,,,
310,PT09M55.00S,2021-11-07T01:52:33.4Z,3,REGULAR,stoppage,out-of-bounds,[],0,,,1610612742,59,42,2021-11-07T01:52:33Z,3090000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,PT09M45.00S,2021-11-07T01:52:59.9Z,3,REGULAR,foul,personal,['2freethrow'],1628369,,,1610612742,59,42,2021-11-07T01:53:23Z,3100000,,,0,,J. Tatum shooting personal FOUL (2 PF) (Hardaway Jr. 2 FT),"[1628369, 203501]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,,,,202027.0,2.0,0.0,Hardaway Jr.,203501.0,,,,,,,,,,,,,
313,PT09M45.00S,2021-11-07T01:53:34.5Z,3,REGULAR,freethrow,1 of 2,[],203501,,,1610612742,59,42,2021-11-07T01:53:34Z,3120000,,,0,,MISS T. Hardaway Jr. Free Throw 1 of 2,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,Missed,,,,,,,,,,,,,,,,,,,
314,PT09M45.00S,2021-11-07T01:53:34.5Z,3,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612742,59,42,2021-11-07T01:53:34Z,3130000,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,313.0,,,,,,,,,,,,
315,PT09M45.00S,2021-11-07T01:53:49.9Z,3,REGULAR,freethrow,2 of 2,[],203501,,,1610612742,60,42,2021-11-07T01:53:49Z,3140000,,,0,,T. Hardaway Jr. Free Throw 2 of 2 (3 PTS),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
316,PT09M35.00S,2021-11-07T01:54:04.7Z,3,REGULAR,3pt,Jump Shot,[],1628369,23.73521681997372,84.80392156862744,1610612738,60,45,2021-11-07T01:54:08Z,3150000,-174.0,171.0,1,left,J. Tatum 24' 3PT  (15 PTS) (A. Horford 2 AST),"[1628369, 201143]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,24.37,Made,15.0,,,,,,,,,,A. Horford,201143.0,2.0,,,,,,
318,PT09M16.00S,2021-11-07T01:54:26.1Z,3,REGULAR,turnover,out-of-bounds,[],1629029,,,1610612742,60,45,2021-11-07T01:54:35Z,3170000,,,0,,L. Doncic bad pass out-of-bounds TURNOVER (4 TO),[1629029],1610612742.0,DAL,bad pass,,,Doncic,L. Doncic,,,,,,,,1198.0,,,,,,,,,,,,,,4.0,,,
319,PT09M10.00S,2021-11-07T01:54:37.6Z,3,REGULAR,foul,personal,[],1629029,,,1610612738,60,45,2021-11-07T01:55:20Z,3180000,,,0,,L. Doncic personal FOUL (3 PF),"[1629029, 203935]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,1628951.0,3.0,0.0,Smart,203935.0,,,,,,,,,,,,,
321,PT08M56.00S,2021-11-07T01:55:20.1Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],1628369,18.873193166885677,5.392156862745098,1610612738,60,48,2021-11-07T01:55:24Z,3200000,223.0,125.0,1,left,J. Tatum 25' 3PT  (18 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,25.56,Made,18.0,,,,,,,,,,,,,,,,,,
322,PT08M41.00S,2021-11-07T01:55:35.1Z,3,REGULAR,3pt,Jump Shot,[],204001,70.12155059132719,73.0392156862745,1610612742,60,48,2021-11-07T01:55:39Z,3210000,115.0,228.0,1,right,MISS K. Porzingis 25' 3PT,[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,25.58,Missed,,,,,,,,,,,,,,,,,,,
323,PT08M37.00S,2021-11-07T01:55:39.1Z,3,REGULAR,rebound,defensive,[],1628369,,,1610612738,60,48,2021-11-07T01:55:39Z,3220000,,,0,,J. Tatum REBOUND (Off:0 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,322.0,4.0,4.0,0.0,,,,,,,,,
324,PT08M29.00S,2021-11-07T01:55:47.1Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,6.783837056504599,45.34313725490196,1610612738,60,50,2021-11-07T01:56:01Z,3230000,23.0,11.0,1,left,J. Tatum driving Layup (20 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,2.59,Made,20.0,,,,,,,,,,,,,,,,,,
325,PT08M29.00S,2021-11-07T01:55:51.1Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,60,50,2021-11-07T01:55:51Z,3240000,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,PT08M14.00S,2021-11-07T01:58:58.0Z,3,REGULAR,foul,personal,[],1629057,,,1610612742,60,50,2021-11-07T01:59:37Z,3250000,,,0,,R. Williams III personal FOUL (1 PF),"[1629057, 1629029]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,1198.0,1.0,0.0,Doncic,1629029.0,,,,,,,,,,,,,
328,PT08M04.00S,2021-11-07T01:59:33.2Z,3,REGULAR,foul,personal,['2freethrow'],1628369,,,1610612742,60,50,2021-11-07T01:59:38Z,3270000,,,0,,J. Tatum shooting personal FOUL (3 PF) (Porzingis 2 FT),"[1628369, 204001]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,,,,202027.0,3.0,0.0,Porzingis,204001.0,,,,,,,,,,,,,
330,PT08M04.00S,2021-11-07T01:59:55.3Z,3,REGULAR,freethrow,1 of 2,[],204001,,,1610612742,60,50,2021-11-07T01:59:57Z,3290000,,,0,,MISS K. Porzingis Free Throw 1 of 2,[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,Missed,,,,,,,,,,,,,,,,,,,
331,PT08M04.00S,2021-11-07T01:59:55.3Z,3,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612742,60,50,2021-11-07T01:59:57Z,3300000,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,330.0,,,,,,,,,,,,
332,PT08M04.00S,2021-11-07T02:00:11.1Z,3,REGULAR,freethrow,2 of 2,[],204001,,,1610612742,61,50,2021-11-07T02:00:11Z,3310000,,,0,,K. Porzingis Free Throw 2 of 2 (7 PTS),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,Made,7.0,,,,,,,,,,,,,,,,,,
333,PT07M56.00S,2021-11-07T02:00:22.0Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],203471,7.178055190538765,54.41176470588235,1610612738,61,52,2021-11-07T02:00:32Z,3320000,-22.0,15.0,1,left,D. Schroder driving Layup (8 PTS) (J. Tatum 2 AST),"[203471, 1628369]",1610612738.0,BOS,driving,,,Schroder,D. Schroder,,,,,2.67,Made,8.0,,,,,,,,,,J. Tatum,1628369.0,2.0,,,,,,
335,PT07M39.00S,2021-11-07T02:00:40.5Z,3,REGULAR,turnover,out-of-bounds,[],203501,,,1610612742,61,52,2021-11-07T02:00:45Z,3340000,,,0,,T. Hardaway Jr. bad pass out-of-bounds TURNOVER (1 TO),[203501],1610612742.0,DAL,bad pass,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,1628951.0,,,,,,,,,,,,,,1.0,,,
336,PT07M26.00S,2021-11-07T02:00:59.2Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203471,8.492115637319317,43.872549019607845,1610612738,61,52,2021-11-07T02:01:06Z,3350000,31.0,27.0,1,left,MISS D. Schroder driving Layup - blocked,"[203471, 203939]",1610612738.0,BOS,driving,,,Schroder,D. Schroder,,,,,4.1,Missed,,,,,,,,,,,,,,Powell,203939.0,,,,
337,PT07M26.00S,2021-11-07T02:00:59.2Z,3,REGULAR,block,,[],203939,,,1610612738,61,52,2021-11-07T02:01:01Z,3360000,,,0,,D. Powell BLOCK (3 BLK),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
338,PT07M26.00S,2021-11-07T02:00:59.2Z,3,REGULAR,rebound,offensive,['team'],0,,,1610612738,61,52,2021-11-07T02:01:06Z,3370000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,336.0,,,,,,,,,,,,
339,PT07M26.00S,2021-11-07T02:01:04.0Z,3,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,61,52,2021-11-07T02:01:04Z,3380000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,PT07M19.00S,2021-11-07T02:01:20.1Z,3,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",1628369,7.440867279894875,28.186274509803923,1610612738,61,54,2021-11-07T02:05:35Z,3390000,109.0,17.0,1,left,J. Tatum 11' fadeaway Jump Shot (22 PTS),[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,11.05,Made,22.0,,,,,,,,,,,,,,,,,,
341,PT07M04.00S,2021-11-07T02:01:37.7Z,3,REGULAR,foul,offensive,[],203939,,,1610612742,61,54,2021-11-07T02:02:20Z,3400000,,,0,,D. Powell off-the-ball offensive FOUL (1 PF),"[203939, 203471]",1610612742.0,DAL,off-the-ball,,,Powell,D. Powell,,,,,,,,202027.0,1.0,0.0,Schroder,203471.0,,,,,,,,,,,,,
343,PT07M04.00S,2021-11-07T02:01:37.7Z,3,REGULAR,turnover,offensive foul,[],203939,,,1610612742,61,54,2021-11-07T02:01:37Z,3420000,,,0,,D. Powell offensive foul TURNOVER (1 TO),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,202027.0,,,,,,,,,,,,,,1.0,,,
344,PT07M04.00S,2021-11-07T02:01:47.8Z,3,REGULAR,substitution,out,[],204001,,,1610612738,61,54,2021-11-07T02:02:07Z,3430000,,,0,,SUB out: K. Porzingis,[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,
345,PT07M04.00S,2021-11-07T02:01:47.8Z,3,REGULAR,substitution,out,[],203501,,,1610612738,61,54,2021-11-07T02:02:07Z,3440000,,,0,,SUB out: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
346,PT07M04.00S,2021-11-07T02:01:47.8Z,3,REGULAR,substitution,in,[],1628973,,,1610612738,61,54,2021-11-07T02:02:07Z,3450000,,,0,,SUB in: J. Brunson,[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,,
347,PT07M04.00S,2021-11-07T02:01:47.8Z,3,REGULAR,substitution,in,[],203493,,,1610612738,61,54,2021-11-07T02:02:07Z,3460000,,,0,,SUB in: R. Bullock,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,,
348,PT06M51.00S,2021-11-07T02:02:15.6Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],203471,20.45006570302234,89.95098039215686,1610612738,61,57,2021-11-07T02:02:25Z,3470000,-200.0,140.0,1,left,D. Schroder 24' 3PT  (11 PTS) (M. Smart 3 AST),"[203471, 203935]",1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,24.38,Made,11.0,,,,,,,,,,M. Smart,203935.0,3.0,,,,,,
350,PT06M26.00S,2021-11-07T02:02:40.7Z,3,REGULAR,3pt,Jump Shot,[],1627827,77.87450722733246,89.70588235294117,1610612742,61,57,2021-11-07T02:02:45Z,3490000,199.0,155.0,1,right,MISS D. Finney-Smith 25' 3PT,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,25.22,Missed,,,,,,,,,,,,,,,,,,,
351,PT06M23.00S,2021-11-07T02:02:43.7Z,3,REGULAR,rebound,defensive,[],1628369,,,1610612738,61,57,2021-11-07T02:02:45Z,3500000,,,0,,J. Tatum REBOUND (Off:0 Def:5),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,350.0,5.0,5.0,0.0,,,,,,,,,
352,PT06M04.00S,2021-11-07T02:03:04.1Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1629057,7.835085413929041,46.32352941176471,1610612738,61,57,2021-11-07T02:03:21Z,3510000,18.0,21.0,1,left,MISS R. Williams III Layup - blocked,"[1629057, 1629029]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,2.8,Missed,,,,,,,,,,,,,,Doncic,1629029.0,,,,
