actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
257,PT04M39.00S,2024-01-24T01:54:17.9Z,2,REGULAR,rebound,defensive,[],1630700,,,1610612740,62,43,2024-01-24T01:54:18Z,2510000,False,,,0,,D. Daniels REBOUND (Off:0 Def:3),[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Left Center,,,256.0,3.0,3.0,0.0,,,,,,,,,,,,,,
258,PT04M37.00S,2024-01-24T01:54:19.8Z,2,REGULAR,turnover,bad pass,[],1627742,,,1610612740,62,43,2024-01-24T01:54:28Z,2520000,False,,,0,,B. Ingram bad pass TURNOVER (1 TO),"[1627742, 1631323]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1.0,,,,,,,,Fontecchio,1631323.0
259,PT04M37.00S,2024-01-24T01:54:19.8Z,2,REGULAR,steal,,[],1631323,,,1610612762,62,43,2024-01-24T01:55:23Z,2530000,False,,,0,,S. Fontecchio STEAL (1 STL),[1631323],1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
260,PT04M30.00S,2024-01-24T01:54:26.5Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629012,72.09264126149803,83.08823529411765,1610612762,62,46,2024-01-24T01:54:32Z,2540000,False,165.0,210.0,1,right,C. Sexton 26' 3PT  (12 PTS) (J. Collins 2 AST),"[1629012, 1628381]",1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Right Center,26.72,Made,,,,,,,12.0,,,J. Collins,1628381.0,2.0,,,,,,
262,PT04M12.00S,2024-01-24T01:54:45.5Z,2,REGULAR,3pt,Jump Shot,[],1627742,27.54599211563732,80.14705882352942,1610612740,62,46,2024-01-24T01:54:52Z,2560000,False,-151.0,206.0,1,left,MISS B. Ingram 25' pullup 3PT,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Left Center,25.56,Missed,,,,,,,,,,,,,,,,,,
263,PT04M09.00S,2024-01-24T01:54:48.5Z,2,REGULAR,rebound,defensive,[],1628381,,,1610612762,62,46,2024-01-24T01:54:52Z,2570000,False,,,0,,J. Collins REBOUND (Off:0 Def:6),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Left Center,,,262.0,6.0,6.0,0.0,,,,,,,,,,,,,,
264,PT04M00.00S,2024-01-24T01:55:00.7Z,2,REGULAR,turnover,traveling,[],203903,,,1610612762,62,46,2024-01-24T01:55:09Z,2580000,False,,,0,,J. Clarkson traveling TURNOVER (2 TO),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,2534.0,2.0,,,,,,,,,
265,PT04M00.00S,2024-01-24T01:55:05.1Z,2,REGULAR,substitution,out,[],1630700,,,1610612740,62,46,2024-01-24T01:55:19Z,2590000,False,,,0,,SUB out: D. Daniels,[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
266,PT04M00.00S,2024-01-24T01:55:05.1Z,2,REGULAR,substitution,out,[],203903,,,1610612740,62,46,2024-01-24T01:55:19Z,2600000,False,,,0,,SUB out: J. Clarkson,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,,
267,PT04M00.00S,2024-01-24T01:55:05.1Z,2,REGULAR,substitution,in,[],203468,,,1610612740,62,46,2024-01-24T01:55:19Z,2610000,False,,,0,,SUB in: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
268,PT04M00.00S,2024-01-24T01:55:05.1Z,2,REGULAR,substitution,in,[],1641718,,,1610612740,62,46,2024-01-24T01:55:19Z,2620000,False,,,0,,SUB in: K. George,[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,,,,,,,,,,,,,,,,,,,,,
269,PT03M51.00S,2024-01-24T01:55:31.2Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630530,28.597240473061763,77.94117647058823,1610612740,62,46,2024-01-24T01:55:36Z,2630000,False,-140.0,216.0,1,left,MISS T. Murphy III 25' 3PT,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Left Center,25.75,Missed,,,,,,,,,,,,,,,,,,
270,PT03M47.00S,2024-01-24T01:55:35.2Z,2,REGULAR,rebound,defensive,[],1631323,,,1610612762,62,46,2024-01-24T01:55:36Z,2640000,False,,,0,,S. Fontecchio REBOUND (Off:0 Def:1),[1631323],1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,Above the Break 3,24+ Left Center,,,269.0,1.0,1.0,0.0,,,,,,,,,,,,,,
271,PT03M40.00S,2024-01-24T01:55:47.8Z,2,REGULAR,foul,personal,[],1630529,,,1610612762,62,46,2024-01-24T01:55:54Z,2650000,False,,,0,,H. Jones personal FOUL (1 PF),"[1630529, 1628374]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,202007.0,,,,,1.0,0.0,Markkanen,1628374.0,,
273,PT03M33.00S,2024-01-24T01:56:11.2Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1628374,94.03745072273325,51.225490196078425,1610612762,62,48,2024-01-24T01:56:16Z,2670000,False,6.0,4.0,1,right,L. Markkanen alley-oop DUNK (9 PTS) (S. Fontecchio 1 AST),"[1628374, 1631323]",1610612762.0,UTA,alley-oop,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,0.7,Made,,,,,,,9.0,,,S. Fontecchio,1631323.0,1.0,,,,,,
275,PT03M17.00S,2024-01-24T01:56:27.1Z,2,REGULAR,3pt,Jump Shot,[],1630529,5.863994743758213,3.9215686274509802,1610612740,65,48,2024-01-24T01:56:32Z,2690000,False,230.0,3.0,1,left,H. Jones 3PT  (13 PTS) (B. Ingram 4 AST),"[1630529, 1627742]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,Right Corner 3,24+ Right,23.04,Made,,,,,,,13.0,,,B. Ingram,1627742.0,4.0,,,,,,
277,PT03M01.00S,2024-01-24T01:56:43.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628374,92.19776609724047,51.225490196078425,1610612762,65,48,2024-01-24T01:56:53Z,2710000,False,6.0,21.0,1,right,MISS L. Markkanen Layup - blocked,"[1628374, 203468]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,2.17,Missed,,,,,McCollum,203468.0,,,,,,,,,,,,
278,PT03M01.00S,2024-01-24T01:56:43.7Z,2,REGULAR,block,,[],203468,,,1610612762,65,48,2024-01-24T01:56:47Z,2720000,False,,,0,,C. McCollum BLOCK (1 BLK),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
279,PT03M01.00S,2024-01-24T01:56:43.7Z,2,REGULAR,rebound,offensive,[],1628374,,,1610612762,65,48,2024-01-24T01:56:53Z,2730000,False,,,0,,L. Markkanen REBOUND (Off:1 Def:2),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,,,277.0,3.0,2.0,1.0,,,,,,,,,,,,,,
280,PT03M01.00S,2024-01-24T01:56:49.2Z,2,REGULAR,foul,personal,['2freethrow'],1626204,,,1610612762,65,48,2024-01-24T01:57:03Z,2740000,False,,,0,,L. Nance Jr. shooting personal FOUL (2 PF) (Markkanen 2 FT),"[1626204, 1628374]",1610612740.0,NOP,shooting,,,Nance Jr.,L. Nance Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,2534.0,,,,,2.0,0.0,Markkanen,1628374.0,,
282,PT03M01.00S,2024-01-24T01:57:15.5Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1628374,,,1610612762,65,49,2024-01-24T01:57:15Z,2760000,False,,,0,,L. Markkanen Free Throw 1 of 2 (10 PTS),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,Made,,,,,,,10.0,,,,,,,,,,,
283,PT03M01.00S,2024-01-24T01:57:16.6Z,2,REGULAR,substitution,out,[],1630530,,,1610612762,65,49,2024-01-24T01:57:21Z,2770000,False,,,0,,SUB out: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
284,PT03M01.00S,2024-01-24T01:57:16.6Z,2,REGULAR,substitution,in,[],1629627,,,1610612762,65,49,2024-01-24T01:57:21Z,2780000,False,,,0,,SUB in: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
285,PT03M01.00S,2024-01-24T01:57:40.4Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1628374,,,1610612762,65,50,2024-01-24T01:57:40Z,2790000,False,,,0,,L. Markkanen Free Throw 2 of 2 (11 PTS),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,Made,,,,,,,11.0,,,,,,,,,,,
286,PT02M45.00S,2024-01-24T01:57:58.9Z,2,REGULAR,2pt,Jump Shot,[],1627742,22.421156373193167,49.26470588235294,1610612740,67,50,2024-01-24T01:58:04Z,2800000,False,4.0,158.0,1,left,B. Ingram 15' pullup Jump Shot (12 PTS),[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Center,15.83,Made,,,,,,,12.0,,,,,,,,,,,
287,PT02M33.00S,2024-01-24T01:58:10.1Z,2,REGULAR,3pt,Jump Shot,[],1629012,66.83639947437582,37.00980392156863,1610612762,67,50,2024-01-24T01:58:15Z,2810000,False,-65.0,259.0,1,right,MISS C. Sexton 26' 3PT,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Center,26.72,Missed,,,,,,,,,,,,,,,,,,
288,PT02M31.00S,2024-01-24T01:58:12.1Z,2,REGULAR,rebound,defensive,[],1626204,,,1610612740,67,50,2024-01-24T01:58:15Z,2820000,False,,,0,,L. Nance Jr. REBOUND (Off:0 Def:5),[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,Above the Break 3,24+ Center,,,287.0,5.0,5.0,0.0,,,,,,,,,,,,,,
289,PT02M26.00S,2024-01-24T01:58:17.1Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],203468,24.917871222076215,83.82352941176471,1610612740,70,50,2024-01-24T02:19:12Z,2830000,False,-169.0,182.0,1,left,C. McCollum 24' 3PT running pullup (17 PTS),[203468],1610612740.0,NOP,running pullup,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,24.82,Made,,,,,,,17.0,,,,,,,,,,,
290,PT02M26.00S,2024-01-24T01:58:31.9Z,2,REGULAR,foul,personal,['1freethrow'],1641718,,,1610612740,70,50,2024-01-24T01:59:40Z,2845000,False,,,0,,K. George shooting personal FOUL (1 PF) (McCollum 1 FT),"[1641718, 203468]",1610612762.0,UTA,shooting,,,George,K. George,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,2534.0,,,,,1.0,0.0,McCollum,203468.0,,
292,PT02M26.00S,2024-01-24T01:58:51.2Z,2,REGULAR,freethrow,1 of 1,['fastbreak'],203468,,,1610612740,70,50,2024-01-24T01:59:27Z,2860000,False,,,0,,MISS C. McCollum Free Throw 1 of 1,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
293,PT02M24.00S,2024-01-24T01:58:53.2Z,2,REGULAR,rebound,defensive,[],1628381,,,1610612762,70,50,2024-01-24T01:59:27Z,2870000,False,,,0,,J. Collins REBOUND (Off:0 Def:7),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,,,,,292.0,7.0,7.0,0.0,,,,,,,,,,,,,,
295,PT02M09.00S,2024-01-24T01:59:25.9Z,2,REGULAR,3pt,Jump Shot,[],1641718,96.00854139290408,2.941176470588235,1610612762,70,50,2024-01-24T01:59:40Z,2890000,False,-235.0,-15.0,1,right,MISS K. George 3PT,[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Left Corner 3,24+ Left,23.58,Missed,,,,,,,,,,,,,,,,,,
296,PT02M08.00S,2024-01-24T01:59:26.9Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612762,70,50,2024-01-24T01:59:40Z,2900000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,Left Corner 3,24+ Left,,,295.0,,,,,,,,,,,,,,,,,
297,PT02M08.00S,2024-01-24T01:59:34.9Z,2,REGULAR,foul,personal,[],1630529,,,1610612762,70,50,2024-01-24T01:59:48Z,2910000,False,,,0,,H. Jones loose ball personal FOUL (2 PF),"[1630529, 1628374]",1610612740.0,NOP,loose ball,,,Jones,H. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,2534.0,,,,,2.0,0.0,Markkanen,1628374.0,,
299,PT02M01.00S,2024-01-24T01:59:54.3Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1628381,74.45795006570303,17.15686274509804,1610612762,70,50,2024-01-24T01:59:59Z,2930000,False,-164.0,188.0,1,right,MISS J. Collins 24' 3PT,[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Left Center,24.93,Missed,,,,,,,,,,,,,,,,,,
300,PT01M57.00S,2024-01-24T01:59:58.3Z,2,REGULAR,rebound,defensive,[],1627742,,,1610612740,70,50,2024-01-24T01:59:59Z,2940000,False,,,0,,B. Ingram REBOUND (Off:1 Def:4),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Left Center,,,299.0,5.0,4.0,1.0,,,,,,,,,,,,,,
301,PT01M52.00S,2024-01-24T02:00:02.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627742,8.886333771353483,47.794117647058826,1610612740,70,50,2024-01-24T02:00:10Z,2950000,False,11.0,31.0,1,left,MISS B. Ingram running Layup - blocked,"[1627742, 1628381]",1610612740.0,NOP,running,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,3.29,Missed,,,,,Collins,1628381.0,,,,,,,,,,,,
302,PT01M52.00S,2024-01-24T02:00:02.7Z,2,REGULAR,block,,[],1628381,,,1610612740,70,50,2024-01-24T02:00:05Z,2960000,False,,,0,,J. Collins BLOCK (3 BLK),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
303,PT01M49.00S,2024-01-24T02:00:05.7Z,2,REGULAR,rebound,defensive,[],1641718,,,1610612762,70,50,2024-01-24T02:00:10Z,2970000,False,,,0,,K. George REBOUND (Off:0 Def:1),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Restricted Area,0-8 Center,,,301.0,1.0,1.0,0.0,,,,,,,,,,,,,,
304,PT01M46.00S,2024-01-24T02:00:10.2Z,2,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1628381,94.1688567674113,49.50980392156863,1610612762,70,52,2024-01-24T02:01:40Z,2980000,False,-2.0,2.0,1,right,J. Collins running reverse DUNK (2 PTS) (K. George 2 AST),"[1628381, 1641718]",1610612762.0,UTA,running reverse,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,0.34,Made,,,,,,,2.0,,,K. George,1641718.0,2.0,,,,,,
306,PT01M26.00S,2024-01-24T02:00:29.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,8.754927726675426,50.73529411764706,1610612740,70,52,2024-01-24T02:00:34Z,3000000,False,-4.0,30.0,1,left,MISS H. Jones driving Layup,[1630529],1610612740.0,NOP,driving,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,3.0,Missed,,,,,,,,,,,,,,,,,,
307,PT01M21.00S,2024-01-24T02:00:34.5Z,2,REGULAR,rebound,offensive,[],1630529,,,1610612740,70,52,2024-01-24T02:00:34Z,3010000,False,,,0,,H. Jones REBOUND (Off:2 Def:0),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,,,306.0,2.0,0.0,2.0,,,,,,,,,,,,,,
308,PT01M21.00S,2024-01-24T02:00:33.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630529,5.590000152587891,50.0,1610612740,72,52,2024-01-24T02:00:33Z,3020000,False,0.0,0.0,1,left,H. Jones putback Layup (15 PTS),[1630529],1610612740.0,NOP,putback,,,Jones,H. Jones,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,15.0,,,,,,,,,,,
309,PT01M12.00S,2024-01-24T02:00:42.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629012,93.9060446780552,50.98039215686274,1610612762,72,54,2024-01-24T02:00:48Z,3030000,False,5.0,5.0,1,right,C. Sexton driving Layup (14 PTS),[1629012],1610612762.0,UTA,driving,,,Sexton,C. Sexton,,,,,Restricted Area,0-8 Center,0.69,Made,,,,,,,14.0,,,,,,,,,,,
310,PT00M58.60S,2024-01-24T02:01:00.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626204,8.623521681997373,62.745098039215684,1610612740,74,54,2024-01-24T02:02:32Z,3040000,False,-64.0,29.0,1,left,L. Nance Jr. 6' turnaround fadeaway bank Jump Shot (7 PTS) (Z. Williamson 7 AST),"[1626204, 1629627]",1610612740.0,NOP,turnaround fadeaway bank,,,Nance Jr.,L. Nance Jr.,,,,,In The Paint (Non-RA),0-8 Center,6.98,Made,,,,,,,7.0,,,Z. Williamson,1629627.0,7.0,,,,,,
312,PT00M58.60S,2024-01-24T02:01:16.0Z,2,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1628381,,,1610612740,74,54,2024-01-24T02:01:26Z,3060000,False,,,0,,J. Collins shooting personal FOUL (1 PF) (Nance Jr. 1 FT),"[1628381, 1626204]",1610612762.0,UTA,shooting,,,Collins,J. Collins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1628954.0,,,,,1.0,0.0,Nance Jr.,1626204.0,,
314,PT00M58.60S,2024-01-24T02:01:29.5Z,2,REGULAR,freethrow,1 of 1,[],1626204,,,1610612740,75,54,2024-01-24T02:01:29Z,3080000,False,,,0,,L. Nance Jr. Free Throw 1 of 1 (8 PTS),[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,,,,Made,,,,,,,8.0,,,,,,,,,,,
315,PT00M48.40S,2024-01-24T02:01:42.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629012,91.40932982917214,49.50980392156863,1610612762,75,56,2024-01-24T02:01:48Z,3090000,False,-2.0,28.0,1,right,C. Sexton driving finger roll Layup (16 PTS),[1629012],1610612762.0,UTA,driving finger roll,,,Sexton,C. Sexton,,,,,Restricted Area,0-8 Center,2.84,Made,,,,,,,16.0,,,,,,,,,,,
316,PT00M37.00S,2024-01-24T02:01:57.0Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1626204,5.863994743758213,50.49019607843137,1610612740,77,56,2024-01-24T02:03:07Z,3100000,False,-2.0,3.0,1,left,L. Nance Jr. DUNK (10 PTS) (Z. Williamson 8 AST),"[1626204, 1629627]",1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,Restricted Area,0-8 Center,0.36,Made,,,,,,,10.0,,,Z. Williamson,1629627.0,8.0,,,,,,
318,PT00M32.10S,2024-01-24T02:02:11.0Z,2,REGULAR,3pt,Jump Shot,[],1631323,92.9862023653088,97.54901960784314,1610612762,77,59,2024-01-24T02:02:15Z,3120000,False,238.0,13.0,1,right,S. Fontecchio 3PT  (9 PTS) (C. Sexton 2 AST),"[1631323, 1629012]",1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,Right Corner 3,24+ Right,23.81,Made,,,,,,,9.0,,,C. Sexton,1629012.0,2.0,,,,,,
320,PT00M20.70S,2024-01-24T02:02:28.9Z,2,REGULAR,turnover,out-of-bounds,[],203468,,,1610612740,77,59,2024-01-24T02:07:01Z,3140000,False,,,0,,C. McCollum step out-of-bounds TURNOVER (1 TO),[203468],1610612740.0,NOP,step,,,McCollum,C. McCollum,,,,,Left Corner 3,24+ Left,,,,,,,,,,1628954.0,1.0,,,,,,,,,
328,PT00M20.50S,2024-01-24T02:02:34.7Z,2,REGULAR,turnover,out-of-bounds,[],1631323,,,1610612762,77,59,2024-01-24T02:07:44Z,3145000,False,,,0,,S. Fontecchio bad pass out-of-bounds TURNOVER (1 TO),[1631323],1610612762.0,UTA,bad pass,,,Fontecchio,S. Fontecchio,,,,,Left Corner 3,24+ Left,,,,,,,,,,1628954.0,1.0,,,,,,,,,
321,PT00M20.50S,2024-01-24T02:02:39.3Z,2,REGULAR,substitution,out,[],1626204,,,1610612740,77,59,2024-01-24T02:07:08Z,3150000,False,,,0,,SUB out: L. Nance Jr.,[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
322,PT00M20.50S,2024-01-24T02:02:39.3Z,2,REGULAR,substitution,in,[],1630530,,,1610612740,77,59,2024-01-24T02:07:08Z,3160000,False,,,0,,SUB in: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
323,PT00M20.50S,2024-01-24T02:02:52.9Z,2,REGULAR,substitution,out,[],203468,,,1610612740,77,59,2024-01-24T02:07:08Z,3170000,False,,,0,,SUB out: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
324,PT00M20.50S,2024-01-24T02:02:52.9Z,2,REGULAR,substitution,out,[],1630529,,,1610612740,77,59,2024-01-24T02:07:08Z,3180000,False,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
325,PT00M20.50S,2024-01-24T02:02:52.9Z,2,REGULAR,substitution,in,[],1630700,,,1610612740,77,59,2024-01-24T02:07:08Z,3190000,False,,,0,,SUB in: D. Daniels,[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
326,PT00M20.50S,2024-01-24T02:02:52.9Z,2,REGULAR,substitution,in,[],1630230,,,1610612740,77,59,2024-01-24T02:07:08Z,3200000,False,,,0,,SUB in: N. Marshall,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
329,PT00M20.50S,2024-01-24T02:03:38.1Z,2,REGULAR,substitution,out,[],1630700,,,1610612740,77,59,2024-01-24T02:07:08Z,3210000,False,,,0,,SUB out: D. Daniels,[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
330,PT00M20.50S,2024-01-24T02:03:38.1Z,2,REGULAR,substitution,out,[],1630230,,,1610612740,77,59,2024-01-24T02:07:08Z,3215000,False,,,0,,SUB out: N. Marshall,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
331,PT00M20.50S,2024-01-24T02:03:38.1Z,2,REGULAR,substitution,in,[],203468,,,1610612740,77,59,2024-01-24T02:07:08Z,3217500,False,,,0,,SUB in: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
332,PT00M20.50S,2024-01-24T02:03:38.1Z,2,REGULAR,substitution,in,[],1641722,,,1610612740,77,59,2024-01-24T02:07:08Z,3218750,False,,,0,,SUB in: J. Hawkins,[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,,,,,,,,,,,,,,,,,,,,,,
333,PT00M02.30S,2024-01-24T02:04:19.2Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1641722,24.917871222076215,14.705882352941178,1610612740,77,59,2024-01-24T02:07:00Z,3270000,False,176.0,182.0,1,left,MISS J. Hawkins 25' pullup 3PT - blocked,"[1641722, 1629012]",1610612740.0,NOP,pullup,,,Hawkins,J. Hawkins,,,,,Above the Break 3,24+ Right Center,25.33,Missed,,,,,Sexton,1629012.0,,,,,,,,,,,,
334,PT00M02.30S,2024-01-24T02:04:19.2Z,2,REGULAR,block,,[],1629012,,,1610612740,77,59,2024-01-24T02:04:24Z,3280000,False,,,0,,C. Sexton BLOCK (1 BLK),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
335,PT00M02.30S,2024-01-24T02:04:19.2Z,2,REGULAR,rebound,offensive,[],1630530,,,1610612740,77,59,2024-01-24T02:05:18Z,3290000,False,,,0,,T. Murphy III REBOUND (Off:1 Def:0),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,,,333.0,1.0,0.0,1.0,,,,,,,,,,,,,,
336,PT00M00.00S,2024-01-24T02:05:02.7Z,2,REGULAR,3pt,Jump Shot,"['2ndchance', 'fromturnover']",1630530,21.23850197109067,10.049019607843137,1610612740,77,59,2024-01-24T02:07:00Z,3300000,False,200.0,147.0,1,left,MISS T. Murphy III 24' step back 3PT,[1630530],1610612740.0,NOP,step back,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,24.81,Missed,,,,,,,,,,,,,,,,,,
337,PT00M00.00S,2024-01-24T02:05:05.6Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612740,77,59,2024-01-24T02:05:05Z,3310000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Above the Break 3,24+ Right Center,,,336.0,,,,,,,,,,,,,,,,,
338,PT00M00.00S,2024-01-24T02:05:09.6Z,2,REGULAR,period,end,[],0,,,1610612740,77,59,2024-01-24T02:05:09Z,3320000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,PT12M00.00S,2024-01-24T02:19:18.2Z,3,REGULAR,substitution,out,['startperiod'],1630530,,,1610612740,77,59,2024-01-24T02:19:43Z,3330000,False,,,0,,SUB out: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
340,PT12M00.00S,2024-01-24T02:19:18.2Z,3,REGULAR,substitution,out,['startperiod'],1641722,,,1610612740,77,59,2024-01-24T02:19:43Z,3340000,False,,,0,,SUB out: J. Hawkins,[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,,,,,,,,,,,,,,,,,,,,,,
