actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
245,PT08M09.00S,2024-02-15T01:49:23.1Z,2,REGULAR,substitution,in,[],1627742,,,1610612764,50,31,2024-02-15T01:49:42Z,2440000,False,,,0,,SUB in: B. Ingram,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,,,,,
246,PT08M09.00S,2024-02-15T01:49:23.1Z,2,REGULAR,substitution,in,[],1641731,,,1610612764,50,31,2024-02-15T01:49:42Z,2450000,False,,,0,,SUB in: B. Coulibaly,[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,,,,,,,,,,,,,,,,,,,,,,
247,PT08M02.00S,2024-02-15T01:49:57.3Z,2,REGULAR,3pt,Jump Shot,[],1630557,33.590670170827856,54.166666666666664,1610612764,50,34,2024-02-15T01:50:02Z,2460000,False,-21.0,263.0,1,left,C. Kispert 26' 3PT  (9 PTS) (T. Jones 3 AST),"[1630557, 1626145]",1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Center,26.41,Made,,,,,9.0,,,,,,,,,,,T. Jones,1626145.0,3.0
249,PT07M50.00S,2024-02-15T01:50:09.4Z,2,REGULAR,3pt,Jump Shot,[],1630530,70.90998685939553,77.69607843137256,1610612740,50,34,2024-02-15T01:50:15Z,2480000,False,138.0,221.0,1,right,MISS T. Murphy III 26' 3PT,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,26.07,Missed,,,,,,,,,,,,,,,,,,
250,PT07M45.00S,2024-02-15T01:50:14.4Z,2,REGULAR,rebound,defensive,[],1630166,,,1610612764,50,34,2024-02-15T01:50:15Z,2490000,False,,,0,,D. Avdija REBOUND (Off:1 Def:3),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Right Center,,,249.0,4.0,3.0,1.0,,,,,,,,,,,,,,
251,PT07M33.00S,2024-02-15T01:50:26.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628963,6.389618922470433,54.65686274509803,1610612764,50,34,2024-02-15T01:50:30Z,2500000,False,-23.0,8.0,1,left,MISS M. Bagley III Layup,[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,Restricted Area,0-8 Center,2.45,Missed,,,,,,,,,,,,,,,,,,
252,PT07M30.00S,2024-02-15T01:50:29.1Z,2,REGULAR,rebound,defensive,[],1629627,,,1610612740,50,34,2024-02-15T01:50:30Z,2510000,False,,,0,,Z. Williamson REBOUND (Off:1 Def:2),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,251.0,3.0,2.0,1.0,,,,,,,,,,,,,,
253,PT07M21.00S,2024-02-15T01:50:37.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,93.9060446780552,53.67647058823529,1610612740,50,34,2024-02-15T01:50:41Z,2520000,False,18.0,5.0,1,right,MISS Z. Williamson driving Layup,[1629627],1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,1.9,Missed,,,,,,,,,,,,,,,,,,
254,PT07M19.00S,2024-02-15T01:50:39.5Z,2,REGULAR,rebound,defensive,[],1630166,,,1610612764,50,34,2024-02-15T01:50:41Z,2530000,False,,,0,,D. Avdija REBOUND (Off:1 Def:4),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,,,253.0,5.0,4.0,1.0,,,,,,,,,,,,,,
255,PT07M16.00S,2024-02-15T01:50:42.9Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1641731,6.389618922470433,49.754901960784316,1610612764,50,36,2024-02-15T01:50:50Z,2540000,False,1.0,8.0,1,left,B. Coulibaly running DUNK (2 PTS) (M. Bagley III 2 AST),"[1641731, 1628963]",1610612764.0,WAS,running,,,Coulibaly,B. Coulibaly,,,,,Restricted Area,0-8 Center,0.77,Made,,,,,2.0,,,,,,,,,,,M. Bagley III,1628963.0,2.0
257,PT07M16.00S,2024-02-15T01:50:49.6Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,50,36,2024-02-15T01:50:49Z,2560000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,PT07M16.00S,2024-02-15T01:53:10.1Z,2,REGULAR,substitution,out,[],1629627,,,1610612740,50,36,2024-02-15T01:53:37Z,2570000,False,,,0,,SUB out: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
259,PT07M16.00S,2024-02-15T01:53:10.1Z,2,REGULAR,substitution,out,[],1630230,,,1610612740,50,36,2024-02-15T01:53:37Z,2580000,False,,,0,,SUB out: N. Marshall,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
260,PT07M16.00S,2024-02-15T01:53:10.1Z,2,REGULAR,substitution,out,[],1630530,,,1610612740,50,36,2024-02-15T01:53:37Z,2590000,False,,,0,,SUB out: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
261,PT07M16.00S,2024-02-15T01:53:10.1Z,2,REGULAR,substitution,in,[],203468,,,1610612740,50,36,2024-02-15T01:53:37Z,2600000,False,,,0,,SUB in: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
262,PT07M16.00S,2024-02-15T01:53:10.1Z,2,REGULAR,substitution,in,[],202685,,,1610612740,50,36,2024-02-15T01:53:37Z,2610000,False,,,0,,SUB in: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,,
263,PT07M16.00S,2024-02-15T01:53:10.1Z,2,REGULAR,substitution,in,[],1630529,,,1610612740,50,36,2024-02-15T01:53:37Z,2620000,False,,,0,,SUB in: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
264,PT07M01.00S,2024-02-15T01:53:52.5Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],202685,95.0886990801577,49.26470588235294,1610612740,52,36,2024-02-15T01:53:57Z,2630000,False,-4.0,-6.0,1,right,J. Valanciunas cutting DUNK (4 PTS) (B. Ingram 2 AST),"[202685, 1627742]",1610612740.0,NOP,cutting,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,0.73,Made,,,,,4.0,,,,,,,,,,,B. Ingram,1627742.0,2.0
266,PT06M46.00S,2024-02-15T01:54:06.6Z,2,REGULAR,3pt,Jump Shot,[],1628963,26.231931668856767,84.06862745098039,1610612764,52,39,2024-02-15T01:54:11Z,2650000,False,-170.0,194.0,1,left,M. Bagley III 25' 3PT  (9 PTS) (B. Coulibaly 1 AST),"[1628963, 1641731]",1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,Above the Break 3,24+ Left Center,25.82,Made,,,,,9.0,,,,,,,,,,,B. Coulibaly,1641731.0,1.0
268,PT06M25.00S,2024-02-15T01:54:27.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,89.70105124835742,55.392156862745104,1610612740,54,39,2024-02-15T01:54:32Z,2670000,False,27.0,44.0,1,right,C. McCollum driving floating Jump Shot (13 PTS) (J. Valanciunas 3 AST),"[203468, 202685]",1610612740.0,NOP,driving floating,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),0-8 Center,5.19,Made,,,,,13.0,,,,,,,,,,,J. Valanciunas,202685.0,3.0
270,PT06M10.00S,2024-02-15T01:54:46.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630557,7.5722733245729295,48.77450980392157,1610612764,54,39,2024-02-15T01:59:28Z,2690000,False,6.0,19.0,1,left,MISS C. Kispert driving Layup,[1630557],1610612764.0,WAS,driving,,,Kispert,C. Kispert,,,,,Restricted Area,0-8 Center,1.97,Missed,,,,,,,,,,,,,,,,,,
271,PT06M09.00S,2024-02-15T01:54:47.8Z,2,REGULAR,rebound,offensive,[],1628963,,,1610612764,54,39,2024-02-15T01:59:28Z,2700000,False,,,0,,M. Bagley III REBOUND (Off:5 Def:0),[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,Restricted Area,0-8 Center,,,270.0,5.0,0.0,5.0,,,,,,,,,,,,,,
280,PT06M07.00S,2024-02-15T01:55:25.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628963,8.804204993429698,45.611213235294116,1610612764,54,39,2024-02-15T01:59:43Z,2705000,False,22.0,30.0,1,left,MISS M. Bagley III tip Layup,[1628963],1610612764.0,WAS,tip,,,Bagley III,M. Bagley III,,,,,Restricted Area,0-8 Center,3.74,Missed,,,,,,,,,,,,,,,,,,
281,PT06M05.00S,2024-02-15T01:55:27.8Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612764,54,39,2024-02-15T01:59:43Z,2707500,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Restricted Area,0-8 Center,,,280.0,,,,,,,,,,,,,,,,,
272,PT06M05.00S,2024-02-15T01:55:26.9Z,2,REGULAR,foul,personal,[],1630529,,,1610612764,54,39,2024-02-15T02:00:34Z,2710000,False,,,0,,H. Jones loose ball personal FOUL (3 PF),"[1630529, 1628963]",1610612740.0,NOP,loose ball,,,Jones,H. Jones,,,,,Mid-Range,8-16 Right,,,,,,,,201245.0,3.0,0.0,Bagley III,1628963.0,,,,,,,,
274,PT06M05.00S,2024-02-15T01:55:27.1Z,2,REGULAR,substitution,out,[],1630529,,,1610612764,54,39,2024-02-15T01:55:18Z,2730000,False,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
275,PT06M05.00S,2024-02-15T01:55:27.1Z,2,REGULAR,substitution,in,[],1630530,,,1610612764,54,39,2024-02-15T01:55:18Z,2740000,False,,,0,,SUB in: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
276,PT05M58.00S,2024-02-15T01:55:27.4Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1630557,25.18068331143233,83.33333333333334,1610612764,54,39,2024-02-15T01:56:07Z,2750000,False,-167.0,184.0,1,left,MISS C. Kispert 24' 3PT,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Left Center,24.84,Missed,,,,,,,,,,,,,,,,,,
277,PT05M54.00S,2024-02-15T01:55:31.4Z,2,REGULAR,rebound,defensive,[],202685,,,1610612740,54,39,2024-02-15T01:55:33Z,2760000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:3),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Left Center,,,276.0,4.0,3.0,1.0,,,,,,,,,,,,,,
278,PT05M45.00S,2024-02-15T01:55:45.2Z,2,REGULAR,foul,personal,[],1628963,,,1610612740,54,39,2024-02-15T01:56:11Z,2770000,False,,,0,,M. Bagley III personal FOUL (1 PF),"[1628963, 202685]",1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,Mid-Range,8-16 Right,,,,,,,,1630886.0,1.0,0.0,Valanciunas,202685.0,,,,,,,,
282,PT05M39.00S,2024-02-15T01:56:07.7Z,2,REGULAR,2pt,Jump Shot,[],1627742,78.79434954007884,36.76470588235294,1610612740,54,39,2024-02-15T01:56:49Z,2790000,False,-66.0,147.0,1,right,MISS B. Ingram 16' Jump Shot,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Left Center,16.1,Missed,,,,,,,,,,,,,,,,,,
283,PT05M34.00S,2024-02-15T01:56:12.7Z,2,REGULAR,rebound,defensive,[],1630557,,,1610612764,54,39,2024-02-15T01:56:20Z,2800000,False,,,0,,C. Kispert REBOUND (Off:0 Def:1),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Mid-Range,16-24 Left Center,,,282.0,1.0,1.0,0.0,,,,,,,,,,,,,,
284,PT05M32.00S,2024-02-15T01:56:14.9Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1641731,6.258212877792378,50.0,1610612764,54,41,2024-02-15T01:56:29Z,2810000,False,0.0,6.0,1,left,B. Coulibaly running alley-oop DUNK (4 PTS) (T. Jones 4 AST),"[1641731, 1626145]",1610612764.0,WAS,running alley-oop,,,Coulibaly,B. Coulibaly,,,,,Restricted Area,0-8 Center,0.63,Made,,,,,4.0,,,,,,,,,,,T. Jones,1626145.0,4.0
286,PT05M17.00S,2024-02-15T01:56:29.8Z,2,REGULAR,3pt,Jump Shot,[],203468,70.38436268068331,24.264705882352942,1610612740,54,41,2024-02-15T01:56:40Z,2830000,False,-129.0,226.0,1,right,MISS C. McCollum 26' step back 3PT,[203468],1610612740.0,NOP,step back,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,26.0,Missed,,,,,,,,,,,,,,,,,,
287,PT05M12.00S,2024-02-15T01:56:34.8Z,2,REGULAR,rebound,defensive,[],1641731,,,1610612764,54,41,2024-02-15T01:56:40Z,2840000,False,,,0,,B. Coulibaly REBOUND (Off:0 Def:2),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Above the Break 3,24+ Left Center,,,286.0,2.0,2.0,0.0,,,,,,,,,,,,,,
288,PT05M02.00S,2024-02-15T01:56:44.8Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1630166,8.229303547963205,49.26470588235294,1610612764,54,41,2024-02-15T01:56:50Z,2850000,False,4.0,25.0,1,left,MISS D. Avdija driving Hook,[1630166],1610612764.0,WAS,driving,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,2.52,Missed,,,,,,,,,,,,,,,,,,
289,PT04M58.00S,2024-02-15T01:56:48.9Z,2,REGULAR,rebound,defensive,[],1630631,,,1610612740,54,41,2024-02-15T01:56:48Z,2860000,False,,,0,,J. Alvarado REBOUND (Off:0 Def:2),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Restricted Area,0-8 Center,,,288.0,2.0,2.0,0.0,,,,,,,,,,,,,,
292,PT04M57.00S,2024-02-15T01:57:13.2Z,2,REGULAR,timeout,challenge,['team'],0,,,1610612740,54,41,2024-02-15T02:00:31Z,2890000,False,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,PT04M57.00S,2024-02-15T01:57:57.7Z,2,REGULAR,substitution,out,[],1630631,,,1610612740,54,41,2024-02-15T02:02:47Z,2902500,False,,,0,,SUB out: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,,
317,PT04M57.00S,2024-02-15T01:57:57.7Z,2,REGULAR,substitution,out,[],1630557,,,1610612740,54,41,2024-02-15T02:02:47Z,2903750,False,,,0,,SUB out: C. Kispert,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,,,,,,,,,
318,PT04M57.00S,2024-02-15T01:57:57.7Z,2,REGULAR,substitution,in,[],1629627,,,1610612740,54,41,2024-02-15T02:02:47Z,2904375,False,,,0,,SUB in: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
319,PT04M57.00S,2024-02-15T01:57:57.7Z,2,REGULAR,substitution,in,[],1629673,,,1610612740,54,41,2024-02-15T02:02:47Z,2904687,False,,,0,,SUB in: J. Poole,[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,,
295,PT04M42.00S,2024-02-15T02:00:33.7Z,2,REGULAR,3pt,Jump Shot,[],203468,79.05716162943496,89.70588235294117,1610612740,57,41,2024-02-15T02:00:39Z,2920000,False,199.0,144.0,1,right,C. McCollum 24' 3PT  (16 PTS) (B. Ingram 3 AST),"[203468, 1627742]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,24.55,Made,,,,,16.0,,,,,,,,,,,B. Ingram,1627742.0,3.0
297,PT04M21.00S,2024-02-15T02:00:56.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630166,6.652431011826544,47.30392156862745,1610612764,57,43,2024-02-15T02:01:46Z,2940000,False,13.0,10.0,1,left,D. Avdija driving Layup (10 PTS),[1630166],1610612764.0,WAS,driving,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,1.68,Made,,,,,10.0,,,,,,,,,,,,,
298,PT04M10.00S,2024-02-15T02:01:04.6Z,2,REGULAR,3pt,Jump Shot,[],1630530,72.61826544021025,83.08823529411765,1610612740,60,43,2024-02-15T02:01:12Z,2950000,False,165.0,205.0,1,right,T. Murphy III 26' 3PT  (6 PTS) (Z. Williamson 3 AST),"[1630530, 1629627]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,26.33,Made,,,,,6.0,,,,,,,,,,,Z. Williamson,1629627.0,3.0
300,PT03M57.00S,2024-02-15T02:01:17.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1641731,6.258212877792378,45.83333333333333,1610612764,60,45,2024-02-15T02:02:41Z,2970000,False,21.0,6.0,1,left,B. Coulibaly reverse Layup (6 PTS) (J. Poole 2 AST),"[1641731, 1629673]",1610612764.0,WAS,reverse,,,Coulibaly,B. Coulibaly,,,,,Restricted Area,0-8 Center,2.17,Made,,,,,6.0,,,,,,,,,,,J. Poole,1629673.0,2.0
302,PT03M47.00S,2024-02-15T02:01:28.5Z,2,REGULAR,3pt,Jump Shot,[],203468,69.20170827858082,28.186274509803923,1610612740,60,45,2024-02-15T02:01:33Z,2990000,False,-109.0,237.0,1,right,MISS C. McCollum 26' 3PT,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,26.09,Missed,,,,,,,,,,,,,,,,,,
303,PT03M42.00S,2024-02-15T02:01:33.0Z,2,REGULAR,rebound,offensive,[],202685,,,1610612740,60,45,2024-02-15T02:01:33Z,3000000,False,,,0,,J. Valanciunas REBOUND (Off:2 Def:3),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Left Center,,,302.0,5.0,3.0,2.0,,,,,,,,,,,,,,
304,PT03M42.00S,2024-02-15T02:01:33.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202685,94.40999984741211,50.0,1610612740,62,45,2024-02-15T02:01:33Z,3010000,False,0.0,0.0,1,right,J. Valanciunas putback Layup (6 PTS),[202685],1610612740.0,NOP,putback,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,6.0,,,,,,,,,,,,,
305,PT03M32.00S,2024-02-15T02:01:42.8Z,2,REGULAR,turnover,bad pass,[],1626145,,,1610612764,62,45,2024-02-15T02:01:46Z,3020000,False,,,0,,T. Jones bad pass TURNOVER (1 TO),"[1626145, 1627742]",1610612764.0,WAS,,,,Jones,T. Jones,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,1.0,,,Ingram,1627742.0,,,
306,PT03M32.00S,2024-02-15T02:01:42.8Z,2,REGULAR,steal,,[],1627742,,,1610612740,62,45,2024-02-15T02:01:44Z,3030000,False,,,0,,B. Ingram STEAL (1 STL),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
307,PT03M27.00S,2024-02-15T02:01:48.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629627,94.30026281208936,46.81372549019608,1610612740,64,45,2024-02-15T02:01:59Z,3040000,False,-16.0,1.0,1,right,Z. Williamson running Layup (18 PTS) (C. McCollum 2 AST),"[1629627, 203468]",1610612740.0,NOP,running,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,1.59,Made,,,,,18.0,,,,,,,,,,,C. McCollum,203468.0,2.0
309,PT03M10.00S,2024-02-15T02:02:07.0Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203468,,,1610612764,64,45,2024-02-15T02:02:23Z,3060000,False,,,0,,C. McCollum shooting personal FOUL (2 PF) (Avdija 2 FT),"[203468, 1630166]",1610612740.0,NOP,shooting,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,201245.0,2.0,0.0,Avdija,1630166.0,,,,,,,,
311,PT03M10.00S,2024-02-15T02:02:37.1Z,2,REGULAR,freethrow,1 of 2,[],1630166,,,1610612764,64,46,2024-02-15T02:03:02Z,3080000,False,,,0,,D. Avdija Free Throw 1 of 2 (11 PTS),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,Made,,,,,11.0,,,,,,,,,,,,,
320,PT03M10.00S,2024-02-15T02:02:49.4Z,2,REGULAR,substitution,out,[],1641731,,,1610612764,64,46,2024-02-15T02:02:57Z,3090000,False,,,0,,SUB out: B. Coulibaly,[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,,,,,,,,,,,,,,,,,,,,,,
321,PT03M10.00S,2024-02-15T02:02:49.4Z,2,REGULAR,substitution,in,[],1630557,,,1610612764,64,46,2024-02-15T02:02:57Z,3100000,False,,,0,,SUB in: C. Kispert,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,,,,,,,,,
322,PT03M10.00S,2024-02-15T02:02:37.1Z,2,REGULAR,freethrow,2 of 2,[],1630166,,,1610612764,64,46,2024-02-15T02:03:02Z,3110000,False,,,0,,MISS D. Avdija Free Throw 2 of 2,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
323,PT03M08.00S,2024-02-15T02:02:39.1Z,2,REGULAR,rebound,defensive,[],203468,,,1610612740,64,46,2024-02-15T02:03:02Z,3120000,False,,,0,,C. McCollum REBOUND (Off:0 Def:2),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,322.0,2.0,2.0,0.0,,,,,,,,,,,,,,
324,PT02M51.00S,2024-02-15T02:03:18.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,94.82588699080158,51.225490196078425,1610612740,66,46,2024-02-15T02:03:25Z,3130000,False,6.0,-4.0,1,right,Z. Williamson driving Layup (20 PTS),[1629627],1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,0.72,Made,,,,,20.0,,,,,,,,,,,,,
326,PT02M26.00S,2024-02-15T02:03:42.7Z,2,REGULAR,3pt,Jump Shot,[],1626145,24.129434954007884,12.990196078431374,1610612764,66,49,2024-02-15T02:03:47Z,3150000,False,185.0,174.0,1,left,T. Jones 25' 3PT  (3 PTS) (C. Kispert 4 AST),"[1626145, 1630557]",1610612764.0,WAS,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Right Center,25.42,Made,,,,,3.0,,,,,,,,,,,C. Kispert,1630557.0,4.0
328,PT02M16.00S,2024-02-15T02:03:53.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202685,93.9060446780552,51.9607843137255,1610612740,68,49,2024-02-15T02:03:58Z,3170000,False,10.0,5.0,1,right,J. Valanciunas reverse Layup (8 PTS) (C. McCollum 3 AST),"[202685, 203468]",1610612740.0,NOP,reverse,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,1.09,Made,,,,,8.0,,,,,,,,,,,C. McCollum,203468.0,3.0
330,PT01M59.00S,2024-02-15T02:04:10.1Z,2,REGULAR,3pt,Jump Shot,[],1630557,26.10052562417871,84.06862745098039,1610612764,68,52,2024-02-15T02:04:14Z,3190000,False,-170.0,193.0,1,left,C. Kispert 25' 3PT  (12 PTS) (T. Jones 5 AST),"[1630557, 1626145]",1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Left Center,25.72,Made,,,,,12.0,,,,,,,,,,,T. Jones,1626145.0,5.0
332,PT01M45.00S,2024-02-15T02:04:24.0Z,2,REGULAR,3pt,Jump Shot,[],1630530,66.96780551905388,53.431372549019606,1610612740,68,52,2024-02-15T02:05:23Z,3210000,False,17.0,258.0,1,right,MISS T. Murphy III 25' pullup 3PT,[1630530],1610612740.0,NOP,pullup,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Center,25.86,Missed,,,,,,,,,,,,,,,,,,
333,PT01M41.00S,2024-02-15T02:04:27.4Z,2,REGULAR,rebound,offensive,[],1629627,,,1610612740,68,52,2024-02-15T02:04:27Z,3220000,False,,,0,,Z. Williamson REBOUND (Off:2 Def:2),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Above the Break 3,24+ Center,,,332.0,4.0,2.0,2.0,,,,,,,,,,,,,,
334,PT01M38.00S,2024-02-15T02:04:30.4Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],203468,95.87713534822602,95.09803921568627,1610612740,68,52,2024-02-15T02:07:28Z,3230000,False,225.0,-14.0,1,right,MISS C. McCollum pullup 3PT,[203468],1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,Right Corner 3,24+ Right,22.59,Missed,,,,,,,,,,,,,,,,,,
335,PT01M34.00S,2024-02-15T02:04:34.4Z,2,REGULAR,rebound,defensive,[],1628963,,,1610612764,68,52,2024-02-15T02:04:36Z,3240000,False,,,0,,M. Bagley III REBOUND (Off:5 Def:1),[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,Right Corner 3,24+ Right,,,334.0,6.0,1.0,5.0,,,,,,,,,,,,,,
336,PT01M28.00S,2024-02-15T02:04:41.5Z,2,REGULAR,turnover,bad pass,[],1630166,,,1610612764,68,52,2024-02-15T02:04:45Z,3250000,False,,,0,,D. Avdija bad pass TURNOVER (1 TO),"[1630166, 1627742]",1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,1.0,,,Ingram,1627742.0,,,
337,PT01M28.00S,2024-02-15T02:04:41.5Z,2,REGULAR,steal,,[],1627742,,,1610612740,68,52,2024-02-15T02:04:43Z,3260000,False,,,0,,B. Ingram STEAL (2 STL),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
