actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
248,PT06M41.00S,2025-02-05T03:51:59.2Z,2,REGULAR,freethrow,1 of 1,['fastbreak'],1631097,,,1610612754,34,28,2025-02-05T03:52:02Z,2440000,False,,,0,,MISS B. Mathurin Free Throw 1 of 1,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
249,PT06M39.00S,2025-02-05T03:52:01.2Z,2,REGULAR,rebound,defensive,[],1629028,,,1610612757,34,28,2025-02-05T03:52:02Z,2450000,False,,,0,,D. Ayton REBOUND (Off:0 Def:6),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,,,,,,,,248.0,6.0,6.0,0.0,,,,,,,,,,,
250,PT06M27.00S,2025-02-05T03:52:16.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203924,8.886333771353483,52.20588235294118,1610612757,34,28,2025-02-05T03:52:29Z,2460000,False,-11.0,31.0,1,left,MISS J. Grant driving Layup - blocked,"[203924, 1630167]",1610612757.0,POR,driving,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,3.29,Missed,,,,,,,,,,,,,,,,,Toppin,1630167.0
251,PT06M27.00S,2025-02-05T03:52:16.4Z,2,REGULAR,block,,[],1630167,,,1610612757,34,28,2025-02-05T03:53:00Z,2470000,False,,,0,,O. Toppin BLOCK (1 BLK),[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
252,PT06M27.00S,2025-02-05T03:52:16.4Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612757,34,28,2025-02-05T03:52:29Z,2480000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Restricted Area,0-8 Center,,,,,,250.0,,,,,,,,,,,,,,
256,PT06M21.00S,2025-02-05T03:52:37.6Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1631101,24.26084099868594,13.725490196078432,1610612757,34,28,2025-02-05T04:04:50Z,2500000,False,181.0,176.0,1,left,MISS S. Sharpe 25' step back 3PT,[1631101],1610612757.0,POR,step back,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Right Center,25.25,Missed,,,,,,,,,,,,,,,,,,
257,PT06M20.00S,2025-02-05T03:52:38.6Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612754,34,28,2025-02-05T03:52:42Z,2510000,False,,,0,,TEAM defensive REBOUND,[],1610612754.0,IND,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,256.0,,,,,,,,,,,,,,
259,PT05M56.00S,2025-02-05T03:53:09.3Z,2,REGULAR,3pt,Jump Shot,[],1629614,75.64060446780552,87.99019607843137,1610612754,34,28,2025-02-05T04:06:20Z,2530000,False,190.0,176.0,1,right,MISS A. Nembhard 25' pullup 3PT,[1629614],1610612754.0,IND,pullup,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Right Center,25.93,Missed,,,,,,,,,,,,,,,,,,
260,PT05M53.00S,2025-02-05T03:53:12.3Z,2,REGULAR,rebound,defensive,[],1630703,,,1610612757,34,28,2025-02-05T03:53:15Z,2540000,False,,,0,,S. Henderson REBOUND (Off:1 Def:5),[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,Above the Break 3,24+ Right Center,,,,,,259.0,6.0,5.0,1.0,,,,,,,,,,,
261,PT05M36.00S,2025-02-05T03:53:30.3Z,2,REGULAR,2pt,Jump Shot,[],1631101,21.107095926412615,49.50980392156863,1610612757,36,28,2025-02-05T03:53:35Z,2550000,False,2.0,146.0,1,left,S. Sharpe 14' fadeaway Jump Shot (8 PTS) (S. Henderson 1 AST),"[1631101, 1630703]",1610612757.0,POR,fadeaway,,,Sharpe,S. Sharpe,,,,,Mid-Range,8-16 Center,14.59,Made,8.0,,,,,,,,,,,,,S. Henderson,1630703.0,1.0,,
262,PT05M20.00S,2025-02-05T03:53:48.7Z,2,REGULAR,foul,personal,[],1629028,,,1610612754,36,28,2025-02-05T03:53:57Z,2560000,False,,,0,,D. Ayton personal FOUL (2 PF),"[1629028, 1631097]",1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Mid-Range,8-16 Right,,,,1628159.0,,,,,,,,2.0,0.0,Mathurin,1631097.0,,,,,
264,PT05M08.00S,2025-02-05T03:54:20.7Z,2,REGULAR,foul,personal,['2freethrow'],1629028,,,1610612754,36,28,2025-02-05T03:54:26Z,2580000,False,,,0,,D. Ayton shooting personal FOUL (3 PF) (Bryant 2 FT),"[1629028, 1628418]",1610612757.0,POR,shooting,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,,,,1628159.0,,,,,,,,3.0,0.0,Bryant,1628418.0,,,,,
266,PT05M08.00S,2025-02-05T03:54:51.0Z,2,REGULAR,freethrow,1 of 2,[],1628418,,,1610612754,36,29,2025-02-05T03:54:51Z,2600000,False,,,0,,T. Bryant Free Throw 1 of 2 (2 PTS),[1628418],1610612754.0,IND,,,,Bryant,T. Bryant,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
267,PT05M08.00S,2025-02-05T03:55:11.8Z,2,REGULAR,freethrow,2 of 2,[],1628418,,,1610612754,36,30,2025-02-05T03:55:11Z,2610000,False,,,0,,T. Bryant Free Throw 2 of 2 (3 PTS),[1628418],1610612754.0,IND,,,,Bryant,T. Bryant,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
268,PT04M50.00S,2025-02-05T03:55:34.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,11.383048620236531,44.6078431372549,1610612757,36,30,2025-02-05T04:10:33Z,2620000,False,27.0,55.0,1,left,MISS D. Ayton 6' Jump Shot,[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,6.08,Missed,,,,,,,,,,,,,,,,,,
269,PT04M48.00S,2025-02-05T03:55:36.1Z,2,REGULAR,rebound,offensive,[],1641739,,,1610612757,36,30,2025-02-05T04:10:28Z,2630000,False,,,0,,T. Camara REBOUND (Off:3 Def:0),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,In The Paint (Non-RA),0-8 Center,,,,,,268.0,3.0,0.0,3.0,,,,,,,,,,,
270,PT04M48.00S,2025-02-05T03:55:36.5Z,2,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1641739,5.590000152587891,50.0,1610612757,36,30,2025-02-05T03:55:54Z,2640000,False,0.0,0.0,1,left,MISS T. Camara tip DUNK,[1641739],1610612757.0,POR,tip,,,Camara,T. Camara,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
271,PT04M47.00S,2025-02-05T03:55:37.5Z,2,REGULAR,rebound,offensive,[],1629028,,,1610612757,36,30,2025-02-05T03:55:54Z,2650000,False,,,0,,D. Ayton REBOUND (Off:1 Def:6),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,,,,,,270.0,7.0,6.0,1.0,,,,,,,,,,,
272,PT04M45.00S,2025-02-05T03:55:38.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629028,7.178055190538765,50.0,1610612757,38,30,2025-02-05T04:10:37Z,2660000,False,0.0,15.0,1,left,D. Ayton putback Layup (4 PTS),[1629028],1610612757.0,POR,putback,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,1.5,Made,4.0,,,,,,,,,,,,,,,,,
273,PT04M34.00S,2025-02-05T03:55:50.9Z,2,REGULAR,turnover,bad pass,[],1629614,,,1610612754,38,30,2025-02-05T03:55:56Z,2670000,False,,,0,,A. Nembhard bad pass TURNOVER (1 TO),"[1629614, 1629028]",1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),8-16 Right,,,,,1.0,,,,,Ayton,1629028.0,,,,,,,,,
274,PT04M34.00S,2025-02-05T03:55:50.9Z,2,REGULAR,steal,,[],1629028,,,1610612757,38,30,2025-02-05T03:55:52Z,2680000,False,,,0,,D. Ayton STEAL (1 STL),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
275,PT04M31.00S,2025-02-05T03:55:55.3Z,2,REGULAR,turnover,out-of-bounds,[],203924,,,1610612757,38,30,2025-02-05T03:56:00Z,2690000,False,,,0,,J. Grant lost ball out-of-bounds TURNOVER (1 TO),[203924],1610612757.0,POR,lost ball,,,Grant,J. Grant,,,,,Above the Break 3,24+ Right Center,,,,101284.0,1.0,,,,,,,,,,,,,,,
276,PT04M11.00S,2025-02-05T03:56:20.9Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1629614,79.97700394218134,25.49019607843137,1610612754,38,32,2025-02-05T03:56:25Z,2700000,False,-123.0,136.0,1,right,A. Nembhard 18' pullup Jump Shot (5 PTS),[1629614],1610612754.0,IND,pullup,,,Nembhard,A. Nembhard,,,,,Mid-Range,16-24 Left Center,18.28,Made,5.0,,,,,,,,,,,,,,,,,
277,PT03M54.00S,2025-02-05T03:56:37.8Z,2,REGULAR,turnover,lost ball,[],1641739,,,1610612757,38,32,2025-02-05T03:56:44Z,2710000,False,,,0,,T. Camara lost ball TURNOVER (3 TO),"[1641739, 1628418]",1610612757.0,POR,,,,Camara,T. Camara,,,,,In The Paint (Non-RA),0-8 Center,,,,,3.0,,,,,Bryant,1628418.0,,,,,,,,,
278,PT03M54.00S,2025-02-05T03:56:37.8Z,2,REGULAR,steal,,[],1628418,,,1610612754,38,32,2025-02-05T03:56:40Z,2720000,False,,,0,,T. Bryant STEAL (1 STL),[1628418],1610612754.0,IND,,,,Bryant,T. Bryant,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
279,PT03M48.00S,2025-02-05T03:56:43.9Z,2,REGULAR,turnover,bad pass,[],1630167,,,1610612754,38,32,2025-02-05T03:56:47Z,2730000,False,,,0,,O. Toppin bad pass TURNOVER (1 TO),"[1630167, 1641739]",1610612754.0,IND,,,,Toppin,O. Toppin,,,,,Above the Break 3,24+ Right Center,,,,,1.0,,,,,Camara,1641739.0,,,,,,,,,
280,PT03M48.00S,2025-02-05T03:56:43.9Z,2,REGULAR,steal,,[],1641739,,,1610612757,38,32,2025-02-05T03:56:45Z,2740000,False,,,0,,T. Camara STEAL (1 STL),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
281,PT03M42.00S,2025-02-05T03:56:51.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631101,7.046649145860711,54.166666666666664,1610612757,38,32,2025-02-05T03:57:04Z,2750000,False,-21.0,14.0,1,left,MISS S. Sharpe running Layup - blocked,"[1631101, 1630169]",1610612757.0,POR,running,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,2.49,Missed,,,,,,,,,,,,,,,,,Haliburton,1630169.0
282,PT03M42.00S,2025-02-05T03:56:51.5Z,2,REGULAR,block,,[],1630169,,,1610612757,38,32,2025-02-05T03:56:54Z,2760000,False,,,0,,T. Haliburton BLOCK (2 BLK),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
283,PT03M42.00S,2025-02-05T03:56:51.5Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612757,38,32,2025-02-05T03:57:04Z,2770000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Restricted Area,0-8 Center,,,,,,281.0,,,,,,,,,,,,,,
285,PT03M42.00S,2025-02-05T03:56:56.5Z,2,REGULAR,substitution,out,[],1630703,,,1610612757,38,32,2025-02-05T03:57:23Z,2790000,False,,,0,,SUB out: S. Henderson,[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,
286,PT03M42.00S,2025-02-05T03:56:56.5Z,2,REGULAR,substitution,out,[],1630167,,,1610612757,38,32,2025-02-05T03:57:23Z,2800000,False,,,0,,SUB out: O. Toppin,[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,
287,PT03M42.00S,2025-02-05T03:56:56.5Z,2,REGULAR,substitution,out,[],1628418,,,1610612757,38,32,2025-02-05T03:57:23Z,2810000,False,,,0,,SUB out: T. Bryant,[1628418],1610612754.0,IND,,,,Bryant,T. Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,
288,PT03M42.00S,2025-02-05T03:56:56.5Z,2,REGULAR,substitution,in,[],1629014,,,1610612757,38,32,2025-02-05T03:57:23Z,2820000,False,,,0,,SUB in: A. Simons,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,
289,PT03M42.00S,2025-02-05T03:56:56.5Z,2,REGULAR,substitution,in,[],1626167,,,1610612757,38,32,2025-02-05T03:57:23Z,2830000,False,,,0,,SUB in: M. Turner,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,
290,PT03M42.00S,2025-02-05T03:56:56.5Z,2,REGULAR,substitution,in,[],1627783,,,1610612757,38,32,2025-02-05T03:57:23Z,2840000,False,,,0,,SUB in: P. Siakam,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,,
291,PT03M29.00S,2025-02-05T03:57:33.5Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1631101,36.21879106438896,34.55882352941176,1610612757,38,32,2025-02-05T03:57:37Z,2850000,False,77.0,288.0,1,left,MISS S. Sharpe 29' 3PT,[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Center,29.82,Missed,,,,,,,,,,,,,,,,,,
292,PT03M26.00S,2025-02-05T03:57:36.5Z,2,REGULAR,rebound,defensive,[],1629614,,,1610612754,38,32,2025-02-05T03:57:37Z,2860000,False,,,0,,A. Nembhard REBOUND (Off:0 Def:2),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Center,,,,,,291.0,2.0,2.0,0.0,,,,,,,,,,,
293,PT03M14.00S,2025-02-05T03:57:48.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,92.46057818659659,43.872549019607845,1610612754,38,32,2025-02-05T03:57:53Z,2870000,False,-31.0,18.0,1,right,MISS P. Siakam driving Layup,[1627783],1610612754.0,IND,driving,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,3.57,Missed,,,,,,,,,,,,,,,,,,
294,PT03M10.00S,2025-02-05T03:57:52.6Z,2,REGULAR,rebound,offensive,[],1631097,,,1610612754,38,32,2025-02-05T04:20:48Z,2880000,False,,,0,,B. Mathurin REBOUND (Off:2 Def:4),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,,,,,,293.0,6.0,4.0,2.0,,,,,,,,,,,
295,PT03M02.00S,2025-02-05T03:58:00.3Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],1627783,91.5407358738502,8.823529411764707,1610612754,38,32,2025-02-05T03:58:11Z,2890000,False,-206.0,27.0,1,right,MISS P. Siakam 20' Jump Shot,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Mid-Range,16-24 Left,20.77,Missed,,,,,,,,,,,,,,,,,,
296,PT02M58.00S,2025-02-05T03:58:04.3Z,2,REGULAR,rebound,defensive,[],1629028,,,1610612757,38,32,2025-02-05T03:58:06Z,2900000,False,,,0,,D. Ayton REBOUND (Off:1 Def:7),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Left Corner 3,24+ Left,,,,,,295.0,8.0,7.0,1.0,,,,,,,,,,,
297,PT02M54.00S,2025-02-05T03:58:14.4Z,2,REGULAR,foul,personal,[],1630169,,,1610612757,38,32,2025-02-05T03:58:21Z,2910000,False,,,0,,T. Haliburton personal FOUL (1 PF),"[1630169, 1631101]",1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,In The Paint (Non-RA),0-8 Center,,,,1628159.0,,,,,,,,1.0,0.0,Sharpe,1631101.0,,,,,
299,PT02M43.00S,2025-02-05T03:58:57.0Z,2,REGULAR,turnover,lost ball,[],1629028,,,1610612757,38,32,2025-02-05T03:59:04Z,2930000,False,,,0,,D. Ayton lost ball TURNOVER (1 TO),"[1629028, 1627783]",1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,,,,,1.0,,,,,Siakam,1627783.0,,,,,,,,,
300,PT02M43.00S,2025-02-05T03:58:57.0Z,2,REGULAR,steal,,[],1627783,,,1610612754,38,32,2025-02-05T03:58:59Z,2940000,False,,,0,,P. Siakam STEAL (1 STL),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
301,PT02M43.00S,2025-02-05T03:59:00.3Z,2,REGULAR,foul,personal,[],1629028,,,1610612754,38,32,2025-02-05T03:59:11Z,2950000,False,,,0,,D. Ayton personal FOUL (4 PF),"[1629028, 1631097]",1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,,,,101284.0,,,,,,,,4.0,0.0,Mathurin,1631097.0,,,,,
303,PT02M43.00S,2025-02-05T03:59:18.9Z,2,REGULAR,substitution,out,[],1629028,,,1610612754,38,32,2025-02-05T03:59:26Z,2970000,False,,,0,,SUB out: D. Ayton,[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,,,,,,,,,
304,PT02M43.00S,2025-02-05T03:59:18.9Z,2,REGULAR,substitution,out,[],1631101,,,1610612754,38,32,2025-02-05T03:59:26Z,2980000,False,,,0,,SUB out: S. Sharpe,[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
305,PT02M43.00S,2025-02-05T03:59:18.9Z,2,REGULAR,substitution,in,[],1629057,,,1610612754,38,32,2025-02-05T03:59:26Z,2990000,False,,,0,,SUB in: R. Williams III,[1629057],1610612757.0,POR,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
306,PT02M43.00S,2025-02-05T03:59:18.9Z,2,REGULAR,substitution,in,[],1630166,,,1610612754,38,32,2025-02-05T03:59:26Z,3000000,False,,,0,,SUB in: D. Avdija,[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,,
307,PT02M32.00S,2025-02-05T03:59:49.8Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1641739,,,1610612754,38,32,2025-02-05T04:00:06Z,3010000,False,,,0,,T. Camara personal FOUL (2 PF) (Nembhard 2 FT),"[1641739, 1629614]",1610612757.0,POR,,,,Camara,T. Camara,,,,,Mid-Range,8-16 Center,,,,1628159.0,,,,,,,,2.0,0.0,Nembhard,1629614.0,,,,,
309,PT02M32.00S,2025-02-05T04:00:21.5Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],1629614,,,1610612754,38,33,2025-02-05T04:00:21Z,3030000,False,,,0,,A. Nembhard Free Throw 1 of 2 (6 PTS),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
310,PT02M32.00S,2025-02-05T04:00:38.3Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],1629614,,,1610612754,38,34,2025-02-05T04:00:38Z,3040000,False,,,0,,A. Nembhard Free Throw 2 of 2 (7 PTS),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
311,PT02M18.00S,2025-02-05T04:00:54.2Z,2,REGULAR,foul,personal,['2freethrow'],1629614,,,1610612757,38,34,2025-02-05T04:00:59Z,3050000,False,,,0,,A. Nembhard shooting personal FOUL (1 PF) (Simons 2 FT),"[1629614, 1629014]",1610612754.0,IND,shooting,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),8-16 Left,,,,1629178.0,,,,,,,,1.0,0.0,Simons,1629014.0,,,,,
313,PT02M18.00S,2025-02-05T04:01:18.2Z,2,REGULAR,freethrow,1 of 2,[],1629014,,,1610612757,39,34,2025-02-05T04:01:18Z,3070000,False,,,0,,A. Simons Free Throw 1 of 2 (8 PTS),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
314,PT02M18.00S,2025-02-05T04:01:31.5Z,2,REGULAR,freethrow,2 of 2,[],1629014,,,1610612757,40,34,2025-02-05T04:01:31Z,3080000,False,,,0,,A. Simons Free Throw 2 of 2 (9 PTS),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
315,PT02M07.00S,2025-02-05T04:01:50.2Z,2,REGULAR,foul,offensive,[],1630169,,,1610612754,40,34,2025-02-05T04:02:00Z,3090000,False,,,0,,T. Haliburton offensive FOUL (2 PF),"[1630169, 1641739]",1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Center,,,,101284.0,,,,,,,,2.0,0.0,Camara,1641739.0,,,,,
317,PT02M07.00S,2025-02-05T04:01:50.2Z,2,REGULAR,turnover,offensive foul,[],1630169,,,1610612754,40,34,2025-02-05T04:01:50Z,3110000,False,,,0,,T. Haliburton offensive foul TURNOVER (1 TO),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Center,,,,101284.0,1.0,,,,,,,,,,,,,,,
318,PT01M53.00S,2025-02-05T04:02:15.5Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1629014,13.61695137976347,68.87254901960785,1610612757,40,34,2025-02-05T04:02:20Z,3120000,False,-94.0,75.0,1,left,MISS A. Simons 12' driving floating Shot,[1629014],1610612757.0,POR,driving floating,,,Simons,A. Simons,,,,,Mid-Range,8-16 Left,12.09,Missed,,,,,,,,,,,,,,,,,,
319,PT01M51.00S,2025-02-05T04:02:17.5Z,2,REGULAR,rebound,offensive,[],1629057,,,1610612757,40,34,2025-02-05T04:02:20Z,3130000,False,,,0,,R. Williams III REBOUND (Off:3 Def:4),[1629057],1610612757.0,POR,,,,Williams III,R. Williams III,,,,,Mid-Range,8-16 Left,,,,,,318.0,7.0,4.0,3.0,,,,,,,,,,,
320,PT01M38.00S,2025-02-05T04:02:30.6Z,2,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",1629057,21.76412614980289,36.51960784313725,1610612757,40,34,2025-02-05T04:17:12Z,3140000,False,67.0,152.0,1,left,MISS R. Williams III 16' driving floating Shot,[1629057],1610612757.0,POR,driving floating,,,Williams III,R. Williams III,,,,,Mid-Range,16-24 Right Center,16.64,Missed,,,,,,,,,,,,,,,,,,
321,PT01M35.00S,2025-02-05T04:02:33.6Z,2,REGULAR,rebound,defensive,[],1629614,,,1610612754,40,34,2025-02-05T04:02:35Z,3150000,False,,,0,,A. Nembhard REBOUND (Off:0 Def:3),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Mid-Range,16-24 Right Center,,,,,,320.0,3.0,3.0,0.0,,,,,,,,,,,
322,PT01M29.00S,2025-02-05T04:02:42.9Z,2,REGULAR,foul,offensive,[],1629614,,,1610612754,40,34,2025-02-05T04:02:51Z,3160000,False,,,0,,A. Nembhard offensive FOUL (2 PF),"[1629614, 1641739]",1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),0-8 Center,,,,1629178.0,,,,,,,,2.0,0.0,Camara,1641739.0,,,,,
324,PT01M29.00S,2025-02-05T04:02:42.9Z,2,REGULAR,turnover,offensive foul,[],1629614,,,1610612754,40,34,2025-02-05T04:02:42Z,3180000,False,,,0,,A. Nembhard offensive foul TURNOVER (2 TO),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),0-8 Center,,,,1629178.0,2.0,,,,,,,,,,,,,,,
325,PT01M15.00S,2025-02-05T04:03:20.4Z,2,REGULAR,foul,personal,['2freethrow'],1630169,,,1610612757,40,34,2025-02-05T04:03:31Z,3190000,False,,,0,,T. Haliburton shooting personal FOUL (3 PF) (Grant 2 FT),"[1630169, 203924]",1610612754.0,IND,shooting,,,Haliburton,T. Haliburton,,,,,Restricted Area,0-8 Center,,,,101284.0,,,,,,,,3.0,0.0,Grant,203924.0,,,,,
327,PT01M15.00S,2025-02-05T04:03:49.6Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],203924,,,1610612757,41,34,2025-02-05T04:03:49Z,3210000,False,,,0,,J. Grant Free Throw 1 of 2 (8 PTS),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
328,PT01M15.00S,2025-02-05T04:03:50.1Z,2,REGULAR,substitution,out,[],1630169,,,1610612757,41,34,2025-02-05T04:04:00Z,3220000,False,,,0,,SUB out: T. Haliburton,[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,,
329,PT01M15.00S,2025-02-05T04:03:50.1Z,2,REGULAR,substitution,in,[],1630174,,,1610612757,41,34,2025-02-05T04:04:00Z,3230000,False,,,0,,SUB in: A. Nesmith,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,,
330,PT01M15.00S,2025-02-05T04:04:07.2Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],203924,,,1610612757,42,34,2025-02-05T04:04:07Z,3240000,False,,,0,,J. Grant Free Throw 2 of 2 (9 PTS),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
331,PT00M59.40S,2025-02-05T04:04:26.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629614,79.71419185282524,38.48039215686275,1610612754,42,36,2025-02-05T04:04:30Z,3250000,False,-58.0,138.0,1,right,A. Nembhard 14' turnaround fadeaway Jump Shot (9 PTS),[1629614],1610612754.0,IND,turnaround fadeaway,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),8-16 Center,14.97,Made,9.0,,,,,,,,,,,,,,,,,
333,PT00M39.60S,2025-02-05T04:04:49.3Z,2,REGULAR,3pt,Jump Shot,[],1629014,33.590670170827856,71.07843137254902,1610612757,45,36,2025-02-05T04:04:53Z,3260000,False,-105.0,263.0,1,left,A. Simons 28' 3PT step back (12 PTS),[1629014],1610612757.0,POR,step back,,,Simons,A. Simons,,,,,Above the Break 3,24+ Left Center,28.36,Made,12.0,,,,,,,,,,,,,,,,,
