actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,playerName,playerNameI,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,descriptor,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,jumpBallRecoveredName,jumpBallRecoverdPersonId,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,value
264,PT02M17.00S,2021-11-18T03:59:25.4Z,2,REGULAR,rebound,defensive,[],1628373,,,1610612742,43,41,2021-11-18T03:59:29Z,2570000,,,0,,F. Ntilikina REBOUND (Off:0 Def:1),[1628373],1610612742.0,DAL,,Ntilikina,F. Ntilikina,,,263.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
265,PT02M06.00S,2021-11-18T03:59:36.3Z,2,REGULAR,2pt,Jump Shot,[],203501,74.85216819973719,64.2156862745098,1610612742,43,43,2021-11-18T03:59:40Z,2580000,71.0,184.0,1,right,T. Hardaway Jr. 19' pullup Jump Shot (8 PTS) (D. Powell 3 AST),"[203501, 203939]",1610612742.0,DAL,,Hardaway Jr.,T. Hardaway Jr.,19.72,Made,,,,,pullup,8.0,D. Powell,203939.0,3.0,,,,,,,,,,,,,,,,
268,PT01M40.00S,2021-11-18T04:00:01.8Z,2,REGULAR,2pt,Jump Shot,[],1626164,19.136005256241788,68.38235294117648,1610612756,45,43,2021-11-18T04:00:08Z,2610000,-92.0,127.0,1,left,D. Booker 15' fadeaway Jump Shot (15 PTS),[1626164],1610612756.0,PHX,,Booker,D. Booker,15.71,Made,,,,,fadeaway,15.0,,,,,,,,,,,,,,,,,,,
269,PT01M19.00S,2021-11-18T04:00:27.3Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612742,45,43,2021-11-18T04:00:27Z,2620000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,PT01M19.00S,2021-11-18T04:00:28.2Z,2,REGULAR,substitution,out,[],203939,,,1610612742,45,43,2021-11-18T04:00:39Z,2630000,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,PT01M19.00S,2021-11-18T04:00:28.2Z,2,REGULAR,substitution,in,[],204001,,,1610612742,45,43,2021-11-18T04:00:39Z,2640000,,,0,,SUB in: K. Porzingis,[204001],1610612742.0,DAL,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,PT01M14.00S,2021-11-18T04:01:00.5Z,2,REGULAR,3pt,Jump Shot,[],203501,64.33968462549278,13.23529411764706,1610612742,45,43,2021-11-18T04:01:08Z,2650000,-184.0,283.0,1,right,MISS T. Hardaway Jr. 33' 3PT,[203501],1610612742.0,DAL,,Hardaway Jr.,T. Hardaway Jr.,33.72,Missed,,,,,,,,,,,,,,,,,,,,,,,,,
273,PT01M11.00S,2021-11-18T04:01:03.5Z,2,REGULAR,rebound,offensive,[],1628973,,,1610612742,45,43,2021-11-18T04:01:08Z,2660000,,,0,,J. Brunson REBOUND (Off:1 Def:3),[1628973],1610612742.0,DAL,,Brunson,J. Brunson,,,272.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,
274,PT01M09.00S,2021-11-18T04:01:06.2Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1627827,73.40670170827858,14.950980392156863,1610612742,45,43,2021-11-18T04:01:10Z,2670000,-175.0,197.0,1,right,MISS D. Finney-Smith 26' 3PT,[1627827],1610612742.0,DAL,,Finney-Smith,D. Finney-Smith,26.4,Missed,,,,,,,,,,,,,,,,,,,,,,,,,
275,PT01M05.00S,2021-11-18T04:01:10.2Z,2,REGULAR,rebound,defensive,[],1628969,,,1610612756,45,43,2021-11-18T04:01:10Z,2680000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612756.0,PHX,,Bridges,M. Bridges,,,274.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
276,PT00M45.10S,2021-11-18T04:01:30.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,13.091327201051248,49.50980392156863,1610612756,45,43,2021-11-18T04:01:34Z,2690000,2.0,71.0,1,left,MISS D. Booker 7' driving floating Shot,[1626164],1610612756.0,PHX,,Booker,D. Booker,7.06,Missed,,,,,driving floating,,,,,,,,,,,,,,,,,,,,
277,PT00M43.20S,2021-11-18T04:01:32.6Z,2,REGULAR,rebound,defensive,[],1628973,,,1610612742,45,43,2021-11-18T04:01:34Z,2700000,,,0,,J. Brunson REBOUND (Off:1 Def:4),[1628973],1610612742.0,DAL,,Brunson,J. Brunson,,,276.0,5.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,
278,PT00M35.60S,2021-11-18T04:01:40.3Z,2,REGULAR,3pt,Jump Shot,[],204001,65.52233902759527,22.058823529411764,1610612742,45,46,2021-11-18T04:01:43Z,2710000,-140.0,272.0,1,right,K. Porzingis 30' 3PT  (14 PTS) (J. Brunson 4 AST),"[204001, 1628973]",1610612742.0,DAL,,Porzingis,K. Porzingis,30.54,Made,,,,,,14.0,J. Brunson,1628973.0,4.0,,,,,,,,,,,,,,,,
280,PT00M30.30S,2021-11-18T04:01:59.3Z,2,REGULAR,3pt,Jump Shot,[],101108,33.196452036793694,38.970588235294116,1610612756,45,46,2021-11-18T04:02:10Z,2730000,55.0,260.0,1,left,MISS C. Paul 26' pullup 3PT,[101108],1610612756.0,PHX,,Paul,C. Paul,26.53,Missed,,,,,pullup,,,,,,,,,,,,,,,,,,,,
281,PT00M27.50S,2021-11-18T04:02:02.1Z,2,REGULAR,rebound,defensive,[],1628373,,,1610612742,45,46,2021-11-18T04:02:10Z,2740000,,,0,,F. Ntilikina REBOUND (Off:0 Def:2),[1628373],1610612742.0,DAL,,Ntilikina,F. Ntilikina,,,280.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,
283,PT00M08.30S,2021-11-18T04:02:22.5Z,2,REGULAR,foul,personal,[],101108,,,1610612742,45,46,2021-11-18T04:02:30Z,2760000,,,0,,C. Paul personal FOUL (1 PF),"[101108, 1628973]",1610612756.0,PHX,1198.0,Paul,C. Paul,,,,,,,,,,,,,,,,,1.0,0.0,Brunson,1628973.0,,,,,,,
285,PT00M08.30S,2021-11-18T04:02:37.3Z,2,REGULAR,substitution,out,[],1629028,,,1610612742,45,46,2021-11-18T04:02:42Z,2780000,,,0,,SUB out: D. Ayton,[1629028],1610612756.0,PHX,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,PT00M08.30S,2021-11-18T04:02:37.3Z,2,REGULAR,substitution,in,[],1629661,,,1610612742,45,46,2021-11-18T04:02:42Z,2790000,,,0,,SUB in: C. Johnson,[1629661],1610612756.0,PHX,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,PT00M01.00S,2021-11-18T04:03:04.4Z,2,REGULAR,2pt,Jump Shot,[],204001,88.78120893561103,70.58823529411765,1610612742,45,46,2021-11-18T04:04:15Z,2800000,103.0,53.0,1,right,MISS K. Porzingis 11' driving floating Shot,[204001],1610612742.0,DAL,,Porzingis,K. Porzingis,11.57,Missed,,,,,driving floating,,,,,,,,,,,,,,,,,,,,
288,PT00M01.00S,2021-11-18T04:03:04.4Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612742,45,46,2021-11-18T04:04:56Z,2810000,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,287.0,,,,,,,,,,,,,,,,,,,,,,,,
289,PT00M00.00S,2021-11-18T04:03:10.9Z,2,REGULAR,period,end,[],0,,,1610612742,45,46,2021-11-18T04:04:56Z,2820000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,PT12M00.00S,2021-11-18T04:18:04.1Z,3,REGULAR,substitution,out,['startperiod'],1629661,,,1610612742,45,46,2021-11-18T04:18:31Z,2830000,,,0,,SUB out: C. Johnson,[1629661],1610612756.0,PHX,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,PT12M00.00S,2021-11-18T04:18:04.1Z,3,REGULAR,substitution,out,['startperiod'],1628373,,,1610612742,45,46,2021-11-18T04:18:31Z,2840000,,,0,,SUB out: F. Ntilikina,[1628373],1610612742.0,DAL,,Ntilikina,F. Ntilikina,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,PT12M00.00S,2021-11-18T04:18:04.1Z,3,REGULAR,substitution,in,['startperiod'],1629028,,,1610612742,45,46,2021-11-18T04:18:31Z,2850000,,,0,,SUB in: D. Ayton,[1629028],1610612756.0,PHX,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,PT12M00.00S,2021-11-18T04:18:04.1Z,3,REGULAR,substitution,in,['startperiod'],203939,,,1610612742,45,46,2021-11-18T04:18:31Z,2860000,,,0,,SUB in: D. Powell,[203939],1610612742.0,DAL,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,PT12M00.00S,2021-11-18T04:18:47.3Z,3,REGULAR,period,start,[],0,,,1610612742,45,46,2021-11-18T04:18:47Z,2870000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,PT11M40.00S,2021-11-18T04:19:06.5Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204001,13.61695137976347,43.872549019607845,1610612742,45,46,2021-11-18T04:19:14Z,2880000,31.0,75.0,1,left,MISS K. Porzingis 8' Jump Shot - blocked,"[204001, 203109]",1610612742.0,DAL,,Porzingis,K. Porzingis,8.15,Missed,,,,,,,,,,,,,Crowder,203109.0,,,,,,,,,,,
296,PT11M40.00S,2021-11-18T04:19:06.5Z,3,REGULAR,block,,[],203109,,,1610612742,45,46,2021-11-18T04:20:15Z,2890000,,,0,,J. Crowder BLOCK (1 BLK),[203109],1610612756.0,PHX,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,PT11M37.00S,2021-11-18T04:19:09.5Z,3,REGULAR,rebound,defensive,[],101108,,,1610612756,45,46,2021-11-18T04:19:14Z,2900000,,,0,,C. Paul REBOUND (Off:0 Def:3),[101108],1610612756.0,PHX,,Paul,C. Paul,,,295.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,
298,PT11M35.00S,2021-11-18T04:19:11.6Z,3,REGULAR,3pt,Jump Shot,[],1628969,70.77858081471747,20.34313725490196,1610612756,45,46,2021-11-18T04:19:22Z,2910000,-148.0,222.0,1,right,MISS M. Bridges 26' 3PT,[1628969],1610612756.0,PHX,,Bridges,M. Bridges,26.71,Missed,,,,,,,,,,,,,,,,,,,,,,,,,
299,PT11M35.00S,2021-11-18T04:19:11.6Z,3,REGULAR,rebound,defensive,[],203939,,,1610612742,45,46,2021-11-18T04:19:22Z,2920000,,,0,,D. Powell REBOUND (Off:1 Def:7),[203939],1610612742.0,DAL,,Powell,D. Powell,,,298.0,8.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,
300,PT11M25.00S,2021-11-18T04:19:21.1Z,3,REGULAR,3pt,Jump Shot,[],204001,36.48160315374508,50.49019607843137,1610612742,45,46,2021-11-18T04:19:25Z,2930000,-2.0,290.0,1,left,MISS K. Porzingis 29' 3PT,[204001],1610612742.0,DAL,,Porzingis,K. Porzingis,29.04,Missed,,,,,,,,,,,,,,,,,,,,,,,,,
301,PT11M25.00S,2021-11-18T04:19:21.1Z,3,REGULAR,rebound,offensive,[],203939,,,1610612742,45,46,2021-11-18T04:19:25Z,2940000,,,0,,D. Powell REBOUND (Off:2 Def:7),[203939],1610612742.0,DAL,,Powell,D. Powell,,,300.0,9.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,
302,PT11M19.00S,2021-11-18T04:19:27.2Z,3,REGULAR,turnover,bad pass,[],203501,,,1610612742,45,46,2021-11-18T04:19:37Z,2950000,,,0,,T. Hardaway Jr. bad pass TURNOVER (1 TO),"[203501, 1628969]",1610612742.0,DAL,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,1.0,Bridges,1628969.0,,,,,,,,,,,,,
303,PT11M19.00S,2021-11-18T04:19:27.2Z,3,REGULAR,steal,,[],1628969,,,1610612756,45,46,2021-11-18T04:19:37Z,2960000,,,0,,M. Bridges STEAL (1 STL),[1628969],1610612756.0,PHX,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,PT11M07.00S,2021-11-18T04:19:40.8Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],203109,68.15045992115637,20.098039215686274,1610612756,48,46,2021-11-18T04:19:49Z,2970000,-150.0,247.0,1,right,J. Crowder 28' 3PT  (6 PTS) (M. Bridges 1 AST),"[203109, 1628969]",1610612756.0,PHX,,Crowder,J. Crowder,28.86,Made,,,,,,6.0,M. Bridges,1628969.0,1.0,,,,,,,,,,,,,,,,
306,PT10M48.00S,2021-11-18T04:19:57.7Z,3,REGULAR,3pt,Jump Shot,[],203501,21.895532194480946,7.598039215686274,1610612742,48,49,2021-11-18T04:20:02Z,2990000,212.0,153.0,1,left,T. Hardaway Jr. 26' 3PT  (11 PTS) (K. Porzingis 4 AST),"[203501, 204001]",1610612742.0,DAL,,Hardaway Jr.,T. Hardaway Jr.,26.16,Made,,,,,,11.0,K. Porzingis,204001.0,4.0,,,,,,,,,,,,,,,,
308,PT10M30.00S,2021-11-18T04:20:15.9Z,3,REGULAR,3pt,Jump Shot,[],203109,66.5735873850197,49.50980392156863,1610612756,48,49,2021-11-18T04:20:26Z,3010000,-2.0,262.0,1,right,MISS J. Crowder 26' 3PT,[203109],1610612756.0,PHX,,Crowder,J. Crowder,26.17,Missed,,,,,,,,,,,,,,,,,,,,,,,,,
309,PT10M28.00S,2021-11-18T04:20:17.9Z,3,REGULAR,rebound,defensive,[],203939,,,1610612742,48,49,2021-11-18T04:20:26Z,3020000,,,0,,D. Powell REBOUND (Off:2 Def:8),[203939],1610612742.0,DAL,,Powell,D. Powell,,,308.0,10.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,
310,PT10M19.00S,2021-11-18T04:20:27.4Z,3,REGULAR,3pt,Jump Shot,[],1627827,30.17411300919842,22.794117647058822,1610612742,48,49,2021-11-18T04:20:31Z,3030000,136.0,231.0,1,left,MISS D. Finney-Smith 26' pullup 3PT,[1627827],1610612742.0,DAL,,Finney-Smith,D. Finney-Smith,26.81,Missed,,,,,pullup,,,,,,,,,,,,,,,,,,,,
311,PT10M17.00S,2021-11-18T04:20:29.4Z,3,REGULAR,rebound,defensive,[],1626164,,,1610612756,48,49,2021-11-18T04:20:31Z,3040000,,,0,,D. Booker REBOUND (Off:0 Def:7),[1626164],1610612756.0,PHX,,Booker,D. Booker,,,310.0,7.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,
312,PT10M02.00S,2021-11-18T04:20:44.1Z,3,REGULAR,2pt,Jump Shot,[],1626164,88.12417871222075,69.85294117647058,1610612756,48,49,2021-11-18T04:20:48Z,3050000,99.0,59.0,1,right,MISS D. Booker 11' step back Shot,[1626164],1610612756.0,PHX,,Booker,D. Booker,11.56,Missed,,,,,step back,,,,,,,,,,,,,,,,,,,,
313,PT09M59.00S,2021-11-18T04:20:47.1Z,3,REGULAR,rebound,defensive,[],203939,,,1610612742,48,49,2021-11-18T04:20:48Z,3060000,,,0,,D. Powell REBOUND (Off:2 Def:9),[203939],1610612742.0,DAL,,Powell,D. Powell,,,312.0,11.0,9.0,2.0,,,,,,,,,,,,,,,,,,,,,
314,PT09M52.00S,2021-11-18T04:20:54.3Z,3,REGULAR,3pt,Jump Shot,[],1627827,25.706307490144546,16.42156862745098,1610612742,48,52,2021-11-18T04:21:01Z,3070000,168.0,189.0,1,left,D. Finney-Smith 25' 3PT  (3 PTS) (T. Hardaway Jr. 3 AST),"[1627827, 203501]",1610612742.0,DAL,,Finney-Smith,D. Finney-Smith,25.29,Made,,,,,,3.0,T. Hardaway Jr.,203501.0,3.0,,,,,,,,,,,,,,,,
316,PT09M37.00S,2021-11-18T04:21:08.6Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,80.3712220762155,56.127450980392155,1610612756,48,52,2021-11-18T04:21:15Z,3090000,31.0,132.0,1,right,MISS D. Booker 13' fadeaway Shot,[1626164],1610612756.0,PHX,,Booker,D. Booker,13.55,Missed,,,,,fadeaway,,,,,,,,,,,,,,,,,,,,
317,PT09M35.00S,2021-11-18T04:21:10.6Z,3,REGULAR,rebound,defensive,[],203939,,,1610612742,48,52,2021-11-18T04:21:15Z,3100000,,,0,,D. Powell REBOUND (Off:2 Def:10),[203939],1610612742.0,DAL,,Powell,D. Powell,,,316.0,12.0,10.0,2.0,,,,,,,,,,,,,,,,,,,,,
318,PT09M25.00S,2021-11-18T04:21:20.9Z,3,REGULAR,2pt,Jump Shot,[],203501,27.677398160315374,60.049019607843135,1610612742,48,54,2021-11-18T04:21:26Z,3110000,-50.0,208.0,1,left,T. Hardaway Jr. 21' pullup Jump Shot (13 PTS),[203501],1610612742.0,DAL,,Hardaway Jr.,T. Hardaway Jr.,21.37,Made,,,,,pullup,13.0,,,,,,,,,,,,,,,,,,,
319,PT09M16.00S,2021-11-18T04:21:30.5Z,3,REGULAR,3pt,Jump Shot,[],1628969,90.22667542706965,94.85294117647058,1610612756,51,54,2021-11-18T04:21:35Z,3120000,224.0,39.0,1,right,M. Bridges 3PT  (3 PTS) (C. Paul 6 AST),"[1628969, 101108]",1610612756.0,PHX,,Bridges,M. Bridges,22.77,Made,,,,,,3.0,C. Paul,101108.0,6.0,,,,,,,,,,,,,,,,
321,PT08M57.00S,2021-11-18T04:21:49.6Z,3,REGULAR,3pt,Jump Shot,[],203939,32.533262155059134,43.409160539215684,1610612742,51,57,2021-11-18T04:23:06Z,3140000,33.0,253.0,1,left,D. Powell 25' 3PT  (3 PTS) (J. Brunson 5 AST),"[203939, 1628973]",1610612742.0,DAL,,Powell,D. Powell,25.54,Made,,,,,,3.0,J. Brunson,1628973.0,5.0,,,,,,,,,,,,,,,,
323,PT08M42.00S,2021-11-18T04:22:04.4Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1629028,88.51839684625493,49.26470588235294,1610612756,51,57,2021-11-18T04:22:13Z,3160000,-4.0,55.0,1,right,MISS D. Ayton Layup,[1629028],1610612756.0,PHX,,Ayton,D. Ayton,5.55,Missed,,,,,,,,,,,,,,,,,,,,,,,,,
324,PT08M41.00S,2021-11-18T04:22:08.2Z,3,REGULAR,rebound,offensive,['team'],0,,,1610612756,51,57,2021-11-18T04:22:08Z,3170000,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,323.0,,,,,,,,,,,,,,,,,,,,,,,,
325,PT08M41.00S,2021-11-18T04:22:11.6Z,3,REGULAR,stoppage,out-of-bounds,[],0,,,1610612756,51,57,2021-11-18T04:22:11Z,3180000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,PT08M39.00S,2021-11-18T04:22:26.0Z,3,REGULAR,2pt,Jump Shot,['2ndchance'],203109,74.06373193166885,43.872549019607845,1610612756,51,57,2021-11-18T04:22:35Z,3190000,-31.0,191.0,1,right,MISS J. Crowder 19' Jump Shot,[203109],1610612756.0,PHX,,Crowder,J. Crowder,19.37,Missed,,,,,,,,,,,,,,,,,,,,,,,,,
327,PT08M36.00S,2021-11-18T04:22:29.0Z,3,REGULAR,rebound,defensive,[],1628973,,,1610612742,51,57,2021-11-18T04:22:35Z,3200000,,,0,,J. Brunson REBOUND (Off:1 Def:5),[1628973],1610612742.0,DAL,,Brunson,J. Brunson,,,326.0,6.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,
328,PT08M34.00S,2021-11-18T04:22:34.4Z,3,REGULAR,foul,offensive,[],204001,,,1610612742,51,57,2021-11-18T04:22:54Z,3210000,,,0,,K. Porzingis offensive FOUL (1 PF),"[204001, 203109]",1610612742.0,DAL,202027.0,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,1.0,0.0,Crowder,203109.0,,,,,,,
330,PT08M34.00S,2021-11-18T04:22:34.4Z,3,REGULAR,turnover,offensive foul,[],204001,,,1610612742,51,57,2021-11-18T04:22:34Z,3230000,,,0,,K. Porzingis offensive foul TURNOVER (1 TO),[204001],1610612742.0,DAL,202027.0,Porzingis,K. Porzingis,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
332,PT08M21.00S,2021-11-18T04:23:08.9Z,3,REGULAR,2pt,Jump Shot,['fromturnover'],1628969,93.64323258869908,27.205882352941174,1610612756,51,57,2021-11-18T04:23:19Z,3250000,-114.0,7.0,1,right,MISS M. Bridges 11' Jump Shot,[1628969],1610612756.0,PHX,,Bridges,M. Bridges,11.42,Missed,,,,,,,,,,,,,,,,,,,,,,,,,
333,PT08M19.00S,2021-11-18T04:23:11.2Z,3,REGULAR,rebound,defensive,[],204001,,,1610612742,51,57,2021-11-18T04:23:11Z,3260000,,,0,,K. Porzingis REBOUND (Off:0 Def:5),[204001],1610612742.0,DAL,,Porzingis,K. Porzingis,,,332.0,5.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,
334,PT08M15.00S,2021-11-18T04:23:15.3Z,3,REGULAR,3pt,Jump Shot,[],203501,29.122864651773984,23.284313725490197,1610612742,51,57,2021-11-18T04:23:22Z,3270000,134.0,221.0,1,left,MISS T. Hardaway Jr. 25' 3PT,[203501],1610612742.0,DAL,,Hardaway Jr.,T. Hardaway Jr.,25.85,Missed,,,,,,,,,,,,,,,,,,,,,,,,,
335,PT08M13.00S,2021-11-18T04:23:17.3Z,3,REGULAR,rebound,defensive,[],1629028,,,1610612756,51,57,2021-11-18T04:23:22Z,3280000,,,0,,D. Ayton REBOUND (Off:3 Def:6),[1629028],1610612756.0,PHX,,Ayton,D. Ayton,,,334.0,9.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,
336,PT08M01.00S,2021-11-18T04:23:30.9Z,3,REGULAR,instantreplay,request,[],0,,,1610612756,51,57,2021-11-18T04:23:43Z,3290000,,,0,,,[],,,2003.0,,,,,,,,,overturned,,,,,,,,,,,,,,,,,,,,Changed to 3-pt FG
337,PT08M01.00S,2021-11-18T04:23:31.4Z,3,REGULAR,foul,personal,['2freethrow'],203939,,,1610612756,51,57,2021-11-18T04:23:44Z,3300000,,,0,,D. Powell shooting personal FOUL (1 PF) (Ayton 2 FT),"[203939, 1629028]",1610612742.0,DAL,1198.0,Powell,D. Powell,,,,,,,shooting,,,,,,,,,,1.0,0.0,Ayton,1629028.0,,,,,,,
339,PT08M01.00S,2021-11-18T04:24:03.0Z,3,REGULAR,freethrow,1 of 2,[],1629028,,,1610612756,51,57,2021-11-18T04:24:03Z,3320000,,,0,,MISS D. Ayton Free Throw 1 of 2,[1629028],1610612756.0,PHX,,Ayton,D. Ayton,,Missed,,,,,,,,,,,,,,,,,,,,,,,,,
340,PT08M01.00S,2021-11-18T04:24:03.0Z,3,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612756,51,57,2021-11-18T04:24:03Z,3330000,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,339.0,,,,,,,,,,,,,,,,,,,,,,,,
341,PT08M01.00S,2021-11-18T04:24:18.9Z,3,REGULAR,freethrow,2 of 2,[],1629028,,,1610612756,52,57,2021-11-18T04:24:18Z,3340000,,,0,,D. Ayton Free Throw 2 of 2 (11 PTS),[1629028],1610612756.0,PHX,,Ayton,D. Ayton,,Made,,,,,,11.0,,,,,,,,,,,,,,,,,,,
342,PT07M45.00S,2021-11-18T04:24:39.9Z,3,REGULAR,2pt,Jump Shot,[],203501,23.340998685939553,48.529411764705884,1610612742,52,57,2021-11-18T04:24:51Z,3350000,7.0,167.0,1,left,MISS T. Hardaway Jr. 16' floating Shot,[203501],1610612742.0,DAL,,Hardaway Jr.,T. Hardaway Jr.,16.71,Missed,,,,,floating,,,,,,,,,,,,,,,,,,,,
343,PT07M44.00S,2021-11-18T04:24:40.9Z,3,REGULAR,rebound,offensive,[],203501,,,1610612742,52,57,2021-11-18T04:47:45Z,3360000,,,0,,T. Hardaway Jr. REBOUND (Off:1 Def:0),[203501],1610612742.0,DAL,,Hardaway Jr.,T. Hardaway Jr.,,,342.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
438,PT07M43.00S,2021-11-18T04:24:42.8Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203501,7.440867279894875,49.754901960784316,1610612742,52,57,2021-11-18T04:48:01Z,3365000,1.0,17.0,1,left,MISS T. Hardaway Jr. putback Layup,[203501],1610612742.0,DAL,,Hardaway Jr.,T. Hardaway Jr.,1.74,Missed,,,,,putback,,,,,,,,,,,,,,,,,,,,
439,PT07M42.00S,2021-11-18T04:24:43.8Z,3,REGULAR,rebound,offensive,[],203939,,,1610612742,52,57,2021-11-18T04:46:02Z,3367500,,,0,,D. Powell REBOUND (Off:3 Def:10),[203939],1610612742.0,DAL,,Powell,D. Powell,,,438.0,13.0,10.0,3.0,,,,,,,,,,,,,,,,,,,,,
344,PT07M38.00S,2021-11-18T04:24:45.8Z,3,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203939,5.590000152587891,50.0,1610612742,52,57,2021-11-18T04:45:33Z,3370000,0.0,0.0,1,left,MISS D. Powell putback Layup,[203939],1610612742.0,DAL,,Powell,D. Powell,0.0,Missed,,,,,putback,,,,,,,,,,,,,,,,,,,,
345,PT07M37.00S,2021-11-18T04:24:46.8Z,3,REGULAR,rebound,defensive,[],1629028,,,1610612756,52,57,2021-11-18T04:24:58Z,3380000,,,0,,D. Ayton REBOUND (Off:3 Def:7),[1629028],1610612756.0,PHX,,Ayton,D. Ayton,,,344.0,10.0,7.0,3.0,,,,,,,,,,,,,,,,,,,,,
346,PT07M33.00S,2021-11-18T04:24:51.2Z,3,REGULAR,turnover,lost ball,[],1626164,,,1610612756,52,57,2021-11-18T04:24:54Z,3390000,,,0,,D. Booker lost ball TURNOVER (1 TO),"[1626164, 203939]",1610612756.0,PHX,,Booker,D. Booker,,,,,,,,,,,,1.0,Powell,203939.0,,,,,,,,,,,,,
347,PT07M33.00S,2021-11-18T04:24:51.2Z,3,REGULAR,steal,,[],203939,,,1610612742,52,57,2021-11-18T04:24:52Z,3400000,,,0,,D. Powell STEAL (1 STL),[203939],1610612742.0,DAL,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,PT07M30.00S,2021-11-18T04:24:55.2Z,3,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",203501,6.389618922470433,47.549019607843135,1610612742,52,59,2021-11-18T04:28:51Z,3410000,12.0,8.0,1,left,T. Hardaway Jr. cutting DUNK (15 PTS) (J. Brunson 6 AST),"[203501, 1628973]",1610612742.0,DAL,,Hardaway Jr.,T. Hardaway Jr.,1.45,Made,,,,,cutting,15.0,J. Brunson,1628973.0,6.0,,,,,,,,,,,,,,,,
350,PT07M30.00S,2021-11-18T04:25:07.5Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,52,59,2021-11-18T04:25:07Z,3430000,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
