actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
261,PT06M39.00S,2023-01-05T01:53:14.7Z,2,REGULAR,substitution,in,[],202685,,,1610612745,63,36,2023-01-05T01:53:51Z,2530000,False,,,0,,SUB in: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,,
262,PT06M39.00S,2023-01-05T01:53:14.7Z,2,REGULAR,substitution,in,[],1630231,,,1610612745,63,36,2023-01-05T01:53:51Z,2540000,False,,,0,,SUB in: K. Martin Jr.,[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
263,PT06M39.00S,2023-01-05T01:53:35.5Z,2,REGULAR,freethrow,1 of 1,[],1630224,,,1610612745,63,37,2023-01-05T01:53:35Z,2550000,False,,,0,,J. Green Free Throw 1 of 1 (9 PTS),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
264,PT06M32.00S,2023-01-05T01:53:45.3Z,2,REGULAR,3pt,Jump Shot,[],1628984,70.25295663600527,73.0392156862745,1610612740,63,37,2023-01-05T01:53:54Z,2560000,False,115.0,227.0,1,right,MISS D. Graham 25' 3PT,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,Above the Break 3,24+ Right Center,25.46,Missed,,,,,,,,,,,,,,,,,,
265,PT06M25.00S,2023-01-05T01:53:52.3Z,2,REGULAR,rebound,defensive,[],1630231,,,1610612745,63,37,2023-01-05T01:53:54Z,2570000,False,,,0,,K. Martin Jr. REBOUND (Off:0 Def:1),[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,,264.0,,,1.0,1.0,0.0,,,,,,
266,PT06M19.00S,2023-01-05T01:54:00.4Z,2,REGULAR,turnover,out-of-bounds,[],1630224,,,1610612745,63,37,2023-01-05T01:54:09Z,2580000,False,,,0,,J. Green bad pass out-of-bounds TURNOVER (1 TO),[1630224],1610612745.0,HOU,bad pass,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,1626301.0,,,,,,,,,,,,,,1.0,,
267,PT06M19.00S,2023-01-05T01:54:05.2Z,2,REGULAR,substitution,out,[],1629637,,,1610612740,63,37,2023-01-05T01:54:09Z,2590000,False,,,0,,SUB out: J. Hayes,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,
268,PT06M19.00S,2023-01-05T01:54:05.2Z,2,REGULAR,substitution,in,[],1630530,,,1610612740,63,37,2023-01-05T01:54:09Z,2600000,False,,,0,,SUB in: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
269,PT06M05.00S,2023-01-05T01:54:29.2Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630529,85.3646517739816,94.6078431372549,1610612740,66,37,2023-01-05T01:54:34Z,2610000,False,223.0,85.0,1,right,H. Jones 3PT  (3 PTS) (D. Graham 1 AST),"[1630529, 1628984]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,Right Corner 3,24+ Right,23.87,Made,3.0,,,,,,,,,,,,D. Graham,1628984.0,1.0,,,
271,PT05M56.00S,2023-01-05T01:54:38.5Z,2,REGULAR,3pt,Jump Shot,[],201569,34.37910643889619,31.127450980392158,1610612745,66,37,2023-01-05T01:55:52Z,2630000,False,94.0,271.0,1,left,MISS E. Gordon 28' 3PT,[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,Above the Break 3,24+ Right Center,28.67,Missed,,,,,,,,,,,,,,,,,,
272,PT05M56.00S,2023-01-05T01:54:38.5Z,2,REGULAR,rebound,offensive,[],1628981,,,1610612745,66,37,2023-01-05T01:54:51Z,2640000,False,,,0,,B. Fernando REBOUND (Off:1 Def:1),[1628981],1610612745.0,HOU,,,,Fernando,B. Fernando,,,,,Above the Break 3,24+ Right Center,,,,,,,,,271.0,,,2.0,1.0,1.0,,,,,,
273,PT05M49.00S,2023-01-05T01:54:45.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201569,9.280551905387648,44.36274509803921,1610612745,66,39,2023-01-05T01:55:00Z,2650000,False,28.0,35.0,1,left,E. Gordon cutting Layup (5 PTS) (B. Fernando 1 AST),"[201569, 1628981]",1610612745.0,HOU,cutting,,,Gordon,E. Gordon,,,,,In The Paint (Non-RA),0-8 Center,4.47,Made,5.0,,,,,,,,,,,,B. Fernando,1628981.0,1.0,,,
276,PT05M37.00S,2023-01-05T01:55:00.7Z,2,REGULAR,substitution,out,[],1628981,,,1610612740,66,39,2023-01-05T01:55:04Z,2680000,False,,,0,,SUB out: B. Fernando,[1628981],1610612745.0,HOU,,,,Fernando,B. Fernando,,,,,,,,,,,,,,,,,,,,,,,,,,
277,PT05M37.00S,2023-01-05T01:55:00.7Z,2,REGULAR,substitution,in,[],1630578,,,1610612740,66,39,2023-01-05T01:55:04Z,2690000,False,,,0,,SUB in: A. Sengun,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,,,
278,PT05M34.00S,2023-01-05T01:55:16.5Z,2,REGULAR,3pt,Jump Shot,[],203468,89.30683311432325,95.83333333333334,1610612740,66,39,2023-01-05T01:55:23Z,2700000,False,229.0,48.0,1,right,MISS C. McCollum 3PT - blocked,"[203468, 1630224]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Right Corner 3,24+ Right,23.42,Missed,,,,,,,,Green,1630224.0,,,,,,,,,
279,PT05M34.00S,2023-01-05T01:55:16.5Z,2,REGULAR,block,,[],1630224,,,1610612740,66,39,2023-01-05T01:55:20Z,2710000,False,,,0,,J. Green BLOCK (1 BLK),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,,,,,,
280,PT05M34.00S,2023-01-05T01:55:16.5Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612740,66,39,2023-01-05T01:55:23Z,2720000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Right Corner 3,24+ Right,,,,,,,,,278.0,,,,,,,,,,,
282,PT05M32.00S,2023-01-05T01:55:28.8Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1630530,71.56701708278581,79.16666666666666,1610612740,66,39,2023-01-05T01:55:33Z,2740000,False,146.0,215.0,1,right,MISS T. Murphy III 25' 3PT,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,25.96,Missed,,,,,,,,,,,,,,,,,,
283,PT05M28.00S,2023-01-05T01:55:32.8Z,2,REGULAR,rebound,defensive,[],1630578,,,1610612745,66,39,2023-01-05T01:55:33Z,2750000,False,,,0,,A. Sengun REBOUND (Off:2 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Right Center,,,,,,,,,282.0,,,3.0,1.0,2.0,,,,,,
284,PT05M23.00S,2023-01-05T01:55:41.7Z,2,REGULAR,foul,personal,[],1630529,,,1610612745,66,39,2023-01-05T01:55:47Z,2760000,False,,,0,,H. Jones personal FOUL (2 PF),"[1630529, 1630578]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,Mid-Range,16-24 Right Center,,,,2003.0,2.0,1.0,Sengun,1630578.0,,,,,,,,,,,,
286,PT05M15.00S,2023-01-05T01:56:02.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201569,10.068988173455978,44.11764705882353,1610612745,66,41,2023-01-05T01:56:07Z,2780000,False,29.0,42.0,1,left,E. Gordon driving Layup (7 PTS),[201569],1610612745.0,HOU,driving,,,Gordon,E. Gordon,,,,,In The Paint (Non-RA),0-8 Center,5.13,Made,7.0,,,,,,,,,,,,,,,,,
287,PT04M55.00S,2023-01-05T01:56:21.5Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],202685,88.64980289093299,48.28431372549019,1610612740,66,41,2023-01-05T01:56:27Z,2790000,False,-9.0,54.0,1,right,MISS J. Valanciunas Hook,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,5.49,Missed,,,,,,,,,,,,,,,,,,
288,PT04M51.00S,2023-01-05T01:56:25.5Z,2,REGULAR,rebound,offensive,[],202685,,,1610612740,66,41,2023-01-05T01:56:27Z,2800000,False,,,0,,J. Valanciunas REBOUND (Off:2 Def:3),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,287.0,,,5.0,3.0,2.0,,,,,,
289,PT04M51.00S,2023-01-05T01:56:26.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202685,94.40999984741211,50.0,1610612740,68,41,2023-01-05T01:56:26Z,2810000,False,0.0,0.0,1,right,J. Valanciunas putback Layup (6 PTS),[202685],1610612740.0,NOP,putback,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,8-16 Left,0.0,Made,6.0,,,,,,,,,,,,,,,,,
290,PT04M45.00S,2023-01-05T01:56:32.9Z,2,REGULAR,3pt,Jump Shot,[],1630224,19.66162943495401,92.40196078431373,1610612745,68,41,2023-01-05T01:56:37Z,2820000,False,-212.0,132.0,1,left,MISS J. Green 24' pullup 3PT,[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,24.99,Missed,,,,,,,,,,,,,,,,,,
291,PT04M40.00S,2023-01-05T01:56:37.9Z,2,REGULAR,rebound,defensive,[],1630529,,,1610612740,68,41,2023-01-05T01:56:37Z,2830000,False,,,0,,H. Jones REBOUND (Off:1 Def:3),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Left Center,,,,,,,,,290.0,,,4.0,3.0,1.0,,,,,,
292,PT04M23.00S,2023-01-05T01:56:56.6Z,2,REGULAR,turnover,lost ball,[],202685,,,1610612740,68,41,2023-01-05T01:57:02Z,2840000,False,,,0,,J. Valanciunas lost ball TURNOVER (1 TO),"[202685, 1631095]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,1.0,Smith Jr.,1631095.0
293,PT04M23.00S,2023-01-05T01:56:56.6Z,2,REGULAR,steal,,[],1631095,,,1610612745,68,41,2023-01-05T01:56:59Z,2850000,False,,,0,,J. Smith Jr. STEAL (1 STL),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
294,PT04M23.00S,2023-01-05T01:57:08.3Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,68,41,2023-01-05T01:57:08Z,2860000,False,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,PT04M07.00S,2023-01-05T02:00:21.6Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1630578,10.33180026281209,49.50980392156863,1610612745,68,43,2023-01-05T02:30:48Z,2870000,False,2.0,45.0,1,left,A. Sengun driving DUNK (6 PTS),[1630578],1610612745.0,HOU,driving,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,4.47,Made,6.0,,,,,,,,,,,,,,,,,
297,PT03M40.00S,2023-01-05T02:00:49.2Z,2,REGULAR,2pt,Jump Shot,[],203468,92.32917214191852,70.09803921568627,1610612740,70,43,2023-01-05T02:00:53Z,2890000,False,100.0,20.0,1,right,C. McCollum 10' turnaround fadeaway Jump Shot (14 PTS),[203468],1610612740.0,NOP,turnaround fadeaway,,,McCollum,C. McCollum,,,,,Mid-Range,8-16 Right,10.24,Made,14.0,,,,,,,,,,,,,,,,,
299,PT03M15.00S,2023-01-05T02:01:14.3Z,2,REGULAR,2pt,Jump Shot,[],1631095,21.76412614980289,61.029411764705884,1610612745,70,43,2023-01-05T02:01:17Z,2900000,False,-55.0,152.0,1,left,MISS J. Smith Jr. 16' Jump Shot,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,16-24 Left Center,16.18,Missed,,,,,,,,,,,,,,,,,,
300,PT03M13.00S,2023-01-05T02:01:16.3Z,2,REGULAR,rebound,defensive,[],202685,,,1610612740,70,43,2023-01-05T02:01:17Z,2910000,False,,,0,,J. Valanciunas REBOUND (Off:2 Def:4),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,16-24 Left Center,,,,,,,,,299.0,,,6.0,4.0,2.0,,,,,,
301,PT03M04.00S,2023-01-05T02:01:24.4Z,2,REGULAR,turnover,lost ball,[],202685,,,1610612740,70,43,2023-01-05T02:01:28Z,2920000,False,,,0,,J. Valanciunas lost ball TURNOVER (2 TO),"[202685, 1631095]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,2.0,Smith Jr.,1631095.0
302,PT03M04.00S,2023-01-05T02:01:24.4Z,2,REGULAR,steal,,[],1631095,,,1610612745,70,43,2023-01-05T02:01:26Z,2930000,False,,,0,,J. Smith Jr. STEAL (2 STL),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
303,PT02M49.00S,2023-01-05T02:01:39.9Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],201569,30.699737187910642,13.725490196078432,1610612745,70,43,2023-01-05T02:01:48Z,2940000,False,181.0,236.0,1,left,MISS E. Gordon 29' 3PT,[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,Above the Break 3,24+ Right Center,29.77,Missed,,,,,,,,,,,,,,,,,,
304,PT02M46.00S,2023-01-05T02:01:42.9Z,2,REGULAR,rebound,defensive,[],202685,,,1610612740,70,43,2023-01-05T02:01:48Z,2950000,False,,,0,,J. Valanciunas REBOUND (Off:2 Def:5),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Right Center,,,,,,,,,303.0,,,7.0,5.0,2.0,,,,,,
305,PT02M32.00S,2023-01-05T02:01:59.7Z,2,REGULAR,foul,personal,[],201569,,,1610612740,70,43,2023-01-05T02:02:16Z,2960000,False,,,0,,E. Gordon personal FOUL (1 PF),"[201569, 1630530]",1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,In The Paint (Non-RA),8-16 Center,,,,2003.0,1.0,0.0,Murphy III,1630530.0,,,,,,,,,,,,
307,PT02M32.00S,2023-01-05T02:02:13.0Z,2,REGULAR,substitution,out,[],1628984,,,1610612740,70,43,2023-01-05T02:02:20Z,2980000,False,,,0,,SUB out: D. Graham,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,,,
308,PT02M32.00S,2023-01-05T02:02:13.0Z,2,REGULAR,substitution,out,[],201569,,,1610612740,70,43,2023-01-05T02:02:20Z,2990000,False,,,0,,SUB out: E. Gordon,[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
309,PT02M32.00S,2023-01-05T02:02:13.0Z,2,REGULAR,substitution,in,[],1630230,,,1610612740,70,43,2023-01-05T02:02:20Z,3000000,False,,,0,,SUB in: N. Marshall,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
310,PT02M32.00S,2023-01-05T02:02:13.0Z,2,REGULAR,substitution,in,[],1629645,,,1610612740,70,43,2023-01-05T02:02:20Z,3010000,False,,,0,,SUB in: K. Porter Jr.,[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
311,PT02M26.00S,2023-01-05T02:02:30.7Z,2,REGULAR,foul,personal,['2freethrow'],1629645,,,1610612740,70,43,2023-01-05T02:02:39Z,3020000,False,,,0,,K. Porter Jr. shooting personal FOUL (2 PF) (McCollum 2 FT),"[1629645, 203468]",1610612745.0,HOU,shooting,,,Porter Jr.,K. Porter Jr.,,,,,Mid-Range,8-16 Left,,,,1626300.0,2.0,0.0,McCollum,203468.0,,,,,,,,,,,,
313,PT02M26.00S,2023-01-05T02:02:53.1Z,2,REGULAR,freethrow,1 of 2,[],203468,,,1610612740,70,43,2023-01-05T02:02:53Z,3040000,False,,,0,,MISS C. McCollum Free Throw 1 of 2,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
314,PT02M26.00S,2023-01-05T02:02:53.1Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612740,70,43,2023-01-05T02:02:53Z,3050000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,313.0,,,,,,,,,,,
315,PT02M26.00S,2023-01-05T02:03:10.4Z,2,REGULAR,freethrow,2 of 2,[],203468,,,1610612740,71,43,2023-01-05T02:03:10Z,3060000,False,,,0,,C. McCollum Free Throw 2 of 2 (15 PTS),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,Made,15.0,,,,,,,,,,,,,,,,,
316,PT02M10.00S,2023-01-05T02:03:28.0Z,2,REGULAR,3pt,Jump Shot,[],1630224,30.436925098554536,69.85294117647058,1610612745,71,43,2023-01-05T02:03:34Z,3070000,False,-99.0,234.0,1,left,MISS J. Green 25' step back 3PT,[1630224],1610612745.0,HOU,step back,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,25.38,Missed,,,,,,,,,,,,,,,,,,
317,PT02M07.00S,2023-01-05T02:03:31.0Z,2,REGULAR,rebound,offensive,[],1630578,,,1610612745,71,43,2023-01-05T02:03:34Z,3080000,False,,,0,,A. Sengun REBOUND (Off:3 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Left Center,,,,,,,,,316.0,,,4.0,1.0,3.0,,,,,,
318,PT02M03.00S,2023-01-05T02:03:34.2Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1630231,7.440867279894875,51.470588235294116,1610612745,71,45,2023-01-05T02:03:38Z,3090000,False,-7.0,17.0,1,left,K. Martin Jr. cutting DUNK (4 PTS) (A. Sengun 2 AST),"[1630231, 1630578]",1610612745.0,HOU,cutting,,,Martin Jr.,K. Martin Jr.,,,,,Restricted Area,0-8 Center,1.89,Made,4.0,,,,,,,,,,,,A. Sengun,1630578.0,2.0,,,
320,PT01M50.00S,2023-01-05T02:03:50.5Z,2,REGULAR,foul,personal,['2freethrow'],1630578,,,1610612740,71,45,2023-01-05T02:03:56Z,3110000,False,,,0,,A. Sengun shooting personal FOUL (2 PF) (Valanciunas 2 FT),"[1630578, 202685]",1610612745.0,HOU,shooting,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Center,,,,2003.0,2.0,0.0,Valanciunas,202685.0,,,,,,,,,,,,
322,PT01M50.00S,2023-01-05T02:04:18.7Z,2,REGULAR,freethrow,1 of 2,[],202685,,,1610612740,72,45,2023-01-05T02:04:44Z,3130000,False,,,0,,J. Valanciunas Free Throw 1 of 2 (7 PTS),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
323,PT01M50.00S,2023-01-05T02:04:19.8Z,2,REGULAR,substitution,out,[],1630529,,,1610612740,72,45,2023-01-05T02:04:22Z,3140000,False,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
324,PT01M50.00S,2023-01-05T02:04:19.8Z,2,REGULAR,substitution,in,[],1630700,,,1610612740,72,45,2023-01-05T02:04:22Z,3150000,False,,,0,,SUB in: D. Daniels,[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
325,PT01M50.00S,2023-01-05T02:04:18.7Z,2,REGULAR,freethrow,2 of 2,[],202685,,,1610612740,72,45,2023-01-05T02:04:44Z,3160000,False,,,0,,MISS J. Valanciunas Free Throw 2 of 2,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
326,PT01M44.00S,2023-01-05T02:04:24.7Z,2,REGULAR,rebound,defensive,[],1630231,,,1610612745,72,45,2023-01-05T02:04:44Z,3170000,False,,,0,,K. Martin Jr. REBOUND (Off:0 Def:2),[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,,,,325.0,,,2.0,2.0,0.0,,,,,,
327,PT01M35.00S,2023-01-05T02:04:57.2Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630530,,,1610612745,72,45,2023-01-05T02:05:07Z,3180000,False,,,0,,T. Murphy III personal FOUL (2 PF) (Sengun 2 FT),"[1630530, 1630578]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),8-16 Center,,,,1626300.0,2.0,1.0,Sengun,1630578.0,,,,,,,,,,,,
329,PT01M35.00S,2023-01-05T02:05:31.3Z,2,REGULAR,freethrow,1 of 2,[],1630578,,,1610612745,72,46,2023-01-05T02:05:31Z,3200000,False,,,0,,A. Sengun Free Throw 1 of 2 (7 PTS),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
330,PT01M35.00S,2023-01-05T02:05:49.5Z,2,REGULAR,freethrow,2 of 2,[],1630578,,,1610612745,72,47,2023-01-05T02:05:49Z,3210000,False,,,0,,A. Sengun Free Throw 2 of 2 (8 PTS),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
331,PT01M23.00S,2023-01-05T02:06:01.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,90.48948751642575,44.85294117647059,1610612740,72,47,2023-01-05T02:06:05Z,3220000,False,-26.0,37.0,1,right,MISS C. McCollum driving floating bank Shot,[203468],1610612740.0,NOP,driving floating bank,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),0-8 Center,4.5,Missed,,,,,,,,,,,,,,,,,,
332,PT01M21.00S,2023-01-05T02:06:03.8Z,2,REGULAR,rebound,defensive,[],1631095,,,1610612745,72,47,2023-01-05T02:06:05Z,3230000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:2),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,331.0,,,2.0,2.0,0.0,,,,,,
333,PT01M19.00S,2023-01-05T02:06:07.4Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630578,8.623521681997373,47.05882352941176,1610612745,72,49,2023-01-05T02:06:41Z,3240000,False,15.0,29.0,1,left,A. Sengun running Layup (10 PTS) (K. Porter Jr. 3 AST),"[1630578, 1629645]",1610612745.0,HOU,running,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,3.22,Made,10.0,,,,,,,,,,,,K. Porter Jr.,1629645.0,3.0,,,
335,PT01M19.00S,2023-01-05T02:06:12.4Z,2,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1630700,,,1610612745,72,49,2023-01-05T02:06:24Z,3260000,False,,,0,,D. Daniels shooting personal FOUL (1 PF) (Sengun 1 FT),"[1630700, 1630578]",1610612740.0,NOP,shooting,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),0-8 Center,,,,1626301.0,1.0,0.0,Sengun,1630578.0,,,,,,,,,,,,
337,PT01M19.00S,2023-01-05T02:06:38.2Z,2,REGULAR,freethrow,1 of 1,[],1630578,,,1610612745,72,50,2023-01-05T02:06:38Z,3280000,False,,,0,,A. Sengun Free Throw 1 of 1 (11 PTS),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,Made,11.0,,,,,,,,,,,,,,,,,
338,PT01M08.00S,2023-01-05T02:06:51.1Z,2,REGULAR,3pt,Jump Shot,[],1630530,68.67608409986859,70.83333333333334,1610612740,72,50,2023-01-05T02:06:57Z,3290000,False,104.0,242.0,1,right,MISS T. Murphy III 26' 3PT,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,26.34,Missed,,,,,,,,,,,,,,,,,,
339,PT01M05.00S,2023-01-05T02:06:54.6Z,2,REGULAR,rebound,offensive,[],1630700,,,1610612740,72,50,2023-01-05T02:06:54Z,3300000,False,,,0,,D. Daniels REBOUND (Off:1 Def:0),[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Right Center,,,,,,,,,338.0,,,1.0,0.0,1.0,,,,,,
340,PT01M03.00S,2023-01-05T02:06:55.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630700,90.22667542706965,53.431372549019606,1610612740,72,50,2023-01-05T02:07:00Z,3310000,False,17.0,39.0,1,right,MISS D. Daniels putback Layup,[1630700],1610612740.0,NOP,putback,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,4.3,Missed,,,,,,,,,,,,,,,,,,
341,PT01M03.00S,2023-01-05T02:06:55.9Z,2,REGULAR,rebound,defensive,[],1631095,,,1610612745,72,50,2023-01-05T02:07:00Z,3320000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:3),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,340.0,,,3.0,3.0,0.0,,,,,,
342,PT00M59.20S,2023-01-05T02:07:00.9Z,2,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1630231,8.623521681997373,51.71568627450981,1610612745,72,52,2023-01-05T02:07:57Z,3330000,False,-9.0,29.0,1,left,K. Martin Jr. running DUNK (6 PTS) (K. Porter Jr. 4 AST),"[1630231, 1629645]",1610612745.0,HOU,running,,,Martin Jr.,K. Martin Jr.,,,,,Restricted Area,0-8 Center,2.99,Made,6.0,,,,,,,,,,,,K. Porter Jr.,1629645.0,4.0,,,
344,PT00M45.10S,2023-01-05T02:07:22.6Z,2,REGULAR,timeout,full,['team'],0,,,1610612740,72,52,2023-01-05T02:07:22Z,3350000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,PT00M38.20S,2023-01-05T02:08:56.9Z,2,REGULAR,3pt,Jump Shot,[],1630230,81.42247043363994,5.637254901960785,1610612740,72,52,2023-01-05T02:09:01Z,3360000,False,-222.0,122.0,1,right,MISS N. Marshall 25' 3PT,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,Above the Break 3,24+ Left Center,25.32,Missed,,,,,,,,,,,,,,,,,,
