actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
258,PT05M37.00S,2025-04-01T00:23:37.9Z,2,REGULAR,substitution,in,[],201143,,,1610612763,50,48,2025-04-01T00:23:54Z,2570000,False,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,,,,,,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,
259,PT05M25.00S,2025-04-01T00:24:34.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,9.937582128777924,39.46078431372549,1610612763,52,48,2025-04-01T00:24:44Z,2580000,False,53.0,41.0,1,left,J. Jackson Jr. 6' driving Layup (10 PTS),[1628991],1610612763.0,MEM,driving,,,,,,In The Paint (Non-RA),0-8 Center,6.67,Made,10.0,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,
260,PT05M09.00S,2025-04-01T00:24:51.7Z,2,REGULAR,3pt,Jump Shot,[],1628401,74.85216819973719,10.784313725490197,1610612738,52,48,2025-04-01T00:24:56Z,2590000,False,-196.0,184.0,1,right,MISS D. White 26' pullup 3PT,[1628401],1610612738.0,BOS,pullup,,,,,,Above the Break 3,24+ Left Center,26.88,Missed,,White,D. White,,,,,,,,,,,,,,,,,
261,PT05M05.00S,2025-04-01T00:24:55.7Z,2,REGULAR,rebound,defensive,[],1628963,,,1610612763,52,48,2025-04-01T00:24:56Z,2600000,False,,,0,,M. Bagley III REBOUND (Off:0 Def:4),[1628963],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Left Center,,,,Bagley III,M. Bagley III,260.0,,,,,,4.0,4.0,0.0,,,,,,,,
262,PT05M02.00S,2025-04-01T00:25:00.3Z,2,REGULAR,foul,personal,['2freethrow'],201143,,,1610612763,52,48,2025-04-01T00:25:08Z,2610000,False,,,0,,A. Horford shooting personal FOUL (1 PF) (Morant 2 FT),"[201143, 1629630]",1610612738.0,BOS,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,,Horford,A. Horford,,200834.0,1.0,0.0,Morant,1629630.0,,,,,,,,,,,
264,PT05M02.00S,2025-04-01T00:25:25.1Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],1629630,,,1610612763,53,48,2025-04-01T00:25:40Z,2630000,False,,,0,,J. Morant Free Throw 1 of 2 (17 PTS),[1629630],1610612763.0,MEM,,,,,,,,,,Made,17.0,Morant,J. Morant,,,,,,,,,,,,,,,,,
265,PT05M02.00S,2025-04-01T00:25:25.1Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],1629630,,,1610612763,53,48,2025-04-01T00:25:40Z,2640000,False,,,0,,MISS J. Morant Free Throw 2 of 2,[1629630],1610612763.0,MEM,,,,,,,,,,Missed,,Morant,J. Morant,,,,,,,,,,,,,,,,,
266,PT05M00.00S,2025-04-01T00:25:27.1Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,53,48,2025-04-01T00:25:40Z,2650000,False,,,0,,J. Tatum REBOUND (Off:1 Def:5),[1628369],1610612738.0,BOS,,,,,,,,,,,,Tatum,J. Tatum,265.0,,,,,,6.0,5.0,1.0,,,,,,,,
267,PT04M51.00S,2025-04-01T00:25:46.9Z,2,REGULAR,3pt,Jump Shot,[],201950,93.38042049934296,4.901960784313726,1610612738,53,51,2025-04-01T00:25:51Z,2660000,False,-225.0,10.0,1,right,J. Holiday 3PT  (3 PTS) (K. Porziņģis 4 AST),"[201950, 204001]",1610612738.0,BOS,,,,,,,Left Corner 3,24+ Left,22.57,Made,3.0,Holiday,J. Holiday,,,,,,,,,,K. Porziņģis,204001.0,4.0,,,,,
269,PT04M42.00S,2025-04-01T00:25:59.3Z,2,REGULAR,turnover,out-of-bounds,[],1630217,,,1610612763,53,51,2025-04-01T00:26:08Z,2680000,False,,,0,,D. Bane step out-of-bounds TURNOVER (2 TO),[1630217],1610612763.0,MEM,step,,,,,,Left Corner 3,24+ Left,,,,Bane,D. Bane,,200834.0,,,,,,,,,,,2.0,,,,
270,PT04M32.00S,2025-04-01T00:26:20.7Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],204001,64.47109067017082,60.29411764705882,1610612738,53,54,2025-04-01T00:26:24Z,2690000,False,51.0,281.0,1,right,K. Porziņģis 28' 3PT  (13 PTS) (D. White 5 AST),"[204001, 1628401]",1610612738.0,BOS,,,,,,,Above the Break 3,24+ Center,28.62,Made,13.0,Porziņģis,K. Porziņģis,,,,,,,,,,D. White,1628401.0,5.0,,,,,
272,PT04M19.00S,2025-04-01T00:26:34.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,12.959921156373195,40.44117647058824,1610612763,53,54,2025-04-01T00:26:39Z,2710000,False,48.0,69.0,1,left,MISS J. Jackson Jr. 8' driving floating bank Shot,[1628991],1610612763.0,MEM,driving floating bank,,,,,,In The Paint (Non-RA),8-16 Right,8.42,Missed,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,
273,PT04M15.00S,2025-04-01T00:26:38.1Z,2,REGULAR,rebound,offensive,[],1628963,,,1610612763,53,54,2025-04-01T00:26:39Z,2720000,False,,,0,,M. Bagley III REBOUND (Off:1 Def:4),[1628963],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),8-16 Right,,,,Bagley III,M. Bagley III,272.0,,,,,,5.0,4.0,1.0,,,,,,,,
274,PT04M15.00S,2025-04-01T00:26:38.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628963,5.590000152587891,50.0,1610612763,55,54,2025-04-01T00:26:38Z,2730000,False,0.0,0.0,1,left,M. Bagley III putback Layup (2 PTS),[1628963],1610612763.0,MEM,putback,,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,Bagley III,M. Bagley III,,,,,,,,,,,,,,,,,
275,PT04M05.00S,2025-04-01T00:26:48.6Z,2,REGULAR,3pt,Jump Shot,[],1628369,75.77201051248358,12.254901960784313,1610612738,55,57,2025-04-01T00:26:52Z,2740000,False,-189.0,175.0,1,right,J. Tatum 25' 3PT  (15 PTS) (D. White 6 AST),"[1628369, 1628401]",1610612738.0,BOS,,,,,,,Above the Break 3,24+ Left Center,25.75,Made,15.0,Tatum,J. Tatum,,,,,,,,,,D. White,1628401.0,6.0,,,,,
277,PT03M51.00S,2025-04-01T00:27:01.4Z,2,REGULAR,3pt,Jump Shot,[],1630217,26.231931668856767,78.43137254901961,1610612763,55,57,2025-04-01T00:27:08Z,2760000,False,-142.0,194.0,1,left,MISS D. Bane 24' pullup 3PT,[1630217],1610612763.0,MEM,pullup,,,,,,Above the Break 3,24+ Left Center,24.06,Missed,,Bane,D. Bane,,,,,,,,,,,,,,,,,
278,PT03M45.00S,2025-04-01T00:27:07.4Z,2,REGULAR,rebound,offensive,[],1642377,,,1610612763,55,57,2025-04-01T00:27:08Z,2770000,False,,,0,,J. Wells REBOUND (Off:1 Def:1),[1642377],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Left Center,,,,Wells,J. Wells,277.0,,,,,,2.0,1.0,1.0,,,,,,,,
279,PT03M45.00S,2025-04-01T00:27:07.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642377,5.590000152587891,50.0,1610612763,57,57,2025-04-01T00:27:07Z,2780000,False,0.0,0.0,1,left,J. Wells tip Layup (5 PTS),[1642377],1610612763.0,MEM,tip,,,,,,Mid-Range,8-16 Left,0.0,Made,5.0,Wells,J. Wells,,,,,,,,,,,,,,,,,
280,PT03M32.00S,2025-04-01T00:27:21.2Z,2,REGULAR,3pt,Jump Shot,[],1628369,64.60249671484888,28.186274509803923,1610612738,57,57,2025-04-01T00:27:25Z,2790000,False,-109.0,280.0,1,right,MISS J. Tatum 30' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,,,,Above the Break 3,24+ Left Center,30.07,Missed,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,
281,PT03M29.00S,2025-04-01T00:27:24.2Z,2,REGULAR,rebound,offensive,[],201950,,,1610612738,57,57,2025-04-01T00:27:25Z,2800000,False,,,0,,J. Holiday REBOUND (Off:1 Def:1),[201950],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Left Center,,,,Holiday,J. Holiday,280.0,,,,,,2.0,1.0,1.0,,,,,,,,
282,PT03M21.00S,2025-04-01T00:27:32.7Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1628369,70.12155059132719,11.27450980392157,1610612738,57,57,2025-04-01T00:27:36Z,2810000,False,-194.0,228.0,1,right,MISS J. Tatum 29' 3PT,[1628369],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Left Center,29.94,Missed,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,
283,PT03M17.00S,2025-04-01T00:27:36.7Z,2,REGULAR,rebound,defensive,[],1628991,,,1610612763,57,57,2025-04-01T00:27:36Z,2820000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:5),[1628991],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Left Center,,,,Jackson Jr.,J. Jackson Jr.,282.0,,,,,,5.0,5.0,0.0,,,,,,,,
284,PT03M10.00S,2025-04-01T00:27:42.6Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', 'fastbreak']",1629630,9.280551905387648,54.90196078431373,1610612763,57,57,2025-04-01T00:27:49Z,2830000,False,-25.0,35.0,1,left,MISS J. Morant driving Hook,[1629630],1610612763.0,MEM,driving,,,,,,Restricted Area,0-8 Center,4.25,Missed,,Morant,J. Morant,,,,,,,,,,,,,,,,,
285,PT03M06.00S,2025-04-01T00:27:46.6Z,2,REGULAR,rebound,defensive,[],201143,,,1610612738,57,57,2025-04-01T00:42:43Z,2840000,False,,,0,,A. Horford REBOUND (Off:1 Def:4),[201143],1610612738.0,BOS,,,,,,,Restricted Area,0-8 Center,,,,Horford,A. Horford,284.0,,,,,,5.0,4.0,1.0,,,,,,,,
286,PT03M04.00S,2025-04-01T00:27:51.9Z,2,REGULAR,foul,personal,[],1628963,,,1610612738,57,57,2025-04-01T00:31:13Z,2850000,False,,,0,,M. Bagley III personal FOUL (1 PF),"[1628963, 204001]",1610612763.0,MEM,,,,,,,Restricted Area,0-8 Center,,,,Bagley III,M. Bagley III,,200834.0,1.0,1.0,Porziņģis,204001.0,,,,,,,,,,,
289,PT03M04.00S,2025-04-01T00:28:01.2Z,2,REGULAR,substitution,out,[],1628963,,,1610612738,57,57,2025-04-01T00:31:13Z,2880000,False,,,0,,SUB out: M. Bagley III,[1628963],1610612763.0,MEM,,,,,,,,,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,,,
290,PT03M04.00S,2025-04-01T00:28:01.2Z,2,REGULAR,substitution,in,[],1630583,,,1610612738,57,57,2025-04-01T00:31:13Z,2890000,False,,,0,,SUB in: S. Aldama,[1630583],1610612763.0,MEM,,,,,,,,,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,
291,PT03M04.00S,2025-04-01T00:28:18.1Z,2,REGULAR,timeout,challenge,['team'],0,,,1610612738,57,57,2025-04-01T00:31:14Z,2900000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,PT02M58.00S,2025-04-01T00:31:43.4Z,2,REGULAR,turnover,bad pass,[],204001,,,1610612738,57,57,2025-04-01T00:31:46Z,2920000,False,,,0,,K. Porziņģis bad pass TURNOVER (1 TO),"[204001, 1629630]",1610612738.0,BOS,,,,,,,In The Paint (Non-RA),8-16 Left,,,,Porziņģis,K. Porziņģis,,,,,,,,,,,,,1.0,Morant,1629630.0,,
294,PT02M58.00S,2025-04-01T00:31:43.4Z,2,REGULAR,steal,,[],1629630,,,1610612763,57,57,2025-04-01T00:31:44Z,2930000,False,,,0,,J. Morant STEAL (1 STL),[1629630],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),8-16 Left,,,,Morant,J. Morant,,,,,,,,,,,,,,,,,
295,PT02M54.00S,2025-04-01T00:31:47.5Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630217,33.459264126149804,34.55882352941176,1610612763,57,57,2025-04-01T00:31:53Z,2940000,False,77.0,262.0,1,left,MISS D. Bane 27' running 3PT,[1630217],1610612763.0,MEM,running,,,,,,Above the Break 3,24+ Center,27.31,Missed,,Bane,D. Bane,,,,,,,,,,,,,,,,,
296,PT02M50.00S,2025-04-01T00:31:51.5Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,57,57,2025-04-01T00:31:53Z,2950000,False,,,0,,J. Tatum REBOUND (Off:1 Def:6),[1628369],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Center,,,,Tatum,J. Tatum,295.0,,,,,,7.0,6.0,1.0,,,,,,,,
297,PT02M46.00S,2025-04-01T00:31:56.5Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1628401,86.5473061760841,4.901960784313726,1610612738,57,57,2025-04-01T00:32:01Z,2960000,False,-225.0,74.0,1,right,MISS D. White running 3PT,[1628401],1610612738.0,BOS,running,,,,,,Left Corner 3,24+ Left,23.73,Missed,,White,D. White,,,,,,,,,,,,,,,,,
298,PT02M42.00S,2025-04-01T00:32:00.5Z,2,REGULAR,rebound,defensive,[],1628991,,,1610612763,57,57,2025-04-01T00:32:01Z,2970000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:6),[1628991],1610612763.0,MEM,,,,,,,Left Corner 3,24+ Left,,,,Jackson Jr.,J. Jackson Jr.,297.0,,,,,,6.0,6.0,0.0,,,,,,,,
299,PT02M36.00S,2025-04-01T00:32:06.0Z,2,REGULAR,3pt,Jump Shot,[],1629630,6.258212877792378,3.431372549019608,1610612763,57,57,2025-04-01T00:32:10Z,2980000,False,233.0,6.0,1,left,MISS J. Morant 3PT,[1629630],1610612763.0,MEM,,,,,,,Right Corner 3,24+ Right,23.29,Missed,,Morant,J. Morant,,,,,,,,,,,,,,,,,
300,PT02M32.00S,2025-04-01T00:32:10.0Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,57,57,2025-04-01T00:32:10Z,2990000,False,,,0,,J. Tatum REBOUND (Off:1 Def:7),[1628369],1610612738.0,BOS,,,,,,,Right Corner 3,24+ Right,,,,Tatum,J. Tatum,299.0,,,,,,8.0,7.0,1.0,,,,,,,,
301,PT02M23.00S,2025-04-01T00:32:21.1Z,2,REGULAR,foul,personal,[],1630217,,,1610612738,57,57,2025-04-01T00:32:28Z,3000000,False,,,0,,D. Bane personal FOUL (1 PF),"[1630217, 204001]",1610612763.0,MEM,,,,,,,Mid-Range,8-16 Left,,,,Bane,D. Bane,,1146.0,1.0,0.0,Porziņģis,204001.0,,,,,,,,,,,
303,PT02M16.00S,2025-04-01T00:32:52.9Z,2,REGULAR,2pt,Jump Shot,[],1628369,89.30683311432325,87.99019607843137,1610612738,57,57,2025-04-01T00:32:58Z,3020000,False,190.0,48.0,1,right,MISS J. Tatum 19' pullup Shot,[1628369],1610612738.0,BOS,pullup,,,,,,Mid-Range,16-24 Right,19.6,Missed,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,
304,PT02M14.00S,2025-04-01T00:32:54.9Z,2,REGULAR,rebound,offensive,[],1628369,,,1610612738,57,57,2025-04-01T00:32:58Z,3030000,False,,,0,,J. Tatum REBOUND (Off:2 Def:7),[1628369],1610612738.0,BOS,,,,,,,Mid-Range,16-24 Right,,,,Tatum,J. Tatum,303.0,,,,,,9.0,7.0,2.0,,,,,,,,
305,PT02M12.00S,2025-04-01T00:32:57.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628369,91.93495400788436,45.588235294117645,1610612738,57,57,2025-04-01T00:33:02Z,3040000,False,-22.0,23.0,1,right,MISS J. Tatum driving reverse Layup,[1628369],1610612738.0,BOS,driving reverse,,,,,,Restricted Area,0-8 Center,3.21,Missed,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,
306,PT02M12.00S,2025-04-01T00:32:57.6Z,2,REGULAR,rebound,defensive,[],1628991,,,1610612763,57,57,2025-04-01T00:33:02Z,3050000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:7),[1628991],1610612763.0,MEM,,,,,,,Restricted Area,0-8 Center,,,,Jackson Jr.,J. Jackson Jr.,305.0,,,,,,7.0,7.0,0.0,,,,,,,,
307,PT02M06.00S,2025-04-01T00:33:03.2Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1630583,31.61957950065703,55.14705882352941,1610612763,57,57,2025-04-01T00:33:08Z,3060000,False,-26.0,245.0,1,left,MISS S. Aldama 24' running pullup 3PT,[1630583],1610612763.0,MEM,running pullup,,,,,,Above the Break 3,24+ Center,24.6,Missed,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,
308,PT02M02.00S,2025-04-01T00:33:07.2Z,2,REGULAR,rebound,defensive,[],201950,,,1610612738,57,57,2025-04-01T00:33:08Z,3070000,False,,,0,,J. Holiday REBOUND (Off:1 Def:2),[201950],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Center,,,,Holiday,J. Holiday,307.0,,,,,,3.0,2.0,1.0,,,,,,,,
309,PT01M54.00S,2025-04-01T00:33:14.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201950,90.09526938239159,42.8921568627451,1610612738,57,59,2025-04-01T00:33:18Z,3080000,False,-36.0,41.0,1,right,J. Holiday driving floating bank Jump Shot (5 PTS),[201950],1610612738.0,BOS,driving floating bank,,,,,,In The Paint (Non-RA),0-8 Center,5.39,Made,5.0,Holiday,J. Holiday,,,,,,,,,,,,,,,,,
310,PT01M47.00S,2025-04-01T00:33:23.2Z,2,REGULAR,3pt,Jump Shot,[],1630583,31.488173455978973,37.99019607843137,1610612763,57,59,2025-04-01T00:33:28Z,3090000,False,60.0,243.0,1,left,MISS S. Aldama 25' 3PT,[1630583],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Center,25.08,Missed,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,
311,PT01M41.00S,2025-04-01T00:33:29.2Z,2,REGULAR,rebound,defensive,[],1628401,,,1610612738,57,59,2025-04-01T00:33:28Z,3100000,False,,,0,,D. White REBOUND (Off:0 Def:2),[1628401],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Center,,,,White,D. White,310.0,,,,,,2.0,2.0,0.0,,,,,,,,
312,PT01M37.00S,2025-04-01T00:33:33.6Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",204001,92.72339027595268,51.470588235294116,1610612738,57,61,2025-04-01T00:38:24Z,3110000,False,7.0,16.0,1,right,K. Porziņģis running Layup (15 PTS) (J. Holiday 5 AST),"[204001, 201950]",1610612738.0,BOS,running,,,,,,Restricted Area,0-8 Center,1.75,Made,15.0,Porziņģis,K. Porziņģis,,,,,,,,,,J. Holiday,201950.0,5.0,,,,,
314,PT01M37.00S,2025-04-01T00:33:36.9Z,2,REGULAR,foul,personal,['1freethrow'],1630217,,,1610612738,57,61,2025-04-01T00:34:02Z,3130000,False,,,0,,D. Bane shooting personal FOUL (2 PF) (Porziņģis 1 FT),"[1630217, 204001]",1610612763.0,MEM,shooting,,,,,,Restricted Area,0-8 Center,,,,Bane,D. Bane,,200834.0,2.0,0.0,Porziņģis,204001.0,,,,,,,,,,,
316,PT01M37.00S,2025-04-01T00:33:50.1Z,2,REGULAR,substitution,out,[],1642377,,,1610612738,57,61,2025-04-01T00:33:52Z,3150000,False,,,0,,SUB out: J. Wells,[1642377],1610612763.0,MEM,,,,,,,,,,,,Wells,J. Wells,,,,,,,,,,,,,,,,,
317,PT01M37.00S,2025-04-01T00:33:50.1Z,2,REGULAR,substitution,in,[],1630590,,,1610612738,57,61,2025-04-01T00:33:52Z,3160000,False,,,0,,SUB in: S. Pippen Jr.,[1630590],1610612763.0,MEM,,,,,,,,,,,,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,,,,,,,,
318,PT01M37.00S,2025-04-01T00:34:03.7Z,2,REGULAR,freethrow,1 of 1,['fastbreak'],204001,,,1610612738,57,62,2025-04-01T00:34:03Z,3170000,False,,,0,,K. Porziņģis Free Throw 1 of 1 (16 PTS),[204001],1610612738.0,BOS,,,,,,,,,,Made,16.0,Porziņģis,K. Porziņģis,,,,,,,,,,,,,,,,,
319,PT01M26.00S,2025-04-01T00:34:16.6Z,2,REGULAR,3pt,Jump Shot,[],1630590,18.478975032851512,91.91176470588235,1610612763,57,62,2025-04-01T00:34:23Z,3180000,False,-210.0,121.0,1,left,MISS S. Pippen Jr. 24' 3PT,[1630590],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Left Center,24.21,Missed,,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,,,,,,,,
320,PT01M23.00S,2025-04-01T00:34:19.6Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612763,57,62,2025-04-01T00:34:23Z,3190000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Left Center,,,,,,319.0,,,,,,,,,,,,,,,,
322,PT01M15.00S,2025-04-01T00:34:43.3Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1630590,25.443495400788436,13.725490196078432,1610612763,57,62,2025-04-01T00:34:48Z,3210000,False,181.0,187.0,1,left,MISS S. Pippen Jr. 26' 3PT,[1630590],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Right Center,26.03,Missed,,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,,,,,,,,
323,PT01M12.00S,2025-04-01T00:34:46.3Z,2,REGULAR,rebound,defensive,[],204001,,,1610612738,57,62,2025-04-01T00:34:48Z,3220000,False,,,0,,K. Porziņģis REBOUND (Off:2 Def:2),[204001],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Right Center,,,,Porziņģis,K. Porziņģis,322.0,,,,,,4.0,2.0,2.0,,,,,,,,
324,PT01M01.00S,2025-04-01T00:34:56.4Z,2,REGULAR,3pt,Jump Shot,[],204001,68.15045992115637,64.70588235294117,1610612738,57,62,2025-04-01T00:35:01Z,3230000,False,74.0,247.0,1,right,MISS K. Porziņģis 25' pullup 3PT,[204001],1610612738.0,BOS,pullup,,,,,,Above the Break 3,24+ Center,25.76,Missed,,Porziņģis,K. Porziņģis,,,,,,,,,,,,,,,,,
325,PT01M00.00S,2025-04-01T00:34:57.4Z,2,REGULAR,rebound,offensive,[],1628401,,,1610612738,57,62,2025-04-01T00:35:01Z,3240000,False,,,0,,D. White REBOUND (Off:1 Def:2),[1628401],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Center,,,,White,D. White,324.0,,,,,,3.0,2.0,1.0,,,,,,,,
326,PT01M00.00S,2025-04-01T00:35:00.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628401,94.40999984741211,50.0,1610612738,57,64,2025-04-01T00:35:00Z,3250000,False,0.0,0.0,1,right,D. White tip Layup (5 PTS),[1628401],1610612738.0,BOS,tip,,,,,,Mid-Range,8-16 Left,0.0,Made,5.0,White,D. White,,,,,,,,,,,,,,,,,
327,PT00M58.00S,2025-04-01T00:35:02.7Z,2,REGULAR,turnover,bad pass,[],1630217,,,1610612763,57,64,2025-04-01T00:35:06Z,3260000,False,,,0,,D. Bane bad pass TURNOVER (3 TO),"[1630217, 201950]",1610612763.0,MEM,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Bane,D. Bane,,,,,,,,,,,,,3.0,Holiday,201950.0,,
328,PT00M58.00S,2025-04-01T00:35:02.7Z,2,REGULAR,steal,,[],201950,,,1610612738,57,64,2025-04-01T00:35:04Z,3270000,False,,,0,,J. Holiday STEAL (1 STL),[201950],1610612738.0,BOS,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,
329,PT00M41.80S,2025-04-01T00:35:19.2Z,2,REGULAR,turnover,bad pass,[],1628369,,,1610612738,57,64,2025-04-01T00:35:22Z,3280000,False,,,0,,J. Tatum bad pass TURNOVER (3 TO),"[1628369, 1630217]",1610612738.0,BOS,,,,,,,Above the Break 3,24+ Center,,,,Tatum,J. Tatum,,,,,,,,,,,,,3.0,Bane,1630217.0,,
330,PT00M41.80S,2025-04-01T00:35:19.2Z,2,REGULAR,steal,,[],1630217,,,1610612763,57,64,2025-04-01T00:35:21Z,3290000,False,,,0,,D. Bane STEAL (1 STL),[1630217],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Center,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,
331,PT00M35.70S,2025-04-01T00:35:25.4Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630590,7.440867279894875,95.09803921568627,1610612763,57,64,2025-04-01T00:41:13Z,3300000,False,-225.0,17.0,1,left,MISS S. Pippen Jr. running 3PT,[1630590],1610612763.0,MEM,running,,,,,,Left Corner 3,24+ Left,22.62,Missed,,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,,,,,,,,
332,PT00M34.20S,2025-04-01T00:35:26.9Z,2,REGULAR,rebound,offensive,[],1629630,,,1610612763,57,64,2025-04-01T00:35:31Z,3310000,False,,,0,,J. Morant REBOUND (Off:1 Def:2),[1629630],1610612763.0,MEM,,,,,,,Left Corner 3,24+ Left,,,,Morant,J. Morant,331.0,,,,,,3.0,2.0,1.0,,,,,,,,
333,PT00M34.20S,2025-04-01T00:35:30.9Z,2,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1629630,5.590000152587891,50.0,1610612763,59,64,2025-04-01T00:35:34Z,3320000,False,0.0,0.0,1,left,J. Morant tip DUNK (19 PTS),[1629630],1610612763.0,MEM,tip,,,,,,Restricted Area,0-8 Center,0.0,Made,19.0,Morant,J. Morant,,,,,,,,,,,,,,,,,
334,PT00M13.80S,2025-04-01T00:35:56.6Z,2,REGULAR,2pt,Jump Shot,[],1628369,74.45795006570303,56.61764705882353,1610612738,59,66,2025-04-01T00:36:01Z,3330000,False,33.0,188.0,1,right,J. Tatum 19' turnaround Jump Shot (17 PTS),[1628369],1610612738.0,BOS,turnaround,,,,,,Mid-Range,16-24 Center,19.05,Made,17.0,Tatum,J. Tatum,,,,,,,,,,,,,,,,,
336,PT00M03.60S,2025-04-01T00:36:09.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630583,13.748357424441524,38.970588235294116,1610612763,61,66,2025-04-01T00:36:14Z,3350000,False,55.0,77.0,1,left,S. Aldama 9' floating Jump Shot (9 PTS) (J. Morant 3 AST),"[1630583, 1629630]",1610612763.0,MEM,floating,,,,,,In The Paint (Non-RA),8-16 Right,9.44,Made,9.0,Aldama,S. Aldama,,,,,,,,,,J. Morant,1629630.0,3.0,,,,,
338,PT00M00.80S,2025-04-01T00:36:14.8Z,2,REGULAR,3pt,Jump Shot,[],1628401,65.1281208935611,16.911764705882355,1610612738,61,66,2025-04-01T00:36:20Z,3370000,False,-165.0,275.0,1,right,MISS D. White 32' pullup 3PT,[1628401],1610612738.0,BOS,pullup,,,,,,Above the Break 3,24+ Left Center,32.12,Missed,,White,D. White,,,,,,,,,,,,,,,,,
