actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
250,PT05M10.00S,2025-03-16T00:50:10.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,87.07293035479631,41.42156862745098,1610612748,51,40,2025-03-16T00:50:14Z,2490000,False,-43.0,69.0,1,right,MISS T. Herro 8' floating Shot,[1629639],1610612748.0,MIA,floating,,,,,,In The Paint (Non-RA),8-16 Center,8.12,Missed,,Herro,T. Herro,,,,,,,,,,,,,,,,,
251,PT05M06.00S,2025-03-16T00:50:14.2Z,2,REGULAR,rebound,defensive,[],1630590,,,1610612763,51,40,2025-03-16T01:12:10Z,2500000,False,,,0,,S. Pippen Jr. REBOUND (Off:0 Def:3),[1630590],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Pippen Jr.,S. Pippen Jr.,,,,250.0,3.0,3.0,0.0,,,,,,,,,,
252,PT05M02.00S,2025-03-16T00:50:18.6Z,2,REGULAR,turnover,bad pass,[],1630590,,,1610612763,51,40,2025-03-16T00:50:20Z,2510000,False,,,0,,S. Pippen Jr. bad pass TURNOVER (1 TO),"[1630590, 1629639]",1610612763.0,MEM,,,,,,,Restricted Area,0-8 Center,,,,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,,,,1.0,Herro,1629639.0,,
253,PT05M02.00S,2025-03-16T00:50:18.6Z,2,REGULAR,steal,,[],1629639,,,1610612748,51,40,2025-03-16T00:50:19Z,2520000,False,,,0,,T. Herro STEAL (2 STL),[1629639],1610612748.0,MIA,,,,,,,Restricted Area,0-8 Center,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,
254,PT04M58.00S,2025-03-16T00:50:24.1Z,2,REGULAR,turnover,out-of-bounds,[],203952,,,1610612748,51,40,2025-03-16T00:50:31Z,2530000,False,,,0,,A. Wiggins step out-of-bounds TURNOVER (1 TO),[203952],1610612748.0,MIA,step,,,,,,Above the Break 3,24+ Left Center,,,,Wiggins,A. Wiggins,,,,,,,,201246.0,,,,,1.0,,,,
255,PT04M46.00S,2025-03-16T00:50:53.3Z,2,REGULAR,foul,offensive,[],1630217,,,1610612763,51,40,2025-03-16T00:50:58Z,2540000,False,,,0,,D. Bane offensive FOUL (1 PF),"[1630217, 203952]",1610612763.0,MEM,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Bane,D. Bane,,,,,,,,1628159.0,1.0,0.0,Wiggins,203952.0,,,,,
257,PT04M46.00S,2025-03-16T00:50:53.3Z,2,REGULAR,turnover,offensive foul,[],1630217,,,1610612763,51,40,2025-03-16T00:50:53Z,2560000,False,,,0,,D. Bane offensive foul TURNOVER (2 TO),[1630217],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Bane,D. Bane,,,,,,,,1628159.0,,,,,2.0,,,,
258,PT04M28.00S,2025-03-16T00:51:30.9Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],203952,71.17279894875165,24.754901960784316,1610612748,51,40,2025-03-16T00:51:34Z,2570000,False,-126.0,218.0,1,right,MISS A. Wiggins 25' 3PT,[203952],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Left Center,25.23,Missed,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,
259,PT04M26.00S,2025-03-16T00:51:32.9Z,2,REGULAR,rebound,defensive,[],1630217,,,1610612763,51,40,2025-03-16T00:51:34Z,2580000,False,,,0,,D. Bane REBOUND (Off:0 Def:4),[1630217],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Left Center,,,,Bane,D. Bane,,,,258.0,4.0,4.0,0.0,,,,,,,,,,
260,PT04M19.00S,2025-03-16T00:51:39.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630217,9.280551905387648,56.372549019607845,1610612763,51,40,2025-03-16T00:51:43Z,2590000,False,-32.0,35.0,1,left,MISS D. Bane running finger roll Layup - blocked,"[1630217, 1628389]",1610612763.0,MEM,running finger roll,,,,,,In The Paint (Non-RA),0-8 Center,4.71,Missed,,Bane,D. Bane,,,,,,,,,,,,,,,,Adebayo,1628389.0
261,PT04M19.00S,2025-03-16T00:51:39.6Z,2,REGULAR,block,,[],1628389,,,1610612763,51,40,2025-03-16T00:51:42Z,2600000,False,,,0,,B. Adebayo BLOCK (2 BLK),[1628389],1610612748.0,MIA,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,
262,PT04M15.00S,2025-03-16T00:51:43.6Z,2,REGULAR,rebound,offensive,[],1628991,,,1610612763,51,40,2025-03-16T00:51:43Z,2610000,False,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:2),[1628991],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Jackson Jr.,J. Jackson Jr.,,,,260.0,3.0,2.0,1.0,,,,,,,,,,
263,PT04M12.00S,2025-03-16T00:51:46.4Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1642377,29.6484888304862,27.941176470588236,1610612763,51,40,2025-03-16T00:51:49Z,2620000,False,110.0,226.0,1,left,MISS J. Wells 25' step back 3PT,[1642377],1610612763.0,MEM,step back,,,,,,Above the Break 3,24+ Right Center,25.17,Missed,,Wells,J. Wells,,,,,,,,,,,,,,,,,
264,PT04M09.00S,2025-03-16T00:51:49.4Z,2,REGULAR,rebound,defensive,[],1629639,,,1610612748,51,40,2025-03-16T00:51:49Z,2630000,False,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Right Center,,,,Herro,T. Herro,,,,263.0,1.0,1.0,0.0,,,,,,,,,,
265,PT03M58.00S,2025-03-16T00:52:00.1Z,2,REGULAR,3pt,Jump Shot,[],203952,92.19776609724047,4.411764705882353,1610612748,51,43,2025-03-16T00:52:03Z,2640000,False,-228.0,21.0,1,right,A. Wiggins 3PT  (3 PTS) (T. Herro 3 AST),"[203952, 1629639]",1610612748.0,MIA,,,,,,,Left Corner 3,24+ Left,22.88,Made,3.0,Wiggins,A. Wiggins,T. Herro,1629639.0,3.0,,,,,,,,,,,,,,
267,PT03M47.00S,2025-03-16T00:52:13.2Z,2,REGULAR,foul,personal,[],203952,,,1610612763,51,43,2025-03-16T00:52:20Z,2660000,False,,,0,,A. Wiggins personal FOUL (1 PF),"[203952, 1630217]",1610612748.0,MIA,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Wiggins,A. Wiggins,,,,,,,,201246.0,1.0,0.0,Bane,1630217.0,,,,,
269,PT03M47.00S,2025-03-16T00:52:22.5Z,2,REGULAR,substitution,out,[],1628991,,,1610612763,51,43,2025-03-16T00:52:27Z,2680000,False,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,,,,,,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,
270,PT03M47.00S,2025-03-16T00:52:22.5Z,2,REGULAR,substitution,in,[],1630205,,,1610612763,51,43,2025-03-16T00:52:27Z,2690000,False,,,0,,SUB in: L. Stevens,[1630205],1610612763.0,MEM,,,,,,,,,,,,Stevens,L. Stevens,,,,,,,,,,,,,,,,,
271,PT03M32.00S,2025-03-16T00:52:54.1Z,2,REGULAR,3pt,Jump Shot,[],1642377,30.699737187910642,35.294117647058826,1610612763,51,43,2025-03-16T00:52:57Z,2700000,False,74.0,236.0,1,left,MISS J. Wells 24' pullup 3PT,[1642377],1610612763.0,MEM,pullup,,,,,,Above the Break 3,24+ Center,24.73,Missed,,Wells,J. Wells,,,,,,,,,,,,,,,,,
272,PT03M29.00S,2025-03-16T00:52:57.1Z,2,REGULAR,rebound,defensive,[],1642276,,,1610612748,51,43,2025-03-16T00:52:57Z,2710000,False,,,0,,K. Ware REBOUND (Off:2 Def:5),[1642276],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Center,,,,Ware,K. Ware,,,,271.0,7.0,5.0,2.0,,,,,,,,,,
273,PT03M10.00S,2025-03-16T00:53:16.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,82.21090670170827,57.84313725490197,1610612748,51,43,2025-03-16T00:53:20Z,2720000,False,39.0,115.0,1,right,MISS B. Adebayo 12' fadeaway Shot,[1628389],1610612748.0,MIA,fadeaway,,,,,,In The Paint (Non-RA),8-16 Center,12.12,Missed,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,
274,PT03M07.00S,2025-03-16T00:53:19.7Z,2,REGULAR,rebound,defensive,[],1630217,,,1610612763,51,43,2025-03-16T00:53:20Z,2730000,False,,,0,,D. Bane REBOUND (Off:0 Def:5),[1630217],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Bane,D. Bane,,,,273.0,5.0,5.0,0.0,,,,,,,,,,
275,PT02M56.00S,2025-03-16T00:53:30.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629634,9.280551905387648,37.00980392156863,1610612763,53,43,2025-03-16T00:53:34Z,2740000,False,65.0,35.0,1,left,B. Clarke 7' Jump Shot (4 PTS) (S. Pippen Jr. 3 AST),"[1629634, 1630590]",1610612763.0,MEM,,,,,,,In The Paint (Non-RA),0-8 Center,7.37,Made,4.0,Clarke,B. Clarke,S. Pippen Jr.,1630590.0,3.0,,,,,,,,,,,,,,
277,PT02M55.00S,2025-03-16T00:53:36.2Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,53,43,2025-03-16T00:53:36Z,2760000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,PT02M55.00S,2025-03-16T00:55:40.5Z,2,REGULAR,substitution,out,[],1642377,,,1610612748,53,43,2025-03-16T00:56:11Z,2770000,False,,,0,,SUB out: J. Wells,[1642377],1610612763.0,MEM,,,,,,,,,,,,Wells,J. Wells,,,,,,,,,,,,,,,,,
279,PT02M55.00S,2025-03-16T00:55:40.5Z,2,REGULAR,substitution,in,[],1628379,,,1610612748,53,43,2025-03-16T00:56:11Z,2780000,False,,,0,,SUB in: L. Kennard,[1628379],1610612763.0,MEM,,,,,,,,,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,
280,PT02M31.00S,2025-03-16T00:56:52.1Z,2,REGULAR,3pt,Jump Shot,[],1629130,87.99277266754271,95.09803921568627,1610612748,53,43,2025-03-16T01:12:50Z,2790000,False,225.0,60.0,1,right,MISS D. Robinson 3PT - blocked,"[1629130, 1630590]",1610612748.0,MIA,,,,,,,Right Corner 3,24+ Right,23.34,Missed,,Robinson,D. Robinson,,,,,,,,,,,,,,,,Pippen Jr.,1630590.0
281,PT02M31.00S,2025-03-16T00:56:52.1Z,2,REGULAR,block,,[],1630590,,,1610612748,53,43,2025-03-16T00:56:54Z,2800000,False,,,0,,S. Pippen Jr. BLOCK (1 BLK),[1630590],1610612763.0,MEM,,,,,,,Right Corner 3,24+ Right,,,,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,,,,,,,,
282,PT02M29.00S,2025-03-16T00:56:54.1Z,2,REGULAR,rebound,defensive,[],1630590,,,1610612763,53,43,2025-03-16T00:56:55Z,2810000,False,,,0,,S. Pippen Jr. REBOUND (Off:0 Def:4),[1630590],1610612763.0,MEM,,,,,,,Right Corner 3,24+ Right,,,,Pippen Jr.,S. Pippen Jr.,,,,280.0,4.0,4.0,0.0,,,,,,,,,,
283,PT02M24.00S,2025-03-16T00:56:59.7Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1628379,30.436925098554536,29.65686274509804,1610612763,56,43,2025-03-16T00:57:04Z,2820000,False,102.0,234.0,1,left,L. Kennard 25' 3PT running (3 PTS) (S. Pippen Jr. 4 AST),"[1628379, 1630590]",1610612763.0,MEM,running,,,,,,Above the Break 3,24+ Right Center,25.48,Made,3.0,Kennard,L. Kennard,S. Pippen Jr.,1630590.0,4.0,,,,,,,,,,,,,,
285,PT02M02.00S,2025-03-16T00:57:23.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203952,85.89027595269383,38.970588235294116,1610612748,56,45,2025-03-16T00:57:28Z,2840000,False,-55.0,80.0,1,right,A. Wiggins 9' driving floating Jump Shot (5 PTS) (T. Herro 4 AST),"[203952, 1629639]",1610612748.0,MIA,driving floating,,,,,,In The Paint (Non-RA),8-16 Left,9.72,Made,5.0,Wiggins,A. Wiggins,T. Herro,1629639.0,4.0,,,,,,,,,,,,,,
287,PT02M02.00S,2025-03-16T00:57:26.7Z,2,REGULAR,foul,personal,['1freethrow'],1629634,,,1610612748,56,45,2025-03-16T00:57:46Z,2860000,False,,,0,,B. Clarke shooting personal FOUL (1 PF) (Wiggins 1 FT),"[1629634, 203952]",1610612763.0,MEM,shooting,,,,,,In The Paint (Non-RA),8-16 Left,,,,Clarke,B. Clarke,,,,,,,,201246.0,1.0,0.0,Wiggins,203952.0,,,,,
289,PT02M02.00S,2025-03-16T00:57:41.6Z,2,REGULAR,substitution,out,[],1630205,,,1610612748,56,45,2025-03-16T00:58:25Z,2880000,False,,,0,,SUB out: L. Stevens,[1630205],1610612763.0,MEM,,,,,,,,,,,,Stevens,L. Stevens,,,,,,,,,,,,,,,,,
290,PT02M02.00S,2025-03-16T00:57:41.6Z,2,REGULAR,substitution,out,[],1629634,,,1610612748,56,45,2025-03-16T00:58:25Z,2890000,False,,,0,,SUB out: B. Clarke,[1629634],1610612763.0,MEM,,,,,,,,,,,,Clarke,B. Clarke,,,,,,,,,,,,,,,,,
291,PT02M02.00S,2025-03-16T00:57:41.6Z,2,REGULAR,substitution,in,[],1628991,,,1610612748,56,45,2025-03-16T00:58:25Z,2900000,False,,,0,,SUB in: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,,,,,,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,
292,PT02M02.00S,2025-03-16T00:57:41.6Z,2,REGULAR,substitution,in,[],1641744,,,1610612748,56,45,2025-03-16T00:58:25Z,2910000,False,,,0,,SUB in: Z. Edey,[1641744],1610612763.0,MEM,,,,,,,,,,,,Edey,Z. Edey,,,,,,,,,,,,,,,,,
293,PT02M02.00S,2025-03-16T00:58:08.7Z,2,REGULAR,freethrow,1 of 1,[],203952,,,1610612748,56,46,2025-03-16T00:58:08Z,2920000,False,,,0,,A. Wiggins Free Throw 1 of 1 (6 PTS),[203952],1610612748.0,MIA,,,,,,,,,,Made,6.0,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,
294,PT01M48.00S,2025-03-16T00:58:24.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630590,5.995400788436268,45.34313725490196,1610612763,56,46,2025-03-16T00:58:27Z,2930000,False,23.0,4.0,1,left,MISS S. Pippen Jr. Layup,[1630590],1610612763.0,MEM,,,,,,,Restricted Area,0-8 Center,2.36,Missed,,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,,,,,,,,
295,PT01M46.00S,2025-03-16T00:58:25.9Z,2,REGULAR,rebound,offensive,[],1630590,,,1610612763,56,46,2025-03-16T00:58:25Z,2940000,False,,,0,,S. Pippen Jr. REBOUND (Off:1 Def:4),[1630590],1610612763.0,MEM,,,,,,,Restricted Area,0-8 Center,,,,Pippen Jr.,S. Pippen Jr.,,,,294.0,5.0,4.0,1.0,,,,,,,,,,
296,PT01M45.00S,2025-03-16T00:58:27.6Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1630217,3.7614980289093296,95.34313725490196,1610612763,59,46,2025-03-16T00:58:31Z,2950000,False,-227.0,-17.0,1,left,D. Bane 3PT  (12 PTS) (S. Pippen Jr. 5 AST),"[1630217, 1630590]",1610612763.0,MEM,,,,,,,Left Corner 3,24+ Left,22.73,Made,12.0,Bane,D. Bane,S. Pippen Jr.,1630590.0,5.0,,,,,,,,,,,,,,
298,PT01M23.00S,2025-03-16T00:58:48.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,82.7365308804205,55.88235294117647,1610612748,59,48,2025-03-16T00:58:53Z,2970000,False,29.0,110.0,1,right,B. Adebayo 11' Jump Shot (6 PTS) (T. Herro 5 AST),"[1628389, 1629639]",1610612748.0,MIA,,,,,,,In The Paint (Non-RA),8-16 Center,11.37,Made,6.0,Adebayo,B. Adebayo,T. Herro,1629639.0,5.0,,,,,,,,,,,,,,
300,PT00M57.70S,2025-03-16T00:59:14.6Z,2,REGULAR,2pt,Jump Shot,[],1628991,25.04927726675427,45.34313725490196,1610612763,61,48,2025-03-16T00:59:17Z,2990000,False,23.0,183.0,1,left,J. Jackson Jr. 18' pullup Jump Shot (23 PTS) (S. Pippen Jr. 6 AST),"[1628991, 1630590]",1610612763.0,MEM,pullup,,,,,,Mid-Range,16-24 Center,18.45,Made,23.0,Jackson Jr.,J. Jackson Jr.,S. Pippen Jr.,1630590.0,6.0,,,,,,,,,,,,,,
302,PT00M46.40S,2025-03-16T00:59:30.6Z,2,REGULAR,3pt,Jump Shot,[],1642276,67.88764783180025,53.67647058823529,1610612748,61,48,2025-03-16T00:59:34Z,3010000,False,18.0,249.0,1,right,MISS K. Ware 25' 3PT,[1642276],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Center,25.01,Missed,,Ware,K. Ware,,,,,,,,,,,,,,,,,
303,PT00M43.40S,2025-03-16T00:59:33.6Z,2,REGULAR,rebound,defensive,[],1628379,,,1610612763,61,48,2025-03-16T00:59:34Z,3020000,False,,,0,,L. Kennard REBOUND (Off:1 Def:2),[1628379],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Center,,,,Kennard,L. Kennard,,,,302.0,3.0,2.0,1.0,,,,,,,,,,
304,PT00M35.90S,2025-03-16T00:59:41.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628379,18.2161629434954,62.00980392156863,1610612763,63,48,2025-03-16T00:59:43Z,3030000,False,-60.0,119.0,1,left,L. Kennard 13' pullup Jump Shot (5 PTS) (S. Pippen Jr. 7 AST),"[1628379, 1630590]",1610612763.0,MEM,pullup,,,,,,In The Paint (Non-RA),8-16 Center,13.3,Made,5.0,Kennard,L. Kennard,S. Pippen Jr.,1630590.0,7.0,,,,,,,,,,,,,,
306,PT00M25.10S,2025-03-16T00:59:57.7Z,2,REGULAR,foul,offensive,[],1629130,,,1610612748,63,48,2025-03-16T01:00:03Z,3050000,False,,,0,,D. Robinson offensive FOUL (2 PF),"[1629130, 1628991]",1610612748.0,MIA,,,,,,,Mid-Range,8-16 Center,,,,Robinson,D. Robinson,,,,,,,,201246.0,2.0,0.0,Jackson Jr.,1628991.0,,,,,
308,PT00M25.10S,2025-03-16T00:59:57.7Z,2,REGULAR,turnover,offensive foul,[],1629130,,,1610612748,63,48,2025-03-16T00:59:57Z,3070000,False,,,0,,D. Robinson offensive foul TURNOVER (1 TO),[1629130],1610612748.0,MIA,,,,,,,Mid-Range,8-16 Center,,,,Robinson,D. Robinson,,,,,,,,201246.0,,,,,1.0,,,,
309,PT00M25.10S,2025-03-16T01:00:06.9Z,2,REGULAR,substitution,out,[],1629130,,,1610612763,63,48,2025-03-16T01:00:17Z,3080000,False,,,0,,SUB out: D. Robinson,[1629130],1610612748.0,MIA,,,,,,,,,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,
310,PT00M25.10S,2025-03-16T01:00:06.9Z,2,REGULAR,substitution,in,[],1630558,,,1610612763,63,48,2025-03-16T01:00:17Z,3090000,False,,,0,,SUB in: D. Mitchell,[1630558],1610612748.0,MIA,,,,,,,,,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,
311,PT00M02.10S,2025-03-16T01:00:44.3Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630590,16.376478318002626,50.245098039215684,1610612763,63,48,2025-03-16T01:00:53Z,3100000,False,-1.0,101.0,1,left,MISS S. Pippen Jr. 10' floating Shot,[1630590],1610612763.0,MEM,floating,,,,,,In The Paint (Non-RA),8-16 Center,10.14,Missed,,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,,,,,,,,
312,PT00M02.10S,2025-03-16T01:00:44.3Z,2,REGULAR,rebound,offensive,[],1641744,,,1610612763,63,48,2025-03-16T01:00:53Z,3110000,False,,,0,,Z. Edey REBOUND (Off:3 Def:2),[1641744],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Edey,Z. Edey,,,,311.0,5.0,2.0,3.0,,,,,,,,,,
316,PT00M00.00S,2025-03-16T01:01:13.2Z,2,REGULAR,period,end,[],0,,,1610612763,63,48,2025-03-16T01:01:13Z,3150000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,PT12M00.00S,2025-03-16T01:15:27.1Z,3,REGULAR,substitution,out,['startperiod'],1630590,,,1610612763,63,48,2025-03-16T01:16:40Z,3160000,False,,,0,,SUB out: S. Pippen Jr.,[1630590],1610612763.0,MEM,,,,,,,,,,,,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,,,,,,,,
321,PT12M00.00S,2025-03-16T01:15:27.1Z,3,REGULAR,substitution,in,['startperiod'],1642377,,,1610612763,63,48,2025-03-16T01:16:40Z,3170000,False,,,0,,SUB in: J. Wells,[1642377],1610612763.0,MEM,,,,,,,,,,,,Wells,J. Wells,,,,,,,,,,,,,,,,,
322,PT12M00.00S,2025-03-16T01:16:55.0Z,3,REGULAR,period,start,[],0,,,1610612748,63,48,2025-03-16T01:16:55Z,3180000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,PT11M44.00S,2025-03-16T01:17:10.5Z,3,REGULAR,3pt,Jump Shot,[],1629639,33.196452036793694,26.225490196078432,1610612748,63,48,2025-03-16T01:17:13Z,3190000,False,119.0,260.0,1,left,MISS T. Herro 28' 3PT,[1629639],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Right Center,28.54,Missed,,Herro,T. Herro,,,,,,,,,,,,,,,,,
324,PT11M40.00S,2025-03-16T01:17:14.5Z,3,REGULAR,rebound,defensive,[],1628991,,,1610612763,63,48,2025-03-16T01:17:13Z,3200000,False,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:3),[1628991],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Right Center,,,,Jackson Jr.,J. Jackson Jr.,,,,323.0,4.0,3.0,1.0,,,,,,,,,,
326,PT11M27.00S,2025-03-16T01:17:45.9Z,3,REGULAR,2pt,Jump Shot,[],1630217,74.32654402102497,55.14705882352941,1610612763,63,48,2025-03-16T01:17:49Z,3220000,False,26.0,189.0,1,right,MISS D. Bane 19' pullup Shot,[1630217],1610612763.0,MEM,pullup,,,,,,Mid-Range,16-24 Center,19.05,Missed,,Bane,D. Bane,,,,,,,,,,,,,,,,,
327,PT11M24.00S,2025-03-16T01:17:48.9Z,3,REGULAR,rebound,defensive,[],1630558,,,1610612748,63,48,2025-03-16T01:17:49Z,3230000,False,,,0,,D. Mitchell REBOUND (Off:1 Def:1),[1630558],1610612748.0,MIA,,,,,,,Mid-Range,16-24 Center,,,,Mitchell,D. Mitchell,,,,326.0,2.0,1.0,1.0,,,,,,,,,,
328,PT11M15.00S,2025-03-16T01:17:57.9Z,3,REGULAR,3pt,Jump Shot,[],1628389,3.892904073587385,96.32352941176471,1610612748,63,51,2025-03-16T01:18:00Z,3240000,False,-232.0,-16.0,1,left,B. Adebayo 3PT  (9 PTS) (D. Mitchell 2 AST),"[1628389, 1630558]",1610612748.0,MIA,,,,,,,Left Corner 3,24+ Left,23.21,Made,9.0,Adebayo,B. Adebayo,D. Mitchell,1630558.0,2.0,,,,,,,,,,,,,,
330,PT11M01.00S,2025-03-16T01:18:11.4Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,92.06636005256242,52.69607843137255,1610612763,65,51,2025-03-16T01:18:15Z,3260000,False,13.0,22.0,1,right,D. Bane cutting finger roll Layup (14 PTS) (Z. Edey 1 AST),"[1630217, 1641744]",1610612763.0,MEM,cutting finger roll,,,,,,Restricted Area,0-8 Center,2.59,Made,14.0,Bane,D. Bane,Z. Edey,1641744.0,1.0,,,,,,,,,,,,,,
332,PT10M43.00S,2025-03-16T01:18:28.9Z,3,REGULAR,3pt,Jump Shot,[],1642276,5.469776609724048,95.83333333333334,1610612748,65,51,2025-03-16T01:18:31Z,3280000,False,-229.0,-1.0,1,left,MISS K. Ware 3PT,[1642276],1610612748.0,MIA,,,,,,,Left Corner 3,24+ Left,22.92,Missed,,Ware,K. Ware,,,,,,,,,,,,,,,,,
333,PT10M42.00S,2025-03-16T01:18:29.9Z,3,REGULAR,rebound,defensive,[],1628991,,,1610612763,65,51,2025-03-16T01:18:31Z,3290000,False,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:4),[1628991],1610612763.0,MEM,,,,,,,Left Corner 3,24+ Left,,,,Jackson Jr.,J. Jackson Jr.,,,,332.0,5.0,4.0,1.0,,,,,,,,,,
334,PT10M26.00S,2025-03-16T01:18:46.4Z,3,REGULAR,2pt,Hook,['pointsinthepaint'],1628991,82.9993429697766,36.51960784313725,1610612763,67,51,2025-03-16T01:18:50Z,3300000,False,-67.0,107.0,1,right,J. Jackson Jr. 12' driving Hook (25 PTS),[1628991],1610612763.0,MEM,driving,,,,,,In The Paint (Non-RA),8-16 Left,12.67,Made,25.0,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,
335,PT10M12.00S,2025-03-16T01:19:00.3Z,3,REGULAR,3pt,Jump Shot,[],203952,31.09395532194481,56.127450980392155,1610612748,67,51,2025-03-16T01:19:05Z,3310000,False,-31.0,240.0,1,left,MISS A. Wiggins 24' pullup 3PT,[203952],1610612748.0,MIA,pullup,,,,,,Above the Break 3,24+ Center,24.17,Missed,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,
336,PT10M12.00S,2025-03-16T01:19:00.3Z,3,REGULAR,rebound,offensive,['team'],0,,,1610612748,67,51,2025-03-16T01:19:05Z,3320000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Center,,,,,,,,,335.0,,,,,,,,,,,,,
337,PT10M12.00S,2025-03-16T01:19:05.4Z,3,REGULAR,foul,personal,[],1628379,,,1610612748,67,51,2025-03-16T01:19:16Z,3330000,False,,,0,,L. Kennard loose ball personal FOUL (1 PF),"[1628379, 1628389]",1610612763.0,MEM,loose ball,,,,,,Restricted Area,0-8 Center,,,,Kennard,L. Kennard,,,,,,,,201246.0,1.0,0.0,Adebayo,1628389.0,,,,,
339,PT09M58.00S,2025-03-16T01:19:39.8Z,3,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",203952,12.171484888304862,54.65686274509803,1610612748,67,53,2025-03-16T01:19:43Z,3350000,False,-23.0,62.0,1,left,A. Wiggins 6' turnaround Hook (8 PTS),[203952],1610612748.0,MIA,turnaround,,,,,,In The Paint (Non-RA),0-8 Center,6.61,Made,8.0,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,
