actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
344,PT11M44.00S,2026-03-06T01:54:51.8Z,3,REGULAR,violation,delay-of-game,['team'],0,,,1610612751,60,56,2026-03-06T02:02:30Z,3400000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612748.0,MIA,,,,,,,,,,,,1627519.0,,,,,,,,,,,,,,,,,,,
345,PT11M29.00S,2026-03-06T01:55:05.3Z,3,REGULAR,3pt,Jump Shot,[],1641730,23.866622864651774,85.5392156862745,1610612751,60,59,2026-03-06T01:55:10Z,3410000,False,-178.0,172.0,1,left,N. Clowney 24' 3PT  (9 PTS) (N. Traore 7 AST),"[1641730, 1642849]",1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Left Center,,,,,,,Made,9.0,24.72,N. Traore,1642849.0,7.0,,,,,,,,
347,PT11M15.00S,2026-03-06T01:55:18.1Z,3,REGULAR,3pt,Jump Shot,[],203952,71.30420499342969,77.45098039215686,1610612748,60,59,2026-03-06T01:55:24Z,3430000,False,137.0,217.0,1,right,MISS A. Wiggins 25' 3PT,[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Right Center,,,,,,,Missed,,25.7,,,,,,,,,,,
348,PT11M12.00S,2026-03-06T01:55:21.1Z,3,REGULAR,rebound,defensive,[],1629008,,,1610612751,60,59,2026-03-06T01:55:24Z,3440000,False,,,0,,M. Porter Jr. REBOUND (Off:2 Def:7),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,347.0,9.0,7.0,2.0,,,,
349,PT11M04.00S,2026-03-06T01:55:29.5Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,6.258212877792378,51.71568627450981,1610612751,60,61,2026-03-06T01:55:34Z,3450000,False,-9.0,6.0,1,left,N. Claxton cutting Layup (11 PTS) (M. Porter Jr. 2 AST),"[1629651, 1629008]",1610612751.0,BKN,cutting,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,Made,11.0,1.07,M. Porter Jr.,1629008.0,2.0,,,,,,,,
351,PT10M52.00S,2026-03-06T01:55:41.7Z,3,REGULAR,2pt,Hook,['pointsinthepaint'],1628389,84.70762155059133,46.32352941176471,1610612748,60,61,2026-03-06T01:55:46Z,3470000,False,-18.0,91.0,1,right,MISS B. Adebayo 9' Hook,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,Missed,,9.3,,,,,,,,,,,
352,PT10M49.00S,2026-03-06T01:55:44.7Z,3,REGULAR,rebound,defensive,[],1629651,,,1610612751,60,61,2026-03-06T01:55:46Z,3480000,False,,,0,,N. Claxton REBOUND (Off:1 Def:3),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,351.0,4.0,3.0,1.0,,,,
353,PT10M44.00S,2026-03-06T01:55:50.2Z,3,REGULAR,turnover,lost ball,[],1629651,,,1610612751,60,61,2026-03-06T01:55:54Z,3490000,False,,,0,,N. Claxton lost ball TURNOVER (4 TO),"[1629651, 1630558]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Mid-Range,8-16 Right,,4.0,,,,,,,,,,,,,,,,,Mitchell,1630558.0
354,PT10M44.00S,2026-03-06T01:55:50.2Z,3,REGULAR,steal,,[],1630558,,,1610612748,60,61,2026-03-06T01:55:52Z,3500000,False,,,0,,D. Mitchell STEAL (2 STL),[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
355,PT10M37.00S,2026-03-06T01:55:57.2Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1641796,90.75229960578186,49.26470588235294,1610612748,60,61,2026-03-06T01:56:03Z,3510000,False,-4.0,34.0,1,right,MISS P. Larsson driving Layup,[1641796],1610612748.0,MIA,driving,,,Larsson,P. Larsson,,,,,Restricted Area,0-8 Center,,,,,,,Missed,,3.46,,,,,,,,,,,
356,PT10M32.00S,2026-03-06T01:56:02.2Z,3,REGULAR,rebound,defensive,[],1641730,,,1610612751,60,61,2026-03-06T01:56:03Z,3520000,False,,,0,,N. Clowney REBOUND (Off:0 Def:3),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,355.0,3.0,3.0,0.0,,,,
357,PT10M30.00S,2026-03-06T01:56:04.2Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1629008,26.888961892247043,80.14705882352942,1610612751,60,61,2026-03-06T01:56:09Z,3530000,False,-151.0,200.0,1,left,MISS M. Porter Jr. 25' running pullup 3PT,[1629008],1610612751.0,BKN,running pullup,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,Missed,,25.07,,,,,,,,,,,
358,PT10M28.00S,2026-03-06T01:56:06.2Z,3,REGULAR,rebound,defensive,[],1629639,,,1610612748,60,61,2026-03-06T01:56:09Z,3540000,False,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,357.0,1.0,1.0,0.0,,,,
359,PT10M20.00S,2026-03-06T01:56:13.8Z,3,REGULAR,3pt,Jump Shot,[],1628389,66.96780551905388,46.07843137254902,1610612748,60,61,2026-03-06T01:56:20Z,3550000,False,-20.0,258.0,1,right,MISS B. Adebayo 25' 3PT,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,,,,,,,Missed,,25.87,,,,,,,,,,,
360,PT10M15.00S,2026-03-06T01:56:18.8Z,3,REGULAR,rebound,defensive,[],1629008,,,1610612751,60,61,2026-03-06T01:56:20Z,3560000,False,,,0,,M. Porter Jr. REBOUND (Off:2 Def:8),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,359.0,10.0,8.0,2.0,,,,
361,PT09M59.00S,2026-03-06T01:56:33.9Z,3,REGULAR,3pt,Jump Shot,[],1629008,18.74178712220762,7.352941176470589,1610612751,60,64,2026-03-06T01:56:42Z,3570000,False,213.0,124.0,1,left,M. Porter Jr. 24' 3PT step back (14 PTS),[1629008],1610612751.0,BKN,step back,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,Made,14.0,24.65,,,,,,,,,,,
362,PT09M45.00S,2026-03-06T01:56:48.4Z,3,REGULAR,3pt,Jump Shot,[],1641796,73.01248357424441,80.63725490196079,1610612748,63,64,2026-03-06T01:56:52Z,3580000,False,153.0,201.0,1,right,P. Larsson 25' 3PT  (7 PTS) (D. Mitchell 4 AST),"[1641796, 1630558]",1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,Above the Break 3,24+ Right Center,,,,,,,Made,7.0,25.29,D. Mitchell,1630558.0,4.0,,,,,,,,
364,PT09M33.00S,2026-03-06T01:57:01.9Z,3,REGULAR,foul,personal,['3freethrow'],1630558,,,1610612751,63,64,2026-03-06T01:57:12Z,3600000,False,,,0,,D. Mitchell shooting personal FOUL (3 PF) (Porter Jr. 3 FT),"[1630558, 1629008]",1610612748.0,MIA,shooting,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Center,1627519.0,,3.0,0.0,Porter Jr.,1629008.0,,,,,,,,,,,,,,
366,PT09M33.00S,2026-03-06T01:57:35.1Z,3,REGULAR,freethrow,1 of 3,[],1629008,,,1610612751,63,64,2026-03-06T01:57:35Z,3620000,False,,,0,,MISS M. Porter Jr. Free Throw 1 of 3,[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,Missed,,,,,,,,,,,,,
367,PT09M33.00S,2026-03-06T01:57:35.1Z,3,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612751,63,64,2026-03-06T01:57:35Z,3630000,False,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,366.0,,,,,,,
368,PT09M33.00S,2026-03-06T01:57:49.1Z,3,REGULAR,freethrow,2 of 3,[],1629008,,,1610612751,63,65,2026-03-06T01:57:49Z,3640000,False,,,0,,M. Porter Jr. Free Throw 2 of 3 (15 PTS),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,Made,15.0,,,,,,,,,,,,
369,PT09M33.00S,2026-03-06T01:58:01.1Z,3,REGULAR,freethrow,3 of 3,[],1629008,,,1610612751,63,66,2026-03-06T01:58:01Z,3650000,False,,,0,,M. Porter Jr. Free Throw 3 of 3 (16 PTS),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,Made,16.0,,,,,,,,,,,,
370,PT09M15.00S,2026-03-06T01:58:20.3Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630558,90.22667542706965,45.83333333333333,1610612748,63,66,2026-03-06T01:58:30Z,3660000,False,-21.0,39.0,1,right,MISS D. Mitchell driving finger roll Layup,[1630558],1610612748.0,MIA,driving finger roll,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,Missed,,4.46,,,,,,,,,,,
371,PT09M12.00S,2026-03-06T01:58:23.3Z,3,REGULAR,rebound,defensive,[],1629611,,,1610612751,63,66,2026-03-06T01:58:30Z,3670000,False,,,0,,T. Mann REBOUND (Off:2 Def:2),[1629611],1610612751.0,BKN,,,,Mann,T. Mann,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,370.0,4.0,2.0,2.0,,,,
372,PT09M09.00S,2026-03-06T01:58:25.7Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1629008,32.14520367936925,63.23529411764706,1610612751,63,66,2026-03-06T02:01:38Z,3680000,False,-66.0,250.0,1,left,MISS M. Porter Jr. 25' running 3PT,[1629008],1610612751.0,BKN,running,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Center,,,,,,,Missed,,25.83,,,,,,,,,,,
373,PT09M06.00S,2026-03-06T01:58:28.7Z,3,REGULAR,rebound,defensive,[],1628389,,,1610612748,63,66,2026-03-06T01:58:33Z,3690000,False,,,0,,B. Adebayo REBOUND (Off:2 Def:3),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,372.0,5.0,3.0,2.0,,,,
374,PT08M59.00S,2026-03-06T01:58:35.4Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,92.32917214191852,48.77450980392157,1610612748,65,66,2026-03-06T01:58:39Z,3700000,False,-6.0,20.0,1,right,B. Adebayo driving floating Jump Shot (15 PTS),[1628389],1610612748.0,MIA,driving floating,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,,,,Made,15.0,2.05,,,,,,,,,,,
376,PT08M48.00S,2026-03-06T01:59:10.7Z,3,REGULAR,3pt,Jump Shot,[],1641730,30.042706964520367,71.32352941176471,1610612751,65,69,2026-03-06T01:59:17Z,3720000,False,-107.0,230.0,1,left,N. Clowney 25' 3PT  (12 PTS) (N. Traore 8 AST),"[1641730, 1642849]",1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Left Center,,,,,,,Made,12.0,25.34,N. Traore,1642849.0,8.0,,,,,,,,
378,PT08M35.00S,2026-03-06T01:59:26.0Z,3,REGULAR,2pt,Jump Shot,[],1629639,78.53153745072274,44.11764705882353,1610612748,67,69,2026-03-06T01:59:31Z,3740000,False,-29.0,149.0,1,right,T. Herro 15' pullup Jump Shot (13 PTS) (P. Larsson 1 AST),"[1629639, 1641796]",1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,Mid-Range,8-16 Center,,,,,,,Made,13.0,15.22,P. Larsson,1641796.0,1.0,,,,,,,,
379,PT08M35.00S,2026-03-06T01:59:28.9Z,3,REGULAR,foul,personal,['1freethrow'],1629611,,,1610612748,67,69,2026-03-06T01:59:40Z,3750000,False,,,0,,T. Mann shooting personal FOUL (1 PF) (Herro 1 FT),"[1629611, 1629639]",1610612751.0,BKN,shooting,,,Mann,T. Mann,,,,,Mid-Range,8-16 Center,1628953.0,,1.0,0.0,Herro,1629639.0,,,,,,,,,,,,,,
382,PT08M35.00S,2026-03-06T02:00:04.2Z,3,REGULAR,freethrow,1 of 1,[],1629639,,,1610612748,68,69,2026-03-06T02:00:04Z,3770000,False,,,0,,T. Herro Free Throw 1 of 1 (14 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,Made,14.0,,,,,,,,,,,,
383,PT08M24.00S,2026-03-06T02:00:22.4Z,3,REGULAR,turnover,bad pass,[],1642849,,,1610612751,68,69,2026-03-06T02:00:29Z,3780000,False,,,0,,N. Traore bad pass TURNOVER (1 TO),"[1642849, 203952]",1610612751.0,BKN,,,,Traore,N. Traore,,,,,In The Paint (Non-RA),8-16 Center,,1.0,,,,,,,,,,,,,,,,,Wiggins,203952.0
384,PT08M24.00S,2026-03-06T02:00:22.4Z,3,REGULAR,steal,,[],203952,,,1610612748,68,69,2026-03-06T02:00:24Z,3790000,False,,,0,,A. Wiggins STEAL (2 STL),[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
385,PT08M18.00S,2026-03-06T02:00:28.1Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641796,93.38042049934296,45.588235294117645,1610612748,68,69,2026-03-06T02:00:32Z,3800000,False,-22.0,10.0,1,right,MISS P. Larsson running Layup,[1641796],1610612748.0,MIA,running,,,Larsson,P. Larsson,,,,,Restricted Area,0-8 Center,,,,,,,Missed,,2.41,,,,,,,,,,,
386,PT08M15.00S,2026-03-06T02:00:31.1Z,3,REGULAR,rebound,offensive,[],1628389,,,1610612748,68,69,2026-03-06T02:00:32Z,3810000,False,,,0,,B. Adebayo REBOUND (Off:3 Def:3),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,385.0,6.0,3.0,3.0,,,,
387,PT08M15.00S,2026-03-06T02:00:30.7Z,3,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint', 'fromturnover']",1628389,94.40999984741211,50.0,1610612748,70,69,2026-03-06T02:00:40Z,3820000,False,0.0,0.0,1,right,B. Adebayo tip Layup (17 PTS),[1628389],1610612748.0,MIA,tip,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,,,,Made,17.0,0.0,,,,,,,,,,,
388,PT07M58.00S,2026-03-06T02:00:47.8Z,3,REGULAR,3pt,Jump Shot,[],1629008,31.750985545335087,51.9607843137255,1610612751,70,69,2026-03-06T02:00:53Z,3830000,False,-10.0,246.0,1,left,MISS M. Porter Jr. 24' pullup 3PT,[1629008],1610612751.0,BKN,pullup,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Center,,,,,,,Missed,,24.62,,,,,,,,,,,
389,PT07M55.00S,2026-03-06T02:00:50.8Z,3,REGULAR,rebound,defensive,[],1628389,,,1610612748,70,69,2026-03-06T02:00:53Z,3840000,False,,,0,,B. Adebayo REBOUND (Off:3 Def:4),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,388.0,7.0,4.0,3.0,,,,
390,PT07M37.00S,2026-03-06T02:01:07.2Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,92.32917214191852,55.14705882352941,1610612748,72,69,2026-03-06T02:03:19Z,3850000,False,26.0,20.0,1,right,B. Adebayo driving Layup (19 PTS),[1628389],1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,,,,Made,19.0,3.23,,,,,,,,,,,
391,PT07M08.00S,2026-03-06T02:01:41.8Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,8.754927726675426,46.07843137254902,1610612751,72,71,2026-03-06T02:01:46Z,3860000,False,20.0,30.0,1,left,N. Claxton driving Layup (13 PTS) (T. Mann 2 AST),"[1629651, 1629611]",1610612751.0,BKN,driving,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,Made,13.0,3.57,T. Mann,1629611.0,2.0,,,,,,,,
392,PT07M08.00S,2026-03-06T02:01:45.5Z,3,REGULAR,foul,personal,['1freethrow'],1628389,,,1610612751,72,71,2026-03-06T02:01:57Z,3870000,False,,,0,,B. Adebayo shooting personal FOUL (4 PF) (Claxton 1 FT),"[1628389, 1629651]",1610612748.0,MIA,shooting,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,101284.0,,4.0,0.0,Claxton,1629651.0,,,,,,,,,,,,,,
394,PT07M08.00S,2026-03-06T02:02:12.5Z,3,REGULAR,freethrow,1 of 1,[],1629651,,,1610612751,72,72,2026-03-06T02:02:12Z,3890000,False,,,0,,N. Claxton Free Throw 1 of 1 (14 PTS),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,Made,14.0,,,,,,,,,,,,
395,PT06M56.00S,2026-03-06T02:02:28.5Z,3,REGULAR,foul,offensive,[],1628389,,,1610612748,72,72,2026-03-06T02:02:33Z,3900000,False,,,0,,B. Adebayo charge offensive FOUL (5 PF),"[1628389, 1641730]",1610612748.0,MIA,charge,,,Adebayo,B. Adebayo,,,,,Mid-Range,16-24 Right Center,1627519.0,,5.0,0.0,Clowney,1641730.0,,,,,,,,,,,,,,
397,PT06M56.00S,2026-03-06T02:02:28.5Z,3,REGULAR,turnover,offensive foul,[],1628389,,,1610612748,72,72,2026-03-06T02:02:28Z,3920000,False,,,0,,B. Adebayo offensive foul TURNOVER (1 TO),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,16-24 Right Center,1627519.0,1.0,,,,,,,,,,,,,,,,,,
401,PT06M56.00S,2026-03-06T02:04:46.7Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,72,72,2026-03-06T02:04:46Z,3930000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,PT06M56.00S,2026-03-06T02:04:55.4Z,3,REGULAR,substitution,out,[],1628389,,,1610612751,72,72,2026-03-06T02:05:32Z,3940000,False,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
403,PT06M56.00S,2026-03-06T02:04:55.4Z,3,REGULAR,substitution,in,[],1642276,,,1610612751,72,72,2026-03-06T02:05:32Z,3950000,False,,,0,,SUB in: K. Ware,[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,,,,,,,,,,,,,,,,,,,,,,
404,PT06M39.00S,2026-03-06T02:05:56.8Z,3,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629611,7.440867279894875,39.21568627450981,1610612751,72,72,2026-03-06T02:06:02Z,3960000,False,54.0,17.0,1,left,MISS T. Mann fadeaway Shot,[1629611],1610612751.0,BKN,fadeaway,,,Mann,T. Mann,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,Missed,,5.66,,,,,,,,,,,
405,PT06M35.00S,2026-03-06T02:06:00.8Z,3,REGULAR,rebound,offensive,[],1629651,,,1610612751,72,72,2026-03-06T02:06:02Z,3970000,False,,,0,,N. Claxton REBOUND (Off:2 Def:3),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,404.0,5.0,3.0,2.0,,,,
406,PT06M35.00S,2026-03-06T02:06:01.4Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629651,5.590000152587891,50.0,1610612751,72,72,2026-03-06T02:06:01Z,3980000,False,0.0,0.0,1,left,MISS N. Claxton tip Layup,[1629651],1610612751.0,BKN,tip,,,Claxton,N. Claxton,,,,,Mid-Range,8-16 Left,,,,,,,Missed,,0.0,,,,,,,,,,,
407,PT06M34.00S,2026-03-06T02:06:02.2Z,3,REGULAR,rebound,defensive,[],1629639,,,1610612748,72,72,2026-03-06T02:06:02Z,3990000,False,,,0,,T. Herro REBOUND (Off:0 Def:2),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,406.0,2.0,2.0,0.0,,,,
408,PT06M25.00S,2026-03-06T02:06:11.1Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,85.23324572930355,62.254901960784316,1610612748,74,72,2026-03-06T02:06:17Z,4000000,False,61.0,86.0,1,right,T. Herro 10' driving floating Jump Shot (16 PTS),[1629639],1610612748.0,MIA,driving floating,,,Herro,T. Herro,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,Made,16.0,10.59,,,,,,,,,,,
409,PT06M09.00S,2026-03-06T02:06:26.6Z,3,REGULAR,3pt,Jump Shot,[],1629008,32.013797634691194,52.20588235294118,1610612751,74,75,2026-03-06T02:06:30Z,4010000,False,-11.0,248.0,1,left,M. Porter Jr. 24' 3PT  (19 PTS) (N. Traore 9 AST),"[1629008, 1642849]",1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Center,,,,,,,Made,19.0,24.86,N. Traore,1642849.0,9.0,,,,,,,,
411,PT05M50.00S,2026-03-06T02:06:44.8Z,3,REGULAR,3pt,Jump Shot,[],1629639,65.65374507227332,51.71568627450981,1610612748,74,75,2026-03-06T02:06:52Z,4030000,False,9.0,270.0,1,right,MISS T. Herro 27' 3PT,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Center,,,,,,,Missed,,27.05,,,,,,,,,,,
412,PT05M47.00S,2026-03-06T02:06:47.8Z,3,REGULAR,rebound,offensive,[],203952,,,1610612748,74,75,2026-03-06T02:06:52Z,4040000,False,,,0,,A. Wiggins REBOUND (Off:1 Def:3),[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,411.0,4.0,3.0,1.0,,,,
413,PT05M45.00S,2026-03-06T02:06:50.5Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],1642276,74.06373193166885,83.57843137254902,1610612748,77,75,2026-03-06T02:06:56Z,4050000,False,168.0,191.0,1,right,K. Ware 25' 3PT  (9 PTS) (A. Wiggins 1 AST),"[1642276, 203952]",1610612748.0,MIA,,,,Ware,K. Ware,,,,,Above the Break 3,24+ Right Center,,,,,,,Made,9.0,25.45,A. Wiggins,203952.0,1.0,,,,,,,,
415,PT05M25.00S,2026-03-06T02:07:10.0Z,3,REGULAR,3pt,Jump Shot,[],1629611,6.389618922470433,2.450980392156863,1610612751,77,75,2026-03-06T02:07:15Z,4070000,False,238.0,8.0,1,left,MISS T. Mann 3PT,[1629611],1610612751.0,BKN,,,,Mann,T. Mann,,,,,Right Corner 3,24+ Right,,,,,,,Missed,,23.78,,,,,,,,,,,
416,PT05M22.00S,2026-03-06T02:07:13.0Z,3,REGULAR,rebound,offensive,[],1629008,,,1610612751,77,75,2026-03-06T02:07:15Z,4080000,False,,,0,,M. Porter Jr. REBOUND (Off:3 Def:8),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,415.0,11.0,8.0,3.0,,,,
417,PT05M20.00S,2026-03-06T02:07:15.1Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629008,5.995400788436268,44.36274509803921,1610612751,77,75,2026-03-06T02:07:22Z,4090000,False,28.0,4.0,1,left,MISS M. Porter Jr. putback Layup,[1629008],1610612751.0,BKN,putback,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,Missed,,2.85,,,,,,,,,,,
418,PT05M17.00S,2026-03-06T02:07:18.1Z,3,REGULAR,rebound,defensive,[],1629639,,,1610612748,77,75,2026-03-06T02:07:22Z,4100000,False,,,0,,T. Herro REBOUND (Off:0 Def:3),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,417.0,3.0,3.0,0.0,,,,
419,PT05M14.00S,2026-03-06T02:07:21.9Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629639,92.85479632063075,46.81372549019608,1610612748,79,75,2026-03-06T02:07:27Z,4110000,False,-16.0,15.0,1,right,T. Herro running Layup (18 PTS),[1629639],1610612748.0,MIA,running,,,Herro,T. Herro,,,,,Restricted Area,0-8 Center,,,,,,,Made,18.0,2.17,,,,,,,,,,,
420,PT04M56.00S,2026-03-06T02:07:39.7Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641730,10.5946123521682,40.68627450980392,1610612751,79,75,2026-03-06T02:07:43Z,4120000,False,47.0,47.0,1,left,MISS N. Clowney 6' driving floating bank Shot,[1641730],1610612751.0,BKN,driving floating bank,,,Clowney,N. Clowney,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,Missed,,6.63,,,,,,,,,,,
421,PT04M55.00S,2026-03-06T02:07:40.7Z,3,REGULAR,rebound,offensive,[],1641730,,,1610612751,79,75,2026-03-06T02:07:43Z,4130000,False,,,0,,N. Clowney REBOUND (Off:1 Def:3),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,420.0,4.0,3.0,1.0,,,,
422,PT04M45.00S,2026-03-06T02:07:51.4Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642849,8.623521681997373,47.794117647058826,1610612751,79,75,2026-03-06T02:07:56Z,4140000,False,11.0,29.0,1,left,MISS N. Traore driving finger roll Layup,[1642849],1610612751.0,BKN,driving finger roll,,,Traore,N. Traore,,,,,Restricted Area,0-8 Center,,,,,,,Missed,,3.06,,,,,,,,,,,
423,PT04M40.00S,2026-03-06T02:07:56.4Z,3,REGULAR,rebound,offensive,[],1629651,,,1610612751,79,75,2026-03-06T02:07:56Z,4150000,False,,,0,,N. Claxton REBOUND (Off:3 Def:3),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,422.0,6.0,3.0,3.0,,,,
