actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
264,PT04M55.00S,2024-03-31T20:27:06.4Z,2,REGULAR,foul,personal,[],203999,,,1610612739,43,45,2024-03-31T20:27:16Z,2600000,False,,,0,,N. Jokic double personal FOUL (1 PF),"[203999, 1628386]",1610612743.0,DEN,double,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,,,,1162.0,1.0,0.0,Allen,1628386.0,,,,,,,,,,,,
266,PT04M49.00S,2024-03-31T20:27:35.2Z,2,REGULAR,turnover,out-of-bounds,[],1629636,,,1610612739,43,45,2024-03-31T20:27:46Z,2620000,False,,,0,,D. Garland lost ball out-of-bounds TURNOVER (3 TO),[1629636],1610612739.0,CLE,lost ball,,,Garland,D. Garland,,,,,In The Paint (Non-RA),8-16 Right,,,,1204.0,,,,,,,,,,,,3.0,,,,
267,PT04M33.00S,2024-03-31T20:27:57.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203999,93.24901445466492,46.07843137254902,1610612743,45,45,2024-03-31T20:28:21Z,2630000,False,-20.0,11.0,1,right,N. Jokic driving Layup (9 PTS),[203999],1610612743.0,DEN,driving,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,2.25,Made,9.0,,,,,,,,,,,,,,,,,
268,PT04M33.00S,2024-03-31T20:28:05.0Z,2,REGULAR,foul,personal,['1freethrow'],1628386,,,1610612743,45,45,2024-03-31T20:28:12Z,2640000,False,,,0,,J. Allen shooting personal FOUL (2 PF) (Jokic 1 FT),"[1628386, 203999]",1610612739.0,CLE,shooting,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,1162.0,2.0,0.0,Jokic,203999.0,,,,,,,,,,,,
270,PT04M33.00S,2024-03-31T20:28:14.4Z,2,REGULAR,violation,delay-of-game,['team'],0,,,1610612743,45,45,2024-03-31T20:28:35Z,2660000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612739.0,CLE,,,,,,,,,,,,,,,200833.0,,,,,,,,,,,,,,,,
271,PT04M33.00S,2024-03-31T20:28:27.1Z,2,REGULAR,freethrow,1 of 1,['fromturnover'],203999,,,1610612743,46,45,2024-03-31T20:28:27Z,2670000,False,,,0,,N. Jokic Free Throw 1 of 1 (10 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,Made,10.0,,,,,,,,,,,,,,,,,
272,PT04M30.00S,2024-03-31T20:28:31.1Z,2,REGULAR,turnover,bad pass,[],202694,,,1610612739,46,45,2024-03-31T20:28:38Z,2680000,False,,,0,,M. Morris Sr. bad pass TURNOVER (2 TO),"[202694, 1631128]",1610612739.0,CLE,,,,Morris Sr.,M. Morris Sr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,2.0,Braun,1631128.0,,
273,PT04M30.00S,2024-03-31T20:28:31.1Z,2,REGULAR,steal,,[],1631128,,,1610612743,46,45,2024-03-31T20:28:35Z,2690000,False,,,0,,C. Braun STEAL (1 STL),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
274,PT04M25.00S,2024-03-31T20:28:35.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631128,94.30026281208936,47.549019607843135,1610612743,48,45,2024-03-31T20:28:43Z,2700000,False,-12.0,1.0,1,right,C. Braun Layup (2 PTS),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Restricted Area,0-8 Center,1.23,Made,2.0,,,,,,,,,,,,,,,,,
275,PT04M14.00S,2024-03-31T20:28:47.2Z,2,REGULAR,3pt,Jump Shot,[],202694,8.754927726675426,4.6568627450980395,1610612739,48,45,2024-03-31T20:28:56Z,2710000,False,227.0,30.0,1,left,MISS M. Morris Sr. 3PT,[202694],1610612739.0,CLE,,,,Morris Sr.,M. Morris Sr.,,,,,Right Corner 3,24+ Right,22.87,Missed,,,,,,,,,,,,,,,,,,
276,PT04M10.00S,2024-03-31T20:28:51.2Z,2,REGULAR,rebound,offensive,[],1629622,,,1610612739,48,45,2024-03-31T20:28:56Z,2720000,False,,,0,,M. Strus REBOUND (Off:1 Def:1),[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,Right Corner 3,24+ Right,,,,,,,,,275.0,,,,2.0,1.0,1.0,,,,,
277,PT04M02.00S,2024-03-31T20:28:59.4Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628386,13.091327201051248,43.38235294117647,1610612739,48,47,2024-03-31T20:29:14Z,2730000,False,33.0,71.0,1,left,J. Allen 7' bank Jump Shot (8 PTS) (M. Strus 2 AST),"[1628386, 1629622]",1610612739.0,CLE,bank,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,7.8,Made,8.0,,,,,,,M. Strus,1629622.0,2.0,,,,,,,,
279,PT03M45.00S,2024-03-31T20:29:15.5Z,2,REGULAR,2pt,Jump Shot,[],203200,79.58278580814718,74.75490196078431,1610612743,50,47,2024-03-31T20:30:23Z,2750000,False,124.0,139.0,1,right,J. Holiday 18' pullup Jump Shot (4 PTS) (N. Jokic 5 AST),"[203200, 203999]",1610612743.0,DEN,pullup,,,Holiday,J. Holiday,,,,,Mid-Range,16-24 Right Center,18.64,Made,4.0,,,,,,,N. Jokic,203999.0,5.0,,,,,,,,
281,PT03M29.00S,2024-03-31T20:29:32.3Z,2,REGULAR,2pt,Jump Shot,[],1629622,20.581471747700395,49.01960784313725,1610612739,50,49,2024-03-31T20:29:35Z,2770000,False,5.0,141.0,1,left,M. Strus 14' Jump Shot (4 PTS) (J. Allen 1 AST),"[1629622, 1628386]",1610612739.0,CLE,,,,Strus,M. Strus,,,,,Mid-Range,8-16 Center,14.11,Made,4.0,,,,,,,J. Allen,1628386.0,1.0,,,,,,,,
283,PT03M13.00S,2024-03-31T20:29:47.7Z,2,REGULAR,3pt,Jump Shot,[],203484,69.33311432325887,22.794117647058822,1610612743,53,49,2024-03-31T20:29:51Z,2790000,False,-136.0,236.0,1,right,K. Caldwell-Pope 27' 3PT  (11 PTS) (N. Jokic 6 AST),"[203484, 203999]",1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Left Center,27.22,Made,11.0,,,,,,,N. Jokic,203999.0,6.0,,,,,,,,
285,PT03M01.00S,2024-03-31T20:30:03.4Z,2,REGULAR,foul,personal,['2freethrow'],203484,,,1610612739,53,49,2024-03-31T20:30:20Z,2810000,False,,,0,,K. Caldwell-Pope shooting personal FOUL (1 PF) (Allen 2 FT),"[203484, 1628386]",1610612743.0,DEN,shooting,,,Caldwell-Pope,K. Caldwell-Pope,,,,,In The Paint (Non-RA),0-8 Center,,,,1162.0,1.0,0.0,Allen,1628386.0,,,,,,,,,,,,
287,PT03M01.00S,2024-03-31T20:30:25.6Z,2,REGULAR,freethrow,1 of 2,[],1628386,,,1610612739,53,50,2024-03-31T20:30:51Z,2830000,False,,,0,,J. Allen Free Throw 1 of 2 (9 PTS),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
288,PT03M01.00S,2024-03-31T20:30:26.2Z,2,REGULAR,substitution,out,[],202694,,,1610612739,53,50,2024-03-31T20:30:33Z,2840000,False,,,0,,SUB out: M. Morris Sr.,[202694],1610612739.0,CLE,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,,,,,,,,,,,,
289,PT03M01.00S,2024-03-31T20:30:26.2Z,2,REGULAR,substitution,in,[],1630596,,,1610612739,53,50,2024-03-31T20:30:33Z,2850000,False,,,0,,SUB in: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,,
290,PT03M01.00S,2024-03-31T20:30:25.6Z,2,REGULAR,freethrow,2 of 2,[],1628386,,,1610612739,53,50,2024-03-31T20:30:51Z,2860000,False,,,0,,MISS J. Allen Free Throw 2 of 2,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
291,PT02M59.00S,2024-03-31T20:30:27.6Z,2,REGULAR,rebound,defensive,[],1631128,,,1610612743,53,50,2024-03-31T20:30:51Z,2870000,False,,,0,,C. Braun REBOUND (Off:1 Def:1),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,,,,,,,,290.0,,,,2.0,1.0,1.0,,,,,
292,PT02M46.00S,2024-03-31T20:31:03.3Z,2,REGULAR,3pt,Jump Shot,[],1631128,91.27792378449409,5.637254901960785,1610612743,56,50,2024-03-31T20:31:08Z,2880000,False,-222.0,29.0,1,right,C. Braun 3PT  (5 PTS) (N. Jokic 7 AST),"[1631128, 203999]",1610612743.0,DEN,,,,Braun,C. Braun,,,,,Left Corner 3,24+ Left,22.38,Made,5.0,,,,,,,N. Jokic,203999.0,7.0,,,,,,,,
294,PT02M29.00S,2024-03-31T20:31:19.4Z,2,REGULAR,turnover,bad pass,[],1628378,,,1610612739,56,50,2024-03-31T20:31:24Z,2900000,False,,,0,,D. Mitchell bad pass TURNOVER (2 TO),"[1628378, 203999]",1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,2.0,Jokic,203999.0,,
295,PT02M29.00S,2024-03-31T20:31:19.4Z,2,REGULAR,steal,,[],203999,,,1610612743,56,50,2024-03-31T20:33:29Z,2910000,False,,,0,,N. Jokic STEAL (1 STL),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
296,PT02M25.00S,2024-03-31T20:31:24.2Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1631128,94.1688567674113,50.0,1610612743,58,50,2024-03-31T20:32:17Z,2920000,False,0.0,2.0,1,right,C. Braun running finger roll Layup (7 PTS) (A. Gordon 3 AST),"[1631128, 203932]",1610612743.0,DEN,running finger roll,,,Braun,C. Braun,,,,,Restricted Area,0-8 Center,0.23,Made,7.0,,,,,,,A. Gordon,203932.0,3.0,,,,,,,,
297,PT02M25.00S,2024-03-31T20:31:33.0Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,58,50,2024-03-31T20:31:33Z,2930000,False,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,PT02M06.00S,2024-03-31T20:34:41.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628386,11.777266754270697,48.529411764705884,1610612739,58,52,2024-03-31T20:34:45Z,2940000,False,7.0,58.0,1,left,J. Allen floating Jump Shot (11 PTS) (D. Garland 3 AST),"[1628386, 1629636]",1610612739.0,CLE,floating,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,5.87,Made,11.0,,,,,,,D. Garland,1629636.0,3.0,,,,,,,,
301,PT01M52.00S,2024-03-31T20:34:54.9Z,2,REGULAR,3pt,Jump Shot,[],203484,75.1149802890933,85.7843137254902,1610612743,61,52,2024-03-31T20:34:59Z,2960000,False,179.0,181.0,1,right,K. Caldwell-Pope 25' 3PT fadeaway (14 PTS) (N. Jokic 8 AST),"[203484, 203999]",1610612743.0,DEN,fadeaway,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Right Center,25.48,Made,14.0,,,,,,,N. Jokic,203999.0,8.0,,,,,,,,
303,PT01M39.00S,2024-03-31T20:35:08.0Z,2,REGULAR,2pt,Jump Shot,[],1629636,23.866622864651774,43.627450980392155,1610612739,61,52,2024-03-31T20:35:13Z,2980000,False,32.0,172.0,1,left,MISS D. Garland 17' pullup Shot,[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,Mid-Range,16-24 Center,17.47,Missed,,,,,,,,,,,,,,,,,,
304,PT01M35.00S,2024-03-31T20:35:12.0Z,2,REGULAR,rebound,defensive,[],203932,,,1610612743,61,52,2024-03-31T20:37:05Z,2990000,False,,,0,,A. Gordon REBOUND (Off:1 Def:2),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Mid-Range,16-24 Center,,,,,,,,,303.0,,,,3.0,2.0,1.0,,,,,
305,PT01M25.00S,2024-03-31T20:35:26.3Z,2,REGULAR,turnover,out-of-bounds,[],203999,,,1610612743,61,52,2024-03-31T20:35:35Z,3000000,False,,,0,,N. Jokic bad pass out-of-bounds TURNOVER (2 TO),[203999],1610612743.0,DEN,bad pass,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),8-16 Center,,,,1204.0,,,,,,,,,,,,2.0,,,,
306,PT01M08.00S,2024-03-31T20:35:49.4Z,2,REGULAR,turnover,lost ball,[],1628386,,,1610612739,61,52,2024-03-31T20:35:54Z,3010000,False,,,0,,J. Allen lost ball TURNOVER (1 TO),"[1628386, 203200]",1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,1.0,Holiday,203200.0,,
307,PT01M08.00S,2024-03-31T20:35:49.4Z,2,REGULAR,steal,,[],203200,,,1610612743,61,52,2024-03-31T20:35:51Z,3020000,False,,,0,,J. Holiday STEAL (1 STL),[203200],1610612743.0,DEN,,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
308,PT01M05.00S,2024-03-31T20:35:52.7Z,2,REGULAR,turnover,bad pass,[],203200,,,1610612743,61,52,2024-03-31T20:35:56Z,3030000,False,,,0,,J. Holiday bad pass TURNOVER (1 TO),"[203200, 1628378]",1610612743.0,DEN,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,1.0,Mitchell,1628378.0,,
309,PT01M05.00S,2024-03-31T20:35:52.7Z,2,REGULAR,steal,,[],1628378,,,1610612739,61,52,2024-03-31T20:35:54Z,3040000,False,,,0,,D. Mitchell STEAL (1 STL),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
310,PT01M01.00S,2024-03-31T20:35:57.2Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630596,7.178055190538765,47.549019607843135,1610612739,61,54,2024-03-31T20:36:01Z,3050000,False,12.0,15.0,1,left,E. Mobley running alley-oop DUNK (11 PTS) (D. Garland 4 AST),"[1630596, 1629636]",1610612739.0,CLE,running alley-oop,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,1.94,Made,11.0,,,,,,,D. Garland,1629636.0,4.0,,,,,,,,
312,PT00M49.60S,2024-03-31T20:36:13.7Z,2,REGULAR,2pt,Jump Shot,[],203200,74.85216819973719,53.67647058823529,1610612743,61,54,2024-03-31T20:39:01Z,3070000,False,18.0,184.0,1,right,MISS J. Holiday 18' pullup Shot,[203200],1610612743.0,DEN,pullup,,,Holiday,J. Holiday,,,,,Mid-Range,16-24 Center,18.48,Missed,,,,,,,,,,,,,,,,,,
313,PT00M45.50S,2024-03-31T20:36:18.0Z,2,REGULAR,rebound,offensive,[],203932,,,1610612743,61,54,2024-03-31T20:36:18Z,3080000,False,,,0,,A. Gordon REBOUND (Off:2 Def:2),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Mid-Range,16-24 Center,,,,,,,,,312.0,,,,4.0,2.0,2.0,,,,,
314,PT00M43.20S,2024-03-31T20:36:20.7Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203999,92.9862023653088,55.392156862745104,1610612743,61,54,2024-03-31T20:36:30Z,3090000,False,27.0,13.0,1,right,MISS N. Jokic floating Shot,[203999],1610612743.0,DEN,floating,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,3.01,Missed,,,,,,,,,,,,,,,,,,
315,PT00M43.20S,2024-03-31T20:36:20.7Z,2,REGULAR,rebound,offensive,[],203999,,,1610612743,61,54,2024-03-31T20:36:30Z,3100000,False,,,0,,N. Jokic REBOUND (Off:2 Def:7),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,,,,,,,314.0,,,,9.0,7.0,2.0,,,,,
316,PT00M43.20S,2024-03-31T20:36:23.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203999,94.40999984741211,50.0,1610612743,63,54,2024-03-31T20:36:23Z,3110000,False,0.0,0.0,1,right,N. Jokic tip Layup (12 PTS),[203999],1610612743.0,DEN,tip,,,Jokic,N. Jokic,,,,,Mid-Range,8-16 Left,0.0,Made,12.0,,,,,,,,,,,,,,,,,
317,PT00M33.90S,2024-03-31T20:36:34.4Z,2,REGULAR,3pt,Jump Shot,[],1628378,9.280551905387648,3.1862745098039214,1610612739,63,54,2024-03-31T20:36:38Z,3120000,False,234.0,35.0,1,left,MISS D. Mitchell 3PT,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Right Corner 3,24+ Right,23.67,Missed,,,,,,,,,,,,,,,,,,
318,PT00M31.00S,2024-03-31T20:36:37.3Z,2,REGULAR,rebound,defensive,[],203484,,,1610612743,63,54,2024-03-31T20:36:38Z,3130000,False,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:2),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Right Corner 3,24+ Right,,,,,,,,,317.0,,,,2.0,2.0,0.0,,,,,
319,PT00M17.10S,2024-03-31T20:36:51.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203999,93.11760840998686,50.73529411764706,1610612743,65,54,2024-03-31T20:37:02Z,3140000,False,4.0,12.0,1,right,N. Jokic driving Layup (14 PTS) (A. Gordon 4 AST),"[203999, 203932]",1610612743.0,DEN,driving,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,1.27,Made,14.0,,,,,,,A. Gordon,203932.0,4.0,,,,,,,,
321,PT00M05.40S,2024-03-31T20:37:07.1Z,2,REGULAR,foul,personal,[],1631128,,,1610612739,65,54,2024-03-31T20:37:14Z,3160000,False,,,0,,C. Braun take personal FOUL (2 PF),"[1631128, 1628378]",1610612743.0,DEN,take,,,Braun,C. Braun,,,,,Above the Break 3,24+ Right Center,,,,1204.0,2.0,0.0,Mitchell,1628378.0,,,,,,,,,,,,
323,PT00M00.00S,2024-03-31T20:37:32.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630596,8.360709592641262,43.38235294117647,1610612739,65,56,2024-03-31T20:37:36Z,3180000,False,33.0,26.0,1,left,E. Mobley Layup (13 PTS) (D. Mitchell 4 AST),"[1630596, 1628378]",1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,4.22,Made,13.0,,,,,,,D. Mitchell,1628378.0,4.0,,,,,,,,
325,PT00M00.00S,2024-03-31T20:37:37.4Z,2,REGULAR,period,end,[],0,,,1610612743,65,56,2024-03-31T20:37:37Z,3200000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,PT12M00.00S,2024-03-31T20:52:29.3Z,3,REGULAR,substitution,out,['startperiod'],1631128,,,1610612743,65,56,2024-03-31T20:52:53Z,3210000,False,,,0,,SUB out: C. Braun,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,,,,,,,,,,
328,PT12M00.00S,2024-03-31T20:52:29.3Z,3,REGULAR,substitution,out,['startperiod'],203200,,,1610612743,65,56,2024-03-31T20:52:53Z,3220000,False,,,0,,SUB out: J. Holiday,[203200],1610612743.0,DEN,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
329,PT12M00.00S,2024-03-31T20:52:29.3Z,3,REGULAR,substitution,in,['startperiod'],202704,,,1610612743,65,56,2024-03-31T20:52:53Z,3230000,False,,,0,,SUB in: R. Jackson,[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
330,PT12M00.00S,2024-03-31T20:52:29.3Z,3,REGULAR,substitution,in,['startperiod'],1629008,,,1610612743,65,56,2024-03-31T20:52:53Z,3240000,False,,,0,,SUB in: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
331,PT12M00.00S,2024-03-31T20:52:50.4Z,3,REGULAR,period,start,[],0,,,1610612743,65,56,2024-03-31T20:52:54Z,3250000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,PT11M39.00S,2024-03-31T20:53:10.7Z,3,REGULAR,3pt,Jump Shot,[],203484,32.53942181340342,63.970588235294116,1610612743,68,56,2024-03-31T20:53:15Z,3260000,False,-70.0,253.0,1,left,K. Caldwell-Pope 26' 3PT pullup (17 PTS) (R. Jackson 2 AST),"[203484, 202704]",1610612743.0,DEN,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Center,26.29,Made,17.0,,,,,,,R. Jackson,202704.0,2.0,,,,,,,,
335,PT11M17.00S,2024-03-31T20:53:49.7Z,3,REGULAR,3pt,Jump Shot,[],1628378,91.27792378449409,96.32352941176471,1610612739,68,56,2024-03-31T20:53:56Z,3290000,False,232.0,29.0,1,right,MISS D. Mitchell 3PT,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Right Corner 3,24+ Right,23.35,Missed,,,,,,,,,,,,,,,,,,
336,PT11M15.00S,2024-03-31T20:53:51.7Z,3,REGULAR,rebound,defensive,[],1629008,,,1610612743,68,56,2024-03-31T20:53:56Z,3300000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:5),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Right Corner 3,24+ Right,,,,,,,,,335.0,,,,5.0,5.0,0.0,,,,,
337,PT11M01.00S,2024-03-31T20:54:07.8Z,3,REGULAR,violation,kicked ball,[],1629636,,,1610612743,68,56,2024-03-31T20:54:16Z,3310000,False,,,0,,D. Garland kicked ball VIOLATION,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,1162.0,,,,,,,,,,,,,,,,
338,PT10M57.00S,2024-03-31T20:54:25.4Z,3,REGULAR,2pt,Jump Shot,[],1629008,24.52365308804205,48.03921568627451,1610612743,70,56,2024-03-31T20:54:29Z,3320000,False,10.0,178.0,1,left,M. Porter Jr. 17' Jump Shot (13 PTS) (R. Jackson 3 AST),"[1629008, 202704]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Center,17.83,Made,13.0,,,,,,,R. Jackson,202704.0,3.0,,,,,,,,
340,PT10M38.00S,2024-03-31T20:54:45.8Z,3,REGULAR,turnover,out-of-bounds,[],1628386,,,1610612739,70,56,2024-03-31T20:55:01Z,3340000,False,,,0,,J. Allen bad pass out-of-bounds TURNOVER (2 TO),[1628386],1610612739.0,CLE,bad pass,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,,,,1162.0,,,,,,,,,,,,2.0,,,,
341,PT10M33.00S,2024-03-31T20:55:04.3Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],202704,32.013797634691194,59.80392156862745,1610612743,73,56,2024-03-31T20:57:37Z,3350000,False,-49.0,248.0,1,left,R. Jackson 25' 3PT  (14 PTS) (K. Caldwell-Pope 2 AST),"[202704, 203484]",1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,Above the Break 3,24+ Center,25.32,Made,14.0,,,,,,,K. Caldwell-Pope,203484.0,2.0,,,,,,,,
343,PT10M16.00S,2024-03-31T20:55:20.8Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630596,92.32917214191852,53.18627450980392,1610612739,73,58,2024-03-31T20:55:27Z,3370000,False,16.0,20.0,1,right,E. Mobley cutting Layup (15 PTS) (D. Garland 5 AST),"[1630596, 1629636]",1610612739.0,CLE,cutting,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,2.52,Made,15.0,,,,,,,D. Garland,1629636.0,5.0,,,,,,,,
345,PT09M56.00S,2024-03-31T20:55:40.7Z,3,REGULAR,turnover,lost ball,[],203999,,,1610612743,73,58,2024-03-31T20:57:18Z,3390000,False,,,0,,N. Jokic lost ball TURNOVER (3 TO),"[203999, 1629636]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,3.0,Garland,1629636.0,,
346,PT09M56.00S,2024-03-31T20:55:40.7Z,3,REGULAR,steal,,[],1629636,,,1610612739,73,58,2024-03-31T20:55:42Z,3400000,False,,,0,,D. Garland STEAL (2 STL),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
347,PT09M49.00S,2024-03-31T20:55:48.1Z,3,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629636,92.06636005256242,56.127450980392155,1610612739,73,58,2024-03-31T20:55:59Z,3410000,False,31.0,22.0,1,right,MISS D. Garland running finger roll Layup,[1629636],1610612739.0,CLE,running finger roll,,,Garland,D. Garland,,,,,Restricted Area,0-8 Center,3.77,Missed,,,,,,,,,,,,,,,,,,
348,PT09M47.00S,2024-03-31T20:55:50.1Z,3,REGULAR,rebound,defensive,[],203932,,,1610612743,73,58,2024-03-31T20:55:59Z,3420000,False,,,0,,A. Gordon REBOUND (Off:2 Def:3),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,,,,,,,347.0,,,,5.0,3.0,2.0,,,,,
349,PT09M37.00S,2024-03-31T20:56:00.4Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,5.995400788436268,63.23529411764706,1610612743,75,58,2024-03-31T20:56:08Z,3430000,False,-66.0,4.0,1,left,N. Jokic 6' turnaround Jump Shot (16 PTS) (K. Caldwell-Pope 3 AST),"[203999, 203484]",1610612743.0,DEN,turnaround,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,6.63,Made,16.0,,,,,,,K. Caldwell-Pope,203484.0,3.0,,,,,,,,
351,PT09M25.00S,2024-03-31T20:56:11.6Z,3,REGULAR,3pt,Jump Shot,[],1630596,70.90998685939553,22.54901960784314,1610612739,75,58,2024-03-31T20:56:24Z,3450000,False,-137.0,221.0,1,right,MISS E. Mobley 26' 3PT,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Left Center,26.01,Missed,,,,,,,,,,,,,,,,,,
