actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
260,PT06M20.00S,2023-02-08T02:53:47.4Z,2,REGULAR,3pt,Jump Shot,[],1629675,27.808804204993432,16.666666666666664,1610612750,57,36,2023-02-08T02:53:52Z,2620000,False,167.0,209.0,1,left,MISS N. Reid 26' 3PT,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Above the Break 3,24+ Right Center,26.73,Missed,,,,,,,,,,,,,,,,,,
261,PT06M17.00S,2023-02-08T02:53:50.4Z,2,REGULAR,rebound,offensive,[],203497,,,1610612750,57,36,2023-02-08T02:53:52Z,2630000,False,,,0,,R. Gobert REBOUND (Off:1 Def:2),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Right Center,,,260.0,,,,,,,,,,,,,,,3.0,2.0,1.0
262,PT06M13.00S,2023-02-08T02:53:54.1Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1630183,25.312089356110377,85.04901960784314,1610612750,57,36,2023-02-08T02:53:58Z,2640000,False,-175.0,185.0,1,left,MISS J. McDaniels 25' 3PT,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Left Center,25.51,Missed,,,,,,,,,,,,,,,,,,
263,PT06M10.00S,2023-02-08T02:53:57.1Z,2,REGULAR,rebound,defensive,[],203999,,,1610612743,57,36,2023-02-08T02:53:58Z,2650000,False,,,0,,N. Jokic REBOUND (Off:0 Def:5),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Left Center,,,262.0,,,,,,,,,,,,,,,5.0,5.0,0.0
264,PT06M05.00S,2023-02-08T02:54:02.3Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],203932,93.11760840998686,95.83333333333334,1610612743,60,36,2023-02-08T02:54:54Z,2660000,False,229.0,12.0,1,right,A. Gordon 3PT running (13 PTS) (N. Jokic 7 AST),"[203932, 203999]",1610612743.0,DEN,running,,,Gordon,A. Gordon,,,,,Right Corner 3,24+ Right,22.95,Made,,,,,13.0,N. Jokic,203999.0,7.0,,,,,,,,,,
266,PT05M49.00S,2023-02-08T02:54:17.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630183,6.521024967148489,54.90196078431373,1610612750,60,38,2023-02-08T02:55:35Z,2680000,False,-25.0,9.0,1,left,J. McDaniels driving Layup (2 PTS) (D. Russell 1 AST),"[1630183, 1626156]",1610612750.0,MIN,driving,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,2.6,Made,,,,,2.0,D. Russell,1626156.0,1.0,,,,,,,,,,
268,PT05M48.00S,2023-02-08T02:54:24.9Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,60,38,2023-02-08T02:54:24Z,2700000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,PT05M48.00S,2023-02-08T02:56:36.6Z,2,REGULAR,substitution,out,[],202397,,,1610612743,60,38,2023-02-08T02:57:02Z,2710000,False,,,0,,SUB out: I. Smith,[202397],1610612743.0,DEN,,,,Smith,I. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
270,PT05M48.00S,2023-02-08T02:56:36.6Z,2,REGULAR,substitution,in,[],1628971,,,1610612743,60,38,2023-02-08T02:57:02Z,2720000,False,,,0,,SUB in: B. Brown,[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
271,PT05M38.00S,2023-02-08T02:57:22.6Z,2,REGULAR,2pt,Jump Shot,[],203484,86.02168199737189,17.401960784313726,1610612743,62,38,2023-02-08T02:57:29Z,2730000,False,-163.0,79.0,1,right,K. Caldwell-Pope 18' pullup Jump Shot (6 PTS) (N. Jokic 8 AST),"[203484, 203999]",1610612743.0,DEN,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,16-24 Left,18.11,Made,,,,,6.0,N. Jokic,203999.0,8.0,,,,,,,,,,
273,PT05M23.00S,2023-02-08T02:57:37.3Z,2,REGULAR,turnover,bad pass,[],1630183,,,1610612750,62,38,2023-02-08T02:57:40Z,2750000,False,,,0,,J. McDaniels bad pass TURNOVER (2 TO),"[1630183, 203484]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Mid-Range,8-16 Right,,,,2.0,Caldwell-Pope,203484.0,,,,,,,,,,,,,,
274,PT05M23.00S,2023-02-08T02:57:37.3Z,2,REGULAR,steal,,[],203484,,,1610612743,62,38,2023-02-08T02:57:38Z,2760000,False,,,0,,K. Caldwell-Pope STEAL (1 STL),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
275,PT05M18.00S,2023-02-08T02:57:42.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628971,92.06636005256242,44.6078431372549,1610612743,62,38,2023-02-08T02:57:53Z,2770000,False,-27.0,22.0,1,right,MISS B. Brown running Layup - blocked,"[1628971, 1630162]",1610612743.0,DEN,running,,,Brown,B. Brown,,,,,Restricted Area,0-8 Center,3.49,Missed,,,,,,,,,,,,,,Edwards,1630162.0,,,
276,PT05M18.00S,2023-02-08T02:57:42.4Z,2,REGULAR,block,,[],1630162,,,1610612743,62,38,2023-02-08T02:57:44Z,2780000,False,,,0,,A. Edwards BLOCK (1 BLK),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
277,PT05M16.00S,2023-02-08T02:57:44.4Z,2,REGULAR,rebound,defensive,[],1629675,,,1610612750,62,38,2023-02-08T02:57:53Z,2790000,False,,,0,,N. Reid REBOUND (Off:0 Def:2),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Restricted Area,0-8 Center,,,275.0,,,,,,,,,,,,,,,2.0,2.0,0.0
278,PT05M12.00S,2023-02-08T02:57:48.2Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1626156,23.99802890932983,9.068627450980392,1610612750,62,38,2023-02-08T02:57:59Z,2800000,False,205.0,173.0,1,left,MISS D. Russell 26' 3PT,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Right Center,26.81,Missed,,,,,,,,,,,,,,,,,,
279,PT05M09.00S,2023-02-08T02:57:51.2Z,2,REGULAR,rebound,defensive,[],203999,,,1610612743,62,38,2023-02-08T02:57:59Z,2810000,False,,,0,,N. Jokic REBOUND (Off:0 Def:6),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Right Center,,,278.0,,,,,,,,,,,,,,,6.0,6.0,0.0
280,PT05M02.00S,2023-02-08T02:57:58.5Z,2,REGULAR,3pt,Jump Shot,[],203932,72.35545335085413,16.176470588235293,1610612743,65,38,2023-02-08T02:59:39Z,2820000,False,-169.0,207.0,1,right,A. Gordon 26' 3PT pullup (16 PTS),[203932],1610612743.0,DEN,pullup,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Left Center,26.76,Made,,,,,16.0,,,,,,,,,,,,,
281,PT04M50.00S,2023-02-08T02:58:10.0Z,2,REGULAR,3pt,Jump Shot,[],1629675,10.200394218134035,3.9215686274509802,1610612750,65,38,2023-02-08T02:58:15Z,2830000,False,230.0,43.0,1,left,MISS N. Reid 3PT,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Right Corner 3,24+ Right,23.45,Missed,,,,,,,,,,,,,,,,,,
282,PT04M48.00S,2023-02-08T02:58:12.0Z,2,REGULAR,rebound,defensive,[],203999,,,1610612743,65,38,2023-02-08T02:58:15Z,2840000,False,,,0,,N. Jokic REBOUND (Off:0 Def:7),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Right Corner 3,24+ Right,,,281.0,,,,,,,,,,,,,,,7.0,7.0,0.0
283,PT04M33.00S,2023-02-08T02:58:27.8Z,2,REGULAR,turnover,lost ball,[],203932,,,1610612743,65,38,2023-02-08T02:58:33Z,2850000,False,,,0,,A. Gordon lost ball TURNOVER (3 TO),"[203932, 1626156]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Mid-Range,8-16 Right,,,,3.0,Russell,1626156.0,,,,,,,,,,,,,,
284,PT04M33.00S,2023-02-08T02:58:27.8Z,2,REGULAR,steal,,[],1626156,,,1610612750,65,38,2023-02-08T02:58:29Z,2860000,False,,,0,,D. Russell STEAL (1 STL),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
285,PT04M28.00S,2023-02-08T02:58:32.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630183,6.258212877792378,56.127450980392155,1610612750,65,40,2023-02-08T02:58:42Z,2870000,False,-31.0,6.0,1,left,J. McDaniels running finger roll Layup (4 PTS) (D. Russell 2 AST),"[1630183, 1626156]",1610612750.0,MIN,running finger roll,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,3.12,Made,,,,,4.0,D. Russell,1626156.0,2.0,,,,,,,,,,
287,PT04M17.00S,2023-02-08T02:58:42.6Z,2,REGULAR,3pt,Jump Shot,[],1629008,67.36202365308804,44.85294117647059,1610612743,65,40,2023-02-08T02:58:48Z,2890000,False,-26.0,254.0,1,right,MISS M. Porter Jr. 25' 3PT,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Center,25.56,Missed,,,,,,,,,,,,,,,,,,
288,PT04M15.00S,2023-02-08T02:58:44.6Z,2,REGULAR,rebound,defensive,[],1629675,,,1610612750,65,40,2023-02-08T02:58:48Z,2900000,False,,,0,,N. Reid REBOUND (Off:0 Def:3),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Above the Break 3,24+ Center,,,287.0,,,,,,,,,,,,,,,3.0,3.0,0.0
289,PT04M05.00S,2023-02-08T02:58:55.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629675,10.068988173455978,52.94117647058824,1610612750,65,42,2023-02-08T03:01:08Z,2910000,False,-15.0,42.0,1,left,N. Reid driving floating Jump Shot (9 PTS) (D. Russell 3 AST),"[1629675, 1626156]",1610612750.0,MIN,driving floating,,,Reid,N. Reid,,,,,In The Paint (Non-RA),0-8 Center,4.46,Made,,,,,9.0,D. Russell,1626156.0,3.0,,,,,,,,,,
291,PT03M54.00S,2023-02-08T02:59:06.3Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1628971,86.5473061760841,48.77450980392157,1610612743,67,42,2023-02-08T02:59:11Z,2930000,False,-6.0,74.0,1,right,B. Brown 7' turnaround Hook (5 PTS),[1628971],1610612743.0,DEN,turnaround,,,Brown,B. Brown,,,,,In The Paint (Non-RA),0-8 Center,7.43,Made,,,,,5.0,,,,,,,,,,,,,
292,PT03M45.00S,2023-02-08T02:59:18.8Z,2,REGULAR,turnover,traveling,[],1630183,,,1610612750,67,42,2023-02-08T02:59:26Z,2940000,False,,,0,,J. McDaniels traveling TURNOVER (3 TO),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Right Corner 3,24+ Right,,,,3.0,,,,,,,1830.0,,,,,,,,,
293,PT03M45.00S,2023-02-08T02:59:22.0Z,2,REGULAR,substitution,out,[],203497,,,1610612743,67,42,2023-02-08T02:59:25Z,2950000,False,,,0,,SUB out: R. Gobert,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,,
294,PT03M45.00S,2023-02-08T02:59:22.0Z,2,REGULAR,substitution,in,[],1627752,,,1610612743,67,42,2023-02-08T02:59:25Z,2960000,False,,,0,,SUB in: T. Prince,[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,,
295,PT03M29.00S,2023-02-08T02:59:53.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203999,91.40932982917214,48.529411764705884,1610612743,69,42,2023-02-08T02:59:58Z,2970000,False,-7.0,28.0,1,right,N. Jokic cutting Layup (13 PTS) (A. Gordon 6 AST),"[203999, 203932]",1610612743.0,DEN,cutting,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,2.93,Made,,,,,13.0,A. Gordon,203932.0,6.0,,,,,,,,,,
297,PT03M16.00S,2023-02-08T03:00:05.6Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1629675,7.046649145860711,43.38235294117647,1610612750,69,42,2023-02-08T03:00:14Z,2990000,False,33.0,14.0,1,left,MISS N. Reid bank Hook,[1629675],1610612750.0,MIN,bank,,,Reid,N. Reid,,,,,Restricted Area,0-8 Center,3.58,Missed,,,,,,,,,,,,,,,,,,
298,PT03M15.00S,2023-02-08T03:00:06.6Z,2,REGULAR,rebound,defensive,[],203999,,,1610612743,69,42,2023-02-08T03:00:14Z,3000000,False,,,0,,N. Jokic REBOUND (Off:0 Def:8),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,297.0,,,,,,,,,,,,,,,8.0,8.0,0.0
299,PT03M10.00S,2023-02-08T03:00:12.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203484,93.11760840998686,45.09803921568628,1610612743,69,42,2023-02-08T03:00:26Z,3010000,False,-25.0,12.0,1,right,MISS K. Caldwell-Pope running alley-oop Layup,[203484],1610612743.0,DEN,running alley-oop,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Restricted Area,0-8 Center,2.74,Missed,,,,,,,,,,,,,,,,,,
300,PT03M07.00S,2023-02-08T03:00:15.0Z,2,REGULAR,rebound,offensive,[],203999,,,1610612743,69,42,2023-02-08T03:00:26Z,3020000,False,,,0,,N. Jokic REBOUND (Off:1 Def:8),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,299.0,,,,,,,,,,,,,,,9.0,8.0,1.0
301,PT03M07.00S,2023-02-08T03:00:14.3Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203999,94.40999984741211,50.0,1610612743,71,42,2023-02-08T03:00:46Z,3030000,False,0.0,0.0,1,right,N. Jokic tip Layup (15 PTS),[203999],1610612743.0,DEN,tip,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,15.0,,,,,,,,,,,,,
302,PT03M06.00S,2023-02-08T03:00:20.9Z,2,REGULAR,timeout,full,['team'],0,,,1610612750,71,42,2023-02-08T03:00:20Z,3040000,False,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,PT03M06.00S,2023-02-08T03:01:21.1Z,2,REGULAR,violation,delay-of-game,['team'],0,,,1610612750,71,42,2023-02-08T03:02:46Z,3045000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,PT02M48.00S,2023-02-08T03:02:34.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,7.5722733245729295,48.529411764705884,1610612750,71,44,2023-02-08T03:02:41Z,3060000,False,7.0,19.0,1,left,A. Edwards driving Layup (17 PTS),[1630162],1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,2.01,Made,,,,,17.0,,,,,,,,,,,,,
306,PT02M31.00S,2023-02-08T03:02:51.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628971,89.43823915900131,42.64705882352941,1610612743,71,44,2023-02-08T03:02:56Z,3070000,False,-37.0,47.0,1,right,MISS B. Brown driving Layup - blocked,"[1628971, 1630183]",1610612743.0,DEN,driving,,,Brown,B. Brown,,,,,In The Paint (Non-RA),0-8 Center,5.95,Missed,,,,,,,,,,,,,,McDaniels,1630183.0,,,
307,PT02M31.00S,2023-02-08T03:02:51.1Z,2,REGULAR,block,,[],1630183,,,1610612743,71,44,2023-02-08T03:02:53Z,3080000,False,,,0,,J. McDaniels BLOCK (1 BLK),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
308,PT02M29.00S,2023-02-08T03:02:53.1Z,2,REGULAR,rebound,defensive,[],1630183,,,1610612750,71,44,2023-02-08T03:02:56Z,3090000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,,,306.0,,,,,,,,,,,,,,,1.0,1.0,0.0
309,PT02M22.00S,2023-02-08T03:02:59.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,6.652431011826544,45.34313725490196,1610612750,71,46,2023-02-08T03:03:05Z,3100000,False,23.0,10.0,1,left,A. Edwards driving finger roll Layup (19 PTS),[1630162],1610612750.0,MIN,driving finger roll,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,2.54,Made,,,,,19.0,,,,,,,,,,,,,
310,PT02M04.00S,2023-02-08T03:03:18.4Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],203932,92.72339027595268,49.754901960784316,1610612743,73,46,2023-02-08T03:03:23Z,3110000,False,-1.0,16.0,1,right,A. Gordon DUNK (18 PTS) (N. Jokic 9 AST),"[203932, 203999]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,1.59,Made,,,,,18.0,N. Jokic,203999.0,9.0,,,,,,,,,,
313,PT02M00.00S,2023-02-08T03:03:31.2Z,2,REGULAR,violation,kicked ball,[],203484,,,1610612750,73,46,2023-02-08T03:04:17Z,3140000,False,,,0,,K. Caldwell-Pope kicked ball VIOLATION,[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,1830.0,,,,,,,,,
314,PT01M56.00S,2023-02-08T03:03:41.1Z,2,REGULAR,turnover,lost ball,[],1629675,,,1610612750,73,46,2023-02-08T03:03:54Z,3150000,False,,,0,,N. Reid lost ball TURNOVER (2 TO),"[1629675, 203484]",1610612750.0,MIN,,,,Reid,N. Reid,,,,,In The Paint (Non-RA),8-16 Center,,,,2.0,Caldwell-Pope,203484.0,,,,,,,,,,,,,,
315,PT01M56.00S,2023-02-08T03:03:41.1Z,2,REGULAR,steal,,[],203484,,,1610612743,73,46,2023-02-08T03:03:43Z,3160000,False,,,0,,K. Caldwell-Pope STEAL (2 STL),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
316,PT01M55.00S,2023-02-08T03:03:45.6Z,2,REGULAR,foul,personal,[],1630162,,,1610612743,73,46,2023-02-08T03:03:50Z,3170000,False,,,0,,A. Edwards personal FOUL (3 PF),"[1630162, 203484]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,,,,,,,,,,,1830.0,3.0,0.0,Caldwell-Pope,203484.0,,,,,
318,PT01M55.00S,2023-02-08T03:03:53.1Z,2,REGULAR,substitution,out,[],1630162,,,1610612743,73,46,2023-02-08T03:04:02Z,3190000,False,,,0,,SUB out: A. Edwards,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
319,PT01M55.00S,2023-02-08T03:03:53.1Z,2,REGULAR,substitution,in,[],1630346,,,1610612743,73,46,2023-02-08T03:04:02Z,3200000,False,,,0,,SUB in: M. Ryan,[1630346],1610612750.0,MIN,,,,Ryan,M. Ryan,,,,,,,,,,,,,,,,,,,,,,,,,,
320,PT01M42.00S,2023-02-08T03:04:24.5Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1629008,92.9862023653088,50.0,1610612743,75,46,2023-02-08T03:05:54Z,3210000,False,0.0,13.0,1,right,M. Porter Jr. cutting DUNK (21 PTS) (N. Jokic 10 AST),"[1629008, 203999]",1610612743.0,DEN,cutting,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,1.34,Made,,,,,21.0,N. Jokic,203999.0,10.0,,,,,,,,,,
322,PT01M26.00S,2023-02-08T03:04:39.8Z,2,REGULAR,3pt,Jump Shot,[],1630346,27.54599211563732,20.34313725490196,1610612750,75,46,2023-02-08T03:04:44Z,3230000,False,148.0,206.0,1,left,MISS M. Ryan 25' 3PT - blocked,"[1630346, 203932]",1610612750.0,MIN,,,,Ryan,M. Ryan,,,,,Above the Break 3,24+ Right Center,25.42,Missed,,,,,,,,,,,,,,Gordon,203932.0,,,
323,PT01M26.00S,2023-02-08T03:04:39.8Z,2,REGULAR,block,,[],203932,,,1610612750,75,46,2023-02-08T03:04:42Z,3240000,False,,,0,,A. Gordon BLOCK (2 BLK),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
324,PT01M22.00S,2023-02-08T03:04:43.8Z,2,REGULAR,rebound,offensive,[],1630183,,,1610612750,75,46,2023-02-08T03:04:44Z,3250000,False,,,0,,J. McDaniels REBOUND (Off:1 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Right Center,,,322.0,,,,,,,,,,,,,,,2.0,1.0,1.0
325,PT01M21.00S,2023-02-08T03:04:44.5Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1630346,7.835085413929041,2.696078431372549,1610612750,75,46,2023-02-08T03:04:50Z,3260000,False,237.0,21.0,1,left,MISS M. Ryan 3PT,[1630346],1610612750.0,MIN,,,,Ryan,M. Ryan,,,,,Right Corner 3,24+ Right,23.74,Missed,,,,,,,,,,,,,,,,,,
326,PT01M19.00S,2023-02-08T03:04:46.5Z,2,REGULAR,rebound,defensive,[],1629008,,,1610612743,75,46,2023-02-08T03:04:50Z,3270000,False,,,0,,M. Porter Jr. REBOUND (Off:1 Def:3),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Right Corner 3,24+ Right,,,325.0,,,,,,,,,,,,,,,4.0,3.0,1.0
349,PT01M12.00S,2023-02-08T03:04:49.6Z,2,REGULAR,turnover,bad pass,[],203999,,,1610612743,75,46,2023-02-08T03:11:45Z,3275000,False,,,0,,N. Jokic bad pass TURNOVER (1 TO),"[203999, 1630183]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),8-16 Left,,,,1.0,McDaniels,1630183.0,,,,,,,,,,,,,,
350,PT01M12.00S,2023-02-08T03:04:49.6Z,2,REGULAR,steal,,[],1630183,,,1610612750,75,46,2023-02-08T03:11:28Z,3277500,False,,,0,,J. McDaniels STEAL (1 STL),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
329,PT01M05.00S,2023-02-08T03:05:02.0Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak', 'fromturnover']",1629675,6.915243101182654,50.49019607843137,1610612750,75,48,2023-02-08T03:11:51Z,3300000,False,-2.0,13.0,1,left,N. Reid running DUNK (11 PTS) (T. Prince 1 AST),"[1629675, 1627752]",1610612750.0,MIN,running,,,Reid,N. Reid,,,,,Restricted Area,0-8 Center,1.27,Made,,,,,11.0,T. Prince,1627752.0,1.0,,,,,,,,,,
331,PT00M46.20S,2023-02-08T03:05:23.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,90.48948751642575,50.98039215686274,1610612743,77,48,2023-02-08T03:05:29Z,3320000,False,5.0,37.0,1,right,N. Jokic floating Jump Shot (17 PTS) (A. Gordon 7 AST),"[203999, 203932]",1610612743.0,DEN,floating,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,3.72,Made,,,,,17.0,A. Gordon,203932.0,7.0,,,,,,,,,,
333,PT00M35.60S,2023-02-08T03:05:40.5Z,2,REGULAR,3pt,Jump Shot,[],1627752,16.507884362680684,96.32352941176471,1610612750,77,48,2023-02-08T03:05:56Z,3340000,False,-232.0,103.0,1,left,MISS T. Prince 25' 3PT,[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Left Center,25.33,Missed,,,,,,,,,,,,,,,,,,
334,PT00M33.20S,2023-02-08T03:05:42.9Z,2,REGULAR,rebound,defensive,[],203999,,,1610612743,77,48,2023-02-08T03:05:56Z,3350000,False,,,0,,N. Jokic REBOUND (Off:1 Def:9),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Left Center,,,333.0,,,,,,,,,,,,,,,10.0,9.0,1.0
335,PT00M33.20S,2023-02-08T03:05:54.0Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627752,,,1610612743,77,48,2023-02-08T03:06:03Z,3360000,False,,,0,,T. Prince personal FOUL (2 PF) (Jokic 2 FT),"[1627752, 203999]",1610612750.0,MIN,,,,Prince,T. Prince,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,1830.0,2.0,0.0,Jokic,203999.0,,,,,
337,PT00M33.20S,2023-02-08T03:06:22.6Z,2,REGULAR,freethrow,1 of 2,[],203999,,,1610612743,78,48,2023-02-08T03:06:22Z,3380000,False,,,0,,N. Jokic Free Throw 1 of 2 (18 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,Made,,,,,18.0,,,,,,,,,,,,,
338,PT00M33.20S,2023-02-08T03:06:23.2Z,2,REGULAR,substitution,out,[],1628971,,,1610612743,78,48,2023-02-08T03:06:29Z,3390000,False,,,0,,SUB out: B. Brown,[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
339,PT00M33.20S,2023-02-08T03:06:23.2Z,2,REGULAR,substitution,in,[],1631128,,,1610612743,78,48,2023-02-08T03:06:29Z,3400000,False,,,0,,SUB in: C. Braun,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,,,,,,,,,,
340,PT00M33.20S,2023-02-08T03:06:40.6Z,2,REGULAR,freethrow,2 of 2,[],203999,,,1610612743,79,48,2023-02-08T03:06:40Z,3410000,False,,,0,,N. Jokic Free Throw 2 of 2 (19 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,Made,,,,,19.0,,,,,,,,,,,,,
341,PT00M28.80S,2023-02-08T03:06:52.7Z,2,REGULAR,3pt,Jump Shot,[],1627752,27.020367936925098,84.31372549019608,1610612750,79,48,2023-02-08T03:06:57Z,3420000,False,-172.0,201.0,1,left,MISS T. Prince 26' 3PT,[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Left Center,26.47,Missed,,,,,,,,,,,,,,,,,,
