actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
343,PT12M00.00S,2023-10-31T01:19:39.2Z,3,REGULAR,substitution,out,['startperiod'],1628467,,,1610612763,61,67,2023-10-31T01:20:22Z,3430000,False,,,0,,SUB out: M. Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,,
344,PT12M00.00S,2023-10-31T01:19:39.2Z,3,REGULAR,substitution,in,['startperiod'],1630214,,,1610612763,61,67,2023-10-31T01:20:22Z,3440000,False,,,0,,SUB in: X. Tillman,[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,,,,,,,,,,,,,,,,,,,,,,
345,PT12M00.00S,2023-10-31T01:19:39.2Z,3,REGULAR,substitution,in,['startperiod'],1627884,,,1610612763,61,67,2023-10-31T01:20:22Z,3450000,False,,,0,,SUB in: D. Jones Jr.,[1627884],1610612742.0,DAL,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
346,PT12M00.00S,2023-10-31T01:19:39.2Z,3,REGULAR,substitution,in,['startperiod'],1641726,,,1610612763,61,67,2023-10-31T01:20:22Z,3460000,False,,,0,,SUB in: D. Lively II,[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,,,,,,,,,,,,,,,,,,,,,,
347,PT12M00.00S,2023-10-31T01:20:38.7Z,3,REGULAR,period,start,[],0,,,1610612742,61,67,2023-10-31T01:20:38Z,3470000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,PT11M48.00S,2023-10-31T01:20:49.0Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,6.915243101182654,63.48039215686274,1610612742,61,69,2023-10-31T01:20:52Z,3480000,False,-67.0,13.0,1,left,L. Doncic 6' pullup Jump Shot (24 PTS),[1629029],1610612742.0,DAL,pullup,,,Doncic,L. Doncic,,,,,,In The Paint (Non-RA),0-8 Center,6.85,Made,,,,,,,,,24.0,,,,,,,,
349,PT11M25.00S,2023-10-31T01:21:12.4Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630214,92.19776609724047,50.98039215686274,1610612763,61,69,2023-10-31T01:21:16Z,3490000,False,5.0,21.0,1,right,MISS X. Tillman driving finger roll Layup,[1630214],1610612763.0,MEM,driving finger roll,,,Tillman,X. Tillman,,,,,,Restricted Area,0-8 Center,2.14,Missed,,,,,,,,,,,,,,,,,
350,PT11M23.00S,2023-10-31T01:21:14.4Z,3,REGULAR,rebound,defensive,[],1641726,,,1610612742,61,69,2023-10-31T01:21:16Z,3500000,False,,,0,,D. Lively II REBOUND (Off:1 Def:4),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,,Restricted Area,0-8 Center,,,349.0,5.0,4.0,1.0,,,,,,,,,,,,,
351,PT11M04.00S,2023-10-31T01:21:33.5Z,3,REGULAR,3pt,Jump Shot,[],1629029,23.209592641261498,89.2156862745098,1610612742,61,69,2023-10-31T01:21:37Z,3510000,False,-196.0,166.0,1,left,MISS L. Doncic 25' step back 3PT,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,,Above the Break 3,24+ Left Center,25.67,Missed,,,,,,,,,,,,,,,,,
352,PT11M01.00S,2023-10-31T01:21:36.5Z,3,REGULAR,rebound,defensive,[],1628991,,,1610612763,61,69,2023-10-31T01:21:37Z,3520000,False,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:2),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,Above the Break 3,24+ Left Center,,,351.0,3.0,2.0,1.0,,,,,,,,,,,,,
353,PT10M58.00S,2023-10-31T01:21:41.8Z,3,REGULAR,foul,personal,['2freethrow'],1641726,,,1610612763,61,69,2023-10-31T01:21:55Z,3530000,False,,,0,,D. Lively II shooting personal FOUL (5 PF) (Jackson Jr. 2 FT),"[1641726, 1628991]",1610612742.0,DAL,shooting,,,Lively II,D. Lively II,,,,,1627961.0,Restricted Area,0-8 Center,,,,,,,5.0,0.0,Jackson Jr.,1628991.0,,,,,,,,,
355,PT10M58.00S,2023-10-31T01:22:11.2Z,3,REGULAR,freethrow,1 of 2,['fastbreak'],1628991,,,1610612763,62,69,2023-10-31T01:22:11Z,3550000,False,,,0,,J. Jackson Jr. Free Throw 1 of 2 (15 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,Made,,,,,,,,,15.0,,,,,,,,
356,PT10M58.00S,2023-10-31T01:22:12.2Z,3,REGULAR,substitution,out,[],1641726,,,1610612763,62,69,2023-10-31T01:22:17Z,3560000,False,,,0,,SUB out: D. Lively II,[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,,,,,,,,,,,,,,,,,,,,,,
357,PT10M58.00S,2023-10-31T01:22:12.2Z,3,REGULAR,substitution,in,[],203939,,,1610612763,62,69,2023-10-31T01:22:17Z,3570000,False,,,0,,SUB in: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
358,PT10M58.00S,2023-10-31T01:22:27.3Z,3,REGULAR,freethrow,2 of 2,['fastbreak'],1628991,,,1610612763,63,69,2023-10-31T01:22:27Z,3580000,False,,,0,,J. Jackson Jr. Free Throw 2 of 2 (16 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,Made,,,,,,,,,16.0,,,,,,,,
359,PT10M50.00S,2023-10-31T01:22:43.0Z,3,REGULAR,foul,personal,[],203935,,,1610612742,63,69,2023-10-31T01:22:45Z,3590000,False,,,0,,M. Smart personal FOUL (2 PF),"[203935, 1627884]",1610612763.0,MEM,,,,Smart,M. Smart,,,,,203591.0,Above the Break 3,24+ Left Center,,,,,,,2.0,0.0,Jones Jr.,1627884.0,,,,,,,,,
361,PT10M36.00S,2023-10-31T01:23:21.0Z,3,REGULAR,3pt,Jump Shot,[],1627884,30.17411300919842,70.34313725490196,1610612742,63,69,2023-10-31T01:23:24Z,3610000,False,-102.0,231.0,1,left,MISS D. Jones Jr. 25' 3PT,[1627884],1610612742.0,DAL,,,,Jones Jr.,D. Jones Jr.,,,,,,Above the Break 3,24+ Left Center,25.25,Missed,,,,,,,,,,,,,,,,,
362,PT10M33.00S,2023-10-31T01:23:24.0Z,3,REGULAR,rebound,defensive,[],1628991,,,1610612763,63,69,2023-10-31T01:23:24Z,3620000,False,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:3),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,Above the Break 3,24+ Left Center,,,361.0,4.0,3.0,1.0,,,,,,,,,,,,,
363,PT10M24.00S,2023-10-31T01:23:36.2Z,3,REGULAR,foul,technical,['1freethrow'],203939,,,1610612763,63,69,2023-10-31T01:23:47Z,3630000,False,,,0,,D. Powell defensive-3-second technical FOUL (1 Tech),[203939],1610612742.0,DAL,defensive-3-second,,,Powell,D. Powell,,,,,203591.0,,,,,,,,,1.0,1.0,,,,,,,,,,,
364,PT10M24.00S,2023-10-31T01:24:00.0Z,3,REGULAR,freethrow,1 of 1,[],1630217,,,1610612763,64,69,2023-10-31T01:24:00Z,3640000,False,,,0,,D. Bane technical Free Throw 1 of 1 (19 PTS),[1630217],1610612763.0,MEM,technical,,,Bane,D. Bane,,,,,,,,,Made,,,,,,,,,19.0,,,,,,,,
365,PT10M09.00S,2023-10-31T01:24:30.6Z,3,REGULAR,3pt,Jump Shot,[],1630217,72.35545335085413,80.3921568627451,1610612763,64,69,2023-10-31T01:24:34Z,3650000,False,152.0,207.0,1,right,MISS D. Bane 25' step back 3PT,[1630217],1610612763.0,MEM,step back,,,Bane,D. Bane,,,,,,Above the Break 3,24+ Right Center,25.71,Missed,,,,,,,,,,,,,,,,,
366,PT10M06.00S,2023-10-31T01:24:34.1Z,3,REGULAR,rebound,defensive,[],1629029,,,1610612742,64,69,2023-10-31T01:24:34Z,3660000,False,,,0,,L. Doncic REBOUND (Off:0 Def:4),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,Above the Break 3,24+ Right Center,,,365.0,4.0,4.0,0.0,,,,,,,,,,,,,
367,PT10M04.00S,2023-10-31T01:24:36.1Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627884,6.258212877792378,51.9607843137255,1610612742,64,71,2023-10-31T01:24:40Z,3670000,False,-10.0,6.0,1,left,D. Jones Jr. running finger roll Layup (12 PTS) (L. Doncic 4 AST),"[1627884, 1629029]",1610612742.0,DAL,running finger roll,,,Jones Jr.,D. Jones Jr.,,,,,,Restricted Area,0-8 Center,1.17,Made,,,,,,,,,12.0,,L. Doncic,1629029.0,4.0,,,,
369,PT10M04.00S,2023-10-31T01:24:39.4Z,3,REGULAR,foul,personal,['1freethrow'],1628991,,,1610612742,64,71,2023-10-31T01:24:48Z,3690000,False,,,0,,J. Jackson Jr. shooting personal FOUL (1 PF) (Jones Jr. 1 FT),"[1628991, 1627884]",1610612763.0,MEM,shooting,,,Jackson Jr.,J. Jackson Jr.,,,,,200833.0,Restricted Area,0-8 Center,,,,,,,1.0,0.0,Jones Jr.,1627884.0,,,,,,,,,
371,PT10M04.00S,2023-10-31T01:25:13.8Z,3,REGULAR,freethrow,1 of 1,['fastbreak'],1627884,,,1610612742,64,71,2023-10-31T01:25:13Z,3710000,False,,,0,,MISS D. Jones Jr. Free Throw 1 of 1,[1627884],1610612742.0,DAL,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
372,PT10M02.00S,2023-10-31T01:25:14.9Z,3,REGULAR,rebound,offensive,[],1629684,,,1610612742,64,71,2023-10-31T01:25:14Z,3720000,False,,,0,,G. Williams REBOUND (Off:1 Def:2),[1629684],1610612742.0,DAL,,,,Williams,G. Williams,,,,,,,,,,371.0,3.0,2.0,1.0,,,,,,,,,,,,,
373,PT09M52.00S,2023-10-31T01:25:24.7Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630182,5.732588699080158,48.529411764705884,1610612742,64,73,2023-10-31T01:25:28Z,3730000,False,7.0,1.0,1,left,J. Green driving finger roll Layup (5 PTS) (L. Doncic 5 AST),"[1630182, 1629029]",1610612742.0,DAL,driving finger roll,,,Green,J. Green,,,,,,Restricted Area,0-8 Center,0.75,Made,,,,,,,,,5.0,,L. Doncic,1629029.0,5.0,,,,
375,PT09M35.00S,2023-10-31T01:25:41.4Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630533,94.1688567674113,53.431372549019606,1610612763,64,73,2023-10-31T01:25:48Z,3750000,False,17.0,2.0,1,right,MISS Z. Williams driving Layup,[1630533],1610612763.0,MEM,driving,,,Williams,Z. Williams,,,,,,Restricted Area,0-8 Center,1.74,Missed,,,,,,,,,,,,,,,,,
376,PT09M31.00S,2023-10-31T01:25:45.4Z,3,REGULAR,rebound,offensive,[],1630533,,,1610612763,64,73,2023-10-31T01:28:20Z,3760000,False,,,0,,Z. Williams REBOUND (Off:1 Def:2),[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,Restricted Area,0-8 Center,,,375.0,3.0,2.0,1.0,,,,,,,,,,,,,
377,PT09M31.00S,2023-10-31T01:25:49.5Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630214,92.46057818659659,50.98039215686274,1610612763,66,73,2023-10-31T01:25:53Z,3770000,False,5.0,18.0,1,right,X. Tillman cutting Layup (6 PTS) (J. Jackson Jr. 2 AST),"[1630214, 1628991]",1610612763.0,MEM,cutting,,,Tillman,X. Tillman,,,,,,Restricted Area,0-8 Center,1.9,Made,,,,,,,,,6.0,,J. Jackson Jr.,1628991.0,2.0,,,,
379,PT09M31.00S,2023-10-31T01:25:52.5Z,3,REGULAR,foul,personal,['1freethrow'],1629684,,,1610612763,66,73,2023-10-31T01:26:00Z,3790000,False,,,0,,G. Williams shooting personal FOUL (1 PF) (Tillman 1 FT),"[1629684, 1630214]",1610612742.0,DAL,shooting,,,Williams,G. Williams,,,,,200833.0,Restricted Area,0-8 Center,,,,,,,1.0,0.0,Tillman,1630214.0,,,,,,,,,
381,PT09M31.00S,2023-10-31T01:26:17.5Z,3,REGULAR,freethrow,1 of 1,['2ndchance'],1630214,,,1610612763,66,73,2023-10-31T01:26:17Z,3810000,False,,,0,,MISS X. Tillman Free Throw 1 of 1,[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
382,PT09M23.00S,2023-10-31T01:26:23.3Z,3,REGULAR,rebound,offensive,[],1630214,,,1610612763,66,73,2023-10-31T01:26:23Z,3820000,False,,,0,,X. Tillman REBOUND (Off:2 Def:4),[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,,,,,,381.0,6.0,4.0,2.0,,,,,,,,,,,,,
383,PT09M23.00S,2023-10-31T01:26:23.3Z,3,REGULAR,2pt,Jump Shot,"['2ndchance', 'pointsinthepaint']",1630214,86.41590013140605,47.549019607843135,1610612763,66,73,2023-10-31T01:26:31Z,3830000,False,-12.0,75.0,1,right,MISS X. Tillman 7' floating Shot,[1630214],1610612763.0,MEM,floating,,,Tillman,X. Tillman,,,,,,In The Paint (Non-RA),0-8 Center,7.62,Missed,,,,,,,,,,,,,,,,,
384,PT09M22.00S,2023-10-31T01:26:24.3Z,3,REGULAR,rebound,defensive,[],1627884,,,1610612742,66,73,2023-10-31T02:06:56Z,3840000,False,,,0,,D. Jones Jr. REBOUND (Off:0 Def:3),[1627884],1610612742.0,DAL,,,,Jones Jr.,D. Jones Jr.,,,,,,In The Paint (Non-RA),0-8 Center,,,383.0,3.0,3.0,0.0,,,,,,,,,,,,,
385,PT09M13.00S,2023-10-31T01:26:33.6Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,11.777266754270697,39.46078431372549,1610612742,66,73,2023-10-31T01:26:37Z,3850000,False,53.0,58.0,1,left,MISS L. Doncic 7' driving floating bank Shot,[1629029],1610612742.0,DAL,driving floating bank,,,Doncic,L. Doncic,,,,,,In The Paint (Non-RA),0-8 Center,7.85,Missed,,,,,,,,,,,,,,,,,
386,PT09M10.00S,2023-10-31T01:26:36.6Z,3,REGULAR,rebound,defensive,[],1628991,,,1610612763,66,73,2023-10-31T01:26:37Z,3860000,False,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:4),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,In The Paint (Non-RA),0-8 Center,,,385.0,5.0,4.0,1.0,,,,,,,,,,,,,
387,PT09M03.00S,2023-10-31T01:26:43.2Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,94.03745072273325,50.0,1610612763,68,73,2023-10-31T01:26:46Z,3870000,False,0.0,4.0,1,right,D. Bane driving finger roll Layup (21 PTS) (J. Jackson Jr. 3 AST),"[1630217, 1628991]",1610612763.0,MEM,driving finger roll,,,Bane,D. Bane,,,,,,Restricted Area,0-8 Center,0.35,Made,,,,,,,,,21.0,,J. Jackson Jr.,1628991.0,3.0,,,,
389,PT08M42.00S,2023-10-31T01:27:06.8Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1627884,7.30946123521682,50.98039215686274,1610612742,68,75,2023-10-31T01:27:10Z,3890000,False,-5.0,16.0,1,left,D. Jones Jr. driving finger roll Layup (14 PTS) (L. Doncic 6 AST),"[1627884, 1629029]",1610612742.0,DAL,driving finger roll,,,Jones Jr.,D. Jones Jr.,,,,,,Restricted Area,0-8 Center,1.69,Made,,,,,,,,,14.0,,L. Doncic,1629029.0,6.0,,,,
391,PT08M42.00S,2023-10-31T01:27:09.0Z,3,REGULAR,foul,personal,['1freethrow'],1630533,,,1610612742,68,75,2023-10-31T01:27:19Z,3910000,False,,,0,,Z. Williams shooting personal FOUL (1 PF) (Jones Jr. 1 FT),"[1630533, 1627884]",1610612763.0,MEM,shooting,,,Williams,Z. Williams,,,,,200833.0,Restricted Area,0-8 Center,,,,,,,1.0,0.0,Jones Jr.,1627884.0,,,,,,,,,
393,PT08M42.00S,2023-10-31T01:27:35.4Z,3,REGULAR,freethrow,1 of 1,[],1627884,,,1610612742,68,75,2023-10-31T01:27:35Z,3930000,False,,,0,,MISS D. Jones Jr. Free Throw 1 of 1,[1627884],1610612742.0,DAL,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
394,PT08M39.00S,2023-10-31T01:27:36.8Z,3,REGULAR,rebound,defensive,[],1628991,,,1610612763,68,75,2023-10-31T01:27:36Z,3940000,False,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:5),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,393.0,6.0,5.0,1.0,,,,,,,,,,,,,
395,PT08M28.00S,2023-10-31T01:27:47.7Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,92.72339027595268,52.69607843137255,1610612763,68,75,2023-10-31T01:27:53Z,3950000,False,13.0,16.0,1,right,MISS J. Jackson Jr. alley-oop Layup - blocked,"[1628991, 203939]",1610612763.0,MEM,alley-oop,,,Jackson Jr.,J. Jackson Jr.,,,,,,Restricted Area,0-8 Center,2.09,Missed,,,,,,,,,,,,,,Powell,203939.0,,
396,PT08M28.00S,2023-10-31T01:27:47.7Z,3,REGULAR,block,,[],203939,,,1610612763,68,75,2023-10-31T01:27:51Z,3960000,False,,,0,,D. Powell BLOCK (3 BLK),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
397,PT08M24.00S,2023-10-31T01:27:51.7Z,3,REGULAR,rebound,defensive,[],1629029,,,1610612742,68,75,2023-10-31T01:27:53Z,3970000,False,,,0,,L. Doncic REBOUND (Off:0 Def:5),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,Restricted Area,0-8 Center,,,395.0,5.0,5.0,0.0,,,,,,,,,,,,,
398,PT08M19.00S,2023-10-31T01:27:57.2Z,3,REGULAR,turnover,bad pass,[],1630182,,,1610612742,68,75,2023-10-31T01:28:00Z,3980000,False,,,0,,J. Green bad pass TURNOVER (1 TO),"[1630182, 1630217]",1610612742.0,DAL,,,,Green,J. Green,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1.0,,,,,,Bane,1630217.0
399,PT08M19.00S,2023-10-31T01:27:57.2Z,3,REGULAR,steal,,[],1630217,,,1610612763,68,75,2023-10-31T01:27:59Z,3990000,False,,,0,,D. Bane STEAL (2 STL),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
400,PT08M12.00S,2023-10-31T01:28:04.5Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630217,92.9862023653088,52.94117647058824,1610612763,70,75,2023-10-31T01:28:08Z,4000000,False,15.0,13.0,1,right,D. Bane driving finger roll Layup (23 PTS),[1630217],1610612763.0,MEM,driving finger roll,,,Bane,D. Bane,,,,,,Restricted Area,0-8 Center,1.99,Made,,,,,,,,,23.0,,,,,,,,
401,PT07M49.00S,2023-10-31T01:28:26.8Z,3,REGULAR,2pt,Jump Shot,[],1629029,7.5722733245729295,72.05882352941177,1610612742,70,75,2023-10-31T01:28:31Z,4010000,False,-110.0,19.0,1,left,MISS L. Doncic 11' turnaround fadeaway Shot,[1629029],1610612742.0,DAL,turnaround fadeaway,,,Doncic,L. Doncic,,,,,,Mid-Range,8-16 Left,11.19,Missed,,,,,,,,,,,,,,,,,
402,PT07M46.00S,2023-10-31T01:28:29.8Z,3,REGULAR,rebound,offensive,[],203939,,,1610612742,70,75,2023-10-31T01:28:31Z,4020000,False,,,0,,D. Powell REBOUND (Off:2 Def:1),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,Mid-Range,8-16 Left,,,401.0,3.0,1.0,2.0,,,,,,,,,,,,,
403,PT07M44.00S,2023-10-31T01:28:32.4Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],1630182,4.812746386333772,3.1862745098039214,1610612742,70,75,2023-10-31T01:28:36Z,4030000,False,234.0,-7.0,1,left,MISS J. Green 3PT,[1630182],1610612742.0,DAL,,,,Green,J. Green,,,,,,Right Corner 3,24+ Right,23.42,Missed,,,,,,,,,,,,,,,,,
404,PT07M39.00S,2023-10-31T01:28:37.4Z,3,REGULAR,rebound,defensive,[],1630217,,,1610612763,70,75,2023-10-31T01:28:36Z,4040000,False,,,0,,D. Bane REBOUND (Off:0 Def:3),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,Right Corner 3,24+ Right,,,403.0,3.0,3.0,0.0,,,,,,,,,,,,,
405,PT07M35.00S,2023-10-31T01:28:49.0Z,3,REGULAR,foul,offensive,[],203935,,,1610612763,70,75,2023-10-31T01:28:53Z,4050000,False,,,0,,M. Smart offensive FOUL (3 PF),"[203935, 1627884]",1610612763.0,MEM,,,,Smart,M. Smart,,,,,203591.0,Above the Break 3,24+ Left Center,,,,,,,3.0,0.0,Jones Jr.,1627884.0,,,,,,,,,
407,PT07M35.00S,2023-10-31T01:28:49.0Z,3,REGULAR,turnover,offensive foul,[],203935,,,1610612763,70,75,2023-10-31T01:28:49Z,4070000,False,,,0,,M. Smart offensive foul TURNOVER (6 TO),[203935],1610612763.0,MEM,,,,Smart,M. Smart,,,,,203591.0,Above the Break 3,24+ Left Center,,,,,,,,,,,,6.0,,,,,,,
408,PT07M35.00S,2023-10-31T01:28:54.9Z,3,REGULAR,substitution,out,[],1630182,,,1610612742,70,75,2023-10-31T01:29:00Z,4080000,False,,,0,,SUB out: J. Green,[1630182],1610612742.0,DAL,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
409,PT07M35.00S,2023-10-31T01:28:54.9Z,3,REGULAR,substitution,in,[],203501,,,1610612742,70,75,2023-10-31T01:29:00Z,4090000,False,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
410,PT07M26.00S,2023-10-31T01:29:12.7Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],1629684,32.013797634691194,39.46078431372549,1610612742,70,75,2023-10-31T01:29:16Z,4100000,False,53.0,248.0,1,left,MISS G. Williams 25' 3PT,[1629684],1610612742.0,DAL,,,,Williams,G. Williams,,,,,,Above the Break 3,24+ Center,25.39,Missed,,,,,,,,,,,,,,,,,
411,PT07M22.00S,2023-10-31T01:29:16.7Z,3,REGULAR,rebound,defensive,[],203935,,,1610612763,70,75,2023-10-31T01:29:16Z,4110000,False,,,0,,M. Smart REBOUND (Off:1 Def:3),[203935],1610612763.0,MEM,,,,Smart,M. Smart,,,,,,Above the Break 3,24+ Center,,,410.0,4.0,3.0,1.0,,,,,,,,,,,,,
412,PT07M15.00S,2023-10-31T01:29:22.8Z,3,REGULAR,3pt,Jump Shot,[],1628991,66.5735873850197,37.00980392156863,1610612763,73,75,2023-10-31T01:29:26Z,4120000,False,-65.0,262.0,1,right,J. Jackson Jr. 26' 3PT  (19 PTS) (M. Smart 7 AST),"[1628991, 203935]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,Above the Break 3,24+ Center,26.97,Made,,,,,,,,,19.0,,M. Smart,203935.0,7.0,,,,
414,PT07M14.00S,2023-10-31T01:29:27.3Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,73,75,2023-10-31T01:29:27Z,4140000,False,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,PT07M04.00S,2023-10-31T01:32:39.0Z,3,REGULAR,violation,kicked ball,[],1630214,,,1610612742,73,75,2023-10-31T01:32:43Z,4150000,False,,,0,,X. Tillman kicked ball VIOLATION,[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,200833.0,,,,,,,,,,,,,,,,,,,,,
416,PT06M55.00S,2023-10-31T01:32:55.1Z,3,REGULAR,turnover,bad pass,[],1629029,,,1610612742,73,75,2023-10-31T01:32:59Z,4160000,False,,,0,,L. Doncic bad pass TURNOVER (3 TO),"[1629029, 203935]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,3.0,,,,,,Smart,203935.0
417,PT06M55.00S,2023-10-31T01:32:55.1Z,3,REGULAR,steal,,[],203935,,,1610612763,73,75,2023-10-31T01:32:57Z,4170000,False,,,0,,M. Smart STEAL (3 STL),[203935],1610612763.0,MEM,,,,Smart,M. Smart,,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,
418,PT06M50.00S,2023-10-31T01:33:00.3Z,3,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630217,70.51576872536137,23.774509803921568,1610612763,73,75,2023-10-31T01:33:04Z,4180000,False,-131.0,225.0,1,right,MISS D. Bane 26' running 3PT,[1630217],1610612763.0,MEM,running,,,Bane,D. Bane,,,,,,Above the Break 3,24+ Left Center,26.01,Missed,,,,,,,,,,,,,,,,,
419,PT06M47.00S,2023-10-31T01:33:03.3Z,3,REGULAR,rebound,defensive,[],203939,,,1610612742,73,75,2023-10-31T01:33:04Z,4190000,False,,,0,,D. Powell REBOUND (Off:2 Def:2),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,Above the Break 3,24+ Left Center,,,418.0,4.0,2.0,2.0,,,,,,,,,,,,,
420,PT06M34.00S,2023-10-31T01:33:16.6Z,3,REGULAR,3pt,Jump Shot,[],1629684,29.25427069645204,73.77450980392157,1610612742,73,75,2023-10-31T01:33:20Z,4200000,False,-119.0,222.0,1,left,MISS G. Williams 25' 3PT,[1629684],1610612742.0,DAL,,,,Williams,G. Williams,,,,,,Above the Break 3,24+ Left Center,25.23,Missed,,,,,,,,,,,,,,,,,
421,PT06M31.00S,2023-10-31T01:33:19.6Z,3,REGULAR,rebound,defensive,[],203935,,,1610612763,73,75,2023-10-31T01:33:20Z,4210000,False,,,0,,M. Smart REBOUND (Off:1 Def:4),[203935],1610612763.0,MEM,,,,Smart,M. Smart,,,,,,Above the Break 3,24+ Left Center,,,420.0,5.0,4.0,1.0,,,,,,,,,,,,,
422,PT06M21.00S,2023-10-31T01:33:30.0Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,91.40932982917214,51.470588235294116,1610612763,73,75,2023-10-31T01:33:34Z,4220000,False,7.0,28.0,1,right,MISS J. Jackson Jr. cutting Layup - blocked,"[1628991, 203939]",1610612763.0,MEM,cutting,,,Jackson Jr.,J. Jackson Jr.,,,,,,Restricted Area,0-8 Center,2.93,Missed,,,,,,,,,,,,,,Powell,203939.0,,
