actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
72,PT06M13.00S,2022-03-13T01:21:55.5Z,1,REGULAR,2pt,Hook,['fromturnover'],202696,8.09789750328515,33.57843137254902,1610612741,11,12,2022-03-13T01:22:00Z,720000,82.0,24.0,1,left,MISS N. Vucevic 8' turnaround Hook,[202696],1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,,,8.54,Missed,,,,,,,,,,,,,,,,,
73,PT06M11.00S,2022-03-13T01:21:57.5Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,11,12,2022-03-13T01:22:00Z,730000,,,0,,E. Mobley REBOUND (Off:1 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,72.0,2.0,1.0,1.0,,,,,,,
74,PT06M06.00S,2022-03-13T01:22:03.3Z,1,REGULAR,turnover,lost ball,[],1630596,,,1610612739,11,12,2022-03-13T01:22:08Z,740000,,,0,,E. Mobley lost ball TURNOVER (1 TO),"[1630596, 1630245]",1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,1.0,,,,,,,,,,,,,,,,,Dosunmu,1630245.0,
75,PT06M06.00S,2022-03-13T01:22:03.3Z,1,REGULAR,steal,,[],1630245,,,1610612741,11,12,2022-03-13T01:22:05Z,750000,,,0,,A. Dosunmu STEAL (1 STL),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M03.00S,2022-03-13T01:22:08.9Z,1,REGULAR,turnover,out-of-bounds,[],1630245,,,1610612741,11,12,2022-03-13T01:22:25Z,760000,,,0,,A. Dosunmu bad pass out-of-bounds TURNOVER (1 TO),[1630245],1610612741.0,CHI,bad pass,,,Dosunmu,A. Dosunmu,,,,,2882.0,1.0,,,,,,,,,,,,,,,,,,,
77,PT06M03.00S,2022-03-13T01:22:14.3Z,1,REGULAR,substitution,out,[],1629731,,,1610612739,11,12,2022-03-13T01:22:19Z,770000,,,0,,SUB out: D. Wade,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M03.00S,2022-03-13T01:22:14.3Z,1,REGULAR,substitution,in,[],1626224,,,1610612739,11,12,2022-03-13T01:22:19Z,780000,,,0,,SUB in: C. Osman,[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M49.00S,2022-03-13T01:22:46.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630596,84.44480946123521,48.529411764705884,1610612739,11,14,2022-03-13T01:22:56Z,790000,-7.0,94.0,1,right,E. Mobley 9' turnaround bank Jump Shot (8 PTS),[1630596],1610612739.0,CLE,turnaround bank,,,Mobley,E. Mobley,,,,,,,9.4,Made,8.0,,,,,,,,,,,,,,,,
80,PT05M28.00S,2022-03-13T01:23:07.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629750,12.171484888304862,49.50980392156863,1610612741,11,14,2022-03-13T01:23:11Z,800000,2.0,62.0,1,left,MISS J. Green 6' driving floating Shot,[1629750],1610612741.0,CHI,driving floating,,,Green,J. Green,,,,,,,6.2,Missed,,,,,,,,,,,,,,,,,
81,PT05M26.00S,2022-03-13T01:23:09.7Z,1,REGULAR,rebound,defensive,[],1630205,,,1610612739,11,14,2022-03-13T01:23:11Z,810000,,,0,,L. Stevens REBOUND (Off:0 Def:1),[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,,,,,,,,,,,80.0,1.0,1.0,0.0,,,,,,,
82,PT05M17.00S,2022-03-13T01:23:18.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629636,92.9862023653088,36.27450980392157,1610612739,11,14,2022-03-13T01:23:22Z,820000,-69.0,13.0,1,right,MISS D. Garland 6' driving bank Shot,[1629636],1610612739.0,CLE,driving bank,,,Garland,D. Garland,,,,,,,6.99,Missed,,,,,,,,,,,,,,,,,
83,PT05M15.00S,2022-03-13T01:23:20.1Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,11,14,2022-03-13T01:23:22Z,830000,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,82.0,1.0,1.0,0.0,,,,,,,
84,PT05M11.00S,2022-03-13T01:23:24.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202696,32.013797634691194,46.07843137254902,1610612741,11,14,2022-03-13T01:23:29Z,840000,20.0,248.0,1,left,MISS N. Vucevic 24' 3PT,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,24.92,Missed,,,,,,,,,,,,,,,,,
85,PT05M06.00S,2022-03-13T01:23:29.2Z,1,REGULAR,rebound,defensive,[],1629636,,,1610612739,11,14,2022-03-13T01:23:29Z,850000,,,0,,D. Garland REBOUND (Off:0 Def:1),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,84.0,1.0,1.0,0.0,,,,,,,
86,PT04M56.00S,2022-03-13T01:23:39.9Z,1,REGULAR,turnover,bad pass,[],1629636,,,1610612739,11,14,2022-03-13T01:23:45Z,860000,,,0,,D. Garland bad pass TURNOVER (2 TO),"[1629636, 1629632]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,,2.0,,,,,,,,,,,,,,,,,White,1629632.0,
87,PT04M56.00S,2022-03-13T01:23:39.9Z,1,REGULAR,steal,,[],1629632,,,1610612741,11,14,2022-03-13T01:23:42Z,870000,,,0,,C. White STEAL (1 STL),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,,
