actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
357,PT08M57.00S,2022-11-05T22:27:52.9Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627734,9.806176084099869,49.50980392156863,1610612758,67,56,2022-11-05T22:27:59Z,3500000,2.0,40.0,1,left,D. Sabonis cutting finger roll Layup (19 PTS) (K. Huerter 2 AST),"[1627734, 1628989]",1610612758.0,SAC,cutting finger roll,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,3.98,Made,,,,,19.0,,,,K. Huerter,1628989.0,2.0,,,,,,,
359,PT08M38.00S,2022-11-05T22:28:11.6Z,3,REGULAR,2pt,Hook,['pointsinthepaint'],1631094,90.09526938239159,52.450980392156865,1610612753,69,56,2022-11-05T22:28:16Z,3520000,12.0,41.0,1,right,P. Banchero turnaround Hook (19 PTS),[1631094],1610612753.0,ORL,turnaround,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,4.24,Made,,,,,19.0,,,,,,,,,,,,,
360,PT08M19.00S,2022-11-05T22:28:30.1Z,3,REGULAR,3pt,Jump Shot,[],1628989,8.09789750328515,5.637254901960785,1610612758,69,59,2022-11-05T22:28:34Z,3530000,222.0,24.0,1,left,K. Huerter 3PT  (9 PTS) (D. Sabonis 4 AST),"[1628989, 1627734]",1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Right Corner 3,24+ Right,22.31,Made,,,,,9.0,,,,D. Sabonis,1627734.0,4.0,,,,,,,
362,PT07M59.00S,2022-11-05T22:28:49.6Z,3,REGULAR,3pt,Jump Shot,[],1628976,68.80749014454665,29.65686274509804,1610612753,69,59,2022-11-05T22:28:54Z,3550000,-102.0,241.0,1,right,MISS W. Carter Jr. 26' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Left Center,26.13,Missed,,,,,,,,,,,,,,,,,,
363,PT07M56.00S,2022-11-05T22:28:52.6Z,3,REGULAR,rebound,defensive,[],1627734,,,1610612758,69,59,2022-11-05T22:28:54Z,3560000,,,0,,D. Sabonis REBOUND (Off:1 Def:5),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Left Center,,,362.0,6.0,5.0,1.0,,,,,,,,,,,,,,
364,PT07M45.00S,2022-11-05T22:29:08.2Z,3,REGULAR,foul,personal,[],1629626,,,1610612758,69,59,2022-11-05T22:29:17Z,3570000,,,0,,B. Bol personal FOUL (3 PF),"[1629626, 203084]",1610612753.0,ORL,,,,Bol,B. Bol,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,2714.0,3.0,0.0,Barnes,203084.0,,
366,PT07M32.00S,2022-11-05T22:29:43.3Z,3,REGULAR,2pt,Jump Shot,[],1627734,8.360709592641262,29.65686274509804,1610612758,69,59,2022-11-05T22:29:52Z,3590000,102.0,26.0,1,left,MISS D. Sabonis 10' turnaround Shot - blocked,"[1627734, 1631094]",1610612758.0,SAC,turnaround,,,Sabonis,D. Sabonis,,,,,Mid-Range,8-16 Right,10.5,Missed,,,,,,,,,,,,,,,,,Banchero,1631094.0
378,PT07M32.00S,2022-11-05T22:29:43.3Z,3,REGULAR,block,,[],1631094,,,1610612758,69,59,2022-11-05T22:31:08Z,3595000,,,0,,P. Banchero BLOCK (1 BLK),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
367,PT07M29.00S,2022-11-05T22:29:46.3Z,3,REGULAR,rebound,offensive,[],203084,,,1610612758,69,59,2022-11-05T22:29:52Z,3600000,,,0,,H. Barnes REBOUND (Off:1 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Mid-Range,8-16 Right,,,366.0,2.0,1.0,1.0,,,,,,,,,,,,,,
369,PT07M27.00S,2022-11-05T22:29:46.7Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203084,8.09789750328515,47.05882352941176,1610612758,69,61,2022-11-05T22:29:56Z,3620000,15.0,24.0,1,left,H. Barnes putback Layup (4 PTS),[203084],1610612758.0,SAC,putback,,,Barnes,H. Barnes,,,,,Restricted Area,0-8 Center,2.78,Made,,,,,4.0,,,,,,,,,,,,,
370,PT07M12.00S,2022-11-05T22:30:02.5Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,92.06636005256242,55.392156862745104,1610612753,71,61,2022-11-05T22:30:09Z,3630000,27.0,22.0,1,right,F. Wagner driving Layup (17 PTS) (W. Carter Jr. 4 AST),"[1630532, 1628976]",1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,3.49,Made,,,,,17.0,,,,W. Carter Jr.,1628976.0,4.0,,,,,,,
372,PT07M05.00S,2022-11-05T22:30:13.8Z,3,REGULAR,foul,personal,['2freethrow'],1630591,,,1610612758,71,61,2022-11-05T22:30:28Z,3650000,,,0,,J. Suggs shooting personal FOUL (4 PF) (Fox 2 FT),"[1630591, 1628368]",1610612753.0,ORL,shooting,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,203177.0,4.0,0.0,Fox,1628368.0,,
374,PT07M05.00S,2022-11-05T22:30:33.7Z,3,REGULAR,freethrow,1 of 2,[],1628368,,,1610612758,71,62,2022-11-05T22:30:33Z,3670000,,,0,,D. Fox Free Throw 1 of 2 (12 PTS),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,Made,,,,,12.0,,,,,,,,,,,,,
375,PT07M05.00S,2022-11-05T22:30:36.8Z,3,REGULAR,substitution,out,[],1630591,,,1610612758,71,62,2022-11-05T22:30:42Z,3680000,,,0,,SUB out: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,,,
376,PT07M05.00S,2022-11-05T22:30:36.8Z,3,REGULAR,substitution,in,[],1630181,,,1610612758,71,62,2022-11-05T22:30:42Z,3690000,,,0,,SUB in: R. Hampton,[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,,,,,,,,,,,,,,,,,,,,,
377,PT07M05.00S,2022-11-05T22:30:55.6Z,3,REGULAR,freethrow,2 of 2,[],1628368,,,1610612758,71,63,2022-11-05T22:30:55Z,3700000,,,0,,D. Fox Free Throw 2 of 2 (13 PTS),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,Made,,,,,13.0,,,,,,,,,,,,,
379,PT06M53.00S,2022-11-05T22:31:08.9Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,91.14651773981603,44.6078431372549,1610612753,71,63,2022-11-05T22:31:16Z,3710000,-27.0,31.0,1,right,MISS P. Banchero driving Layup,[1631094],1610612753.0,ORL,driving,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,4.09,Missed,,,,,,,,,,,,,,,,,,
380,PT06M50.00S,2022-11-05T22:31:11.9Z,3,REGULAR,rebound,defensive,[],1628368,,,1610612758,71,63,2022-11-05T22:31:16Z,3720000,,,0,,D. Fox REBOUND (Off:0 Def:3),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,,,379.0,3.0,3.0,0.0,,,,,,,,,,,,,,
381,PT06M45.00S,2022-11-05T22:31:17.2Z,3,REGULAR,turnover,lost ball,[],1628368,,,1610612758,71,63,2022-11-05T22:31:23Z,3730000,,,0,,D. Fox lost ball TURNOVER (1 TO),"[1628368, 1630532]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1.0,Wagner,1630532.0,,,,,,,,,,
382,PT06M45.00S,2022-11-05T22:31:17.2Z,3,REGULAR,steal,,[],1630532,,,1610612753,71,63,2022-11-05T22:31:20Z,3740000,,,0,,F. Wagner STEAL (1 STL),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
383,PT06M33.00S,2022-11-05T22:31:28.6Z,3,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630181,87.07293035479631,42.40196078431372,1610612753,71,63,2022-11-05T22:31:38Z,3750000,-38.0,69.0,1,right,MISS R. Hampton 7' turnaround Shot,[1630181],1610612753.0,ORL,turnaround,,,Hampton,R. Hampton,,,,,In The Paint (Non-RA),0-8 Center,7.88,Missed,,,,,,,,,,,,,,,,,,
384,PT06M31.00S,2022-11-05T22:31:30.6Z,3,REGULAR,rebound,offensive,[],1630181,,,1610612753,71,63,2022-11-05T22:31:38Z,3760000,,,0,,R. Hampton REBOUND (Off:1 Def:1),[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,In The Paint (Non-RA),0-8 Center,,,383.0,2.0,1.0,1.0,,,,,,,,,,,,,,
385,PT06M28.00S,2022-11-05T22:31:33.8Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630181,91.80354796320631,55.392156862745104,1610612753,73,63,2022-11-05T22:41:21Z,3770000,27.0,25.0,1,right,R. Hampton putback Layup (2 PTS),[1630181],1610612753.0,ORL,putback,,,Hampton,R. Hampton,,,,,Restricted Area,0-8 Center,3.65,Made,,,,,2.0,,,,,,,,,,,,,
386,PT06M15.00S,2022-11-05T22:31:46.6Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631099,16.507884362680684,65.19607843137256,1610612758,73,63,2022-11-05T22:31:54Z,3780000,-76.0,103.0,1,left,MISS K. Murray 12' driving floating Shot,[1631099],1610612758.0,SAC,driving floating,,,Murray,K. Murray,,,,,In The Paint (Non-RA),8-16 Left,12.78,Missed,,,,,,,,,,,,,,,,,,
387,PT06M12.00S,2022-11-05T22:31:49.6Z,3,REGULAR,rebound,defensive,[],1628976,,,1610612753,73,63,2022-11-05T22:31:54Z,3790000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:7),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),8-16 Left,,,386.0,7.0,7.0,0.0,,,,,,,,,,,,,,
388,PT06M03.00S,2022-11-05T22:31:59.0Z,3,REGULAR,turnover,bad pass,[],1628976,,,1610612753,73,63,2022-11-05T22:32:08Z,3800000,,,0,,W. Carter Jr. bad pass TURNOVER (2 TO),"[1628976, 1628368]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,16-24 Right Center,,,,,,,,2.0,Fox,1628368.0,,,,,,,,,,
389,PT06M03.00S,2022-11-05T22:31:59.0Z,3,REGULAR,steal,,[],1628368,,,1610612758,73,63,2022-11-05T22:32:01Z,3810000,,,0,,D. Fox STEAL (1 STL),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
390,PT05M58.00S,2022-11-05T22:32:03.4Z,3,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628368,17.296320630749015,50.49019607843137,1610612758,73,65,2022-11-05T22:32:15Z,3820000,-2.0,110.0,1,left,D. Fox 11' driving floating Jump Shot (15 PTS),[1628368],1610612758.0,SAC,driving floating,,,Fox,D. Fox,,,,,In The Paint (Non-RA),8-16 Center,11.01,Made,,,,,15.0,,,,,,,,,,,,,
391,PT05M41.00S,2022-11-05T22:32:23.8Z,3,REGULAR,foul,offensive,[],1628976,,,1610612753,73,65,2022-11-05T22:32:34Z,3830000,,,0,,W. Carter Jr. charge offensive FOUL (2 PF),"[1628976, 203084]",1610612753.0,ORL,charge,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,203177.0,2.0,0.0,Barnes,203084.0,,
393,PT05M41.00S,2022-11-05T22:32:23.8Z,3,REGULAR,turnover,offensive foul,[],1628976,,,1610612753,73,65,2022-11-05T22:32:23Z,3850000,,,0,,W. Carter Jr. offensive foul TURNOVER (3 TO),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,3.0,,,,,,203177.0,,,,,,
394,PT05M41.00S,2022-11-05T22:32:32.3Z,3,REGULAR,foul,technical,['1freethrow'],1628976,,,1610612758,73,65,2022-11-05T22:32:55Z,3860000,,,0,,W. Carter Jr. technical FOUL (1 Tech),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,203177.0,2.0,1.0,,,,
395,PT05M41.00S,2022-11-05T22:32:56.7Z,3,REGULAR,freethrow,1 of 1,[],1628368,,,1610612758,73,66,2022-11-05T22:32:56Z,3870000,,,0,,D. Fox technical Free Throw 1 of 1 (16 PTS),[1628368],1610612758.0,SAC,technical,,,Fox,D. Fox,,,,,,,,Made,,,,,16.0,,,,,,,,,,,,,
396,PT05M25.00S,2022-11-05T22:33:22.7Z,3,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1627734,9.280551905387648,44.6078431372549,1610612758,73,68,2022-11-05T22:33:28Z,3880000,27.0,35.0,1,left,D. Sabonis Hook (21 PTS),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,4.4,Made,,,,,21.0,,,,,,,,,,,,,
397,PT05M25.00S,2022-11-05T22:33:33.6Z,3,REGULAR,timeout,full,['team'],0,,,1610612753,73,68,2022-11-05T22:33:33Z,3890000,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,PT05M25.00S,2022-11-05T22:35:51.4Z,3,REGULAR,substitution,out,[],1629626,,,1610612753,73,68,2022-11-05T22:36:11Z,3900000,,,0,,SUB out: B. Bol,[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,,,,,,,,,,,,,,,,,,,,,,
399,PT05M25.00S,2022-11-05T22:35:51.4Z,3,REGULAR,substitution,out,[],1630532,,,1610612753,73,68,2022-11-05T22:36:11Z,3910000,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
400,PT05M25.00S,2022-11-05T22:35:51.4Z,3,REGULAR,substitution,out,[],1631099,,,1610612753,73,68,2022-11-05T22:36:11Z,3920000,,,0,,SUB out: K. Murray,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
401,PT05M25.00S,2022-11-05T22:35:51.4Z,3,REGULAR,substitution,in,[],1630284,,,1610612753,73,68,2022-11-05T22:36:11Z,3930000,,,0,,SUB in: K. Harris,[1630284],1610612753.0,ORL,,,,Harris,K. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
402,PT05M25.00S,2022-11-05T22:35:51.4Z,3,REGULAR,substitution,in,[],203082,,,1610612753,73,68,2022-11-05T22:36:11Z,3940000,,,0,,SUB in: T. Ross,[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,,,,,,,,,,,,,,,,,,,
403,PT05M25.00S,2022-11-05T22:35:51.4Z,3,REGULAR,substitution,in,[],1626168,,,1610612753,73,68,2022-11-05T22:36:11Z,3950000,,,0,,SUB in: T. Lyles,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,,,,,,,,,,,
405,PT05M11.00S,2022-11-05T22:36:50.3Z,3,REGULAR,turnover,out-of-bounds,[],203082,,,1610612753,73,68,2022-11-05T22:36:59Z,3970000,,,0,,T. Ross step out-of-bounds TURNOVER (2 TO),[203082],1610612753.0,ORL,step,,,Ross,T. Ross,,,,,Right Corner 3,24+ Right,,,,,,,,2.0,,,,,,203177.0,,,,,,
406,PT05M01.00S,2022-11-05T22:37:06.7Z,3,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628368,15.456636005256241,62.745098039215684,1610612758,73,70,2022-11-05T22:37:11Z,3980000,-64.0,93.0,1,left,D. Fox 11' pullup Jump Shot (18 PTS),[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,In The Paint (Non-RA),8-16 Left,11.26,Made,,,,,18.0,,,,,,,,,,,,,
407,PT04M42.00S,2022-11-05T22:37:25.5Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631094,87.33574244415243,45.34313725490196,1610612753,75,70,2022-11-05T22:37:33Z,3990000,-23.0,67.0,1,right,P. Banchero 7' pullup Jump Shot (21 PTS) (R. Hampton 1 AST),"[1631094, 1630181]",1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,7.05,Made,,,,,21.0,,,,R. Hampton,1630181.0,1.0,,,,,,,
409,PT04M32.00S,2022-11-05T22:37:36.5Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,7.046649145860711,55.88235294117647,1610612758,75,72,2022-11-05T22:37:43Z,4010000,-29.0,14.0,1,left,D. Fox driving Layup (20 PTS),[1628368],1610612758.0,SAC,driving,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,3.24,Made,,,,,20.0,,,,,,,,,,,,,
410,PT04M15.00S,2022-11-05T22:37:52.7Z,3,REGULAR,3pt,Jump Shot,[],1630284,67.36202365308804,67.15686274509804,1610612753,75,72,2022-11-05T22:37:56Z,4020000,86.0,254.0,1,right,MISS K. Harris 26' 3PT,[1630284],1610612753.0,ORL,,,,Harris,K. Harris,,,,,Above the Break 3,24+ Right Center,26.84,Missed,,,,,,,,,,,,,,,,,,
411,PT04M13.00S,2022-11-05T22:37:54.7Z,3,REGULAR,rebound,defensive,[],1627734,,,1610612758,75,72,2022-11-05T22:37:56Z,4030000,,,0,,D. Sabonis REBOUND (Off:1 Def:6),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Right Center,,,410.0,7.0,6.0,1.0,,,,,,,,,,,,,,
412,PT04M04.00S,2022-11-05T22:38:03.7Z,3,REGULAR,3pt,Jump Shot,[],1626168,31.61957950065703,33.088235294117645,1610612758,75,72,2022-11-05T22:38:08Z,4040000,85.0,245.0,1,left,MISS T. Lyles 25' 3PT,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,Above the Break 3,24+ Right Center,25.89,Missed,,,,,,,,,,,,,,,,,,
413,PT04M00.00S,2022-11-05T22:38:07.7Z,3,REGULAR,rebound,defensive,[],1628976,,,1610612753,75,72,2022-11-05T22:38:08Z,4050000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:8),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Right Center,,,412.0,8.0,8.0,0.0,,,,,,,,,,,,,,
414,PT03M44.00S,2022-11-05T22:38:23.9Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631094,79.71419185282524,64.70588235294117,1610612753,75,72,2022-11-05T22:38:28Z,4060000,74.0,138.0,1,right,MISS P. Banchero 15' turnaround fadeaway Shot,[1631094],1610612753.0,ORL,turnaround fadeaway,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Center,15.65,Missed,,,,,,,,,,,,,,,,,,
415,PT03M42.00S,2022-11-05T22:38:25.9Z,3,REGULAR,rebound,defensive,[],1627734,,,1610612758,75,72,2022-11-05T22:38:28Z,4070000,,,0,,D. Sabonis REBOUND (Off:1 Def:7),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),8-16 Center,,,414.0,8.0,7.0,1.0,,,,,,,,,,,,,,
416,PT03M37.00S,2022-11-05T22:38:30.9Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626168,8.09789750328515,47.794117647058826,1610612758,75,72,2022-11-05T22:38:38Z,4080000,11.0,24.0,1,left,MISS T. Lyles running Layup,[1626168],1610612758.0,SAC,running,,,Lyles,T. Lyles,,,,,Restricted Area,0-8 Center,2.6,Missed,,,,,,,,,,,,,,,,,,
417,PT03M34.00S,2022-11-05T22:38:33.9Z,3,REGULAR,rebound,defensive,[],1631094,,,1610612753,75,72,2022-11-05T22:38:38Z,4090000,,,0,,P. Banchero REBOUND (Off:0 Def:9),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,416.0,9.0,9.0,0.0,,,,,,,,,,,,,,
418,PT03M25.00S,2022-11-05T22:38:42.9Z,3,REGULAR,2pt,Hook,['pointsinthepaint'],203082,91.67214191852825,58.333333333333336,1610612753,75,72,2022-11-05T22:38:49Z,4100000,42.0,26.0,1,right,MISS T. Ross driving Hook,[203082],1610612753.0,ORL,driving,,,Ross,T. Ross,,,,,In The Paint (Non-RA),0-8 Center,4.9,Missed,,,,,,,,,,,,,,,,,,
419,PT03M22.00S,2022-11-05T22:38:45.9Z,3,REGULAR,rebound,defensive,[],1628368,,,1610612758,75,72,2022-11-05T22:38:49Z,4110000,,,0,,D. Fox REBOUND (Off:0 Def:4),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,In The Paint (Non-RA),0-8 Center,,,418.0,4.0,4.0,0.0,,,,,,,,,,,,,,
420,PT03M18.00S,2022-11-05T22:38:49.5Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1628989,33.196452036793694,55.88235294117647,1610612758,75,72,2022-11-05T22:39:01Z,4120000,-29.0,260.0,1,left,MISS K. Huerter 26' running 3PT,[1628989],1610612758.0,SAC,running,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Center,26.12,Missed,,,,,,,,,,,,,,,,,,
421,PT03M15.00S,2022-11-05T22:38:55.4Z,3,REGULAR,rebound,offensive,[],1627734,,,1610612758,75,72,2022-11-05T22:38:55Z,4130000,,,0,,D. Sabonis REBOUND (Off:2 Def:7),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Center,,,420.0,9.0,7.0,2.0,,,,,,,,,,,,,,
422,PT03M15.00S,2022-11-05T22:38:56.3Z,3,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1631094,,,1610612758,75,72,2022-11-05T22:39:16Z,4140000,,,0,,P. Banchero shooting personal FOUL (2 PF) (Sabonis 2 FT),"[1631094, 1627734]",1610612753.0,ORL,shooting,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,1201.0,2.0,0.0,Sabonis,1627734.0,,
424,PT03M15.00S,2022-11-05T22:39:23.1Z,3,REGULAR,freethrow,1 of 2,['2ndchance'],1627734,,,1610612758,75,72,2022-11-05T22:39:54Z,4160000,,,0,,MISS D. Sabonis Free Throw 1 of 2,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
425,PT03M15.00S,2022-11-05T22:39:23.1Z,3,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612758,75,72,2022-11-05T22:39:54Z,4170000,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,424.0,,,,,,,,,,,,,,,,,
426,PT03M15.00S,2022-11-05T22:39:24.2Z,3,REGULAR,substitution,out,[],1628976,,,1610612758,75,72,2022-11-05T22:39:35Z,4180000,,,0,,SUB out: W. Carter Jr.,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
427,PT03M15.00S,2022-11-05T22:39:24.2Z,3,REGULAR,substitution,out,[],1628989,,,1610612758,75,72,2022-11-05T22:39:35Z,4190000,,,0,,SUB out: K. Huerter,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,,
428,PT03M15.00S,2022-11-05T22:39:24.2Z,3,REGULAR,substitution,in,[],1629643,,,1610612758,75,72,2022-11-05T22:39:35Z,4200000,,,0,,SUB in: C. Okeke,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,,,
429,PT03M15.00S,2022-11-05T22:39:24.2Z,3,REGULAR,substitution,in,[],1628370,,,1610612758,75,72,2022-11-05T22:39:35Z,4210000,,,0,,SUB in: M. Monk,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,,,
430,PT03M15.00S,2022-11-05T22:39:23.1Z,3,REGULAR,freethrow,2 of 2,['2ndchance'],1627734,,,1610612758,75,72,2022-11-05T22:39:54Z,4220000,,,0,,MISS D. Sabonis Free Throw 2 of 2,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
431,PT03M12.00S,2022-11-05T22:39:26.1Z,3,REGULAR,rebound,defensive,[],1631094,,,1610612753,75,72,2022-11-05T22:39:54Z,4230000,,,0,,P. Banchero REBOUND (Off:0 Def:10),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,430.0,10.0,10.0,0.0,,,,,,,,,,,,,,
432,PT02M59.00S,2022-11-05T22:40:05.7Z,3,REGULAR,3pt,Jump Shot,[],1631094,66.44218134034165,52.94117647058824,1610612753,75,72,2022-11-05T22:40:11Z,4240000,15.0,263.0,1,right,MISS P. Banchero 26' 3PT,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Center,26.33,Missed,,,,,,,,,,,,,,,,,,
433,PT02M56.00S,2022-11-05T22:40:08.7Z,3,REGULAR,rebound,defensive,[],1628370,,,1610612758,75,72,2022-11-05T22:40:11Z,4250000,,,0,,M. Monk REBOUND (Off:0 Def:1),[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,Above the Break 3,24+ Center,,,432.0,1.0,1.0,0.0,,,,,,,,,,,,,,
434,PT02M50.00S,2022-11-05T22:40:15.0Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,7.966491458607096,47.05882352941176,1610612758,75,74,2022-11-05T22:40:24Z,4260000,15.0,22.0,1,left,D. Fox driving finger roll Layup (22 PTS) (M. Monk 3 AST),"[1628368, 1628370]",1610612758.0,SAC,driving finger roll,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,2.68,Made,,,,,22.0,,,,M. Monk,1628370.0,3.0,,,,,,,
436,PT02M33.00S,2022-11-05T22:40:33.3Z,3,REGULAR,foul,personal,['2freethrow'],1627734,,,1610612753,75,74,2022-11-05T22:40:43Z,4280000,,,0,,D. Sabonis shooting personal FOUL (4 PF) (Banchero 2 FT),"[1627734, 1631094]",1610612758.0,SAC,shooting,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,203177.0,4.0,0.0,Banchero,1631094.0,,
438,PT02M33.00S,2022-11-05T22:41:01.8Z,3,REGULAR,timeout,full,['team'],0,,,1610612753,75,74,2022-11-05T22:43:17Z,4300000,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
