actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
263,PT03M35.00S,2022-11-28T00:00:02.7Z,2,REGULAR,3pt,Jump Shot,[],1631094,18.477330853215342,94.11764705882352,1610612753,42,58,2022-11-28T00:00:08Z,2600000,False,-221.0,121.0,1,left,P. Banchero 25' 3PT  (9 PTS) (M. Wagner 3 AST),"[1631094, 1629021]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Left Center,,25.17,Made,,,,,,,9.0,M. Wagner,1629021.0,3.0,,,,,,,
265,PT03M11.00S,2022-11-28T00:00:25.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,92.59034005163846,34.55882352941176,1610612755,42,58,2022-11-28T00:00:31Z,2620000,False,-77.0,17.0,1,right,MISS T. Harris 7' Jump Shot,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,,7.91,Missed,,,,,,,,,,,,,,,,,
266,PT03M08.00S,2022-11-28T00:00:29.5Z,2,REGULAR,rebound,offensive,[],1630194,,,1610612755,42,58,2022-11-28T00:00:29Z,2630000,False,,,0,,P. Reed REBOUND (Off:1 Def:5),[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,In The Paint (Non-RA),0-8 Center,,,,,,265.0,6.0,5.0,1.0,,,,,,,,,,,
267,PT03M07.00S,2022-11-28T00:00:31.1Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",202699,92.32752796228236,47.30392156862745,1610612755,42,60,2022-11-28T00:00:37Z,2640000,False,-13.0,20.0,1,right,T. Harris DUNK (16 PTS) (P. Reed 1 AST),"[202699, 1630194]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,,2.38,Made,,,,,,,16.0,P. Reed,1630194.0,1.0,,,,,,,
270,PT02M38.00S,2022-11-28T00:01:18.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,5.599538474765933,58.333333333333336,1610612753,42,60,2022-11-28T00:01:24Z,2670000,False,-42.0,0.0,1,left,MISS P. Banchero driving Layup,[1631094],1610612753.0,ORL,driving,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,4.17,Missed,,,,,,,,,,,,,,,,,
271,PT02M36.00S,2022-11-28T00:01:20.9Z,2,REGULAR,rebound,defensive,[],1629003,,,1610612755,42,60,2022-11-28T00:01:24Z,2680000,False,,,0,,S. Milton REBOUND (Off:0 Def:2),[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,Restricted Area,0-8 Center,,,,,,270.0,2.0,2.0,0.0,,,,,,,,,,,
272,PT02M33.00S,2022-11-28T00:01:23.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202699,92.06471587292626,50.245098039215684,1610612755,42,62,2022-11-28T00:01:29Z,2690000,False,1.0,22.0,1,right,T. Harris running Layup (18 PTS) (S. Milton 5 AST),"[202699, 1629003]",1610612755.0,PHI,running,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,,2.21,Made,,,,,,,18.0,S. Milton,1629003.0,5.0,,,,,,,
274,PT02M17.00S,2022-11-28T00:01:38.9Z,2,REGULAR,3pt,Jump Shot,[],1629021,24.78482099776199,83.57843137254902,1610612753,42,62,2022-11-28T00:01:44Z,2710000,False,-168.0,180.0,1,left,MISS M. Wagner 24' 3PT,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,Above the Break 3,24+ Left Center,,24.65,Missed,,,,,,,,,,,,,,,,,
275,PT02M14.00S,2022-11-28T00:01:41.9Z,2,REGULAR,rebound,defensive,[],1630194,,,1610612755,42,62,2022-11-28T00:01:44Z,2720000,False,,,0,,P. Reed REBOUND (Off:1 Def:6),[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,Above the Break 3,24+ Left Center,,,,,,274.0,7.0,6.0,1.0,,,,,,,,,,,
276,PT02M11.00S,2022-11-28T00:01:44.9Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1629003,74.19349379671074,12.990196078431374,1610612755,42,65,2022-11-28T00:01:53Z,2730000,False,-185.0,190.0,1,right,S. Milton 26' 3PT running (12 PTS) (T. Harris 2 AST),"[1629003, 202699]",1610612755.0,PHI,running,,,Milton,S. Milton,,,,,Above the Break 3,24+ Left Center,,26.53,Made,,,,,,,12.0,T. Harris,202699.0,2.0,,,,,,,
278,PT01M49.00S,2022-11-28T00:02:09.6Z,2,REGULAR,foul,personal,['2freethrow'],1630194,,,1610612753,42,65,2022-11-28T00:02:40Z,2750000,False,,,0,,P. Reed shooting personal FOUL (2 PF) (Wagner 2 FT),"[1630194, 1629021]",1610612755.0,PHI,shooting,,,Reed,P. Reed,,,,,In The Paint (Non-RA),0-8 Center,1155.0,,,,,,,,,,,,,2.0,0.0,Wagner,1629021.0,,,
280,PT01M49.00S,2022-11-28T00:02:41.4Z,2,REGULAR,freethrow,1 of 2,[],1629021,,,1610612753,43,65,2022-11-28T00:02:41Z,2770000,False,,,0,,M. Wagner Free Throw 1 of 2 (5 PTS),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,Made,,,,,,,5.0,,,,,,,,,,
281,PT01M49.00S,2022-11-28T00:02:42.2Z,2,REGULAR,substitution,out,[],1630194,,,1610612753,43,65,2022-11-28T00:02:46Z,2780000,False,,,0,,SUB out: P. Reed,[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,,,,,,,,,,,,,,,,,,,,,,
282,PT01M49.00S,2022-11-28T00:02:42.2Z,2,REGULAR,substitution,in,[],1626149,,,1610612753,43,65,2022-11-28T00:02:46Z,2790000,False,,,0,,SUB in: M. Harrell,[1626149],1610612755.0,PHI,,,,Harrell,M. Harrell,,,,,,,,,,,,,,,,,,,,,,,,,,
283,PT01M49.00S,2022-11-28T00:03:05.4Z,2,REGULAR,freethrow,2 of 2,[],1629021,,,1610612753,44,65,2022-11-28T00:03:05Z,2800000,False,,,0,,M. Wagner Free Throw 2 of 2 (6 PTS),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,Made,,,,,,,6.0,,,,,,,,,,
284,PT01M30.00S,2022-11-28T00:03:26.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629003,92.45893400696042,48.529411764705884,1610612755,44,67,2022-11-28T00:03:33Z,2810000,False,-7.0,18.0,1,right,S. Milton alley-oop Layup (14 PTS) (D. Melton 2 AST),"[1629003, 1629001]",1610612755.0,PHI,alley-oop,,,Milton,S. Milton,,,,,Restricted Area,0-8 Center,,1.98,Made,,,,,,,14.0,D. Melton,1629001.0,2.0,,,,,,,
286,PT01M10.00S,2022-11-28T00:03:45.5Z,2,REGULAR,3pt,Jump Shot,[],1631094,28.59559629342559,75.73529411764706,1610612753,44,67,2022-11-28T00:03:51Z,2830000,False,-129.0,216.0,1,left,MISS P. Banchero 25' 3PT,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Left Center,,25.17,Missed,,,,,,,,,,,,,,,,,
287,PT01M06.00S,2022-11-28T00:03:49.5Z,2,REGULAR,rebound,defensive,[],1626149,,,1610612755,44,67,2022-11-28T00:03:51Z,2840000,False,,,0,,M. Harrell REBOUND (Off:0 Def:2),[1626149],1610612755.0,PHI,,,,Harrell,M. Harrell,,,,,Above the Break 3,24+ Left Center,,,,,,286.0,2.0,2.0,0.0,,,,,,,,,,,
288,PT00M57.90S,2022-11-28T00:03:58.9Z,2,REGULAR,3pt,Jump Shot,[],1629001,93.24737027502874,4.6568627450980395,1610612755,44,67,2022-11-28T00:04:04Z,2850000,False,-227.0,11.0,1,right,MISS D. Melton 3PT,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,Left Corner 3,24+ Left,,22.7,Missed,,,,,,,,,,,,,,,,,
289,PT00M54.70S,2022-11-28T00:04:02.1Z,2,REGULAR,rebound,defensive,[],1629021,,,1610612753,44,67,2022-11-28T00:04:04Z,2860000,False,,,0,,M. Wagner REBOUND (Off:1 Def:2),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,Left Corner 3,24+ Left,,,,,,288.0,3.0,2.0,1.0,,,,,,,,,,,
290,PT00M48.30S,2022-11-28T00:04:11.8Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",200782,,,1610612753,44,67,2022-11-28T00:04:23Z,2870000,False,,,0,,P. Tucker personal FOUL (2 PF) (Wagner 2 FT),"[200782, 1629021]",1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,In The Paint (Non-RA),8-16 Right,202041.0,,,,,,,,,,,,,2.0,0.0,Wagner,1629021.0,,,
292,PT00M48.30S,2022-11-28T00:04:39.7Z,2,REGULAR,freethrow,1 of 2,[],1629021,,,1610612753,45,67,2022-11-28T00:05:02Z,2890000,False,,,0,,M. Wagner Free Throw 1 of 2 (7 PTS),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,Made,,,,,,,7.0,,,,,,,,,,
293,PT00M48.30S,2022-11-28T00:04:39.7Z,2,REGULAR,freethrow,2 of 2,[],1629021,,,1610612753,45,67,2022-11-28T00:05:02Z,2900000,False,,,0,,MISS M. Wagner Free Throw 2 of 2,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
294,PT00M45.60S,2022-11-28T00:04:42.4Z,2,REGULAR,rebound,defensive,[],202699,,,1610612755,45,67,2022-11-28T00:05:02Z,2910000,False,,,0,,T. Harris REBOUND (Off:0 Def:3),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,293.0,3.0,3.0,0.0,,,,,,,,,,,
295,PT00M23.60S,2022-11-28T00:05:23.4Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1629001,84.18035319224295,59.068627450980394,1610612755,45,67,2022-11-28T00:05:32Z,2920000,False,45.0,96.0,1,right,MISS D. Melton 10' turnaround Hook,[1629001],1610612755.0,PHI,turnaround,,,Melton,D. Melton,,,,,In The Paint (Non-RA),8-16 Center,,10.63,Missed,,,,,,,,,,,,,,,,,
296,PT00M18.70S,2022-11-28T00:05:28.3Z,2,REGULAR,rebound,defensive,[],1630532,,,1610612753,45,67,2022-11-28T00:05:28Z,2930000,False,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),8-16 Center,,,,,,295.0,1.0,1.0,0.0,,,,,,,,,,,
297,PT00M02.40S,2022-11-28T00:05:44.6Z,2,REGULAR,3pt,Jump Shot,[],1630532,29.778250695528087,70.58823529411765,1610612753,45,67,2022-11-28T00:05:50Z,2940000,False,-103.0,227.0,1,left,MISS F. Wagner 24' 3PT,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Left Center,,24.96,Missed,,,,,,,,,,,,,,,,,
298,PT00M02.40S,2022-11-28T00:05:44.6Z,2,REGULAR,rebound,defensive,[],200782,,,1610612755,45,67,2022-11-28T00:19:08Z,2950000,False,,,0,,P. Tucker REBOUND (Off:0 Def:2),[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Above the Break 3,24+ Left Center,,,,,,297.0,2.0,2.0,0.0,,,,,,,,,,,
299,PT00M00.00S,2022-11-28T00:05:51.8Z,2,REGULAR,period,end,[],0,,,1610612755,45,67,2022-11-28T00:05:51Z,2960000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,PT12M00.00S,2022-11-28T00:20:25.2Z,3,REGULAR,substitution,out,['startperiod'],200782,,,1610612755,45,67,2022-11-28T00:21:03Z,2970000,False,,,0,,SUB out: P. Tucker,[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,
301,PT12M00.00S,2022-11-28T00:20:25.2Z,3,REGULAR,substitution,in,['startperiod'],1627863,,,1610612755,45,67,2022-11-28T00:21:03Z,2980000,False,,,0,,SUB in: D. House Jr.,[1627863],1610612755.0,PHI,,,,House Jr.,D. House Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
302,PT12M00.00S,2022-11-28T00:21:07.4Z,3,REGULAR,period,start,[],0,,,1610612755,45,67,2022-11-28T00:21:07Z,2990000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,PT11M49.00S,2022-11-28T00:21:19.2Z,3,REGULAR,foul,personal,[],203914,,,1610612755,45,67,2022-11-28T00:21:24Z,3000000,False,,,0,,G. Harris personal FOUL (1 PF),"[203914, 1629003]",1610612753.0,ORL,,,,Harris,G. Harris,,,,,Above the Break 3,24+ Left Center,1155.0,,,,,,,,,,,,,1.0,0.0,Milton,1629003.0,,,
305,PT11M35.00S,2022-11-28T00:21:46.5Z,3,REGULAR,3pt,Jump Shot,[],1629003,25.83606935518643,12.254901960784313,1610612755,45,70,2022-11-28T00:21:51Z,3020000,False,189.0,190.0,1,left,S. Milton 26' 3PT  (17 PTS) (D. House Jr. 1 AST),"[1629003, 1627863]",1610612755.0,PHI,,,,Milton,S. Milton,,,,,Above the Break 3,24+ Right Center,,26.81,Made,,,,,,,17.0,D. House Jr.,1627863.0,1.0,,,,,,,
307,PT11M20.00S,2022-11-28T00:22:00.5Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,88.25394057726264,48.28431372549019,1610612753,45,70,2022-11-28T00:22:06Z,3040000,False,-9.0,58.0,1,right,MISS F. Wagner driving Layup - blocked,"[1630532, 1626149]",1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,,5.85,Missed,Harrell,1626149.0,,,,,,,,,,,,,,,
308,PT11M20.00S,2022-11-28T00:22:00.5Z,3,REGULAR,block,,[],1626149,,,1610612753,45,70,2022-11-28T00:22:41Z,3050000,False,,,0,,M. Harrell BLOCK (1 BLK),[1626149],1610612755.0,PHI,,,,Harrell,M. Harrell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
309,PT11M16.00S,2022-11-28T00:22:04.5Z,3,REGULAR,rebound,defensive,[],1629003,,,1610612755,45,70,2022-11-28T00:22:06Z,3060000,False,,,0,,S. Milton REBOUND (Off:0 Def:3),[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,307.0,3.0,3.0,0.0,,,,,,,,,,,
310,PT11M13.00S,2022-11-28T00:22:07.4Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1627863,6.387974742834264,4.166666666666666,1610612755,45,70,2022-11-28T00:22:15Z,3070000,False,229.0,8.0,1,left,MISS D. House Jr. running 3PT,[1627863],1610612755.0,PHI,running,,,House Jr.,D. House Jr.,,,,,Right Corner 3,24+ Right,,22.93,Missed,,,,,,,,,,,,,,,,,
311,PT11M10.00S,2022-11-28T00:22:10.4Z,3,REGULAR,rebound,defensive,[],203914,,,1610612753,45,70,2022-11-28T00:22:15Z,3080000,False,,,0,,G. Harris REBOUND (Off:0 Def:3),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,Right Corner 3,24+ Right,,,,,,310.0,3.0,3.0,0.0,,,,,,,,,,,
313,PT10M59.00S,2022-11-28T00:22:44.5Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,91.93330982824818,53.92156862745098,1610612753,47,70,2022-11-28T00:22:51Z,3100000,False,20.0,23.0,1,right,F. Wagner reverse Layup (9 PTS),[1630532],1610612753.0,ORL,reverse,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,,3.04,Made,,,,,,,9.0,,,,,,,,,,
314,PT10M44.00S,2022-11-28T00:22:59.7Z,3,REGULAR,turnover,bad pass,[],1629001,,,1610612755,47,70,2022-11-28T00:23:03Z,3110000,False,,,0,,D. Melton bad pass TURNOVER (2 TO),"[1629001, 1629626]",1610612755.0,PHI,,,,Melton,D. Melton,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,2.0,Bol,1629626.0
315,PT10M44.00S,2022-11-28T00:22:59.7Z,3,REGULAR,steal,,[],1629626,,,1610612753,47,70,2022-11-28T00:23:02Z,3120000,False,,,0,,B. Bol STEAL (1 STL),[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
316,PT10M37.00S,2022-11-28T00:23:06.1Z,3,REGULAR,2pt,Layup,"['fromturnover', 'fastbreak']",1629626,93.64158840906292,32.59803921568628,1610612753,47,70,2022-11-28T00:23:15Z,3130000,False,-87.0,7.0,1,right,MISS B. Bol 8' running Layup,[1629626],1610612753.0,ORL,running,,,Bol,B. Bol,,,,,Mid-Range,8-16 Left,,8.73,Missed,,,,,,,,,,,,,,,,,
317,PT10M32.00S,2022-11-28T00:23:11.1Z,3,REGULAR,rebound,defensive,[],1626149,,,1610612755,47,70,2022-11-28T00:23:15Z,3140000,False,,,0,,M. Harrell REBOUND (Off:0 Def:3),[1626149],1610612755.0,PHI,,,,Harrell,M. Harrell,,,,,Mid-Range,8-16 Left,,,,,,316.0,3.0,3.0,0.0,,,,,,,,,,,
318,PT10M27.00S,2022-11-28T00:23:15.8Z,3,REGULAR,foul,personal,['3freethrow'],1629021,,,1610612755,47,70,2022-11-28T00:23:33Z,3150000,False,,,0,,M. Wagner shooting personal FOUL (3 PF) (House Jr. 3 FT),"[1629021, 1627863]",1610612753.0,ORL,shooting,,,Wagner,M. Wagner,,,,,Right Corner 3,24+ Right,1628487.0,,,,,,,,,,,,,3.0,0.0,House Jr.,1627863.0,,,
320,PT10M27.00S,2022-11-28T00:23:45.6Z,3,REGULAR,freethrow,1 of 3,[],1627863,,,1610612755,47,70,2022-11-28T00:23:45Z,3170000,False,,,0,,MISS D. House Jr. Free Throw 1 of 3,[1627863],1610612755.0,PHI,,,,House Jr.,D. House Jr.,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
321,PT10M27.00S,2022-11-28T00:23:45.6Z,3,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612755,47,70,2022-11-28T00:23:45Z,3180000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,320.0,,,,,,,,,,,,,,
322,PT10M27.00S,2022-11-28T00:23:57.5Z,3,REGULAR,freethrow,2 of 3,[],1627863,,,1610612755,47,70,2022-11-28T00:23:57Z,3190000,False,,,0,,MISS D. House Jr. Free Throw 2 of 3,[1627863],1610612755.0,PHI,,,,House Jr.,D. House Jr.,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
323,PT10M27.00S,2022-11-28T00:23:57.5Z,3,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612755,47,70,2022-11-28T00:23:57Z,3200000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,322.0,,,,,,,,,,,,,,
324,PT10M27.00S,2022-11-28T00:24:12.5Z,3,REGULAR,freethrow,3 of 3,[],1627863,,,1610612755,47,71,2022-11-28T00:24:12Z,3210000,False,,,0,,D. House Jr. Free Throw 3 of 3 (4 PTS),[1627863],1610612755.0,PHI,,,,House Jr.,D. House Jr.,,,,,,,,,Made,,,,,,,4.0,,,,,,,,,,
325,PT10M15.00S,2022-11-28T00:24:27.3Z,3,REGULAR,3pt,Jump Shot,[],203914,90.7506554261457,96.07843137254902,1610612753,50,71,2022-11-28T00:24:32Z,3220000,False,230.0,34.0,1,right,G. Harris 3PT  (5 PTS) (F. Wagner 1 AST),"[203914, 1630532]",1610612753.0,ORL,,,,Harris,G. Harris,,,,,Right Corner 3,24+ Right,,23.3,Made,,,,,,,5.0,F. Wagner,1630532.0,1.0,,,,,,,
327,PT09M59.00S,2022-11-28T00:24:42.5Z,3,REGULAR,turnover,bad pass,[],1627863,,,1610612755,50,71,2022-11-28T00:24:47Z,3240000,False,,,0,,D. House Jr. bad pass TURNOVER (1 TO),"[1627863, 1629021]",1610612755.0,PHI,,,,House Jr.,D. House Jr.,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,1.0,Wagner,1629021.0
328,PT09M59.00S,2022-11-28T00:24:42.5Z,3,REGULAR,steal,,[],1629021,,,1610612753,50,71,2022-11-28T00:24:45Z,3250000,False,,,0,,M. Wagner STEAL (1 STL),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
329,PT09M54.00S,2022-11-28T00:24:47.8Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],1629021,68.54303387555437,32.59803921568628,1610612753,53,71,2022-11-28T00:25:01Z,3260000,False,-87.0,243.0,1,right,M. Wagner 25' 3PT  (10 PTS) (G. Harris 5 AST),"[1629021, 203914]",1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,Above the Break 3,24+ Left Center,,25.83,Made,,,,,,,10.0,G. Harris,203914.0,5.0,,,,,,,
331,PT09M37.00S,2022-11-28T00:25:04.4Z,3,REGULAR,2pt,Jump Shot,[],1629003,5.336726385409823,70.09803921568627,1610612755,53,73,2022-11-28T00:25:14Z,3280000,False,-100.0,-2.0,1,left,S. Milton 10' driving floating Jump Shot (19 PTS) (M. Harrell 1 AST),"[1629003, 1626149]",1610612755.0,PHI,driving floating,,,Milton,S. Milton,,,,,Mid-Range,8-16 Left,,10.05,Made,,,,,,,19.0,M. Harrell,1626149.0,1.0,,,,,,,
333,PT09M26.00S,2022-11-28T00:25:15.1Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,93.42969776609723,62.27787990196079,1610612753,53,73,2022-11-28T00:25:35Z,3300000,False,61.0,9.0,1,right,MISS P. Banchero 6' Layup - blocked,"[1631094, 1626149]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,,6.21,Missed,Harrell,1626149.0,,,,,,,,,,,,,,,
334,PT09M26.00S,2022-11-28T00:25:15.1Z,3,REGULAR,block,,[],1626149,,,1610612753,53,73,2022-11-28T00:25:18Z,3310000,False,,,0,,M. Harrell BLOCK (2 BLK),[1626149],1610612755.0,PHI,,,,Harrell,M. Harrell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
335,PT09M23.00S,2022-11-28T00:25:18.1Z,3,REGULAR,rebound,defensive,[],1626149,,,1610612755,53,73,2022-11-28T00:25:23Z,3320000,False,,,0,,M. Harrell REBOUND (Off:0 Def:4),[1626149],1610612755.0,PHI,,,,Harrell,M. Harrell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,333.0,4.0,4.0,0.0,,,,,,,,,,,
336,PT09M20.00S,2022-11-28T00:25:21.4Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627863,5.862350564122043,49.01960784313725,1610612755,53,75,2022-11-28T00:25:29Z,3330000,False,5.0,3.0,1,left,D. House Jr. running Layup (6 PTS) (S. Milton 6 AST),"[1627863, 1629003]",1610612755.0,PHI,running,,,House Jr.,D. House Jr.,,,,,Restricted Area,0-8 Center,,0.55,Made,,,,,,,6.0,S. Milton,1629003.0,6.0,,,,,,,
338,PT09M01.00S,2022-11-28T00:25:40.7Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203914,87.85972244322848,53.67647058823529,1610612753,55,75,2022-11-28T00:25:46Z,3350000,False,18.0,62.0,1,right,G. Harris 6' driving floating bank Jump Shot (7 PTS),[203914],1610612753.0,ORL,driving floating bank,,,Harris,G. Harris,,,,,In The Paint (Non-RA),0-8 Center,,6.43,Made,,,,,,,7.0,,,,,,,,,,
339,PT08M37.00S,2022-11-28T00:26:04.9Z,3,REGULAR,2pt,DUNK,['pointsinthepaint'],1627863,5.862350564122043,49.50980392156863,1610612755,55,77,2022-11-28T00:26:11Z,3360000,False,2.0,3.0,1,left,D. House Jr. driving DUNK (8 PTS) (T. Harris 3 AST),"[1627863, 202699]",1610612755.0,PHI,driving,,,House Jr.,D. House Jr.,,,,,Restricted Area,0-8 Center,,0.36,Made,,,,,,,8.0,T. Harris,202699.0,3.0,,,,,,,
341,PT08M16.00S,2022-11-28T00:26:24.6Z,3,REGULAR,3pt,Jump Shot,[],203914,92.72174609631652,98.2843137254902,1610612753,55,77,2022-11-28T00:26:32Z,3380000,False,241.0,16.0,1,right,MISS G. Harris 24' 3PT,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,Right Corner 3,24+ Right,,24.19,Missed,,,,,,,,,,,,,,,,,
342,PT08M13.00S,2022-11-28T00:26:27.6Z,3,REGULAR,rebound,defensive,[],1626149,,,1610612755,55,77,2022-11-28T00:26:32Z,3390000,False,,,0,,M. Harrell REBOUND (Off:0 Def:5),[1626149],1610612755.0,PHI,,,,Harrell,M. Harrell,,,,,Right Corner 3,24+ Right,,,,,,341.0,5.0,5.0,0.0,,,,,,,,,,,
343,PT08M01.00S,2022-11-28T00:26:40.4Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,13.35249511077119,50.245098039215684,1610612755,55,79,2022-11-28T00:26:46Z,3400000,False,-1.0,73.0,1,left,T. Harris 7' turnaround Jump Shot (20 PTS),[202699],1610612755.0,PHI,turnaround,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,,7.3,Made,,,,,,,20.0,,,,,,,,,,
344,PT08M01.00S,2022-11-28T00:26:47.0Z,3,REGULAR,timeout,full,['team'],0,,,1610612753,55,79,2022-11-28T00:26:47Z,3410000,False,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,PT08M01.00S,2022-11-28T00:29:03.4Z,3,REGULAR,substitution,out,[],1629626,,,1610612753,55,79,2022-11-28T00:29:31Z,3420000,False,,,0,,SUB out: B. Bol,[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,,,,,,,,,,,,,,,,,,,,,,
346,PT08M01.00S,2022-11-28T00:29:03.4Z,3,REGULAR,substitution,in,[],1629678,,,1610612753,55,79,2022-11-28T00:29:31Z,3430000,False,,,0,,SUB in: A. Schofield,[1629678],1610612753.0,ORL,,,,Schofield,A. Schofield,,,,,,,,,,,,,,,,,,,,,,,,,,
347,PT07M42.00S,2022-11-28T00:29:55.1Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,93.51018236438485,56.127450980392155,1610612753,57,79,2022-11-28T00:30:02Z,3440000,False,31.0,9.0,1,right,F. Wagner driving Layup (11 PTS),[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,,3.18,Made,,,,,,,11.0,,,,,,,,,,
