actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
254,PT04M45.00S,2023-12-17T20:56:22.6Z,2,REGULAR,substitution,out,[],203914,,,1610612738,46,41,2023-12-17T20:56:40Z,2410000,False,,,0,,SUB out: G. Harris,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
255,PT04M45.00S,2023-12-17T20:56:22.6Z,2,REGULAR,substitution,out,[],1630175,,,1610612738,46,41,2023-12-17T20:56:40Z,2420000,False,,,0,,SUB out: C. Anthony,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,
256,PT04M45.00S,2023-12-17T20:56:22.6Z,2,REGULAR,substitution,in,[],204001,,,1610612738,46,41,2023-12-17T20:56:40Z,2430000,False,,,0,,SUB in: K. Porzingis,[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,,
257,PT04M45.00S,2023-12-17T20:56:22.6Z,2,REGULAR,substitution,in,[],1628401,,,1610612738,46,41,2023-12-17T20:56:40Z,2440000,False,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
258,PT04M45.00S,2023-12-17T20:56:22.6Z,2,REGULAR,substitution,in,[],1631216,,,1610612738,46,41,2023-12-17T20:56:40Z,2450000,False,,,0,,SUB in: C. Houstan,[1631216],1610612753.0,ORL,,,,Houstan,C. Houstan,,,,,,,,,,,,,,,,,,,,,,,,,,
259,PT04M45.00S,2023-12-17T20:56:22.6Z,2,REGULAR,substitution,in,[],1630591,,,1610612738,46,41,2023-12-17T20:56:40Z,2460000,False,,,0,,SUB in: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,,,
260,PT04M45.00S,2023-12-17T20:56:22.6Z,2,REGULAR,substitution,in,[],1629048,,,1610612738,46,41,2023-12-17T20:56:40Z,2470000,False,,,0,,SUB in: G. Bitadze,[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,,,,,,,,,,,,
261,PT04M36.00S,2023-12-17T20:56:50.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627759,93.24901445466492,53.92156862745098,1610612738,48,41,2023-12-17T20:56:54Z,2480000,False,20.0,11.0,1,right,J. Brown driving Layup (6 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,2.25,Made,,,,,,,6.0,,,,,,,,,,,
262,PT04M18.00S,2023-12-17T20:57:07.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631094,18.347568988173457,37.00980392156863,1610612753,48,41,2023-12-17T20:57:12Z,2490000,False,65.0,120.0,1,left,MISS P. Banchero 13' fadeaway Shot,[1631094],1610612753.0,ORL,fadeaway,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Center,13.65,Missed,,,,,,,,,,,,,,,,,,
263,PT04M15.00S,2023-12-17T20:57:10.9Z,2,REGULAR,rebound,defensive,[],201143,,,1610612738,48,41,2023-12-17T20:57:12Z,2500000,False,,,0,,A. Horford REBOUND (Off:1 Def:3),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),8-16 Center,,,262.0,4.0,3.0,1.0,,,,,,,,,,,,,,
264,PT04M04.00S,2023-12-17T20:57:22.0Z,2,REGULAR,2pt,Jump Shot,[],204001,79.31997371879106,39.950980392156865,1610612738,48,41,2023-12-17T20:57:31Z,2510000,False,-50.0,142.0,1,right,MISS K. Porzingis 15' turnaround Shot,[204001],1610612738.0,BOS,turnaround,,,Porzingis,K. Porzingis,,,,,Mid-Range,8-16 Center,15.05,Missed,,,,,,,,,,,,,,,,,,
265,PT04M01.00S,2023-12-17T20:57:25.0Z,2,REGULAR,rebound,defensive,[],1631216,,,1610612753,48,41,2023-12-17T20:57:31Z,2520000,False,,,0,,C. Houstan REBOUND (Off:1 Def:1),[1631216],1610612753.0,ORL,,,,Houstan,C. Houstan,,,,,Mid-Range,8-16 Center,,,264.0,2.0,1.0,1.0,,,,,,,,,,,,,,
266,PT03M41.00S,2023-12-17T20:57:45.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630532,15.982260183968464,36.51960784313725,1610612753,48,41,2023-12-17T21:17:09Z,2530000,False,67.0,98.0,1,left,MISS F. Wagner 11' driving floating Shot - blocked,"[1630532, 1628401]",1610612753.0,ORL,driving floating,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),8-16 Right,11.87,Missed,,,,,White,1628401.0,,,,,,,,,,,,
267,PT03M41.00S,2023-12-17T20:57:45.4Z,2,REGULAR,block,,[],1628401,,,1610612753,48,41,2023-12-17T20:57:47Z,2540000,False,,,0,,D. White BLOCK (2 BLK),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
268,PT03M40.00S,2023-12-17T20:57:46.4Z,2,REGULAR,rebound,offensive,[],1630532,,,1610612753,48,41,2023-12-17T20:57:51Z,2550000,False,,,0,,F. Wagner REBOUND (Off:1 Def:2),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),8-16 Right,,,266.0,3.0,2.0,1.0,,,,,,,,,,,,,,
269,PT03M40.00S,2023-12-17T20:57:51.1Z,2,REGULAR,foul,personal,['2freethrow'],1628401,,,1610612753,48,41,2023-12-17T20:58:01Z,2560000,False,,,0,,D. White shooting personal FOUL (1 PF) (Wagner 2 FT),"[1628401, 1630532]",1610612738.0,BOS,shooting,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,201639.0,,,,,,,1.0,0.0,Wagner,1630532.0
271,PT03M40.00S,2023-12-17T20:58:18.7Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1630532,,,1610612753,48,42,2023-12-17T20:58:18Z,2580000,False,,,0,,F. Wagner Free Throw 1 of 2 (3 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
272,PT03M40.00S,2023-12-17T20:58:34.0Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1630532,,,1610612753,48,43,2023-12-17T20:58:34Z,2590000,False,,,0,,F. Wagner Free Throw 2 of 2 (4 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,Made,,,,,,,4.0,,,,,,,,,,,
273,PT03M28.00S,2023-12-17T20:58:47.5Z,2,REGULAR,3pt,Jump Shot,[],1627759,71.30420499342969,75.73529411764706,1610612738,51,43,2023-12-17T21:17:29Z,2600000,False,129.0,217.0,1,right,J. Brown 25' 3PT pullup (9 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,25.25,Made,,,,,,,9.0,,,,,,,,,,,
274,PT03M12.00S,2023-12-17T20:59:02.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629048,8.492115637319317,45.588235294117645,1610612753,51,43,2023-12-17T20:59:08Z,2610000,False,22.0,27.0,1,left,MISS G. Bitadze cutting Layup - blocked,"[1629048, 1627759]",1610612753.0,ORL,cutting,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,3.51,Missed,,,,,Brown,1627759.0,,,,,,,,,,,,
275,PT03M12.00S,2023-12-17T20:59:02.7Z,2,REGULAR,block,,[],1627759,,,1610612753,51,43,2023-12-17T20:59:04Z,2620000,False,,,0,,J. Brown BLOCK (1 BLK),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
276,PT03M10.00S,2023-12-17T20:59:04.7Z,2,REGULAR,rebound,defensive,[],1628401,,,1610612738,51,43,2023-12-17T20:59:08Z,2630000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Restricted Area,0-8 Center,,,274.0,1.0,1.0,0.0,,,,,,,,,,,,,,
277,PT03M06.00S,2023-12-17T20:59:09.6Z,2,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",204001,93.77463863337714,48.529411764705884,1610612738,53,43,2023-12-17T21:18:08Z,2640000,False,-7.0,6.0,1,right,K. Porzingis running DUNK (9 PTS) (J. Brown 4 AST),"[204001, 1627759]",1610612738.0,BOS,running,,,Porzingis,K. Porzingis,,,,,Restricted Area,0-8 Center,0.95,Made,,,,,,,9.0,,,,,J. Brown,1627759.0,4.0,,,,
279,PT03M06.00S,2023-12-17T20:59:19.4Z,2,REGULAR,timeout,full,['team'],0,,,1610612753,53,43,2023-12-17T20:59:19Z,2660000,False,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,PT02M51.00S,2023-12-17T21:01:04.7Z,2,REGULAR,turnover,bad pass,[],1631094,,,1610612753,53,43,2023-12-17T21:19:32Z,2670000,False,,,0,,P. Banchero bad pass TURNOVER (2 TO),"[1631094, 1627759]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,2.0,Brown,1627759.0,,,,,,,
281,PT02M51.00S,2023-12-17T21:01:04.7Z,2,REGULAR,steal,,[],1627759,,,1610612738,53,43,2023-12-17T21:01:06Z,2680000,False,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
282,PT02M46.00S,2023-12-17T21:01:09.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",201143,92.32917214191852,63.725490196078425,1610612738,53,43,2023-12-17T21:01:15Z,2690000,False,69.0,20.0,1,right,MISS A. Horford 7' running Layup,[201143],1610612738.0,BOS,running,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,7.13,Missed,,,,,,,,,,,,,,,,,,
283,PT02M44.00S,2023-12-17T21:01:11.3Z,2,REGULAR,rebound,defensive,[],1629048,,,1610612753,53,43,2023-12-17T21:01:15Z,2700000,False,,,0,,G. Bitadze REBOUND (Off:0 Def:3),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,In The Paint (Non-RA),0-8 Center,,,282.0,3.0,3.0,0.0,,,,,,,,,,,,,,
284,PT02M40.00S,2023-12-17T21:01:14.9Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1631094,9.674770039421814,96.32352941176471,1610612753,53,43,2023-12-17T21:19:46Z,2710000,False,-232.0,38.0,1,left,MISS P. Banchero running 3PT,[1631094],1610612753.0,ORL,running,,,Banchero,P. Banchero,,,,,Left Corner 3,24+ Left,23.48,Missed,,,,,,,,,,,,,,,,,,
285,PT02M38.00S,2023-12-17T21:01:17.3Z,2,REGULAR,rebound,offensive,[],1630532,,,1610612753,53,43,2023-12-17T21:01:17Z,2720000,False,,,0,,F. Wagner REBOUND (Off:2 Def:2),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Left Corner 3,24+ Left,,,284.0,4.0,2.0,2.0,,,,,,,,,,,,,,
286,PT02M36.00S,2023-12-17T21:01:19.0Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1630591,25.18068331143233,14.460784313725492,1610612753,53,46,2023-12-17T21:01:24Z,2730000,False,178.0,184.0,1,left,J. Suggs 25' 3PT  (5 PTS) (F. Wagner 3 AST),"[1630591, 1630532]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Right Center,25.59,Made,,,,,,,5.0,,,,,F. Wagner,1630532.0,3.0,,,,
288,PT02M23.00S,2023-12-17T21:01:38.3Z,2,REGULAR,foul,personal,[],1629048,,,1610612738,53,46,2023-12-17T21:02:10Z,2750000,False,,,0,,G. Bitadze personal FOUL (2 PF),"[1629048, 1627759]",1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,1627961.0,,,,,,,2.0,0.0,Brown,1627759.0
290,PT02M23.00S,2023-12-17T21:02:06.4Z,2,REGULAR,substitution,out,[],1630532,,,1610612738,53,46,2023-12-17T21:02:11Z,2770000,False,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
291,PT02M23.00S,2023-12-17T21:02:06.4Z,2,REGULAR,substitution,in,[],203914,,,1610612738,53,46,2023-12-17T21:02:11Z,2780000,False,,,0,,SUB in: G. Harris,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
292,PT02M18.00S,2023-12-17T21:02:29.9Z,2,REGULAR,3pt,Jump Shot,[],1628401,65.52233902759527,33.82352941176471,1610612738,56,46,2023-12-17T21:02:35Z,2790000,False,-81.0,272.0,1,right,D. White 28' 3PT pullup (6 PTS),[1628401],1610612738.0,BOS,pullup,,,White,D. White,,,,,Above the Break 3,24+ Center,28.34,Made,,,,,,,6.0,,,,,,,,,,,
293,PT02M10.00S,2023-12-17T21:02:41.5Z,2,REGULAR,foul,offensive,[],1629048,,,1610612753,56,46,2023-12-17T21:02:54Z,2800000,False,,,0,,G. Bitadze offensive FOUL (3 PF),"[1629048, 1628401]",1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Above the Break 3,24+ Center,,,,,,,,,,201639.0,,,,,,,3.0,0.0,White,1628401.0
295,PT02M10.00S,2023-12-17T21:02:41.5Z,2,REGULAR,turnover,offensive foul,[],1629048,,,1610612753,56,46,2023-12-17T21:02:41Z,2820000,False,,,0,,G. Bitadze offensive foul TURNOVER (1 TO),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Above the Break 3,24+ Center,,,,,,,,,,201639.0,1.0,,,,,,,,,
296,PT01M56.00S,2023-12-17T21:03:12.8Z,2,REGULAR,foul,offensive,[],204001,,,1610612738,56,46,2023-12-17T21:03:20Z,2830000,False,,,0,,K. Porzingis offensive FOUL (1 PF),"[204001, 203914]",1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Center,,,,,,,,,,202027.0,,,,,,,1.0,0.0,Harris,203914.0
298,PT01M56.00S,2023-12-17T21:03:12.8Z,2,REGULAR,turnover,offensive foul,[],204001,,,1610612738,56,46,2023-12-17T21:03:12Z,2850000,False,,,0,,K. Porzingis offensive foul TURNOVER (3 TO),[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Center,,,,,,,,,,202027.0,3.0,,,,,,,,,
299,PT01M45.00S,2023-12-17T21:03:33.2Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],203914,31.61957950065703,69.85294117647058,1610612753,56,46,2023-12-17T21:03:38Z,2860000,False,-99.0,245.0,1,left,MISS G. Harris 26' 3PT,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,Above the Break 3,24+ Left Center,26.41,Missed,,,,,,,,,,,,,,,,,,
300,PT01M43.00S,2023-12-17T21:03:35.2Z,2,REGULAR,rebound,defensive,[],201950,,,1610612738,56,46,2023-12-17T21:03:38Z,2870000,False,,,0,,J. Holiday REBOUND (Off:1 Def:4),[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Left Center,,,299.0,5.0,4.0,1.0,,,,,,,,,,,,,,
301,PT01M33.00S,2023-12-17T21:03:46.8Z,2,REGULAR,foul,personal,['2freethrow'],203914,,,1610612738,56,46,2023-12-17T21:03:55Z,2880000,False,,,0,,G. Harris shooting personal FOUL (1 PF) (Brown 2 FT),"[203914, 1627759]",1610612753.0,ORL,shooting,,,Harris,G. Harris,,,,,Mid-Range,8-16 Right,,,,,,,,,,1627961.0,,,,,,,1.0,0.0,Brown,1627759.0
303,PT01M33.00S,2023-12-17T21:04:13.6Z,2,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,57,46,2023-12-17T21:04:13Z,2900000,False,,,0,,J. Brown Free Throw 1 of 2 (10 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Made,,,,,,,10.0,,,,,,,,,,,
304,PT01M33.00S,2023-12-17T21:04:31.3Z,2,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,58,46,2023-12-17T21:04:31Z,2910000,False,,,0,,J. Brown Free Throw 2 of 2 (11 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Made,,,,,,,11.0,,,,,,,,,,,
305,PT01M11.00S,2023-12-17T21:04:54.7Z,2,REGULAR,3pt,Jump Shot,[],1631094,28.86005256241787,79.90196078431373,1610612753,58,46,2023-12-17T21:05:00Z,2920000,False,-150.0,219.0,1,left,MISS P. Banchero 26' 3PT,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Left Center,26.5,Missed,,,,,,,,,,,,,,,,,,
306,PT01M07.00S,2023-12-17T21:04:58.7Z,2,REGULAR,rebound,defensive,[],1627759,,,1610612738,58,46,2023-12-17T21:05:00Z,2930000,False,,,0,,J. Brown REBOUND (Off:1 Def:3),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,,,305.0,4.0,3.0,1.0,,,,,,,,,,,,,,
307,PT00M58.10S,2023-12-17T21:05:08.2Z,2,REGULAR,3pt,Jump Shot,[],201950,94.95729303547962,95.58823529411765,1610612738,61,46,2023-12-17T21:20:07Z,2940000,False,228.0,-5.0,1,right,J. Holiday 3PT pullup (14 PTS) (D. White 3 AST),"[201950, 1628401]",1610612738.0,BOS,pullup,,,Holiday,J. Holiday,,,,,Right Corner 3,24+ Right,22.8,Made,,,,,,,14.0,,,,,D. White,1628401.0,3.0,,,,
320,PT00M42.40S,2023-12-17T21:05:27.8Z,2,REGULAR,foul,personal,[],1627759,,,1610612753,61,46,2023-12-17T21:08:38Z,2970000,False,,,0,,J. Brown personal FOUL (1 PF),"[1627759, 1631094]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,16-24 Center,,,,,,,,,,201639.0,,,,,,,1.0,0.0,Banchero,1631094.0
313,PT00M38.80S,2023-12-17T21:06:08.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630591,8.492115637319317,48.03921568627451,1610612753,61,48,2023-12-17T21:06:13Z,3000000,False,10.0,27.0,1,left,J. Suggs cutting Layup (7 PTS) (G. Bitadze 1 AST),"[1630591, 1629048]",1610612753.0,ORL,cutting,,,Suggs,J. Suggs,,,,,Restricted Area,0-8 Center,2.9,Made,,,,,,,7.0,,,,,G. Bitadze,1629048.0,1.0,,,,
315,PT00M29.70S,2023-12-17T21:06:19.7Z,2,REGULAR,turnover,out-of-bounds,[],1628401,,,1610612738,61,48,2023-12-17T21:06:26Z,3020000,False,,,0,,D. White bad pass out-of-bounds TURNOVER (1 TO),[1628401],1610612738.0,BOS,bad pass,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,201639.0,1.0,,,,,,,,,
316,PT00M11.50S,2023-12-17T21:06:49.7Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1631094,21.76412614980289,24.019607843137255,1610612753,61,50,2023-12-17T21:06:55Z,3030000,False,130.0,152.0,1,left,P. Banchero 20' step back Jump Shot (26 PTS),[1631094],1610612753.0,ORL,step back,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Right Center,20.0,Made,,,,,,,26.0,,,,,,,,,,,
317,PT00M00.00S,2023-12-17T21:07:05.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201950,90.09526938239159,40.44117647058824,1610612738,61,50,2023-12-17T21:07:10Z,3040000,False,-48.0,41.0,1,right,MISS J. Holiday 6' driving Layup,[201950],1610612738.0,BOS,driving,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),0-8 Center,6.27,Missed,,,,,,,,,,,,,,,,,,
318,PT00M00.00S,2023-12-17T21:07:07.1Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,61,50,2023-12-17T21:07:07Z,3050000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,317.0,,,,,,,,,,,,,,,,,
319,PT00M00.00S,2023-12-17T21:07:08.0Z,2,REGULAR,period,end,[],0,,,1610612738,61,50,2023-12-17T21:07:08Z,3060000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,PT12M00.00S,2023-12-17T21:21:57.5Z,3,REGULAR,substitution,out,['startperiod'],201143,,,1610612738,61,50,2023-12-17T21:22:36Z,3070000,False,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
323,PT12M00.00S,2023-12-17T21:21:57.5Z,3,REGULAR,substitution,out,['startperiod'],1631216,,,1610612738,61,50,2023-12-17T21:22:36Z,3080000,False,,,0,,SUB out: C. Houstan,[1631216],1610612753.0,ORL,,,,Houstan,C. Houstan,,,,,,,,,,,,,,,,,,,,,,,,,,
324,PT12M00.00S,2023-12-17T21:21:57.5Z,3,REGULAR,substitution,out,['startperiod'],203914,,,1610612738,61,50,2023-12-17T21:22:36Z,3090000,False,,,0,,SUB out: G. Harris,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
325,PT12M00.00S,2023-12-17T21:21:57.5Z,3,REGULAR,substitution,in,['startperiod'],1628369,,,1610612738,61,50,2023-12-17T21:22:36Z,3100000,False,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
326,PT12M00.00S,2023-12-17T21:21:57.5Z,3,REGULAR,substitution,in,['startperiod'],1641710,,,1610612738,61,50,2023-12-17T21:22:36Z,3110000,False,,,0,,SUB in: A. Black,[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,,,,,,,,,,,,,,,,,,,,,,
327,PT12M00.00S,2023-12-17T21:21:57.5Z,3,REGULAR,substitution,in,['startperiod'],1630532,,,1610612738,61,50,2023-12-17T21:22:36Z,3120000,False,,,0,,SUB in: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
328,PT12M00.00S,2023-12-17T21:22:47.5Z,3,REGULAR,period,start,[],0,,,1610612738,61,50,2023-12-17T21:22:47Z,3130000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,PT11M48.00S,2023-12-17T21:22:59.1Z,3,REGULAR,3pt,Jump Shot,[],204001,33.722076215505915,60.78431372549019,1610612738,64,50,2023-12-17T21:23:04Z,3140000,False,-54.0,264.0,1,left,K. Porzingis 26' 3PT  (12 PTS) (J. Tatum 3 AST),"[204001, 1628369]",1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Center,26.99,Made,,,,,,,12.0,,,,,J. Tatum,1628369.0,3.0,,,,
331,PT11M19.00S,2023-12-17T21:23:27.1Z,3,REGULAR,3pt,Jump Shot,[],1641710,89.96386333771353,3.1862745098039214,1610612753,64,50,2023-12-17T21:23:32Z,3160000,False,-234.0,42.0,1,right,MISS A. Black 3PT,[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,Left Corner 3,24+ Left,23.78,Missed,,,,,,,,,,,,,,,,,,
332,PT11M16.00S,2023-12-17T21:23:30.1Z,3,REGULAR,rebound,defensive,[],204001,,,1610612738,64,50,2023-12-17T21:23:32Z,3170000,False,,,0,,K. Porzingis REBOUND (Off:0 Def:6),[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Left Corner 3,24+ Left,,,331.0,6.0,6.0,0.0,,,,,,,,,,,,,,
333,PT10M54.00S,2023-12-17T21:23:53.4Z,3,REGULAR,turnover,out-of-bounds,[],201950,,,1610612738,64,50,2023-12-17T21:24:09Z,3180000,False,,,0,,J. Holiday bad pass out-of-bounds TURNOVER (2 TO),[201950],1610612738.0,BOS,bad pass,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,2.0,,,,,,,,,
334,PT10M41.00S,2023-12-17T21:24:20.2Z,3,REGULAR,2pt,Jump Shot,['fromturnover'],1630591,75.64060446780552,29.166666666666668,1610612753,64,52,2023-12-17T21:24:25Z,3190000,False,-104.0,176.0,1,right,J. Suggs 20' pullup Jump Shot (9 PTS) (A. Black 2 AST),"[1630591, 1641710]",1610612753.0,ORL,pullup,,,Suggs,J. Suggs,,,,,Mid-Range,16-24 Left Center,20.5,Made,,,,,,,9.0,,,,,A. Black,1641710.0,2.0,,,,
336,PT10M29.00S,2023-12-17T21:24:36.6Z,3,REGULAR,foul,personal,[],1630532,,,1610612738,64,52,2023-12-17T21:24:41Z,3210000,False,,,0,,F. Wagner personal FOUL (1 PF),"[1630532, 204001]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Mid-Range,16-24 Center,,,,,,,,,,1627961.0,,,,,,,1.0,0.0,Porzingis,204001.0
338,PT10M18.00S,2023-12-17T21:25:09.1Z,3,REGULAR,3pt,Jump Shot,[],201950,32.013797634691194,29.65686274509804,1610612738,64,52,2023-12-17T21:25:15Z,3230000,False,102.0,248.0,1,left,MISS J. Holiday 26' 3PT,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Right Center,26.84,Missed,,,,,,,,,,,,,,,,,,
339,PT10M15.00S,2023-12-17T21:25:12.1Z,3,REGULAR,rebound,defensive,[],1630532,,,1610612753,64,52,2023-12-17T21:25:15Z,3240000,False,,,0,,F. Wagner REBOUND (Off:2 Def:3),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Right Center,,,338.0,5.0,3.0,2.0,,,,,,,,,,,,,,
340,PT10M08.00S,2023-12-17T21:25:19.5Z,3,REGULAR,2pt,DUNK,['pointsinthepaint'],1629048,93.64323258869908,50.0,1610612753,64,54,2023-12-17T21:25:25Z,3250000,False,0.0,7.0,1,right,G. Bitadze DUNK (4 PTS) (F. Wagner 4 AST),"[1629048, 1630532]",1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,0.73,Made,,,,,,,4.0,,,,,F. Wagner,1630532.0,4.0,,,,
342,PT09M57.00S,2023-12-17T21:25:30.1Z,3,REGULAR,turnover,bad pass,[],201950,,,1610612738,64,54,2023-12-17T21:25:35Z,3270000,False,,,0,,J. Holiday bad pass TURNOVER (3 TO),"[201950, 1630591]",1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Center,,,,,,,,,,,3.0,Suggs,1630591.0,,,,,,,
