actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,playerName,playerNameI,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
258,PT06M20.00S,2023-12-02T01:31:13.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201143,88.64980289093299,43.627450980392155,1610612738,54,53,2023-12-02T01:31:36Z,2510000,False,-32.0,54.0,1,right,A. Horford 6' floating Jump Shot (10 PTS) (J. Holiday 4 AST),"[201143, 201950]",1610612738.0,BOS,floating,,,,,,In The Paint (Non-RA),0-8 Center,,Horford,A. Horford,,,6.29,Made,10.0,J. Holiday,201950.0,4.0,,,,,,,,,,,
260,PT06M04.00S,2023-12-02T01:31:29.6Z,2,REGULAR,3pt,Jump Shot,[],1629001,34.37910643889619,52.94117647058824,1610612755,54,56,2023-12-02T01:32:35Z,2530000,False,-15.0,271.0,1,left,D. Melton 27' 3PT step back (15 PTS),[1629001],1610612755.0,PHI,step back,,,,,,Above the Break 3,24+ Center,,Melton,D. Melton,,,27.11,Made,15.0,,,,,,,,,,,,,,
261,PT05M43.00S,2023-12-02T01:31:51.4Z,2,REGULAR,3pt,Jump Shot,[],201950,73.80091984231275,88.72549019607843,1610612738,54,56,2023-12-02T01:32:54Z,2540000,False,194.0,194.0,1,right,MISS J. Holiday 27' pullup 3PT,[201950],1610612738.0,BOS,pullup,,,,,,Above the Break 3,24+ Right Center,,Holiday,J. Holiday,,,27.39,Missed,,,,,,,,,,,,,,,
262,PT05M41.00S,2023-12-02T01:31:53.4Z,2,REGULAR,rebound,defensive,[],202699,,,1610612755,54,56,2023-12-02T01:31:55Z,2550000,False,,,0,,T. Harris REBOUND (Off:1 Def:1),[202699],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Right Center,,Harris,T. Harris,,,,,,,,,261.0,2.0,1.0,1.0,,,,,,,
263,PT05M37.00S,2023-12-02T01:31:58.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202699,9.149145860709593,60.78431372549019,1610612755,54,58,2023-12-02T01:32:03Z,2560000,False,-54.0,34.0,1,left,T. Harris 6' running Layup (10 PTS),[202699],1610612755.0,PHI,running,,,,,,In The Paint (Non-RA),0-8 Center,,Harris,T. Harris,,,6.35,Made,10.0,,,,,,,,,,,,,,
264,PT05M37.00S,2023-12-02T01:32:02.4Z,2,REGULAR,foul,personal,['1freethrow'],201143,,,1610612755,54,58,2023-12-02T01:32:17Z,2570000,False,,,0,,A. Horford shooting personal FOUL (2 PF) (Harris 1 FT),"[201143, 202699]",1610612738.0,BOS,shooting,,,,,,In The Paint (Non-RA),8-16 Left,,Horford,A. Horford,,,,,,,,,,,,,,,202007.0,2.0,0.0,Harris,202699.0
266,PT05M37.00S,2023-12-02T01:32:12.0Z,2,REGULAR,substitution,out,[],201950,,,1610612755,54,58,2023-12-02T01:33:01Z,2590000,False,,,0,,SUB out: J. Holiday,[201950],1610612738.0,BOS,,,,,,,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,
267,PT05M37.00S,2023-12-02T01:32:12.0Z,2,REGULAR,substitution,in,[],1628401,,,1610612755,54,58,2023-12-02T01:33:01Z,2600000,False,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,,,,,,,White,D. White,,,,,,,,,,,,,,,,,,,
268,PT05M37.00S,2023-12-02T01:32:26.4Z,2,REGULAR,substitution,out,[],1629001,,,1610612755,54,58,2023-12-02T01:33:01Z,2610000,False,,,0,,SUB out: D. Melton,[1629001],1610612755.0,PHI,,,,,,,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,
269,PT05M37.00S,2023-12-02T01:32:26.4Z,2,REGULAR,substitution,in,[],203496,,,1610612755,54,58,2023-12-02T01:33:01Z,2620000,False,,,0,,SUB in: R. Covington,[203496],1610612755.0,PHI,,,,,,,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,
270,PT05M37.00S,2023-12-02T01:32:44.1Z,2,REGULAR,freethrow,1 of 1,['fastbreak'],202699,,,1610612755,54,59,2023-12-02T01:32:44Z,2630000,False,,,0,,T. Harris Free Throw 1 of 1 (11 PTS),[202699],1610612755.0,PHI,,,,,,,,,,Harris,T. Harris,,,,Made,11.0,,,,,,,,,,,,,,
271,PT05M24.00S,2023-12-02T01:32:59.6Z,2,REGULAR,turnover,bad pass,[],1628369,,,1610612738,54,59,2023-12-02T01:33:04Z,2640000,False,,,0,,J. Tatum bad pass TURNOVER (5 TO),"[1628369, 203496]",1610612738.0,BOS,,,,,,,Above the Break 3,24+ Left Center,5.0,Tatum,J. Tatum,Covington,203496.0,,,,,,,,,,,,,,,,,
272,PT05M24.00S,2023-12-02T01:32:59.6Z,2,REGULAR,steal,,[],203496,,,1610612755,54,59,2023-12-02T01:33:01Z,2650000,False,,,0,,R. Covington STEAL (4 STL),[203496],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Left Center,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,
273,PT05M06.00S,2023-12-02T01:33:18.0Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1630194,16.770696452036795,44.36274509803921,1610612755,54,61,2023-12-02T01:33:22Z,2660000,False,28.0,105.0,1,left,P. Reed 10' turnaround Hook (10 PTS),[1630194],1610612755.0,PHI,turnaround,,,,,,In The Paint (Non-RA),8-16 Center,,Reed,P. Reed,,,10.88,Made,10.0,,,,,,,,,,,,,,
274,PT04M50.00S,2023-12-02T01:33:34.1Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],201143,94.30026281208936,52.450980392156865,1610612738,56,61,2023-12-02T01:33:38Z,2670000,False,12.0,1.0,1,right,A. Horford driving DUNK (12 PTS) (P. Pritchard 4 AST),"[201143, 1630202]",1610612738.0,BOS,driving,,,,,,Restricted Area,0-8 Center,,Horford,A. Horford,,,1.23,Made,12.0,P. Pritchard,1630202.0,4.0,,,,,,,,,,,
276,PT04M35.00S,2023-12-02T01:33:48.3Z,2,REGULAR,3pt,Jump Shot,[],203496,8.754927726675426,98.0392156862745,1610612755,56,61,2023-12-02T01:33:52Z,2690000,False,-240.0,30.0,1,left,MISS R. Covington 24' 3PT,[203496],1610612755.0,PHI,,,,,,,Left Corner 3,24+ Left,,Covington,R. Covington,,,24.2,Missed,,,,,,,,,,,,,,,
277,PT04M33.00S,2023-12-02T01:33:50.3Z,2,REGULAR,rebound,defensive,[],1627759,,,1610612738,56,61,2023-12-02T01:33:52Z,2700000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,,,,Left Corner 3,24+ Left,,Brown,J. Brown,,,,,,,,,276.0,1.0,1.0,0.0,,,,,,,
278,PT04M29.00S,2023-12-02T01:33:55.0Z,2,REGULAR,turnover,lost ball,[],1627759,,,1610612738,56,61,2023-12-02T01:33:58Z,2710000,False,,,0,,J. Brown lost ball TURNOVER (3 TO),"[1627759, 1630231]",1610612738.0,BOS,,,,,,,Above the Break 3,24+ Left Center,3.0,Brown,J. Brown,Martin,1630231.0,,,,,,,,,,,,,,,,,
279,PT04M29.00S,2023-12-02T01:33:55.0Z,2,REGULAR,steal,,[],1630231,,,1610612755,56,61,2023-12-02T01:34:31Z,2720000,False,,,0,,K. Martin STEAL (2 STL),[1630231],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Left Center,,Martin,K. Martin,,,,,,,,,,,,,,,,,,,
280,PT04M27.00S,2023-12-02T01:33:59.7Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630231,9.806176084099869,56.61764705882353,1610612755,56,61,2023-12-02T01:34:25Z,2730000,False,-33.0,40.0,1,left,MISS K. Martin running Layup - blocked,"[1630231, 1628369]",1610612755.0,PHI,running,,,,,,In The Paint (Non-RA),0-8 Center,,Martin,K. Martin,,,5.17,Missed,,,,,,,,,Tatum,1628369.0,,,,,
281,PT04M27.00S,2023-12-02T01:33:59.7Z,2,REGULAR,block,,[],1628369,,,1610612755,56,61,2023-12-02T01:34:02Z,2740000,False,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,,,,In The Paint (Non-RA),0-8 Center,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,
282,PT04M26.00S,2023-12-02T01:34:00.7Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612738,56,61,2023-12-02T01:34:25Z,2750000,False,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,280.0,,,,,,,,,,
284,PT04M26.00S,2023-12-02T01:34:07.9Z,2,REGULAR,substitution,out,[],202699,,,1610612738,56,61,2023-12-02T01:34:18Z,2770000,False,,,0,,SUB out: T. Harris,[202699],1610612755.0,PHI,,,,,,,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,
285,PT04M26.00S,2023-12-02T01:34:07.9Z,2,REGULAR,substitution,out,[],1627788,,,1610612738,56,61,2023-12-02T01:34:18Z,2780000,False,,,0,,SUB out: F. Korkmaz,[1627788],1610612755.0,PHI,,,,,,,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,,
286,PT04M26.00S,2023-12-02T01:34:07.9Z,2,REGULAR,substitution,in,[],201976,,,1610612738,56,61,2023-12-02T01:34:18Z,2790000,False,,,0,,SUB in: P. Beverley,[201976],1610612755.0,PHI,,,,,,,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,
287,PT04M26.00S,2023-12-02T01:34:07.9Z,2,REGULAR,substitution,in,[],1629001,,,1610612738,56,61,2023-12-02T01:34:18Z,2800000,False,,,0,,SUB in: D. Melton,[1629001],1610612755.0,PHI,,,,,,,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,
288,PT04M13.00S,2023-12-02T01:34:36.7Z,2,REGULAR,foul,personal,[],1630194,,,1610612738,56,61,2023-12-02T01:34:44Z,2810000,False,,,0,,P. Reed personal FOUL (3 PF),"[1630194, 1628401]",1610612755.0,PHI,,,,,,,Mid-Range,16-24 Center,,Reed,P. Reed,,,,,,,,,,,,,,,202007.0,3.0,0.0,White,1628401.0
290,PT04M13.00S,2023-12-02T01:34:48.1Z,2,REGULAR,substitution,out,[],1630194,,,1610612738,56,61,2023-12-02T01:34:52Z,2830000,False,,,0,,SUB out: P. Reed,[1630194],1610612755.0,PHI,,,,,,,,,,Reed,P. Reed,,,,,,,,,,,,,,,,,,,
291,PT04M13.00S,2023-12-02T01:34:48.1Z,2,REGULAR,substitution,in,[],202694,,,1610612738,56,61,2023-12-02T01:34:52Z,2840000,False,,,0,,SUB in: M. Morris Sr.,[202694],1610612755.0,PHI,,,,,,,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,,,,,
292,PT04M07.00S,2023-12-02T01:35:04.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,84.31340341655716,37.99019607843137,1610612738,56,61,2023-12-02T01:35:10Z,2850000,False,-60.0,95.0,1,right,MISS J. Brown 11' driving Layup - blocked,"[1627759, 203496]",1610612738.0,BOS,driving,,,,,,In The Paint (Non-RA),8-16 Left,,Brown,J. Brown,,,11.24,Missed,,,,,,,,,Covington,203496.0,,,,,
293,PT04M07.00S,2023-12-02T01:35:04.5Z,2,REGULAR,block,,[],203496,,,1610612738,56,61,2023-12-02T01:35:08Z,2860000,False,,,0,,R. Covington BLOCK (1 BLK),[203496],1610612755.0,PHI,,,,,,,In The Paint (Non-RA),8-16 Left,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,
294,PT04M03.00S,2023-12-02T01:35:08.5Z,2,REGULAR,rebound,defensive,[],201976,,,1610612755,56,61,2023-12-02T01:35:10Z,2870000,False,,,0,,P. Beverley REBOUND (Off:0 Def:2),[201976],1610612755.0,PHI,,,,,,,In The Paint (Non-RA),8-16 Left,,Beverley,P. Beverley,,,,,,,,,292.0,2.0,2.0,0.0,,,,,,,
295,PT04M02.00S,2023-12-02T01:35:09.8Z,2,REGULAR,turnover,lost ball,[],201976,,,1610612755,56,61,2023-12-02T01:35:15Z,2880000,False,,,0,,P. Beverley lost ball TURNOVER (3 TO),"[201976, 1628401]",1610612755.0,PHI,,,,,,,Mid-Range,8-16 Right,3.0,Beverley,P. Beverley,White,1628401.0,,,,,,,,,,,,,,,,,
296,PT04M02.00S,2023-12-02T01:35:09.8Z,2,REGULAR,steal,,[],1628401,,,1610612738,56,61,2023-12-02T01:35:11Z,2890000,False,,,0,,D. White STEAL (1 STL),[1628401],1610612738.0,BOS,,,,,,,Mid-Range,8-16 Right,,White,D. White,,,,,,,,,,,,,,,,,,,
297,PT03M59.00S,2023-12-02T01:35:12.6Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1627759,92.77266754270697,51.57398897058824,1610612738,58,61,2023-12-02T01:35:34Z,2900000,False,8.0,15.0,1,right,J. Brown running finger roll Layup (6 PTS) (D. White 1 AST),"[1627759, 1628401]",1610612738.0,BOS,running finger roll,,,,,,Restricted Area,0-8 Center,,Brown,J. Brown,,,1.73,Made,6.0,D. White,1628401.0,1.0,,,,,,,,,,,
299,PT03M46.00S,2023-12-02T01:35:25.0Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],203496,6.701708278580814,55.90533088235294,1610612755,58,63,2023-12-02T01:36:32Z,2920000,False,-30.0,10.0,1,left,R. Covington bank Hook (10 PTS) (M. Morris Sr. 1 AST),"[203496, 202694]",1610612755.0,PHI,bank,,,,,,Restricted Area,0-8 Center,,Covington,R. Covington,,,3.13,Made,10.0,M. Morris Sr.,202694.0,1.0,,,,,,,,,,,
301,PT03M33.00S,2023-12-02T01:35:38.4Z,2,REGULAR,3pt,Jump Shot,[],1627759,95.3515111695138,2.941176470588235,1610612738,58,63,2023-12-02T01:35:44Z,2940000,False,-235.0,-9.0,1,right,MISS J. Brown 3PT,[1627759],1610612738.0,BOS,,,,,,,Left Corner 3,24+ Left,,Brown,J. Brown,,,23.55,Missed,,,,,,,,,,,,,,,
302,PT03M31.00S,2023-12-02T01:35:40.4Z,2,REGULAR,rebound,defensive,[],1630231,,,1610612755,58,63,2023-12-02T01:35:44Z,2950000,False,,,0,,K. Martin REBOUND (Off:0 Def:1),[1630231],1610612755.0,PHI,,,,,,,Left Corner 3,24+ Left,,Martin,K. Martin,,,,,,,,,301.0,1.0,1.0,0.0,,,,,,,
303,PT03M24.00S,2023-12-02T01:35:47.4Z,2,REGULAR,turnover,bad pass,[],1629001,,,1610612755,58,63,2023-12-02T01:35:56Z,2960000,False,,,0,,D. Melton bad pass TURNOVER (3 TO),"[1629001, 1628369]",1610612755.0,PHI,,,,,,,Restricted Area,0-8 Center,3.0,Melton,D. Melton,Tatum,1628369.0,,,,,,,,,,,,,,,,,
304,PT03M24.00S,2023-12-02T01:35:47.4Z,2,REGULAR,steal,,[],1628369,,,1610612738,58,63,2023-12-02T01:35:56Z,2970000,False,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,,,,Restricted Area,0-8 Center,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,
305,PT03M06.00S,2023-12-02T01:36:04.9Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1628401,70.90998685939553,80.14705882352942,1610612738,61,63,2023-12-02T01:36:08Z,2980000,False,151.0,221.0,1,right,D. White 26' 3PT  (10 PTS) (J. Tatum 4 AST),"[1628401, 1628369]",1610612738.0,BOS,,,,,,,Above the Break 3,24+ Right Center,,White,D. White,,,26.74,Made,10.0,J. Tatum,1628369.0,4.0,,,,,,,,,,,
307,PT02M39.00S,2023-12-02T01:36:33.0Z,2,REGULAR,2pt,Jump Shot,[],202694,27.414586070959263,59.31372549019608,1610612755,61,63,2023-12-02T01:37:32Z,3000000,False,-47.0,205.0,1,left,MISS M. Morris Sr. 21' pullup Shot,[202694],1610612755.0,PHI,pullup,,,,,,Mid-Range,16-24 Center,,Morris Sr.,M. Morris Sr.,,,21.04,Missed,,,,,,,,,,,,,,,
308,PT02M37.00S,2023-12-02T01:36:35.0Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,61,63,2023-12-02T01:36:38Z,3010000,False,,,0,,J. Tatum REBOUND (Off:0 Def:4),[1628369],1610612738.0,BOS,,,,,,,Mid-Range,16-24 Center,,Tatum,J. Tatum,,,,,,,,,307.0,4.0,4.0,0.0,,,,,,,
309,PT02M30.00S,2023-12-02T01:36:41.3Z,2,REGULAR,3pt,Jump Shot,[],1630202,91.93495400788436,97.30392156862744,1610612738,61,63,2023-12-02T01:36:48Z,3020000,False,237.0,23.0,1,right,MISS P. Pritchard 3PT,[1630202],1610612738.0,BOS,,,,,,,Right Corner 3,24+ Right,,Pritchard,P. Pritchard,,,23.76,Missed,,,,,,,,,,,,,,,
310,PT02M29.00S,2023-12-02T01:36:42.3Z,2,REGULAR,rebound,defensive,[],202694,,,1610612755,61,63,2023-12-02T01:36:48Z,3030000,False,,,0,,M. Morris Sr. REBOUND (Off:1 Def:4),[202694],1610612755.0,PHI,,,,,,,Right Corner 3,24+ Right,,Morris Sr.,M. Morris Sr.,,,,,,,,,309.0,5.0,4.0,1.0,,,,,,,
311,PT02M09.00S,2023-12-02T01:37:05.3Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201143,,,1610612755,61,63,2023-12-02T01:37:20Z,3040000,False,,,0,,A. Horford shooting personal FOUL (3 PF) (Melton 2 FT),"[201143, 1629001]",1610612738.0,BOS,shooting,,,,,,In The Paint (Non-RA),8-16 Center,,Horford,A. Horford,,,,,,,,,,,,,,,202007.0,3.0,0.0,Melton,1629001.0
313,PT02M09.00S,2023-12-02T01:37:30.4Z,2,REGULAR,freethrow,1 of 2,[],1629001,,,1610612755,61,64,2023-12-02T01:37:58Z,3060000,False,,,0,,D. Melton Free Throw 1 of 2 (16 PTS),[1629001],1610612755.0,PHI,,,,,,,,,,Melton,D. Melton,,,,Made,16.0,,,,,,,,,,,,,,
314,PT02M09.00S,2023-12-02T01:37:32.8Z,2,REGULAR,substitution,out,[],1630202,,,1610612755,61,64,2023-12-02T01:37:49Z,3070000,False,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,,,,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,
315,PT02M09.00S,2023-12-02T01:37:32.8Z,2,REGULAR,substitution,out,[],201143,,,1610612755,61,64,2023-12-02T01:37:49Z,3080000,False,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,,,,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,
316,PT02M09.00S,2023-12-02T01:37:32.8Z,2,REGULAR,substitution,out,[],1630231,,,1610612755,61,64,2023-12-02T01:37:49Z,3090000,False,,,0,,SUB out: K. Martin,[1630231],1610612755.0,PHI,,,,,,,,,,Martin,K. Martin,,,,,,,,,,,,,,,,,,,
317,PT02M09.00S,2023-12-02T01:37:32.8Z,2,REGULAR,substitution,in,[],201950,,,1610612755,61,64,2023-12-02T01:37:49Z,3100000,False,,,0,,SUB in: J. Holiday,[201950],1610612738.0,BOS,,,,,,,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,
318,PT02M09.00S,2023-12-02T01:37:32.8Z,2,REGULAR,substitution,in,[],1630573,,,1610612755,61,64,2023-12-02T01:37:49Z,3110000,False,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,,,,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,
319,PT02M09.00S,2023-12-02T01:37:32.8Z,2,REGULAR,substitution,in,[],202699,,,1610612755,61,64,2023-12-02T01:37:49Z,3120000,False,,,0,,SUB in: T. Harris,[202699],1610612755.0,PHI,,,,,,,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,
320,PT02M09.00S,2023-12-02T01:37:30.4Z,2,REGULAR,freethrow,2 of 2,[],1629001,,,1610612755,61,64,2023-12-02T01:37:58Z,3130000,False,,,0,,MISS D. Melton Free Throw 2 of 2,[1629001],1610612755.0,PHI,,,,,,,,,,Melton,D. Melton,,,,Missed,,,,,,,,,,,,,,,
321,PT02M09.00S,2023-12-02T01:37:30.4Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,61,64,2023-12-02T01:37:58Z,3140000,False,,,0,,J. Tatum REBOUND (Off:0 Def:5),[1628369],1610612738.0,BOS,,,,,,,,,,Tatum,J. Tatum,,,,,,,,,320.0,5.0,5.0,0.0,,,,,,,
322,PT01M59.00S,2023-12-02T01:38:00.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,84.05059132720105,48.529411764705884,1610612738,63,64,2023-12-02T01:38:05Z,3150000,False,-7.0,97.0,1,right,J. Brown 9' fadeaway Jump Shot (8 PTS),[1627759],1610612738.0,BOS,fadeaway,,,,,,In The Paint (Non-RA),8-16 Center,,Brown,J. Brown,,,9.77,Made,8.0,,,,,,,,,,,,,,
323,PT01M32.00S,2023-12-02T01:38:27.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201976,18.084756898817346,49.01960784313725,1610612755,63,66,2023-12-02T01:38:31Z,3160000,False,5.0,117.0,1,left,P. Beverley 11' driving floating Jump Shot (13 PTS) (T. Harris 3 AST),"[201976, 202699]",1610612755.0,PHI,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,,Beverley,P. Beverley,,,11.76,Made,13.0,T. Harris,202699.0,3.0,,,,,,,,,,,
325,PT01M22.00S,2023-12-02T01:38:41.9Z,2,REGULAR,foul,personal,[],1629001,,,1610612738,63,66,2023-12-02T01:38:50Z,3180000,False,,,0,,D. Melton personal FOUL (2 PF),"[1629001, 1627759]",1610612755.0,PHI,,,,,,,In The Paint (Non-RA),8-16 Center,,Melton,D. Melton,,,,,,,,,,,,,,,202007.0,2.0,0.0,Brown,1627759.0
327,PT01M11.00S,2023-12-02T01:39:07.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628401,91.80354796320631,52.94117647058824,1610612738,65,66,2023-12-02T01:39:11Z,3200000,False,15.0,25.0,1,right,D. White driving Layup (12 PTS),[1628401],1610612738.0,BOS,driving,,,,,,Restricted Area,0-8 Center,,White,D. White,,,2.86,Made,12.0,,,,,,,,,,,,,,
328,PT01M11.00S,2023-12-02T01:39:11.8Z,2,REGULAR,foul,personal,"['inpenalty', '1freethrow']",202694,,,1610612738,65,66,2023-12-02T01:39:26Z,3210000,False,,,0,,M. Morris Sr. shooting personal FOUL (1 PF) (White 1 FT),"[202694, 1628401]",1610612755.0,PHI,shooting,,,,,,Restricted Area,0-8 Center,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,1627963.0,1.0,0.0,White,1628401.0
330,PT01M11.00S,2023-12-02T01:39:35.9Z,2,REGULAR,freethrow,1 of 1,[],1628401,,,1610612738,66,66,2023-12-02T01:39:35Z,3230000,False,,,0,,D. White Free Throw 1 of 1 (13 PTS),[1628401],1610612738.0,BOS,,,,,,,,,,White,D. White,,,,Made,13.0,,,,,,,,,,,,,,
331,PT01M00.00S,2023-12-02T01:39:52.0Z,2,REGULAR,turnover,traveling,[],202699,,,1610612755,66,66,2023-12-02T01:39:59Z,3240000,False,,,0,,T. Harris traveling TURNOVER (1 TO),[202699],1610612755.0,PHI,,,,,,,In The Paint (Non-RA),8-16 Center,1.0,Harris,T. Harris,,,,,,,,,,,,,,,202007.0,,,,
332,PT00M48.70S,2023-12-02T01:40:13.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201950,90.3580814717477,43.627450980392155,1610612738,66,66,2023-12-02T01:41:32Z,3250000,False,-32.0,38.0,1,right,MISS J. Holiday driving Layup,[201950],1610612738.0,BOS,driving,,,,,,In The Paint (Non-RA),0-8 Center,,Holiday,J. Holiday,,,4.97,Missed,,,,,,,,,,,,,,,
333,PT00M47.90S,2023-12-02T01:40:13.9Z,2,REGULAR,rebound,offensive,[],1628401,,,1610612738,66,66,2023-12-02T01:41:32Z,3260000,False,,,0,,D. White REBOUND (Off:1 Def:1),[1628401],1610612738.0,BOS,,,,,,,In The Paint (Non-RA),0-8 Center,,White,D. White,,,,,,,,,332.0,2.0,1.0,1.0,,,,,,,
338,PT00M46.70S,2023-12-02T01:40:16.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628401,93.77463863337714,47.30392156862745,1610612738,66,66,2023-12-02T01:40:57Z,3265000,False,-13.0,6.0,1,right,MISS D. White tip Layup,[1628401],1610612738.0,BOS,tip,,,,,,Restricted Area,0-8 Center,,White,D. White,,,1.48,Missed,,,,,,,,,,,,,,,
339,PT00M45.70S,2023-12-02T01:40:17.9Z,2,REGULAR,rebound,defensive,[],1629001,,,1610612755,66,66,2023-12-02T01:40:57Z,3267500,False,,,0,,D. Melton REBOUND (Off:1 Def:1),[1629001],1610612755.0,PHI,,,,,,,Restricted Area,0-8 Center,,Melton,D. Melton,,,,,,,,,338.0,2.0,1.0,1.0,,,,,,,
334,PT00M39.00S,2023-12-02T01:40:20.8Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1629001,29.6484888304862,85.7843137254902,1610612755,66,66,2023-12-02T01:42:02Z,3270000,False,-179.0,226.0,1,left,MISS D. Melton 28' running pullup 3PT,[1629001],1610612755.0,PHI,running pullup,,,,,,Above the Break 3,24+ Left Center,,Melton,D. Melton,,,28.84,Missed,,,,,,,,,,,,,,,
335,PT00M37.40S,2023-12-02T01:40:22.4Z,2,REGULAR,rebound,offensive,[],201976,,,1610612755,66,66,2023-12-02T01:40:22Z,3280000,False,,,0,,P. Beverley REBOUND (Off:1 Def:2),[201976],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Left Center,,Beverley,P. Beverley,,,,,,,,,334.0,3.0,2.0,1.0,,,,,,,
336,PT00M31.00S,2023-12-02T01:40:29.7Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],201976,24.392247043363994,93.87254901960785,1610612755,66,69,2023-12-02T01:42:19Z,3290000,False,-219.0,177.0,1,left,P. Beverley 28' 3PT step back (16 PTS),[201976],1610612755.0,PHI,step back,,,,,,Above the Break 3,24+ Left Center,,Beverley,P. Beverley,,,28.18,Made,16.0,,,,,,,,,,,,,,
337,PT00M11.50S,2023-12-02T01:40:51.5Z,2,REGULAR,3pt,Jump Shot,[],1628369,70.64717477003943,17.647058823529413,1610612738,69,69,2023-12-02T01:41:03Z,3300000,False,-162.0,223.0,1,right,J. Tatum 27' 3PT  (15 PTS) (D. White 2 AST),"[1628369, 1628401]",1610612738.0,BOS,,,,,,,Above the Break 3,24+ Left Center,,Tatum,J. Tatum,,,27.58,Made,15.0,D. White,1628401.0,2.0,,,,,,,,,,,
341,PT00M00.40S,2023-12-02T01:41:06.0Z,2,REGULAR,3pt,Jump Shot,[],202694,7.703679369250986,98.2843137254902,1610612755,69,72,2023-12-02T01:41:10Z,3320000,False,-241.0,20.0,1,left,M. Morris Sr. 24' 3PT  (8 PTS) (D. Melton 2 AST),"[202694, 1629001]",1610612755.0,PHI,,,,,,,Left Corner 3,24+ Left,,Morris Sr.,M. Morris Sr.,,,24.22,Made,8.0,D. Melton,1629001.0,2.0,,,,,,,,,,,
