actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
255,PT06M23.00S,2025-02-08T01:21:28.7Z,2,REGULAR,freethrow,1 of 2,[],1629661,,,1610612751,38,42,2025-02-08T01:21:28Z,2490000,False,,,0,,C. Johnson Free Throw 1 of 2 (7 PTS),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,,,,,,,,,Made,,,,,,,7.0,,,,,,
256,PT06M23.00S,2025-02-08T01:21:47.4Z,2,REGULAR,freethrow,2 of 2,[],1629661,,,1610612751,39,42,2025-02-08T01:21:47Z,2500000,False,,,0,,C. Johnson Free Throw 2 of 2 (8 PTS),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,,,,,,,,,Made,,,,,,,8.0,,,,,,
257,PT06M13.00S,2025-02-08T01:22:01.6Z,2,REGULAR,turnover,traveling,[],1629639,,,1610612748,39,42,2025-02-08T01:25:11Z,2510000,False,,,0,,T. Herro traveling TURNOVER (2 TO),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Left Center,202007.0,,,,,,,,,,,,,,,,,2.0,,
258,PT05M55.00S,2025-02-08T01:22:35.8Z,2,REGULAR,foul,offensive,[],1629651,,,1610612751,39,42,2025-02-08T01:25:28Z,2520000,False,,,0,,N. Claxton offensive FOUL (1 PF),"[1629651, 1628389]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,202007.0,1.0,0.0,Adebayo,1628389.0,,,,,,,,,,,,,,,
260,PT05M55.00S,2025-02-08T01:22:35.8Z,2,REGULAR,turnover,offensive foul,[],1629651,,,1610612751,39,42,2025-02-08T01:25:28Z,2540000,False,,,0,,N. Claxton offensive foul TURNOVER (1 TO),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,202007.0,,,,,,,,,,,,,,,,,1.0,,
261,PT05M50.00S,2025-02-08T01:23:18.0Z,2,REGULAR,foul,technical,['1freethrow'],1630570,,,1610612748,39,42,2025-02-08T01:25:52Z,2550000,False,,,0,,T. Watford technical FOUL (1 Tech),[1630570],1610612751.0,BKN,,,,Watford,T. Watford,,,,,Mid-Range,8-16 Left,202007.0,0.0,1.0,,,,,,,,,,,,,,,,,
262,PT05M50.00S,2025-02-08T01:23:45.6Z,2,REGULAR,freethrow,1 of 1,[],1626179,,,1610612748,39,43,2025-02-08T01:23:45Z,2560000,False,,,0,,T. Rozier technical Free Throw 1 of 1 (12 PTS),[1626179],1610612748.0,MIA,technical,,,Rozier,T. Rozier,,,,,,,,,,,,,Made,,,,,,,12.0,,,,,,
263,PT05M42.00S,2025-02-08T01:24:11.9Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1626179,7.88436268068331,95.81035539215686,1610612748,39,46,2025-02-08T01:26:17Z,2570000,False,-229.0,22.0,1,left,T. Rozier 3PT step back (15 PTS),[1626179],1610612748.0,MIA,step back,,,Rozier,T. Rozier,,,,,Left Corner 3,24+ Left,,,,,,23.01,Made,,,,,,,15.0,,,,,,
264,PT05M41.00S,2025-02-08T01:24:17.4Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,39,46,2025-02-08T01:24:20Z,2580000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,PT05M29.00S,2025-02-08T01:27:40.5Z,2,REGULAR,foul,personal,[],1628389,,,1610612751,39,46,2025-02-08T01:27:52Z,2590000,False,,,0,,B. Adebayo personal FOUL (1 PF),"[1628389, 1629651]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Right Center,2534.0,1.0,0.0,Claxton,1629651.0,,,,,,,,,,,,,,,
267,PT05M21.00S,2025-02-08T01:28:09.4Z,2,REGULAR,2pt,Jump Shot,[],1629661,81.15965834428384,73.0392156862745,1610612751,39,46,2025-02-08T01:28:55Z,2610000,False,115.0,125.0,1,right,MISS C. Johnson 16' pullup Shot,[1629661],1610612751.0,BKN,pullup,,,Johnson,C. Johnson,,,,,Mid-Range,16-24 Right Center,,,,,,16.97,Missed,,,,,,,,,,,,,
268,PT05M18.00S,2025-02-08T01:28:12.4Z,2,REGULAR,rebound,offensive,[],1630592,,,1610612751,39,46,2025-02-08T01:28:55Z,2620000,False,,,0,,J. Wilson REBOUND (Off:1 Def:0),[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,267.0,1.0,0.0,1.0,,,,,,,
269,PT05M17.00S,2025-02-08T01:28:14.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630592,92.9862023653088,54.65686274509803,1610612751,39,46,2025-02-08T01:29:30Z,2630000,False,23.0,13.0,1,right,MISS J. Wilson putback Layup,[1630592],1610612751.0,BKN,putback,,,Wilson,J. Wilson,,,,,Restricted Area,0-8 Center,,,,,,2.69,Missed,,,,,,,,,,,,,
270,PT05M16.00S,2025-02-08T01:28:15.1Z,2,REGULAR,rebound,offensive,[],1630592,,,1610612751,39,46,2025-02-08T01:29:30Z,2640000,False,,,0,,J. Wilson REBOUND (Off:2 Def:0),[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,Restricted Area,0-8 Center,,,,,,,,,,269.0,2.0,0.0,2.0,,,,,,,
271,PT05M16.00S,2025-02-08T01:28:16.5Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630592,94.40999984741211,50.0,1610612751,39,46,2025-02-08T01:29:45Z,2650000,False,0.0,0.0,1,right,MISS J. Wilson tip Layup,[1630592],1610612751.0,BKN,tip,,,Wilson,J. Wilson,,,,,Restricted Area,0-8 Center,,,,,,0.0,Missed,,,,,,,,,,,,,
272,PT05M12.00S,2025-02-08T01:28:20.5Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612751,39,46,2025-02-08T01:29:45Z,2660000,False,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,271.0,,,,,,,,,,
274,PT05M06.00S,2025-02-08T01:29:05.6Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1630553,90.75229960578186,94.85294117647058,1610612751,39,46,2025-02-08T01:30:31Z,2680000,False,224.0,34.0,1,right,MISS K. Johnson 3PT,[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,Right Corner 3,24+ Right,,,,,,22.69,Missed,,,,,,,,,,,,,
275,PT05M02.00S,2025-02-08T01:29:09.6Z,2,REGULAR,rebound,defensive,[],1628389,,,1610612748,39,46,2025-02-08T01:30:31Z,2690000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:3),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Right Corner 3,24+ Right,,,,,,,,,,274.0,3.0,3.0,0.0,,,,,,,
276,PT04M52.00S,2025-02-08T01:29:17.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629639,12.302890932982917,44.36274509803921,1610612748,39,46,2025-02-08T01:31:06Z,2700000,False,28.0,63.0,1,left,MISS T. Herro 6' driving finger roll Layup - blocked,"[1629639, 1629651]",1610612748.0,MIA,driving finger roll,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.91,Missed,Claxton,1629651.0,,,,,,,,,,,
277,PT04M52.00S,2025-02-08T01:29:17.5Z,2,REGULAR,block,,[],1629651,,,1610612748,39,46,2025-02-08T01:29:19Z,2710000,False,,,0,,N. Claxton BLOCK (2 BLK),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
278,PT04M51.00S,2025-02-08T01:29:18.5Z,2,REGULAR,rebound,defensive,[],1629661,,,1610612751,39,46,2025-02-08T01:31:06Z,2720000,False,,,0,,C. Johnson REBOUND (Off:2 Def:1),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,276.0,3.0,1.0,2.0,,,,,,,
280,PT04M34.00S,2025-02-08T01:29:58.6Z,2,REGULAR,3pt,Jump Shot,[],1629661,72.35545335085413,12.5,1610612751,39,46,2025-02-08T01:31:28Z,2740000,False,-188.0,207.0,1,right,MISS C. Johnson 27' 3PT,[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Left Center,,,,,,27.96,Missed,,,,,,,,,,,,,
281,PT04M32.00S,2025-02-08T01:30:00.6Z,2,REGULAR,rebound,defensive,[],1628389,,,1610612748,39,46,2025-02-08T01:31:28Z,2750000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:4),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,280.0,4.0,4.0,0.0,,,,,,,
282,PT04M16.00S,2025-02-08T01:30:14.8Z,2,REGULAR,turnover,bad pass,[],1629639,,,1610612748,39,46,2025-02-08T01:31:43Z,2760000,False,,,0,,T. Herro bad pass TURNOVER (3 TO),"[1629639, 1629651]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,3.0,Claxton,1629651.0
283,PT04M16.00S,2025-02-08T01:30:14.8Z,2,REGULAR,steal,,[],1629651,,,1610612751,39,46,2025-02-08T01:30:16Z,2770000,False,,,0,,N. Claxton STEAL (1 STL),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
284,PT04M15.00S,2025-02-08T01:30:17.6Z,2,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629651,88.17345597897503,53.49264705882353,1610612751,41,46,2025-02-08T01:31:57Z,2780000,False,17.0,59.0,1,right,N. Claxton 6' running DUNK (4 PTS),[1629651],1610612751.0,BKN,running,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.13,Made,,,,,,,4.0,,,,,,
285,PT03M58.00S,2025-02-08T01:30:34.0Z,2,REGULAR,3pt,Jump Shot,[],1631107,6.1268068331143235,94.6078431372549,1610612748,41,49,2025-02-08T01:32:09Z,2790000,False,-223.0,5.0,1,left,N. Jović 3PT  (6 PTS) (P. Larsson 1 AST),"[1631107, 1641796]",1610612748.0,MIA,,,,Jović,N. Jović,,,,,Left Corner 3,24+ Left,,,,,,22.31,Made,,,,,,,6.0,P. Larsson,1641796.0,1.0,,,
287,PT03M31.00S,2025-02-08T01:31:00.4Z,2,REGULAR,2pt,Jump Shot,[],1630553,92.11563731931669,24.977022058823522,1610612751,43,49,2025-02-08T01:32:31Z,2810000,False,-125.0,22.0,1,right,K. Johnson 12' turnaround fadeaway Jump Shot (2 PTS),[1630553],1610612751.0,BKN,turnaround fadeaway,,,Johnson,K. Johnson,,,,,Mid-Range,8-16 Left,,,,,,12.7,Made,,,,,,,2.0,,,,,,
288,PT03M23.00S,2025-02-08T01:31:10.3Z,2,REGULAR,foul,personal,['2freethrow'],1630553,,,1610612748,43,49,2025-02-08T01:32:45Z,2820000,False,,,0,,K. Johnson shooting personal FOUL (1 PF) (Rozier 2 FT),"[1630553, 1626179]",1610612751.0,BKN,shooting,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),8-16 Center,2534.0,1.0,1.0,Rozier,1626179.0,,,,,,,,,,,,,,,
290,PT03M23.00S,2025-02-08T01:31:42.5Z,2,REGULAR,freethrow,1 of 2,[],1626179,,,1610612748,43,50,2025-02-08T01:31:42Z,2840000,False,,,0,,T. Rozier Free Throw 1 of 2 (16 PTS),[1626179],1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,,,,,,,,,Made,,,,,,,16.0,,,,,,
291,PT03M23.00S,2025-02-08T01:31:43.2Z,2,REGULAR,substitution,out,[],1630570,,,1610612748,43,50,2025-02-08T01:31:47Z,2850000,False,,,0,,SUB out: T. Watford,[1630570],1610612751.0,BKN,,,,Watford,T. Watford,,,,,,,,,,,,,,,,,,,,,,,,,,
292,PT03M23.00S,2025-02-08T01:31:43.2Z,2,REGULAR,substitution,out,[],1630592,,,1610612748,43,50,2025-02-08T01:31:47Z,2860000,False,,,0,,SUB out: J. Wilson,[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,
293,PT03M23.00S,2025-02-08T01:31:43.2Z,2,REGULAR,substitution,in,[],1626156,,,1610612748,43,50,2025-02-08T01:31:47Z,2870000,False,,,0,,SUB in: D. Russell,[1626156],1610612751.0,BKN,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,,
294,PT03M23.00S,2025-02-08T01:31:43.2Z,2,REGULAR,substitution,in,[],1630533,,,1610612748,43,50,2025-02-08T01:31:47Z,2880000,False,,,0,,SUB in: Z. Williams,[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
295,PT03M23.00S,2025-02-08T01:32:03.7Z,2,REGULAR,freethrow,2 of 2,[],1626179,,,1610612748,43,51,2025-02-08T01:32:03Z,2890000,False,,,0,,T. Rozier Free Throw 2 of 2 (17 PTS),[1626179],1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,,,,,,,,,Made,,,,,,,17.0,,,,,,
296,PT03M12.00S,2025-02-08T01:32:17.9Z,2,REGULAR,turnover,bad pass,[],1626156,,,1610612751,43,51,2025-02-08T01:33:13Z,2900000,False,,,0,,D. Russell bad pass TURNOVER (2 TO),"[1626156, 1629639]",1610612751.0,BKN,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,2.0,Herro,1629639.0
297,PT03M12.00S,2025-02-08T01:32:17.9Z,2,REGULAR,steal,,[],1629639,,,1610612748,43,51,2025-02-08T01:32:19Z,2910000,False,,,0,,T. Herro STEAL (1 STL),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
298,PT02M58.00S,2025-02-08T01:32:33.2Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1631107,29.09001314060447,19.85294117647058,1610612748,43,51,2025-02-08T01:33:39Z,2920000,False,151.0,221.0,1,left,MISS N. Jović 26' 3PT,[1631107],1610612748.0,MIA,,,,Jović,N. Jović,,,,,Above the Break 3,24+ Right Center,,,,,,26.74,Missed,,,,,,,,,,,,,
299,PT02M55.00S,2025-02-08T01:32:36.2Z,2,REGULAR,rebound,defensive,[],1630553,,,1610612751,43,51,2025-02-08T01:33:39Z,2930000,False,,,0,,K. Johnson REBOUND (Off:1 Def:1),[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,298.0,2.0,1.0,1.0,,,,,,,
300,PT02M53.00S,2025-02-08T01:32:38.6Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1630533,74.32654402102497,85.7843137254902,1610612751,43,51,2025-02-08T01:33:52Z,2940000,False,179.0,189.0,1,right,MISS Z. Williams 26' running 3PT,[1630533],1610612751.0,BKN,running,,,Williams,Z. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,26.01,Missed,,,,,,,,,,,,,
301,PT02M50.00S,2025-02-08T01:32:41.6Z,2,REGULAR,rebound,defensive,[],1631107,,,1610612748,43,51,2025-02-08T01:33:52Z,2950000,False,,,0,,N. Jović REBOUND (Off:0 Def:1),[1631107],1610612748.0,MIA,,,,Jović,N. Jović,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,300.0,1.0,1.0,0.0,,,,,,,
302,PT02M42.00S,2025-02-08T01:32:49.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,11.432325886990796,62.002144607843135,1610612748,43,51,2025-02-08T01:34:49Z,2960000,False,-60.0,55.0,1,left,MISS T. Rozier 8' driving finger roll Layup,[1626179],1610612748.0,MIA,driving finger roll,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),8-16 Left,,,,,,8.14,Missed,,,,,,,,,,,,,
304,PT02M40.00S,2025-02-08T01:32:51.7Z,2,REGULAR,rebound,offensive,[],1628389,,,1610612748,43,51,2025-02-08T01:34:49Z,2980000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:4),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,302.0,5.0,4.0,1.0,,,,,,,
305,PT02M34.00S,2025-02-08T01:32:55.8Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628389,17.821944809461236,54.90196078431373,1610612748,43,51,2025-02-08T01:35:24Z,2990000,False,-25.0,115.0,1,left,MISS B. Adebayo 11' floating Shot,[1628389],1610612748.0,MIA,floating,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,,,,,,11.76,Missed,,,,,,,,,,,,,
306,PT02M30.00S,2025-02-08T01:32:59.8Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612751,43,51,2025-02-08T01:35:24Z,3000000,False,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,305.0,,,,,,,,,,
308,PT02M16.00S,2025-02-08T01:33:24.1Z,2,REGULAR,3pt,Jump Shot,[],1630533,96.05781865965834,4.388786764705884,1610612751,46,51,2025-02-08T01:35:35Z,3020000,False,-228.0,-15.0,1,right,Z. Williams 3PT  (6 PTS) (C. Johnson 1 AST),"[1630533, 1629661]",1610612751.0,BKN,,,,Williams,Z. Williams,,,,,Left Corner 3,24+ Left,,,,,,22.86,Made,,,,,,,6.0,C. Johnson,1629661.0,1.0,,,
310,PT01M52.00S,2025-02-08T01:33:48.2Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'defensivegoaltending']",1631107,14.323258869908017,51.895680147058826,1610612748,46,53,2025-02-08T01:38:15Z,3040000,False,-9.0,82.0,1,left,N. Jović 8' turnaround Jump Shot (8 PTS),[1631107],1610612748.0,MIA,turnaround,,,Jović,N. Jović,,,,,In The Paint (Non-RA),8-16 Center,,,,,,8.26,Made,,,,,,,8.0,,,,,,
311,PT01M52.00S,2025-02-08T01:33:53.1Z,2,REGULAR,violation,defensive goaltending,[],1629651,,,1610612748,46,53,2025-02-08T01:34:01Z,3050000,False,,,0,,N. Claxton defensive goaltending VIOLATION,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,2534.0,,,,,,,,,,,,,,,,,,,
312,PT01M32.00S,2025-02-08T01:34:21.6Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1641796,,,1610612751,46,53,2025-02-08T01:36:44Z,3060000,False,,,0,,P. Larsson shooting personal FOUL (3 PF) (Johnson 2 FT),"[1641796, 1630553]",1610612748.0,MIA,shooting,,,Larsson,P. Larsson,,,,,In The Paint (Non-RA),0-8 Center,2534.0,3.0,0.0,Johnson,1630553.0,,,,,,,,,,,,,,,
314,PT01M32.00S,2025-02-08T01:34:56.9Z,2,REGULAR,freethrow,1 of 2,[],1630553,,,1610612751,47,53,2025-02-08T01:37:59Z,3080000,False,,,0,,K. Johnson Free Throw 1 of 2 (3 PTS),[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,,,,,,,,,Made,,,,,,,3.0,,,,,,
317,PT01M32.00S,2025-02-08T01:34:56.9Z,2,REGULAR,freethrow,2 of 2,[],1630553,,,1610612751,48,53,2025-02-08T01:37:59Z,3085000,False,,,0,,K. Johnson Free Throw 2 of 2 (4 PTS),[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,,,,,,,,,Made,,,,,,,4.0,,,,,,
315,PT01M32.00S,2025-02-08T01:34:58.3Z,2,REGULAR,substitution,out,[],1641796,,,1610612748,48,53,2025-02-08T01:37:59Z,3090000,False,,,0,,SUB out: P. Larsson,[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,,,,,,,,,,,,,,,,,,,,,,
316,PT01M32.00S,2025-02-08T01:34:58.3Z,2,REGULAR,substitution,in,[],1629312,,,1610612748,48,53,2025-02-08T01:37:59Z,3100000,False,,,0,,SUB in: H. Highsmith,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,,,,,,,,,,,,,,,,,,,,,
318,PT01M15.00S,2025-02-08T01:35:38.4Z,2,REGULAR,3pt,Jump Shot,[],1626179,26.62614980289093,16.42156862745098,1610612748,48,53,2025-02-08T01:37:52Z,3105000,False,168.0,198.0,1,left,MISS T. Rozier 25' step back 3PT,[1626179],1610612748.0,MIA,step back,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Right Center,,,,,,25.95,Missed,,,,,,,,,,,,,
319,PT01M12.00S,2025-02-08T01:35:41.4Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612748,48,53,2025-02-08T01:37:52Z,3107500,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,318.0,,,,,,,,,,
321,PT01M03.00S,2025-02-08T01:36:34.1Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1629312,5.206964520367937,95.34313725490196,1610612748,48,53,2025-02-08T01:39:02Z,3150000,False,-227.0,-4.0,1,left,MISS H. Highsmith 3PT,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Left Corner 3,24+ Left,,,,,,22.67,Missed,,,,,,,,,,,,,
322,PT01M00.00S,2025-02-08T01:36:36.7Z,2,REGULAR,rebound,defensive,[],1630553,,,1610612751,48,53,2025-02-08T01:39:02Z,3160000,False,,,0,,K. Johnson REBOUND (Off:1 Def:2),[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,Left Corner 3,24+ Left,,,,,,,,,,321.0,3.0,2.0,1.0,,,,,,,
323,PT00M55.60S,2025-02-08T01:36:41.0Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630553,88.5676741130092,43.38618259803921,1610612751,50,53,2025-02-08T01:39:19Z,3170000,False,-33.0,55.0,1,right,K. Johnson 6' running finger roll Layup (6 PTS),[1630553],1610612751.0,BKN,running finger roll,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.42,Made,,,,,,,6.0,,,,,,
324,PT00M44.10S,2025-02-08T01:36:56.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,16.797388304862025,50.65104166666667,1610612748,50,53,2025-02-08T01:40:17Z,3180000,False,-3.0,105.0,1,left,MISS B. Adebayo 10' floating Shot,[1628389],1610612748.0,MIA,floating,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,,,,,,10.55,Missed,,,,,,,,,,,,,
325,PT00M42.00S,2025-02-08T01:36:59.0Z,2,REGULAR,rebound,defensive,[],1630533,,,1610612751,50,53,2025-02-08T01:40:17Z,3190000,False,,,0,,Z. Williams REBOUND (Off:1 Def:4),[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,324.0,5.0,4.0,1.0,,,,,,,
326,PT00M35.90S,2025-02-08T01:37:03.9Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629661,90.80157687253613,51.10294117647059,1610612751,52,53,2025-02-08T01:40:44Z,3200000,False,6.0,34.0,1,right,C. Johnson running reverse Layup (10 PTS) (K. Johnson 1 AST),"[1629661, 1630553]",1610612751.0,BKN,running reverse,,,Johnson,C. Johnson,,,,,Restricted Area,0-8 Center,,,,,,3.44,Made,,,,,,,10.0,K. Johnson,1630553.0,1.0,,,
328,PT00M22.20S,2025-02-08T01:37:20.3Z,2,REGULAR,3pt,Jump Shot,[],1631107,7.86177726675426,3.653492647058826,1610612748,52,53,2025-02-08T01:41:08Z,3220000,False,232.0,21.0,1,left,MISS N. Jović 3PT,[1631107],1610612748.0,MIA,,,,Jović,N. Jović,,,,,Right Corner 3,24+ Right,,,,,,23.27,Missed,,,,,,,,,,,,,
329,PT00M18.90S,2025-02-08T01:37:23.6Z,2,REGULAR,rebound,defensive,[],1626156,,,1610612751,52,53,2025-02-08T01:41:08Z,3230000,False,,,0,,D. Russell REBOUND (Off:0 Def:1),[1626156],1610612751.0,BKN,,,,Russell,D. Russell,,,,,Right Corner 3,24+ Right,,,,,,,,,,328.0,1.0,1.0,0.0,,,,,,,
330,PT00M07.00S,2025-02-08T01:37:37.3Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629639,,,1610612751,52,53,2025-02-08T01:53:50Z,3240000,False,,,0,,T. Herro personal FOUL (1 PF) (Johnson 2 FT),"[1629639, 1629661]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,202007.0,1.0,0.0,Johnson,1629661.0,,,,,,,,,,,,,,,
332,PT00M07.00S,2025-02-08T01:38:11.7Z,2,REGULAR,freethrow,1 of 2,[],1629661,,,1610612751,52,53,2025-02-08T01:38:11Z,3260000,False,,,0,,MISS C. Johnson Free Throw 1 of 2,[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,,,,,,,,,Missed,,,,,,,,,,,,,
333,PT00M07.00S,2025-02-08T01:38:11.7Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612751,52,53,2025-02-08T01:38:11Z,3270000,False,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,332.0,,,,,,,,,,
334,PT00M07.00S,2025-02-08T01:38:12.3Z,2,REGULAR,substitution,out,[],1626156,,,1610612751,52,53,2025-02-08T01:38:25Z,3280000,False,,,0,,SUB out: D. Russell,[1626156],1610612751.0,BKN,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,,
335,PT00M07.00S,2025-02-08T01:38:12.3Z,2,REGULAR,substitution,out,[],1629312,,,1610612751,52,53,2025-02-08T01:38:25Z,3290000,False,,,0,,SUB out: H. Highsmith,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,,,,,,,,,,,,,,,,,,,,,
336,PT00M07.00S,2025-02-08T01:38:12.3Z,2,REGULAR,substitution,in,[],1641787,,,1610612751,52,53,2025-02-08T01:38:25Z,3300000,False,,,0,,SUB in: T. Evbuomwan,[1641787],1610612751.0,BKN,,,,Evbuomwan,T. Evbuomwan,,,,,,,,,,,,,,,,,,,,,,,,,,
337,PT00M07.00S,2025-02-08T01:38:12.3Z,2,REGULAR,substitution,in,[],1629130,,,1610612751,52,53,2025-02-08T01:38:25Z,3310000,False,,,0,,SUB in: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
