actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
66,PT07M23.00S,2022-12-30T01:20:07.6Z,1,REGULAR,3pt,Jump Shot,[],1629656,28.597240473061763,75.73529411764706,1610612752,10,9,2022-12-30T01:20:12Z,660000,False,-129.0,216.0,1,left,MISS Q. Grimes 25' 3PT,[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Left Center,,,,25.17,Missed,,,,,,,,,,,,,,,
67,PT07M20.00S,2022-12-30T01:20:10.6Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,10,9,2022-12-30T01:20:12Z,670000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:4),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Above the Break 3,24+ Left Center,,,,,,66.0,4.0,4.0,0.0,,,,,,,,,,,
68,PT07M10.00S,2022-12-30T01:20:20.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629641,84.05059132720105,39.950980392156865,1610612759,10,9,2022-12-30T01:20:27Z,680000,False,-50.0,97.0,1,right,MISS R. Langford 10' floating Shot,[1629641],1610612759.0,SAS,floating,,,Langford,R. Langford,,,,,In The Paint (Non-RA),8-16 Center,,,,10.96,Missed,,,,,,,,,,,,,,,
69,PT07M04.00S,2022-12-30T01:20:26.3Z,1,REGULAR,rebound,offensive,[],1629641,,,1610612759,10,9,2022-12-30T01:20:27Z,690000,False,,,0,,R. Langford REBOUND (Off:2 Def:0),[1629641],1610612759.0,SAS,,,,Langford,R. Langford,,,,,In The Paint (Non-RA),8-16 Center,,,,,,68.0,2.0,0.0,2.0,,,,,,,,,,,
70,PT07M04.00S,2022-12-30T01:20:26.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629641,94.40999984741211,50.0,1610612759,12,9,2022-12-30T01:20:26Z,700000,False,0.0,0.0,1,right,R. Langford tip Layup (6 PTS),[1629641],1610612759.0,SAS,tip,,,Langford,R. Langford,,,,,Mid-Range,8-16 Left,,,,0.0,Made,,,,,,,,,,,,6.0,,,
71,PT06M49.00S,2022-12-30T01:20:41.3Z,1,REGULAR,3pt,Jump Shot,[],1630193,28.465834428383708,77.45098039215686,1610612752,12,12,2022-12-30T01:20:46Z,710000,False,-137.0,215.0,1,left,I. Quickley 25' 3PT  (10 PTS) (J. Randle 1 AST),"[1630193, 203944]",1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Left Center,,,,25.52,Made,,,,,,,,,,,,10.0,J. Randle,203944.0,1.0
73,PT06M37.00S,2022-12-30T01:20:56.9Z,1,REGULAR,foul,personal,['2freethrow'],1630193,,,1610612759,12,12,2022-12-30T01:21:20Z,730000,False,,,0,,I. Quickley shooting personal FOUL (1 PF) (Jones 2 FT),"[1630193, 1630200]",1610612752.0,NYK,shooting,,,Quickley,I. Quickley,,,,,Mid-Range,8-16 Right,,,,,,,,,,1830.0,1.0,0.0,Jones,1630200.0,,,,,,
75,PT06M37.00S,2022-12-30T01:21:21.8Z,1,REGULAR,freethrow,1 of 2,[],1630200,,,1610612759,12,12,2022-12-30T01:21:21Z,750000,False,,,0,,MISS T. Jones Free Throw 1 of 2,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
76,PT06M37.00S,2022-12-30T01:21:21.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612759,12,12,2022-12-30T01:21:21Z,760000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,
77,PT06M37.00S,2022-12-30T01:21:46.1Z,1,REGULAR,freethrow,2 of 2,[],1630200,,,1610612759,13,12,2022-12-30T01:21:46Z,770000,False,,,0,,T. Jones Free Throw 2 of 2 (3 PTS),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,Made,,,,,,,,,,,,3.0,,,
78,PT06M29.00S,2022-12-30T01:21:54.7Z,1,REGULAR,3pt,Jump Shot,[],203944,30.042706964520367,74.26470588235294,1610612752,13,15,2022-12-30T01:22:00Z,780000,False,-121.0,230.0,1,left,J. Randle 25' 3PT  (3 PTS) (I. Quickley 1 AST),"[203944, 1630193]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,,,,25.99,Made,,,,,,,,,,,,3.0,I. Quickley,1630193.0,1.0
80,PT06M09.00S,2022-12-30T01:22:15.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,94.43166885676742,51.71568627450981,1610612759,15,15,2022-12-30T01:22:22Z,800000,False,9.0,0.0,1,right,J. Poeltl reverse Layup (2 PTS) (R. Langford 1 AST),"[1627751, 1629641]",1610612759.0,SAS,reverse,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,0.86,Made,,,,,,,,,,,,2.0,R. Langford,1629641.0,1.0
82,PT05M56.00S,2022-12-30T01:22:27.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,17.821944809461236,59.31372549019608,1610612752,15,17,2022-12-30T01:22:36Z,820000,False,-47.0,115.0,1,left,J. Randle 12' turnaround fadeaway Jump Shot (5 PTS),[203944],1610612752.0,NYK,turnaround fadeaway,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Center,,,,12.41,Made,,,,,,,,,,,,5.0,,,
83,PT05M38.00S,2022-12-30T01:22:44.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,94.03745072273325,50.98039215686274,1610612759,17,17,2022-12-30T01:22:49Z,830000,False,5.0,4.0,1,right,J. Poeltl driving finger roll Layup (4 PTS) (T. Jones 3 AST),"[1627751, 1630200]",1610612759.0,SAS,driving finger roll,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,0.6,Made,,,,,,,,,,,,4.0,T. Jones,1630200.0,3.0
