actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
263,PT02M41.00S,2022-01-20T00:58:30.1Z,2,REGULAR,3pt,Jump Shot,[],202699,32.90078843626807,65.19607843137254,1610612755,47,48,2022-01-20T00:58:35Z,2620000,-76.0,257.0,1,left,T. Harris 26' 3PT step back (9 PTS),[202699],1610612755.0,PHI,step back,,,Harris,T. Harris,,,,,26.78,Made,,,,,9.0,,,,,,,,,,,,,,
264,PT02M29.00S,2022-01-20T00:58:41.2Z,2,REGULAR,3pt,Jump Shot,[],1628964,67.19776609724047,47.05882352941176,1610612753,47,51,2022-01-20T00:58:47Z,2630000,-15.0,256.0,1,right,M. Bamba 25' 3PT  (25 PTS) (J. Suggs 1 AST),"[1628964, 1630591]",1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,25.62,Made,,,,,25.0,,,,,,J. Suggs,1630591.0,1.0,,,,,,
266,PT02M11.00S,2022-01-20T00:59:00.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,15.292378449408673,50.245098039215684,1610612755,47,51,2022-01-20T00:59:05Z,2650000,-1.0,91.0,1,left,MISS T. Harris 9' floating Shot - blocked,"[202699, 1628964]",1610612755.0,PHI,floating,,,Harris,T. Harris,,,,,9.12,Missed,,,,,,Bamba,1628964.0,,,,,,,,,,,,
267,PT02M11.00S,2022-01-20T00:59:00.1Z,2,REGULAR,block,,[],1628964,,,1610612755,47,51,2022-01-20T00:59:03Z,2660000,,,0,,M. Bamba BLOCK (1 BLK),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,
268,PT02M08.00S,2022-01-20T00:59:03.1Z,2,REGULAR,rebound,defensive,[],1630591,,,1610612753,47,51,2022-01-20T00:59:05Z,2670000,,,0,,J. Suggs REBOUND (Off:0 Def:3),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,266.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
269,PT01M57.00S,2022-01-20T00:59:16.7Z,2,REGULAR,foul,personal,['2freethrow'],202699,,,1610612753,47,51,2022-01-20T00:59:23Z,2680000,,,0,,T. Harris shooting personal FOUL (1 PF) (Suggs 2 FT),"[202699, 1630591]",1610612755.0,PHI,shooting,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,1628954.0,1.0,0.0,Suggs,1630591.0,
271,PT01M57.00S,2022-01-20T00:59:42.9Z,2,REGULAR,freethrow,1 of 2,[],1630591,,,1610612753,47,52,2022-01-20T01:00:02Z,2700000,,,0,,J. Suggs Free Throw 1 of 2 (5 PTS),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,Made,,,,,5.0,,,,,,,,,,,,,,
272,PT01M57.00S,2022-01-20T00:59:42.9Z,2,REGULAR,freethrow,2 of 2,[],1630591,,,1610612753,47,52,2022-01-20T01:00:02Z,2710000,,,0,,MISS J. Suggs Free Throw 2 of 2,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,Missed,,,,,,,,,,,,,,,,,,,
273,PT01M54.00S,2022-01-20T00:59:45.9Z,2,REGULAR,rebound,defensive,[],203083,,,1610612755,47,52,2022-01-20T01:00:02Z,2720000,,,0,,A. Drummond REBOUND (Off:0 Def:2),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,272.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
275,PT01M38.00S,2022-01-20T01:00:34.3Z,2,REGULAR,2pt,Jump Shot,[],202699,28.170170827858072,44.85294117647059,1610612755,47,52,2022-01-20T01:01:51Z,2740000,26.0,212.0,1,left,MISS T. Harris 21' pullup Shot - blocked,"[202699, 1628964]",1610612755.0,PHI,pullup,,,Harris,T. Harris,,,,,21.38,Missed,,,,,,Bamba,1628964.0,,,,,,,,,,,,
276,PT01M38.00S,2022-01-20T01:00:34.3Z,2,REGULAR,block,,[],1628964,,,1610612755,47,52,2022-01-20T01:00:39Z,2750000,,,0,,M. Bamba BLOCK (2 BLK),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,
277,PT01M37.00S,2022-01-20T01:00:35.3Z,2,REGULAR,rebound,defensive,[],1630591,,,1610612753,47,52,2022-01-20T01:01:51Z,2760000,,,0,,J. Suggs REBOUND (Off:0 Def:4),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,275.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
278,PT01M28.00S,2022-01-20T01:00:44.1Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1630532,90.71944809461235,51.22549019607843,1610612753,47,54,2022-01-20T01:06:07Z,2770000,6.0,35.0,1,right,F. Wagner running DUNK (7 PTS) (G. Harris 1 AST),"[1630532, 203914]",1610612753.0,ORL,running,,,Wagner,F. Wagner,,,,,3.52,Made,,,,,7.0,,,,,,G. Harris,203914.0,1.0,,,,,,
280,PT01M07.00S,2022-01-20T01:00:48.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629718,9.641918528252305,56.61764705882353,1610612755,47,54,2022-01-20T01:01:03Z,2790000,-33.0,38.0,1,left,MISS C. Brown Jr. Layup - blocked,"[1629718, 1628964]",1610612755.0,PHI,,,,Brown Jr.,C. Brown Jr.,,,,,5.05,Missed,,,,,,Bamba,1628964.0,,,,,,,,,,,,
281,PT01M07.00S,2022-01-20T01:00:48.4Z,2,REGULAR,block,,[],1628964,,,1610612755,47,54,2022-01-20T01:00:52Z,2800000,,,0,,M. Bamba BLOCK (3 BLK),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,
282,PT01M07.00S,2022-01-20T01:00:48.4Z,2,REGULAR,rebound,defensive,[],1630532,,,1610612753,47,54,2022-01-20T01:01:03Z,2810000,,,0,,F. Wagner REBOUND (Off:1 Def:8),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,280.0,9.0,8.0,1.0,,,,,,,,,,,,,,,
283,PT01M00.00S,2022-01-20T01:00:55.7Z,2,REGULAR,turnover,bad pass,[],1630175,,,1610612753,47,54,2022-01-20T01:01:06Z,2820000,,,0,,C. Anthony bad pass TURNOVER (2 TO),"[1630175, 203083]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,2.0,Drummond,203083.0,,,,,,,,,
284,PT01M00.00S,2022-01-20T01:00:55.7Z,2,REGULAR,steal,,[],203083,,,1610612755,47,54,2022-01-20T01:00:57Z,2830000,,,0,,A. Drummond STEAL (1 STL),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,
285,PT01M00.00S,2022-01-20T01:00:59.4Z,2,REGULAR,turnover,out-of-bounds,[],203083,,,1610612755,47,54,2022-01-20T01:01:11Z,2840000,,,0,,A. Drummond bad pass out-of-bounds TURNOVER (3 TO),[203083],1610612755.0,PHI,bad pass,,,Drummond,A. Drummond,,,,,,,,,,,,,,3.0,,,,,,1626302.0,,,,,
286,PT01M00.00S,2022-01-20T01:01:06.7Z,2,REGULAR,substitution,out,[],1629718,,,1610612753,47,54,2022-01-20T01:01:09Z,2850000,,,0,,SUB out: C. Brown Jr.,[1629718],1610612755.0,PHI,,,,Brown Jr.,C. Brown Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
287,PT01M00.00S,2022-01-20T01:01:06.7Z,2,REGULAR,substitution,in,[],1627788,,,1610612753,47,54,2022-01-20T01:01:09Z,2860000,,,0,,SUB in: F. Korkmaz,[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,,,,,,,,
288,PT01M00.00S,2022-01-20T01:01:29.2Z,2,REGULAR,timeout,full,['team'],0,,,1610612753,47,54,2022-01-20T01:01:29Z,2870000,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,PT00M51.00S,2022-01-20T01:02:59.3Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1628964,67.7233902759527,48.774509803921575,1610612753,47,57,2022-01-20T01:03:03Z,2880000,-6.0,251.0,1,right,M. Bamba 25' 3PT  (28 PTS) (C. Anthony 5 AST),"[1628964, 1630175]",1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,25.1,Made,,,,,28.0,,,,,,C. Anthony,1630175.0,5.0,,,,,,
291,PT00M28.00S,2022-01-20T01:03:30.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203083,6.4881734559789805,47.79411764705882,1610612755,47,57,2022-01-20T01:03:36Z,2900000,11.0,8.0,1,left,MISS A. Drummond driving reverse Layup,[203083],1610612755.0,PHI,driving reverse,,,Drummond,A. Drummond,,,,,1.39,Missed,,,,,,,,,,,,,,,,,,,
292,PT00M25.40S,2022-01-20T01:03:33.3Z,2,REGULAR,rebound,defensive,[],1630532,,,1610612753,47,57,2022-01-20T01:03:36Z,2910000,,,0,,F. Wagner REBOUND (Off:1 Def:9),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,291.0,10.0,9.0,1.0,,,,,,,,,,,,,,,
293,PT00M04.50S,2022-01-20T01:03:54.2Z,2,REGULAR,3pt,Jump Shot,[],1630175,66.93495400788436,36.029411764705884,1610612753,47,57,2022-01-20T01:03:59Z,2920000,-70.0,258.0,1,right,MISS C. Anthony 26' pullup 3PT,[1630175],1610612753.0,ORL,pullup,,,Anthony,C. Anthony,,,,,26.76,Missed,,,,,,,,,,,,,,,,,,,
294,PT00M00.70S,2022-01-20T01:03:58.0Z,2,REGULAR,rebound,offensive,[],1630591,,,1610612753,47,57,2022-01-20T01:06:26Z,2930000,,,0,,J. Suggs REBOUND (Off:1 Def:4),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,293.0,5.0,4.0,1.0,,,,,,,,,,,,,,,
295,PT00M00.60S,2022-01-20T01:03:59.5Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],1630591,97.42115637319317,85.29411764705883,1610612753,47,57,2022-01-20T01:06:09Z,2940000,176.0,-28.0,1,right,MISS J. Suggs 17' pullup Shot,[1630591],1610612753.0,ORL,pullup,,,Suggs,J. Suggs,,,,,17.88,Missed,,,,,,,,,,,,,,,,,,,
296,PT00M00.60S,2022-01-20T01:03:59.5Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612753,47,57,2022-01-20T01:06:09Z,2950000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,295.0,,,,,,,,,,,,,,,,,,
297,PT00M00.00S,2022-01-20T01:04:03.4Z,2,REGULAR,period,end,[],0,,,1610612753,47,57,2022-01-20T01:04:03Z,2960000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,PT12M00.00S,2022-01-20T01:10:50.9Z,3,REGULAR,substitution,out,['startperiod'],203083,,,1610612753,47,57,2022-01-20T01:19:00Z,2970000,,,0,,SUB out: A. Drummond,[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,
299,PT12M00.00S,2022-01-20T01:10:50.9Z,3,REGULAR,substitution,in,['startperiod'],203954,,,1610612753,47,57,2022-01-20T01:19:00Z,2980000,,,0,,SUB in: J. Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,
300,PT12M00.00S,2022-01-20T01:19:30.7Z,3,REGULAR,period,start,[],0,,,1610612753,47,57,2022-01-20T01:19:30Z,2990000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,PT11M35.00S,2022-01-20T01:19:55.1Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630175,18.446123521681997,48.0392156862745,1610612753,47,57,2022-01-20T01:20:00Z,3000000,10.0,121.0,1,left,MISS C. Anthony 12' driving floating Shot,[1630175],1610612753.0,ORL,driving floating,,,Anthony,C. Anthony,,,,,12.13,Missed,,,,,,,,,,,,,,,,,,,
302,PT11M32.00S,2022-01-20T01:19:57.3Z,3,REGULAR,rebound,defensive,[],203954,,,1610612755,47,57,2022-01-20T01:19:57Z,3010000,,,0,,J. Embiid REBOUND (Off:1 Def:7),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,301.0,8.0,7.0,1.0,,,,,,,,,,,,,,,
303,PT11M24.00S,2022-01-20T01:20:06.0Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,80.6011826544021,48.774509803921575,1610612755,49,57,2022-01-20T01:20:11Z,3020000,-6.0,130.0,1,right,J. Embiid 12' fadeaway Jump Shot (26 PTS),[203954],1610612755.0,PHI,fadeaway,,,Embiid,J. Embiid,,,,,12.99,Made,,,,,26.0,,,,,,,,,,,,,,
304,PT11M09.00S,2022-01-20T01:20:20.5Z,3,REGULAR,turnover,bad pass,[],1630591,,,1610612753,49,57,2022-01-20T01:20:24Z,3030000,,,0,,J. Suggs bad pass TURNOVER (3 TO),"[1630591, 203954]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,3.0,Embiid,203954.0,,,,,,,,,
305,PT11M09.00S,2022-01-20T01:20:20.5Z,3,REGULAR,steal,,[],203954,,,1610612755,49,57,2022-01-20T01:20:22Z,3040000,,,0,,J. Embiid STEAL (1 STL),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,
306,PT11M00.00S,2022-01-20T01:20:30.4Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630178,91.63929040735874,50.0,1610612755,49,57,2022-01-20T01:20:36Z,3050000,0.0,26.0,1,right,MISS T. Maxey driving finger roll Layup,[1630178],1610612755.0,PHI,driving finger roll,,,Maxey,T. Maxey,,,,,2.61,Missed,,,,,,,,,,,,,,,,,,,
307,PT10M58.00S,2022-01-20T01:20:32.4Z,3,REGULAR,rebound,defensive,[],1630591,,,1610612753,49,57,2022-01-20T01:20:36Z,3060000,,,0,,J. Suggs REBOUND (Off:1 Def:5),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,306.0,6.0,5.0,1.0,,,,,,,,,,,,,,,
308,PT10M55.00S,2022-01-20T01:20:35.3Z,3,REGULAR,3pt,Jump Shot,[],203914,11.350197109067011,1.9607843137254974,1610612753,49,57,2022-01-20T01:22:19Z,3070000,240.0,54.0,1,left,MISS G. Harris 24' 3PT,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,24.62,Missed,,,,,,,,,,,,,,,,,,,
309,PT10M51.00S,2022-01-20T01:20:39.3Z,3,REGULAR,rebound,defensive,[],203954,,,1610612755,49,57,2022-01-20T01:20:45Z,3080000,,,0,,J. Embiid REBOUND (Off:1 Def:8),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,308.0,9.0,8.0,1.0,,,,,,,,,,,,,,,
310,PT10M34.00S,2022-01-20T01:20:55.9Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],202699,95.18725361366623,49.01960784313726,1610612755,51,57,2022-01-20T01:21:00Z,3090000,-5.0,-7.0,1,right,T. Harris Layup (11 PTS) (F. Korkmaz 2 AST),"[202699, 1627788]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,0.88,Made,,,,,11.0,,,,,,F. Korkmaz,1627788.0,2.0,,,,,,
312,PT10M16.00S,2022-01-20T01:21:13.5Z,3,REGULAR,3pt,Jump Shot,[],1630532,17.526281208935615,96.07843137254902,1610612753,51,57,2022-01-20T01:21:20Z,3110000,-230.0,112.0,1,left,MISS F. Wagner 25' step back 3PT,[1630532],1610612753.0,ORL,step back,,,Wagner,F. Wagner,,,,,25.63,Missed,,,,,,,,,,,,,,,,,,,
313,PT10M13.00S,2022-01-20T01:21:16.5Z,3,REGULAR,rebound,defensive,[],203954,,,1610612755,51,57,2022-01-20T01:21:20Z,3120000,,,0,,J. Embiid REBOUND (Off:1 Def:9),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,312.0,10.0,9.0,1.0,,,,,,,,,,,,,,,
314,PT10M07.00S,2022-01-20T01:21:26.1Z,3,REGULAR,foul,personal,[],1630175,,,1610612755,51,57,2022-01-20T01:21:33Z,3130000,,,0,,C. Anthony personal FOUL (1 PF),"[1630175, 1627788]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,1626302.0,1.0,0.0,Korkmaz,1627788.0,
316,PT09M55.00S,2022-01-20T01:21:52.7Z,3,REGULAR,3pt,Jump Shot,[],203552,69.56307490144546,71.81372549019608,1610612755,54,57,2022-01-20T01:21:57Z,3150000,109.0,234.0,1,right,S. Curry 25' 3PT  (5 PTS) (T. Harris 3 AST),"[203552, 202699]",1610612755.0,PHI,,,,Curry,S. Curry,,,,,25.78,Made,,,,,5.0,,,,,,T. Harris,202699.0,3.0,,,,,,
318,PT09M40.00S,2022-01-20T01:22:09.1Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630591,9.379106438896187,55.88235294117647,1610612753,54,59,2022-01-20T01:22:30Z,3170000,-29.0,36.0,1,left,J. Suggs driving floating bank Jump Shot (7 PTS),[1630591],1610612753.0,ORL,driving floating bank,,,Suggs,J. Suggs,,,,,4.62,Made,,,,,7.0,,,,,,,,,,,,,,
319,PT09M20.00S,2022-01-20T01:22:48.0Z,3,REGULAR,stoppage,equipment issue,[],0,,,1610612755,54,59,2022-01-20T01:22:48Z,3180000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,PT09M13.00S,2022-01-20T01:23:01.6Z,3,REGULAR,2pt,DUNK,['pointsinthepaint'],1627788,93.61038107752957,50.0,1610612755,56,59,2022-01-20T01:23:08Z,3190000,0.0,8.0,1,right,F. Korkmaz cutting DUNK (5 PTS) (J. Embiid 1 AST),"[1627788, 203954]",1610612755.0,PHI,cutting,,,Korkmaz,F. Korkmaz,,,,,0.76,Made,,,,,5.0,,,,,,J. Embiid,203954.0,1.0,,,,,,
322,PT08M58.00S,2022-01-20T01:23:15.8Z,3,REGULAR,2pt,DUNK,['pointsinthepaint'],1630175,6.750985545335084,51.22549019607843,1610612753,56,61,2022-01-20T01:23:21Z,3210000,-6.0,11.0,1,left,C. Anthony driving DUNK (8 PTS) (G. Harris 2 AST),"[1630175, 203914]",1610612753.0,ORL,driving,,,Anthony,C. Anthony,,,,,1.26,Made,,,,,8.0,,,,,,G. Harris,203914.0,2.0,,,,,,
324,PT08M42.00S,2022-01-20T01:23:32.2Z,3,REGULAR,3pt,Jump Shot,[],1630178,72.45400788436268,84.55882352941177,1610612755,59,61,2022-01-20T01:23:38Z,3230000,173.0,206.0,1,right,T. Maxey 26' 3PT pullup (5 PTS),[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,26.92,Made,,,,,5.0,,,,,,,,,,,,,,
326,PT08M35.00S,2022-01-20T01:23:40.2Z,3,REGULAR,2pt,DUNK,['pointsinthepaint'],1630175,5.699737187910642,52.69607843137255,1610612753,59,63,2022-01-20T01:23:46Z,3250000,-13.0,1.0,1,left,C. Anthony running DUNK (10 PTS),[1630175],1610612753.0,ORL,running,,,Anthony,C. Anthony,,,,,1.35,Made,,,,,10.0,,,,,,,,,,,,,,
327,PT08M25.00S,2022-01-20T01:23:52.4Z,3,REGULAR,foul,personal,[],1630175,,,1610612755,59,63,2022-01-20T01:23:57Z,3260000,,,0,,C. Anthony personal FOUL (2 PF),"[1630175, 1630178]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,1628954.0,2.0,0.0,Maxey,1630178.0,
329,PT08M16.00S,2022-01-20T01:24:32.4Z,3,REGULAR,2pt,Jump Shot,[],203954,88.48554533508542,28.186274509803923,1610612755,61,63,2022-01-20T01:24:37Z,3280000,-109.0,56.0,1,right,J. Embiid 12' Jump Shot (28 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,12.25,Made,,,,,28.0,,,,,,,,,,,,,,
330,PT08M02.00S,2022-01-20T01:24:45.5Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630591,16.606438896189218,62.254901960784316,1610612753,61,63,2022-01-20T01:24:50Z,3290000,-61.0,104.0,1,left,MISS J. Suggs 12' pullup Shot,[1630591],1610612753.0,ORL,pullup,,,Suggs,J. Suggs,,,,,12.04,Missed,,,,,,,,,,,,,,,,,,,
331,PT07M59.00S,2022-01-20T01:24:48.5Z,3,REGULAR,rebound,defensive,[],1627788,,,1610612755,61,63,2022-01-20T01:24:50Z,3300000,,,0,,F. Korkmaz REBOUND (Off:0 Def:2),[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,330.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
332,PT07M55.00S,2022-01-20T01:24:52.3Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1630178,74.1622864651774,14.215686274509807,1610612755,64,63,2022-01-20T01:25:07Z,3310000,-179.0,190.0,1,right,T. Maxey 26' 3PT running pullup (8 PTS),[1630178],1610612755.0,PHI,running pullup,,,Maxey,T. Maxey,,,,,26.13,Made,,,,,8.0,,,,,,,,,,,,,,
333,PT07M54.00S,2022-01-20T01:25:11.0Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,64,63,2022-01-20T01:25:11Z,3320000,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,PT07M34.00S,2022-01-20T01:28:18.3Z,3,REGULAR,2pt,Hook,['pointsinthepaint'],1628964,8.065045992115643,58.33333333333333,1610612753,64,65,2022-01-20T01:28:23Z,3330000,-42.0,23.0,1,left,M. Bamba turnaround Hook (30 PTS),[1628964],1610612753.0,ORL,turnaround,,,Bamba,M. Bamba,,,,,4.78,Made,,,,,30.0,,,,,,,,,,,,,,
335,PT07M15.00S,2022-01-20T01:28:39.8Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],202699,94.92444152431011,49.01960784313726,1610612755,66,65,2022-01-20T01:28:47Z,3340000,-5.0,-5.0,1,right,T. Harris reverse Layup (13 PTS) (J. Embiid 2 AST),"[202699, 203954]",1610612755.0,PHI,reverse,,,Harris,T. Harris,,,,,0.69,Made,,,,,13.0,,,,,,J. Embiid,203954.0,2.0,,,,,,
337,PT07M15.00S,2022-01-20T01:28:42.6Z,3,REGULAR,foul,personal,['1freethrow'],1630591,,,1610612755,66,65,2022-01-20T01:28:50Z,3360000,,,0,,J. Suggs shooting personal FOUL (1 PF) (Harris 1 FT),"[1630591, 202699]",1610612753.0,ORL,shooting,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,1626302.0,1.0,0.0,Harris,202699.0,
339,PT07M15.00S,2022-01-20T01:29:06.8Z,3,REGULAR,freethrow,1 of 1,[],202699,,,1610612755,67,65,2022-01-20T01:29:06Z,3380000,,,0,,T. Harris Free Throw 1 of 1 (14 PTS),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,Made,,,,,14.0,,,,,,,,,,,,,,
340,PT07M10.00S,2022-01-20T01:29:13.7Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1630591,30.009855453350852,26.960784313725497,1610612753,67,68,2022-01-20T01:29:27Z,3390000,115.0,230.0,1,left,J. Suggs 25' 3PT running pullup (10 PTS) (C. Anthony 6 AST),"[1630591, 1630175]",1610612753.0,ORL,running pullup,,,Suggs,J. Suggs,,,,,25.69,Made,,,,,10.0,,,,,,C. Anthony,1630175.0,6.0,,,,,,
342,PT06M54.00S,2022-01-20T01:29:28.7Z,3,REGULAR,2pt,Jump Shot,[],203954,80.46977660972405,68.13725490196079,1610612755,69,68,2022-01-20T01:29:34Z,3410000,91.0,131.0,1,right,J. Embiid 15' turnaround fadeaway Jump Shot (30 PTS),[203954],1610612755.0,PHI,turnaround fadeaway,,,Embiid,J. Embiid,,,,,15.94,Made,,,,,30.0,,,,,,,,,,,,,,
343,PT06M39.00S,2022-01-20T01:29:44.6Z,3,REGULAR,2pt,DUNK,['pointsinthepaint'],1630591,7.145203679369246,51.470588235294116,1610612753,69,70,2022-01-20T01:29:50Z,3420000,-7.0,15.0,1,left,J. Suggs driving DUNK (12 PTS) (C. Anthony 7 AST),"[1630591, 1630175]",1610612753.0,ORL,driving,,,Suggs,J. Suggs,,,,,1.65,Made,,,,,12.0,,,,,,C. Anthony,1630175.0,7.0,,,,,,
345,PT06M23.00S,2022-01-20T01:30:00.4Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627788,87.17148488830486,55.63725490196079,1610612755,71,70,2022-01-20T01:37:52Z,3440000,28.0,68.0,1,right,F. Korkmaz 7' driving floating Jump Shot (7 PTS) (S. Curry 3 AST),"[1627788, 203552]",1610612755.0,PHI,driving floating,,,Korkmaz,F. Korkmaz,,,,,7.37,Made,,,,,7.0,,,,,,S. Curry,203552.0,3.0,,,,,,
347,PT06M14.00S,2022-01-20T01:30:08.6Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630175,8.196452036793687,52.69607843137255,1610612753,71,70,2022-01-20T01:30:14Z,3460000,-13.0,25.0,1,left,MISS C. Anthony running Layup,[1630175],1610612753.0,ORL,running,,,Anthony,C. Anthony,,,,,2.8,Missed,,,,,,,,,,,,,,,,,,,
348,PT06M12.00S,2022-01-20T01:30:10.6Z,3,REGULAR,rebound,defensive,[],203552,,,1610612755,71,70,2022-01-20T01:30:14Z,3470000,,,0,,S. Curry REBOUND (Off:0 Def:6),[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,,,347.0,6.0,6.0,0.0,,,,,,,,,,,,,,,
349,PT06M09.00S,2022-01-20T01:30:15.9Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203954,93.61038107752957,52.69607843137255,1610612755,73,70,2022-01-20T01:30:23Z,3480000,13.0,8.0,1,right,J. Embiid cutting Layup (32 PTS) (F. Korkmaz 3 AST),"[203954, 1627788]",1610612755.0,PHI,cutting,,,Embiid,J. Embiid,,,,,1.55,Made,,,,,32.0,,,,,,F. Korkmaz,1627788.0,3.0,,,,,,
351,PT06M09.00S,2022-01-20T01:30:18.9Z,3,REGULAR,foul,personal,['1freethrow'],1628964,,,1610612755,73,70,2022-01-20T01:30:45Z,3500000,,,0,,M. Bamba shooting personal FOUL (3 PF) (Embiid 1 FT),"[1628964, 203954]",1610612753.0,ORL,shooting,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,1626302.0,3.0,0.0,Embiid,203954.0,
353,PT06M09.00S,2022-01-20T01:30:31.7Z,3,REGULAR,substitution,out,[],1630591,,,1610612755,73,70,2022-01-20T01:30:44Z,3520000,,,0,,SUB out: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,,
