actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
275,PT03M33.00S,2022-02-16T01:30:36.0Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629684,,,1610612755,35,58,2022-02-16T01:30:48Z,2750000,,,0,,G. Williams personal FOUL (3 PF) (Embiid 2 FT),"[1629684, 203954]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,204058.0,3.0,0.0,Embiid,203954.0,,,,,,,,,,,,,,,
277,PT03M33.00S,2022-02-16T01:31:01.1Z,2,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,35,58,2022-02-16T01:31:01Z,2770000,,,0,,MISS J. Embiid Free Throw 1 of 2,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,Missed,,,,,,,,,,,,,
278,PT03M33.00S,2022-02-16T01:31:01.1Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612755,35,58,2022-02-16T01:31:01Z,2780000,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,277.0,,,,,,,,
279,PT03M33.00S,2022-02-16T01:31:03.6Z,2,REGULAR,substitution,out,[],1629684,,,1610612755,35,58,2022-02-16T01:31:16Z,2790000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
280,PT03M33.00S,2022-02-16T01:31:03.6Z,2,REGULAR,substitution,in,[],1630174,,,1610612755,35,58,2022-02-16T01:31:16Z,2800000,,,0,,SUB in: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,
281,PT03M33.00S,2022-02-16T01:31:25.5Z,2,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,36,58,2022-02-16T01:31:25Z,2810000,,,0,,J. Embiid Free Throw 2 of 2 (14 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,Made,14.0,,,,,,,,,,,,
282,PT03M15.00S,2022-02-16T01:31:45.5Z,2,REGULAR,3pt,Jump Shot,[],201143,68.51182654402103,31.862745098039213,1610612738,36,58,2022-02-16T01:31:49Z,2820000,-91.0,243.0,1,right,MISS A. Horford 25' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,25.98,Missed,,,,,,,,,,,,,
283,PT03M11.00S,2022-02-16T01:31:49.5Z,2,REGULAR,rebound,defensive,[],203954,,,1610612755,36,58,2022-02-16T01:31:49Z,2830000,,,0,,J. Embiid REBOUND (Off:0 Def:7),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,282.0,7.0,7.0,0.0,,,,,
284,PT03M01.00S,2022-02-16T01:31:58.6Z,2,REGULAR,3pt,Jump Shot,[],1627777,26.067674113009204,17.892156862745097,1610612755,39,58,2022-02-16T01:32:02Z,2840000,161.0,193.0,1,left,G. Niang 25' 3PT  (5 PTS) (J. Embiid 5 AST),"[1627777, 203954]",1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,25.06,Made,5.0,J. Embiid,203954.0,5.0,,,,,,,,,
286,PT02M40.00S,2022-02-16T01:32:19.1Z,2,REGULAR,3pt,Jump Shot,[],1630174,94.26741130091985,3.67647058823529,1610612738,39,58,2022-02-16T01:32:23Z,2860000,-232.0,1.0,1,right,MISS A. Nesmith 3PT,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,23.16,Missed,,,,,,,,,,,,,
287,PT02M37.00S,2022-02-16T01:32:22.1Z,2,REGULAR,rebound,defensive,[],1630178,,,1610612755,39,58,2022-02-16T01:32:23Z,2870000,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,286.0,1.0,1.0,0.0,,,,,
288,PT02M26.00S,2022-02-16T01:32:33.7Z,2,REGULAR,2pt,Jump Shot,[],203954,21.337056504599218,74.75490196078431,1610612755,41,58,2022-02-16T01:32:39Z,2880000,-124.0,148.0,1,left,J. Embiid 19' fadeaway Jump Shot (16 PTS) (D. Green 1 AST),"[203954, 201980]",1610612755.0,PHI,fadeaway,,,Embiid,J. Embiid,,,,,,,,,,19.3,Made,16.0,D. Green,201980.0,1.0,,,,,,,,,
290,PT02M26.00S,2022-02-16T01:32:39.8Z,2,REGULAR,timeout,full,['team'],0,,,1610612738,41,58,2022-02-16T01:32:39Z,2900000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,PT02M26.00S,2022-02-16T01:34:26.3Z,2,REGULAR,stoppage,blood rule,[],0,,,1610612738,41,58,2022-02-16T01:34:26Z,2910000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,PT02M09.00S,2022-02-16T01:35:15.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630174,88.09132720105124,57.84313725490196,1610612738,41,60,2022-02-16T01:35:19Z,2920000,39.0,59.0,1,right,A. Nesmith 7' driving floating Jump Shot (5 PTS) (J. Tatum 3 AST),"[1630174, 1628369]",1610612738.0,BOS,driving floating,,,Nesmith,A. Nesmith,,,,,,,,,,7.12,Made,5.0,J. Tatum,1628369.0,3.0,,,,,,,,,
294,PT01M54.00S,2022-02-16T01:35:35.5Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628369,,,1610612755,41,60,2022-02-16T01:35:44Z,2940000,,,0,,J. Tatum shooting personal FOUL (1 PF) (Embiid 2 FT),"[1628369, 203954]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,204058.0,1.0,0.0,Embiid,203954.0,,,,,,,,,,,,,,,
296,PT01M54.00S,2022-02-16T01:35:59.1Z,2,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,42,60,2022-02-16T01:35:59Z,2960000,,,0,,J. Embiid Free Throw 1 of 2 (17 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,Made,17.0,,,,,,,,,,,,
297,PT01M54.00S,2022-02-16T01:35:59.1Z,2,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,42,60,2022-02-16T01:36:25Z,2970000,,,0,,MISS J. Embiid Free Throw 2 of 2,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,Missed,,,,,,,,,,,,,
298,PT01M51.00S,2022-02-16T01:36:02.1Z,2,REGULAR,rebound,defensive,[],201143,,,1610612738,42,60,2022-02-16T01:36:25Z,2980000,,,0,,A. Horford REBOUND (Off:0 Def:4),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,297.0,4.0,4.0,0.0,,,,,
299,PT01M31.00S,2022-02-16T01:36:44.9Z,2,REGULAR,2pt,Jump Shot,[],1628369,73.89947437582128,67.40196078431373,1610612738,42,62,2022-02-16T01:36:51Z,2990000,87.0,193.0,1,right,J. Tatum 21' step back Jump Shot (16 PTS),[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,,,,,,21.15,Made,16.0,,,,,,,,,,,,
300,PT01M16.00S,2022-02-16T01:37:00.5Z,2,REGULAR,turnover,out-of-bounds,[],203954,,,1610612755,42,62,2022-02-16T01:37:06Z,3000000,,,0,,J. Embiid bad pass out-of-bounds TURNOVER (1 TO),[203954],1610612755.0,PHI,bad pass,,,Embiid,J. Embiid,,,,,204058.0,,,,,,,,,,,,,,,,,1.0,,
301,PT01M04.00S,2022-02-16T01:37:24.4Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629680,,,1610612738,42,62,2022-02-16T01:37:43Z,3010000,,,0,,M. Thybulle shooting personal FOUL (2 PF) (White 2 FT),"[1629680, 1628401]",1610612755.0,PHI,shooting,,,Thybulle,M. Thybulle,,,,,2714.0,2.0,0.0,White,1628401.0,,,,,,,,,,,,,,,
303,PT01M04.00S,2022-02-16T01:37:55.0Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],1628401,,,1610612738,42,63,2022-02-16T01:37:55Z,3030000,,,0,,D. White Free Throw 1 of 2 (3 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,Made,3.0,,,,,,,,,,,,
304,PT01M04.00S,2022-02-16T01:37:56.4Z,2,REGULAR,substitution,out,[],201980,,,1610612738,42,63,2022-02-16T01:38:11Z,3040000,,,0,,SUB out: D. Green,[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,
305,PT01M04.00S,2022-02-16T01:37:56.4Z,2,REGULAR,substitution,in,[],1627788,,,1610612738,42,63,2022-02-16T01:38:11Z,3050000,,,0,,SUB in: F. Korkmaz,[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,,,,,,,
306,PT01M04.00S,2022-02-16T01:38:13.0Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],1628401,,,1610612738,42,64,2022-02-16T01:38:13Z,3060000,,,0,,D. White Free Throw 2 of 2 (4 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,Made,4.0,,,,,,,,,,,,
307,PT00M44.90S,2022-02-16T01:38:33.8Z,2,REGULAR,turnover,lost ball,[],203954,,,1610612755,42,64,2022-02-16T01:38:39Z,3070000,,,0,,J. Embiid lost ball TURNOVER (2 TO),"[203954, 1628401]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,2.0,White,1628401.0
308,PT00M44.90S,2022-02-16T01:38:33.8Z,2,REGULAR,steal,,[],1628401,,,1610612738,42,64,2022-02-16T01:38:36Z,3080000,,,0,,D. White STEAL (1 STL),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,
309,PT00M39.80S,2022-02-16T01:38:39.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628369,95.45006570302233,45.09803921568627,1610612738,42,64,2022-02-16T01:38:45Z,3090000,-25.0,-10.0,1,right,MISS J. Tatum running Layup,[1628369],1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,,,,,,2.64,Missed,,,,,,,,,,,,,
310,PT00M37.10S,2022-02-16T01:38:41.6Z,2,REGULAR,rebound,defensive,[],1627788,,,1610612755,42,64,2022-02-16T01:38:41Z,3100000,,,0,,F. Korkmaz REBOUND (Off:0 Def:2),[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,309.0,2.0,2.0,0.0,,,,,
311,PT00M33.60S,2022-02-16T01:38:46.0Z,2,REGULAR,turnover,out-of-bounds,[],1630178,,,1610612755,42,64,2022-02-16T01:38:51Z,3110000,,,0,,T. Maxey bad pass out-of-bounds TURNOVER (1 TO),[1630178],1610612755.0,PHI,bad pass,,,Maxey,T. Maxey,,,,,204058.0,,,,,,,,,,,,,,,,,1.0,,
312,PT00M28.50S,2022-02-16T01:39:00.9Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628401,86.38304862023654,52.450980392156865,1610612738,42,66,2022-02-16T01:39:07Z,3120000,12.0,75.0,1,right,D. White 7' driving floating Jump Shot (6 PTS),[1628401],1610612738.0,BOS,driving floating,,,White,D. White,,,,,,,,,,7.65,Made,6.0,,,,,,,,,,,,
313,PT00M06.40S,2022-02-16T01:39:28.4Z,2,REGULAR,turnover,traveling,[],203954,,,1610612755,42,66,2022-02-16T01:39:34Z,3130000,,,0,,J. Embiid traveling TURNOVER (3 TO),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,204058.0,,,,,,,,,,,,,,,,,3.0,,
314,PT00M00.20S,2022-02-16T01:39:49.6Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1627759,66.14651773981603,70.34313725490196,1610612738,42,69,2022-02-16T01:40:43Z,3140000,102.0,266.0,1,right,J. Brown 28' 3PT pullup (26 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,,,,,,28.45,Made,26.0,,,,,,,,,,,,
315,PT00M00.00S,2022-02-16T01:39:59.8Z,2,REGULAR,period,end,[],0,,,1610612755,42,69,2022-02-16T01:39:59Z,3150000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,PT12M00.00S,2022-02-16T01:48:55.1Z,3,REGULAR,substitution,out,['startperiod'],1627777,,,1610612755,42,69,2022-02-16T01:56:11Z,3160000,,,0,,SUB out: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,
317,PT12M00.00S,2022-02-16T01:48:55.1Z,3,REGULAR,substitution,out,['startperiod'],1627788,,,1610612755,42,69,2022-02-16T01:56:11Z,3170000,,,0,,SUB out: F. Korkmaz,[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,,,,,,,
318,PT12M00.00S,2022-02-16T01:48:55.1Z,3,REGULAR,substitution,out,['startperiod'],1630174,,,1610612755,42,69,2022-02-16T01:56:11Z,3180000,,,0,,SUB out: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,
319,PT12M00.00S,2022-02-16T01:48:55.1Z,3,REGULAR,substitution,in,['startperiod'],202699,,,1610612755,42,69,2022-02-16T01:56:11Z,3190000,,,0,,SUB in: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,
320,PT12M00.00S,2022-02-16T01:48:55.1Z,3,REGULAR,substitution,in,['startperiod'],201980,,,1610612755,42,69,2022-02-16T01:56:11Z,3200000,,,0,,SUB in: D. Green,[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,
321,PT12M00.00S,2022-02-16T01:48:55.1Z,3,REGULAR,substitution,in,['startperiod'],1629684,,,1610612755,42,69,2022-02-16T01:56:11Z,3210000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
322,PT12M00.00S,2022-02-16T01:56:39.7Z,3,REGULAR,period,start,[],0,,,1610612755,42,69,2022-02-16T01:56:39Z,3220000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,PT11M44.00S,2022-02-16T01:56:55.3Z,3,REGULAR,2pt,Jump Shot,[],203954,72.84822601839684,53.431372549019606,1610612755,42,69,2022-02-16T01:57:02Z,3230000,17.0,203.0,1,right,MISS J. Embiid 20' Jump Shot,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,20.34,Missed,,,,,,,,,,,,,
324,PT11M40.00S,2022-02-16T01:56:59.3Z,3,REGULAR,rebound,defensive,[],1628369,,,1610612738,42,69,2022-02-16T01:57:02Z,3240000,,,0,,J. Tatum REBOUND (Off:2 Def:6),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,323.0,8.0,6.0,2.0,,,,,
325,PT11M23.00S,2022-02-16T01:57:15.8Z,3,REGULAR,2pt,Jump Shot,[],1628369,22.78252299605782,68.13725490196079,1610612738,42,69,2022-02-16T01:57:20Z,3250000,-91.0,162.0,1,left,MISS J. Tatum 18' pullup Shot,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,,,,,,18.54,Missed,,,,,,,,,,,,,
326,PT11M21.00S,2022-02-16T01:57:17.8Z,3,REGULAR,rebound,defensive,[],203954,,,1610612755,42,69,2022-02-16T01:57:20Z,3260000,,,0,,J. Embiid REBOUND (Off:0 Def:8),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,325.0,8.0,8.0,0.0,,,,,
327,PT11M11.00S,2022-02-16T01:57:28.6Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,90.71944809461235,53.92156862745098,1610612755,42,69,2022-02-16T01:57:34Z,3270000,20.0,35.0,1,right,MISS T. Harris driving floating bank Shot,[202699],1610612755.0,PHI,driving floating bank,,,Harris,T. Harris,,,,,,,,,,3.99,Missed,,,,,,,,,,,,,
328,PT11M08.00S,2022-02-16T01:57:31.6Z,3,REGULAR,rebound,defensive,[],201143,,,1610612738,42,69,2022-02-16T01:57:34Z,3280000,,,0,,A. Horford REBOUND (Off:0 Def:5),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,327.0,5.0,5.0,0.0,,,,,
329,PT11M05.00S,2022-02-16T01:57:34.2Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1627759,21.0742444152431,92.6470588235294,1610612738,42,69,2022-02-16T01:57:41Z,3290000,-213.0,146.0,1,left,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,25.82,Missed,,,,,,,,,,,,,
330,PT10M59.00S,2022-02-16T01:57:40.2Z,3,REGULAR,rebound,offensive,[],1628401,,,1610612738,42,69,2022-02-16T01:57:41Z,3300000,,,0,,D. White REBOUND (Off:1 Def:0),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,329.0,1.0,0.0,1.0,,,,,
331,PT10M59.00S,2022-02-16T01:57:39.1Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628401,5.590000152587891,50.0,1610612738,42,69,2022-02-16T01:57:39Z,3310000,0.0,0.0,1,left,MISS D. White tip Layup,[1628401],1610612738.0,BOS,tip,,,White,D. White,,,,,,,,,,0.0,Missed,,,,,,,,,,,,,
332,PT10M58.00S,2022-02-16T01:57:40.2Z,3,REGULAR,rebound,defensive,[],202699,,,1610612755,42,69,2022-02-16T01:57:40Z,3320000,,,0,,T. Harris REBOUND (Off:0 Def:3),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,331.0,3.0,3.0,0.0,,,,,
333,PT10M54.00S,2022-02-16T01:57:45.1Z,3,REGULAR,2pt,Hook,"['pointsinthepaint', 'fastbreak']",202699,85.72601839684626,49.26470588235294,1610612755,44,69,2022-02-16T01:57:52Z,3330000,-4.0,82.0,1,right,T. Harris 8' driving Hook (4 PTS) (M. Thybulle 2 AST),"[202699, 1629680]",1610612755.0,PHI,driving,,,Harris,T. Harris,,,,,,,,,,8.18,Made,4.0,M. Thybulle,1629680.0,2.0,,,,,,,,,
335,PT10M34.00S,2022-02-16T01:58:05.5Z,3,REGULAR,3pt,Jump Shot,[],1629684,16.737844940867276,4.901960784313729,1610612738,44,72,2022-02-16T01:58:10Z,3350000,225.0,105.0,1,left,G. Williams 24' 3PT  (9 PTS) (J. Tatum 4 AST),"[1629684, 1628369]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,24.87,Made,9.0,J. Tatum,1628369.0,4.0,,,,,,,,,
337,PT10M11.00S,2022-02-16T01:58:27.6Z,3,REGULAR,3pt,Jump Shot,[],1629680,86.51445466491458,96.56862745098039,1610612755,44,72,2022-02-16T01:58:32Z,3370000,233.0,74.0,1,right,MISS M. Thybulle 24' 3PT,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,24.44,Missed,,,,,,,,,,,,,
338,PT10M08.00S,2022-02-16T01:58:30.6Z,3,REGULAR,rebound,defensive,[],1628369,,,1610612738,44,72,2022-02-16T01:58:32Z,3380000,,,0,,J. Tatum REBOUND (Off:2 Def:7),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,337.0,9.0,7.0,2.0,,,,,
339,PT09M59.00S,2022-02-16T01:58:39.3Z,3,REGULAR,3pt,Jump Shot,[],201143,29.221419185282528,82.84313725490196,1610612738,44,75,2022-02-16T01:58:44Z,3390000,-164.0,222.0,1,left,A. Horford 27' 3PT  (3 PTS) (J. Tatum 5 AST),"[201143, 1628369]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,27.63,Made,3.0,J. Tatum,1628369.0,5.0,,,,,,,,,
341,PT09M41.00S,2022-02-16T01:58:57.1Z,3,REGULAR,3pt,Jump Shot,[],201980,73.76806833114324,15.196078431372555,1610612755,44,75,2022-02-16T01:59:08Z,3410000,-174.0,194.0,1,right,MISS D. Green 26' 3PT - blocked,"[201980, 1628369]",1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,26.07,Missed,,,,,,,,,Tatum,1628369.0,,,
343,PT09M41.00S,2022-02-16T01:58:57.1Z,3,REGULAR,block,,[],1628369,,,1610612755,44,75,2022-02-16T01:59:08Z,3415000,,,0,,J. Tatum BLOCK (2 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
342,PT09M38.00S,2022-02-16T01:59:00.1Z,3,REGULAR,rebound,defensive,[],1627759,,,1610612738,44,75,2022-02-16T01:59:08Z,3420000,,,0,,J. Brown REBOUND (Off:1 Def:6),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,341.0,7.0,6.0,1.0,,,,,
344,PT09M18.00S,2022-02-16T01:59:20.8Z,3,REGULAR,3pt,Jump Shot,[],1628401,29.747043363994734,81.86274509803921,1610612738,44,75,2022-02-16T01:59:25Z,3430000,-159.0,227.0,1,left,MISS D. White 27' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,27.74,Missed,,,,,,,,,,,,,
345,PT09M15.00S,2022-02-16T01:59:23.8Z,3,REGULAR,rebound,defensive,[],202699,,,1610612755,44,75,2022-02-16T01:59:25Z,3440000,,,0,,T. Harris REBOUND (Off:0 Def:4),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,344.0,4.0,4.0,0.0,,,,,
346,PT09M05.00S,2022-02-16T01:59:34.3Z,3,REGULAR,3pt,Jump Shot,[],201980,88.09132720105124,96.56862745098039,1610612755,44,75,2022-02-16T01:59:40Z,3450000,233.0,59.0,1,right,MISS D. Green 24' step back 3PT,[201980],1610612755.0,PHI,step back,,,Green,D. Green,,,,,,,,,,24.03,Missed,,,,,,,,,,,,,
347,PT09M01.00S,2022-02-16T01:59:38.3Z,3,REGULAR,rebound,defensive,[],1628369,,,1610612738,44,75,2022-02-16T01:59:40Z,3460000,,,0,,J. Tatum REBOUND (Off:2 Def:8),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,346.0,10.0,8.0,2.0,,,,,
348,PT08M54.00S,2022-02-16T01:59:49.1Z,3,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,44,75,2022-02-16T01:59:49Z,3470000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,PT08M49.00S,2022-02-16T02:00:08.0Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,16.343626806833115,54.65686274509804,1610612738,44,77,2022-02-16T02:00:14Z,3480000,-23.0,101.0,1,left,J. Brown 10' turnaround fadeaway Jump Shot (28 PTS),[1627759],1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,,,,,,10.38,Made,28.0,,,,,,,,,,,,
350,PT08M32.00S,2022-02-16T02:00:24.1Z,3,REGULAR,2pt,Jump Shot,[],1630178,74.81931668856767,59.31372549019608,1610612755,46,77,2022-02-16T02:00:31Z,3490000,47.0,184.0,1,right,T. Maxey 19' pullup Jump Shot (9 PTS) (J. Embiid 6 AST),"[1630178, 203954]",1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,,,,,,19.0,Made,9.0,J. Embiid,203954.0,6.0,,,,,,,,,
351,PT08M18.00S,2022-02-16T02:00:42.3Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,9.904730617608408,51.71568627450981,1610612738,46,79,2022-02-16T02:00:56Z,3500000,-9.0,41.0,1,left,D. White floating Jump Shot (8 PTS),[1628401],1610612738.0,BOS,floating,,,White,D. White,,,,,,,,,,4.15,Made,8.0,,,,,,,,,,,,
352,PT08M18.00S,2022-02-16T02:00:46.6Z,3,REGULAR,foul,personal,['1freethrow'],201980,,,1610612738,46,79,2022-02-16T02:09:26Z,3510000,,,0,,D. Green shooting personal FOUL (3 PF) (White 1 FT),"[201980, 1628401]",1610612755.0,PHI,shooting,,,Green,D. Green,,,,,101283.0,3.0,0.0,White,1628401.0,,,,,,,,,,,,,,,
354,PT08M18.00S,2022-02-16T02:01:04.2Z,3,REGULAR,foul,technical,['1freethrow'],201980,,,1610612738,46,79,2022-02-16T02:10:22Z,3530000,,,0,,D. Green technical FOUL (1 Tech),[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,204058.0,3.0,1.0,,,,,,,,,,,,,,,,,
355,PT08M18.00S,2022-02-16T02:01:13.8Z,3,REGULAR,freethrow,1 of 1,[],1627759,,,1610612738,46,80,2022-02-16T02:08:34Z,3540000,,,0,,J. Brown technical Free Throw 1 of 1 (29 PTS),[1627759],1610612738.0,BOS,technical,,,Brown,J. Brown,,,,,,,,,,,Made,29.0,,,,,,,,,,,,
356,PT08M18.00S,2022-02-16T02:01:46.2Z,3,REGULAR,freethrow,1 of 1,[],1628401,,,1610612738,46,81,2022-02-16T02:01:46Z,3550000,,,0,,D. White Free Throw 1 of 1 (9 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,Made,9.0,,,,,,,,,,,,
357,PT08M03.00S,2022-02-16T02:02:01.8Z,3,REGULAR,foul,personal,['2freethrow'],1628369,,,1610612755,46,81,2022-02-16T02:02:09Z,3560000,,,0,,J. Tatum shooting personal FOUL (2 PF) (Embiid 2 FT),"[1628369, 203954]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,101283.0,2.0,0.0,Embiid,203954.0,,,,,,,,,,,,,,,
359,PT08M03.00S,2022-02-16T02:02:28.5Z,3,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,47,81,2022-02-16T02:02:28Z,3580000,,,0,,J. Embiid Free Throw 1 of 2 (18 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,Made,18.0,,,,,,,,,,,,
360,PT08M03.00S,2022-02-16T02:02:28.5Z,3,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,48,81,2022-02-16T02:03:11Z,3590000,,,0,,J. Embiid Free Throw 2 of 2 (19 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,Made,19.0,,,,,,,,,,,,
361,PT07M41.00S,2022-02-16T02:03:16.3Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,8.590670170827863,52.205882352941174,1610612738,48,83,2022-02-16T02:03:21Z,3600000,-11.0,28.0,1,left,J. Tatum driving finger roll Layup (18 PTS) (J. Brown 2 AST),"[1628369, 1627759]",1610612738.0,BOS,driving finger roll,,,Tatum,J. Tatum,,,,,,,,,,3.04,Made,18.0,J. Brown,1627759.0,2.0,,,,,,,,,
