actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulDrawnPlayerName,foulDrawnPersonId
330,PT09M18.00S,2025-01-09T03:56:00.6Z,3,REGULAR,rebound,offensive,[],101108,,,1610612759,72,54,2025-01-09T03:56:49Z,3230000,False,,,0,,C. Paul REBOUND (Off:2 Def:2),[101108],1610612759.0,SAS,,,,Paul,C. Paul,,,,,Above the Break 3,24+ Right Center,,,,,,,329.0,4.0,2.0,2.0,,,,,,,,,,
331,PT09M15.00S,2025-01-09T03:56:05.9Z,3,REGULAR,turnover,bad pass,[],1630170,,,1610612759,72,54,2025-01-09T03:57:00Z,3240000,False,,,0,,D. Vassell bad pass TURNOVER (1 TO),"[1630170, 201572]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,Lopez,201572.0,,,,,,,
332,PT09M15.00S,2025-01-09T03:56:05.9Z,3,REGULAR,steal,,[],201572,,,1610612749,72,54,2025-01-09T03:56:08Z,3250000,False,,,0,,B. Lopez STEAL (1 STL),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
333,PT09M12.00S,2025-01-09T03:56:09.8Z,3,REGULAR,turnover,lost ball,[],1627752,,,1610612749,72,54,2025-01-09T03:57:07Z,3260000,False,,,0,,T. Prince lost ball TURNOVER (1 TO),"[1627752, 203084]",1610612749.0,MIL,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Center,,,,,,,,,,,1.0,Barnes,203084.0,,,,,,,
334,PT09M12.00S,2025-01-09T03:56:09.8Z,3,REGULAR,steal,,[],203084,,,1610612759,72,54,2025-01-09T03:56:12Z,3270000,False,,,0,,H. Barnes STEAL (1 STL),[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
336,PT09M05.00S,2025-01-09T03:57:19.9Z,3,REGULAR,foul,personal,[],203081,,,1610612759,72,54,2025-01-09T03:57:38Z,3290000,False,,,0,,D. Lillard personal FOUL (1 PF),"[203081, 203084]",1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Right Center,201639.0,1.0,0.0,,,,,,,,,,,,,,,,Barnes,203084.0
338,PT08M57.00S,2025-01-09T03:57:43.4Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],1630170,68.67608409986859,22.30392156862745,1610612759,72,54,2025-01-09T03:58:30Z,3310000,False,-138.0,242.0,1,right,MISS D. Vassell 27' pullup 3PT,[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Left Center,,,,Missed,,27.87,,,,,,,,,,,,,,
339,PT08M53.00S,2025-01-09T03:57:47.4Z,3,REGULAR,rebound,offensive,[],1641705,,,1610612759,72,54,2025-01-09T03:59:20Z,3320000,False,,,0,,V. Wembanyama REBOUND (Off:3 Def:2),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Left Center,,,,,,,338.0,5.0,2.0,3.0,,,,,,,,,,
340,PT08M47.00S,2025-01-09T03:57:52.0Z,3,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",101108,72.53613666228647,76.73866421568627,1610612759,72,57,2025-01-09T03:57:59Z,3330000,False,134.0,206.0,1,right,C. Paul 24' 3PT  (10 PTS) (V. Wembanyama 1 AST),"[101108, 1641705]",1610612759.0,SAS,,,,Paul,C. Paul,,,,,Above the Break 3,24+ Right Center,,,,Made,10.0,24.53,,,,,,,,,,V. Wembanyama,1641705.0,1.0,,
342,PT08M40.00S,2025-01-09T03:58:00.5Z,3,REGULAR,2pt,Jump Shot,[],203081,4.681340341655716,78.67647058823529,1610612749,72,57,2025-01-09T03:58:04Z,3350000,False,-143.0,-8.0,1,left,MISS D. Lillard 14' driving floating Shot,[203081],1610612749.0,MIL,driving floating,,,Lillard,D. Lillard,,,,,Mid-Range,8-16 Left,,,,Missed,,14.37,,,,,,,,,,,,,,
343,PT08M37.00S,2025-01-09T03:58:03.5Z,3,REGULAR,rebound,defensive,[],1630170,,,1610612759,72,57,2025-01-09T03:58:04Z,3360000,False,,,0,,D. Vassell REBOUND (Off:0 Def:6),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Mid-Range,8-16 Left,,,,,,,342.0,6.0,6.0,0.0,,,,,,,,,,
344,PT08M30.00S,2025-01-09T03:58:10.1Z,3,REGULAR,3pt,Jump Shot,[],101108,67.62483574244416,71.81372549019608,1610612759,72,60,2025-01-09T03:58:15Z,3370000,False,109.0,252.0,1,right,C. Paul 27' 3PT pullup (13 PTS),[101108],1610612759.0,SAS,pullup,,,Paul,C. Paul,,,,,Above the Break 3,24+ Right Center,,,,Made,13.0,27.44,,,,,,,,,,,,,,
345,PT08M29.00S,2025-01-09T03:58:18.5Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,72,60,2025-01-09T03:58:18Z,3380000,False,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,PT08M13.00S,2025-01-09T04:02:01.0Z,3,REGULAR,violation,kicked ball,[],101108,,,1610612749,72,60,2025-01-09T04:02:09Z,3390000,False,,,0,,C. Paul kicked ball VIOLATION,[101108],1610612759.0,SAS,,,,Paul,C. Paul,,,,,,,1204.0,,,,,,,,,,,,,,,,,,,
348,PT08M05.00S,2025-01-09T04:02:26.6Z,3,REGULAR,substitution,out,[],1641748,,,1610612749,72,60,2025-01-09T04:02:32Z,3410000,False,,,0,,SUB out: A. Jackson Jr.,[1641748],1610612749.0,MIL,,,,Jackson Jr.,A. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
349,PT08M05.00S,2025-01-09T04:02:26.6Z,3,REGULAR,substitution,in,[],1631260,,,1610612749,72,60,2025-01-09T04:02:32Z,3420000,False,,,0,,SUB in: A. Green,[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
350,PT08M02.00S,2025-01-09T04:02:44.1Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],203507,6.1268068331143235,45.83333333333333,1610612749,72,60,2025-01-09T04:04:45Z,3430000,False,21.0,5.0,1,left,MISS G. Antetokounmpo driving Layup - blocked,"[203507, 1641705]",1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,Missed,,2.14,,,,,,,,Wembanyama,1641705.0,,,,,
388,PT08M02.00S,2025-01-09T04:02:44.1Z,3,REGULAR,block,,[],1641705,,,1610612749,72,60,2025-01-09T04:09:02Z,3435000,False,,,0,,V. Wembanyama BLOCK (3 BLK),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
351,PT08M01.00S,2025-01-09T04:02:45.1Z,3,REGULAR,rebound,defensive,[],1641705,,,1610612759,72,60,2025-01-09T04:04:45Z,3440000,False,,,0,,V. Wembanyama REBOUND (Off:3 Def:3),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,350.0,6.0,3.0,3.0,,,,,,,,,,
352,PT07M55.00S,2025-01-09T04:02:53.7Z,3,REGULAR,foul,personal,['2freethrow'],1631260,,,1610612759,72,60,2025-01-09T04:03:25Z,3450000,False,,,0,,A. Green shooting personal FOUL (2 PF) (Barnes 2 FT),"[1631260, 203084]",1610612749.0,MIL,shooting,,,Green,A. Green,,,,,In The Paint (Non-RA),0-8 Center,201639.0,2.0,0.0,,,,,,,,,,,,,,,,Barnes,203084.0
354,PT07M55.00S,2025-01-09T04:03:26.4Z,3,REGULAR,freethrow,1 of 2,[],203084,,,1610612759,72,61,2025-01-09T04:03:26Z,3470000,False,,,0,,H. Barnes Free Throw 1 of 2 (8 PTS),[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,,,,,,Made,8.0,,,,,,,,,,,,,,,
355,PT07M55.00S,2025-01-09T04:03:43.3Z,3,REGULAR,freethrow,2 of 2,[],203084,,,1610612759,72,62,2025-01-09T04:03:43Z,3480000,False,,,0,,H. Barnes Free Throw 2 of 2 (9 PTS),[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,,,,,,Made,9.0,,,,,,,,,,,,,,,
356,PT07M47.00S,2025-01-09T04:03:57.1Z,3,REGULAR,foul,personal,['2freethrow'],1641705,,,1610612749,72,62,2025-01-09T04:04:27Z,3490000,False,,,0,,V. Wembanyama shooting personal FOUL (2 PF) (Lillard 2 FT),"[1641705, 203081]",1610612759.0,SAS,shooting,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,201639.0,2.0,0.0,,,,,,,,,,,,,,,,Lillard,203081.0
358,PT07M47.00S,2025-01-09T04:04:28.5Z,3,REGULAR,freethrow,1 of 2,[],203081,,,1610612749,73,62,2025-01-09T04:04:28Z,3510000,False,,,0,,D. Lillard Free Throw 1 of 2 (14 PTS),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,,,,,,Made,14.0,,,,,,,,,,,,,,,
359,PT07M47.00S,2025-01-09T04:04:45.3Z,3,REGULAR,freethrow,2 of 2,[],203081,,,1610612749,74,62,2025-01-09T04:04:45Z,3520000,False,,,0,,D. Lillard Free Throw 2 of 2 (15 PTS),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,,,,,,Made,15.0,,,,,,,,,,,,,,,
360,PT07M33.00S,2025-01-09T04:05:00.1Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1642264,89.04402102496715,58.333333333333336,1610612759,74,62,2025-01-09T04:05:12Z,3530000,False,42.0,50.0,1,right,MISS S. Castle 6' driving Layup,[1642264],1610612759.0,SAS,driving,,,Castle,S. Castle,,,,,In The Paint (Non-RA),0-8 Center,,,,Missed,,6.55,,,,,,,,,,,,,,
361,PT07M30.00S,2025-01-09T04:05:03.1Z,3,REGULAR,rebound,defensive,[],203507,,,1610612749,74,62,2025-01-09T04:05:12Z,3540000,False,,,0,,G. Antetokounmpo REBOUND (Off:2 Def:8),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,360.0,10.0,8.0,2.0,,,,,,,,,,
362,PT07M24.00S,2025-01-09T04:05:09.5Z,3,REGULAR,3pt,Jump Shot,[],201572,30.991294349540077,23.552389705882355,1610612749,77,62,2025-01-09T04:05:17Z,3550000,False,132.0,239.0,1,left,B. Lopez 27' 3PT  (20 PTS) (G. Antetokounmpo 7 AST),"[201572, 203507]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Right Center,,,,Made,20.0,27.3,,,,,,,,,,G. Antetokounmpo,203507.0,7.0,,
364,PT06M58.00S,2025-01-09T04:05:40.3Z,3,REGULAR,foul,personal,['2freethrow'],1631260,,,1610612759,77,62,2025-01-09T04:05:56Z,3570000,False,,,0,,A. Green shooting personal FOUL (3 PF) (Barnes 2 FT),"[1631260, 203084]",1610612749.0,MIL,shooting,,,Green,A. Green,,,,,Mid-Range,8-16 Right,1204.0,3.0,0.0,,,,,,,,,,,,,,,,Barnes,203084.0
366,PT06M58.00S,2025-01-09T04:06:01.9Z,3,REGULAR,freethrow,1 of 2,[],203084,,,1610612759,77,63,2025-01-09T04:06:01Z,3590000,False,,,0,,H. Barnes Free Throw 1 of 2 (10 PTS),[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,,,,,,Made,10.0,,,,,,,,,,,,,,,
367,PT06M58.00S,2025-01-09T04:06:02.9Z,3,REGULAR,substitution,out,[],1642264,,,1610612759,77,63,2025-01-09T04:06:14Z,3600000,False,,,0,,SUB out: S. Castle,[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,,,,,,,,,,,,,,,,,,,,,,
368,PT06M58.00S,2025-01-09T04:06:02.9Z,3,REGULAR,substitution,in,[],1630577,,,1610612759,77,63,2025-01-09T04:06:14Z,3610000,False,,,0,,SUB in: J. Champagnie,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,,,,,,,,,
369,PT06M58.00S,2025-01-09T04:06:20.5Z,3,REGULAR,freethrow,2 of 2,[],203084,,,1610612759,77,64,2025-01-09T04:06:20Z,3620000,False,,,0,,H. Barnes Free Throw 2 of 2 (11 PTS),[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,,,,,,Made,11.0,,,,,,,,,,,,,,,
370,PT06M42.00S,2025-01-09T04:06:37.5Z,3,REGULAR,2pt,Jump Shot,[],203507,24.392247043363994,32.1078431372549,1610612749,77,64,2025-01-09T04:07:48Z,3630000,False,89.0,177.0,1,left,MISS G. Antetokounmpo 19' pullup Shot,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Right Center,,,,Missed,,19.82,,,,,,,,,,,,,,
371,PT06M39.00S,2025-01-09T04:06:40.5Z,3,REGULAR,rebound,defensive,[],101108,,,1610612759,77,64,2025-01-09T04:06:42Z,3640000,False,,,0,,C. Paul REBOUND (Off:2 Def:3),[101108],1610612759.0,SAS,,,,Paul,C. Paul,,,,,Mid-Range,16-24 Right Center,,,,,,,370.0,5.0,3.0,2.0,,,,,,,,,,
372,PT06M30.00S,2025-01-09T04:06:49.5Z,3,REGULAR,3pt,Jump Shot,[],203084,68.50977332457293,64.48376225490196,1610612759,77,67,2025-01-09T04:06:57Z,3650000,False,72.0,244.0,1,right,H. Barnes 25' 3PT  (14 PTS) (C. Paul 4 AST),"[203084, 101108]",1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Center,,,,Made,14.0,25.4,,,,,,,,,,C. Paul,101108.0,4.0,,
374,PT06M20.00S,2025-01-09T04:07:03.4Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],203507,7.835085413929041,50.245098039215684,1610612749,79,67,2025-01-09T04:07:08Z,3670000,False,-1.0,21.0,1,left,G. Antetokounmpo driving finger roll Layup (21 PTS) (D. Lillard 6 AST),"[203507, 203081]",1610612749.0,MIL,driving finger roll,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,Made,21.0,2.11,,,,,,,,,,D. Lillard,203081.0,6.0,,
376,PT06M20.00S,2025-01-09T04:07:06.8Z,3,REGULAR,foul,personal,['1freethrow'],1641705,,,1610612749,79,67,2025-01-09T04:07:41Z,3690000,False,,,0,,V. Wembanyama shooting personal FOUL (3 PF) (Antetokounmpo 1 FT),"[1641705, 203507]",1610612759.0,SAS,shooting,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,1204.0,3.0,0.0,,,,,,,,,,,,,,,,Antetokounmpo,203507.0
378,PT06M20.00S,2025-01-09T04:07:42.6Z,3,REGULAR,freethrow,1 of 1,[],203507,,,1610612749,80,67,2025-01-09T04:07:42Z,3710000,False,,,0,,G. Antetokounmpo Free Throw 1 of 1 (22 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,Made,22.0,,,,,,,,,,,,,,,
379,PT06M06.00S,2025-01-09T04:07:55.9Z,3,REGULAR,3pt,Jump Shot,[],203084,65.1281208935611,28.186274509803923,1610612759,80,67,2025-01-09T04:08:11Z,3720000,False,-109.0,275.0,1,right,MISS H. Barnes 29' 3PT,[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Left Center,,,,Missed,,29.61,,,,,,,,,,,,,,
380,PT06M03.00S,2025-01-09T04:07:58.9Z,3,REGULAR,rebound,defensive,[],203507,,,1610612749,80,67,2025-01-09T04:08:11Z,3730000,False,,,0,,G. Antetokounmpo REBOUND (Off:2 Def:9),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Left Center,,,,,,,379.0,11.0,9.0,2.0,,,,,,,,,,
381,PT05M56.00S,2025-01-09T04:08:09.0Z,3,REGULAR,turnover,out-of-bounds,[],203507,,,1610612749,80,67,2025-01-09T04:08:16Z,3740000,False,,,0,,G. Antetokounmpo bad pass out-of-bounds TURNOVER (2 TO),[203507],1610612749.0,MIL,bad pass,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,8-16 Right,202027.0,,,,,,,,,,2.0,,,,,,,,,
382,PT05M56.00S,2025-01-09T04:08:15.6Z,3,REGULAR,substitution,out,[],1641705,,,1610612759,80,67,2025-01-09T04:08:22Z,3750000,False,,,0,,SUB out: V. Wembanyama,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,,,,,,,,,
383,PT05M56.00S,2025-01-09T04:08:15.6Z,3,REGULAR,substitution,in,[],1629646,,,1610612759,80,67,2025-01-09T04:08:22Z,3760000,False,,,0,,SUB in: C. Bassey,[1629646],1610612759.0,SAS,,,,Bassey,C. Bassey,,,,,,,,,,,,,,,,,,,,,,,,,,
384,PT05M41.00S,2025-01-09T04:08:38.1Z,3,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1629646,93.9060446780552,50.0,1610612759,80,69,2025-01-09T04:08:43Z,3770000,False,0.0,5.0,1,right,C. Bassey cutting DUNK (4 PTS) (C. Paul 5 AST),"[1629646, 101108]",1610612759.0,SAS,cutting,,,Bassey,C. Bassey,,,,,Restricted Area,0-8 Center,,,,Made,4.0,0.48,,,,,,,,,,C. Paul,101108.0,5.0,,
386,PT05M22.00S,2025-01-09T04:08:57.8Z,3,REGULAR,3pt,Jump Shot,[],201572,5.732588699080158,96.32352941176471,1610612749,80,69,2025-01-09T04:09:02Z,3790000,False,-232.0,1.0,1,left,MISS B. Lopez 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Left Corner 3,24+ Left,,,,Missed,,23.16,,,,,,,,,,,,,,
387,PT05M18.00S,2025-01-09T04:09:01.8Z,3,REGULAR,rebound,defensive,[],1630170,,,1610612759,80,69,2025-01-09T04:11:59Z,3800000,False,,,0,,D. Vassell REBOUND (Off:0 Def:7),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Left Corner 3,24+ Left,,,,,,,386.0,7.0,7.0,0.0,,,,,,,,,,
389,PT05M16.00S,2025-01-09T04:09:04.3Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],101108,71.04139290407359,75.98039215686273,1610612759,80,72,2025-01-09T04:12:05Z,3810000,False,130.0,220.0,1,right,C. Paul 25' 3PT running pullup (16 PTS),[101108],1610612759.0,SAS,running pullup,,,Paul,C. Paul,,,,,Above the Break 3,24+ Right Center,,,,Made,16.0,25.52,,,,,,,,,,,,,,
390,PT05M14.00S,2025-01-09T04:09:11.6Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,80,72,2025-01-09T04:09:11Z,3820000,False,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,PT05M14.00S,2025-01-09T04:11:43.7Z,3,REGULAR,substitution,out,[],201572,,,1610612749,80,72,2025-01-09T04:12:28Z,3830000,False,,,0,,SUB out: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,
392,PT05M14.00S,2025-01-09T04:11:43.7Z,3,REGULAR,substitution,out,[],1627752,,,1610612749,80,72,2025-01-09T04:12:28Z,3840000,False,,,0,,SUB out: T. Prince,[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,,
393,PT05M14.00S,2025-01-09T04:11:43.7Z,3,REGULAR,substitution,out,[],203084,,,1610612749,80,72,2025-01-09T04:12:28Z,3850000,False,,,0,,SUB out: H. Barnes,[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
394,PT05M14.00S,2025-01-09T04:11:43.7Z,3,REGULAR,substitution,in,[],203114,,,1610612749,80,72,2025-01-09T04:12:28Z,3860000,False,,,0,,SUB in: K. Middleton,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,,
395,PT05M14.00S,2025-01-09T04:11:43.7Z,3,REGULAR,substitution,in,[],1626171,,,1610612749,80,72,2025-01-09T04:12:28Z,3870000,False,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,,
396,PT05M14.00S,2025-01-09T04:11:43.7Z,3,REGULAR,substitution,in,[],1629640,,,1610612749,80,72,2025-01-09T04:12:28Z,3880000,False,,,0,,SUB in: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
397,PT05M00.00S,2025-01-09T04:12:50.5Z,3,REGULAR,turnover,bad pass,[],203081,,,1610612749,80,72,2025-01-09T04:12:55Z,3890000,False,,,0,,D. Lillard bad pass TURNOVER (2 TO),"[203081, 1629646]",1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,2.0,Bassey,1629646.0,,,,,,,
398,PT05M00.00S,2025-01-09T04:12:50.5Z,3,REGULAR,steal,,[],1629646,,,1610612759,80,72,2025-01-09T04:12:53Z,3900000,False,,,0,,C. Bassey STEAL (1 STL),[1629646],1610612759.0,SAS,,,,Bassey,C. Bassey,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
399,PT04M54.00S,2025-01-09T04:12:57.4Z,3,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",101108,71.82982917214193,10.294117647058822,1610612759,80,72,2025-01-09T04:13:04Z,3910000,False,-199.0,212.0,1,right,MISS C. Paul 29' running pullup 3PT,[101108],1610612759.0,SAS,running pullup,,,Paul,C. Paul,,,,,Above the Break 3,24+ Left Center,,,,Missed,,29.06,,,,,,,,,,,,,,
400,PT04M51.00S,2025-01-09T04:13:00.4Z,3,REGULAR,rebound,defensive,[],203507,,,1610612749,80,72,2025-01-09T04:13:04Z,3920000,False,,,0,,G. Antetokounmpo REBOUND (Off:2 Def:10),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Left Center,,,,,,,399.0,12.0,10.0,2.0,,,,,,,,,,
401,PT04M43.00S,2025-01-09T04:13:07.1Z,3,REGULAR,2pt,Jump Shot,[],203507,22.946780551905388,31.127450980392158,1610612749,80,72,2025-01-09T04:13:13Z,3930000,False,94.0,163.0,1,left,MISS G. Antetokounmpo 18' pullup Shot,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Right Center,,,,Missed,,18.85,,,,,,,,,,,,,,
402,PT04M39.00S,2025-01-09T04:13:11.1Z,3,REGULAR,rebound,defensive,[],1629646,,,1610612759,80,72,2025-01-09T04:13:13Z,3940000,False,,,0,,C. Bassey REBOUND (Off:1 Def:1),[1629646],1610612759.0,SAS,,,,Bassey,C. Bassey,,,,,Mid-Range,16-24 Right Center,,,,,,,401.0,2.0,1.0,1.0,,,,,,,,,,
403,PT04M20.00S,2025-01-09T04:13:30.8Z,3,REGULAR,3pt,Jump Shot,[],1629640,85.75886990801577,96.07843137254902,1610612759,80,72,2025-01-09T04:13:35Z,3950000,False,230.0,81.0,1,right,MISS K. Johnson 24' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Right Corner 3,24+ Right,,,,Missed,,24.44,,,,,,,,,,,,,,
404,PT04M17.00S,2025-01-09T04:13:33.8Z,3,REGULAR,rebound,defensive,[],1626171,,,1610612749,80,72,2025-01-09T04:13:35Z,3960000,False,,,0,,B. Portis REBOUND (Off:1 Def:6),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Right Corner 3,24+ Right,,,,,,,403.0,7.0,6.0,1.0,,,,,,,,,,
405,PT04M06.00S,2025-01-09T04:13:44.4Z,3,REGULAR,2pt,Jump Shot,[],203081,18.2161629434954,75.24509803921569,1610612749,82,72,2025-01-09T04:13:48Z,3970000,False,-126.0,119.0,1,left,D. Lillard 17' step back Jump Shot (17 PTS),[203081],1610612749.0,MIL,step back,,,Lillard,D. Lillard,,,,,Mid-Range,16-24 Left Center,,,,Made,17.0,17.33,,,,,,,,,,,,,,
406,PT03M47.00S,2025-01-09T04:14:03.4Z,3,REGULAR,2pt,Jump Shot,[],101108,75.77201051248358,28.921568627450984,1610612759,82,72,2025-01-09T04:15:04Z,3980000,False,-105.0,175.0,1,right,MISS C. Paul 20' pullup Shot,[101108],1610612759.0,SAS,pullup,,,Paul,C. Paul,,,,,Mid-Range,16-24 Left Center,,,,Missed,,20.45,,,,,,,,,,,,,,
407,PT03M43.00S,2025-01-09T04:14:07.4Z,3,REGULAR,rebound,defensive,[],203114,,,1610612749,82,72,2025-01-09T04:15:30Z,3990000,False,,,0,,K. Middleton REBOUND (Off:0 Def:3),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,Mid-Range,16-24 Left Center,,,,,,,406.0,3.0,3.0,0.0,,,,,,,,,,
408,PT03M34.00S,2025-01-09T04:14:16.5Z,3,REGULAR,3pt,Jump Shot,[],1626171,6.258212877792378,3.431372549019608,1610612749,82,72,2025-01-09T04:14:24Z,4000000,False,233.0,6.0,1,left,MISS B. Portis 3PT,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Right Corner 3,24+ Right,,,,Missed,,23.29,,,,,,,,,,,,,,
409,PT03M31.00S,2025-01-09T04:14:19.5Z,3,REGULAR,rebound,defensive,[],1629640,,,1610612759,82,72,2025-01-09T04:14:24Z,4010000,False,,,0,,K. Johnson REBOUND (Off:1 Def:5),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Right Corner 3,24+ Right,,,,,,,408.0,6.0,5.0,1.0,,,,,,,,,,
410,PT03M29.00S,2025-01-09T04:14:21.9Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1630577,69.59592641261499,75.73529411764706,1610612759,82,72,2025-01-09T04:14:28Z,4020000,False,129.0,233.0,1,right,MISS J. Champagnie 26' running 3PT,[1630577],1610612759.0,SAS,running,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Right Center,,,,Missed,,26.64,,,,,,,,,,,,,,
411,PT03M29.00S,2025-01-09T04:14:21.9Z,3,REGULAR,rebound,defensive,[],203114,,,1610612749,82,72,2025-01-09T04:14:28Z,4030000,False,,,0,,K. Middleton REBOUND (Off:0 Def:4),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Right Center,,,,,,,410.0,4.0,4.0,0.0,,,,,,,,,,
