actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
263,PT06M08.00S,2025-10-25T00:28:11.3Z,2,REGULAR,substitution,in,[],1628366,,,1610612751,38,49,2025-10-25T00:28:30Z,2610000,False,,,0,,SUB in: L. Ball,[1628366],1610612739.0,CLE,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,,
264,PT06M08.00S,2025-10-25T00:28:11.3Z,2,REGULAR,substitution,in,[],1628386,,,1610612751,38,49,2025-10-25T00:28:30Z,2620000,False,,,0,,SUB in: J. Allen,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
265,PT06M08.00S,2025-10-25T00:28:11.3Z,2,REGULAR,substitution,in,[],1630241,,,1610612751,38,49,2025-10-25T00:28:30Z,2630000,False,,,0,,SUB in: S. Merrill,[1630241],1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,,,,,,,,,,,,,,,,,,,,,,
266,PT06M08.00S,2025-10-25T00:28:33.9Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],1630560,,,1610612751,39,49,2025-10-25T00:28:33Z,2640000,False,,,0,,C. Thomas Free Throw 2 of 2 (6 PTS),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,Made,,,,,6.0,,,,,,,,,
267,PT05M55.00S,2025-10-25T00:28:50.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628366,84.83902759526939,56.86274509803921,1610612739,39,49,2025-10-25T00:28:55Z,2650000,False,34.0,90.0,1,right,MISS L. Ball 9' driving floating Shot,[1628366],1610612739.0,CLE,driving floating,,,Ball,L. Ball,,,,,In The Paint (Non-RA),8-16 Center,,,,,9.63,Missed,,,,,,,,,,,,,,
268,PT05M52.00S,2025-10-25T00:28:53.1Z,2,REGULAR,rebound,defensive,[],1641730,,,1610612751,39,49,2025-10-25T00:28:55Z,2660000,False,,,0,,N. Clowney REBOUND (Off:0 Def:3),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,267.0,3.0,3.0,0.0,,,,,,,,,,
269,PT05M37.00S,2025-10-25T00:29:07.9Z,2,REGULAR,3pt,Jump Shot,[],1641730,31.61957950065703,36.76470588235294,1610612751,39,49,2025-10-25T00:29:12Z,2670000,False,66.0,245.0,1,left,MISS N. Clowney 25' 3PT,[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Center,,,,,25.35,Missed,,,,,,,,,,,,,,
270,PT05M33.00S,2025-10-25T00:29:11.9Z,2,REGULAR,rebound,defensive,[],1629731,,,1610612739,39,49,2025-10-25T00:29:12Z,2680000,False,,,0,,D. Wade REBOUND (Off:0 Def:3),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,Above the Break 3,24+ Center,,,,,,,269.0,3.0,3.0,0.0,,,,,,,,,,
271,PT05M30.00S,2025-10-25T00:29:16.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1626204,93.38042049934296,48.03921568627451,1610612739,39,51,2025-10-25T00:29:41Z,2690000,False,-10.0,10.0,1,right,L. Nance Jr. driving reverse Layup (2 PTS) (S. Merrill 3 AST),"[1626204, 1630241]",1610612739.0,CLE,driving reverse,,,Nance Jr.,L. Nance Jr.,,,,,Restricted Area,0-8 Center,,,,,1.38,Made,,,,,2.0,S. Merrill,1630241.0,3.0,,,,,,
273,PT05M30.00S,2025-10-25T00:29:19.4Z,2,REGULAR,foul,personal,['1freethrow'],1642879,,,1610612739,39,51,2025-10-25T00:29:41Z,2710000,False,,,0,,B. Saraf shooting personal FOUL (1 PF) (Nance Jr. 1 FT),"[1642879, 1626204]",1610612751.0,BKN,shooting,,,Saraf,B. Saraf,,,,,Restricted Area,0-8 Center,,,,204058.0,,,,,,,,,,,1.0,0.0,Nance Jr.,1626204.0,,
275,PT05M30.00S,2025-10-25T00:29:30.2Z,2,REGULAR,substitution,out,[],1641730,,,1610612739,39,51,2025-10-25T00:30:00Z,2730000,False,,,0,,SUB out: N. Clowney,[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,,,,,,,,,,,,,,,,,,,,,,
276,PT05M30.00S,2025-10-25T00:29:30.2Z,2,REGULAR,substitution,in,[],1629651,,,1610612739,39,51,2025-10-25T00:30:00Z,2740000,False,,,0,,SUB in: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,,
277,PT05M30.00S,2025-10-25T00:29:56.7Z,2,REGULAR,freethrow,1 of 1,[],1626204,,,1610612739,39,51,2025-10-25T00:30:01Z,2750000,False,,,0,,MISS L. Nance Jr. Free Throw 1 of 1,[1626204],1610612739.0,CLE,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
278,PT05M25.00S,2025-10-25T00:30:01.7Z,2,REGULAR,rebound,defensive,[],1630533,,,1610612751,39,51,2025-10-25T00:30:01Z,2760000,False,,,0,,Z. Williams REBOUND (Off:0 Def:1),[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,,,,,,,,,277.0,1.0,1.0,0.0,,,,,,,,,,
279,PT05M13.00S,2025-10-25T00:30:12.2Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1629651,6.1268068331143235,57.107843137254896,1610612751,39,51,2025-10-25T00:30:26Z,2770000,False,-36.0,5.0,1,left,MISS N. Claxton Hook,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,3.59,Missed,,,,,,,,,,,,,,
280,PT05M11.00S,2025-10-25T00:30:14.2Z,2,REGULAR,rebound,defensive,[],1626204,,,1610612739,39,51,2025-10-25T00:30:26Z,2780000,False,,,0,,L. Nance Jr. REBOUND (Off:1 Def:2),[1626204],1610612739.0,CLE,,,,Nance Jr.,L. Nance Jr.,,,,,Restricted Area,0-8 Center,,,,,,,279.0,3.0,2.0,1.0,,,,,,,,,,
281,PT05M04.00S,2025-10-25T00:30:21.7Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1626204,92.19776609724047,53.431372549019606,1610612739,39,53,2025-10-25T00:30:33Z,2790000,False,17.0,21.0,1,right,L. Nance Jr. cutting DUNK (4 PTS) (S. Merrill 4 AST),"[1626204, 1630241]",1610612739.0,CLE,cutting,,,Nance Jr.,L. Nance Jr.,,,,,Restricted Area,0-8 Center,,,,,2.7,Made,,,,,4.0,S. Merrill,1630241.0,4.0,,,,,,
290,PT04M48.00S,2025-10-25T00:30:46.3Z,2,REGULAR,3pt,Jump Shot,[],1630560,29.6484888304862,77.94117647058823,1610612751,39,53,2025-10-25T00:34:44Z,2815000,False,-140.0,226.0,1,left,MISS C. Thomas 26' pullup 3PT,[1630560],1610612751.0,BKN,pullup,,,Thomas,C. Thomas,,,,,Above the Break 3,24+ Left Center,,,,,26.59,Missed,,,,,,,,,,,,,,
291,PT04M48.00S,2025-10-25T00:30:46.3Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612739,39,53,2025-10-25T00:34:44Z,2822500,False,,,0,,TEAM defensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,290.0,,,,,,,,,,,,,
285,PT04M48.00S,2025-10-25T00:31:11.0Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,39,53,2025-10-25T00:34:44Z,2830000,False,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,PT04M48.00S,2025-10-25T00:31:50.8Z,2,REGULAR,substitution,out,[],1642879,,,1610612739,39,53,2025-10-25T00:34:44Z,2850000,False,,,0,,SUB out: B. Saraf,[1642879],1610612751.0,BKN,,,,Saraf,B. Saraf,,,,,,,,,,,,,,,,,,,,,,,,,,
288,PT04M48.00S,2025-10-25T00:31:50.8Z,2,REGULAR,substitution,in,[],1629008,,,1610612739,39,53,2025-10-25T00:34:44Z,2860000,False,,,0,,SUB in: M. Porter Jr.,[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
289,PT04M41.00S,2025-10-25T00:34:35.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1626204,92.85479632063075,52.20588235294118,1610612739,39,55,2025-10-25T00:34:52Z,2870000,False,11.0,15.0,1,right,L. Nance Jr. driving Layup (6 PTS),[1626204],1610612739.0,CLE,driving,,,Nance Jr.,L. Nance Jr.,,,,,Restricted Area,0-8 Center,,,,,1.84,Made,,,,,6.0,,,,,,,,,
292,PT04M23.00S,2025-10-25T00:34:57.8Z,2,REGULAR,foul,offensive,[],1629008,,,1610612751,39,55,2025-10-25T00:35:18Z,2880000,False,,,0,,M. Porter Jr. offensive FOUL (1 PF),"[1629008, 1630241]",1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,204058.0,,,,,,,,,,,1.0,0.0,Merrill,1630241.0,,
294,PT04M23.00S,2025-10-25T00:34:57.8Z,2,REGULAR,turnover,offensive foul,[],1629008,,,1610612751,39,55,2025-10-25T00:34:57Z,2900000,False,,,0,,M. Porter Jr. offensive foul TURNOVER (1 TO),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,1.0,,,204058.0,,,,,,,,,,,,,,,,
295,PT04M18.00S,2025-10-25T00:35:16.4Z,2,REGULAR,foul,personal,[],1629611,,,1610612739,39,55,2025-10-25T00:35:40Z,2910000,False,,,0,,T. Mann personal FOUL (2 PF),"[1629611, 1628366]",1610612751.0,BKN,,,,Mann,T. Mann,,,,,Above the Break 3,24+ Left Center,,,,200832.0,,,,,,,,,,,2.0,0.0,Ball,1628366.0,,
297,PT04M11.00S,2025-10-25T00:35:41.7Z,2,REGULAR,foul,personal,['2freethrow'],1629008,,,1610612739,39,55,2025-10-25T00:36:07Z,2930000,False,,,0,,M. Porter Jr. shooting personal FOUL (2 PF) (Nance Jr. 2 FT),"[1629008, 1626204]",1610612751.0,BKN,shooting,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,,,,202056.0,,,,,,,,,,,2.0,0.0,Nance Jr.,1626204.0,,
299,PT04M11.00S,2025-10-25T00:36:31.0Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],1626204,,,1610612739,39,55,2025-10-25T00:36:31Z,2950000,False,,,0,,MISS L. Nance Jr. Free Throw 1 of 2,[1626204],1610612739.0,CLE,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
300,PT04M11.00S,2025-10-25T00:36:31.0Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612739,39,55,2025-10-25T00:36:31Z,2960000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,299.0,,,,,,,,,,,,,
301,PT04M11.00S,2025-10-25T00:36:46.8Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],1626204,,,1610612739,39,56,2025-10-25T00:36:46Z,2970000,False,,,0,,L. Nance Jr. Free Throw 2 of 2 (7 PTS),[1626204],1610612739.0,CLE,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,Made,,,,,7.0,,,,,,,,,
302,PT03M58.00S,2025-10-25T00:37:01.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,9.543363994743759,45.588235294117645,1610612751,39,56,2025-10-25T00:37:07Z,2980000,False,22.0,37.0,1,left,MISS N. Claxton driving Layup - blocked,"[1629651, 1628386]",1610612751.0,BKN,driving,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,4.33,Missed,,,,,,,,,,,,,Allen,1628386.0
303,PT03M58.00S,2025-10-25T00:37:01.8Z,2,REGULAR,block,,[],1628386,,,1610612751,39,56,2025-10-25T00:37:04Z,2990000,False,,,0,,J. Allen BLOCK (1 BLK),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
304,PT03M55.00S,2025-10-25T00:37:04.8Z,2,REGULAR,rebound,defensive,[],1628366,,,1610612739,39,56,2025-10-25T00:37:07Z,3000000,False,,,0,,L. Ball REBOUND (Off:0 Def:1),[1628366],1610612739.0,CLE,,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,,,,,,,302.0,1.0,1.0,0.0,,,,,,,,,,
305,PT03M47.00S,2025-10-25T00:37:13.1Z,2,REGULAR,turnover,bad pass,[],1630241,,,1610612739,39,56,2025-10-25T00:37:17Z,3010000,False,,,0,,S. Merrill bad pass TURNOVER (2 TO),"[1630241, 1630533]",1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,Mid-Range,8-16 Right,2.0,Williams,1630533.0,,,,,,,,,,,,,,,,,
306,PT03M47.00S,2025-10-25T00:37:13.1Z,2,REGULAR,steal,,[],1630533,,,1610612751,39,56,2025-10-25T00:37:15Z,3020000,False,,,0,,Z. Williams STEAL (2 STL),[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
307,PT03M43.00S,2025-10-25T00:37:17.6Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629611,18.873193166885677,8.823529411764707,1610612751,39,56,2025-10-25T00:37:23Z,3030000,False,206.0,125.0,1,left,MISS T. Mann 24' running 3PT,[1629611],1610612751.0,BKN,running,,,Mann,T. Mann,,,,,Above the Break 3,24+ Right Center,,,,,24.08,Missed,,,,,,,,,,,,,,
308,PT03M38.00S,2025-10-25T00:37:22.6Z,2,REGULAR,rebound,defensive,[],1629731,,,1610612739,39,56,2025-10-25T00:37:23Z,3040000,False,,,0,,D. Wade REBOUND (Off:0 Def:4),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,Above the Break 3,24+ Right Center,,,,,,,307.0,4.0,4.0,0.0,,,,,,,,,,
309,PT03M29.00S,2025-10-25T00:37:31.1Z,2,REGULAR,3pt,Jump Shot,[],1630241,95.0886990801577,4.6568627450980395,1610612739,39,56,2025-10-25T00:37:35Z,3050000,False,-227.0,-6.0,1,right,MISS S. Merrill 3PT,[1630241],1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,Left Corner 3,24+ Left,,,,,22.68,Missed,,,,,,,,,,,,,,
310,PT03M26.00S,2025-10-25T00:37:34.1Z,2,REGULAR,rebound,defensive,[],1630560,,,1610612751,39,56,2025-10-25T00:37:35Z,3060000,False,,,0,,C. Thomas REBOUND (Off:0 Def:1),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,Left Corner 3,24+ Left,,,,,,,309.0,1.0,1.0,0.0,,,,,,,,,,
311,PT03M20.00S,2025-10-25T00:37:40.4Z,2,REGULAR,3pt,Jump Shot,[],1630560,31.09395532194481,70.09803921568627,1610612751,42,56,2025-10-25T00:37:45Z,3070000,False,-100.0,240.0,1,left,C. Thomas 26' 3PT step back (9 PTS),[1630560],1610612751.0,BKN,step back,,,Thomas,C. Thomas,,,,,Above the Break 3,24+ Left Center,,,,,26.0,Made,,,,,9.0,,,,,,,,,
312,PT03M02.00S,2025-10-25T00:37:58.6Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1628386,92.72339027595268,51.9607843137255,1610612739,42,58,2025-10-25T00:38:03Z,3080000,False,10.0,16.0,1,right,J. Allen driving DUNK (8 PTS) (L. Ball 3 AST),"[1628386, 1628366]",1610612739.0,CLE,driving,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,1.87,Made,,,,,8.0,L. Ball,1628366.0,3.0,,,,,,
314,PT02M45.00S,2025-10-25T00:38:14.3Z,2,REGULAR,3pt,Jump Shot,[],1630560,25.706307490144546,81.37254901960785,1610612751,42,58,2025-10-25T00:38:18Z,3100000,False,-157.0,189.0,1,left,MISS C. Thomas 24' pullup 3PT,[1630560],1610612751.0,BKN,pullup,,,Thomas,C. Thomas,,,,,Above the Break 3,24+ Left Center,,,,,24.57,Missed,,,,,,,,,,,,,,
315,PT02M42.00S,2025-10-25T00:38:17.3Z,2,REGULAR,rebound,defensive,[],1628366,,,1610612739,42,58,2025-10-25T00:38:18Z,3110000,False,,,0,,L. Ball REBOUND (Off:0 Def:2),[1628366],1610612739.0,CLE,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,,,,,,,314.0,2.0,2.0,0.0,,,,,,,,,,
316,PT02M41.00S,2025-10-25T00:38:22.4Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630560,,,1610612739,42,58,2025-10-25T00:38:31Z,3120000,False,,,0,,C. Thomas personal FOUL (1 PF) (Allen 2 FT),"[1630560, 1628386]",1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,Mid-Range,16-24 Center,,,,200832.0,,,,,,,,,,,1.0,0.0,Allen,1628386.0,,
318,PT02M41.00S,2025-10-25T00:38:49.2Z,2,REGULAR,freethrow,1 of 2,[],1628386,,,1610612739,42,58,2025-10-25T00:38:49Z,3140000,False,,,0,,MISS J. Allen Free Throw 1 of 2,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
319,PT02M41.00S,2025-10-25T00:38:49.2Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612739,42,58,2025-10-25T00:38:49Z,3150000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,318.0,,,,,,,,,,,,,
320,PT02M41.00S,2025-10-25T00:38:50.0Z,2,REGULAR,substitution,out,[],1626204,,,1610612739,42,58,2025-10-25T00:38:56Z,3160000,False,,,0,,SUB out: L. Nance Jr.,[1626204],1610612739.0,CLE,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
321,PT02M41.00S,2025-10-25T00:38:50.0Z,2,REGULAR,substitution,out,[],1629731,,,1610612739,42,58,2025-10-25T00:38:56Z,3170000,False,,,0,,SUB out: D. Wade,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,,,,,,,,,,,,,,,,,,
322,PT02M41.00S,2025-10-25T00:38:50.0Z,2,REGULAR,substitution,in,[],1630596,,,1610612739,42,58,2025-10-25T00:38:56Z,3180000,False,,,0,,SUB in: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,,
323,PT02M41.00S,2025-10-25T00:38:50.0Z,2,REGULAR,substitution,in,[],1628378,,,1610612739,42,58,2025-10-25T00:38:56Z,3190000,False,,,0,,SUB in: D. Mitchell,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
324,PT02M41.00S,2025-10-25T00:39:09.8Z,2,REGULAR,freethrow,2 of 2,[],1628386,,,1610612739,42,59,2025-10-25T00:39:09Z,3200000,False,,,0,,J. Allen Free Throw 2 of 2 (9 PTS),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,Made,,,,,9.0,,,,,,,,,
325,PT02M21.00S,2025-10-25T00:39:33.6Z,2,REGULAR,3pt,Jump Shot,[],1629008,30.305519053876477,29.65686274509804,1610612751,42,59,2025-10-25T00:42:10Z,3210000,False,102.0,232.0,1,left,MISS M. Porter Jr. 25' step back 3PT,[1629008],1610612751.0,BKN,step back,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,,,,,25.37,Missed,,,,,,,,,,,,,,
326,PT02M19.00S,2025-10-25T00:39:35.6Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612739,42,59,2025-10-25T00:39:39Z,3220000,False,,,0,,TEAM defensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,325.0,,,,,,,,,,,,,
328,PT02M11.00S,2025-10-25T00:39:52.0Z,2,REGULAR,foul,offensive,['inpenalty'],1628386,,,1610612739,42,59,2025-10-25T00:39:58Z,3240000,False,,,0,,J. Allen offensive FOUL (1 PF),"[1628386, 1629651]",1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),8-16 Center,,,,204058.0,,,,,,,,,,,1.0,0.0,Claxton,1629651.0,,
330,PT02M11.00S,2025-10-25T00:39:52.0Z,2,REGULAR,turnover,offensive foul,[],1628386,,,1610612739,42,59,2025-10-25T00:39:52Z,3260000,False,,,0,,J. Allen offensive foul TURNOVER (1 TO),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),8-16 Center,1.0,,,204058.0,,,,,,,,,,,,,,,,
331,PT01M57.00S,2025-10-25T00:40:22.6Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630533,28.86005256241787,71.56862745098039,1610612751,45,59,2025-10-25T00:40:27Z,3270000,False,-108.0,219.0,1,left,Z. Williams 24' 3PT  (12 PTS) (C. Thomas 3 AST),"[1630533, 1630560]",1610612751.0,BKN,,,,Williams,Z. Williams,,,,,Above the Break 3,24+ Left Center,,,,,24.39,Made,,,,,12.0,C. Thomas,1630560.0,3.0,,,,,,
333,PT01M47.00S,2025-10-25T00:40:32.9Z,2,REGULAR,3pt,Jump Shot,[],1628378,69.72733245729303,77.20588235294117,1610612739,45,59,2025-10-25T00:43:39Z,3290000,False,136.0,232.0,1,right,MISS D. Mitchell 26' step back 3PT,[1628378],1610612739.0,CLE,step back,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,,,,,26.9,Missed,,,,,,,,,,,,,,
334,PT01M46.00S,2025-10-25T00:40:33.9Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612751,45,59,2025-10-25T00:40:42Z,3300000,False,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,333.0,,,,,,,,,,,,,
336,PT01M23.00S,2025-10-25T00:41:06.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629611,16.770696452036795,44.6078431372549,1610612751,47,59,2025-10-25T00:41:12Z,3320000,False,27.0,105.0,1,left,T. Mann 10' Jump Shot (4 PTS) (C. Thomas 4 AST),"[1629611, 1630560]",1610612751.0,BKN,,,,Mann,T. Mann,,,,,In The Paint (Non-RA),8-16 Center,,,,,10.85,Made,,,,,4.0,C. Thomas,1630560.0,4.0,,,,,,
338,PT01M14.00S,2025-10-25T00:41:19.4Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629651,,,1610612739,47,59,2025-10-25T00:41:26Z,3340000,False,,,0,,N. Claxton personal FOUL (1 PF) (Allen 2 FT),"[1629651, 1628386]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Center,,,,200832.0,,,,,,,,,,,1.0,0.0,Allen,1628386.0,,
340,PT01M14.00S,2025-10-25T00:41:45.0Z,2,REGULAR,freethrow,1 of 2,[],1628386,,,1610612739,47,60,2025-10-25T00:41:45Z,3360000,False,,,0,,J. Allen Free Throw 1 of 2 (10 PTS),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,Made,,,,,10.0,,,,,,,,,
341,PT01M14.00S,2025-10-25T00:42:01.2Z,2,REGULAR,freethrow,2 of 2,[],1628386,,,1610612739,47,61,2025-10-25T00:42:01Z,3370000,False,,,0,,J. Allen Free Throw 2 of 2 (11 PTS),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,Made,,,,,11.0,,,,,,,,,
342,PT01M03.00S,2025-10-25T00:42:13.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630560,17.821944809461236,50.0,1610612751,49,61,2025-10-25T00:42:19Z,3380000,False,0.0,115.0,1,left,C. Thomas 11' pullup Jump Shot (11 PTS),[1630560],1610612751.0,BKN,pullup,,,Thomas,C. Thomas,,,,,In The Paint (Non-RA),8-16 Center,,,,,11.5,Made,,,,,11.0,,,,,,,,,
343,PT00M53.00S,2025-10-25T00:42:38.1Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1628386,92.72339027595268,50.73529411764706,1610612739,49,63,2025-10-25T00:42:42Z,3390000,False,4.0,16.0,1,right,J. Allen alley-oop DUNK (13 PTS) (D. Mitchell 4 AST),"[1628386, 1628378]",1610612739.0,CLE,alley-oop,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,1.63,Made,,,,,13.0,D. Mitchell,1628378.0,4.0,,,,,,
345,PT00M40.00S,2025-10-25T00:42:53.8Z,2,REGULAR,2pt,Jump Shot,[],1630560,5.863994743758213,73.0392156862745,1610612751,51,63,2025-10-25T00:43:00Z,3410000,False,-115.0,3.0,1,left,C. Thomas 11' fadeaway Jump Shot (13 PTS),[1630560],1610612751.0,BKN,fadeaway,,,Thomas,C. Thomas,,,,,Mid-Range,8-16 Left,,,,,11.52,Made,,,,,13.0,,,,,,,,,
346,PT00M32.20S,2025-10-25T00:43:05.1Z,2,REGULAR,3pt,Jump Shot,[],1628366,76.82325886990802,90.68627450980392,1610612739,51,63,2025-10-25T00:43:10Z,3420000,False,203.0,165.0,1,right,MISS L. Ball 26' pullup 3PT,[1628366],1610612739.0,CLE,pullup,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,,,,,26.22,Missed,,,,,,,,,,,,,,
347,PT00M26.90S,2025-10-25T00:43:10.4Z,2,REGULAR,rebound,defensive,[],1629008,,,1610612751,51,63,2025-10-25T00:43:10Z,3430000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:3),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,346.0,3.0,3.0,0.0,,,,,,,,,,
348,PT00M21.10S,2025-10-25T00:43:22.3Z,2,REGULAR,turnover,8-second-violation,['team'],0,,,1610612751,51,63,2025-10-25T00:43:31Z,3440000,False,,,0,,BKN 8-second-violation Team TURNOVER,[],1610612751.0,BKN,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,204058.0,,,,,,,,,,,,,,,,
349,PT00M21.10S,2025-10-25T00:43:35.8Z,2,REGULAR,substitution,out,[],1629008,,,1610612739,51,63,2025-10-25T00:43:50Z,3450000,False,,,0,,SUB out: M. Porter Jr.,[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
350,PT00M21.10S,2025-10-25T00:43:35.8Z,2,REGULAR,substitution,out,[],1630560,,,1610612739,51,63,2025-10-25T00:43:50Z,3460000,False,,,0,,SUB out: C. Thomas,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,
