actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
267,PT03M31.00S,2022-01-29T01:54:05.3Z,2,REGULAR,substitution,out,[],1629026,,,1610612760,44,42,2022-01-29T01:54:31Z,2640000,,,0,,SUB out: K. Williams,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
268,PT03M31.00S,2022-01-29T01:54:05.3Z,2,REGULAR,substitution,out,[],1630537,,,1610612760,44,42,2022-01-29T01:54:31Z,2650000,,,0,,SUB out: C. Duarte,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,
269,PT03M31.00S,2022-01-29T01:54:05.3Z,2,REGULAR,substitution,out,[],202362,,,1610612760,44,42,2022-01-29T01:54:31Z,2660000,,,0,,SUB out: L. Stephenson,[202362],1610612754.0,IND,,,,Stephenson,L. Stephenson,,,,,,,,,,,,,,,,,,,,,,,,,
270,PT03M31.00S,2022-01-29T01:54:05.3Z,2,REGULAR,substitution,in,[],1628983,,,1610612760,44,42,2022-01-29T01:54:31Z,2670000,,,0,,SUB in: S. Gilgeous-Alexander,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,,
271,PT03M31.00S,2022-01-29T01:54:05.3Z,2,REGULAR,substitution,in,[],1629652,,,1610612760,44,42,2022-01-29T01:54:31Z,2680000,,,0,,SUB in: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,
272,PT03M31.00S,2022-01-29T01:54:05.3Z,2,REGULAR,substitution,in,[],1630526,,,1610612760,44,42,2022-01-29T01:54:31Z,2690000,,,0,,SUB in: J. Robinson-Earl,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,,,,,,,,
273,PT03M31.00S,2022-01-29T01:54:05.3Z,2,REGULAR,substitution,in,[],1627747,,,1610612760,44,42,2022-01-29T01:54:31Z,2700000,,,0,,SUB in: C. LeVert,[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,
274,PT03M31.00S,2022-01-29T01:54:05.3Z,2,REGULAR,substitution,in,[],1630613,,,1610612760,44,42,2022-01-29T01:54:31Z,2710000,,,0,,SUB in: D. Washington Jr.,[1630613],1610612754.0,IND,,,,Washington Jr.,D. Washington Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
275,PT03M25.00S,2022-01-29T01:54:43.3Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1629652,8.492115637319317,41.42156862745098,1610612760,46,42,2022-01-29T01:58:52Z,2720000,43.0,27.0,1,left,L. Dort cutting DUNK (11 PTS) (S. Gilgeous-Alexander 2 AST),"[1629652, 1628983]",1610612760.0,OKC,cutting,,,Dort,L. Dort,,,,,5.08,Made,11.0,,,,,S. Gilgeous-Alexander,1628983.0,2.0,,,,,,,,,,,
277,PT03M16.00S,2022-01-29T01:54:55.4Z,2,REGULAR,foul,personal,['2freethrow'],1630526,,,1610612754,46,42,2022-01-29T01:55:24Z,2740000,,,0,,J. Robinson-Earl shooting personal FOUL (1 PF) (Sabonis 2 FT),"[1630526, 1627734]",1610612760.0,OKC,shooting,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,,,202037.0,1.0,0.0,Sabonis,1627734.0,
279,PT03M16.00S,2022-01-29T01:55:25.7Z,2,REGULAR,freethrow,1 of 2,[],1627734,,,1610612754,46,42,2022-01-29T01:55:25Z,2760000,,,0,,MISS D. Sabonis Free Throw 1 of 2,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,Missed,,,,,,,,,,,,,,,,,,,
280,PT03M16.00S,2022-01-29T01:55:25.7Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612754,46,42,2022-01-29T01:55:25Z,2770000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,279.0,,,,,,,,,,,,,,,,,
281,PT03M16.00S,2022-01-29T01:55:42.9Z,2,REGULAR,freethrow,2 of 2,[],1627734,,,1610612754,46,43,2022-01-29T01:55:42Z,2780000,,,0,,D. Sabonis Free Throw 2 of 2 (9 PTS),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,Made,9.0,,,,,,,,,,,,,,,,,,
282,PT02M53.00S,2022-01-29T01:56:07.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,20.18725361366623,40.19607843137255,1610612760,48,43,2022-01-29T01:56:11Z,2790000,49.0,137.0,1,left,J. Giddey 14' turnaround Jump Shot (6 PTS),[1630581],1610612760.0,OKC,turnaround,,,Giddey,J. Giddey,,,,,14.58,Made,6.0,,,,,,,,,,,,,,,,,,
283,PT02M41.00S,2022-01-29T01:56:18.7Z,2,REGULAR,3pt,Jump Shot,[],1630613,76.03482260183968,87.74509803921569,1610612754,48,46,2022-01-29T01:56:22Z,2800000,189.0,173.0,1,right,D. Washington Jr. 25' 3PT  (5 PTS) (D. Sabonis 6 AST),"[1630613, 1627734]",1610612754.0,IND,,,,Washington Jr.,D. Washington Jr.,,,,,25.59,Made,5.0,,,,,D. Sabonis,1627734.0,6.0,,,,,,,,,,,
285,PT02M29.00S,2022-01-29T01:56:30.6Z,2,REGULAR,3pt,Jump Shot,[],1629652,23.078186596583443,88.23529411764706,1610612760,48,46,2022-01-29T01:56:37Z,2820000,-191.0,164.0,1,left,MISS L. Dort 25' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,25.22,Missed,,,,,,,,,,,,,,,,,,,
286,PT02M24.00S,2022-01-29T01:56:35.6Z,2,REGULAR,rebound,defensive,[],1627734,,,1610612754,48,46,2022-01-29T01:56:37Z,2830000,,,0,,D. Sabonis REBOUND (Off:0 Def:8),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,285.0,8.0,8.0,0.0,,,,,,,,,,,,,,
287,PT02M07.00S,2022-01-29T01:56:53.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628470,92.46057818659659,55.88235294117647,1610612754,48,48,2022-01-29T01:58:13Z,2840000,29.0,18.0,1,right,T. Craig cutting Layup (5 PTS) (D. Sabonis 7 AST),"[1628470, 1627734]",1610612754.0,IND,cutting,,,Craig,T. Craig,,,,,3.47,Made,5.0,,,,,D. Sabonis,1627734.0,7.0,,,,,,,,,,,
289,PT01M53.00S,2022-01-29T01:57:07.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,10.33180026281209,46.568627450980394,1610612760,50,48,2022-01-29T01:57:12Z,2860000,17.0,45.0,1,left,S. Gilgeous-Alexander driving Layup (6 PTS),[1628983],1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,4.78,Made,6.0,,,,,,,,,,,,,,,,,,
290,PT01M35.00S,2022-01-29T01:57:24.8Z,2,REGULAR,3pt,Jump Shot,[],1630613,74.72076215505913,87.00980392156863,1610612754,50,48,2022-01-29T02:01:12Z,2870000,185.0,185.0,1,right,MISS D. Washington Jr. 26' pullup 3PT,[1630613],1610612754.0,IND,pullup,,,Washington Jr.,D. Washington Jr.,,,,,26.17,Missed,,,,,,,,,,,,,,,,,,,
291,PT01M31.00S,2022-01-29T01:57:28.8Z,2,REGULAR,rebound,offensive,[],1627747,,,1610612754,50,48,2022-01-29T01:57:30Z,2880000,,,0,,C. LeVert REBOUND (Off:1 Def:2),[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,290.0,3.0,2.0,1.0,,,,,,,,,,,,,,
292,PT01M21.00S,2022-01-29T01:57:39.2Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1627747,64.33968462549278,65.68627450980392,1610612754,50,48,2022-01-29T02:01:56Z,2890000,78.0,283.0,1,right,MISS C. LeVert 29' step back 3PT,[1627747],1610612754.0,IND,step back,,,LeVert,C. LeVert,,,,,29.34,Missed,,,,,,,,,,,,,,,,,,,
293,PT01M17.00S,2022-01-29T01:57:43.2Z,2,REGULAR,rebound,defensive,[],1628983,,,1610612760,50,48,2022-01-29T01:57:44Z,2900000,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:2),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,292.0,2.0,2.0,0.0,,,,,,,,,,,,,,
294,PT01M03.00S,2022-01-29T01:57:56.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,11.12023653088042,44.36274509803921,1610612760,52,48,2022-01-29T02:02:34Z,2910000,28.0,52.0,1,left,S. Gilgeous-Alexander driving finger roll Layup (8 PTS),[1628983],1610612760.0,OKC,driving finger roll,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,5.92,Made,8.0,,,,,,,,,,,,,,,,,,
295,PT00M50.50S,2022-01-29T01:58:11.4Z,2,REGULAR,3pt,Jump Shot,[],203200,77.4802890932983,7.8431372549019605,1610612754,52,51,2022-01-29T01:58:17Z,2920000,-211.0,159.0,1,right,J. Holiday 26' 3PT  (10 PTS) (D. Sabonis 8 AST),"[203200, 1627734]",1610612754.0,IND,,,,Holiday,J. Holiday,,,,,26.42,Made,10.0,,,,,D. Sabonis,1627734.0,8.0,,,,,,,,,,,
297,PT00M27.00S,2022-01-29T01:58:36.6Z,2,REGULAR,3pt,Jump Shot,[],1628983,32.40801576872536,66.66666666666666,1610612760,52,51,2022-01-29T02:03:13Z,2940000,-83.0,252.0,1,left,MISS S. Gilgeous-Alexander 26' step back 3PT,[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,26.55,Missed,,,,,,,,,,,,,,,,,,,
298,PT00M23.40S,2022-01-29T01:58:40.2Z,2,REGULAR,rebound,offensive,[],1629652,,,1610612760,52,51,2022-01-29T01:58:44Z,2950000,,,0,,L. Dort REBOUND (Off:2 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,297.0,3.0,1.0,2.0,,,,,,,,,,,,,,
299,PT00M21.30S,2022-01-29T01:58:43.1Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1630526,10.85742444152431,53.67647058823529,1610612760,54,51,2022-01-29T02:03:55Z,2960000,-18.0,50.0,1,left,J. Robinson-Earl cutting DUNK (7 PTS) (J. Giddey 3 AST),"[1630526, 1630581]",1610612760.0,OKC,cutting,,,Robinson-Earl,J. Robinson-Earl,,,,,5.29,Made,7.0,,,,,J. Giddey,1630581.0,3.0,,,,,,,,,,,
301,PT00M00.80S,2022-01-29T01:59:11.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627747,91.01511169513797,58.57843137254902,1610612754,54,51,2022-01-29T02:04:09Z,2980000,43.0,32.0,1,right,MISS C. LeVert driving floating Shot,[1627747],1610612754.0,IND,driving floating,,,LeVert,C. LeVert,,,,,5.35,Missed,,,,,,,,,,,,,,,,,,,
302,PT00M00.80S,2022-01-29T01:59:11.3Z,2,REGULAR,rebound,defensive,[],1629652,,,1610612760,54,51,2022-01-29T01:59:16Z,2990000,,,0,,L. Dort REBOUND (Off:2 Def:2),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,301.0,4.0,2.0,2.0,,,,,,,,,,,,,,
303,PT00M00.00S,2022-01-29T01:59:16.3Z,2,REGULAR,period,end,[],0,,,1610612760,54,51,2022-01-29T01:59:16Z,3000000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,PT12M00.00S,2022-01-29T02:11:31.0Z,3,REGULAR,substitution,out,['startperiod'],1629647,,,1610612760,54,51,2022-01-29T02:14:24Z,3010000,,,0,,SUB out: D. Bazley,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,,,,
306,PT12M00.00S,2022-01-29T02:11:31.0Z,3,REGULAR,substitution,out,['startperiod'],1630526,,,1610612760,54,51,2022-01-29T02:14:24Z,3020000,,,0,,SUB out: J. Robinson-Earl,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,,,,,,,,
307,PT12M00.00S,2022-01-29T02:11:31.0Z,3,REGULAR,substitution,out,['startperiod'],1630613,,,1610612760,54,51,2022-01-29T02:14:24Z,3030000,,,0,,SUB out: D. Washington Jr.,[1630613],1610612754.0,IND,,,,Washington Jr.,D. Washington Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
308,PT12M00.00S,2022-01-29T02:11:31.0Z,3,REGULAR,substitution,in,['startperiod'],1630544,,,1610612760,54,51,2022-01-29T02:14:24Z,3040000,,,0,,SUB in: T. Mann,[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,
309,PT12M00.00S,2022-01-29T02:11:31.0Z,3,REGULAR,substitution,in,['startperiod'],203488,,,1610612760,54,51,2022-01-29T02:14:24Z,3050000,,,0,,SUB in: M. Muscala,[203488],1610612760.0,OKC,,,,Muscala,M. Muscala,,,,,,,,,,,,,,,,,,,,,,,,,
310,PT12M00.00S,2022-01-29T02:11:31.0Z,3,REGULAR,substitution,in,['startperiod'],1630537,,,1610612760,54,51,2022-01-29T02:14:24Z,3060000,,,0,,SUB in: C. Duarte,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,
311,PT12M00.00S,2022-01-29T02:14:28.5Z,3,REGULAR,period,start,[],0,,,1610612760,54,51,2022-01-29T02:14:28Z,3070000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,PT11M42.00S,2022-01-29T02:14:47.4Z,3,REGULAR,foul,personal,['2freethrow'],1627747,,,1610612760,54,51,2022-01-29T02:14:58Z,3080000,,,0,,C. LeVert shooting personal FOUL (1 PF) (Gilgeous-Alexander 2 FT),"[1627747, 1628983]",1610612754.0,IND,shooting,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,202037.0,1.0,0.0,Gilgeous-Alexander,1628983.0,
314,PT11M42.00S,2022-01-29T02:15:06.5Z,3,REGULAR,freethrow,1 of 2,[],1628983,,,1610612760,55,51,2022-01-29T02:15:06Z,3100000,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (9 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,Made,9.0,,,,,,,,,,,,,,,,,,
315,PT11M42.00S,2022-01-29T02:15:17.5Z,3,REGULAR,freethrow,2 of 2,[],1628983,,,1610612760,56,51,2022-01-29T02:15:17Z,3110000,,,0,,S. Gilgeous-Alexander Free Throw 2 of 2 (10 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,Made,10.0,,,,,,,,,,,,,,,,,,
316,PT11M27.00S,2022-01-29T02:15:34.2Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627747,17.296320630749015,64.95098039215686,1610612754,56,51,2022-01-29T02:17:54Z,3120000,-75.0,110.0,1,left,MISS C. LeVert 13' pullup Shot,[1627747],1610612754.0,IND,pullup,,,LeVert,C. LeVert,,,,,13.31,Missed,,,,,,,,,,,,,,,,,,,
317,PT11M24.00S,2022-01-29T02:15:37.2Z,3,REGULAR,rebound,defensive,[],1629652,,,1610612760,56,51,2022-01-29T02:18:52Z,3130000,,,0,,L. Dort REBOUND (Off:2 Def:3),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,316.0,5.0,3.0,2.0,,,,,,,,,,,,,,
318,PT11M19.00S,2022-01-29T02:15:41.2Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1630581,66.83639947437582,39.21568627450981,1610612760,56,51,2022-01-29T02:19:23Z,3140000,-54.0,259.0,1,right,MISS J. Giddey 26' running pullup 3PT,[1630581],1610612760.0,OKC,running pullup,,,Giddey,J. Giddey,,,,,26.47,Missed,,,,,,,,,,,,,,,,,,,
319,PT11M17.00S,2022-01-29T02:15:44.9Z,3,REGULAR,rebound,offensive,[],1630581,,,1610612760,56,51,2022-01-29T02:15:44Z,3150000,,,0,,J. Giddey REBOUND (Off:1 Def:3),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,318.0,4.0,3.0,1.0,,,,,,,,,,,,,,
320,PT11M13.00S,2022-01-29T02:15:48.6Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],203488,93.9060446780552,4.411764705882353,1610612760,59,51,2022-01-29T02:15:52Z,3160000,-228.0,5.0,1,right,M. Muscala 3PT  (6 PTS) (S. Gilgeous-Alexander 3 AST),"[203488, 1628983]",1610612760.0,OKC,,,,Muscala,M. Muscala,,,,,22.8,Made,6.0,,,,,S. Gilgeous-Alexander,1628983.0,3.0,,,,,,,,,,,
322,PT11M02.00S,2022-01-29T02:15:59.0Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630537,8.229303547963205,45.588235294117645,1610612754,59,51,2022-01-29T02:16:03Z,3180000,22.0,25.0,1,left,MISS C. Duarte driving Layup,[1630537],1610612754.0,IND,driving,,,Duarte,C. Duarte,,,,,3.33,Missed,,,,,,,,,,,,,,,,,,,
323,PT11M00.00S,2022-01-29T02:16:01.0Z,3,REGULAR,rebound,defensive,[],1629652,,,1610612760,59,51,2022-01-29T02:16:03Z,3190000,,,0,,L. Dort REBOUND (Off:2 Def:4),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,322.0,6.0,4.0,2.0,,,,,,,,,,,,,,
324,PT10M56.00S,2022-01-29T02:16:04.9Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],203488,62.10578186596584,45.09803921568628,1610612760,59,51,2022-01-29T02:20:39Z,3200000,-25.0,304.0,1,right,MISS M. Muscala 30' running 3PT,[203488],1610612760.0,OKC,running,,,Muscala,M. Muscala,,,,,30.47,Missed,,,,,,,,,,,,,,,,,,,
325,PT10M54.00S,2022-01-29T02:16:06.9Z,3,REGULAR,rebound,defensive,[],1630537,,,1610612754,59,51,2022-01-29T02:16:21Z,3210000,,,0,,C. Duarte REBOUND (Off:0 Def:1),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,324.0,1.0,1.0,0.0,,,,,,,,,,,,,,
326,PT10M43.00S,2022-01-29T02:16:18.1Z,3,REGULAR,3pt,Jump Shot,[],203200,10.463206307490145,2.696078431372549,1610612754,59,51,2022-01-29T02:16:23Z,3220000,237.0,46.0,1,left,MISS J. Holiday 24' 3PT,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,24.09,Missed,,,,,,,,,,,,,,,,,,,
327,PT10M41.00S,2022-01-29T02:16:20.1Z,3,REGULAR,rebound,defensive,[],1630581,,,1610612760,59,51,2022-01-29T02:16:23Z,3230000,,,0,,J. Giddey REBOUND (Off:1 Def:4),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,326.0,5.0,4.0,1.0,,,,,,,,,,,,,,
328,PT10M35.00S,2022-01-29T02:16:26.2Z,3,REGULAR,3pt,Jump Shot,[],1630544,74.19513797634691,88.23529411764706,1610612760,62,51,2022-01-29T02:21:57Z,3240000,191.0,190.0,1,right,T. Mann 26' 3PT step back (6 PTS),[1630544],1610612760.0,OKC,step back,,,Mann,T. Mann,,,,,26.96,Made,6.0,,,,,,,,,,,,,,,,,,
329,PT10M33.00S,2022-01-29T02:16:32.7Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,62,51,2022-01-29T02:16:32Z,3250000,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,PT10M17.00S,2022-01-29T02:19:38.7Z,3,REGULAR,turnover,out-of-bounds,[],1628470,,,1610612754,62,51,2022-01-29T02:19:44Z,3260000,,,0,,T. Craig lost ball out-of-bounds TURNOVER (1 TO),[1628470],1610612754.0,IND,lost ball,,,Craig,T. Craig,,,,,,,,,,,,,,,1.0,,,,,202037.0,,,,,
331,PT10M11.00S,2022-01-29T02:19:57.7Z,3,REGULAR,foul,personal,['2freethrow'],1627734,,,1610612760,62,51,2022-01-29T02:20:09Z,3270000,,,0,,D. Sabonis shooting personal FOUL (1 PF) (Gilgeous-Alexander 2 FT),"[1627734, 1628983]",1610612754.0,IND,shooting,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,1626301.0,1.0,0.0,Gilgeous-Alexander,1628983.0,
333,PT10M11.00S,2022-01-29T02:20:35.6Z,3,REGULAR,freethrow,1 of 2,['fromturnover'],1628983,,,1610612760,62,51,2022-01-29T02:21:08Z,3290000,,,0,,MISS S. Gilgeous-Alexander Free Throw 1 of 2,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,Missed,,,,,,,,,,,,,,,,,,,
334,PT10M11.00S,2022-01-29T02:20:35.6Z,3,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612760,62,51,2022-01-29T02:21:08Z,3300000,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,333.0,,,,,,,,,,,,,,,,,
335,PT10M11.00S,2022-01-29T02:20:35.6Z,3,REGULAR,freethrow,2 of 2,['fromturnover'],1628983,,,1610612760,62,51,2022-01-29T02:21:08Z,3310000,,,0,,MISS S. Gilgeous-Alexander Free Throw 2 of 2,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,Missed,,,,,,,,,,,,,,,,,,,
336,PT10M09.00S,2022-01-29T02:20:37.6Z,3,REGULAR,rebound,defensive,[],1627747,,,1610612754,62,51,2022-01-29T02:21:08Z,3320000,,,0,,C. LeVert REBOUND (Off:1 Def:3),[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,335.0,4.0,3.0,1.0,,,,,,,,,,,,,,
337,PT10M09.00S,2022-01-29T02:20:58.7Z,3,REGULAR,foul,personal,[],1630581,,,1610612754,62,51,2022-01-29T02:25:05Z,3330000,,,0,,J. Giddey take personal FOUL (1 PF),"[1630581, 1627747]",1610612760.0,OKC,take,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,202037.0,1.0,0.0,LeVert,1627747.0,
339,PT10M09.00S,2022-01-29T02:21:05.2Z,3,REGULAR,substitution,out,[],1628983,,,1610612754,62,51,2022-01-29T02:21:08Z,3350000,,,0,,SUB out: S. Gilgeous-Alexander,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,,
340,PT10M09.00S,2022-01-29T02:21:05.2Z,3,REGULAR,substitution,in,[],1630177,,,1610612754,62,51,2022-01-29T02:21:08Z,3360000,,,0,,SUB in: T. Maledon,[1630177],1610612760.0,OKC,,,,Maledon,T. Maledon,,,,,,,,,,,,,,,,,,,,,,,,,
341,PT09M57.00S,2022-01-29T02:21:31.5Z,3,REGULAR,3pt,Jump Shot,[],1627747,33.722076215505915,54.166666666666664,1610612754,62,51,2022-01-29T02:21:38Z,3370000,-21.0,264.0,1,left,MISS C. LeVert 26' 3PT,[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,26.53,Missed,,,,,,,,,,,,,,,,,,,
342,PT09M53.00S,2022-01-29T02:21:35.5Z,3,REGULAR,rebound,defensive,[],1630177,,,1610612760,62,51,2022-01-29T02:21:38Z,3380000,,,0,,T. Maledon REBOUND (Off:0 Def:2),[1630177],1610612760.0,OKC,,,,Maledon,T. Maledon,,,,,,,,341.0,2.0,2.0,0.0,,,,,,,,,,,,,,
343,PT09M50.00S,2022-01-29T02:21:42.7Z,3,REGULAR,stoppage,out-of-bounds,[],0,,,1610612760,62,51,2022-01-29T02:21:42Z,3390000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,PT09M38.00S,2022-01-29T02:22:51.4Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1629652,88.78120893561103,45.588235294117645,1610612760,64,51,2022-01-29T02:22:57Z,3400000,-22.0,53.0,1,right,L. Dort driving Layup (13 PTS) (T. Mann 1 AST),"[1629652, 1630544]",1610612760.0,OKC,driving,,,Dort,L. Dort,,,,,5.74,Made,13.0,,,,,T. Mann,1630544.0,1.0,,,,,,,,,,,
346,PT09M20.00S,2022-01-29T02:23:08.4Z,3,REGULAR,3pt,Jump Shot,[],1628470,28.86005256241787,75.49019607843137,1610612754,64,51,2022-01-29T02:23:13Z,3420000,-127.0,219.0,1,left,MISS T. Craig 25' 3PT,[1628470],1610612754.0,IND,,,,Craig,T. Craig,,,,,25.32,Missed,,,,,,,,,,,,,,,,,,,
347,PT09M17.00S,2022-01-29T02:23:11.4Z,3,REGULAR,rebound,offensive,[],1627734,,,1610612754,64,51,2022-01-29T02:23:13Z,3430000,,,0,,D. Sabonis REBOUND (Off:1 Def:8),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,346.0,9.0,8.0,1.0,,,,,,,,,,,,,,
348,PT09M05.00S,2022-01-29T02:23:23.4Z,3,REGULAR,turnover,lost ball,[],1628470,,,1610612754,64,51,2022-01-29T02:23:27Z,3440000,,,0,,T. Craig lost ball TURNOVER (2 TO),"[1628470, 203488]",1610612754.0,IND,,,,Craig,T. Craig,,,,,,,,,,,,,,,2.0,Muscala,203488.0,,,,,,,,
349,PT09M05.00S,2022-01-29T02:23:23.4Z,3,REGULAR,steal,,[],203488,,,1610612760,64,51,2022-01-29T02:23:25Z,3450000,,,0,,M. Muscala STEAL (1 STL),[203488],1610612760.0,OKC,,,,Muscala,M. Muscala,,,,,,,,,,,,,,,,,,,,,,,,,
350,PT08M59.00S,2022-01-29T02:23:29.9Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],1629652,65.91655716162943,13.480392156862745,1610612760,64,51,2022-01-29T02:23:36Z,3460000,-183.0,268.0,1,right,MISS L. Dort 32' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,32.42,Missed,,,,,,,,,,,,,,,,,,,
351,PT08M54.00S,2022-01-29T02:23:34.9Z,3,REGULAR,rebound,defensive,[],1627734,,,1610612754,64,51,2022-01-29T02:23:36Z,3470000,,,0,,D. Sabonis REBOUND (Off:1 Def:9),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,350.0,10.0,9.0,1.0,,,,,,,,,,,,,,
352,PT08M47.00S,2022-01-29T02:23:41.8Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627747,18.74178712220762,41.66666666666667,1610612754,64,51,2022-01-29T02:27:45Z,3480000,42.0,124.0,1,left,MISS C. LeVert 13' pullup Shot,[1627747],1610612754.0,IND,pullup,,,LeVert,C. LeVert,,,,,13.05,Missed,,,,,,,,,,,,,,,,,,,
